Tue Aug 25 11:33:49 PDT 2015 --  be smart. don't make stupid choices.
Thu Aug 13 08:23:26 PDT 2015 --  Meet the #GalaxyS6edgePlus and #GalaxyNote5. #TheNextBigThing is here. pic.twitter.com/I4V9FD3WOg
Wed Aug 12 13:15:08 PDT 2015 --  DJ_Chetas knows how to do it. #MyNigga.
Wed Aug 12 13:11:16 PDT 2015 --  The marker was racist. #ResultsDayExcuses
Wed Aug 12 13:09:46 PDT 2015 --  Aalia? you did this to me?
Wed Aug 12 12:48:58 PDT 2015 --  #sufism #bangladesh https://m.facebook.com/photo.php?fbid=761219297299946&id=100002356484299&set=a.347069358714944.85829.100002356484299&refid=46&__xt__=12.%7B%22click_type%22%3A%22result%22%2C%22module_id%22%3A0%2C%22result_id%22%3A761219297299946%2C%22browse_result_type%22%3A%22browse_type_photo%22%2C%22module_role%22%3A%22NONE%22%2C%22module_result_position%22%3A0%7D …
Wed Aug 12 12:50:07 PDT 2015 --  Seminar on GAUSUL AZAM MAIZBHANDARI (K.) at Chittagong Press Club (17/12/2011) https://m.facebook.com/photo.php?fbid=202441066511108&id=100002356484299&set=a.202440896511125.51716.100002356484299&refid=46&__xt__=12.%7B%22click_type%22%3A%22result%22%2C%22module_id%22%3A0%2C%22result_id%22%3A202441066511108%2C%22browse_result_type%22%3A%22browse_type_photo%22%2C%22module_role%22%3A%22NONE%22%2C%22module_result_position%22%3A1%7D …
Tue Aug 11 11:17:16 PDT 2015 --  IM STILL LAUGHING AT THIS pic.twitter.com/0MJFp13r7u
Mon Aug 10 16:25:36 PDT 2015 --  Lunch time!!!
Mon Aug 10 16:24:57 PDT 2015 --  !! working!!
Mon Aug 10 16:24:37 PDT 2015 --  Monday Blues.
Mon Aug 10 14:57:59 PDT 2015 --  I am really functioning on some other time zone. Also I lost my wallet today. I wish I could get it back #findvdswallet.
Mon Aug 10 14:53:26 PDT 2015 --  Our master,Mawlana Jalaluddin Rumi deserves much more than for us to use his poetry to flirt with the opposite gender #EndTimes @ShaykhAslam
Mon Aug 10 12:23:49 PDT 2015 --  Hey @KylieJenner now that you're finally 18, how about putting those lips to good use?
Mon Aug 10 14:42:56 PDT 2015 --  brazzers has no chill lol pic.twitter.com/8MVXOvmAmw
Mon Aug 10 01:20:52 PDT 2015 --  Allah. Forgive me. I'm letting Dunya come over Deen.
Mon Aug 10 01:18:56 PDT 2015 --  পায়ে প্যাডেল, মনে কবিতা, মুখে গান #AMAZED http://www.prothom-alo.com/bangladesh/article/597805/%E0%A6%AA%E0%A6%BE%E0%A7%9F%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A1%E0%A7%87%E0%A6%B2-%E0%A6%AE%E0%A6%A8%E0%A7%87-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A7%87-%E0%A6%97%E0%A6%BE%E0%A6%A8 …
Mon Aug 10 01:13:18 PDT 2015 --  i dont argue i just explain why I'm right
Mon Aug 10 01:13:30 PDT 2015 --  Caitlin Jennar is weird af.
Mon Aug 10 01:12:43 PDT 2015 --  I never worked at a Korean BBQ Chain just so you know.
Mon Aug 10 01:10:05 PDT 2015 --  Work! Keep digging your well. Water is there somewhere.
Mon Aug 10 01:10:14 PDT 2015 --  Somalians should suck my dick. They are worst than anything.
Mon Aug 10 01:09:35 PDT 2015 --  Afghani's should teach their kids some lessons. Afghani kids are fucken stuBID.
Mon Aug 10 01:08:37 PDT 2015 --  iPhone 7? Nigga Samsung Galaxy Edge is far better. So shut the fuck up.
Sun Aug 09 15:34:29 PDT 2015 --  • Patience: (ṣabr-صَبْرٌ) • Thankfulness: (shukr-شكر) Sabr during difficulty, Shukr during prosperity. Both are esteemed virtues in Islam
Mon Aug 10 00:39:59 PDT 2015 --  Girl, where the fuck are you?
Mon Aug 10 00:36:40 PDT 2015 --  Work Class Work Repeat
Mon Aug 10 00:35:24 PDT 2015 --  Alia, I don't want to violate you.
Sat Aug 08 22:31:46 PDT 2015 --  A girl would've laughed and took a picture pic.twitter.com/NmNukFxV4A
Sat Aug 08 01:07:09 PDT 2015 --  আমার লাইফের এতো বড় একতা পারট তুমি। কিন্তু এইরকম আশা করিনাই।
Fri Aug 07 10:19:51 PDT 2015 --  Smh who did this pic.twitter.com/xHE8NH7v0f
Fri Aug 07 08:33:18 PDT 2015 --  If you like trance and is free today, come to downtown LA for free lunch and dinner and afterparty by TMAS.
Fri Aug 07 08:30:45 PDT 2015 --  Alia Bhaat is BAE!
Fri Aug 07 08:30:02 PDT 2015 --  House of Dance - DJ Chetas in the House - YouTube https://www.youtube.com/watch?v=qppIyYDlVjw …
Fri Aug 07 08:28:28 PDT 2015 --  It's official. Tha King is coming back and taking over his thrown.
Thu Aug 06 08:03:15 PDT 2015 --  If you were true fans you'd understand my situation and the stress it causes, there's a time and place and business hours is not the time
Wed Aug 05 20:57:40 PDT 2015 --  wtf is going on in @RadioFoorti ? They are talking shit on air.
Mon Aug 03 10:10:12 PDT 2015 --  and THIS, ladies and gentlemen, is the truest example of 'Higher Education! pic.twitter.com/mjoBczYhTb
Wed Aug 05 17:40:08 PDT 2015 --  homies. https://instagram.com/p/6Baqiij6Zb/ 
Wed Aug 05 19:32:37 PDT 2015 --  LA chillin ..
Tue Aug 04 07:20:15 PDT 2015 --  Wisdom is the lost property of the believer. But he shouldn't be concerned if the lost thing falls into his hand or someone who can help him
Wed Aug 05 08:30:13 PDT 2015 --  Don't be afraid http://9gag.com/gag/aDm1vpZ?ref=tp … pic.twitter.com/ocFDVK55ON
Sun Aug 02 11:40:37 PDT 2015 --  Adab is such a lost treasure. Our etiquette shapes the society around us. Had we adhered to the Prophetic Way, how beautiful it would be!
Sun Aug 02 07:37:03 PDT 2015 --  Gotta try and get into the States with this... You think they'll let me in? 'I'm here to golf... Honest!!' pic.twitter.com/HGaPTfdQoS
Sat Aug 01 10:35:59 PDT 2015 --  আবার চেপে ধরলো লাইফ
Thu Jul 30 22:34:11 PDT 2015 --  Cloudy morning here in Lahore, airport is the quietest I've ever seen it! Perfect pic.twitter.com/jAU7e1MNAr
Fri Jul 31 11:18:26 PDT 2015 --  No not my wedding... I'm only 20 years old fgs
Sat Aug 01 07:57:54 PDT 2015 --  Went to go have a look at my new car... #RedLeatherGang pic.twitter.com/zd8kCwHHaA
Sat Aug 01 10:31:26 PDT 2015 --  Interesting.
Sat Aug 01 06:45:09 PDT 2015 --  So its Turks & Kurds Vs Isis.. Turks & Isis Vs Kurds.. Kurds Vs Turks & Isis..
Sat Aug 01 01:10:57 PDT 2015 --  Bae <3 pic.twitter.com/5j60ESwIGJ
Sat Aug 01 01:01:11 PDT 2015 --  Buy me a Lambo and Imma treat you like a Queen.
Sat Aug 01 00:57:39 PDT 2015 --  Punjabi girls are bae material!
Thu Jul 30 12:20:45 PDT 2015 --  Will #Jewish Man Be Labelled A Terrorist? Man stabs several people at Jerusalem gay pride parade http://news.yahoo.com/man-stabs-several-people-jerusalem-gay-pride-parade-163839733.html?soc_src=mediacontentstory&soc_trk=tw … via @YahooNews
Thu Jul 30 12:12:03 PDT 2015 --  They were special times Maulana. I miss our times together in New York doing Da'wah work. And getting lost :) https://twitter.com/mhuseinqadri/status/626831696718098432 …
Thu Jul 30 12:12:47 PDT 2015 --  pic.twitter.com/tTnMkVpLY5
Thu Jul 30 12:17:20 PDT 2015 --  Presentations, homeworks, Visuals, Formals, Good Attires, Perfect Accent, Work, RENT, food is driving me nuts.
Thu Jul 30 12:10:56 PDT 2015 --  Any #Sunni #Masjid's in #Vegas? Does anyone know? I'm allergic to Wahhabi's and Wobblers. Pure Ahlus Sunna only please
Thu Jul 30 12:09:48 PDT 2015 --  Pasadena, I'm gonna miss you once I go back to Bangladesh.
Thu Jul 30 10:31:09 PDT 2015 --  Tom Cruise, Emilio Estevez, C. Thomas Howell, Patrick Swayze, Ralph Macchio, Rob Lowe, and Matt Dillon, 1983. pic.twitter.com/LZYbUHe1uc
Wed Jul 29 02:35:16 PDT 2015 --  Camel Ride is more addicting than flappy was http://vine.co/v/eXbpFPLDAY7 
Thu Jul 30 10:41:44 PDT 2015 --  Allah Designed you. Allah Created you. Allah Blesses you. Allah Heals you. Allah Defends you. Allah Forgives you. Allah Loves you.
Thu Jul 30 10:45:34 PDT 2015 --  https://m.facebook.com/sufism.maizbhandar?_rdr …
Thu Jul 30 10:47:03 PDT 2015 --  #youtube MAIJBHANDAR EID 2013 2 http://www.youtube.com/watch?v=UyFxOnzk9VI&sns=tw …
Wed Jul 29 22:55:48 PDT 2015 --  "Remembrance of the Prophet (sallallahu alyhi wasallam) is the foundation of faith" - JalalUdiin RUMI (rah.)
Thu Jul 30 11:32:02 PDT 2015 --  We are not a messianic faith! We Dnt wait for a messiah to come change us! pic.twitter.com/xlUduDtShT
Thu Jul 30 11:50:56 PDT 2015 --  Anyone have any idea what one can do in the evenings in #LasVegas?? Keep it clean please
Thu Jul 30 09:54:45 PDT 2015 --  What do you call a girl who expects a guy to do everything for her, make all the first moves, and text her first every day? SINGLE
Thu Jul 30 09:10:43 PDT 2015 --  APJ Abdul Kalam . What a legend.
Wed Jul 29 15:38:24 PDT 2015 --  The first to apologize is the bravest. The first to forgive is the strongest. The first to forget is the happiest.
Wed Jul 29 16:15:27 PDT 2015 --  “You may show a man a thousand miracles, but if you show him no compassion,he will not believe.” Sh AbdalHakim Murad pic.twitter.com/d0L0nbwjTA
Wed Jul 29 14:54:52 PDT 2015 --  "There are two rules on the spiritual Path: Begin, and continue." #Tasawwuf
Wed Jul 29 14:04:31 PDT 2015 --  We have been working on this for a while and I am pleased to say congratulations to @Zaynmalik on signing with @RCARecords
Mon Jul 27 10:41:06 PDT 2015 --  When stuck for words at the Raudha of Rasūlullāh ﷺ, the verses of #AlaHazrat come to the rescue time and again #JashneWiladateRaza
Mon Jul 27 06:08:11 PDT 2015 --  You sin-Allah forgives you You're lost-Allah guides you You’re ill-Allah cures you You’re alone-Allah's with you You fall-Allah lifts you
Sun Jul 26 11:40:12 PDT 2015 --  3 piece for the Walima pic.twitter.com/Qdr8XwCsNU
Sun Jul 26 09:42:38 PDT 2015 --  কয়েকদিন ধরে ভাইভার, ওয়াটসএপ, লাইন ও ইমু বন্ধ থাকাতে কত শান্তিতে আছি। একটু পরপর কত মেসেজ ও ফোনই না আসতো।
Sat Jul 25 10:24:11 PDT 2015 --  Happy birthday to my FirstBorn Muhammed Hussein ... 24 today Allāh ﷻ bless you with goodness and success always. pic.twitter.com/fwcbVSGWrc
Fri Jul 24 09:08:12 PDT 2015 --  Last 3 days were full of classes and Adda.
Fri Jul 24 09:07:23 PDT 2015 --  Mashups !
Thu Jul 23 09:41:52 PDT 2015 --  "you look tired" No I just ugly
Thu Jul 23 09:50:08 PDT 2015 --  Luis Suarez was named Man of the Match of yesterday's game against the LA Galaxy. #TourFCB pic.twitter.com/UpKib76SaZ
Wed Jul 22 06:47:55 PDT 2015 --  La Hawla Wala Quwwata Illah Billah. (There is no power and no strength except with Allah) Always keep repeating... http://fb.me/2q2WMXS0x 
Wed Jul 22 07:37:58 PDT 2015 --  https://mobile.facebook.com/sufism.maizbhandar … #sufism #Dhaka #Chittagong #khulna #Syhlet #Bangladesh http://www.twitter.com/officialsufism  pic.twitter.com/ElOemspKvC
Tue Jul 21 10:30:46 PDT 2015 --  eat → eat ↑ ↓ eat ← eat
Mon Feb 23 17:16:18 PST 2015 --  @ArsalanQadiri Wahabis: Wahabis : a state of extreme confusion http://wahabis.urbanup.com/5437509  pic.twitter.com/OeDw3Vk0PT
Tue Jul 21 11:28:59 PDT 2015 --  Our Family's first dog "Browny" died last friday. She will be missed and her life will be cherished.
Tue Jul 21 09:10:04 PDT 2015 --  It was beautiful to see the increased amount devotion in everyone during #Ramadan. People trying their best to please Allāh ﷻ Alhamdulillāh
Tue Jul 21 09:11:08 PDT 2015 --  But #Ramadan ends and the beauty disappears. But it does not have to be that way. We can keep the beauty of Ramadan alive In shā Allāh
Tue Jul 21 09:12:34 PDT 2015 --  Do not let go of the amazing habits we developed during Ramadan. Be at the best stage of Imān in and out of Ramadan In shā Allāh #Reminder
Mon Jul 20 21:52:25 PDT 2015 --  যে ব্যক্তি শয়নকালে সুরা ফাতিহা ও সুরা ইখলাস পাঠ করে, তাকে মৃত্যু ব্যাতীত আর সকল বিপদ হতে নিরাপদ করে দেয়া হয় । ____হযরত মোহাম্মদ (সাঃ)
Sun Jul 19 00:04:20 PDT 2015 --  Thanks to Rahul Bhaiya, Jewel Bhaiya, Anna Bhaiya, Alamgir Bhaiya, Shishir Bhaiya, Shawon Bhaiya for being awesome sports.
Sun Jul 19 00:03:24 PDT 2015 --  Went to a theater today and watched #BajrangiBhaijaan . It was my first time at a theater and @BeingSalmanKhan 's acting blew my mind.
Sun Jul 19 00:00:05 PDT 2015 --  LA Nights. It rained like real rain over here after 15-16 years. pic.twitter.com/vajqm0AOgb
Sat Jul 18 11:31:40 PDT 2015 --  ঈদ মোবারক #EIDMUBARAK #chittagong #bangladesh #sufism from Maizbhandar Darbar Shorif for All Human
Sat Jul 18 12:26:38 PDT 2015 --  sufism Chittagong Bangladesh pic.twitter.com/2owqMWy1sP
Sat Jul 18 11:32:58 PDT 2015 --  #sufism #Bangladesh #Quote Of Hazarat Gausul Azam Ahmed Ullah Maizbhandari (K:) Say's 'if anybody want help from me i will help you'
Sat Jul 18 10:31:09 PDT 2015 --  #ShaykhShukriLuhufi departed this life after ca 90 years of service to Islam Allah have mercy on him. pic.twitter.com/ukX8RiYM3q
Sat Jul 18 10:21:37 PDT 2015 --  It rained here in LA.
Fri Jul 17 22:39:52 PDT 2015 --  New York's Empire State Building glows green for Eid #EidMubarak pic.twitter.com/hD3ysUlko2
Fri Jul 17 22:39:03 PDT 2015 --  Eid Mubarak - from my crazy/incredibly loving lot,to yours inshaAllah your day is filled with… https://instagram.com/p/5RBxIDTZqv/ 
Fri Jul 17 22:43:16 PDT 2015 --  Eid Mubarak may peace be upon you! https://instagram.com/p/5RCQNymYZ8/ 
Fri Jul 17 08:19:23 PDT 2015 --  ঈদ মোবারক #EIDMUBARAK #chittagong #bangladesh #sufism
Sat Jul 11 11:00:27 PDT 2015 --  Hazarat Gausul Azam Ahmed Ullah Maizbhandari (K:) Say's 'if anybody want help from me i will help you' #sufism #chittagong #bangladesh
Fri Jul 17 08:21:01 PDT 2015 --  @Officialsufism #Bangladesh Hazarat Gausul Azam Ahmed Ullah Maizbhandari (K:) Say's 'if anybody want help from me i will help you'
Fri Jul 17 11:10:17 PDT 2015 --  _-'-_ ]| |[ ]| |[ ]| |[ ._.-^-._ ]| |[_((('''')))_.-^-._ ]| |[¤ EID ¤{[( )]} MuBaRaK
Tue Jul 14 23:45:50 PDT 2015 --  Hazarat Gausul Azam Ahmed Ullah Maizbhandari (K:) Say's 'if anybody want help from me i will help you' #chittagong pic.twitter.com/VvPzulkkZO
Fri Jul 17 13:39:26 PDT 2015 --  Eid Mubarak!!!!! Haven't prayed Eid Salat and Jum'ah today. #RealityCheck
Fri Jul 17 06:55:02 PDT 2015 --  The shrine of the Qutub,Imām of Awliyā, Khalifa of Imām Shadhlī, the teacher of al-Buśayrī, AtāAllah, Yaqūt Arshi etc pic.twitter.com/rMsEzyQale
Fri Jul 17 12:46:56 PDT 2015 --  My two wives. Two more are still allowed pic.twitter.com/Yq5BzpbT70
Fri Jul 17 13:17:32 PDT 2015 --  May Allah accept all our Duas made this Ramadhan. Ameen
Thu Jul 16 18:16:30 PDT 2015 --  UP NEXT: #ManThatGravityForgot @WWENeville gets a rematch against #PrinceOfDarkMatter @StardustWWE on #SmackDown! pic.twitter.com/aNgIHDVRg7
Thu Jul 16 13:00:24 PDT 2015 --  The battle of the browsers - pic.twitter.com/tWcEwWFMqk
Thu Jul 16 13:12:16 PDT 2015 --  Great news Alhamdulillāh filtering through from #UK that #EID will In shā Allāh be celebrated on #Saturday by the Ahle Sunnah. Well done
Thu Jul 16 13:15:11 PDT 2015 --  'Do u do hajj in Souf Afrika?' Do u liv in Saudi?
Thu Jul 16 13:25:18 PDT 2015 --  When are we gona learn to stop focusing entirely on the personality & instead focus on the mission of the personality? Think about it!
Thu Jul 16 13:25:32 PDT 2015 --  Māshā Allāh you guys in #UK get a FIFTH Jumu'ah this #Ramadan Make Du'ā that we get the same blessing In shā Allāh
Thu Jul 16 14:00:35 PDT 2015 --  No positive sighting in the UK, Morocco or South Africa. 30 days of #Ramadan will be completed #Eid Ul Fitr will be on Saturday 18th July.
Thu Jul 16 14:02:08 PDT 2015 --  #Eid will be Saturday
Thu Jul 16 14:05:03 PDT 2015 --  Hate distance ... Missing you @lucia_villalon !!! 1422 #blessed pic.twitter.com/VuAaiN5jJa
Thu Jul 16 10:04:08 PDT 2015 --  The age of the Moon in Mecca was 14hrs 42 & only 2 degrees altitude. Somehow the moon was still sighted! https://twitter.com/islamiccentre/status/621634114085634048 …
Thu Jul 16 10:08:20 PDT 2015 --  Those who follow Saudi blindly are the same who go around with "Bidah bidah" on repeat all year. #MoonSighting
Thu Jul 16 10:15:07 PDT 2015 --  "Saudi sighted the moon, they said it's Eid tomorrow." Last time I checked you reside in England. Sit back down and wait for Maghrib.
Thu Jul 16 10:11:02 PDT 2015 --  We do not expect any to sight the moon as the moon is not visible anywhere in the Muslim world tonight.
Thu Jul 16 09:28:53 PDT 2015 --  Interesting some in London r already announcing Eid for tomorrow,when no-one has sighted the moon & their beloved Saudi isn't even at sunset
Thu Jul 16 10:15:31 PDT 2015 --  Delay Eid prayer for the sake of unity. pic.twitter.com/S6QZQHYlUX
Thu Jul 16 10:16:07 PDT 2015 --  If you want unity, you should delay it for the rest(majority), not expect them to break their fast(s) a day early.
Thu Jul 16 10:27:11 PDT 2015 --  Moon not seen in Iraq, Saudi Arabia, Kenya, South Africa, FhNa, Oman, Trinidad and Tobago, USA, Tanzania
Thu Jul 16 10:31:35 PDT 2015 --  We can officially confirm there has been no moon sighted and therefore Eid ul Fitr will be on Saturday 18th July 2015
Thu Jul 16 10:33:04 PDT 2015 --  High Judiciary Council of Saudi announces #Eid al-Fitr 1436 as Friday 17 July, 2015 despite moon not visible anywhere in middle east !
Thu Jul 16 10:40:17 PDT 2015 --  Anyhow if you do #eid on Friday hope you have a good day, those on Saturday same.
Thu Jul 16 10:34:52 PDT 2015 --  Further moonsighting updates: not seen in Australia, India, Indonesia, Singapore,
Wed Jul 15 20:22:06 PDT 2015 --  Every expert was once a beginner
Wed Jul 15 21:37:40 PDT 2015 --  This is the cutest. I use to the same exact thing when I was little lol! There is a time to play and a time to pray pic.twitter.com/e9NYavxkKW
Wed Jul 15 10:27:21 PDT 2015 --  I hope this month has been blessed for you all and may we benefit fully from these final few days and live to see next #Ramadan In sha Allah
Wed Jul 15 10:01:19 PDT 2015 --  ঈদ মুবারাক এভ্রিওয়ান! :D #RiseOfTheTigers #BANvSA — celebrating life
Wed Jul 15 10:01:31 PDT 2015 --  Yes, that's it! Liton strikes the wining boundary! Bangladesh won the match by 9 wickets and clinch the series 2-1. #BANvSA #riseofthetigers
Wed Jul 15 10:03:29 PDT 2015 --  What a moment for Bangladesh cricket, as this is the 3rd straight series win at home. And this is the #riseofthetigers. #BANvSA
Wed Jul 15 10:06:42 PDT 2015 --  Last 3 ODI Series Win for @BCBtigers: Against South Africa 2-1, India 2-1, Pakistan 3-0. #BANvSA #riseofthetigers
Wed Jul 15 10:07:49 PDT 2015 --  অভিনন্দন বাংলাদেশ ক্রিকেট দল ।
Wed Jul 15 10:00:11 PDT 2015 --  Bangladesh continue making history with a stunning 9 wicket victory to win the Series 2-1 v. South Africa #BanvSA pic.twitter.com/3I5xUqcABD
Wed Jul 15 10:21:39 PDT 2015 --  A stunning series win for @BCBtigers - 2015 seems to be the year they really have arrived as a ODI force, with a CWC QF & CT qual'n #BANvSA
Wed Jul 15 10:27:29 PDT 2015 --  Chittagong, You beauty!!!
Wed Jul 15 10:16:18 PDT 2015 --  Soumya Sarkar is awarded Man of the Match as well as Man of the Series for his stunning performances. #BANvSA pic.twitter.com/MJpsNAvs92
Wed Jul 15 10:19:00 PDT 2015 --  The overwhelming feeling of community and unity and kindness and love in this blessed month. Wish it could be #Ramadan all year long
Wed Jul 15 10:19:36 PDT 2015 --  me: *packs 3 hours before leaving for a trip* me: *unpacks 3 months after coming home*
Mon Jul 13 15:48:51 PDT 2015 --  Coming up soon on 5AA, Adelaide! https://twitter.com/fiveaabreakfast/status/620695015984005120 …
Mon Jul 13 15:53:46 PDT 2015 --  50 Cent probably sitting back laughing at some of you... Welcome to the world of business ladies and gentlemen
Mon Jul 06 06:43:18 PDT 2015 --  #WWE2K16 becomes #WWE2K316 with @steveaustinBSR as the official Cover Superstar! Pre-Order now and #RaiseSomeHell http://bit.ly/1Ch39Sh 
Sun Jul 12 09:33:06 PDT 2015 --  টাইগাররা আজকে সাউথ আফ্রিকাকে হারানোর পর খেলা নিয়ে একটা মজার স্ট্যটাস দেবার কথা ছিল। দিতে পারলামনা বলে দুঃখিত।... http://fb.me/28XrKRI2w 
Fri Jul 10 12:15:25 PDT 2015 --  Madina munawwara on live http://youtu.be/QEpeL3BD04s 
Fri Jul 10 01:34:04 PDT 2015 --  'Bhar Do Jholi Meri' VIDEO Song - Adnan Sami | Bajrangi Bhaijaan | Salman Khan - YouTube This is not just a song. https://www.youtube.com/watch?v=jxpgu8RnnfM …
Fri Jul 10 01:19:46 PDT 2015 --  Salman Khan can't go to jail. Period
Tue Jul 07 22:21:19 PDT 2015 --  Best Du'ā to make on #LaylatulQadr and throughout these last 10 days #RamadanDua pic.twitter.com/H4rcRTGYRC
Wed Jul 08 05:38:36 PDT 2015 --  He was the first child to embrace Islam, Prince of the Ahl ul Bayt, Father of the two Masters of the Youth of Jannah.
Tue Jul 07 22:14:33 PDT 2015 --  You did all-nighters in high school, in college & university during finals week. You can do a few all-nighters for Allāh ﷻ. #LaylatulQadr
Tue Jul 07 05:58:00 PDT 2015 --  I don't care who you are or what you have. You speak to people like they're dirt and I will treat you like shit
Wed Jul 08 01:03:53 PDT 2015 --  I'm In Holland !! :D
