Fri Aug 28 21:27:11 PDT 2015 --  I give up
Sat Aug 22 21:07:46 PDT 2015 --  Time for me to go to sleep I guess
Sat Aug 22 12:19:51 PDT 2015 --  Really need someone to do this with 🏽 pic.twitter.com/lYezuDgb54
Mon Aug 17 20:57:07 PDT 2015 --  When you finally find some tots but you get caught.. http://vine.co/v/eH7UKqbdthQ 
Fri Aug 21 14:49:45 PDT 2015 --  I swear ft myers better be more calm than town ,this isn't new york
Fri Aug 21 14:30:55 PDT 2015 --  This fucking lady cut me off and almost took the whole rear end out from under my truck...stupid ass drivers out right now ..dammit
Fri Aug 21 10:41:50 PDT 2015 --  When you're hungry,and on the verge of death because someone didn't bring food as promised(cough) @MeliRacquel liieesss all lies
Thu Aug 20 20:48:20 PDT 2015 --  
Sat Aug 08 00:38:48 PDT 2015 --  " I love you " pic.twitter.com/5oRVgnQ0OX
Thu Aug 20 18:18:22 PDT 2015 --  I have this problem pic.twitter.com/hR7ZtDrnPM
Thu Aug 20 19:28:20 PDT 2015 --  Thanks hurricane danny, I took out my own netflix
Thu Aug 20 18:59:26 PDT 2015 --  Damn you rain
Thu Aug 20 18:12:19 PDT 2015 --  watched this 1,000,000 times lol jk but daaammnnn https://twitter.com/TwerkTeamVines/status/626806839431147520 …
Thu Aug 20 12:39:35 PDT 2015 --  Haha so me! https://twitter.com/ComedyPosts/status/634447094711996416 …
Thu Aug 20 12:32:02 PDT 2015 --  i broke up with my gym we were just not working out
Thu Aug 20 11:22:03 PDT 2015 --  If I see one more circle shift video im going to lose my shit ...the fuck you mean
Thu Aug 20 08:20:55 PDT 2015 --  I always knew looking back on the tears would make me laugh, but I never knew looking back on the laughs would make me cry.
Thu Aug 20 04:14:56 PDT 2015 --  Thank you dunkins for being on point today so I can now have a good day and not yell at anyone this morning
Wed Aug 19 20:32:21 PDT 2015 --  Can't sleep
Wed Aug 19 19:00:06 PDT 2015 --  Fuck a circle shift dammit
Mon Aug 17 11:31:44 PDT 2015 --  I'm good with or without you, don't trip.
Wed Aug 19 14:57:01 PDT 2015 --  So glad I'm home & I can relax,watch Netflix, and eat my mf snacks
Wed Aug 19 11:05:14 PDT 2015 --  Holy fuck I'm dieng https://twitter.com/BanterSanta_/status/634060834277322752 …
Wed Aug 19 10:58:12 PDT 2015 --  Damn pic.twitter.com/AvcpDvaiRU
Wed Aug 19 11:00:04 PDT 2015 --  https://twitter.com/HornyFacts/status/634061771666497537 …
Wed Aug 19 09:14:21 PDT 2015 --  My art is always perfected https://twitter.com/HornyFacts/status/634029094221578240 …
Wed Aug 19 09:02:00 PDT 2015 --  https://twitter.com/WordsTexts/status/633407468580634625 …
Mon Aug 17 13:37:01 PDT 2015 --  yes yes yes pic.twitter.com/fvKJdN9GX9
Wed Aug 19 08:45:42 PDT 2015 --  Most women don't know that https://twitter.com/WordsTexts/status/633606516243730433 …
Wed Aug 19 06:51:02 PDT 2015 --  Worrying doesn't take away tomorrow's struggle ,it takes away today's peace.
Wed Aug 19 06:47:04 PDT 2015 --  https://twitter.com/PoemsxRelate/status/633994581768564736 …
Wed Aug 19 06:46:39 PDT 2015 --  Wtf https://twitter.com/SexualGif/status/633864794056081408 …
Wed Aug 19 04:14:13 PDT 2015 --  what https://twitter.com/nuteIla/status/633900739706884096 …
Wed Aug 19 01:12:04 PDT 2015 --  pic.twitter.com/q2CYyNLSAw
Wed Aug 19 04:00:07 PDT 2015 --  The very last person on your mind before you close your eyes at night is either the reason for your happiness or pain.
Wed Aug 19 04:01:47 PDT 2015 --  When your boss calls to ask why you didn't come to work,just simply send them the lyrics to Maroon 5 - "Never Gonna Leave This Bed" haha
