Thu Aug 27 23:15:42 PDT 2015 --  God has a plan for me
Mon Mar 30 05:26:54 PDT 2015 --  Thank you president Obama pic.twitter.com/PgFJCCyRTa
Mon Mar 30 05:49:36 PDT 2015 --  No-one can replace Jon Stewart. But together with the amazing team at The Daily Show, we will continue to make this the best damn news show!
Mon May 18 06:03:56 PDT 2015 --  Incase you missed @TobinHeath snappin' ankles last night https://vine.co/v/eAbptYgBraI 
Thu Aug 06 21:07:33 PDT 2015 --  This is criminal. https://twitter.com/nochillposts/status/629485918534156288 …
Thu Aug 06 20:43:44 PDT 2015 --  USWNT star Megan Rapinoe's year keeps getting better as she announces her engagement. (via @mPinoe) pic.twitter.com/gJB0zaHhID
Thu Aug 06 21:03:31 PDT 2015 --  My girls! pic.twitter.com/I0YB8ngRKO
Thu Aug 06 21:03:59 PDT 2015 --  If I want it I'ma go for it...
Thu Aug 06 20:49:39 PDT 2015 --  RT to wipe away the tears. #JonVoyage #DailyShow pic.twitter.com/UeMUybSfCT
Thu Aug 06 20:31:55 PDT 2015 --  All the feels #JonVoyage RT @ditzkoff: The cast of the Daily Show celebrates with Jon Stewart. pic.twitter.com/1YUaZMJRBT
Thu Aug 06 20:37:06 PDT 2015 --  If you want to appreciate true television and its legends then I hope you are watching Jon right now. #JonVoyage #DailyShow
Thu Aug 06 20:19:50 PDT 2015 --  #JonVoyage
Thu Aug 06 16:14:24 PDT 2015 --  Jon, when you're deciding on a running mate next year, think of us! Thanks for 16 years of zen. #JonVoyage pic.twitter.com/UvOYOWc7PJ
Thu Aug 06 13:01:36 PDT 2015 --  On tonight's @TheDailyShow Jon Stewart brings humor to the issues of our day 1 last time. We need a moment... of zen. pic.twitter.com/gQEF3l13Mz
Mon Jul 27 20:47:34 PDT 2015 --  He's only 9 years old pic.twitter.com/sztSxFhBsz
Sun Aug 02 16:24:49 PDT 2015 --  RONDA ROUSEY pic.twitter.com/AaaOI0vhJN
Wed Aug 05 11:02:55 PDT 2015 --  This is pic.twitter.com/POSD8SDjlI
Thu Aug 21 20:39:09 PDT 2014 --  No one knows how good I feel being able to make this man smile, he's eating good tonight! pic.twitter.com/bPUtmUVT2N
Thu Aug 06 14:17:01 PDT 2015 --  Everyone over 18 must be registered to vote automatically so that all Americans can make their voices heard. #VRA50 pic.twitter.com/A0OqmacJ4a
Sun Jun 22 15:28:24 PDT 2014 --  RETWEET if you believe there is a GOD pic.twitter.com/ocHebZiSKS
Thu Aug 06 10:30:43 PDT 2015 --  if u smoke u die if u drink u die if u eat u die if u love u die no matter what u die so do whateva u want homie cuz u gon die anyways
Thu Aug 06 00:54:18 PDT 2015 --  I wouldn't mind ending up with you.
Mon Aug 03 14:14:09 PDT 2015 --  Plot twist pic.twitter.com/wStchL90S2
Wed Aug 05 22:48:39 PDT 2015 --  Can the sexual gifs please stop, soy hija de dios
Wed Aug 05 18:40:23 PDT 2015 --  Could it be? New crest in 2016 - http://www.footyheadlines.com/2015/08/us-soccer-2016-logo.html … pic.twitter.com/081bxJErvc
Wed Aug 05 20:55:26 PDT 2015 --  FULL TIME - Thorns FC defeat the Boston Breakers 5-2 in front of 15,624 fans at Providence Park! #BAONPDX
Tue Aug 04 13:02:13 PDT 2015 --  Your face when you wake up and remember it's your birthday. Or score in a World Cup. Happy Birthday to @kohara19! pic.twitter.com/8mij6MmxXe
Tue Mar 31 23:02:05 PDT 2015 --  Early 60's Hawaii pic.twitter.com/zUwCZzms4Y
Tue Aug 04 06:01:28 PDT 2015 --  Getting married at 21 sounds a lot like leaving a party at 9:30
Tue Aug 04 07:56:26 PDT 2015 --  No Chill lmao pic.twitter.com/ZMOGedG7PU
Tue Aug 04 00:04:48 PDT 2015 --  God is so good
Tue Aug 04 00:00:24 PDT 2015 --  This nigga Shia really off the shits lmaooo pic.twitter.com/iqQJAMfmKM
Thu Jul 23 09:47:32 PDT 2015 --  Schweinsteiger's got Müller's back. Brilliant! #mufc | pic.twitter.com/0f6ZDhFOJ6
Mon Aug 03 17:00:38 PDT 2015 --  . @TheDailyShow Will Wrap With Extra-Long Finale http://www.thewrap.com/daily-show-will-wrap-with-extra-long-finale/ … pic.twitter.com/pwVmsldYFi
Mon Aug 03 08:42:44 PDT 2015 --  BRUH pic.twitter.com/WyHXoqwiJh
Mon Aug 03 19:45:58 PDT 2015 --  do you ever get in an "I don't know" phase in your life. where you literally don't have a solid answer to anything. you. just. don't. know.
Mon Aug 03 19:22:34 PDT 2015 --  Just Retweet... https://amp.twimg.com/v/16abb7fb-eddd-4a8f-bcd3-622f04c7b7c6 …
Mon Aug 03 20:00:17 PDT 2015 --  Jon Stewart Jon Stewart Jon Stewart
Mon Aug 03 07:59:05 PDT 2015 --  I find it strange that the kid who smokes marijuana gets arrested but the crooks on Wall Street get off scot free.
Fri Jul 31 14:02:40 PDT 2015 --  pic.twitter.com/WCp5Ls24ah
Sun Aug 02 10:00:34 PDT 2015 --  The benchmark of full time work in America should be simple – that no full-time worker should live in poverty. pic.twitter.com/Qh7ZjZy9tI
Sun Aug 02 09:30:59 PDT 2015 --  My cousins friend with Alex Morgan. That's the closest I'm ever gonna get
Fri Jul 31 14:37:48 PDT 2015 --  Theres a guy on the bus that is part of Amandas cult @AshlieBarillas and he won't stop talking
Thu Jul 30 20:49:18 PDT 2015 --  Free your mind
Thu Jul 30 17:43:42 PDT 2015 --  Happy #FriendshipDay! RT and tag the #AOFamily you love to see for #USMNT/ #USWNT games. // http://FootyVibes.com  pic.twitter.com/vTkvgCVoB4
Wed May 27 03:32:09 PDT 2015 --  I'm dead pic.twitter.com/dfOu9C7Kt3
