Fri Aug 21 14:06:12 PDT 2015 --  This song is fire pic.twitter.com/LHjG7Y9Uqi
Sat Feb 15 11:35:53 PST 2014 --  Cazzo Mia vita
Wed Feb 12 20:13:27 PST 2014 --  When u get home and randomly check your phone and its 11:11 so you make a wish and it ends up coming true
Fri Feb 07 19:12:31 PST 2014 --  Time flies when you're flapping away on flappy birds lol just sat on the toilet playing flappy bird for an hour like it was nothing hahaha
Sun Jan 26 18:46:23 PST 2014 --  I'm going to March my way to success if its the last thing I do, feet don't fail me now
Fri Jan 24 23:24:14 PST 2014 --  No one knows what it's like to be the bad man to be the sad man behind these eyes
Wed Jan 22 05:00:49 PST 2014 --  I look out side and I don't see snow , NO I see landfills of dollar signs
Mon Jan 06 09:05:48 PST 2014 --  It always rains on my day off #WTF
Sun Jan 05 14:25:49 PST 2014 --  Work hard and then work harder
Sat Jan 04 21:39:07 PST 2014 --  What ever it takes , no matter how hard I have to work I will one day archieve my hard earned goals in life
Tue Dec 31 22:49:36 PST 2013 --  Happy new year to all 2014 here we come
Mon Dec 30 07:09:06 PST 2013 --  Guys like you makes us look bad. #heartlessMen
Thu Dec 26 18:31:52 PST 2013 --  and then god created saturn and he liked it so he put a ring on it
Thu Dec 12 20:24:20 PST 2013 --  Those who sew in flames in ashes they shall reap
Thu Dec 12 20:22:09 PST 2013 --  The point in your life when you let your self go and realize it and say , holy shit I need to get a grip on myself or else
Mon Nov 11 06:39:40 PST 2013 --  Discipline and determination because I am stronger because I believe
Sat Nov 02 17:53:07 PDT 2013 --  That witch starts bitter ends sweet and at this point in my life I think I'm almost at the sweet part #KeepingMyChinUp
Thu Oct 24 21:29:18 PDT 2013 --  every drop of blood , every bitter tear , every bead of sweat , i live for this
Wed Oct 23 20:14:29 PDT 2013 --  I will fight , because I am stronger because I believe and I will push forth to the the threshold
Wed Oct 23 20:11:30 PDT 2013 --  Late night , come home , work sucks , I know lol
Sun Jan 13 03:39:36 PST 2013 --  Best felling in the world , is when you know some one loves you , and when you love that person back infinity squared as many times as more
