Sat Apr 25 13:19:01 PDT 2015 --  بين يوم و ليلة فية ناس بتيجيّ... و ناس تغيبيب و الي انهردا حبيبي بكرة الاقية غريب
Mon Apr 06 20:19:20 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Mon Apr 06 19:19:38 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Mon Apr 06 18:21:57 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Mon Apr 06 17:24:31 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Mon Apr 06 16:26:24 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Mon Apr 06 15:22:24 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Mon Apr 06 13:25:17 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Mon Apr 06 11:24:33 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Mon Apr 06 10:25:27 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Mon Apr 06 08:26:16 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Mon Apr 06 07:22:03 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Mon Apr 06 06:19:09 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Mon Apr 06 04:15:15 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Mon Apr 06 01:15:09 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sun Apr 05 23:16:31 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Sun Apr 05 22:17:25 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Sun Apr 05 21:17:09 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Sun Apr 05 20:17:18 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Sun Apr 05 19:17:13 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Sun Apr 05 18:18:11 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Sun Apr 05 17:18:18 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sun Apr 05 16:18:30 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Sun Apr 05 15:19:20 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Sun Apr 05 14:18:45 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Sun Apr 05 13:18:26 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sun Apr 05 12:19:03 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Sun Apr 05 11:18:25 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Sun Apr 05 10:18:32 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Sun Apr 05 09:18:28 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Sun Apr 05 08:17:41 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Sun Apr 05 07:16:28 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Sun Apr 05 04:15:02 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Sun Apr 05 02:14:52 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Sun Apr 05 01:14:50 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Sun Apr 05 00:15:01 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Sat Apr 04 23:15:45 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Sat Apr 04 22:16:31 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Sat Apr 04 21:17:03 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Sat Apr 04 20:16:59 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Sat Apr 04 19:16:09 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sat Apr 04 17:17:55 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Sat Apr 04 15:19:00 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sat Apr 04 14:18:56 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sat Apr 04 12:20:09 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Sat Apr 04 11:19:01 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Sat Apr 04 10:19:00 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Sat Apr 04 09:17:48 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Sat Apr 04 08:17:47 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sat Apr 04 06:15:37 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sat Apr 04 05:15:43 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Sat Apr 04 04:14:58 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Sat Apr 04 03:14:46 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Sat Apr 04 02:14:57 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Sat Apr 04 01:14:19 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Sat Apr 04 00:14:27 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Fri Apr 03 23:14:53 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Fri Apr 03 22:14:31 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Fri Apr 03 21:15:33 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Fri Apr 03 20:17:03 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Fri Apr 03 18:17:22 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Fri Apr 03 13:21:56 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Fri Apr 03 11:18:41 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Fri Apr 03 09:18:54 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Fri Apr 03 08:17:33 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Fri Apr 03 07:19:46 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Fri Apr 03 06:18:22 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Fri Apr 03 05:19:00 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Fri Apr 03 04:12:44 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Fri Apr 03 03:16:05 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Fri Apr 03 02:15:47 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Fri Apr 03 01:17:02 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Thu Apr 02 23:19:31 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Thu Apr 02 22:20:06 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Thu Apr 02 20:19:16 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Thu Apr 02 19:16:52 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Thu Apr 02 18:17:08 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Thu Apr 02 17:19:55 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Thu Apr 02 16:24:43 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Thu Apr 02 15:26:32 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Tue Mar 17 21:57:59 PDT 2015 --  والله لا أبكى على ذنب أذنبته، ولكن ابكى على ذنب كنت أحسبه هين و هو عند الله عظيم. ابن سيرين
Thu Apr 02 14:23:07 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Thu Apr 02 13:20:12 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Thu Apr 02 11:18:34 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Thu Apr 02 10:18:05 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Thu Apr 02 08:17:52 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Thu Apr 02 06:16:45 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Thu Apr 02 05:15:37 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Thu Apr 02 03:17:01 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Thu Apr 02 02:16:54 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Thu Apr 02 01:17:39 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Thu Apr 02 00:16:53 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Wed Apr 01 23:16:45 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Wed Apr 01 22:16:37 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Wed Apr 01 21:17:15 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Wed Apr 01 18:22:51 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Wed Apr 01 17:22:25 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Wed Apr 01 16:22:47 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Wed Apr 01 15:20:42 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Wed Apr 01 14:20:18 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Wed Apr 01 11:21:23 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Wed Apr 01 10:21:40 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Wed Apr 01 09:20:24 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Wed Apr 01 08:19:38 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Wed Apr 01 06:20:34 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Wed Apr 01 05:20:43 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Wed Apr 01 03:19:45 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Wed Apr 01 02:19:53 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Tue Mar 31 22:22:17 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Tue Mar 31 19:23:47 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Tue Mar 31 18:23:42 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Tue Mar 31 16:25:02 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Tue Mar 31 15:33:52 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Tue Mar 31 13:44:37 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Tue Mar 31 12:30:06 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
