Sun Aug 23 21:11:11 PDT 2015 --  Fucking kill me I Fucking Hate School #fuckschool get a fucking gun and shoot me
Sun Dec 07 08:33:35 PST 2014 --  A little perspective with all the shit going down lately. pic.twitter.com/L6k8zVVPad
Sun Dec 14 16:29:09 PST 2014 --  TEARS pic.twitter.com/EZXZCItpEy
Tue Dec 16 19:55:42 PST 2014 --  Brooms getting pumped for our next game, show love at West Houston this weekend pic.twitter.com/RaCDRpgZDT
Tue Dec 16 20:04:05 PST 2014 --  Come watch The Brooms sweep Real United FC this weekend- picture creds to @LukeL4 pic.twitter.com/yBAydyBtkV
Tue Dec 16 21:29:37 PST 2014 --  When you realize your playing the brooms this week... @Real_United_FC pic.twitter.com/DPjKc3r5Iq
Fri Dec 19 07:47:52 PST 2014 --  Roo after the chemistry final... "Hasib that sh*t was Chinese" #relatebleteenposts
Sat Dec 27 07:01:23 PST 2014 --  @_mKazzz I showed you it...
Wed Dec 31 17:41:54 PST 2014 --  Get ready for bad "next year" jokes
Wed Jan 07 20:50:53 PST 2015 --  #pridelandisthabomb
Sat Dec 27 16:30:04 PST 2014 --  PRIDELAND VIDEO IN 5 DAYS! Retweet if you are excited to support! pic.twitter.com/s8VSeEk7TS
Wed Jul 30 16:49:19 PDT 2014 --  New video! Re-tweet to help spread awareness! https://www.youtube.com/watch?v=qEybDk00rJE …
Mon Jul 28 13:47:08 PDT 2014 --  in solidarity of the situation in Gaza during Eid. please read. pic.twitter.com/HGJaqhqHdU
Mon Jul 28 00:32:40 PDT 2014 --  Fuck Israel fuck their soldiers they are abusing Palestinians stop this fucking shit am I right #FreePalestine #PrayForPalestine
Sun Jul 27 17:28:57 PDT 2014 --  THE WORLD IS WITH PALESTINE!: http://youtu.be/EBVoIHCf5u4  this is thoughtful of #teamasa and #arewefamousnow . I have a YouTube account .
Sat Jul 26 20:26:10 PDT 2014 --  When is it
Fri Jul 25 21:00:34 PDT 2014 --  when the squad roastin u in the group chat pic.twitter.com/6C9rYvksMr
Thu Jul 17 00:54:25 PDT 2014 --  I just wanna be successful- Trey Songz
Wed Jul 16 01:13:55 PDT 2014 --  Bout to crash
Wed Jul 16 00:08:06 PDT 2014 --  I'm going to Palestine in 14 hours and my mom is packing up all my clothes for those in need lol she cleaned out my closet #FreePalestine
Wed Jul 16 00:01:37 PDT 2014 --  So I'm going to Palestine in 14 hours and my mom is packing up all my clothes for those in need lol she cleaned out my closet
Wed Jul 16 01:03:12 PDT 2014 --  Go to my YouTube account Yazen Hamoudah I need more suscribers
Mon Jul 14 03:33:57 PDT 2014 --  #FREEFREEPALESTINE
Sun Jul 13 23:09:03 PDT 2014 --  #Ramadan we are opening our fast with fresh water and food and these people in #Palestine lost everything they had pic.twitter.com/AA59d6FyeB
Sun Jul 13 23:20:29 PDT 2014 --  RT @TheKnowledge: We dont accept evil nor do we cooperate w/ it. May God help our brave families in Gaza #PrayForGaza pic.twitter.com/vfCphosYLF
Sun Jul 13 14:38:03 PDT 2014 --  Why Argentina y
Sun Jul 13 11:46:26 PDT 2014 --  #ARG to ze win
Fri Jul 04 09:45:17 PDT 2014 --  @UrGirlsLuvDream pic.twitter.com/f4nf0iFNIO
Sat Jul 12 23:37:04 PDT 2014 --  #PrayForGaza plz
Sat Jul 12 23:21:53 PDT 2014 --  Going to Disney world NYC and DC on august 6 can't wait to c @omgAdamSaleh and @SheiikhAkbaar and @KarimyScreamy
Sat Jul 12 23:17:55 PDT 2014 --  How's everybody's summer been going
Tue Jun 24 18:59:21 PDT 2014 --  Bitch don't kill my vibe I can feel yo energy from two planets away
Mon Jun 23 10:58:59 PDT 2014 --  Fuck this damn life
Thu Apr 17 06:21:22 PDT 2014 --  fuck school so damn boring
Thu Jan 16 19:25:16 PST 2014 --  Bout to go take a #shower and go #sleeeeeeeeeeeeeeeep pic.twitter.com/5UNShYLJK7
Thu Jan 16 19:16:19 PST 2014 --  I nominate @fouseyTUBE for a Shorty Award in #activism because he is the most awesome bro i have ever seen he is fun http://shortyawards.com/fouseyTUBE?category=activism&via=lame999 …
Thu Jan 16 19:08:04 PST 2014 --  I nominate @KarimyScreamy for a Shorty Award in #actor because he is kind and sweet and he is funny http://shortyawards.com/KarimyScreamy?category=actor&via=lame999 …
Thu Jan 16 18:57:09 PST 2014 --  I nominate @TrueStoryASA for a Shorty Award in #youtubestar their videos are super funny and i want them to win http://shortyawards.com/TrueStoryASA?category=youtubestar&via=lame999 …
Tue Sep 24 05:30:15 PDT 2013 --  What the hell is going on@Alexis Dawn
Thu Aug 22 21:22:37 PDT 2013 --  whos ready for school everybody
Sat Jul 20 13:14:26 PDT 2013 --  I love #TrueStoryAsa
Sat Dec 29 09:07:39 PST 2012 --  #sleepy
Mon Dec 10 18:41:58 PST 2012 --  Hi
