Sun Aug 16 13:22:04 PDT 2015 --  If you're having a bad day, just watch this Pikachu squad dance for you pic.twitter.com/mMIc1vOXRc
Wed Jan 09 05:59:25 PST 2013 --  Le pregunté a mi perro: “¿Cómo me veo?” y me dijo: “¡Guau!”. Por eso lo amo tanto.
Wed Jan 09 05:30:22 PST 2013 --  La yema del huevo de avestruz, es la célula sola mas grande del mundo.
Sat Jan 05 19:52:43 PST 2013 --  Ay Si Ay Si, publica buenos días en Facebook y en su casa no es capaz de dar los buenos días a su familia.
Fri Jan 04 00:20:58 PST 2013 --  Lista de trucos científicamente probados que aumentan tu voluntad si te has propuesto no fumar, hacer dieta… http://bit.ly/TMCjrA 
Sun Nov 25 23:14:41 PST 2012 --  " @muyinteresante: Demostrado: estudiar toda la noche antes de un examen no es bueno http://bit.ly/WqxL8V "
Sun Nov 25 22:12:15 PST 2012 --  Odio cuando me piden UNA papa o UN dulce o UNA galleta y al momento de agarrar me dicen: "Ay te tomo dos" #WTF whyyy?? #noabusen
Wed Nov 14 21:02:26 PST 2012 --  Me encanta Dropbox porque es muy fácil enviar y recibir archivos pesados y en un tiempo muy corto! http://db.tt/n7gOja0X 
Mon Oct 29 14:52:57 PDT 2012 --  Puente oficial en UPIITA 1 Y 2 de noviembre
Sat Oct 27 18:15:08 PDT 2012 --  «Quien sólo busca el aplauso de los demás, pone su felicidad en manos ajenas » Oliver Goldsmith
Fri Oct 26 20:13:48 PDT 2012 --  «Todos quieren ir contigo en la limosina, lo importante es tener con quien ir en el autobús cuando la limosina se estropea» Oprah Winfrey
Tue Sep 25 02:49:06 PDT 2012 --  ¿Es malo usar Facebook y Twitter en horas de trabajo? Según esta investigación no lo es: http://bit.ly/NLnQXF 
Fri Sep 21 08:01:12 PDT 2012 --  Si te haces cosquillas a tí mismo es imposible que te rías. ¿Por qué? La ciencia lo explica: http://bit.ly/RmuL0c 
Fri Sep 21 10:10:15 PDT 2012 --  ¿Dónde se guardan los miedos en tu cerebro? En la amígdala. Y han demostrado que hay un modo de borrarlos: http://bit.ly/OLD3Zp 
Thu Sep 20 10:25:45 PDT 2012 --  suspencion de clases en UPIITA por amenaza de bomba..... http://via.me/-59uls9q 
Wed Sep 19 20:24:14 PDT 2012 --  «Mide lo que sea medible y haz medible lo que no lo sea» Galileo Galilei
Fri Sep 07 22:46:46 PDT 2012 --  El Karma es cuando en Mario Bros te mueres con el mismo caparazón que lanzaste.
Tue Aug 28 21:50:10 PDT 2012 --  "No duermas para descansar, duerme para soñar. Porque los sueños están para cumplirse." - Walt Disney
Tue Aug 28 21:31:34 PDT 2012 --  ¿FELICIDAD?... Felicidad es darle la vuelta a la almohada y seguir durmiendo.
Thu Aug 23 19:34:19 PDT 2012 --  #NuevoRecord WhatsApp reportó 10 mil millones de mensajes en un día.
Wed Aug 22 21:07:23 PDT 2012 --  Me urgen unos abrazos. Tuyos
Wed Aug 22 14:30:14 PDT 2012 --  Durante un estudio, sólo el 55% de los estadounidenses supo que el Sol es una estrella.
Wed Aug 22 17:25:17 PDT 2012 --  RT Hay estrellas caníbales que engullen a sus propios planetas. El Sol podría convertirse en una de ellas: http://bit.ly/NGXw2d 
Tue Aug 21 13:51:44 PDT 2012 --  Nunca sabes lo que tienes... hasta que entiendes la letra del doctor.
Tue Aug 21 12:24:32 PDT 2012 --  wooow!!! RT @CinePREMIERE: 10 cosas que queremos ver en Los Indestructibles 3 http://is.gd/rYW1yp  ¿qué quisieran ustedes?
Tue Aug 21 11:59:28 PDT 2012 --  La suerte se mide conforme cuantas papas te salen en una bolsa de aire.
Mon Aug 20 22:38:28 PDT 2012 --  RT @Culturizando: «Si ya sabes lo que tienes que hacer y no lo haces entonces estás peor que antes» Confucio
Sun Aug 19 22:03:21 PDT 2012 --  yo tambien puse "jajajaja" & no se me movio ni un musculo de la cara! :|
Thu Aug 16 14:35:09 PDT 2012 --  «Quien le da pan a perro ajeno, pierde el pan y pierde al perro» Juan Domingo Perón
Wed Aug 15 18:45:05 PDT 2012 --  La gente lee un 25% más lento en la pantalla de la computadora que en un papel.
Wed Aug 15 14:30:12 PDT 2012 --  El planeta con la más rápida rotación es Júpiter; cada revolución sobre si mismo dura menos de 10 horas.
Wed Aug 15 15:07:21 PDT 2012 --  Según estudio, besar disminuye el estrés, baja la presión arterial y cambia el semblante de la persona de negativo a positivo.
Tue Aug 14 20:04:50 PDT 2012 --  Señor, si cuando hiciste el mundo, exageraste tu poder, cuando hiciste a la mujer, te extralimitaste en tu diseño, en tu creación. Gonzalo V
Sun Aug 12 21:30:46 PDT 2012 --  # DatoInteresante RT @Culturizando: Según un estudio, un homre y una mujer aguantan un máximo de 70 minutos juntos al ir de compras.
Sun Aug 12 20:00:09 PDT 2012 --  «Si el problema tiene solución, por qué te preocupas?. Y si no la tiene, por qué te sigues preocupado?» Proverbio Chino
Sun Aug 12 20:11:17 PDT 2012 --  cómo te fue bro, te extrañe mucho hoy!!!, @RobertJrz
Fri Aug 10 20:45:04 PDT 2012 --  La cerveza tiene más de 2 mil componentes, vitaminas, minerales, y compuestos fenólicos que presentan propiedades antioxidantes.
Fri Aug 10 19:00:01 PDT 2012 --  ¿Su pareja está gorda? Sugiérale caminar 5 Km en el día y 5 en la tarde. En 15 días estará a 150 Km lejos de usted!
Fri Aug 10 18:24:12 PDT 2012 --  mientras tu me ignoras mi entrenadora de box me dice que le pegue más duro #truestory
Fri Aug 10 17:56:51 PDT 2012 --  RT @LloraDeRisa: Mientras tu me ignoras, mi cardiólogo insiste en cuidar mi corazón. jajaja
Fri Aug 10 17:00:06 PDT 2012 --  Recuerdo cuando Barbie era la única chica de plástico.
Tue Aug 07 15:56:30 PDT 2012 --  —¿Son novios? —*Ambos Sonríen* y *Sonríen* y *Sonríen* y *Sonríen* y *Sonríen* —Ah entiendo están drogados.
Thu Aug 09 18:06:32 PDT 2012 --  -¿Sabes cómo se llama el dinosaurio de Mario Bros? -No. -Yo-shi.
Thu Aug 09 19:06:43 PDT 2012 --  RT Moenia se presentará en la Ciudad de México el próximo 25 de agosto http://ow.ly/cRr6p  (vía @La_Taquilla) vamos? @pris8a
Thu Aug 09 16:17:09 PDT 2012 --  Viernes con "V" de.. Vente mañana y vamos al cine.
Wed Aug 08 23:01:21 PDT 2012 --  nunca sabes lo que pierdes hasta que lo encuentras... o cómo iba? O.o
Wed Aug 08 19:45:04 PDT 2012 --  #Gramática «Han habido algunas quejas» es incorrecto. Lo correcto es: «Ha habido algunas quejas».
Sun Aug 05 13:55:19 PDT 2012 --  Cuando dejes de buscar físicos perfectos, vas a encontrar hermosos corazones.
Tue Aug 07 21:30:05 PDT 2012 --  RT @Culturizando: El libro más robado en Estados Unidos es La Biblia.
Tue Aug 07 13:19:11 PDT 2012 --  Google Earth nos permite explorar el mundo entero y siempre terminamos buscando nuestra casa :)
Tue Aug 07 13:06:42 PDT 2012 --  En 100 años contando desde ahora, Facebook tendra 500 Millones de cuentas de personas muertas.
Tue Aug 07 09:18:16 PDT 2012 --  mientras tu me ignoras, mi nutriologa hace cita para verme!
Mon Aug 06 18:45:44 PDT 2012 --  Si vas a hacer algo nuevo, también tienes que estrenar fe.
Sat Aug 04 22:45:38 PDT 2012 --  «El amor es lo único que crece cuando se reparte» Antoine de Saint
Sat Aug 04 22:43:12 PDT 2012 --  RT @Culturizando: Durante el tiempo medio de vida de una persona, mientras duerme, se habrá comido un surtido de 70 insectos.
Sat Aug 04 16:15:07 PDT 2012 --  «Los que sueñan de día son conscientes de muchas cosas que escapan a los que sueñan sólo de noche» Edgar Allan Poe
Sat Aug 04 14:30:11 PDT 2012 --  La llamada de la ballena jorobada produce un sonido tan alto que puede ser escuchado a 926 Km. de distancia.
Sat Aug 04 13:51:17 PDT 2012 --  Tus "te extraño" no se ven bonitos si no parece que me extrañas.
Sat Aug 04 12:59:28 PDT 2012 --  - Mamá, mamá! en el colegio me dicen Shampoo.. - Ya, Johnson. No más lágrimas.
Sat Aug 04 13:11:27 PDT 2012 --  - ¿Saben ustedes por qué los hijos pequeños de Superman no se pelean entre ellos? - Porque son supermansitos.
Sat Aug 04 17:27:42 PDT 2012 --  RT @muyinteresante: Cuantas más horas pasas despierto, más lento eres pensando y tomando decisiones http://bit.ly/OCIEUl 
Sat Aug 04 17:22:49 PDT 2012 --  «Los que renuncian son más numerosos que los que fracasan» Henry Ford
Fri Aug 03 23:08:58 PDT 2012 --  "Esa mirada de amor tuya se quedo clavada en mi corazon....."
Fri Aug 03 15:10:33 PDT 2012 --  RT @muyinteresante: Por extraño que pueda parecer, en la Vía Láctea hay más planetas que estrellas: http://bit.ly/Pm4s2V 
Fri Aug 03 05:30:07 PDT 2012 --  Las hormonas revelan si una mujer está siendo maltratada http://ow.ly/cHJfr 
Thu Aug 02 20:51:53 PDT 2012 --  RT Durante el beso, unas 40 mil bacterias pasan de una boca a otra, la mayoría inofensivas y la saliva contiene sustancias desinfectantes.
Thu Aug 02 20:33:33 PDT 2012 --  Y dices que lo amas, dime igual que a mi o ¿a el si es de verdad?
Thu Aug 02 18:05:09 PDT 2012 --  Te dejaré de querer cuando México sea primer lugar en medallero olímpico.
Thu Aug 02 14:33:46 PDT 2012 --  RT @deciandecian: "Ignórala" decían, "así se va a enamorar de ti" decían.
Thu Aug 02 09:58:37 PDT 2012 --  wooow!! RT @Culturizando: Termitas se suicidan para proteger la colonia http://ow.ly/cG4pf 
Wed Aug 01 21:37:45 PDT 2012 --  jajaja RT @WillyWonkaDice: —Oye, voy a la tienda —¿Me traes algo? —Sí, te traigo ganas.
Wed Aug 01 18:15:11 PDT 2012 --  «El zapato que va bien a una persona es estrecho para otra: no hay receta de la vida que vaya bien para todos» Carl Gustav Jung
Wed Aug 01 21:29:59 PDT 2012 --  ouch! RT @BebLyy: Puedes reemplazarla, pero no puedes remplazar los momentos que viviste con ella.
Wed Aug 01 19:45:05 PDT 2012 --  #Gramática Se escriben con b las palabras con los prefijos bibli- y biblio-, que significan «libo» y bio- que significa «vida»
Wed Aug 01 21:27:48 PDT 2012 --  RT @ElDatoDelDia: La nueva calculadora de Google: http://bit.ly/NbTk9j 
Wed Aug 01 13:51:30 PDT 2012 --  -.- RT @muyinteresante: De noche, todos los humanos somos miopes: http://bit.ly/OIVh0j 
Wed Aug 01 06:30:11 PDT 2012 --  El colibrí puede volar a velocidades de hasta 90 km p/h bate sus alas entre 50 o 75 veces por segundo.
Tue Jul 31 21:00:15 PDT 2012 --  «El hombre más poderoso es aquel que es totalmente dueño de sí mismo» Aristóteles
Mon Jul 30 20:00:07 PDT 2012 --  "Por el amor de una rosa el jardinero es servidor de mil espinas" Proverbio Turco
Mon Jul 30 16:58:15 PDT 2012 --  'Métele al gym en verano', decían. 'Sí te va a dar buen tiempo', decían.
Mon Jul 30 05:58:56 PDT 2012 --  Pregunta Jaimito: Maestra, si "Car" es carro y "Men" es hombre... entonces "Carmen" es una Transformer???
Wed Jul 25 23:19:43 PDT 2012 --  mañana lo haré! RT @muyinteresante: ¿Sabes cocinar un huevo sin usar calor? Aquí tienes cómo: http://bit.ly/LNKQca 
Wed Jul 25 22:20:42 PDT 2012 --  RT @LloraDeRisa: Si amas a alguien, déjalo dormir
Wed Jul 25 20:37:42 PDT 2012 --  Así que lo dejaste por orgullo, Dime ¿Tu orgullo te besa igual?
Wed Jul 25 20:48:20 PDT 2012 --  Groenlandia se derrite en 4 días, el mayor deshielo en 30 años - http://shar.es/tMULQ  [FOTO] - pic.twitter.com/mMFNmYbF
Wed Jul 25 21:13:17 PDT 2012 --  RT "Tú dices que amas la lluvia pero sin embargo usas paraguas #CuandoLlueve, por eso tengo miedo cuando dices que me amas" interesante :S
Wed Jul 25 17:05:32 PDT 2012 --  Me gustas, y mucho. ¿Cómo le hacemos?
Wed Jul 25 16:03:22 PDT 2012 --  A mi tambien me dijieron " te debo el regalo" y todavia lo estoy esperando
Wed Jul 25 11:33:21 PDT 2012 --  Dora la exploradora tiene 5 años y tiene mas libertad que yo.
Wed Jul 25 11:33:31 PDT 2012 --  El 97% de la capa de hielo de Groenlandia se derrite en 4 días, el mayor deshielo en 30 años - http://w.santicon.info/P0mXd2 
Tue Jul 24 17:38:06 PDT 2012 --  Ay Si Ay Si, ven Proyecto X y ya todos quieren una fiesta así.
Tue Jul 24 15:30:26 PDT 2012 --  Estoy teniendo un día bastante ocupado transformando el aire en dióxido de carbono.
Tue Jul 24 15:15:25 PDT 2012 --  Es ley: nuestros amigos siempre se hacen los educados cuando estan en nuestras casas.
Mon Jul 23 07:05:28 PDT 2012 --  No estés triste. No me tendrás, pero puedes presumir que me conoces.
Mon Jul 23 09:48:10 PDT 2012 --  RT @navaady: Si no te stalkea, no le gustas. jajajaja
Sun Jul 22 11:47:29 PDT 2012 --  y no, no estoy "tuiteando" nada :P @pris8a
Sat Jul 21 21:48:59 PDT 2012 --  Algunos tienen dinero, otros tienen belleza, y yo tengo sueño.
Sat Jul 21 19:58:32 PDT 2012 --  ooooh @pris8a RT @Culturizando: #Diccionario Plañir: Gemir y llorar, sollozando o clamando.
Sat Jul 21 19:57:32 PDT 2012 --  ticher @pris8a RT @Culturizando: #Gramática «hubieron problemas para entrar» es incorrecto. Lo correcto es: «hubo problemas para entrar».
Sat Jul 21 12:46:11 PDT 2012 --  RT @Culturizando: La luz solar es un anti depresivo natural.
Fri Jul 20 08:13:06 PDT 2012 --  RT @muyinteresante: Si te gustan los coches no te pierdas este superdeportivo Lexus LFA de 700.000$ pintado en cromo: http://bit.ly/NBbJP0 
Thu Jul 19 05:21:58 PDT 2012 --  orale! por fin: RT ¿Tienes humor y te gusta la ciencia? No te pierdas este concurso organizado por la U. Carlos III http://bit.ly/Oa0lbU 
Wed Jul 18 18:40:34 PDT 2012 --  RT @ChuckNorrisDice: Mi equipo para el Apocalipsis zombie. http://po.st/WAK4M3 
Wed Jul 18 10:44:43 PDT 2012 --  RT @ConaIep: El 100% de los actores de La Rosa de Guadalupe son egresados de nuestra institusion. Conalep, cultura enprendedora.
Wed Jul 18 07:30:56 PDT 2012 --  Te presentamos TAGwear, un chip termoeléctrico que genera energía a partir de nuestro calor http://ow.ly/cjq8m 
Tue Jul 17 23:21:02 PDT 2012 --  RT @Culturizando: Los manuales más antiguos sobre sexualidad se escribieron en China hace unos 5000 años. #UnSegundoMásDeSexo actualizado!
Tue Jul 17 16:32:34 PDT 2012 --  JAJAJA RT @_Ay_Si_Ay_Si_: ¡Ay Si!, ¡Ay Si!, INBOX que todos vean que platicamos en secreto y se mueran de envidia porque no saben de qué.
Tue Jul 17 16:21:37 PDT 2012 --  jajaja q risa no? @pris8a jajaja RT A mí abrázame BIEN & FUERTE. Nada de palmaditas en el hombro.
Sun Apr 22 20:04:37 PDT 2012 --  "Mama tengo novia" en cual de los juegos hijo?
Thu May 17 17:38:04 PDT 2012 --  Mama tengo novia. Hijo, guarda tus chistes para el twitter
Sun Jul 15 08:30:47 PDT 2012 --  Para más información acerca de nuestro Congreso #unsegundomasdesexo, visita nuestra página: http://www.unsegundomas.com.mx 
Sun Jul 15 08:22:13 PDT 2012 --  #unsegundomasdesexo 27 y 28 de julio
Sun Jul 15 08:23:09 PDT 2012 --  Te imaginas un congreso sobre sexo y ademas gratis? Mejor que la exposexo #unsegundomasdesexo
Sun Jul 15 08:24:04 PDT 2012 --  #UnSegundoMasDeSexo te va a encantar
Sun Jul 15 08:26:58 PDT 2012 --  #unsegundomasdesexo el mejor regalo!!! :)
Sun Jul 15 08:28:57 PDT 2012 --  ¡Asiste a nuestro Congreso este 26 & 27 de Julio! #unsegundomasdesexo #unsegundomasdesexo #unsegundomasdesexo #unsegundomasdesexo
Sun Jul 15 08:30:08 PDT 2012 --  Expertos en sexo en nuestro congreso http://unsegundomas.com.mx  #unsegundomasdesexo
Fri Jul 13 11:18:39 PDT 2012 --  Si eres débil tratarás de vengarte, si eres fuerte perdonarás y si eres inteligente sólo ignorarás.
Thu Jul 12 15:58:05 PDT 2012 --  Si No te dejan un letrero como el de Camdelario...Sencillamente NO TE AMA!! #FrasesDeMexicanos #UnMundoPerfectoDonde pic.twitter.com/6iRwlSls
Thu Jul 12 16:53:10 PDT 2012 --  ¯\__(ツ)__/¯
Thu Jul 12 09:46:02 PDT 2012 --  RT @CinePREMIERE: Odín y Jane Foster compartirán escenas en Thor 2 !!
Thu Jul 12 09:44:25 PDT 2012 --  RT @lopezdoriga: Hoy es el Día del Abogado. Felicidades.
Thu Jul 12 05:30:01 PDT 2012 --  ¿Estás nervioso? ¿Malhumorado? Comer helado te relaja y mejora tu estado de ánimo: http://bit.ly/LRnsXU 
Wed Jul 11 14:28:21 PDT 2012 --  "Elige un trabajo que te guste y no tendrás que trabajar ni un día de tu vida." - Confucio.
Wed Jul 11 12:30:14 PDT 2012 --  ATENCIÓN: Tienes iPhone? NO actualices tu whatsapp se encontró un bug y hace que la app no funcione http://shar.es/tvwQb 
Wed Jul 11 12:58:28 PDT 2012 --  La primera fotografía de la sombra de un átomo http://bit.ly/LHDM1U 
Tue Jul 10 16:59:51 PDT 2012 --  Mientras tú me ignoras, RedBull me da alas.
Tue Jul 10 20:50:17 PDT 2012 --  RT @SantiContreras: Los CD fueron diseñados para tener capacidad de 74 Min. de música porque esa (cont) http://tl.gd/i9424h 
Tue Jul 10 12:08:44 PDT 2012 --  RT @CinePREMIERE: Nuevo trailer de Indiana Jones: The Complete Adventures (Blu-ray) http://goo.gl/Wumgl  ¿Los convence para comprarla?
Sat Jul 07 16:40:52 PDT 2012 --  A los niños emos los castigan comprándoles cajitas felices.
Tue Jul 10 11:19:18 PDT 2012 --  —¿Cuánto llevan de novios? —Quince canciones, dos horas chateando, y trece inbox.
Tue Jul 10 07:39:12 PDT 2012 --  Almacena la Palabra cuando no la necesitas, porque no sabes cuando la vas a necesitar. - John Osteen
