Sun Aug 09 03:19:24 PDT 2015 --  One Direction Is my pick for http://Billboard.com  Fan Army #Directioners http://www.billboard.com/fan-army-bracket … ..
Sun Aug 09 03:19:12 PDT 2015 --  One Direction Is my pick for http://Billboard.com  Fan Army #Directioners http://www.billboard.com/fan-army-bracket … .
Sun Aug 09 03:19:04 PDT 2015 --  One Direction Is my pick for http://Billboard.com  Fan Army #Directioners http://www.billboard.com/fan-army-bracket …
Fri Jul 24 07:48:26 PDT 2015 --  :)My #TeenChoice for #ChoiceSelfieTaker is @onedirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Wed Jul 22 06:35:57 PDT 2015 --  @netmediatama please play This Is Us movie tommorow bcs it's make directioner smile thx for the attention #NetShouldPlayThisIsUs
Wed Jul 22 06:39:36 PDT 2015 --  @netmediatama could you please play this is us just for Indonesian directioners ? We hope u could #NetShouldPlayThisIsUs
Wed Jul 22 06:44:35 PDT 2015 --  Please tayangin film this is us tgl 23 july besok cc: @netmediatama #NetShouldPlayThisIsUs pic.twitter.com/3YyQhzFRlJ
Wed Jul 22 07:01:10 PDT 2015 --  @netmediatama #NetShouldPlayThisIsUs #NetShouldPlayThisIsUs #NetShouldPlayThisIsUs
Wed Jul 22 07:13:54 PDT 2015 --  #NetShouldPlayThisIsUs could you? @netmediatama play this is us for celebrate 5th anniversary of One Direction.
Sun Jul 19 10:39:25 PDT 2015 --  INDONESIAN, RT THIS IF YOU AGREE #NetShouldPlayThisIsUs pic.twitter.com/s1PJ04pIZx
Mon Jul 20 18:53:01 PDT 2015 --  Let's make this happen guyyssss RT if you're Indonesian guyssss #NetShouldPlayThisIsUs
Mon Jul 20 20:51:32 PDT 2015 --  #PramborsPlayUpAllNightAlbumTillFourAlbum @Prambors #NetShouldPlayThisIsUs @netmediatama For @onedirection 's 5th anniversary on july 23rd
Mon Jul 20 21:11:21 PDT 2015 --  #NetShouldPlayThisIsUs YES YOU SHOULD PLEASE. ONE DIRECTION WILL HAVE THEIR 5th ANNIVERSARY ON 23rd JULY SO PLEASEE PLAY IT @netmediatama
Tue Jul 21 07:45:29 PDT 2015 --  Honestly, Net. tv is my fav. If they can make our hopes come true, i'll fall more deep down in love to Net. #NetShouldPlayThisIsUs
Tue Jul 21 07:48:13 PDT 2015 --  If we can make all of our hastag to be trend, and #NetShouldPlayThisIsUs will be the next.
Wed Jul 22 00:50:25 PDT 2015 --  kpn di notice astaga 23july is 5th anniversary @onedirection so could #NetShouldPlayThisIsUs @netmediatama
Wed Jul 22 03:53:00 PDT 2015 --  23july is 5th anniversary @onedirection So could #NetShouldPlayThisIsUs @netmediatama and break out special One Direction @Breakout_NET
Wed Jul 22 06:44:08 PDT 2015 --  @netmediatama on July 23rd it's 1D 5th anniv, could #NetShouldPlayThisIsUs,pls,Indonesian Directioners will be happy #HarryAppreciationDay
Tue Jul 21 10:51:32 PDT 2015 --  one direction isn't nominated for a VMA pic.twitter.com/AiKUdhwHZJ
Tue Jul 21 08:37:41 PDT 2015 --  Tayangin This Is Us tanggal 23 July pleasee #NetShouldPlayThisIsUs @netmediatama
Tue Jul 21 08:37:26 PDT 2015 --  Tayangin This Is Us tanggal 23 July pleasee #NetShouldPlayThisIsUs @netmediatama
Mon Jul 20 19:48:14 PDT 2015 --  Dlm rangka menyambut ultah 1D yg ke 5thn, Directioners minta tlng tayangin This Is Us ya min. Please @netmediatama #NetShouldPlayThisIsUs
Mon Jul 20 19:55:45 PDT 2015 --  Min Liy mau bantu yaa #NetShouldPlayThisIsUs tadi ada yanh ask di ask.fm Jangan lupa kalian juga ya guys min Liy off.
Tue Jul 21 07:50:56 PDT 2015 --  Please @netmediatama , tayangin This Is Us tanggal 23 juli. Pasti yang minat banyak dan ratingnya langsung meningkat #NetShouldPlayThisIsUs
Mon Jul 20 05:27:31 PDT 2015 --  @netmediatama on 23rd July ITS One direction 5th Anniv could you #NetShouldPlayThisIsUs directioners Will Happy :) x pic.twitter.com/heeqxXk3FN
Tue Jul 21 08:35:43 PDT 2015 --  Tayangin This Is Us tanggal 23 July pleasee #NetShouldPlayThisIsUs @netmediatama
Tue Jul 21 08:35:36 PDT 2015 --  Tayangin This Is Us tanggal 23 July pleasee #NetShouldPlayThisIsUs @netmediatama
Tue Jul 21 08:35:20 PDT 2015 --  Tayangin This Is Us tanggal 23 July pleasee #NetShouldPlayThisIsUs @netmediatama
Tue Jul 21 07:52:27 PDT 2015 --  Please @netmediatama tanyangin This Is Us pd tanggal 23 juli #NetShouldPlayThisIsUs
Tue Jul 21 08:10:44 PDT 2015 --  @netmediatama #NetShouldPlayThisIsUs Tanggal 23 Juli nnti tayangin This Is Us kak pleaseee
Mon Jul 20 21:46:41 PDT 2015 --  #PramborsPlayUpAllNightTillFourAlbum ON 1D'S ANNIVERSARY PLEASE!! AKU STREAM SEHARIAN DEH NANTI!!
Mon Jul 20 22:38:30 PDT 2015 --  This tweet is an appreciation for niall's hand #NiallAppreciationDay #PramborsPlayUpAllNightTillFourAlbum pic.twitter.com/8I7PIq7FSe
Mon Jul 20 22:27:50 PDT 2015 --  I love u as much as i love pizza cause u both look alike #NiallAppreciationDay #PramborsPlayUpAllNightTillFourAlbum pic.twitter.com/kmdjLQChMp
Mon Jul 20 23:00:48 PDT 2015 --  #PramborsPlayUpAllNightTillFourAlbum On July 23rd pleasee. It's @onedirection 5th birthday @Prambors
Tue Jul 21 02:35:14 PDT 2015 --  I love Them aka One Direction with all of my heart #PramborsPlayUpAllNightTillFourAlbum
Tue Jul 21 03:00:41 PDT 2015 --  Help us Indonesian fellows on Trending #PramborsPlayUpAllNightTillFourAlbum on 23 (One Direction's 5th Anniversary on Twitter
Tue Jul 21 03:04:57 PDT 2015 --  c'mon Indonesian Directioners make #PramborsPlayUpAllNightTillFourAlbum become trending topic!!
Tue Jul 21 07:21:59 PDT 2015 --  23 July is 5th anniversary @onedirection so could #PramborsPlayUpAllNightTillFourAlbum pleaseee!! We're begging you @Prambors
Mon Jul 20 17:54:56 PDT 2015 --  IM STILL LAUGHING BC OF THIS LMAO HI NIALL MALIK #NiallAppreciationDay pic.twitter.com/KeTA5603eJ
Mon Jul 20 18:33:46 PDT 2015 --  #NiallAppreciationDay @NiallOfficial @1DtoIndonesia pic.twitter.com/za4OxJmx6F
Mon Jul 20 20:57:13 PDT 2015 --  His little tummy #NiallAppreciationDay pic.twitter.com/1USa00FiMZ
Mon Jul 20 09:34:56 PDT 2015 --  #1DIndosiar OH MY GOSHHHH
Mon Jul 20 07:19:05 PDT 2015 --  My #TeenChoice for #ChoiceInternationalArtist is @onedirection
Mon Jul 20 07:19:25 PDT 2015 --  My #TeenChoice for #ChoiceLoveSong is #NightChanges by @onedirection
Mon Jul 20 07:20:05 PDT 2015 --  My #TeenChoice for #ChoiceSummerMusicStarGroup is #onedirection
Mon Jul 20 07:19:48 PDT 2015 --  My #TeenChoice for #ChoicePartySong is #NoControl by @onedirection
Mon Jul 20 07:20:22 PDT 2015 --  My #TeenChoice for #ChoiceSummerTour is #OnTheRoadAgainTour! @onedirection
Mon Jul 20 07:20:37 PDT 2015 --  My #TeenChoice for #ChoiceSelfieTaker is @onedirection
Sun Jul 19 21:48:32 PDT 2015 --  #LiamAppreciationDay pic.twitter.com/layhSrsi18
Sun Jul 19 09:21:13 PDT 2015 --  I'm so bad at twitter
Fri Jul 17 03:59:52 PDT 2015 --  #EidMubarak to Muslims all over't plaaaace Hope you enjoy your well-deserved lunches
Sat Jul 18 22:04:48 PDT 2015 --  #LouisAppreciationDay Louis Tomlinson pic.twitter.com/SPFVDj3NXZ
Sat Jul 18 21:55:50 PDT 2015 --  off to work, please keep tweeting #LouisAppreciationDay !! my friend will be tweeting for me for the next few hours x
Sat Jul 18 17:48:12 PDT 2015 --  dodgeball obsessed. #LouisAppreciationDay pic.twitter.com/Y2mUkxWW1K
Thu Jul 16 08:38:35 PDT 2015 --  Have you signed up for your #1DFragrance e-alert yet? Be one of the first to get your hands on Between Us. http://smarturl.it/BetweenUSEAlert 
Tue Jul 14 07:59:04 PDT 2015 --  je souhaite gagné 6/5 des 1D en dm solo mis en jeu par @givesolodmforu
Tue Jul 14 09:52:39 PDT 2015 --  #HarryBeCareful is trending number 1 world wide cause some "fan" thought it'd be funny to say Harry was going to get killed at MetLife -N
Mon Jul 13 14:02:21 PDT 2015 --  I want to live in a world where every sick child can see a doctor. https://youtu.be/vNQi8N0YxNE  #action1D
Tue Jul 14 08:38:17 PDT 2015 --  My #TeenChoice for #ChoiceInternationalArtist is @onedirection pic.twitter.com/0DV2EZPdmo
Tue Jul 14 08:37:30 PDT 2015 --  My #TeenChoice for #ChoiceLoveSong is #NightChanges by @onedirection pic.twitter.com/MVA73AKbZs
Tue Jul 14 01:54:36 PDT 2015 --  zayn has no chill good job dude
Sat Jul 11 08:07:30 PDT 2015 --  update accounts enjoy to cause drama saying harry & kendall went clubbing when there were other people with them, also there aren't any pics
Fri Jul 10 22:02:24 PDT 2015 --  Wow ! Crazy isn't it ... Love ittttttt https://twitter.com/louis_tomlinson/status/619656053039497217 …
Fri Jul 10 21:57:35 PDT 2015 --  Lookin forward to a great weekend, between the gig tomorrow then @TheNotoriousMMA fight and @westmeath_gaa in the Leinster final
Fri Jul 10 10:21:53 PDT 2015 --  #HondaCivicTour in San Diego with One Direction was the biggest show in Civic Tour history! #OTRATour pic.twitter.com/xg3P7emvNM
Fri Jul 10 10:00:16 PDT 2015 --  Congratulations to @5sos, @littlemix and @onedirection who have been nominated in the 2nd wave of this year's @teenchoiceFOX! #TeenChoice
Thu Jul 09 03:06:06 PDT 2015 --  @Breakout_NET #Breakoutnetrequest besok tayangin spesial one direction donk
Thu Jul 09 03:42:04 PDT 2015 --  THE NEW OTRA STAGE FOR THE NORTH AMERICAN LEG !!! #OTRASanDiego pic.twitter.com/Mm2wvZJXg9
Thu Jul 09 03:02:00 PDT 2015 --  OTRA San Diego
Thu Jul 09 01:02:52 PDT 2015 --  IM ALL YOURS IVE GOT NO CONTROLL NO CONTROLL
Thu Jul 09 00:13:52 PDT 2015 --  I SEE FU CKING LOUIS TODAY I SEE NIALL TODAY I SEE HARRY TODAY I SEE LIAM IM GOING TO FLOP LIKE A FISH OVER THE CROWD & ONTO THW STAGE
Sun Jul 05 18:02:06 PDT 2015 --  Calling all #Directioners! @Real_Liam_Payne & Sophia Smith are nominated for #HCCOTS! http://bit.ly/1LXH5fL  #Sophiam pic.twitter.com/0u05qT5kyv
Mon Jul 06 10:25:41 PDT 2015 --  #HCCOTS #Sophiam RelationshipGoals @Real_Liam_Payne pic.twitter.com/RapgqFpQ1v
Tue Jul 07 10:22:16 PDT 2015 --  Buat yg kaya giniii plsss @CocaCola_ID pic.twitter.com/haBGHmkKLZ
Tue Jul 07 08:06:59 PDT 2015 --  #.CANCELYOURENGAGEMENTZAYN hastag is the worst trending the fandom ever made
Tue Jul 07 06:28:52 PDT 2015 --  Yessss ! Get in ! @DjokerNole congrats
Mon Jul 06 08:40:06 PDT 2015 --  Very sad to hear of the passing of Julie , very nice lady! Condolences are with Simon and his family at this time ...
Tue Jul 07 00:34:04 PDT 2015 --  One year since this happened. https://twitter.com/harry_styles/status/486055188948877312 …
Mon Jul 06 08:28:13 PDT 2015 --  Liam's high note is so fucking amazing. Your arguement is invalid.
Mon Jul 06 07:23:02 PDT 2015 --  #HarrySayNoToAfter @Harry_Styles
Mon Jul 06 03:00:04 PDT 2015 --  Daily OTRA Countdown Australia Asia South Africa UAE Europe North America - 3 UK - 78 Ireland - 102
Sat Jul 04 23:59:50 PDT 2015 --  Last seen: Harry - Nobu in Malibu Louis - LA Niall - Wireless Festival in London Liam - Universal Studio in Orlando
Sat Jul 04 22:31:08 PDT 2015 --  #HollywoodChoice One Direction
Wed Jul 01 07:15:21 PDT 2015 --  1D VS EXO now! #HollywoodChoice One Direction #BestFandom Directioners
Sat Jul 04 21:09:20 PDT 2015 --  Some info abt 1D Exclusive Preview Night happening this Thursday!Send an ask if u have any qns http://ask.fm/OneDAsiaCrew  pic.twitter.com/V53km2vFcx
Fri Jul 03 21:47:03 PDT 2015 --  Happy 4th! #americanfollowparty pic.twitter.com/j9cTEu4iVq
Sat Jul 04 14:28:52 PDT 2015 --  Niall at Wireless Festival at Finsbury Park in London, today! (July 4th) #1-4 pic.twitter.com/oLWZqradwu
Sat Jul 04 11:27:44 PDT 2015 --  Louis' most recent Instagram posts! pic.twitter.com/3BetWkwJxV
Sat Apr 11 09:02:54 PDT 2015 --  It's been five years. Thank you for all your support so far. Isn't it lovely. H
Fri Jul 03 23:13:25 PDT 2015 --  Hello @Louis_Tomlinson @Harry_Styles @Real_Liam_Payne @zaynmalik pic.twitter.com/YAqoNdRaNJ
Fri Jul 03 14:32:05 PDT 2015 --  Current location: Harry, Louis - LA Niall - London Liam - Orlando, Florida
Fri Jul 03 21:11:53 PDT 2015 --  Siiiiiick day writing with @LunchMoneyLewis @JASONEVIGAN1 @jacobkasher !!
Fri Jul 03 10:02:02 PDT 2015 --  Loving the weather :D
Fri Jul 03 09:34:00 PDT 2015 --  did harry just say bollocks
Fri Jul 03 09:29:57 PDT 2015 --  Daaaaaamn it's hot
Fri Jul 03 09:32:22 PDT 2015 --  'He kicks them in the bollocks every show', Harry about Liam singing Zayn's high note on SOML
Fri Jul 03 02:41:52 PDT 2015 --  @the1Dscene HIII IM SELLING ONE FLOOR TICKET NEGOTIABLE (A1 ROW 6 SEAT 10) TO OTRA SAN DIEGO FOR $180!! DM ME OR RETWEET PLEASE
Fri Jul 03 01:36:04 PDT 2015 --  Niall leaving the annual Modest! Summer Party in London yesterday #3 pic.twitter.com/Mug0b8THls
