Sat Aug 29 07:41:52 PDT 2015 --  Quote of the Day http://nyti.ms/1MUaoSD  pic.twitter.com/wN4lACE8jJ
Sat Aug 29 07:33:44 PDT 2015 --  Liberals promise this "free" or "affordable" what that really means is "taxes"
Fri Aug 28 08:32:11 PDT 2015 --  @ana_sauvignon I guess were not going to be getting that place in cape cod now. https://twitter.com/BI_Defense/status/637286342846738432 …
Fri Aug 28 07:36:33 PDT 2015 --  my boobs hurt
Fri Aug 28 07:28:23 PDT 2015 --  JUST IN: Ashley Madison CEO Noel Biderman has resigned.
Fri Aug 28 07:05:23 PDT 2015 --  we are not friends, you're embarrassing yourself.
Fri Aug 28 06:45:21 PDT 2015 --  all the local stores are running out of supplies, water, food etc. because of the hurricane & I'm just praying they don't run out of wine.
Fri Aug 28 03:35:03 PDT 2015 --  This underemployed woman is selling her college diploma, and "college experience," on eBay http://on.mash.to/1PBvq7T  pic.twitter.com/Cpn4awXinO
Thu Aug 27 21:10:29 PDT 2015 --  your feminism doesn't make sense. goodnight.
Thu Aug 27 20:29:44 PDT 2015 --  Is your soul intact?
Thu Aug 27 20:54:12 PDT 2015 --  I work 90% of the week, the rest of my time is me time so I have no friends and I really don't care. Lol
Thu Aug 27 18:39:41 PDT 2015 --  @AskMen garbage. Curvy and skinny women are equally attractive.
Thu Aug 27 20:50:33 PDT 2015 --  this woman isn't even skinny https://twitter.com/askmen/status/637075131005800449 …
Thu Aug 27 19:55:55 PDT 2015 --  BREAKING NEWS: Shooting at Savannah State University. Campus on lockdown http://wp.me/p5bZm6-32w 
Thu Aug 27 19:52:37 PDT 2015 --  Wine o'clock has been added to the Oxford dictionary. I mean yay, but really? http://blog.oxforddictionaries.com/2015/08/new-words-update-manspreading-mic-drop/ …
Thu Aug 27 19:46:47 PDT 2015 --  really just want tomorrow's work day to be over so I can come home & cuddle with wine & my vinyls
Thu Aug 27 19:43:06 PDT 2015 --  VIDEO REPORT: Gas priced at 99 cents a gallon in Ohio. WATCH: http://wp.me/p5bZm6-329  pic.twitter.com/X21oIMeX7O
Thu Aug 27 16:12:23 PDT 2015 --  where the poets at?
Thu Aug 27 17:29:47 PDT 2015 --  pic.twitter.com/TW2G9QNney
Thu Aug 27 06:08:34 PDT 2015 --  When you get done paying bills and only have $10 left for the week pic.twitter.com/9pY4YcdwyL
Thu Aug 27 16:05:24 PDT 2015 --  well.
Thu Aug 27 16:00:45 PDT 2015 --  two of the saddest feelings are going to a store & realizing you have every shade of lipstick or buying a shade you forgot you already had.
Thu Aug 27 15:54:12 PDT 2015 --  in love with my pumpkin spice candle
Thu Aug 27 13:57:57 PDT 2015 --  I hate hurricane season.
Thu Aug 27 12:39:23 PDT 2015 --  If I told you once, I told you twice.
Thu Aug 27 08:11:43 PDT 2015 --  Clinton saying she "asked" for her work emails to be released is like me saying I've asked for my taxes to be sent to the IRS.
Thu Aug 27 09:47:21 PDT 2015 --  I'm pissed that I'm off on Labor Day
Thu Aug 27 06:01:12 PDT 2015 --  coffee
Tue Aug 25 00:48:05 PDT 2015 --  Having sex while high feels amazing especially when you're not having sex and you're not high and you're actually reading the bible
Thu Aug 27 05:07:26 PDT 2015 --  this is about the 5th payday I have forgotten about
Thu Aug 27 05:00:39 PDT 2015 --  almost the end of August & Frank is still MIA
Thu Aug 27 04:57:07 PDT 2015 --  being sick is so much fun
Thu Aug 27 04:29:34 PDT 2015 --  Is 2day #CabernetDay or is it 9/3? Who Cares! #celebrate now Read http://rockinredblog.com/2015/08/26/all-hail-the-king-international-cabernet-sauvignon-day/ … & share #WIYG #wine pic.twitter.com/FYLR9Hlt7t
Wed Aug 26 19:56:07 PDT 2015 --  Never fails.
Wed Aug 26 19:08:54 PDT 2015 --  don't understand why women waste $13 on a small fruity margarita that barely has alcohol for an IG post when there's wine & your bed.
Mon Aug 24 08:11:34 PDT 2015 --  Women Are Allowed To Vote In Saudi Arabia For The First Time In Its History http://www.buzzfeed.com/rossalynwarren/voting-rights-in-saudi-arabia?bftwnews&utm_term=4ldqpgc#4ldqpgc … pic.twitter.com/KyrZwkarVL
Wed Aug 26 18:34:21 PDT 2015 --  I'll take care of you
Wed Aug 26 18:25:56 PDT 2015 --  It's not hard to be a good person
Wed Aug 26 17:44:07 PDT 2015 --  Yall jus gone act like this ain't happen? pic.twitter.com/UVPBfrIpJ5
Sun Jun 28 17:57:26 PDT 2015 --  God: you are an alto Alicia Keys: no. I can do it. I can be a soprano God: Alicia pls Alicia: no God.
Wed Aug 26 17:13:06 PDT 2015 --  I'm exhausted.
Wed Aug 26 15:23:49 PDT 2015 --  2 years ago Trump was sucking up to dreamers and talking about how good the illegals working for him are: http://www.buzzfeed.com/adriancarrasquillo/that-time-donald-trump-had-a-meeting-with-dreamers-and-said?utm_term=.olPa0GnX0#.usPa7nLAR … #ConArtist
Wed Aug 26 15:01:03 PDT 2015 --  this salad is feeding my soul rn
Wed Aug 26 14:39:55 PDT 2015 --  "Controversy sparks controversy and you wont believe what happens next" https://twitter.com/ana_sauvignon/status/636654094980005892 …
Wed Aug 26 14:38:59 PDT 2015 --  I roll my eyes when a headline reads "____ sparks controversy" We officially live in sensitive America, EVERYTHING sparks controversy.
Wed Aug 26 11:35:03 PDT 2015 --  how could you possibly wake up angry, when the possibility of having coffee and reading a book exists?
Mon Aug 24 10:47:25 PDT 2015 --  Pssst... 1 month
Wed Aug 26 10:18:19 PDT 2015 --  the fuck for? I've written sexts better than this book https://twitter.com/freebeacon/status/636587577538146304 …
Wed Aug 26 09:44:06 PDT 2015 --  need wine
Wed Aug 26 09:28:42 PDT 2015 --  Your faith is not to help you avoid problems but to go through problems with stability.
Wed Aug 26 09:43:36 PDT 2015 --  idgaf what color killed what color, you killed somebody. that should be the only issue to concern ourselves with.
Wed Aug 26 06:56:51 PDT 2015 --  AWFUL. One of the producers at #wbdj's was the finance of the videographer. She literally watched her fiancé get killed during the shot.
Wed Aug 26 06:46:22 PDT 2015 --  This was not a war zone. Journalists were doing a perfectly safe story all local TV stations do. Yet they get shot, on air. This is America
Wed Aug 26 06:27:31 PDT 2015 --  MUST SEE! VIDEO: #Breakingnews Deadly Shooting During Live TV News Report, WDBJ journalists died during the shooting https://www.youtube.com/watch?v=f6kLCJ9CujQ …
Wed Aug 26 05:44:46 PDT 2015 --  Torn between summer sale items and pre fall collections.
Wed Aug 26 05:20:36 PDT 2015 --  I forgot to put veggies in my smoothie bc I filled it up with too many fruits
Wed Aug 26 05:15:40 PDT 2015 --  berry & banana smoothie
Tue Aug 25 20:31:04 PDT 2015 --  missing my blonde but not my old iPhone 4S quality pic.twitter.com/2HE8caMdLs
Tue Aug 25 19:14:24 PDT 2015 --  FKA twigs is my soul
Tue Aug 25 18:58:12 PDT 2015 --  I would describe you as a wealth of Sunday's
Tue Aug 25 18:56:39 PDT 2015 --  there is honesty in your touch
Tue Aug 25 18:55:07 PDT 2015 --  kiss the fright off your lips
Tue Aug 25 18:54:43 PDT 2015 --  I curled up on your chest and learned patience
Tue Aug 25 18:53:17 PDT 2015 --  my heart thanks you both @KingJasmineMans @Poppyinthewheat pic.twitter.com/xm4FfvZnFO
Tue Aug 25 18:38:48 PDT 2015 --  forever skeptical of people who claim to be good writers bc they've been published when I've seen some of the worst published writing
Tue Aug 25 17:35:36 PDT 2015 --  conceited personalities are incredibly unattractive
Tue Aug 25 16:54:37 PDT 2015 --  #YourDailyReminder: Planned Parenthood is selling baby organs and you're all paying for it.
Tue Aug 25 16:38:22 PDT 2015 --  " @ana_sauvignon: Stop making the Kardashians front page news." all in favour of sending them to the shadow realm, say "I"
Tue Aug 25 16:35:50 PDT 2015 --  love makes people so stupid
Tue Aug 25 16:15:03 PDT 2015 --  Stop making the Kardashians front page news.
Tue Aug 25 12:22:38 PDT 2015 --  I miss @ana_sauvignon too #baerrito
Tue Jul 30 11:46:56 PDT 2013 --  women will tell u they run shit. But theyll disfigure themselves bc we like fat asses. The power is ours pic.twitter.com/5FGEk0R9Us
Tue Aug 25 09:23:03 PDT 2015 --  Organ Buyer: Happiness is ‘Another 50 Livers a Week’ http://freebeacon.com/issues/organ-buyer-happiness-is-another-50-livers-a-week/ …
Tue Aug 25 06:34:47 PDT 2015 --  this whole "women should be allowed to be topless" thing irks me
Tue Aug 25 05:55:52 PDT 2015 --  my office smells like coffee
Tue Aug 25 05:53:29 PDT 2015 --  when I say I'm not a morning person for the billionth time, I think it'd be just safe not to speak to me before noon.
Tue Aug 25 05:29:44 PDT 2015 --  Good morning pic.twitter.com/QwKNkkjv7H
Tue Aug 25 05:48:23 PDT 2015 --  this cold is killing my work & gym vibe
Tue Aug 25 01:33:48 PDT 2015 --  I'm gonna pray about it
Mon Aug 24 20:12:59 PDT 2015 --  MT @blakehounshell: Obama calls opponents of the Iran deal ‘the crazies’ pic.twitter.com/7yffcCxMD1
Mon Aug 24 20:06:03 PDT 2015 --  *white person makes stereotypical racial comment* "That's not racist of me to say.." pic.twitter.com/AZtJTOgwvJ
Mon Aug 24 19:51:48 PDT 2015 --  "My intention wasn't to offend you so I'm not being racist." Well, actually you are, you're just blinded by your lack of pigmentation.
Mon Aug 24 19:48:27 PDT 2015 --  when white people don't realize they're being racist...
Mon Aug 24 19:37:55 PDT 2015 --  I know a handful of people I can speak with comfortably & sadly, everyone else seems ignorant, childish, uninteresting or plain stupid.
Mon Aug 24 19:27:24 PDT 2015 --  I don't know where my life would be w out burritos.
Mon Aug 24 19:26:02 PDT 2015 --  allergies are the devils work
Mon Aug 24 18:54:16 PDT 2015 --  To infinity and beyond with this tweet RE https://twitter.com/scrowder/status/635993425645408260 …
Mon Aug 24 16:52:10 PDT 2015 --  that's you
Mon Aug 24 11:23:12 PDT 2015 --  Behind every successful person is someone who’s been their # 1 supporter throughout their triumphs + failures / ups + downs.
Mon Aug 24 16:35:32 PDT 2015 --  I never want pizza again
Mon Aug 24 15:44:55 PDT 2015 --  did shay take your virginity or something? https://twitter.com/llcooljalen/status/635943544730058752 …
Mon Aug 24 14:05:44 PDT 2015 --  Tiffanie went candle crazy & it smells like fucking fall everywhere lol
Mon Aug 24 08:21:07 PDT 2015 --  yes please pic.twitter.com/HhAtKYWS8p
Mon Aug 24 10:00:23 PDT 2015 --  this steak salad I made is bomb
Mon Aug 24 05:01:52 PDT 2015 --  wish the women I work with understood sarcasm
Mon Aug 24 04:47:34 PDT 2015 --  running late to work on a Monday
Sun Aug 23 21:36:32 PDT 2015 --  alina baraz is my life
Sun Aug 16 14:35:28 PDT 2015 --  too many girls like you putting down other girls for things they can't control. shut up. https://twitter.com/debbymontana/status/513248007673085952 …
Sun Aug 23 20:00:10 PDT 2015 --  Terrifying dashcam footage shows plane crash into cars stuck in heavy traffic http://wp.me/p5bZm6-2Vu  pic.twitter.com/5Lg4RDpFA2
Sun Aug 23 19:28:43 PDT 2015 --  Contrary to popular belief, America is not the land of entitlement.
Sun Aug 23 18:58:10 PDT 2015 --  The inside of a human heart, showing the intricate roadmap of tissue that keeps you alive. pic.twitter.com/rH9bgoIv1J
Sun Aug 23 19:03:52 PDT 2015 --  I wish I could go to church right now.
Sun Aug 23 16:44:01 PDT 2015 --  your assumptions only make an ass out of you.
Sun Aug 23 16:25:38 PDT 2015 --  why do people argue with me on factual things? if I'm educated on something, you don't want this.
Sun Aug 23 16:09:10 PDT 2015 --  only thing better than wine and chocolate is wine & sex https://twitter.com/socaltoast/status/635589413372694528 …
Sun Aug 23 15:49:24 PDT 2015 --  my dad just told me he feels emasculated for bringing me a beer... cry me a river
Sun Aug 23 15:37:34 PDT 2015 --  sext: I want to read W. B. Yeats to you
Sun Aug 23 14:22:21 PDT 2015 --  trying to tell your family good news but the conversation being interrupted & forgotten bc you're Spanish & the man's voice is more relevant
Sun Aug 23 13:20:59 PDT 2015 --  pic.twitter.com/ctWLBcKEuJ
Sun Aug 23 12:12:04 PDT 2015 --  just got a second job working at booksamillion, God is good.
Sun Aug 23 11:14:48 PDT 2015 --  God is an insane artist, too
Sun Aug 23 10:57:54 PDT 2015 --  ALERT: iPhone recall http://wp.me/p5bZm6-2V6  pic.twitter.com/TmLPusaUc2
Sun Aug 23 10:30:43 PDT 2015 --  get the entire fuck out of here https://twitter.com/cecicitra/status/635271780459020288 …
Sun Aug 16 17:56:22 PDT 2015 --  My lady can cook AND I can take her out in public. pic.twitter.com/ZMVUgzeZwQ
Sun Aug 23 09:07:16 PDT 2015 --  The foolishness of God is wiser than man's wisdom, the weakness of God is stronger than man's strength.
Fri Aug 14 11:44:20 PDT 2015 --  pic.twitter.com/d52d8Wv01U
Sun Aug 23 08:35:25 PDT 2015 --  If you gotta finance kicks just stop and reevaluate your life choices.
Sun Aug 23 08:22:55 PDT 2015 --  family bbq, aka I'm getting drunk & playing soccer.
Sun Aug 23 07:58:05 PDT 2015 --  VIDEO: Multi-million dollar luxury superyacht sinks off Greek island of Mykonos. WATCH: http://wp.me/p5bZm6-2Ur  pic.twitter.com/OLmh48N0lt
Sun Aug 23 07:46:34 PDT 2015 --  pregnant women are so gorgeous, their glow is amazing.
Sun Aug 23 07:08:23 PDT 2015 --  "You're a much better writer" is utterly flattering
Sun Aug 23 06:40:50 PDT 2015 --  @Poochda63 pic.twitter.com/5df7aysYxL
Wed Aug 19 16:14:40 PDT 2015 --  God keeps blessing me! Indeed It is his goodness!
Sun Aug 23 06:35:55 PDT 2015 --  incredibly disappointed that I can't go to church this morning.
Wed Aug 19 15:19:39 PDT 2015 --  Works on firearms, not email servers. In stores now. #clean #fun pic.twitter.com/aN5yMM3EKp
Sun Aug 23 05:15:27 PDT 2015 --  http://www.iflscience.com/space/mars-one-torn-shreds-mit-debate …
Sat Aug 22 21:29:46 PDT 2015 --  literary lovers.
Sat Aug 22 21:29:07 PDT 2015 --  my sickness is affecting my gym sessions
Sat Aug 22 21:14:28 PDT 2015 --  Dean Martin always makes me happy.
Sat Aug 22 20:56:02 PDT 2015 --  @washingtonpost Anchor cubs
Sat Aug 22 20:53:58 PDT 2015 --  When I found a letter from my ex's ex in his shoe box & he said its been there forever & I had to remind him those kicks just retroed..
Wed Aug 19 12:12:26 PDT 2015 --  @rumpfshaker https://vine.co/v/eDaFvpFKtaw 
Sat Aug 22 19:20:29 PDT 2015 --  The Tragedy of the American Military http://flip.it/KwXA4 
Sat Aug 22 18:49:55 PDT 2015 --  Thank God https://twitter.com/jonbellion/status/635266003652317184 …
Sat Aug 22 17:27:02 PDT 2015 --  VIDEO REPORT: Two Women Make U.S. Army History. WATCH: http://wp.me/p5bZm6-2TK  pic.twitter.com/rdceGHoigL
Sat Aug 22 16:57:09 PDT 2015 --  It's a business of sadists and masochists, and you know which one you are.
Sat Aug 22 16:37:53 PDT 2015 --  my mom made me sopa, bye.
Sat Aug 22 16:15:57 PDT 2015 --  listening to boyz II men while I paint my nails metallic
Fri Aug 21 19:45:40 PDT 2015 --  So apparently a giant red ball from an art installation broke free in Toledo, Ohio today. pic.twitter.com/wbTMqF8tPH
Sat Aug 22 15:34:16 PDT 2015 --  Banging your head against a wall uses 150 calories an hour.
Sat Aug 22 15:41:19 PDT 2015 --  I'm so nauseous
Fri Aug 21 21:24:18 PDT 2015 --  Censorship in the US makes no sense. Female nipples are seen as explicit but Time can put a penis on their cover. https://twitter.com/realDonaldTrump/status/634378848516317184 …
Sat Aug 22 10:44:09 PDT 2015 --  How colleges allow this predatory, rapey behavior to be broadcasted with impunity is beyond me pic.twitter.com/wtJO1tQcK4
Sat Aug 22 13:52:55 PDT 2015 --  Twitter fingers turn to chicken tender fingers
Sat Aug 22 15:12:54 PDT 2015 --  guys that think women can't be funny need to find new women
Sat Aug 22 00:02:49 PDT 2015 --  Fappening may follow as Ashley Madison hackers claim to have millions of nude pics http://www.techworm.net/2015/08/fappening-as-ashley-madison-hackers-nude-pics.html … pic.twitter.com/DgzYV9DeYm
Sat Aug 22 14:39:20 PDT 2015 --  I value our friendship so I'm going to avoid bringing up a discussion on your political views.
Sat Aug 22 14:21:39 PDT 2015 --  fuck me into open caskets
Sat Aug 22 14:03:13 PDT 2015 --  I miss Saze so damn much
Sun Aug 16 20:46:25 PDT 2015 --  I may run an underground cartel for the distribution of cocaine and household goods, but I also write children's books.
Sat Aug 22 13:07:11 PDT 2015 --  It's not that deep...
Sat Aug 22 12:46:45 PDT 2015 --  starting a new book 🏻
Sat Aug 22 12:29:40 PDT 2015 --  We have to stop praising mediocrity.
Sat Aug 22 12:27:11 PDT 2015 --  The unexpected math behind Van Gogh's "Starry Night" - Natalya St. Clair http://ed.ted.com/lessons/the-unexpected-math-behind-van-gogh-s-starry-night-natalya-st-clair …
Sat Aug 22 12:21:00 PDT 2015 --  "This legitimizes sexual desire as an important part of women’s lives:" http://onforb.es/1E5TajD  pic.twitter.com/SHunRGwXSC
Sat Aug 22 12:13:39 PDT 2015 --  Conversations always sound much more dramatic in Spanish.
Sat Aug 22 11:53:26 PDT 2015 --  need a fruit smoothie asap
Sat Aug 22 11:25:53 PDT 2015 --  don't whine, drink wine.
Sat Aug 22 11:20:22 PDT 2015 --  Wow. Everybody is wild today lol. I'm going back to being productive.
Sat Aug 22 11:00:07 PDT 2015 --  "There will be a civil war in Turkey - we will go town by town:" http://bit.ly/1eXgeoU  pic.twitter.com/pUbw24Orot
Sat Aug 22 11:14:50 PDT 2015 --  kanye wrote "new slaves" about consumerism then turns around sells yall adidas roshes for $200+
Sat Aug 22 10:51:41 PDT 2015 --  https://twitter.com/lachlan/status/635147039265787904 …
Sat Aug 22 09:50:44 PDT 2015 --  and another book just arrived for me in the mail #halp
Sat Aug 22 09:40:40 PDT 2015 --  I book to book space ratio is stressful
Sat Aug 22 09:40:19 PDT 2015 --  go to church if you're scared
Sat Aug 22 08:43:04 PDT 2015 --  pic.twitter.com/bWB3Zh7dBs
Sat Aug 22 08:31:00 PDT 2015 --  well, that's a little excessive..
Sat Aug 22 08:29:03 PDT 2015 --  Man Commits Suicide After Being Exposed In Ashley Madison Hack http://bit.ly/1NsyqWg 
Sat Aug 22 08:12:09 PDT 2015 --  Need to finish my coffee then I'm throwing out half of my room because I feel smothered.
Sat Aug 22 08:05:26 PDT 2015 --  pic.twitter.com/QQHJZC5CWa
Sat Aug 22 07:43:39 PDT 2015 --  I'm so tired of looking at this stupid, dusty Xbox. I'm throwing this shit outside
Sat Aug 22 07:37:34 PDT 2015 --  shoes still drop?
Sat Aug 22 07:06:00 PDT 2015 --  any of you listen to podcasts?
Sat Aug 22 06:38:56 PDT 2015 --  If only there were a way to not get pregnant. Hmm... https://twitter.com/germanrlopez/status/635083000791695360 …
Sat Aug 22 06:36:01 PDT 2015 --  WATCH: @tedcruz owns actress @EllenPage when she confronts him about #LGBT issues http://bit.ly/1JrAQC8  pic.twitter.com/GuWqi6kmit
Sat Aug 22 06:06:44 PDT 2015 --  People who put sugar in their tea pic.twitter.com/cppUiJ6c4j
Sat Aug 22 05:56:55 PDT 2015 --  Pokemon or DBZ with my coffee?
Thu Aug 13 16:37:01 PDT 2015 --  boy: i wish girls liked sports girl: i like sports boy: oh yeah? can you name the blood type of the coach’s assistant’s dad from 1909???
Fri Aug 21 22:47:40 PDT 2015 --  I can't wait to sleep in
Fri Aug 21 22:19:13 PDT 2015 --  pic.twitter.com/DjwLEHbZK1
Fri Aug 21 21:59:54 PDT 2015 --  babes building me a wine cellar. it's love
Fri Aug 21 21:35:08 PDT 2015 --  I just found out Netflix has Pokemon. My weekend is officially booked.
Fri Aug 21 21:20:37 PDT 2015 --  when you ask him what his favorite planet is and he starts talking about a syfi movie pic.twitter.com/oERZTFjRvD
Fri Aug 21 21:17:45 PDT 2015 --  pic.twitter.com/lmpdZ4YsAH
Fri Aug 21 21:03:03 PDT 2015 --  scressed
Fri Aug 21 20:10:21 PDT 2015 --  She gon' do the coke until she can't see the line
Fri Aug 21 19:38:20 PDT 2015 --  the gym killed my back and arms
Fri Aug 21 19:30:06 PDT 2015 --  Divorce lawyer says of Ashley Madison hack: 'It's going to be Christmas in September' http://buff.ly/1NKabjn  pic.twitter.com/Wti6ksPNRv
Fri Aug 21 19:07:17 PDT 2015 --  If you can eat ass, you can eat rare steak
Fri Aug 21 18:59:04 PDT 2015 --  French corrections facilities have become a hotbed of Islamic radicalization: http://bit.ly/1EEAB14  pic.twitter.com/6ajYibEmul
Fri Aug 21 18:55:31 PDT 2015 --  Sanders is Obama
Fri Aug 21 18:32:57 PDT 2015 --  This girl is telling me that blueberries don't have seeds.
Fri Aug 21 18:02:43 PDT 2015 --  ICYMI: a third-grader of color was suspended for two days after wearing a rosary to school, principal cited "gang-affiliation" policy.
Fri Aug 21 18:17:40 PDT 2015 --  *turns off retweets*
Fri Aug 21 18:10:02 PDT 2015 --  time to pour some wine
Fri Aug 21 18:00:17 PDT 2015 --  But if she says she's not interested, y'all get sensitive/rude & or annoyingly persistent to convince her otherwise https://twitter.com/asvp_boogie/status/634865952228642820 …
Fri Aug 21 17:44:59 PDT 2015 --  I'm trying to work here https://twitter.com/balvinsanity/status/634887654652272640 …
Fri Aug 21 16:56:43 PDT 2015 --  @Eaglzphan22 @ana_sauvignon they always are. Love having someone who actually has a fucking brain
Tue Aug 18 12:51:22 PDT 2015 --  Current Mood: Don Draper in California
Fri Aug 21 15:41:50 PDT 2015 --  prisoner x the weeknd ft. lana del rey
Fri Aug 21 15:23:10 PDT 2015 --  I had chocolate cake for dinner.
Fri Aug 21 15:02:54 PDT 2015 --  pic.twitter.com/tEx5002qkP
Fri Aug 21 14:56:07 PDT 2015 --  OH MY GOD
Fri Aug 21 14:37:33 PDT 2015 --  I'm crying https://twitter.com/amanixyasin/status/634841551609442305 …
Fri Aug 21 14:34:13 PDT 2015 --  "You didn't provide any facts" Literally stated facts in every tweet.
Fri Aug 21 14:17:34 PDT 2015 --  #ObamaDoesntCare
Fri Aug 21 14:17:24 PDT 2015 --  If Obama really cared, it wouldn't be illegal to not have health insurance because you're too broke to afford it.
Fri Aug 21 14:12:57 PDT 2015 --  Elizabeth Warren told women that PP videos are edited to defund women's rights all together. Any woman who believes her shouldn't even vote.
Fri Aug 21 14:07:13 PDT 2015 --  How does it mentally not click that making more, means paying more.
Fri Aug 21 14:05:47 PDT 2015 --  #LRT unless you love inflation and devaluation of the dollar. I
Fri Aug 21 14:04:12 PDT 2015 --  Facts. Unfortunately no candidate is capable of handling all 3 https://twitter.com/therealroser/status/634832898353401856 …
Fri Aug 21 14:02:14 PDT 2015 --  Anybody who thinks that almost doubling minimum wage is a good idea is a goddamn moron.
Fri Aug 21 13:56:45 PDT 2015 --  If you care anything about the economy you can't vote for him. https://twitter.com/ana_sauvignon/status/634831190080421888 …
Fri Aug 21 13:57:13 PDT 2015 --  guess nobody learned from Obama's word use then compared to his actions/leadership now. Just throw the word "free" in & people blindly flock
Fri Aug 21 13:55:24 PDT 2015 --  Sure, you can vote for Bernie Sanders for your social wants. But don't complain if he raises the wage & 2008's economy comes knocking.
Fri Aug 21 13:44:11 PDT 2015 --  I deserve chocolate cake for dinner
