Mon Aug 24 17:41:40 PDT 2015 --  My favorite tv show and my favorite book/movie series pic.twitter.com/KL76O0l1Fi
Thu Jul 23 05:31:23 PDT 2015 --  Um....HAPPY FREAKING BIRTHDAY #HappyBirthdayDanielRadcliffe pic.twitter.com/uUEGnDqQIR
Tue Jul 21 20:00:49 PDT 2015 --  Deleted Scene... pic.twitter.com/4M2PlhF5Ni
Tue Jul 21 12:30:54 PDT 2015 --  pic.twitter.com/hv9EL5lDPY
Tue Jul 21 14:25:17 PDT 2015 --  Is there a handy memory technique to distinguish between 'polenta' and 'placenta'? I keep asking for the wrong one while grocery shopping
Tue Jul 21 14:32:12 PDT 2015 --  Never name drop. It's uncouth & not classy. Paul McCartney taught me that. Kanye agreed
Mon Jul 20 13:51:05 PDT 2015 --  Cast: I wish people would stop recognising me only for my role in Harry Potter Tom Felton: Fuck it I'm DRACO MALFOY PEASANTS KNEEL BEFORE ME
Mon Jul 20 19:30:50 PDT 2015 --  Ed Sheeran pic.twitter.com/jL1LvVggUi
Tue Jul 21 14:42:54 PDT 2015 --  "All was well" #8YearsDeathlyHallows
Tue Jul 21 06:26:59 PDT 2015 --  rt this and i'll sort you in a hogwarts and a got house based on your acc
Tue Jul 21 06:18:09 PDT 2015 --  Harry Potter and the Deathly Hallows was published 8 years ago today! pic.twitter.com/19MrQbVGwN
Sun Jul 19 21:34:25 PDT 2015 --  pic.twitter.com/pVpgsH8jc2
Sun Jul 19 21:34:02 PDT 2015 --  OMG I AM CRYING SO MUCH pic.twitter.com/0QWpsOQ2Ax
Sun Jul 19 20:46:47 PDT 2015 --  Person: Hey remember when you- Me: obliviate Person: wha- Me: OBLIVIATE MUGGLE
Sun Jul 19 20:30:24 PDT 2015 --  Draco pic.twitter.com/78XFxW7wjF
Sun Jul 19 07:28:05 PDT 2015 --  If you could play any other character, who would you be? pic.twitter.com/SSYQyFedgY
Sun Jul 19 09:30:08 PDT 2015 --  When Harry Potter meets A Very Potter Musical, a whole lot of confusion is guaranteed. pic.twitter.com/tiUCX4nM5P
Sun Jul 19 04:47:05 PDT 2015 --  “Time is making fools of us again.” pic.twitter.com/QUtnqlOYGs
Sat Jul 18 00:30:17 PDT 2015 --  If “Harry Potter” had been written from Voldemort’s point of view pic.twitter.com/wVBLKXf0y6
Sat Jul 18 13:48:27 PDT 2015 --  When you go camping with your best mates, but get 3rd wheeled so tough. #WishGinnyWasHere pic.twitter.com/lfZRdoX71V
Fri Jul 17 15:01:14 PDT 2015 --  The 7 Harry Potter Novels mashed up... pic.twitter.com/k1ZLIFzgEW
Fri Jul 17 14:50:46 PDT 2015 --  #BackTheBBC https://twitter.com/AngikaarC/status/622161404964020224 …
Fri Jul 17 04:43:56 PDT 2015 --  i hate it that the malfoys just ran away in the movie...in the book they sat together with all the others in the great hall I HATE IT
Mon Jul 13 19:32:07 PDT 2015 --  Note to self: stop staying up till 4am reading HP fanfics
Sun Jul 12 18:47:05 PDT 2015 --  What if Harry Potter is really a biography and we're all just muggles too blinded by our logic to know that we're reading the truth?
Mon Jul 13 19:00:56 PDT 2015 --  pic.twitter.com/yzYKoFj4ZK
Mon Jul 13 18:45:02 PDT 2015 --  Muggles just don't understand. #WizardProbs pic.twitter.com/aC32728vMa
Mon Jul 13 17:01:18 PDT 2015 --  :) pic.twitter.com/Abou1blc05
Mon Jul 13 16:58:00 PDT 2015 --  Margot Robbie/Harley Quinn 🏼
Mon Jul 13 15:30:41 PDT 2015 --  In the Hogwarts school, grades include Outstanding, Exceeds Expectations, and Acceptable. The failing grades include Poor, Dreadful & Troll.
Mon Jul 13 15:03:58 PDT 2015 --  #TodaysKidsWillNeverKnow How good it felt to grow up with Harry Potter.
Mon Jul 13 15:02:01 PDT 2015 --  Maybe J.K. Rowling is waiting until 2019 to write an 8th book so we can all say "I DID MY WAITING! TWELVE YEARS OF IT!! IN AZKABAN!!!"
Mon Jul 13 15:00:32 PDT 2015 --  The Golden Trio + Initials pic.twitter.com/aJyKKGaQab
Mon Jul 13 14:41:29 PDT 2015 --  what if Emma Watson would play a young McGonagall in some sort of flashback?
Mon Jul 13 14:34:47 PDT 2015 --  @marauderdreams LIKE HE DID SNAPE SO DAMN WELL LIKE I LOVE MOVIE SNAPE BC OF HIM
Mon Jul 13 14:29:48 PDT 2015 --  I WANT TO SEE THIS DRAWING pic.twitter.com/8oW0FOWGWw
Mon Jul 13 14:00:53 PDT 2015 --  Seven things the films forgot about Ron. pic.twitter.com/GdqTMphLU9
Thu Jul 09 20:44:39 PDT 2015 --  ...and its amazing pic.twitter.com/oPARP0rtQi
Thu Jul 09 20:43:36 PDT 2015 --  Harry potter marathons are the reason I survive in this muggle world
Thu Jul 09 07:30:59 PDT 2015 --  As of 2008, Harry Potter books had sold over 400 million copies and had been translated into 67 languages #TheHPFacts
Tue Jul 07 21:01:05 PDT 2015 --  Feels. pic.twitter.com/wA2YDHpjZL
Tue Jul 07 19:28:31 PDT 2015 --  Has it really been four years #4yearsDH2premiere
Tue Jul 07 16:01:02 PDT 2015 --  And this is why I love Harry Potter pic.twitter.com/T0kg5xZpc4
Tue Jul 07 17:16:02 PDT 2015 --  No one likes Umbridge. pic.twitter.com/C32bszwcUV
Tue Jul 07 18:06:24 PDT 2015 --  4 years ago today, the final Harry Potter film premiered. pic.twitter.com/2YbEC5flUf
Tue Jul 07 18:18:34 PDT 2015 --  Thank you to @GalwayFilm for such a wonderful premiere of #MyNameIsEmily I love you beauties @GeorgeWebster @mrmichaelsmiley @SimonFitzMND
Tue Jul 07 12:38:05 PDT 2015 --  “Snape, Snape, Sev-er-us Snape” at the Deathly Hallows: Part 2 premiere. #4YearsDH2Premiere pic.twitter.com/ZHQGcNovXg
Tue Jul 07 19:20:04 PDT 2015 --  " @TheHPFacts: "I'm a wizard!" "Prove it?" "Sorry, no magic outside Hogwarts"" LITERALLY ME
Tue Jul 07 19:19:29 PDT 2015 --  I just can't pic.twitter.com/2kceBDa2Ck
Tue Jul 07 19:18:44 PDT 2015 --  #Nevillelongsforyourbottom pic.twitter.com/rTzB2tsF8l
Tue Jul 07 19:11:27 PDT 2015 --  4 years ago, this was said.. pic.twitter.com/PNEoXBSAiu
Tue Jul 07 09:05:07 PDT 2015 --  AMEN pic.twitter.com/Wyy4fQgqfx
Mon Jul 06 23:39:08 PDT 2015 --  7 July 2011: Harry Potter and the Deathly Hallows: Part 2 premiered in London. #4YearsDH2Premiere pic.twitter.com/Pa800HnyFE
Mon Jul 06 08:45:31 PDT 2015 --  Daniel Radcliffe in the Seven Potter's scene is incredible. UNBELIEVABLE acting. #HarryPotter pic.twitter.com/XBLfmgHeMF
Mon Jul 06 17:25:10 PDT 2015 --  Fred... pic.twitter.com/tt7aQ3eYin
Mon Jul 06 16:20:28 PDT 2015 --  Don't go to the bathroom alone pic.twitter.com/JFsyx4XIsR
Mon Jul 06 03:12:02 PDT 2015 --  ϟ KEEP      CALM    AND         CARRY        A WAND
Mon Jul 06 01:26:31 PDT 2015 --  Some of the best quotes... pic.twitter.com/S6Yws1Q1g6
Mon Jul 06 00:22:27 PDT 2015 --  How has it already been over for half a decade? pic.twitter.com/w2D1ufuq7Z
Mon Jul 06 16:11:00 PDT 2015 --  " @_Snape_: #DontJudgeChallange is trending. Does no one know how to spell? Are Muggle schools this terrible?" Yes they really are
Sun Jul 05 20:00:04 PDT 2015 --  Severus "Dramatic Long Pause" Snape. #HarryPotter pic.twitter.com/5k3g0AXnFi
Fri Jul 03 20:11:14 PDT 2015 --  I was drinking water when I saw this...then I choked pic.twitter.com/QRTqkJyJeu
Fri Jul 03 20:10:44 PDT 2015 --  When I see a fight pic.twitter.com/GacQCFMdyK
Fri Jul 03 06:41:21 PDT 2015 --  @TheHPFacts pic.twitter.com/tLCJnKtM1T
Thu Jul 02 23:42:36 PDT 2015 --  " @TheHPFacts: When someone says he's never read Harry Potter pic.twitter.com/XscMamBDre" HAHAHAHAHA
Fri Jul 03 13:00:10 PDT 2015 --  Here's even more reason to love the men and women who serve in the military! pic.twitter.com/HrH8N8afQy
Fri Jul 03 13:55:03 PDT 2015 --  pic.twitter.com/qKaslY28Hp
Fri Jul 03 14:01:07 PDT 2015 --  JK Rowling explaining the simplicity of the moment when Harry takes Draco's wand. pic.twitter.com/ccE7ZmNtuP
Fri Jul 03 14:32:02 PDT 2015 --  Alan Rickman's brilliant portrayal of Severus Snape frightened a young Daniel Radcliffe! #HarryPotter pic.twitter.com/9y8jd6l7nx
Fri Jul 03 15:26:02 PDT 2015 --  "What's that, an illness?" – Ron pic.twitter.com/lXxAAG1MQQ
Fri Jul 03 17:03:03 PDT 2015 --  When somebody thinks you don't know everything about Harry Potter pic.twitter.com/MRzg4FSIKs
Fri Jul 03 17:54:59 PDT 2015 --  Imagine how much sassier Harry would be if McGonagall raised him
Fri Jul 03 17:56:57 PDT 2015 --  Guy: wow you're beautiful Me: wow too bad you're not Draco
Fri Jul 03 18:56:03 PDT 2015 --  Daniel Radcliffe has gone through over 80 wands over the course of the 10 years because he drums with them.
Thu Jul 02 11:46:33 PDT 2015 --  Person: always Me: *tears up* Person: Uh...I just said always Me: *starts crying* Person: Me: *Rolling on the floor crying* Person:
Thu Jul 02 11:43:09 PDT 2015 --  characters who could be the #CursedChild : - Harry Potter - Remus Lupin - Draco Malfoy - Neville Longbottom
Thu Jul 02 11:23:06 PDT 2015 --  Still funny pic.twitter.com/u2JxGpEi47
Thu Jul 02 10:48:04 PDT 2015 --  THIS pic.twitter.com/m3xVpIybxl
Thu Jul 02 10:36:01 PDT 2015 --  "It's been 14 years, and still not a day goes by that I don't miss your dad." - Sirius to Harry #SiriusQuotes
Thu Jul 02 08:47:07 PDT 2015 --  On this day in 1998, Harry Potter and the Chamber of Secrets was published pic.twitter.com/SouYk5I1ZP
Thu Jul 02 08:42:01 PDT 2015 --  Ron jokingly guessed the fact that T.M. Riddle murdered Myrtle. #17yearsChamberofSecrets pic.twitter.com/dZrLrCCe7s
Thu Jul 02 07:24:02 PDT 2015 --  We are honoured to be working with you, too! https://twitter.com/unescochairpsu/status/616600290498859008 …
Wed Jul 01 20:38:59 PDT 2015 --  Why is this so funny to me #Marauders pic.twitter.com/25139u3SYw
Wed Jul 01 18:03:47 PDT 2015 --  S/o to puberty for doing this pic.twitter.com/h17hshitAz
Wed Jul 01 17:59:41 PDT 2015 --  Mom: do the dishes Me: *places sock on counter* Mom: wtf is this *hands me sock* Me: MASTER HAS GIVEN DOBBY A SOCK! DOBBY IS FREE! Mom: Me:
Wed Jul 01 16:14:03 PDT 2015 --  "How do I begin to explain Hermione Granger?" pic.twitter.com/IKTTFxEPO1
Wed Jul 01 17:30:10 PDT 2015 --  RT if you wish you were at Hogwarts! pic.twitter.com/5NlMwQ3yjn
Wed Jul 01 17:50:52 PDT 2015 --  Gutted. So unlucky. Such a horrible way to lose a semi final.
Tue Jun 23 14:00:33 PDT 2015 --  me trying to flirt pic.twitter.com/94Jhdloeh0
Tue Jun 30 09:05:44 PDT 2015 --  "The greatest headmaster of all time" that's for sure, raise you wands everybody... #RIPAlbusdumbledore pic.twitter.com/TFemLeSdbY
Tue Jun 30 08:47:19 PDT 2015 --  tbh I'm always going to be mad at david yates for cutting out dumbledore's funeral #RIPAlbusDumbledore
Tue Jun 30 08:51:46 PDT 2015 --  Raise your wands Again for Albus Dumbledore. Such a amazing, wise man. #RIPAlbusDumbledore pic.twitter.com/G5gTIzsdex
Mon Jun 29 08:01:26 PDT 2015 --  pic.twitter.com/JgbAz5iQKl
Tue Jun 30 08:46:44 PDT 2015 --  S/o to @jk_rowling for being an amazing and talented women, you've been a huge inspiration and really changed my life, I owe you so much
Tue Jun 30 08:35:05 PDT 2015 --  A lot of crazy shit happened on this day in 1997, let's all raise our wands in remembrance #ripdumbledore #onthisday
Tue Jun 30 07:57:14 PDT 2015 --  As a Briton I’ve already spent a disproportionate amount of my life discussing the weather. But seriously, it’s the hottest day of all time.
Tue Jun 30 08:32:43 PDT 2015 --  "To the well organized mind, death is but the next greatest adventure" -Albus Dumbledore #RIPAlbusDumbledore pic.twitter.com/ICKWD0S2YT
Tue Jun 30 00:30:14 PDT 2015 --  After Asking SIRI what 0 divided by 0 was pic.twitter.com/QRdwZPXCdr
Mon Jun 29 21:02:39 PDT 2015 --  Good times, good vines. Thank you @malibuwine https://instagram.com/p/4igbgWGWLo/ 
Mon Jun 29 19:22:06 PDT 2015 --  Obsession is an understatement. pic.twitter.com/9XoH4Bzllh
