Sat Aug 29 08:33:55 PDT 2015 --  Majlis kawen nak buat waktu mlm
Thu Aug 27 10:39:02 PDT 2015 --  Selamat malam seorang Ana Husna. Jangan risau esok dan seterusnya rezeki terindah dariNya pic.twitter.com/AdppZo1Tt4
Tue Jul 21 23:18:33 PDT 2015 --  Tahukah anda Sultan Abu Bakar yg perintah Johor 1885-1895 terpikat keenakan spaghetti waktu lawat Itali. Sbb itu Laksa Johor guna spaghetti.
Sat Aug 22 04:37:49 PDT 2015 --  POA (Price On Application) sbb nilai jatuh tiap hari. Harga tukaran tak dpt ditetapkan. Bahasa mudahnya TAK LAKU. pic.twitter.com/34UnXorvEM
Wed Aug 26 08:41:59 PDT 2015 --  Ok hana pic.twitter.com/K9S0bjERKo
Thu Aug 27 05:50:22 PDT 2015 --  Salah seorang peserta Bersih terdahulu yang kini berjaya menjadi Menteri. #Bersih4 pic.twitter.com/H086qtUjDr
Thu Aug 27 10:15:46 PDT 2015 --  ingat tugas masing-masing pic.twitter.com/gLckPgOVE8
Thu Aug 20 09:28:07 PDT 2015 --  People on le internet trying to do #relationshipgoals like .. pic.twitter.com/Fdxa10MRqx
Sat Apr 04 08:53:53 PDT 2015 --  Doa agar barang hilang ditemui semula. Jom pakat retweet, mana tahu ada orang hilang barang. pic.twitter.com/kTeR3BPIb9
Sat Aug 22 08:37:13 PDT 2015 --  Kalau jodoh itu memang milik kita, semustahil mana pun, pasti akan bersatu.
Sat Aug 01 03:02:04 PDT 2015 --  Durian season... the most heated debate of the year. Which side are you on? pic.twitter.com/6Qc53Vq4DR
Fri Aug 14 11:29:33 PDT 2015 --  pic.twitter.com/vSNqTt2mP3
Wed Aug 19 03:14:11 PDT 2015 --  pic.twitter.com/UxcytLFR6p
Thu Aug 20 05:27:22 PDT 2015 --  "simpan je la sedih kau tu" "kenapa ?" "sebab takda siapa peduli"
Thu Aug 20 08:48:25 PDT 2015 --  Bila dah lost someone, paksa diri to forget him/her. Betul-lah memories remain, but u need to learn how to survive urself without him/her.
Sun Mar 08 06:43:43 PDT 2015 --  Smpai satu tahap, aku akan pergi berseorangan ke tempat2 yg indah utk tenangkan fikiran dan lupakan segalanya. pic.twitter.com/Ln4T8b0hXz
Thu Aug 20 07:07:49 PDT 2015 --  "Majlis Lamaran" Kalau kahwin entah macam mana nanti. pic.twitter.com/bwSjnRWTkH
Wed Aug 19 06:42:49 PDT 2015 --  Having one "lazy" day a week can reduce stress, blood pressure, and the risk of heart disease.
Wed Aug 19 08:10:50 PDT 2015 --  “ @MohdShyukran: Ni Alor Setar bukan New York. pic.twitter.com/6lH0uoiC0V”
Wed Aug 19 22:43:11 PDT 2015 --  I'm too young to be this fucking stressed.
Thu Aug 20 06:48:03 PDT 2015 --  Be content with what you have. That's when nothing can take away your smile, As you've found your happiness in what Allah gives you.
Thu Aug 20 03:21:53 PDT 2015 --  Tahniah kepada manusia yang sudah ada pasangan. Kepada yang belum, sabar. Jodoh mungkin dah hampir. Sementara tunggu, kita tidur dulu.
Thu Aug 20 01:08:33 PDT 2015 --  Cara Buat Duit Online: 1. Ada blog pasang iklan Nuffnang 2. ChurpChurp 3. Online survey 4. Blog review 5. Iklan berbayar
Thu Jul 02 06:46:28 PDT 2015 --  Tips untuk belajar : Elakkan study 'menghafal' pada waktu asar kerana kita akan kehilangan sebanyak 62% ilmu yg kita belajar. #TakeNote
Sun Mar 15 13:25:57 PDT 2015 --  Please pass your prayers to this little kid don't ignore it. pic.twitter.com/ILAGEW7kd6
Sun Aug 16 00:21:41 PDT 2015 --  Pickupline tahap apa ni ya tohaaann pic.twitter.com/vC7Dj5T8Xe
Sat May 30 23:15:27 PDT 2015 --  Chewing gum paling rare waktu zaman dulu, habis waktu sekolah je terus pi beli. Ko hade? pic.twitter.com/heMsDnikUT
Sat Aug 15 07:44:07 PDT 2015 --  Women speak about 7,000 words a day - Men average just over 2,000.
Sat Aug 15 09:00:40 PDT 2015 --  With rumate @Diyanachoklate burn calories 🏼🏼 #fitkedah #fitmalaysia pic.twitter.com/NLGXLn58fM
Sat Aug 15 08:30:31 PDT 2015 --  I wish tweeting could burn calories...
Sat Aug 15 08:03:37 PDT 2015 --  Happiness is when u can finished ur #FitKedah without cheating ! #FitMalaysia pic.twitter.com/KpeKZCFAGF
Fri Aug 14 21:01:56 PDT 2015 --  The PUMA 24-Hour Trainathon is now at Berjaya Times Square! Support your teams #NoMatterWhat to win PUMA merchandise! pic.twitter.com/FsdUOgzHps
Fri Aug 14 22:26:51 PDT 2015 --  Sedapnya kalau dapat keropok lekor. pic.twitter.com/lpIMvNydw1
Sat Aug 15 00:12:51 PDT 2015 --  pic.twitter.com/OTOQrtZWNX
Sat Aug 15 00:51:25 PDT 2015 --  Lepas #FitKedah , kita tambah kalori lagi
Fri Aug 14 16:45:06 PDT 2015 --  The biggest ever participation in the 5KM Fun Run is here in #FitKedah! 13,000 runners 🏽🏽 pic.twitter.com/pMTcfeXYqr
Fri Aug 14 19:26:09 PDT 2015 --  Dahsyat orang kedah, punya ramai turun padang. Pulun kedah pulun! #FitKedah pic.twitter.com/nMyyjnnAgd
Sun Aug 09 06:06:49 PDT 2015 --  "jom keluar" "takde duit" "aku yang ajak aku lah yang belanja. macam tak biasa je kikis duit aku" #friendshipgoals
Fri Aug 14 14:46:02 PDT 2015 --  Fitness day kedah 🏼🏼🏼🏼🏼🏼🏼🏼🏼🏼🏼
Fri Aug 14 04:00:21 PDT 2015 --  Di universiti kena buang mindset "kau budak mrsm mmglah pandai". Biasanya di universiti ni yg result SPM 7C+ 1B ni lah senarai dekan
Fri Aug 14 06:23:40 PDT 2015 --  Me: I want to travel. Bank account: bitch, where?
Thu Aug 13 04:31:27 PDT 2015 --  Menunggu duit jatuh dari langit
Thu Aug 13 04:28:14 PDT 2015 --  Tadi kau lapar & ngantok . Tapi bila kau dah isi perut ,mata kau meragam tak nak tdo pulak
Thu Aug 13 00:45:13 PDT 2015 --  Remy dan waktu waktunya pic.twitter.com/X1aWY277Yw
Thu Aug 13 03:01:20 PDT 2015 --  Keadaan di depan bangunan di Kementerian Perdagangan Antarabangsa dan Industri (MITI) yg dilanda ribut sebentar tadi. pic.twitter.com/Go0cYnpP6g
Tue Aug 11 10:30:01 PDT 2015 --  I’m trying to stop being a hater but it’s just so hard……..when there are so many things……that need my hate
Mon Aug 10 18:00:22 PDT 2015 --  Need these pic.twitter.com/6449CNuA0s
Tue Aug 11 10:09:40 PDT 2015 --  Nak tdo nak tdo tp tak buley
Tue Aug 11 10:08:50 PDT 2015 --  Dear hafizudeanz i know u there ! 1years ago ...... I hate u damn much !
Mon Aug 10 22:03:29 PDT 2015 --  #TipsMasukU beli flight awal-awal untuk cuti semester nanti okay? Jangan sembang je dengan kawan, book terus! http://bit.ly/300milSeats 
Mon Aug 10 19:05:53 PDT 2015 --  #TipsMasukU Kumpul carry mark sebanyak mana yg boleh, sometimes final exam questions will leave you speechless.
Mon Aug 10 21:20:33 PDT 2015 --  Scholarship: biasiswa Scholar sheep: biri-biri bijakpandai
Mon Aug 10 21:13:58 PDT 2015 --  #TipsMasukU - Kawal perbelanjaan. - Utamakan mana yg patut. Buku, alat tulis, print nota dan lain-lain. - JANGAN MASUK MLM (Ni penting)
Mon Aug 10 19:48:51 PDT 2015 --  #TipsMasukU Abg dulu SPM consider bagus, tapi lepas masuk U, tetiba jd bangang. Pahitnya realiti.
Mon Aug 10 21:32:26 PDT 2015 --  Setiap students mempunyai prinsip hidup dekat uni yang hampir sama iaitu jangan mudah rapuh dengan MPP dan jangan percayakan Komander.
Mon Aug 10 21:18:04 PDT 2015 --  Sebenarnya nak masuk uni takde tips pon. Yang paling penting masuk uni mistilah berperangai manusia jangan buat perangai seperti binatang.
Mon Aug 10 19:38:11 PDT 2015 --  #TipsMasukU budak baru masuk sila ambil perhatian! pic.twitter.com/4ma3nXYhIY
Mon Aug 10 21:47:32 PDT 2015 --  Penawar Air Kencing Tikus. pic.twitter.com/6Nlh9OAm6p
Mon Aug 10 21:44:54 PDT 2015 --  Tak dapat masuk U? Dh sampai Malaysia. emm #TipsGagalMasukU pic.twitter.com/DNZ8S2JFgh
Mon Aug 10 21:16:00 PDT 2015 --  Bila lepak setable dengan budak budak vape. pic.twitter.com/7Bb6b1ZerB
Sun Aug 09 20:06:05 PDT 2015 --  MALU betul orang Pahang bila gambar ni tersebar Nak harapkan Adnan Yaakob? Najib Razak? Mana pahlawan Mat Kilau? pic.twitter.com/l0EIQ2nrMa
Sun Aug 09 16:43:59 PDT 2015 --  Hantaran kasut adidas , nike & asics dah cukup .. Xperlu heel & wedges bagai
Tue Jul 14 19:06:02 PDT 2015 --  Step up. Explode forward. Sixteen finely tuned blades add explosive energy to every run. #Springblade pic.twitter.com/6b6Ucr9h8F
Mon Jul 13 08:43:07 PDT 2015 --  Serabut tak perlu kot baju tu .. Boley x , xpyh beli duit elaun ngan xde . Xkan xfikir
Sun Jul 12 06:06:25 PDT 2015 --  our education system pic.twitter.com/Tn6ZqbUBKX
Sun Jul 12 06:06:35 PDT 2015 --  "Budak sekarang tahu mende" pic.twitter.com/4nOJhInmlt
Wed Jul 08 13:54:52 PDT 2015 --  8 people followed me and 3 people unfollowed me // automatically checked by http://fllwrs.com 
Mon Jul 06 08:30:23 PDT 2015 --  *on phone* Mom: Did you take the chicken out the freezer? Me: Yes. *hangs up* pic.twitter.com/nlQkTrVLKC
Sat Jul 04 03:39:17 PDT 2015 --  Rindu rumah ya rindu rindu . Balik sekejap jer
Mon Jun 29 02:28:56 PDT 2015 --  RAMAI yang tak tahu bahawa kita boleh call PUSPAKOM datang rumah untuk check kenderaan kita (thx Fadly Hashim) pic.twitter.com/cN1nMY5h7L
Thu Mar 26 04:26:49 PDT 2015 --  The original way to text in class, 1944 pic.twitter.com/aTBkj5NLsr
Sun Jun 28 06:34:33 PDT 2015 --  Team malas cari baju raya sebab last-last kena duduk dapur ja basuh pinggan belanga periuk rendang gelas bekas air oren.
Sun May 31 11:39:45 PDT 2015 --  as you grow older you realize it becomes less important to have more friends and more important to have real ones.
Sat Jun 20 05:27:35 PDT 2015 --  Ini barulah inovasi. Pergi clubbing boleh, pergi masjid pun boleh. pic.twitter.com/0yIWpqmilb
Wed Jun 24 03:38:24 PDT 2015 --  Berbuka kurma ke KUMAR?????? pic.twitter.com/CsQAAFc4PX
Thu Jun 25 02:05:47 PDT 2015 --  Masihkah kau ingat... pic.twitter.com/NqUOVhmM3Y
Sat Jun 27 02:03:39 PDT 2015 --  Nak pergi isi minyak, termasuk neraka pulak :( pic.twitter.com/K31yDw0WQU
Sun Jun 28 07:00:22 PDT 2015 --  I'll always love you fridge. http://9gag.com/gag/aojZDwm?ref=tp … pic.twitter.com/UEgYkf1Z2E
Sun Jun 28 07:55:01 PDT 2015 --  Aku baru lepas tukar plan #MagicSim ni kalau tak magic tahu la aku siram bangunan celcom tu dengan minyak tanah aku buat magic terbakar
Sun Jun 28 04:38:37 PDT 2015 --  kau gemuk kau comel pic.twitter.com/THULOGOt32
Sat Jun 20 11:04:52 PDT 2015 --  Escalator yang asalnya naik, tetiba reverse ke belakang... pic.twitter.com/M1aBh3VhHE
Sun Jun 28 04:34:32 PDT 2015 --  Kat kedai makan bila keliru dah azan dan mula tengok orang sekeliling be like pic.twitter.com/u9ZglEgXRa
Mon Jun 22 04:13:38 PDT 2015 --  Awak doa nk nikah ngn dia. Dia pun doa nak nikah ngn awak. Doa lak time buka pose mustajab. Insya-Allah bersatu jua awk berdua. Makbul.
Sat Jun 27 20:35:38 PDT 2015 --  Orang aloq setaq...ceq kat aloq setaq mall time bukak puasa. Nanti tegoq naaaaa... kita #selfie.
Sat Jun 27 06:05:12 PDT 2015 --  Tudung goals pic.twitter.com/LjAWTlfbCG
Sat Jun 27 21:07:55 PDT 2015 --  Ayuh hidupkan kembali sunnah dalam pernikahan. Jauhi perkahwinan yang secara tidak langsung menempa kemurkaan Allah. pic.twitter.com/u0AVrKLYo9
Sat Jun 27 02:41:36 PDT 2015 --  Baik xyah ada fonnnn
Wed Jun 24 05:47:03 PDT 2015 --  Maut balik hantar kuih ke rumah nenek http://fb.me/1Wgkxwlfx 
Tue Jun 23 22:40:40 PDT 2015 --  "tak semestinya straight A's/CGPA 3.5 tu bgus" We struggled ok to get those results. Yet u guys always tell us tht the resutls mean nothing.
Sun Jun 21 08:53:10 PDT 2015 --  Only iphone user will understand this pic.twitter.com/xlKgdcBw0Y
Sat Jun 06 19:48:47 PDT 2015 --  Tahu tak perempuan ni dia punya jauh overthinking boleh round satu dunia even kau cuma cakap satu ayat simple yg buat dia terasa.
Mon Jun 22 06:26:48 PDT 2015 --  Rindu nak belajar mikrobiologi
Fri Jun 19 03:00:22 PDT 2015 --  Antara foto yang tengah viral sekarang ni ialah foto Fast & Furious​ versi Ramadan... #sajakongsi pic.twitter.com/3SFLwPE3A8
Fri Jun 19 02:45:50 PDT 2015 --  Balik alor setar kita kena cari murtabak
Fri Jun 19 01:37:55 PDT 2015 --  The famous foods in Ramadan pic.twitter.com/NdBCdzxJXJ
Fri Jun 19 02:18:24 PDT 2015 --  "Kurma in English?" "Sorry taktau, aku bodo english." "Kurma in English, Dates." "Hah xmau date ngn hg, hg xhensem." #RamadhanRejekLines
Wed Jun 17 21:28:55 PDT 2015 --  Bila ternampak kaum lelaki main phone dkt pasar, jangan terus ingat dia antisocial atau sombong. Ekceli, Dia tgh google sawi tu mcm mana.
Thu Jun 18 07:09:01 PDT 2015 --  Agak-agak terasa macam terbatal puasa tu boleh rujuk panduan "batalkah puasa aku?" ni. pic.twitter.com/3NHqyKfxLA
Thu May 28 18:23:14 PDT 2015 --  Exactly what you want to see before your flight. Someone fixing the engine with duct tape... pic.twitter.com/edBug0dSnd
Mon May 18 05:47:37 PDT 2015 --  Jubah Nabi Muhammad SAW. pic.twitter.com/3j0bu95CME
Fri Jun 19 02:06:39 PDT 2015 --  When you order something online and it finally comes pic.twitter.com/wHN0xU6KHP
Fri Jun 19 01:46:24 PDT 2015 --  For sale, nak jual sebab dah tak pakai. 100% original, Size 6, condition 9.5/10. RT's appreciated ! @brgsjks pic.twitter.com/Pc8qpuiMZf
Thu Jun 18 00:53:46 PDT 2015 --  "Rumah ni ada wifi tak?" "Ada." "Mana satu ni?" "Yang WILL YOU MARRY ME tu." "Lol. Password?" "YESIWILL" "Takpe ah. Aku pakai data."
Thu Mar 19 06:13:11 PDT 2015 --  Sepanjang sy jadi pelajar, tak ada sekali pun saya terlanggar org sampai berterabur buku. Then dia kutipkan. Bertentang mata & jatuh hati.
Thu Jun 18 22:33:45 PDT 2015 --  Just a rollercoaster inside a mall in Kuala Lumpur (Malaysia.. - pic.twitter.com/51QgXBAZyw
Thu Jun 18 12:01:15 PDT 2015 --  “My body is tired and I’m tired of my body.”
Thu Jun 18 13:59:00 PDT 2015 --  i’m like an iphone i just lose energy without doing anything
Thu Jun 18 13:22:46 PDT 2015 --  Dua after Breaking Fast The thirst has gone, the arteries are moist, and the reward is set, Allaah willing
Thu Jun 18 08:17:56 PDT 2015 --  Hati perempuan boleh berubah, depends on how u treat them. dari tiada perasaan boleh jadi suka. dari suka jadi terus tiada perasaan pun ada
Thu Jun 18 12:22:15 PDT 2015 --  silly me.. pic.twitter.com/iXh4lBlLEs
Mon Jun 01 23:53:24 PDT 2015 --  Kawan ada dua jenis: 1-Yang suka puji kau 2-Yang suka tegur silap kau Kalau kau nak tahu, yg selalu tegur kesilapan itu adalah sahabat kau.
Thu Jun 18 07:35:02 PDT 2015 --  Jika Sabah, Sarawak, Johor tinggalkan Persekutuan, apa akan jadi pada Malaysia?
Thu Jun 18 07:28:50 PDT 2015 --  Papa : Nana, dah besar nanti nak jadi apa? Doktor ke Lawyer? Nana : Terpulanglah mahu jadi apa, mahu jadi hantu mahu jadi buaya
Thu Jun 18 06:17:27 PDT 2015 --  11 banduan dibebaskan selepas mendapat pengampunan Sultan Nazrin di Penjara Tapah, Perak pukul 9 malam ini pic.twitter.com/qW9jKqlcLJ
Wed Jun 17 22:44:05 PDT 2015 --  Siapa pakai iPhone. Yang nak ada calendar Hijrah. Pergi settings Carik Alternate Calendars Tick "Islamic" pic.twitter.com/263nKzQ32K
Thu Jun 18 02:55:25 PDT 2015 --  Sarawakian : kuih katir ?? Kuih apakah itu ???
Thu Jun 18 02:39:50 PDT 2015 --  the first kuih i am looking for to buy at bazaar ramadhan! kuih tepung pelita! pic.twitter.com/HPFJXyhUSu
Thu Jun 18 02:51:03 PDT 2015 --  Someone : hello kak , im from dgi ocs . Me : so ... Someone : bla bla , can u gve me ur credit card num Me : ok bye
Thu Jun 18 00:59:27 PDT 2015 --  whats yr menu fr berbuka? ME N U #RamadhanPickUpLines
Thu Jun 18 02:17:50 PDT 2015 --  Sungguh. Puasa itu mendidik kita menjadi lebih sabar dan tabah.
Thu Jun 18 02:48:38 PDT 2015 --  Kemanakah korg akan pergi ? @ShahValarie https://twitter.com/shahvalarie/status/610768175500652545 …
Mon Jun 08 03:54:48 PDT 2015 --  pic.twitter.com/iPyV93uCoF
Thu Jun 18 02:31:54 PDT 2015 --  Ade 1jam sblm bbuka
Thu Jun 18 02:30:36 PDT 2015 --  Waktu Berbuka Puasa Zon 2: Johor Bahru, Kulai Jaya, Kota Tinggi, Mersing dan pulau-pulau yang berdekatan. | 07:14PM
Tue May 12 01:16:17 PDT 2015 --  These fresh pieces from ZALIA are the epitome of elegance.Pre-orders for these dream come true dresses in APP! https://cards.twitter.com/cards/18ce53xsfad/jdz8 …
Mon Jun 15 00:35:11 PDT 2015 --  Hijab girls are still human. Don't tell her to take her hijab off just cos she make mistakes. Hijab or not, everyone makes mistakes.
Mon Jun 15 08:43:27 PDT 2015 --  Stay strong Denmark's muslims. pic.twitter.com/CdwsyfYCs2
Thu Jun 18 01:48:28 PDT 2015 --  penangan Ramadhan Seronok baca kartun berunsur ilmiah ni , boleh baca banyak lagi di http://www.fanikatun.com  pic.twitter.com/6YK0MVWb29
Thu Jun 18 02:02:18 PDT 2015 --  Pizza Rolls ' pic.twitter.com/0LVHArZTWp
Sat Jun 28 21:07:51 PDT 2014 --  Dear bilal, dont ever do this during ramadhan. pic.twitter.com/WJ3u5oXdQm
Mon May 11 10:36:31 PDT 2015 --  I have all of these pic.twitter.com/HvWcFYBOgD
Wed Jun 17 20:42:38 PDT 2015 --  "And Allah knows, while you know not.” (2:216) #Quran #Ramadan pic.twitter.com/4ahXROeJ7H
Sun Jun 14 08:05:18 PDT 2015 --  Ramadan is coming Non-hijabi girls be like "imagine if I was a hijabi" and the replies are mashallah you're beautiful pic.twitter.com/3HM6vqTeqk
Wed Jun 17 20:40:02 PDT 2015 --  Guess I had an awesome childhood.. pic.twitter.com/p9FSpLrsfE
Wed Jun 17 23:25:52 PDT 2015 --  BANJIR SABAH DAERAH RANAU TERKINI #BOMBA pic.twitter.com/5ipLOSojD6
Wed Jun 17 23:06:30 PDT 2015 --  JANGAN MAIN MERCUN!! Awasi anak-anak anda.. (Ayah/Abah/Papa/Daddy/Abi pun jangan main mercun juga laa) #BOMBA pic.twitter.com/Ul3VmB8gtT
Wed Jun 17 23:30:21 PDT 2015 --  Ramadan just around the corner http://9gag.com/gag/aVXzx68?ref=tp … pic.twitter.com/uvaYjXoNMN
Thu Jun 11 09:54:31 PDT 2015 --  for couple yang 17tahun kebawah kat luar tu. pic.twitter.com/RkeRZ2qf1e
Wed Jun 17 19:48:40 PDT 2015 --  My dear,Jumpa lagi sebulan pic.twitter.com/1UweUYT3cw
Wed Jun 17 14:12:20 PDT 2015 --  RT jika anda scroll timeline sebab nak bersahur
Wed Jun 17 09:53:39 PDT 2015 --  Esok sahur dh buleh imagine satu bunyi yg mengasyikkan: Bunyi pinggan mangkuk jiran2 sbelah
Wed Jun 17 14:22:32 PDT 2015 --  BERSAHUR atau Soq dengan gelandangan di Kotaraya Kuala Lumpur.. Mereka kekal tabah pic.twitter.com/r1mcLMAVb1
Wed Jun 17 05:00:28 PDT 2015 --  *wants to travel the world but has $1.76*
Tue Jun 16 23:13:46 PDT 2015 --  Before Ramadhan starts, heres a reminder to all girls out there! Please DO NOT publicize your "cuti" and "tak puasa". Have some manners. Tq.
Wed Jun 17 07:38:46 PDT 2015 --  SEKADAR Pesanan : Inilah lafaz takbir raya Aidilfitri nanti.. Takut engko kekok je nanti pic.twitter.com/WFqc2uLoI8
Wed Jun 17 07:46:20 PDT 2015 --  Ramadan Mubarak dear brothers and sisters . May Allah accept our righteous actions during this blessed month.
Wed Jun 17 07:55:09 PDT 2015 --  she can make him feel like a king pic.twitter.com/LVIJ5ApNzY
Wed Jun 17 08:00:07 PDT 2015 --  As we commence #Ramadan I wish every one of you the most blessed and spiritually elevating month. May the Almighty make us better people.
Wed Jun 17 03:50:17 PDT 2015 --  "Apa kurma dalam English eh?" "Date?" "Ok esok I free." I hope everyone will have a blessed Ramadan, even the lamest amongst you! :D
Wed Jun 17 06:07:02 PDT 2015 --  If you feel lonely this Ramadan, know that you have Allah and thousands of fellow Muslims around the globe, who are praying for you.
Wed Jun 17 02:27:31 PDT 2015 --  Sayangnya muka dah lawa dah. tapi, join MLM.
Wed Jun 17 02:39:01 PDT 2015 --  PERCUBAAN seorang lelaki menculik seorang kanak kanak di PPR Wangsa Sari gagal apabila suspek kantoi dan dibelasah pic.twitter.com/EPNsHw6EYL
Wed Jun 17 02:13:36 PDT 2015 --  Yeay si dia dh hbis final last sem & last paper
Wed Jun 17 02:12:42 PDT 2015 --  Ayah : amboi dd , xpuasa lagi dd dah mkn separuh kurma
Tue Jun 16 08:54:53 PDT 2015 --  Nak layan org ego ni kau kena main ego dia mcm lego. Try to build something thats beautiful from that person. Surely he/she will apprcte it.
Tue Jun 16 07:40:51 PDT 2015 --  Azamkan Ramadan kali ini, biarlah ada perubahan, ada penghijrahan walaupun sedikit. Yang penting kekal istiqamah. Moga Allah tetapkan iman.
Tue Jun 16 09:27:04 PDT 2015 --  Duk nyanyi really really like u padia lagi. Dh orang tak suka tu move on la
Tue Jun 16 06:44:14 PDT 2015 --  TAHUKAH ANDA : Ramalan satelit akan jatuh terhempas di Malaysia sudah tercatat dalam not RM2 HAHAHAHA pic.twitter.com/R3kOHDi7U8
Tue Jun 16 17:09:19 PDT 2015 --  Before you see the rainbow, you see the rain. If you want to reach your goals, you have to be able to put up with the pain.
Tue Jun 16 05:02:05 PDT 2015 --  Fresh McDonald's French Fries ' pic.twitter.com/pyf5MLtxFr
Tue Jun 16 05:16:31 PDT 2015 --  SELAMAT Menyambut Kedatangan Bulan Ramadan Al Mubarak Pada Hari Khamis Ini Jauhkan Diri Anda Dari Dubmash,Selfie etc pic.twitter.com/Aql4UdfggN
Tue Jun 16 05:17:35 PDT 2015 --  Umat Islam di Malaysia mula berpuasa Khamis ini: Penyimpan Mohor Besar Raja-Raja
Tue Jun 16 04:26:36 PDT 2015 --  Lusa dah bermula bulan dimana semua orang tau secara terperinci dan tepat maghrib jam pukul berapa "7.26"
Sun Apr 19 05:07:25 PDT 2015 --  patutlah rambut gugur :( pic.twitter.com/1e6KmlgRRt
Sat Jun 13 11:37:40 PDT 2015 --  Cerita dari mulut membe sendiri bukan nye direka-reka. Sama2 lah kita muhasabah diri pic.twitter.com/rYOHuvtvcm
Mon Jun 15 07:56:03 PDT 2015 --  Kita mungkin berkuasa hari ini, tetapi masa adalah lebih berkuasa daripada kita. Dan pemegang segala masa adalah Tuhan kita. Stay humble.
Tue May 26 03:01:10 PDT 2015 --  Imagine selfie dengan member dalam 40 tahun akan datang. Gambar dp be like. pic.twitter.com/kAIjYq6BUN
Wed Jun 10 09:26:45 PDT 2015 --  When hijabis are not wearing hijab and a guy walks in pic.twitter.com/m7EARETvuD
Sun May 10 05:52:26 PDT 2015 --  Benda paling miskin bila member yg pakai iphone mintak bukak wifi hotspot sebab phone takda tenet. Mohon simpati.
Sun May 10 07:06:47 PDT 2015 --  "Kebanyakan anak perempuan, rapat dengan ayah" "Kebanyakan anak lelaki, rapat dengan mak ayah"
Fri May 15 23:19:01 PDT 2015 --  Kawan baik tak kawan baik, handphone aku kau jangan check sesuka hati.
Mon May 18 21:28:28 PDT 2015 --  Ajar lidah utk tidak memaki apabila dimaki Ajar tangan utk tidak memukul apabila sakit hati Ajar nafsu utk tidak dendam apabila dikhianati
Thu May 21 07:28:37 PDT 2015 --  jangan tepuk air dalam dulang, nanti terpercik kena muka sendiri, jangan buka aib orang, nanti terbuka aib sendiri tanpa disedari.
Fri May 22 22:46:50 PDT 2015 --  Siapa yg masih suci dari ayat "jangan cakap abang/kakak tak payung" ?
Fri May 22 22:47:46 PDT 2015 --  " Makwe pipi pau ni memang idaman kalbu . Ada ke patut dia cakap nak kuruskan pipi ? Dia tak tahu ke pau lagi sedap dari kerepek. " Hambar
Sun May 24 04:21:28 PDT 2015 --  "Kenapa eh budak-budak tahfiz ni semua muka flawless and berseri-seri je?" "Kerana muka diorang selalu basah dengan wudhuk" Subhanallah.
Tue May 26 06:59:46 PDT 2015 --  Siapa pernah kena bluetick dgn kawan sendiri?🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻
Wed May 27 04:00:04 PDT 2015 --  "Pandai akademik tapi jarang sentuh dan baca Al Quran." Rugi.
