Sat Aug 29 08:19:57 PDT 2015 --  Let's goooo 🏼🏼🏼 pic.twitter.com/ZHDCli9jXJ
Sun Aug 23 23:28:23 PDT 2015 --  Man 8am is gonna hit me like a truck
Sun Aug 23 22:12:52 PDT 2015 --  Kind of excited for Tuesday, ngl.
Sat Aug 22 19:25:43 PDT 2015 --  WAY TO GO ASH @aashhh_
Sat Aug 22 19:12:30 PDT 2015 --  I CANT BELIEVE @aashhh_ FORGOT HER GOD DAMN ID AND NOW WE CANT SEE SINISTER 2. OH. MY. GODDDDD.
Sat Aug 22 17:00:08 PDT 2015 --  And there's the Hufflepuff... pic.twitter.com/IsqXp5gu3L
Sat Aug 22 15:14:21 PDT 2015 --  Just finished my last shift at Wendy's. It's been real. Real shitty 🏼️ lol jk but now time to get things ready for move in day
Fri Aug 21 21:22:43 PDT 2015 --  Can you just be mine already like ugh
Fri Aug 21 15:14:05 PDT 2015 --  Do you wanna talk about the 2007 and 2015 NBA Finals? Cavs Fans: https://vine.co/v/eDXgXMYTPOw 
Fri Aug 21 18:07:57 PDT 2015 --  Bummed no one I asked can go to the movies tonight
Thu Aug 20 22:20:20 PDT 2015 --  “attendance is not mandit..” Me: pic.twitter.com/LTbAhZglxv
Thu Aug 20 19:47:54 PDT 2015 --  WHO IS GOING WITH ME TOMORROW NIGHT TO SEE SINISTER 2 CAUSE IM GOING.
Thu Aug 20 18:19:38 PDT 2015 --  SWISH IS BACK pic.twitter.com/IvrlDxGKs6
Thu Aug 20 10:06:13 PDT 2015 --  me dad's a muggle mam's a witch bitofanastyshockforhimwhenhefoundout
Thu Aug 20 08:44:08 PDT 2015 --  300 RT's and we announce The Hub's newest dining location TODAY!
Thu Aug 20 09:23:29 PDT 2015 --  Pretty pumped about the new places going in at the Hub, ngl. 🏼
Wed Aug 19 23:42:25 PDT 2015 --  one person followed me // automatically checked by http://fllwrs.com 
Tue Aug 18 20:49:51 PDT 2015 --  I've come to the conclusion that I am going to marry @ajcookofficial one day, putting it at the top of my list
Mon Aug 17 23:17:19 PDT 2015 --  Currently eating an ice cream sandwich at 2am because I'm starving but don't have anything else to eat.
Mon Aug 17 23:05:33 PDT 2015 --  I just realized I haven't eaten anything since like 12:30...
Mon Aug 17 19:40:09 PDT 2015 --  Heeeyyyy, this Saturday's my last day ever there lol #Wendys #tbt #timehop http://timehop.com/c/ff:837000379647542_913762165304696:837000379647542:4487231:0da24 … pic.twitter.com/qrxVrECbBF
Mon Aug 17 10:25:21 PDT 2015 --  College went from next year to next week REAL QUICK
Mon Aug 17 00:17:15 PDT 2015 --  Can't sleep, what's new?
Sun Aug 16 23:44:01 PDT 2015 --  I don't understand these. I never find any of these funny whatsoever https://twitter.com/hilariousroasts/status/631637566551408640 …
Sun Aug 16 22:52:17 PDT 2015 --  What do I do at 2am instead of sleeping? The only logical thing; watch criminal minds and look up new hairstyles.
Sun Aug 16 19:04:03 PDT 2015 --  I feel like this and I'm already in college. https://twitter.com/aashhh_/status/633096758319579137 …
Sun Aug 16 16:26:09 PDT 2015 --  I must see Sinister 2
Sun Aug 16 15:33:06 PDT 2015 --  🏼🏼 #ALLinCLE https://twitter.com/sn_ohio/status/633036230398087168 …
Sun Aug 16 15:32:05 PDT 2015 --  Me https://twitter.com/criminaimquotes/status/633036468320083969 …
Sun Aug 16 15:07:41 PDT 2015 --  The Breakfast Club pic.twitter.com/ztRteY6YDA
Wed Aug 12 06:40:02 PDT 2015 --  #TodaysKidsWillNeverKnow about the Greatest Roast of all time pic.twitter.com/aPpi5lV4VO
Sun Aug 16 10:35:28 PDT 2015 --  this gave me goosebumps pic.twitter.com/HE4Ayr6IES
Sun Aug 16 10:35:02 PDT 2015 --  223 days till Allegiant Part 1 https://twitter.com/jaaaas__/status/632966595808264192 …
Sat Aug 15 17:09:27 PDT 2015 --  🏼🏼🏼🏼🏼🏼🏼🏼 https://twitter.com/criminaimquotes/status/632700611444785157 …
Fri Aug 14 23:53:24 PDT 2015 --  one person followed me // automatically checked by http://fllwrs.com 
Fri Aug 14 07:08:52 PDT 2015 --  Time hops depressing sometimes, man.
Fri Aug 14 07:02:24 PDT 2015 --  Just had a dream about someone I'd never thought I'd dream about
Thu Aug 13 22:36:00 PDT 2015 --  Late night selfie from the other night still counts as a late night selfie. pic.twitter.com/rGskFyUt3j
Thu Aug 13 22:13:39 PDT 2015 --  Why do people go on other peoples Twitters to annoy themselves? Like you don't even talk to me anymore, don't creep and then get irritated
Thu Aug 13 10:10:39 PDT 2015 --  Scientists have called this the perfect road trip. Just start in your state and follow the map. So, who's in? pic.twitter.com/XLNEb15rNl
Thu Aug 13 19:40:48 PDT 2015 --  Just some of the struggles of my everyday life. #LeftHandersDay https://twitter.com/kardashianreact/status/632017793022451713 …
Thu Aug 13 11:49:27 PDT 2015 --  Uhh excuse me someone who doesn't like chipotle is someone I do not associate with. https://twitter.com/sincerelytumblr/status/631899569064906753 …
Thu Aug 13 09:02:03 PDT 2015 --  mozzarella sticks are the best. pic.twitter.com/kV1ukV2dX2
Thu Aug 13 08:09:45 PDT 2015 --  Went to bed at 9, woke up at 11...safe to say I got enough sleep. #justkidding #stilltired
Tue Aug 11 20:04:37 PDT 2015 --  Yes please https://twitter.com/sincerelytumblr/status/631299832427233280 …
Mon Aug 10 19:09:44 PDT 2015 --  one person followed me // automatically checked by http://fllwrs.com 
Mon Aug 10 17:45:49 PDT 2015 --  https://twitter.com/_collegehumor_/status/630899067028140032 …
Mon Aug 10 12:13:09 PDT 2015 --  Is today over yet or?
Sun Aug 09 23:06:37 PDT 2015 --  Wow work is gonna hit me like a truck tomorrow
Tue Jun 23 23:41:25 PDT 2015 --  RULE #258: IF YOU ARE OFFERED DRUGS SAY YES, DRUGS ARE EXPENSIVE
Sun Aug 09 11:33:11 PDT 2015 --  Someone go to the Italian fest with meeeee
Sat Aug 08 21:26:08 PDT 2015 --  RETWEET And MUST be following to win a Michael Brantley Bobblehead! THREE Winners Thursday 8/13- 11 pm. pic.twitter.com/glp0Gje6gn
Sat Aug 08 19:40:03 PDT 2015 --  Hits a grand slam off a regular pitcher. Strikes out against a position player. #JerrySands
Sat Aug 08 19:33:39 PDT 2015 --  Me af https://twitter.com/_collegehumor_/status/630200664195530752 …
Sat Aug 08 19:26:44 PDT 2015 --  I cut my thumb under the nail at work today and it hurts so baad
Sat Aug 08 18:52:29 PDT 2015 --  Watching Pitch Perfect 🏼️
Fri Aug 07 20:33:17 PDT 2015 --  Favorite video of all time https://twitter.com/videoretweet/status/629812296349433856 …
Fri Aug 07 18:57:24 PDT 2015 --  When no one buys potatoes at work when we need them to be sold, we go back to the drawing board for ideas. 🏼️ pic.twitter.com/FLrX6O9LxV
Thu Aug 06 19:35:07 PDT 2015 --  Planned Parenthood is more than just abortions, believe it or not.
Wed Aug 05 19:37:28 PDT 2015 --  Tell me that you're coming back and you just took a break.
Wed Aug 05 19:15:56 PDT 2015 --  Who's going with me???? 🏼 https://twitter.com/sinistermovie/status/628742594755825665 …
Wed Aug 05 11:54:02 PDT 2015 --  I think we can all agree. pic.twitter.com/Kbl0ALoBwH
Wed Aug 05 07:10:56 PDT 2015 --  Not feeing work at all today. But when am I ever feeling work these days.
Tue Aug 04 22:21:17 PDT 2015 --  People piss me off to no end
Tue Aug 04 21:01:20 PDT 2015 --  https://twitter.com/hogwartslogics/status/628776925247307776 …
Tue Aug 04 16:35:56 PDT 2015 --  This is what I come out of work to. Thanks guys. @AicheleZ @_klstarch @taynichs @bunnyboo_lol pic.twitter.com/SgP6a2x3Lc
Mon Aug 03 22:53:26 PDT 2015 --  I should probably go to bed considering I have to be up at like 9 buuuut whateverr
Sun Aug 02 15:31:41 PDT 2015 --  one person followed me and 4 people unfollowed me // automatically checked by http://fllwrs.com 
Sun Aug 02 09:45:16 PDT 2015 --  . @FearTWD is infectious. pic.twitter.com/UKdgZrAzhZ
Sat Aug 01 11:12:39 PDT 2015 --  Rest in Paradise, my little Panther. thanks for the last 18 years, I love you, Isabelle. See you soon. pic.twitter.com/n4weS4p7nF
Sat Aug 01 07:27:19 PDT 2015 --  https://twitter.com/damnhappyyy/status/627481427748098048 …
Sat Aug 01 06:22:38 PDT 2015 --  Lol go fuck yourself. Haven't called off in over a year and it's a family emergency. Sorry my career choice isn't Wendy's. 🏼️
Fri Jul 31 18:09:54 PDT 2015 --  I feel like grandma would say this https://twitter.com/_saraaanic/status/627283162729742336 …
Fri Jul 31 07:15:30 PDT 2015 --  pic.twitter.com/RkoL8ZYIdt
Thu Jul 30 22:05:38 PDT 2015 --  Petition to get Harry Potter on Netflix. RT if you want it on Netflix. pic.twitter.com/24DVUdYPqd
Thu Jul 30 22:04:16 PDT 2015 --  Missing some people I shouldn't be missing hardcore rn
Thu Jul 30 21:58:18 PDT 2015 --  But did he clean his room is the real question https://twitter.com/rappersaid/status/614201016628703232 …
Wed Jul 29 11:58:33 PDT 2015 --  Drake the GOAT pic.twitter.com/1Dqnk7WvUC
Thu Jul 30 21:31:06 PDT 2015 --  I should probably go to bed soon. Naaaahhh.
Thu Jul 30 21:26:41 PDT 2015 --  https://twitter.com/kidsgrowlngup/status/623843587302645760 …
Mon Jul 20 10:31:16 PDT 2015 --  pic.twitter.com/TIhZTKSExZ
Thu Jul 30 14:20:05 PDT 2015 --  Oh joy https://twitter.com/kentwired/status/626852299923685377 …
Thu Jul 30 11:37:12 PDT 2015 --  Craving a sausage mcmuffin rn, dammit @McDonalds start your all day breakfast already
Wed Jul 29 22:17:11 PDT 2015 --  https://twitter.com/hogwartslogics/status/626591300490428417 …
Wed Jul 29 21:09:48 PDT 2015 --  Happy I got the parking pass I wanted 🏼
Wed Jul 29 19:53:28 PDT 2015 --  If I don't get the parking pass I want tonight in gonna be highkey salty af
Wed Jul 29 15:13:21 PDT 2015 --  one person followed me and 5 people unfollowed me // automatically checked by http://fllwrs.com 
Wed Jul 29 11:30:25 PDT 2015 --  Pro tip: Don't drink tea that was left in your car for a few hours in the 90° heat unless you want to burn your esophagus
Wed Jul 29 11:25:16 PDT 2015 --  Eric Berry has just been cleared to play football and Devon Still's daughter is free of cancer ESPN: "let's talk about Tom Brady some more"
Tue Jul 28 20:41:38 PDT 2015 --  Annnndddd I'm annoyed.
Mon Jul 27 09:11:38 PDT 2015 --  Is Delly a dirty player? #RT for NO #FAV for YES pic.twitter.com/hakNv1k5PM
Sun Jul 26 20:04:22 PDT 2015 --  Lol I'm just gonna go to bed.
Sat Jul 25 19:00:06 PDT 2015 --  rt to save a juniors life... pic.twitter.com/qPGOEsZYM4
Sun Jul 26 18:44:17 PDT 2015 --  Story of my entire life. https://twitter.com/_klstarch/status/625480801568849920 …
Sun Jul 26 18:07:31 PDT 2015 --  They need to put the Harry Potter series on Netflix.
Sun Jul 26 15:39:59 PDT 2015 --  Delly and Miller are most likely gone, and I don't like the Jefferson pick up tbh. Still have work to do for depth https://twitter.com/sn_ohio/status/625434657430085632 …
Sat Jul 25 19:36:31 PDT 2015 --  Indians. Retweet if you cry every time pic.twitter.com/4WwBWbqFJh
Sun Jul 26 11:43:32 PDT 2015 --  What to do when you're stuck at home for hours while your cars being fixed? Take a nap 🏼️
Sat Jul 25 22:05:49 PDT 2015 --  WE'RE/THEY'RE LITERALLY EVERYWHERE JUST STOP LOOKING IN THE FUCKBOY SECTION OF THE BOYFRIEND STORE JESUS CHRIST. https://twitter.com/deepsexts/status/625168384485912576 …
Sat Jul 25 21:46:34 PDT 2015 --  Someone go geocaching and adventuring with me tomorrowwwww
Sat Jul 25 17:12:10 PDT 2015 --  4 people followed me // automatically checked by http://fllwrs.com 
Sat Jul 25 16:17:28 PDT 2015 --  Someone go to Dairy Queen or chipotle with meeee
Sat Jul 25 15:15:21 PDT 2015 --  Now it's gonna be broken up within like 10 minutes cause that's what always happens after you guys tweet https://twitter.com/sportscenter/status/625065782184161282 …
Fri Jul 24 22:36:04 PDT 2015 --  My life https://twitter.com/cassiesnyder_/status/624814575066722304 …
Fri Jul 24 21:21:28 PDT 2015 --  @Hab_rockin14 true true I guess that would help. I took 3 online classes last semester and I decided that was too many for me
Fri Jun 26 15:57:29 PDT 2015 --  Make this go viral pic.twitter.com/7pI4DALU5m
Fri Jul 24 19:43:29 PDT 2015 --  Dear Kent, If you could stop raping my wallet, it'd be greatly appreciated. Sincerely, A broke college student
Fri Jul 24 16:26:57 PDT 2015 --  Really wanna go to an Indians game soon. Anyone wanna go?
Thu Jul 23 21:41:16 PDT 2015 --  Whose summer didn't go anywhere near as planned? 🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽🏽
Thu Jul 16 07:40:17 PDT 2015 --  this is a smiling Kanye,it only appears once in 20,000 Kanye pics.This is a very rare Kanye.RT in 20 secs or bad luck pic.twitter.com/mZlFDdif7H
Thu Jul 23 21:02:08 PDT 2015 --  Damn I miss you
Thu Jul 23 15:14:07 PDT 2015 --  Does @KyrieIrving have the #BestHandles in the league? https://amp.twimg.com/v/b1532623-c2da-43d5-8f92-d7f44625eacd …
Thu Jul 23 19:53:10 PDT 2015 --  Forget going to the bar, make this my 21st birthday gift 🏼 https://twitter.com/freddyamazin/status/624405466727100416 …
Wed Jul 22 21:11:28 PDT 2015 --  I hope I make more friends this upcoming school year cause I literally had like 2 friends last year
Wed Jul 22 20:05:04 PDT 2015 --  You reach a point where it's not that you don't care, you just realize that you can't care because it's better for yourself.
Tue Jul 21 22:13:26 PDT 2015 --  Update: it's almost 1:30am and I'm still craving a Brownie Batter Blizzard from DQ.
Tue Jul 21 19:33:51 PDT 2015 --  Man I could really go for a Brownie blizzard from @DairyQueen right now. Who's in?
Tue Jul 21 15:57:27 PDT 2015 --  Haven't left the house all day.
Tue Jul 21 13:14:39 PDT 2015 --  🏼 https://twitter.com/nohoesnextdoor/status/555586865206935552 …
Tue Jul 21 12:49:44 PDT 2015 --  This would have helped with my Newswriting class. https://twitter.com/kentwired/status/623575739238121473 …
Tue Jul 21 06:43:15 PDT 2015 --  July 21st: On this day in 2007 Harry Potter & the Deathly Hallows was published. It sold 15 million copies on its first day, a world record.
Tue Jul 21 06:42:52 PDT 2015 --  Same, Garcia, same 🏼 pic.twitter.com/qcu5VjaRJi
Mon Jul 20 21:48:07 PDT 2015 --  one person followed me // automatically checked by http://fllwrs.com 
Mon Jul 20 18:55:15 PDT 2015 --  GOOD NEWS: JR Smith is meeting with the Cavs this week, "Regrets opting out" pic.twitter.com/FYGDHubWAi
Mon Jul 20 07:00:28 PDT 2015 --  Fuck Monday's.
Mon Jul 20 06:46:42 PDT 2015 --  Why do I keep having dreams like that, ugh.
Wed Jul 15 19:02:44 PDT 2015 --  Retweet and MUST be following to win this unopened pack of FLEER '96 Indians Baseball Cards - winner 7/19 10 pm. pic.twitter.com/fNdNefk73E
Sat Jul 18 20:00:06 PDT 2015 --  GIVEAWAY: LEBRON AUTOGRAPH BALL.. RT AND FOLLOW FOR A CHANCE TOO WIN!! ENDS AT 11PM TOMORROW!! pic.twitter.com/FjcVBWvwGd
Sat Jul 18 20:55:37 PDT 2015 --  Caught bae sleepin 🏼 pic.twitter.com/HH9vllD24J
Sat Jul 18 20:38:21 PDT 2015 --  There's a fire in this November sky, It's burning up, burning up they'll remember me tonight
Sat Jul 18 10:58:03 PDT 2015 --  Top 16 Cavaliers Jerseys Final Four RT 1990s Away Jersey FAV Cavs Fanatic 2010 pic.twitter.com/ykFvSoc5rJ
Sat Jul 18 14:58:49 PDT 2015 --  Sad he hasn't developed in the NBA https://twitter.com/retrosportsvids/status/622027298795950080 …
Sat Jul 18 02:39:48 PDT 2015 --  Man works gonna suck in the morning.
Sat Jul 18 01:00:20 PDT 2015 --  Don't judge #Pisces journey until you've walked their path.
Fri Jul 17 20:40:16 PDT 2015 --  Lol @ the fact that you have a new guy like every month and this months no different. L O L
Fri Jul 17 19:13:32 PDT 2015 --  Going through my room cleaning and found these weren't these from like 9th grade? Lol. Miss you! @brandyrayanne pic.twitter.com/4EHYd9EL0t
