Sat Aug 29 07:30:27 PDT 2015 --  28 min Liverpool 0-2 West Ham RT if you are laughing at Liverpool
Mon Aug 24 09:10:36 PDT 2015 --  It's due today at midnight. @___alexaaaaa
Sun Aug 23 20:53:34 PDT 2015 --  Don't wear open toe sandals to the mall, I'm trying to enjoy my Cinnabon but it's hard when your hairy infected toes are sticking out.
Fri Aug 21 12:36:13 PDT 2015 --  Drake's guardian angel. https://twitter.com/cZECHyerself/status/634810586035916801 …
Sun Aug 23 15:53:27 PDT 2015 --  No, I didn't pick up a pair of the new Yeezys.
Sun Aug 23 20:40:42 PDT 2015 --  "You wanna see a picture of my mother in law? Neither do I!" -bad comedian Eli Manning
Sun Aug 23 20:33:54 PDT 2015 --  Man do I feel grateful, thank you guys
Sun Aug 23 18:50:57 PDT 2015 --  I've always had a good reason for driving in pajamas, but I feel like it wouldn't hold up when talking to the police.
Sun Aug 23 13:05:10 PDT 2015 --  i make my mother unhappy by being unhappy and her being unhappy makes me more unhappy and thus the earth spins on
Sun Aug 23 11:30:30 PDT 2015 --  Who's tuning in for #SoccerSunday? #BeatLA pic.twitter.com/u77O1RHcwx
Sat Aug 22 18:09:57 PDT 2015 --  Know your worth. (It's not a lot, I'm afraid.)
Sat Aug 22 16:44:48 PDT 2015 --  Crossed my legs, locked eyes with a guy in a Vietnam Veteran hat, slowly uncrossed my legs.
Wed Aug 19 11:52:34 PDT 2015 --  After all these years, nobody makes me laugh like @billclinton. Happy birthday! -H pic.twitter.com/8fNuVQ0BKV
Sat Aug 22 15:23:47 PDT 2015 --  I wish I was close friends with Jonah Hill so I know what level of Jewish he really is.
Sat Aug 22 15:02:31 PDT 2015 --  I just saw two gay dads. Not the cute kind you're happy to see, though, heavy ones.
Sat Aug 22 14:12:41 PDT 2015 --  I see a lot of Obama '08 bumper stickers. Not so many '12.
Sat Aug 22 13:04:29 PDT 2015 --  Retweet if you show great character.
Sat Aug 22 11:46:54 PDT 2015 --  HEY GEORGE WASHINGTON, YOU’RE ON FUCKING MONEY! SMILE, YOU DICK!
Sat Aug 22 11:03:08 PDT 2015 --  Meticulously parsing comedy and getting offended is the best medicine.
Sat Aug 22 09:25:02 PDT 2015 --  how do people sneak out of their house???? i could be going to pee in the middle of the night and my mom will be like what tf you doing
Mon Apr 20 17:00:13 PDT 2015 --  Ready 2 party but more ready 2 watch u poop pic.twitter.com/hQ2pGQwd32
Sat Aug 22 08:56:12 PDT 2015 --  Lol https://twitter.com/mrleeroberts/status/635117765016297472 …
Fri Aug 21 23:43:07 PDT 2015 --  I have some weird aspirations, like I wanna kick a pigeon so bad, they walk everywhere like there untouchable and shit and I hate it.
Tue Nov 23 19:47:44 PST 2010 --  Last but far from least important...Take Care.
Tue Aug 18 15:33:20 PDT 2015 --  We no longer have a relationship with Jared and have no further comment.
Tue Mar 24 11:05:09 PDT 2015 --  @warriors HENRY HAS HAD CANCER SINCE OCTOBER HE WANTS TO MEET STEPH CURRY MAKE HIS DREAM COME TRUE pic.twitter.com/zuM6AJmgOG
Fri Aug 21 16:57:39 PDT 2015 --  On the first day of a new comedy writing job go up to the funniest person there and squirt them in the face with your lapel flower.
Fri Aug 21 14:33:29 PDT 2015 --  YOUR DAILY HOROSCOPE: You will read some vague bullshit.
Fri Aug 21 13:10:14 PDT 2015 --  Your little girl looks exactly like you. I'm sorry.
Fri Aug 21 01:16:05 PDT 2015 --  My wife Toor Pekai and I are proud of Malala getting 6A*s and 4As. #education for every child. pic.twitter.com/lfoKBLMGYz
Fri Aug 21 09:48:13 PDT 2015 --  Well said @adidas pic.twitter.com/ufXDFJf4IH
Fri Aug 21 06:19:38 PDT 2015 --  Twitter verification is so loose. You can be the guy that craps on the floor of a random party and they would verify you...and your stool.
Thu Aug 20 20:50:34 PDT 2015 --  At 4 years at highschool, I can only recall ironing my shirts once, luckily being pathetic and useless is very fashionable these days.
Thu Aug 20 10:38:49 PDT 2015 --  dreamt someone was tapping my shoulder to give me a compliment. in reality it was my wife waking me up to tell me our dog had diarrhea.
Thu Aug 20 14:18:47 PDT 2015 --  a square shaped lizard is called a reptangle. thanks for reading.
Thu Aug 20 09:33:48 PDT 2015 --  Sittin next to guy flickin right on tinder so fast it was like he was searching for a word in a dictionary. #TheWordWasLove
Thu Aug 20 08:06:43 PDT 2015 --  Por todo lo que hemos pasado tanto dentro como fuera del campo. Gracias por todo @_Pedro17_ ! Mucha suerte amigo! pic.twitter.com/Syi95LJYQj
Thu Aug 20 06:58:09 PDT 2015 --  @_Pedro17_ te vamos a echar mucho de menos !! Gracias por todo ! Te mereces todo lo mejor! Un abrazo !!!
Thu Aug 20 05:12:39 PDT 2015 --  OFFICIAL: Pedro signs for Chelsea. Thanks for everything legend. We'll always love you.. pic.twitter.com/fmmCwpMAd8
Thu Aug 20 06:52:54 PDT 2015 --  Will Pedro add an #EPL trophy w/ @ChelseaFC to his haul? #LaLiga: 5x #CopaDelRey: 3x #UCL: 3x #Euros: 1 #WorldCup: 1 pic.twitter.com/0oPJZS0ICc
Thu Aug 20 06:34:49 PDT 2015 --  Te deseo toda la suerte del mundo @_Pedro17_ . Te echaremos mucho de menos amigo! pic.twitter.com/wZhHB19MmM
Wed Aug 19 17:29:45 PDT 2015 --  Former detective who claimed LAPD involvement in Biggie Smalls murder dies suddenly http://nbcnews.to/1MyHlE5  pic.twitter.com/e8tYYiRnGs
Wed Aug 19 20:16:24 PDT 2015 --  "It's about an overweight Italian man who's obsessed with cock-blocking a gorilla." - The Guy Who Pitched Donkey Kong
Wed Aug 19 18:55:48 PDT 2015 --  this is dream
Wed Aug 19 17:11:38 PDT 2015 --  i mean @realDonaldTrump if you're so good at negotiating how come you couldn't get @DonaldTrump
Wed Aug 19 17:23:24 PDT 2015 --  How come everyone can do a Arnold Schwarzenegger impression, but he can't do a impression of a guy who can say California right.
Wed Aug 19 14:48:37 PDT 2015 --  A cat named Bubba is now an official member of @LHS_Chargers in San Jose! http://abc7ne.ws/1TU9yuT  pic.twitter.com/jIa7Gh4hqL
Wed Aug 19 13:58:21 PDT 2015 --  I like people who are just the right amount of Jewish.
Wed Aug 19 12:16:11 PDT 2015 --  Hey, family on vacation, your son is gay.
Wed Aug 19 10:12:21 PDT 2015 --  "We don't make cookies. We just complain about how everybody else's cookies suck." - The Keebler Trolls
Wed Aug 19 09:55:15 PDT 2015 --  Yesterday evening an Uber driver said "welcome aboard" and it ruined my whole night.
Sat Aug 15 21:49:35 PDT 2015 --  If Donald Trump becomes president I call dibs on the part of the cotton field with the most shade
Wed Aug 19 07:39:52 PDT 2015 --  My goal in life is to be this happy pic.twitter.com/c7weiTB2zJ
Wed Aug 19 06:50:48 PDT 2015 --  How Jose Mourinho persuaded Pedro to join #CFC ahead of #MUFC pic.twitter.com/4JdHd7Gh4B
Tue Aug 18 23:07:35 PDT 2015 --  At what precise age do I stop living in terror that teenagers think my shoes are uncool?
Sat Aug 15 18:04:53 PDT 2015 --  I like mosquito bites I like the attention
Tue Aug 18 22:11:16 PDT 2015 --  Khan academy and chill
Tue Aug 18 22:11:55 PDT 2015 --  In own experience, when I say I'm a lakers fan to a warriors fan, it's like you insulted there entire ancestry.
Tue Aug 18 21:35:39 PDT 2015 --  Florida is a place where old people go to retire and die
Tue Aug 18 17:32:24 PDT 2015 --  I wonder what Jared's gonna eat now.
Sat Oct 25 12:11:35 PDT 2014 --  “ @artillery909: When you in a rush to leave in the morning and u didn't eat or brush yo teeth pic.twitter.com/afwFTyPTvs”
Tue Aug 18 16:08:43 PDT 2015 --  5 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Thu Dec 04 08:17:49 PST 2014 --  When the teacher let you in class late without a pass #nileseyyniles #comedy #OnlyAtWise https://vine.co/v/OvjK0jdv5ih 
Tue Aug 18 14:53:15 PDT 2015 --  is the earth round or nah? https://twitter.com/shayfromonline/status/633469743324897280 …
Tue Aug 18 14:36:53 PDT 2015 --  Thank God I never see the people I see at the airport anywhere else.
Tue Aug 18 13:53:57 PDT 2015 --  United fans be like: Nani : Next Ronaldo Valencia : Next Ronaldo Januzaj : Next Ronaldo DiMaria : Next Ronaldo Now Depay : Next Ronaldo
Mon Aug 17 22:08:48 PDT 2015 --  *starts mosh pit at a Sarah McLachlan concert*
Mon Aug 17 20:01:23 PDT 2015 --  "I saw your ex tonight" thanks? what am I supposed to do with this useless information?........
Mon Aug 17 19:57:12 PDT 2015 --  Personal statements are such a drag like please just accept me into your college, I promise I'm great
Mon Aug 17 19:41:51 PDT 2015 --  Hey Wheel of Fortune contestants: Let’s keep those personal stories short. Sooner Sajack gets done, sooner Sajack gets back to slammin beave
Mon Aug 17 17:29:27 PDT 2015 --  Gay couple was refused a marriage license in Kentucky. They were given two guns as a parting gift, though.
Mon Aug 17 16:17:46 PDT 2015 --  My insides still think school is starting in two weeks.
Mon Aug 17 10:40:23 PDT 2015 --  @kevinseccia Update: It was my pal, and person I've gchatted with hundreds of times over the past several years, @JenAshleyWright.
Mon Aug 17 09:01:17 PDT 2015 --  My friend who has my email and phone number just sent me a Facebook message?
