Tue Jun 16 13:42:44 PDT 2015 --  Quand t'es mort de rire de ta blague et que t'essaye de la raconter pic.twitter.com/E0GaGX7MED
Tue Aug 04 10:02:06 PDT 2015 --  #EnSoiréeYaToujours le moment ou tu perds ton portable tellement t'es dans le mal
Tue Aug 04 11:00:19 PDT 2015 --  #EnSoiréeYaToujours un moment où on est tous morts et on philosophe sur la vie
Tue Aug 04 11:16:44 PDT 2015 --  #EnSoiréeYaToujours ce mec là. pic.twitter.com/f6z2bSCOx7
Tue Aug 04 11:24:28 PDT 2015 --  #EnSoiréeYAToujours quelqun qui dit "Non je bois pas mais 2 h plus tard tu le capte a l'ouest puis il ressemble a ca pic.twitter.com/XIxotEAeaG
Tue Aug 04 12:43:44 PDT 2015 --  #EnSoiréeYaToujours une personne qui fait la personne bourrée alors qu'elle a bu que du coca
Tue Aug 04 12:54:20 PDT 2015 --  #EnSoiréeYaToujours ce moment où tu quittes le dancefloor pour t'isoler et terminer ton chapitre de Hegel OKLM.
Tue Aug 04 13:16:35 PDT 2015 --  #EnSoiréeYaToujours ce moment fatidique où tu passes devant un miroir alors que tu t'es pas vu depuis 10 verres
Wed Aug 05 01:29:38 PDT 2015 --  #EnSoireeYaToujours quelqu'un qui te prend à part pour avoir une discussion super sérieuse avec toi
Wed Aug 05 02:21:44 PDT 2015 --  #ensoiréeyatoujours "JE T'EMMÈNE AU DESSUS DES GENS ET JE VOUDRAIS, QUE TU TE RAPPELLES NOTRE AMOUR ÉTERNEL ET PAS ARTIFICIEL"que tu HURLES
Wed Aug 05 02:42:50 PDT 2015 --  #EnSoiréeYaToujours un moment ou t'appelle tes potes pas là, pour leurs dire que tu les aimes
Wed Aug 05 03:46:55 PDT 2015 --  #ensoiréeyatoujours un gus qui monte faire des pâtes à 3h du matin
Wed Aug 05 06:12:24 PDT 2015 --  #EnSoiréeYaToujours quelqu'un qui cache une bouteille
Wed Aug 05 08:12:39 PDT 2015 --  #EnSoireeYaToujours un moment ou tu vas aux WC et tu te dis "ah j'suis défoncé la".
Wed Aug 05 07:47:07 PDT 2015 --  #ALaPlageYaToujours une bande de coquillage qui t'attend pour te défoncer les pieds à l'entrée de la mer
Wed Aug 05 08:28:53 PDT 2015 --  #ALaPlageYaToujours les familles archi organisées qui arrivent avec une table des fauteuils une glacière la grand mère un aquarium
Wed Aug 05 10:50:55 PDT 2015 --  #ALaPlageYaToujours se moment quand tu commence a aller trop loin et que l'eau devient trop foncer ou tu te dit ptêtre ya un requin
Tue Jul 21 13:42:25 PDT 2015 --  excuse me what did u say i cant hear u i have an ear disease called i dont fucking care
Fri Jul 17 05:45:25 PDT 2015 --  - Tu fais souvent du sport ? - Non jamais et toi ? - J'aime courir. - Ah non attends ça compte le sexe ? - Oui - Ok mais c'est toujours non.
Sun Jul 12 10:59:58 PDT 2015 --  Kate Moss & Johnny Depp pic.twitter.com/2ZmGmWrqAo
Fri Jul 17 02:06:00 PDT 2015 --  Ne me demandez pas pourquoi j'ai fait ça. pic.twitter.com/tidj1H3RoY
Sun Jul 19 09:39:13 PDT 2015 --  REMETTEZ LES POTATOES SVPPP #BaissezLePrixDuMcFlurry
Sun Jul 19 09:40:32 PDT 2015 --  #BaissezLePrixDuMcFlurry sinon je peux pas grossir
Sun Jul 19 09:50:09 PDT 2015 --  Au Portugal le McFlurry coûte seulement 1,80€ #BaissezLePrixDuMcFlurry
Sun Jul 19 09:58:06 PDT 2015 --  Bonjour @fhollande comptez-vous, d'ici 2017, #BaissezLePrixDuMcFlurry dans tous les McDonalds de France ? Merci, les français en ont besoin
Sun Jul 19 10:22:58 PDT 2015 --  Je propose qu'on utilise le wifi gratuit de @McDonalds pour tweeter #BaissezLePrixDuMcFlurry et les baiser
Sun Jul 19 10:53:10 PDT 2015 --  Il faut que vous en parliez, c'est dans l'intérêt de TOUS les français #BaissezLePrixDuMcFlurry @m6info @itele @BFMTV @TF1 @France2tv
Sun Jul 19 12:27:50 PDT 2015 --  Ceci est un tweet engagé, #baissezleprixduMcFlurry.
Sat Jul 18 13:52:46 PDT 2015 --  I wanna go exploring in the mountains pic.twitter.com/NF5E8BlOZo
Sat Jul 18 10:55:15 PDT 2015 --  #ootd pic.twitter.com/hltUd21ePZ
Fri Jul 17 00:30:42 PDT 2015 --  surround yourself with peace and positivity
Fri Jul 17 04:19:50 PDT 2015 --  I don't care if there is someone better than you because to me you are the right one and the only one that I want.
Fri Jun 26 18:32:02 PDT 2015 --  do you like science because i've got my ion you
