Fri Aug 28 04:54:00 PDT 2015 --  今年の奈良女企画手の込み用では一番だと思う。
Mon Aug 10 01:54:07 PDT 2015 --  後期からの新居が決まりました。 今宮に移ります。
Sun Aug 09 06:36:08 PDT 2015 --  1金麦 2ヱビス 3エッティンガー 4プレモル 5ドライプレミアム 6一番搾り #利きビール対策練二本目
Sun Aug 09 05:47:54 PDT 2015 --  ビールこんだけ飲むとまずい。(美味しいと思えなくなった)
Sun Aug 09 05:42:02 PDT 2015 --  １ヱビス ２プレモル ３一番搾り ４エッティンガー ５金麦 ６ドライプレミアム #利きビール対策連
Sun Aug 09 03:13:16 PDT 2015 --  テレビゲームとか久しぶりに見た(やったとはいっていない)
Sun Aug 09 01:25:44 PDT 2015 --  高齢化と地方衰退という日本の縮図を見た#近畿OL連絡会
Sat Aug 08 06:56:01 PDT 2015 --  淀川 花火音だけ楽しみました(三国でバイト)
Fri Aug 07 21:16:11 PDT 2015 --  三国のスーパーが花火大会仕様になっていた。弁当たくさん
Fri Aug 07 07:36:04 PDT 2015 --  今期はアニメ当たりだな。 乱歩奇譚、うまるちゃん、シャーロット、アルスラーン戦記がよい。
Wed Aug 05 20:22:59 PDT 2015 --  たまってた仕事をやるぞ
Wed Aug 05 20:21:35 PDT 2015 --  テスト終わったーーー！！！ 夏休み！！プール！海！水着の女性！かき氷！甲子園！山！川！すいか！お祭り！花火！そうめん！
Wed Aug 05 14:57:21 PDT 2015 --  @今日テスト最終日の皆さん ラスト頑張りましょう！
Wed Aug 05 07:31:21 PDT 2015 --  kmhrをグロコモで発見。流石だな。
Tue Aug 04 06:08:36 PDT 2015 --  皆の花火ツイートを見てると伊丹花火への期待が高まりのだが、果たして人は集まるのだろうか。
Mon Aug 03 02:18:15 PDT 2015 --  mtkwとmmrの３走対決があつい！
Mon Aug 03 00:33:12 PDT 2015 --  パソコンみて勉強しながら時々パソコンでゲームし、さらに時々ツイッターで会話してるって、あっきー同時平行能力すごいな(後ろから見た感想)
Sun Aug 02 05:50:20 PDT 2015 --  ９月に暇な日が多いからバイト入れるかどうか迷っていたけど、海外旅行で香港に行くと言う手もあることに今気づいた。
Sun Aug 02 01:37:47 PDT 2015 --  ジャグリングの部内発表会でピタゴラシガーやった。 pic.twitter.com/zSp4KsER2j
Tue Jul 28 19:20:15 PDT 2015 --  テスト週間は豊中でご飯が食べられるからいい。
Tue Jul 28 08:04:17 PDT 2015 --  今年の流行は去年の正反対の○○という見てのテレビでみて、服何枚買えばいいんだと思ってしまった(女子の話だけど)
Mon Jul 27 18:36:31 PDT 2015 --  テスト終了。即豊中帰還。
Sun Jul 26 07:39:34 PDT 2015 --  きもせんのES,、志望動機はいいとして履歴書けないな…
Sun Jul 26 00:53:47 PDT 2015 --  M2の旅行ツイートみてて、和歌山に行くのもいいなと思ったけど移動距離が半端ないな。
Sat Jul 25 22:45:38 PDT 2015 --  mtdのメールがうまく名椙宣伝してて、新人戦(2定)の重要度が相対的に落ちてしまわないか心配。
Sat Jul 25 22:33:26 PDT 2015 --  図書館１人だとなんか集中力が落ちるな。
Sat Jul 25 01:24:44 PDT 2015 --  あっきー以上に行きそうな人がいたからしたツイートが、あっきーだけ煽られてるの驚く。
Sat Jul 25 00:49:43 PDT 2015 --  あっきー早く帰ったけど天神祭花火にでも行くんだろうか…
Fri Jul 24 18:39:12 PDT 2015 --  ＠豊中勉強会ぜい 図書館の５階取りました
Fri Jul 24 15:39:16 PDT 2015 --  昨日のSkypeでどんな話をしていたか気になる。 あっきーに尋問(質問)してみよう。
Fri Jul 24 00:29:19 PDT 2015 --  リラックマ号乗れた！ pic.twitter.com/4wHKKTM2d4
Thu Jul 23 20:31:33 PDT 2015 --  新築の機械工学研究棟と新築の電子情報研究棟の比較。工学部やはり地味。質より量なのだろう pic.twitter.com/fOuNqvpp01
Thu Jul 23 19:52:15 PDT 2015 --  吹田に新しくできた食堂couleur きれいだ！ pic.twitter.com/yPMPIEuUzx
Thu Jul 23 01:42:07 PDT 2015 --  #あなたがよくふぁぼるユーザーベスト10 1位　あほんぬ 2位　たそがれた人 3位　yuripin 4位　ちくちく 5位　(ま)りを。 6位　あっきー 7位　St.真悟 8位　urik 9位　仁実関西 10位　はむじん http://appli-maker.jp/analytic_apps/20500/results/51273954 …
Thu Jul 23 01:27:15 PDT 2015 --  ファミールが新しくなるらしい。これは期待大。 pic.twitter.com/cXhVTSAMVm
Tue Jul 21 04:56:23 PDT 2015 --  来年からは吹田に住むかと思って家を探していたら、大家さんが9月引っ越すらしく、予定が半年早まりました(驚)
Mon Jul 20 08:56:58 PDT 2015 --  Rが一般気体定数なのか気体定数なのか logＡの底が10なのかeなのか 高校と大学で統一して欲しい
Mon Jul 20 05:25:20 PDT 2015 --  同期旅行へのariの反応の速さなんなんだ!?
Sun Jul 19 18:21:00 PDT 2015 --  ラケットを回転させるのは、操作は楽だけど、打つのは難しいのか
Sun Jul 19 18:11:20 PDT 2015 --  手動ロボットが打ち返せる範囲を大きくするためにラケットを多くつけるのは分かる。自動ロボットがラケット１つなのは軽量化で制御しやすくするためなのか。
Sun Jul 19 17:57:08 PDT 2015 --  今年はロボミントンか。 設計の自由さがスゴいな
Sun Jul 19 05:27:04 PDT 2015 --  あっきー家に響く女性陣二人の大声...
Sun Jul 19 04:38:07 PDT 2015 --  ○ ○○「夏合宿は1回生に絡みまくる」
Sat Jul 18 19:15:32 PDT 2015 --  「たちまち」をとりあえずの意味で使うのは広島だけなのか…
Sat Jul 18 19:12:42 PDT 2015 --  たちまち、友達申請をしてみた。
Sat Jul 18 18:57:09 PDT 2015 --  @豊中勉強会勢 5階に行きます。
Fri Jul 17 18:47:48 PDT 2015 --  家でしかできない課題があるので13時頃に行きます。
Fri Jul 17 08:14:07 PDT 2015 --  結構みんな浴衣持ってるし、夏祭りとか行けたらな〜と思ったけど、その辺の行事は大体8月頭なんだよな
Thu Jul 16 15:05:51 PDT 2015 --  危険性としては暴風なんだろうけど、通学時の辛さは大雨の方が上。
Thu Jul 16 08:11:27 PDT 2015 --  きも先への入会条件ってツイッターというオープンな場で恋話を繰り広げられるかどうかな気がする。
Thu Jul 16 02:30:22 PDT 2015 --  私は左脳派？右脳派？ - 100%右脳派 http://jp.vonvon.me/quiz/result/1/2?fb_id=e5106de285dd4b03beda2d321c686737&r=eJwNyTsSgCAMBcC7vDpN-ETIZSwcCht1iNgw3N20uxPDWt_P6xmvQScYyoQIFUKARkKGVkKCFoL48iLYcffm4v05pZi3ULnI-gFfPxQB&utm_source=twitter&utm_medium=organic&utm_campaign=share … #vonvon_jp #vonvon_jp_1 ＞ほんぬと真逆っていうのも面白いな
Wed Jul 15 05:08:50 PDT 2015 --  祇園祭だん。 祭りの雰囲気味わえてよかったけど、人多すぎ… pic.twitter.com/9AVLk7ReNl
Tue Jul 14 20:22:46 PDT 2015 --  集合17時石橋にしたはずなのに、17時半と宣伝するぺー その意図とは！？
Tue Jul 14 07:23:51 PDT 2015 --  許可ありがとうございます。タイミングに特に意味はないです(エアリプにはエアリプ)
Mon Jul 13 23:18:31 PDT 2015 --  巻頭言書くとか運責っぽい。
Mon Jul 13 05:39:56 PDT 2015 --  麺少なめニンニク別野菜ましアブラましカラメ普通がお気に入り
Sat Jul 11 21:17:23 PDT 2015 --  東山MM運営者と交渉してくれた人ありがとうございますm(_ _;)m
Sat Jul 11 01:44:06 PDT 2015 --  今日の勉強会けっこう進捗ありました。ありがとうございます。 トレ参加できずごめんなさい。
Fri Jul 10 18:28:26 PDT 2015 --  図書館の4階にいます
Fri Jul 10 17:32:22 PDT 2015 --  あと20分で掃除まで終わるか…
Thu Jul 09 23:40:01 PDT 2015 --  @全体 意見や返信を募集するメーリスにはきちんと自分の連絡先をいれましょう。
Wed Jul 08 07:19:34 PDT 2015 --  rycさん議事録の要点バシッとあててくるのすごいとおもう。
Wed Jul 08 05:50:10 PDT 2015 --  学連メーリスに流れた話題が各校のメーリス周知される前にツイッター上で憶測が広がるのなんとかできないかな。
Wed Jul 08 04:15:50 PDT 2015 --  準加盟校が加盟校になるための基準って学連によって違うんだな。
Tue Jul 07 06:28:18 PDT 2015 --  ★┷┓ ┃夏┃ ┃を┃ ┃エ┃ ┃ン┃ ┃ジ┃ ┃ョ┃ ┃イ┃ ┃出┃ ┃来┃ ┃ま┃ ┃す┃ ┃よ┃ ┃う┃ ┃に┃ ┗━★ 短冊メーカー http://goo.gl/3wr2TE  テストでいっぱいいっぱいでちゃんと準備が出来なかったなんてなりたくないぞ
Mon Jul 06 06:02:52 PDT 2015 --  【方言チャート100】 http://ssl.japanknowledge.jp/hougen/hougen100/ … 鑑定結果は、広島県の安芸エリアでした。 pic.twitter.com/FZzQ2llaqS 東京女子大学篠崎ゼミｘジャパンナレッジ
Mon Jul 06 05:46:57 PDT 2015 --  どうしたからフォローされた 京大2回発じゃないか！？
Sat Jul 04 16:19:18 PDT 2015 --  さくらんぼ以来のパークOですね！
Sat Jul 04 06:15:37 PDT 2015 --  到着8:30、出走11時だし会場で寝るまである(ない)
Fri Jul 03 21:15:42 PDT 2015 --  ynkikの努力が感じられるメーリス流れた。お疲れ様
Fri Jul 03 00:57:02 PDT 2015 --  本日開店のドンキホーテなう。 通学路沿いにいい買い物場所が出来た。
Thu Jul 02 18:26:13 PDT 2015 --  さっきの数理計画法の授業の例題 いぬに会いに行くのかな pic.twitter.com/CB2QhKIixL
Thu Jul 02 08:25:21 PDT 2015 --  MT直前に議題増えるな…
Wed Jul 01 07:26:19 PDT 2015 --  工学部が吹田CPにあることで、豊中CPの女子率が上がっている阪大
Wed Jul 01 07:20:04 PDT 2015 --  僕は企画広報部だから知らないけど、人少ないしやらないのでは？
Tue Jun 30 04:37:34 PDT 2015 --  明日は豊中CP、吹田CP、奈良公園でスプリント練習会が開かれるのか
Mon Jun 29 20:16:39 PDT 2015 --  全国同期合宿ってなんか響きがスゴい。
Sun Jun 28 08:27:53 PDT 2015 --  金曜表紙編集、土曜レポート、日曜新聞編集と夜更かしが続くな。 まぁ、やってて楽しいんだからしょうがない。
Sun Jun 28 00:48:03 PDT 2015 --  今日新しく京大２回生３人と奈良女新人４人の名前を覚えられました！ 部長杯楽しかったです。運営ありがとうございました。
Sat Jun 27 16:02:47 PDT 2015 --  おおつ！？ pic.twitter.com/BsRwEYBgkN
Sat Jun 27 02:01:43 PDT 2015 --  新入生の紹介が入った阪大の部誌が完成しました！ 明日の部長杯に持っていきます！
Sat Jun 27 00:47:24 PDT 2015 --  鶴見緑地プールに泳ぎに行きたい…
Fri Jun 26 06:40:08 PDT 2015 --  京大で話題の外堀を埋めるっていう状況がいまいち分からない。 外堀埋まったのと埋める理由がない状況は知ってるけど、阪大内にもあるのかな？
Thu Jun 25 22:37:42 PDT 2015 --  瑞牆は好きだけど、八ヶ岳テレインは苦手。(嫌いなのは嶽山)
Thu Jun 25 08:09:27 PDT 2015 --  スプリントセレは自分たちが決めた選抜制度がどの様に機能するか楽しみ。
Tue Jun 23 01:05:27 PDT 2015 --  kond、kik、iwkは良さげな写真が多くて迷うぞ〜
Tue Jun 23 00:25:31 PDT 2015 --  部誌に載せる写真(上回生)を探し中。 どれにしようかな〜
Mon Jun 22 08:34:58 PDT 2015 --  灯禾軒でやる同期会いきて〜(行く)
Mon Jun 22 06:14:37 PDT 2015 --  ツイッターはほぼティアだけと、FBはティアと高校の友達半分づつだから文面が難しい。
Mon Jun 22 03:46:21 PDT 2015 --  「忘れられるメモリ」を開発 - auヘッドライン http://hl.auone.jp/article/detail?genreid=1&subgenreid=3&articleid=KTT201506220338&rf=passtop_%E8%A9%B1%E9%A1%8C … ＞＞面白いアイデアだと思う。
Sun Jun 21 02:40:52 PDT 2015 --  ロングセレ通りました。 とても驚いています。 八ヶ岳の片斜テレインを得意になれるよう頑張ります。
Sat Jun 20 14:00:09 PDT 2015 --  朝マッツなう。 思ったより時間ないぞ… pic.twitter.com/3mMPM1vvrS
Sat Jun 20 07:58:22 PDT 2015 --  明日雨降るな！ おやすみなさい。
Wed Jun 17 07:43:38 PDT 2015 --  ちくちは当日以外朝セレ通過できないと思う。
Tue Jun 16 17:37:06 PDT 2015 --  再履バスまれにみる大渋滞。 次から渋滞してると聞いたら自転車へ切り替えよう
Tue Jun 16 14:34:41 PDT 2015 --  ちくち朝セレ練失敗かな。
Tue Jun 16 06:59:40 PDT 2015 --  予想コースを考えて2時間、青山高原が回しに制約の少ないいいテレインということだけ分かった…
Mon Jun 15 18:26:36 PDT 2015 --  植生調査し直したり、輸送したり、シード制度作ったり、今年のセレ運営者は本当にアクティブ
Sun Jun 14 00:42:16 PDT 2015 --  地図読み能力がなくて、大柳生がイカなのかどうか特定することができませんでした。
Sun Jun 14 00:38:23 PDT 2015 --  大柳生僕的にはいいテレイン。
Sat Jun 13 02:05:45 PDT 2015 --  8乗がアルファードなんだけど(驚) いや、運転してみたかったけどね！
Fri Jun 12 19:10:13 PDT 2015 --  というか、今ICLが10月の3連休にやらないことを知ったんだけど…
Fri Jun 12 19:09:07 PDT 2015 --  ロングの宿思ったより安いぞ。
Fri Jun 12 08:32:09 PDT 2015 --  ナイトOの添付資料がNAIGHT KINGになってるのってまさか…
Fri Jun 12 07:51:38 PDT 2015 --  大柳生雨降るなら帰りのお風呂の用意がいるのかな…
Thu Jun 11 23:29:31 PDT 2015 --  課題やめて部室の掃除行こうかな。
Wed Jun 10 06:04:41 PDT 2015 --  関西夏Walker買った。 今年こそ花火行きたい！ pic.twitter.com/PE76917gJ0
Wed Jun 10 04:54:42 PDT 2015 --  みんなもふるさと登録しよう。 全日本リレーが楽しいはず！
Tue Jun 09 20:56:10 PDT 2015 --  久しぶりに豊中で昼ごはん(^_^) 4食とてもいい。
Tue Jun 09 06:10:36 PDT 2015 --  インカレショートってなんだ？
Mon Jun 08 23:15:32 PDT 2015 --  ロングセレ新人クラス誘導あるのか
Sun Jun 07 15:45:38 PDT 2015 --  疲れているからなのか、夢を見ながらこれが夢だと気づいたのに目が覚めないという不思議な体験をした。 回りは制御できないけど、行動は理性で制御できる夢
Sun Jun 07 13:24:44 PDT 2015 --  家到着。やはり遠征は楽しかった。
Sun Jun 07 06:01:10 PDT 2015 --  新しくできた首都高のJCTにナビと僕が対応できず湾岸線へ+0.5h(new!) 助手席としてこれは反省…
Sun Jun 07 05:06:07 PDT 2015 --  (理想)深夜までに帰れるよう早く帰るレンタな (現実) 会場に最後までいる+0.5h お風呂+1.5h SAでおみやげ買う+0.5h 夕飯高速おりて食べる+1h これが阪大。
Sun Jun 07 01:39:12 PDT 2015 --  高校のワンゲル部が2年ぶりにインハイ出場！ 今年は滋賀だし応援いくかな〜。
Sun Jun 07 01:01:49 PDT 2015 --  東大大会運営素晴らしかった。 こんなわくわくする大会なら遠征していく価値あるな〜。
Sat Jun 06 18:03:56 PDT 2015 --  ソフトクリームO(笑) 当日324円の所、前日申込み者は250円 pic.twitter.com/0pJkvQqe4c
Sat Jun 06 17:09:47 PDT 2015 --  東大大会に来てます。 いい雰囲気の会場！(いきものがかりながれてる) pic.twitter.com/TsaCdJPBYZ
Fri Jun 05 17:48:57 PDT 2015 --  上から目線 pic.twitter.com/jOrnTlw87z
Fri Jun 05 14:00:02 PDT 2015 --  だれも強調しないが写真に写っている岩のりの味噌汁がとてもおいしい。
Fri Jun 05 11:50:42 PDT 2015 --  来るなよ、絶対来るなよ(トラックに向かって)byあっきー
Fri Jun 05 00:39:08 PDT 2015 --  出身地自慢をスマホで調べだす新入生
Thu Jun 04 16:46:47 PDT 2015 --  工学部の池にカモが来てる！ pic.twitter.com/enbCUjFhD2
Thu Jun 04 15:09:07 PDT 2015 --  東大大会準備なう。 前日大会は神大T 本番はトリムかな
Thu Jun 04 07:12:02 PDT 2015 --  明日から東大大会。楽しみ！
Wed Jun 03 06:55:51 PDT 2015 --  京女のあのふたりをフォローしたらTLの世界が広がるんだろうと今日思った。
Tue Jun 02 07:13:33 PDT 2015 --  同期メーリス今入りました！
Mon Jun 01 07:43:53 PDT 2015 --  今日告白の日っていう今日があと20分で終わるのでいまさらな感じがある。
Sun May 31 18:28:29 PDT 2015 --  歩道の通行方向違反は結構微妙な所あるんだよな。(ここで通学ルートを思い浮かべる)
Sun May 31 15:06:18 PDT 2015 --  J→K→各校って時間がかかるなと思っていた競技者配分の情報がTLに流れてるのはなんかアレ。
Sun May 31 07:32:53 PDT 2015 --  よくわからないけど、こういうことだよね？ pic.twitter.com/ugwkh3WQXs
Sun May 31 00:09:04 PDT 2015 --  阪大_共通点Aチームおめでとう！
Sun May 31 00:08:04 PDT 2015 --  ウェルカムAペナ多くね
Fri May 29 15:56:30 PDT 2015 --  この頃の朝ごはん質を上げてるおいしい紅茶 pic.twitter.com/vQuBNRyjxM
Fri May 29 06:30:30 PDT 2015 --  遠征行く時によく思うのが、高速に5分で乗れる阪大の立地ってサイコー！
Wed May 27 20:20:02 PDT 2015 --  行きはほぼ決まっているが、帰りは再考の余地あるな。
Wed May 27 03:50:52 PDT 2015 --  1000ツイート超え(て)た！
Wed May 27 02:50:32 PDT 2015 --  鶏肉のカシューナッツ炒め ラタトゥユコロッケ チキンカツアリゴ添え ガパオライス ※今週食べたワールドグルメフェアのメニュー
Mon May 25 20:18:44 PDT 2015 --  名前苗字が4文字以上だと長いからあだ名がつくイメージ。
Sun May 24 06:09:32 PDT 2015 --  運転も設置もかずをこなせば上手くなるのかな
Sat May 23 23:27:16 PDT 2015 --  合宿だん。世代の移り変わりを感じた二日間であった、、、
Sat May 23 15:04:32 PDT 2015 --  晴れている！ オリエンの晴れ男(女)は半端じゃないな！
Thu May 21 20:43:14 PDT 2015 --  楽しみにしていた製図器具が右利き専用に作られていて、久しぶりに左利きの不便さを感じている。
Tue May 19 07:47:38 PDT 2015 --  キャンパスナイトO。10時以降ならかなり暗くなるけど遅すぎ…
Mon May 18 18:18:11 PDT 2015 --  ともすけは『次のミドルセレの７ポを目指す際に湿地にはまって３０分ツボるでしょう。 #orientubotta http://shindanmaker.com/99722  ミドルセレ四季の里はやめとこう。
Mon May 18 06:07:38 PDT 2015 --  一定が思い出に変わる前に引き継ぎ書かなくては。
Sun May 17 16:05:30 PDT 2015 --  営業時間8:00なのに7:50に開けててくれるトヨタレンタに感謝。
Sun May 17 16:04:36 PDT 2015 --  朝レンタを返しても、吹田1限に間に合うことが判明。 これでレンタ返却要因になれるぞ！
Sun May 17 08:14:58 PDT 2015 --  家に帰り着きました。 無事帰れてよかったです。
Sat May 16 22:55:55 PDT 2015 --  ブラックもホワイトもオリエンには関係しないみたいです。 pic.twitter.com/dPCdqOp30p
Sat May 16 14:03:50 PDT 2015 --  RPGとDragon Night聞いて意識高めてる。
Sat May 16 08:18:40 PDT 2015 --  今の馬見はシロツメクサが綺麗ですよ。
Sat May 16 02:42:28 PDT 2015 --  スクフェスしてる人が想像以上に多いことが分かった今日の準備でした。
Sat May 16 02:41:12 PDT 2015 --  奈良女のメロンパンアイスハーフいいな〜 ハーフにすることで手が届く値段になってる。
Wed May 13 07:59:19 PDT 2015 --  朝起きて、今日何も予定ないけど部屋掃除した後何しようかな〜とか 今日は図書館で勉強捗った。夕飯食べに行こう みたいな休日がほしい。
Wed May 13 07:09:39 PDT 2015 --  TLみてて何か企画をしたいとは思うけど、これ以上考えること増やしたらどこかで詰みそう。
Tue May 12 22:27:42 PDT 2015 --  図書館から見える壮大な景色。 テレビの画面を見ているようである。 pic.twitter.com/5XSt3t8AfP
Mon May 11 06:44:57 PDT 2015 --  コードないせいでレポートが進まないぞ…
Mon May 11 06:43:01 PDT 2015 --  パソコンのコードを取りに部室に行ったのに、カバンの中にコードないの謎。
Sun May 10 01:03:18 PDT 2015 --  いろんな人をフォローして判る、ゆうなまさんの顔のひろさ。
Sat May 09 05:58:23 PDT 2015 --  衣替えだん。 なんか精神力が削られた…
Wed May 06 00:05:02 PDT 2015 --  琵琶湖疏水とインクライン見てきた！ すごい技術力だなぁ。
Tue May 05 06:48:20 PDT 2015 --  広島の月は綺麗ではなかった(霞んでる)
Mon May 04 07:29:31 PDT 2015 --  スタートリスト、ホワイトとブラック…
Sat May 02 07:32:49 PDT 2015 --  数時間前とはうってかわった静けさ。 pic.twitter.com/dExTLURbF1
Fri May 01 23:32:38 PDT 2015 --  ashrのマジック喫茶行ってみた。 バイシクルすごいな(ashrがすごい)
Fri May 01 08:02:08 PDT 2015 --  今日の学祭の収穫 ・たまこみのたません ・写真部のポストカード ・７帝トランプ
Fri May 01 07:59:53 PDT 2015 --  そういえば、トヨタのナイトフリー存在してました。学祭のパンフに載ってました。
Fri May 01 00:23:34 PDT 2015 --  明日のいちょう祭、僕の出番は11時〜です。
Thu Apr 30 18:49:46 PDT 2015 --  法研謎な出店だしてるぞ… pic.twitter.com/u9wKXgtbsL
Thu Apr 30 17:30:46 PDT 2015 --  由布岳くらい特徴的じゃないと無理。
Thu Apr 30 17:29:37 PDT 2015 --  ほんぬの登っている山を写真から当てられないか見てるけど…無理そう。
Wed Apr 29 21:12:27 PDT 2015 --  僕はCグループです。 いちょう祭に来たらぜひ見ていってください。
Wed Apr 29 07:03:48 PDT 2015 --  【いちょう祭４】 Ｃグループ 1.コロ(ボール) 2.マッツ(デビルスティック) 3.ラスカル(ディアボロペア) 4.2HZ(ボール) 5.ついすたー(シガーボックス)
Wed Apr 29 07:03:37 PDT 2015 --  【いちょう祭３】 Ｂグループ 1.アッサ(デビルスティック) 2.つっつ(ディアボロ) 3.くちなし(リング) 4.みーくん(ボール) 5.らっせ〜ら世良(デビルスティック)
Wed Apr 29 07:03:26 PDT 2015 --  【いちょう祭２】 Ａグループ 1.シャルト(ディアボロ) 2.たこやき(デビルスティック) 3.ぴ〜たん(クラブ) 4.らーじこー(シガーボックス) 5.タニコ(ボール)
Wed Apr 29 07:03:18 PDT 2015 --  【いちょう祭１】 5/1（金） 11:00～Bグループ 12:00～Aグループ 13:00～Cグループ 14:30～有志ステージ 5/2（土） 11:00～Cグループ 12:00～Bグループ 14:00～Aグループ 15:30～有志ステージ
Wed Apr 29 07:03:08 PDT 2015 --  大変お待たせいたしました！ いちょう祭当日のショースケジュールが決まりましたのでお知らせします！
Wed Apr 29 21:09:37 PDT 2015 --  今日は明日のいちょう祭へ向けてリハーサルです。 pic.twitter.com/1BAV8t4sIb
Wed Apr 29 03:54:53 PDT 2015 --  おっ、すばりを使わないにしたら広島って出たぞ。
Wed Apr 29 03:46:20 PDT 2015 --  出身鳥取県って出た。 惜しいけど違う。 あと、トゲのことはすばりというよりすいばり。
Tue Apr 28 17:43:18 PDT 2015 --  東大大会申し込み完了！ 阪大神大奈良女から計14人参加します！
Tue Apr 28 07:29:54 PDT 2015 --  新歓メール送ってる子2人も来てくれるのにみのお行かないの申し訳ないな… 途中抜けでもいこうかな。
Tue Apr 28 07:14:57 PDT 2015 --  阪大は明日から8連休なのに皆、目先の課題に追われてる気がする。
Mon Apr 27 07:02:12 PDT 2015 --  トヨタレンタのナイトフリープラン復活してくれ!
Mon Apr 27 06:52:38 PDT 2015 --  この頃、新歓合宿の運営、東大大会申し込みと競技と総務の仕事の簡易版を体験している。
Sun Apr 26 20:50:59 PDT 2015 --  北千里公園パークOしたら面白そうと思ってたけど、地図あるんだ。
Sun Apr 26 04:25:36 PDT 2015 --  1回生同士で回和ができるようになったら成功ですね。
Sun Apr 26 02:58:14 PDT 2015 --  東大大会14人集まった＼(^o^)／
Fri Apr 24 09:03:47 PDT 2015 --  あ〜、情報を処理しきれない。
Fri Apr 24 06:31:17 PDT 2015 --  424さんの妹さんから　 「お兄さんがこーはらさんによろしくって」 と言われたので伝えます。
Thu Apr 23 06:34:30 PDT 2015 --  GWの予定は リハ いちょう祭 いちょう祭 帰省 帰省 帰省 ドーナツライブ です
Wed Apr 22 20:38:25 PDT 2015 --  理工学図書館東館リニューアルオープン！ パソコンとcommmonsの増加は嬉しい。 pic.twitter.com/J3u4f2LHHN
Wed Apr 22 05:16:06 PDT 2015 --  南禅寺に琵琶湖疏水見に行きたい
Sun Apr 19 07:52:27 PDT 2015 --  東大大会増えてる。とても嬉しい。
Sun Apr 19 07:49:38 PDT 2015 --  4月新歓参加0の可能性 新入生誰も知らない。
Sun Apr 19 06:58:05 PDT 2015 --  バイトの飲み会行ってきた。 普段あまり喋れない先生と話せてよかった。いい会だった。
Sat Apr 18 21:06:52 PDT 2015 --  東大大会、奈良女からも参加しないかな。遠征は楽しいと思うんだけど…
Sat Apr 18 08:42:19 PDT 2015 --  神大の新歓気軽にできるならキャンパスOが一番。マップの正確性をかなり無視して一旦作り、オリエンの雰囲気だけでも味わってもらうのはどうかな。
Sat Apr 18 07:12:25 PDT 2015 --  GWは実家に帰っているので、楽しそうなイベントがあっても参加できないんです。
Fri Apr 17 15:10:12 PDT 2015 --  奈良公園行きたかった(3度目) 来年こそは…
Tue Apr 14 22:16:50 PDT 2015 --  ＧＷの帰省バス確保。 2階建てバスの最前列取れた！
Mon Apr 13 16:08:22 PDT 2015 --  さくらんぼ大会よ代替として東大大会と思って調べてるけど、プランがうまく行かないなぁ。 今のところ牛久大仏だけ。
Mon Apr 13 07:45:20 PDT 2015 --  吹田組集まってるのかな？
Sun Apr 12 18:18:48 PDT 2015 --  東大大会遠征の次の月曜1限にテスト入った…重要度は低いけど。
