Thu Aug 27 20:10:21 PDT 2015 --  Sneezing while driving is the scariest thing ever
Sat Jul 11 22:30:10 PDT 2015 --  pic.twitter.com/8NtA4bSDyq
Sat Jul 11 09:22:16 PDT 2015 --  Happy Birthday Carmen!!! @carmennponcee
Fri Jul 10 21:44:54 PDT 2015 --  Finally saw one of my best friends for the first time in legit forever. It was a good night Love you Jessie @jessjo11
Thu Jul 09 23:24:42 PDT 2015 --  Best friends are the ones that will stop what they are doing just to talk to you. Happy or sad, they have your back Grazie per tutto
Wed Jul 08 16:08:10 PDT 2015 --  Think about it... pic.twitter.com/Mq0V5Mnahq
Tue Jul 07 18:22:53 PDT 2015 --  instead of being 70% water i am 70% coffee
Sat Jul 04 17:59:32 PDT 2015 --  When your makeup looks bomb af but you can't get any good selfies pic.twitter.com/cojSf6RSNX
Mon Jul 06 11:04:56 PDT 2015 --  "21 ways to keep her" pic.twitter.com/LjoaM8z7D8
Wed Jul 08 11:01:28 PDT 2015 --  the only reaction you should get when you send bae a selfie of you pic.twitter.com/fHYeVUDcU2
Wed Jul 08 19:31:46 PDT 2015 --  this really needed to be acknowledged pic.twitter.com/xiKfVqx6ge
Wed Jul 08 19:48:08 PDT 2015 --  #DontJudgeChallenge this is IMPORTANT!!! pic.twitter.com/Ybj9Xv3Td7
Mon Apr 13 01:55:45 PDT 2015 --  pic.twitter.com/XLvIR2Z2TL
Wed Jul 08 14:55:28 PDT 2015 --  Good friends are angels who listen and show that they care. pic.twitter.com/JSKG6oNQSB
Fri Jul 03 20:00:00 PDT 2015 --  Casually creeped through the Twitter of @carmennponcee
Fri Jul 03 19:25:49 PDT 2015 --  A couple of years ago a little kid asked Billy if I was his girlfriend. We laughed and said we are friends. Well, look where we are now
Thu Jul 02 10:07:00 PDT 2015 --  listen up fuckboys pic.twitter.com/RIMqm2CFsW
Tue Jun 30 15:15:51 PDT 2015 --  Seeing DCI on July 12th. SOOO EXCITED
Sat Jun 27 20:22:13 PDT 2015 --  Back from band camp and it was an amazing experience but now I'm just chilling with Dunkin Iced coffee. Life is good
Fri Jun 26 17:59:05 PDT 2015 --  Watching DCI as a band geek is the equivalent of an athlete watching their favorite professional sport. This performance is amazing @DCI
Mon Jun 22 17:28:02 PDT 2015 --  some people are so emotionally and mentally drained that even sleep doesn't do anything you still wake up tired. and it just doesn't go away
Wed Jun 24 16:55:28 PDT 2015 --  My week so far: wake up @ 6:30, eat, march, conduct, sleep. It's tiring and a lot of work but I wouldn't have it any other way #DrumMajor
Mon Jun 22 21:35:37 PDT 2015 --  It's been 3 months today since he asked me out 1/4 of the year has been spent with him @xAPLHIEx
Sat Jun 20 18:21:32 PDT 2015 --  Falling asleep in contacts is a bad decision except when you don't have to waste that time in the morning. #2DaysStraight
Fri Jun 19 20:38:13 PDT 2015 --  pic.twitter.com/6CN2tNTORO
Fri Jun 19 20:35:36 PDT 2015 --  I'm just tired of getting hurt
Fri Jun 19 19:10:45 PDT 2015 --  "Don't forget me, don't forget me. I wouldn't leave if you'd let me."
Tue May 19 02:48:08 PDT 2015 --  “I am always your second choice.”
Thu Jun 18 20:46:25 PDT 2015 --  Shoutout to @jessjo11 and our 100 day streak on snapchat. You da real MVP Jess . Lol I love you
Thu Jun 18 20:45:33 PDT 2015 --  When your snapchat streak with someone goes back to zero after a really high number...
Wed Jun 17 19:37:37 PDT 2015 --  Missing MAGIC from Grey's really hard rn Only Grey's fans will understand MAGIC
Fri Jun 05 22:38:31 PDT 2015 --  “So upset I can barely type.”
Sat Jun 06 06:47:47 PDT 2015 --  “You’re back, but for how long?”
Mon Jun 08 08:18:21 PDT 2015 --  “Never knew it’d hurt this bad.”
Sat Jun 06 16:44:59 PDT 2015 --  YESS http://twitter.com/Sexualgif/status/503774012317511680/photo/1pic.twitter.com/QKGWO5N9yf 
Sat Jun 06 16:52:21 PDT 2015 --  pic.twitter.com/8Um3wPQwSa
Thu Jun 04 23:41:05 PDT 2015 --  Can't find my retainers...
Mon Jun 01 22:23:09 PDT 2015 --  Chondromalaciapatella is really bugging my knee right now. And it hasn't been this bad in a while
Sun May 31 23:07:35 PDT 2015 --  Tonight was a great night, one of the best in a long time @ElizabethP_27
Wed May 27 10:55:55 PDT 2015 --  When you see Mrs. Jezierny more than you see her daughter lol love you Jessie, I need to see you more tho @jessjo11
Mon May 25 05:33:22 PDT 2015 --  Not having band in the morning is really messing with my sleep schedule
Sun May 24 06:54:48 PDT 2015 --  Well Bina fixed it. We all good
Sun May 24 06:51:38 PDT 2015 --  Trying to make coffee and my Keurig coffee machine isn't working. The world is gonna end
Sat May 23 16:01:20 PDT 2015 --  Just cracked the top corner of my phone screen
Fri May 22 20:25:15 PDT 2015 --  Drum Major Application sent in. Let's hope I get it
Sat May 16 13:31:19 PDT 2015 --  pic.twitter.com/xalv4K9i08
Tue May 19 21:27:54 PDT 2015 --  Does anyone remember that time when @jessjo11 had her last name spelled wrong for over a month on twitter? Well I do #jezierMy
Tue May 19 15:39:17 PDT 2015 --  When you realize almost all social media profile pics have your braces in them
Sun May 17 15:39:16 PDT 2015 --  Bought dollar store glitter glue, knowing it would be bad and yet I still get upset that it's really bad glitter glue....
Sat May 16 22:01:39 PDT 2015 --  Tonight was a great night
Sat May 16 13:03:22 PDT 2015 --  Update on our Coffee shop: Espresso Yourself baristas will dress up like the Cappuccino Munks on Halloween and have a special on cappuccinos
Tue May 12 16:53:08 PDT 2015 --  Elizabeth and I run a coffee shop called "Espresso Yourself". Btw, we have a Sunday special called "Holy Grounds" @ElizabethP_27
Mon May 11 19:42:43 PDT 2015 --  Never http://twitter.com/BestTextMsgs/status/594694120318304256/photo/1pic.twitter.com/4b7MFBN1lf 
Wed Feb 25 15:58:48 PST 2015 --  this mom gets it pic.twitter.com/gd7Mu3FXE3
Wed May 06 19:15:40 PDT 2015 --  @acw625 kev is so wise beyond his years
Wed May 06 19:10:40 PDT 2015 --  "Anything is possible with faith, trust, and coffee." ~Kevin
Mon May 04 17:28:59 PDT 2015 --  Having knot in your calf, thigh, and knee is "knot" fun. See I turned my bad situation into a pun Mark would be proud
Thu Apr 30 18:43:59 PDT 2015 --  narryswhoreo's video https://instagram.com/p/2HvKT9nR83/ 
Tue Apr 28 18:52:45 PDT 2015 --  Casual day turned out really nice
Mon Apr 27 17:59:27 PDT 2015 --  Oh my God Derek was killed off of Grey's Anatomy. Omfg no
Sun Apr 26 11:02:41 PDT 2015 --  "But I'll tell you all about it when I see you again" 🏼
Fri Apr 24 22:48:16 PDT 2015 --  Sophomore formal with these amazing people and date pic.twitter.com/64urQFKMIK
Wed Apr 22 20:45:11 PDT 2015 --  Was supposed to see my special someone tomorrow but since band was cancelled I have to wait til Friday.
Mon Apr 20 19:07:20 PDT 2015 --  When emojis match your actual skin color. Aka pale white 🏻🏻
Mon Apr 20 15:48:54 PDT 2015 --  Is it bad that I'm still laughing at my last tweet? I'm such a dork
Sun Apr 19 20:19:03 PDT 2015 --  Finch says "Answer the Review questions Using loose leaf and a pen." Like nah, I'm gonna use crayon and construction paper.
Sat Apr 18 22:34:34 PDT 2015 --  Saying "my knee hurts" is so normal now that it's about an hourly saying.
Tue Apr 14 16:59:09 PDT 2015 --  Walked into Go Green club without a Title, came out with President 🏼️
Thu Mar 05 20:08:27 PST 2015 --  good advice pic.twitter.com/lmFK8Tcjja
