Wed Aug 12 09:00:27 PDT 2015 --  That moment when you wake up and you try to use your mouthwash as toothpaste. Ugh.
Fri Jul 10 22:06:14 PDT 2015 --  Actually, that's kind of what I'm doing now. Sitting at the river. Listening to Thrice on repeat. But not drinking beer.
Fri Jul 10 22:05:13 PDT 2015 --  That honestly does it for me. Hell, I can make it easier and supply the beer and music. All you gotta do is pick me up
Fri Jul 10 22:04:22 PDT 2015 --  Come pick my ass up, drive around town or on the outskirts of town, throw some Thrice or some chill music on and have a couple of beers.
Fri Jul 10 22:03:41 PDT 2015 --  I'm a fairly simple man, to be honest.
Fri Jul 10 13:23:29 PDT 2015 --  Wake up. PlayStation. Shower. PlayStation. Brush teeth. PlayStation. Go to work. Drink beer. PlayStation. More beer. More PlayStation.
Thu Jul 09 23:33:35 PDT 2015 --  Or not. It's okay. The beer in my fridge and the Netflix on my PlayStation has my back. Who needs women, right? #InDenial
Thu Jul 09 23:32:54 PDT 2015 --  So glad I'm not closing tomorrow. I have Saturday through Monday off so make plans with me!
Thu Jul 09 23:32:16 PDT 2015 --  Netflix with the roomie.
Wed Jul 08 19:09:19 PDT 2015 --  #ShitChaseMagnessSays "I stuck my elbow right in his chili." @chasemagness
Thu Jul 02 06:10:24 PDT 2015 --  Getting that #TBT going early. Well, it's early for me. I was a cute baby. That's my dad, me, and my… https://instagram.com/p/4ootAokira/ 
Fri Jun 05 22:20:30 PDT 2015 --  There's more at risk than physical image - How war impacts the mental health of soldiers: http://bit.ly/1JwgmY5  pic.twitter.com/8WHbNjeKWZ
Fri Jun 05 16:39:12 PDT 2015 --  About damn time @hfc6996 gets a Twitter
Tue May 26 00:00:13 PDT 2015 --  Lmao #charliecharliechallenge pic.twitter.com/tHehp4TlAZ
Wed May 13 23:06:39 PDT 2015 --  Brotherhood 🏻 pic.twitter.com/RD1WOFb5Ln
Thu May 14 00:46:39 PDT 2015 --  My life is just a horrible joke. No punchline. Told by someone who can't get the words right.
Mon May 11 10:27:46 PDT 2015 --  Just came in 22kill Followers, this ring is to honor those who serve(d) and to raise awareness to… https://instagram.com/p/2jM0lykinb/ 
Mon Apr 27 17:41:09 PDT 2015 --  #ShitDakotaSaysWhenHeIsHigh "Want me to show you how to open this fork with a beer bottle?"
Sun Apr 12 14:47:03 PDT 2015 --  #40mpg #SavingMoney #NoGasForDays #Honda #HondaAccord #Coupe #OnlyGettingBetter https://instagram.com/p/1Y_cOWEioN/ 
Thu Apr 09 19:41:02 PDT 2015 --  Sometimes I get fed up with people. Can I go back to Afghanistan please? #Hooah #LetMeAtEm #SuckMyAssISIS #ImHooked #CombatVet #INeedMyFix
Thu Apr 09 19:12:10 PDT 2015 --  BOOM goes the dynamite. Merica. pic.twitter.com/IhY0FfDJDi
Thu Apr 02 10:13:56 PDT 2015 --  I swear @JColeNC and @kendricklamar are the realest niggas out there.
Mon Mar 30 07:53:05 PDT 2015 --  I'm never going a week without my medication ever again
Sun Mar 29 17:34:12 PDT 2015 --  Therefore, I am literally not given the time or day.
Sun Mar 29 17:33:37 PDT 2015 --  It's their fault when they don't want to counter-offer for a different time or day.
Sun Mar 29 17:33:00 PDT 2015 --  It's not their fault that they have something going on and my time is shitty.
Sun Mar 29 17:32:18 PDT 2015 --  I believe I am at the point to where every girl I ask out, always has something going on to where she cannot partake an outing with me.
Fri Mar 27 22:08:24 PDT 2015 --  Not messed up about much anymore
Sat Mar 28 00:51:53 PDT 2015 --  Alcohol sets false emotions towards the opposite sex: Remember that.
Fri Mar 27 14:23:58 PDT 2015 --  The beach life chose me
Thu Mar 26 23:39:15 PDT 2015 --  " @missgo2hard: .....this is Raleigh in Panama #imdone pic.twitter.com/eeFIuwZKzf"Bruh you need a ride?! Lmao
Thu Mar 26 23:38:07 PDT 2015 --  I'm just saying...I'm single, remotely handsome and at the #SandpiperBeacon so come give me company
Thu Mar 26 12:17:58 PDT 2015 --  Yo go will get slayed #PCB #PanamaCityBeach #ComeOutOnTop #RideEmCowboy https://instagram.com/p/0s83WqEiq8/ 
Wed Mar 25 21:34:39 PDT 2015 --  I do not want to work...
Wed Mar 25 18:43:02 PDT 2015 --  I guess my standards are too high? It comes with my #ExpensiveTaste
Wed Mar 25 18:41:08 PDT 2015 --  If you're handsome and you know it clap your hands *claps hands*
Wed Mar 25 18:40:44 PDT 2015 --  Or maybe it's cause my hair is whack. Let's go with that
Wed Mar 25 18:40:21 PDT 2015 --  I'll just get drunk and not give a fuuuuuuuuck about some stuck up broads
Sun Mar 22 21:56:52 PDT 2015 --  Coach Carter never gets old
Sun Mar 22 22:51:13 PDT 2015 --  Promise that you will...sing about me @kendricklamar
Sun Mar 22 22:36:05 PDT 2015 --  #PCB with the squaaaaad @bigO_G @chasemagness @dillmilli13
Sun Mar 22 22:23:29 PDT 2015 --  @coles_madison @dillmilli13 @chasemagness @KiehlDude If I die, I'm a mf legend
Sun Mar 22 20:45:03 PDT 2015 --  Praying that my sweet little boys don't get raped or die in PCB. Love yall @dillmilli13 @chasemagness @bigO_G @KiehlDude
Sat Mar 21 16:47:03 PDT 2015 --  Just passed BMS so day is sorta already made #PartyAtTheGoatHouse???
Wed Mar 18 09:15:15 PDT 2015 --  #PlayStationHEROES is probably one of the coolest ideas ever. Play video games, donate to #USO #MakeAWish #VFoundation
Tue Mar 17 05:56:26 PDT 2015 --  Ready to be PCB bound with my boys @bigO_G @dillmilli13 @KiehlDude
Sun Mar 15 00:24:20 PDT 2015 --  It sucks. I fucked up and now I'm realizing how happy I could have been.
Fri Mar 13 18:57:18 PDT 2015 --  @KiehlDude uh oh momma Garcia catching me slipping pic.twitter.com/HAXxlmB3e2
Tue Mar 10 18:02:00 PDT 2015 --  When @_AshlynBrooke_ notices the handsome clean-shaven man enter but doesn't notice that he notices the handsome man she's with
Sat Mar 07 15:10:57 PST 2015 --  Tu es siempre en mi corazon, mama! #Grandma #SweerLittleLady #BestGrandsonEver #SheLovesMe https://instagram.com/p/z8cbSgEiuV/ 
Thu Mar 05 23:35:14 PST 2015 --  @Tryllan @Delgado209_ @KiehlDude @trutherbot Lol I'm done here man good argument tho.
Thu Mar 05 23:33:22 PST 2015 --  @Tryllan @Delgado209_ @KiehlDude @trutherbot Airforce.
Thu Mar 05 23:32:05 PST 2015 --  @Tryllan @Delgado209_ @KiehlDude @trutherbot Fight the cause.
Thu Mar 05 23:26:01 PST 2015 --  @Tryllan @KiehlDude @trutherbot @garcia_alex8 cmon stop cyber bullying man this shits tuff
Thu Mar 05 23:25:13 PST 2015 --  @Tryllan @Delgado209_ @KiehlDude @trutherbot I hope we get invaded..so he can ball his Fucken eyes out for help.
Thu Mar 05 23:19:12 PST 2015 --  @Tryllan @SpazSpitter @KiehlDude @trutherbot Lol acting like military ppl ain't smart. So done with you.
Thu Mar 05 23:17:19 PST 2015 --  @Tryllan @KiehlDude @garcia_alex8 @trutherbot MERICA!!
Thu Mar 05 23:13:44 PST 2015 --  @KiehlDude @Tryllan @trutherbot Much love man
Thu Mar 05 23:09:58 PST 2015 --  @KiehlDude @trutherbot I love how ignorant fucks don't realize how good we have it than 3rd worlds do, shits crazier lol @garcia_alex8
Mon Mar 02 11:42:44 PST 2015 --  #FrenchToastCrunch #Nostalgia #GetInMyMouth #FoodPorn #CerealPorn #ThankYouGeneralMills #GeneralMills https://instagram.com/p/zvMnzgEitw/ 
Wed Feb 04 23:33:11 PST 2015 --  Need. More. Tilapia.
Wed Feb 04 22:31:26 PST 2015 --  Nah. #RejectedCandyHearts
Fri Jan 30 09:58:05 PST 2015 --  Not going to lie, my Snapchat story has me rollin
Fri Jan 30 08:59:36 PST 2015 --  #FBF to two of my closest friends and I enjoying our first beers when coming home from #Afghanerland… http://instagram.com/p/yfFT6Ekii4/ 
Thu Jan 22 16:56:52 PST 2015 --  I need a beer
Sun Jan 18 15:00:40 PST 2015 --  #SanbarSunday #PeopleStuck #RuhRoh #ArkansasLife #SundayFunday #GotSandInMyShoes http://instagram.com/p/yA1F9YEij1/ 
Fri Jan 09 14:52:57 PST 2015 --  I'm terrible at small talk
Sat Jan 03 12:58:51 PST 2015 --  Going to Sakura alone and sitting with a full table of random people. #Awkward
Fri Jan 02 12:28:03 PST 2015 --  I hate it when older people tell me "You're too damn young to be worried about women," I hate it because I know they're right.
Wed Dec 31 22:05:25 PST 2014 --  By the grace of God! That's why!
Wed Dec 31 22:04:54 PST 2014 --  2015...How am I not dead yet?
Wed Dec 31 19:07:33 PST 2014 --  Got the apartment to myself again. Good thing I stocked up on beer for all the people who aren't coming over
Wed Dec 31 18:35:11 PST 2014 --  They should call me, "butter" cause I'm on a ROOOLLLLLL
Sun Dec 28 12:45:01 PST 2014 --  I could have been a Sergeant by now.Hell, if I busted my ass, maybe even Staff Sergeant. But I stand by my decision. Just like any man would
Sun Dec 28 12:44:05 PST 2014 --  Sometimes I wish I would have stayed in the Army. Looking at my former platoon-mates and seeing them rank up makes me glad.
Sun Dec 28 08:48:54 PST 2014 --  #TheCountryNeedsSomething
Sat Dec 27 20:31:56 PST 2014 --  If you want to know what lonely is like, refer to my Snapchat story
Sat Dec 27 20:13:36 PST 2014 --  Totally meant "tazing" on my first tweet
Sat Dec 27 20:12:26 PST 2014 --  I. Fucking. Hate. People. #SocietySucks #ThisGenerationSucks
Sat Dec 27 20:11:42 PST 2014 --  I mean, shit. Next thing you know, Russian roulette is going to be a game played on family night.
Sat Dec 27 20:11:07 PST 2014 --  Is it for some sort illness like ALS but instead of hypothermia, we deal with cooked internal organs?
Sat Dec 27 20:10:31 PST 2014 --  My Snapchat story is full of people razing themselves or other people. What the hell is going on?
Sat Dec 27 07:01:13 PST 2014 --  Got a little somethin-somethin in my Dr. Pepper to keep me content at work. So I may have a problem? No big deal.
Thu Dec 25 22:27:23 PST 2014 --  All of a sudden, it hit me: I'm going to be single for a loooooong time. Unless I find a way to get out of this small town. It's depressing.
Thu Dec 25 15:21:22 PST 2014 --  Holy shit. I just realized New Years is coming up in a week. 23 years of no #NewYearsKiss Fuuuuuuu
Thu Dec 25 14:42:08 PST 2014 --  All I ever want to do is play Destiny
Thu Dec 25 11:57:26 PST 2014 --  Seeing other peoples' families happy on Christmas pretty much makes my Christmas so much better
Tue Dec 23 17:17:00 PST 2014 --  Yet not all people with PTSD are depressed or suicidal. They just need something to chill them out.
Tue Dec 23 17:16:07 PST 2014 --  People with PTSD aren't prescribed anti-anxiety medications due to the fact that suicidal thoughts are more prevelant
Tue Dec 23 17:15:18 PST 2014 --  I dunno how I feel about taking anti depressants. The socio-cultural aspect is that I'm depressed and suicidal. Those fuckers are ignorant.
