Sat Aug 29 03:33:52 PDT 2015 --  at least it's light out, thank god
Sat Aug 22 04:01:55 PDT 2015 --  . @Bayer killing birds and bees! Birds are dying from bee-harming pesticides too. Ask @bayer to ban the neonics now. http://bit.ly/T6zaoF 
Fri Aug 21 20:38:08 PDT 2015 --  tbh not a huge fan of this part of the country. i miss new england. i miss trees and hills and boulders and streams
Fri Aug 21 16:02:50 PDT 2015 --  All previous times the Hare beat the Tortoise, nobody wrote a fable about it.
Fri Aug 21 15:11:02 PDT 2015 --  It is a disgrace that hundreds of thousands of young americas today do not go to college because they cannot afford it. #Bernie2016
Thu Aug 20 14:47:31 PDT 2015 --  car rental guy thought i was my dad's wife. not sure how the fuck to react to that
Thu Aug 20 03:37:23 PDT 2015 --  you don't know just how out of shape you are until you run to catch a plane
Wed Aug 19 14:44:02 PDT 2015 --  It’s no big surprise that in recent years, most major Republican politicians have chosen to deny that climate change even exists.
Tue Aug 18 13:42:01 PDT 2015 --  I have opposed Arctic oil drilling for years. Drilling the Arctic at a time when we face a serious climate emergency should be unthinkable.
Tue Aug 18 11:56:23 PDT 2015 --  cause if i'm gonna be miserable at work, i might as well go be miserable at a job that pays way better
Tue Aug 18 11:55:34 PDT 2015 --  based on how understaffed you are, and how i'm one of like 3 people who can work in almost every department, maybe be a nicer manager?
Mon Aug 17 19:39:40 PDT 2015 --  At my talk today someone asked my opinion on global warming. For the record, I am opposed to it.
Mon Aug 17 07:56:07 PDT 2015 --  We must end the absurdity of 2.6 million women working 50- to 60-hours-a-week without any overtime pay.
Fri Aug 14 18:04:18 PDT 2015 --  first time using my new rice cooker....rice overcooked and kale is undercooked
Wed Aug 12 19:57:33 PDT 2015 --  i was listening to music on youtube and youtube suggested a megan trainor video and i don't think i've ever felt so insulted
Wed Aug 12 08:43:01 PDT 2015 --  In the United States, we have one of the most unequal wealth and income distributions of any major country on earth.
Wed Aug 12 18:02:03 PDT 2015 --  We are going to make public colleges tuition-free and substantially reduce student loan debt in America!
Wed Aug 12 05:57:52 PDT 2015 --  Freedom of speech does not mean the freedom to buy the United States government.
Tue Aug 11 11:06:52 PDT 2015 --  Killer tattoo design by @kirstydimond here. https://instagram.com/p/6QKbdQkEZj/ 
Mon Aug 10 20:10:05 PDT 2015 --  they call me katie, Breaker of Promises
Mon Aug 10 20:01:41 PDT 2015 --  It makes a lot more sense to invest in education and jobs than in incarceration. #BernieInLA
Mon Aug 10 18:57:09 PDT 2015 --  https://www.youtube.com/watch?v=VEpMj-tqixs …
Mon Aug 10 17:58:18 PDT 2015 --  Instead of getting angry at the annoying neighbor children, I'm going to make myself a cup of tea because I am a mature adult.
Mon Aug 10 18:00:01 PDT 2015 --  Then I am going to take that cup of boiling tea and throw it at the bratty neighbor children because I am an angry, mature adult.
Mon Aug 10 17:45:05 PDT 2015 --  The scientific community is virtually unanimous in that climate change is the greatest environmental crisis facing this planet.
Mon Aug 10 09:11:05 PDT 2015 --  Health care must be recognized as a right, not a privilege. Every man, woman and child in our country should be able to access quality care.
Mon Aug 10 08:13:13 PDT 2015 --  If we could bail out Wall Street, we can make sure that every American can go to college without going into debt.
Fri Aug 07 13:08:35 PDT 2015 --  Plant research is "all consuming" as crew preps to sample leafy greens grown on @Space_Station http://go.nasa.gov/1W6u4ac  pic.twitter.com/9TuwDKOJX1
Fri Aug 07 08:08:52 PDT 2015 --  Josh was a bouncer and always told hilarious stories about making holes in taylor Swift's crowd. #PS4NP
Fri Aug 07 08:07:54 PDT 2015 --  Suicide is a fucking awful thing. Always talk about your troubles, don't isolate yourself, please. #PS4NP
Fri Aug 07 07:43:06 PDT 2015 --  The chorus lyric is something a friend of mine I suggested I do with my shows - lift the world for a couple of hours. Lovely compliment.
Thu Aug 06 20:42:39 PDT 2015 --  do you ever get drunk and then remember you have homework to do
Thu Aug 06 20:00:49 PDT 2015 --  howwwws it gonna be when you don't know me anymooooore
Thu Aug 06 19:51:41 PDT 2015 --  why do you have to like all this tumblr shit on facebook just get a fucking tumblr fuck off
Thu Aug 06 19:06:52 PDT 2015 --  when there's only a little bit of (white) wine left in your glass it looks clear, like vodka. that's when it's time for more alcohol
Thu Aug 06 19:03:37 PDT 2015 --  drinking wine out of a glass? as in not a mug? as in not a plastic container? no handles? no lid? something feels not right
Thu Aug 06 17:04:26 PDT 2015 --  The album is out. Massive weight off my shoulders. Hope you enjoy it everyone. #ps4np
Thu Aug 06 12:21:00 PDT 2015 --  when i grow up i wanna live by myself and have a garden and wine every night and also a cat or two
Thu Aug 06 03:30:21 PDT 2015 --  Japan, the one country to have suffered nuclear attack, has taken the lead in opposing nuclear weapons. I strongly urge you to keep it up.
Wed Aug 05 17:43:51 PDT 2015 --  How long do I need to wait in one place for a tree to grow around me? I have been here since the sun left, and I am still not a tree-bear.
Wed Aug 05 15:57:23 PDT 2015 --  mom: careful that's hot me: fire cannot kill a dragon mom: *doesn't get it*
Wed Aug 05 12:37:24 PDT 2015 --  Whenever someone can't understand me on the phone because of a bad connection, I internalize it as my inability to be heard my entire life.
Tue Aug 04 17:25:03 PDT 2015 --  this cat took the elevator to meet up with his girlfriend pic.twitter.com/OHI08Lrapg
Mon Aug 03 13:26:37 PDT 2015 --  "Women have lived through a world where backward-looking ideologues tried to interfere in basic health decisions, & we’re not going back."
Mon Aug 03 13:26:08 PDT 2015 --  "A vote to defund @PPFA is a vote to defund cancer screenings & birth control & basic health care for millions of women." #StandwithPP
Mon Aug 03 13:25:22 PDT 2015 --  "To be clear: Even though the abortions performed at @PPFA are safe & legal, the federal gov isn't paying for them." pic.twitter.com/8KthIa9PnB
Mon Aug 03 13:24:29 PDT 2015 --  “Why do so many people use @PPFA? Because they are nonprofit & they are open.” #StandwithPP pic.twitter.com/cx8OVSXkum
Sun Aug 02 19:06:54 PDT 2015 --  I need someone to tell me my problems in the context of "their friend" and suddenly I'll know how to solve everything.
Sun Aug 02 18:37:21 PDT 2015 --  This is a real place pic.twitter.com/ginx1ZVpu3
Sun Aug 02 16:40:06 PDT 2015 --  After Koalas, Australian animals seem to come in only three varieties: those who want to eat you, inject venom in you, or hop
Sun Aug 02 11:55:46 PDT 2015 --  the way i see it you only get to sulk about your period for two years. after that it's time to grow up and fucking deal with it
Sun Aug 02 09:14:20 PDT 2015 --  A beautiful reminder that this is the planet we live on. https://twitter.com/StationCDRKelly/status/623183065062313984 …
Sun Aug 02 11:35:26 PDT 2015 --  cant stand when ppl put their phone on speaker & hold it an 1" from their face. how much more effort would it be to just HOLD IT TO YOUR EAR
Fri Jul 31 17:53:26 PDT 2015 --  something about riding in a car at dusk really brings out the old angst
Fri Jul 31 03:31:09 PDT 2015 --  The real troublemaker is within us. Our true enemies are our own destructive tendencies.
Fri Jul 31 16:02:45 PDT 2015 --  on the road today... pic.twitter.com/7CdUlBB1wF
Fri Jul 31 02:41:17 PDT 2015 --  ONE WEEK UNTIL "POSITIVE SONGS FOR NEGATIVE PEOPLE" IS OUT
Thu Jul 30 16:28:31 PDT 2015 --  When a woman doesn't support the legalization of consensual sex work, I wonder if they are just too embarrassed to ask what sex work means.
Thu Jul 30 15:03:09 PDT 2015 --  emotional state: listening to the neighbourhood
Thu Jul 30 08:58:55 PDT 2015 --  @neiltyson "fa" always bugged me. It's only a long, long way to run if you're from South Boston.
Wed Jul 29 06:16:01 PDT 2015 --  When your dog is spoiled and milk bones just don't do it. pic.twitter.com/ciyy9SWR04
Tue Jul 28 06:17:33 PDT 2015 --  I wish I could take more naps.
Mon Jul 27 21:59:40 PDT 2015 --  i just want like three days where i don't have something i'm supposed to be doing
Mon Jul 27 15:51:23 PDT 2015 --  realized the next day i wont have a deadline hanging over my head will be dec 18. so the next day i get to relax will be after christmas
Mon Jul 27 09:05:27 PDT 2015 --  i emailed my TA about a concept i didn't understand. he sent me a khan academy link
Mon Jul 27 01:58:27 PDT 2015 --  After gathering berries, I start a fire nearby. They never taught how. in The Colony, but turns out it isn't that hard!
Sun Jul 26 19:25:34 PDT 2015 --  i should be able to veto one customer per shift. like, that person comes to your register, you say nope, and a manager has to deal with them
Sun Jul 26 15:36:20 PDT 2015 --  With eight fingers each, I’m guessing Mickey Mouse and Fred Flintstone both use Base-8 for all their arithmetic.
Sun Jul 26 07:43:33 PDT 2015 --  My tunic is stained and torn. I have never been this far from the Colony before.
Sat Jul 25 21:34:24 PDT 2015 --  so i bare my skin and i count my sins and i close my eyes and i take it in and i'm bleeding out
Sat Jul 25 18:05:33 PDT 2015 --  I found a tick on my paw. I do not know how much of me it ate. I am so upset even thinking about it. I do not want to be eaten. Stop, ticks.
Sat Jul 25 11:29:37 PDT 2015 --  The death of Disposable Side Character still haunts me.
Fri Jul 24 20:58:32 PDT 2015 --  do you ever see on social media that an old friend has started smoking and just get really disappointed
Fri Jul 24 18:25:35 PDT 2015 --  I enjoy the company of the forest during these summer evenings. The calls of birds. The buzzing of insects. The haunting glares of raccoons.
Fri Jul 24 15:55:03 PDT 2015 --  do you ever just really wanna start a fire
Fri Jul 24 15:34:50 PDT 2015 --  arguing about TVM and compound interest with my dad who really doesn't get it
Fri Jul 24 03:32:29 PDT 2015 --  If we’re motivated by a genuine sense of universal responsibility our relations with the environment and our neighbors will be more balanced
Fri Jul 24 02:21:16 PDT 2015 --  Rumor has it there's a group of outsiders who founded a new society, outside The Colony.
Fri Jul 24 15:28:42 PDT 2015 --  this may be the scariest tweet i'vr ever read https://twitter.com/kjhops7/status/624420253884289024 …
Thu Jul 23 16:11:48 PDT 2015 --  Sounds like people have "water on Mars" style press release fatigue. Hard to blame them, really.
Thu Jul 23 14:32:14 PDT 2015 --  This fills me with complete joy. What a time to be alive... http://www.cnn.com/2015/07/23/us/feat-nasa-kepler-planet-discovery/ …
Thu Jul 23 06:47:34 PDT 2015 --  " #FTRAOK A girl gave me some flowers when I was crying in Marylebone station. Prevented me doing something stupid. F**king amazing kid."
Wed Jul 22 22:23:57 PDT 2015 --  adding numbers to a humanity doesnt make it a science. it's okay to be a humanity just don't tell me to expect otherwise
Wed Jul 22 22:11:56 PDT 2015 --  whoever wrote this textbook literally just calculated time value of money wrong
Wed Jul 22 21:52:32 PDT 2015 --  taking micro econ and hating it no less than i hated macro THESE GRAPHS HAVE NO MEANING
Wed Jul 22 18:51:23 PDT 2015 --  you try explaining everything that's happening during a season 10 episode of supernatural
Wed Jul 22 18:01:39 PDT 2015 --  dad: "you look like the chiquita banana lady" this is why i never wear interesting anything
Wed Jul 22 15:14:56 PDT 2015 --  L.A. County supervisors agree to boost minimum wage to $15 an hour by 2020 http://fw.to/21RM22P 
Wed Jul 22 08:54:59 PDT 2015 --  sometimes i wonder why i don't wear skirts more often, then i wear one and it's the object of conversation with my parents for half an hour
Wed Jul 22 03:52:58 PDT 2015 --  didnt mean to get up at 6 but i don't seem to be falling back asleep so i guess i'll be productive now
Mon Jul 20 15:12:13 PDT 2015 --  DOES THIS MEAN WE'RE FINALLY TALKING ABOUT THE BANE OF MY EXISTANCE, ROTATING SCHEDULES?? https://twitter.com/SenWarren/status/623234634457972740 …
Mon Jul 20 07:27:08 PDT 2015 --  Just got this new blue marble photo from @NASA. A beautiful reminder that we need to protect the only planet we have. pic.twitter.com/JQ3174P0LF
Mon Jul 20 10:43:51 PDT 2015 --  46 years ago today, we walked on the Moon. We just saw Pluto up close. Humankind does great things, when ideas get off the ground.
Mon Jul 20 07:04:00 PDT 2015 --  when you get a 5 on your exam and need a 6 to pass....at least i wasn't kidding myself when i thought i was really close #SOA
Mon Jul 20 06:41:30 PDT 2015 --  studying is no easier when it's summer and you only take one class
Sat Jul 18 11:27:26 PDT 2015 --  The next time anybody asks me about my religion, I think I’ll reply “Geek Orthodox”
Sat Jul 18 14:30:44 PDT 2015 --  i hope im not working here next year cause one of my least favourite coworkers is apparently gonna get promoted and would outrank me...nope
Sat Jul 18 06:40:11 PDT 2015 --  the bittersweet between my teeth trying to find the inbetween
Sat Jul 18 00:19:03 PDT 2015 --  Wow. Two exclamation marks there. Sorry everyone.
Fri Jul 17 22:05:39 PDT 2015 --  i wonder who invented drawers. like what a smart person. they must've just used chests or shelves for all their storage before, what a pain
Fri Jul 17 21:52:29 PDT 2015 --  i can't wait to be back at umass
Fri Jul 17 13:59:54 PDT 2015 --  Update: they let us back into the library only to tell us it was closing. Also, there was no emergency.
Fri Jul 17 13:59:36 PDT 2015 --  Eat everything you find because it might not be where you found it later, and then what will you eat? Nothing, simply because you hesitated.
Thu Jul 16 15:19:32 PDT 2015 --  I'm a feminist, but the kind that only exists as defined by her relationships to the men in her life.
Thu Jul 16 08:39:17 PDT 2015 --  Anthem holds me in his strong arms. I feel his strong arms around me. He has strong arms. Strong arms.
Thu Jul 16 08:45:51 PDT 2015 --  the two horrifying faces that haunt my dreams https://twitter.com/Sam_Minuteman/status/621694818771705857 …
Wed Jul 15 23:01:45 PDT 2015 --  whatever my dad is watching includes horror film music. not what i wanted to hear start right when i turned all the lights off downstairs
Wed Jul 15 07:50:21 PDT 2015 --  Sure, it's OK to grandfather Pluto in as a planet. Also you can grandfather the Earth as flat, too, if that makes you feel better.
Wed Jul 15 08:57:37 PDT 2015 --  Had a chat with @frankturner about his new album 'Positive Songs For Negative People' for @digitalspy http://go.dspy.me/sE0N 
Tue Jul 14 20:16:34 PDT 2015 --  Dear Pluto, Lookin’ good. But you’re still a Dwarf Planet — get over it. Love, Neil deGrasse Tyson pic.twitter.com/qBBD9feG6e
Tue Jul 14 01:54:29 PDT 2015 --  The mysterious bad thing that happened to my dad has something to do with things.
Tue Jul 14 04:11:40 PDT 2015 --  Happy Bastille Day
Tue Jul 14 17:03:45 PDT 2015 --  men who want to give blood but have had sex with other men since 1969 shouldn't have to lie anymore https://twitter.com/SenWarren/status/621046496377577473 …
Tue Jul 14 13:47:36 PDT 2015 --  Yesterday spoke with @plutokiller Mike Brown. He said all this #PlutoLove proves: "It doesn't have to be a planet to be interesting."
Mon Jul 13 12:23:54 PDT 2015 --  How to stay safe: -Wrap yourself in many leaves -Avoid fast large metal things -Know where clumps of soothing moss are -Befriend many rocks
Sun Jul 12 16:58:45 PDT 2015 --  I took a nap where I fell over earlier. I am a bear.
Sun Jul 12 13:51:07 PDT 2015 --  #PlutoFacts: I wrote “The Pluto Files” book http://bit.ly/1HjESrD  in recovery after years of hate-mail from school children.
Sun Jul 12 13:11:51 PDT 2015 --  #PlutoFacts: In 1979, Pluto crossed Neptune’s orbit, and for 20 years was the eighth “planet” in the solar system.
Sun Jul 12 13:08:28 PDT 2015 --  #PlutoFacts Pluto’s primary moon Charon is so large that their mutual center-of-mass lies not within Pluto but in empty space
Sun Jul 12 13:06:26 PDT 2015 --  #PlutoFacts: Ever since Pluto was discovered in 1930, it has completed barely 1/3 of its own 248 year orbit around the Sun.
Sun Jul 12 17:44:51 PDT 2015 --  retail work is a horrible place where intelligence and ambition go to die
Sat Jul 11 06:57:35 PDT 2015 --  Sometimes I am worried for the trees I climb, but then I remember that trees are incredibly strong and probably do not even notice my claws.
Thu Jul 09 17:04:27 PDT 2015 --  okay i'm ready to stop being a crazy person now. where do i go to obtain this mysterious "rational thought" substance
Thu Jul 09 11:28:33 PDT 2015 --  customer: *looking for a specific rug* me: about how big is it? customer: it's the larger size me: like, in feet? customer: the bigger size
Thu Jul 09 10:07:43 PDT 2015 --  If you are kind to the forest, the forest will be kind to you. Unless a tree accidentally falls onto you or a deer bites you or you drown.
Thu Jul 09 08:38:52 PDT 2015 --  good things come to those who refuse to go back to work pic.twitter.com/8yMGfzT2kR
Thu Jul 09 08:35:53 PDT 2015 --  idk when my break started but i'm just gonna sit here until i feel like dealing with people
Thu Jul 09 08:31:39 PDT 2015 --  someday i'd like to work somewhere that i don't have to deal with people who remind me of everything i hate in humanity
Thu Jul 09 08:31:14 PDT 2015 --  coworker: oh look a bug don't step on it me: goes to pick it up other coworker: kills it
Thu Jul 09 00:36:01 PDT 2015 --  i should've gone to bed four hours ago
Wed Jul 08 06:53:26 PDT 2015 --  . @SenJohnMcCain, @SenatorCantwell, @SenAngusKing & I reintroduced the 21st Century Glass Steagall Act. Watch: https://youtu.be/Aym11DSsCtw 
Wed Jul 08 06:52:53 PDT 2015 --  We need to rebuild the wall between boring commercial banking – checking & savings accounts - & riskier investment banking.
Tue Jul 07 21:10:43 PDT 2015 --  For what it's worth. Guns Don't Deter Crime, Study Finds http://readersupportednews.org/news-section2/318-66/31162-guns-dont-deter-crime-study-finds …
Tue Jul 07 11:55:11 PDT 2015 --  i know it's inconsiderate and i do feel bad but it really is hard to be on time when life is pointless and earth is being destroyed
Mon Jul 06 11:35:27 PDT 2015 --  same bruh https://twitter.com/DuBoisFalcons/status/618125628689268736 …
Sun Jul 05 19:32:54 PDT 2015 --  :) we are all the same pic.twitter.com/ZXJd3Xx5Do
Sun Jul 05 17:12:49 PDT 2015 --  staking out the back of a grocery store so i can take a milk crate. not sure i have the guts to do this in daylight
Sun Jul 05 14:45:38 PDT 2015 --  I sat on a tall rock and stared below, waiting for something to either end or begin, but neither ever happened before I napped. I am a bear.
Sat Jul 04 23:36:57 PDT 2015 --  i had to say goodbye to a beloved friend today. im a bit heartbroken, it was there for every umass experience ive had pic.twitter.com/fuQpiwrJRN
Sat Jul 04 17:38:23 PDT 2015 --  The sky is so violent but colorful tonight. I hope you are okay, sky. I am a bear.
Sat Jul 04 05:39:10 PDT 2015 --  i dont wanna get up and do stuff wanna sleep and then not go anywhere
Fri Jul 03 02:30:54 PDT 2015 --  When we wake up we can remind ourselves - "I need to be happy, I need to have warm feelings towards others."
Thu Jul 02 19:03:56 PDT 2015 --  (Data becomes a baby too, which is explained through some complicated/fake math. It's worth it to see baby Geordi and Data causing trouble.)
Thu Jul 02 14:57:26 PDT 2015 --  The study of the universe is the oldest science, but likely only the second oldest profession.
Thu Jul 02 11:12:53 PDT 2015 --  I met a new tree today.
Wed Jul 01 23:09:45 PDT 2015 --  in this house 2am is vodka time
Wed Jul 01 12:30:03 PDT 2015 --  If I'm not freezing, I'm definitely sweating.
Wed Jul 01 11:44:03 PDT 2015 --  i don't wanna go to work i wanna go sit in a river
Wed Jul 01 09:57:32 PDT 2015 --  at 2.30 this morning i went outside and the moon was too bright to see the stars it felt so suffocating
Tue Jun 30 22:30:55 PDT 2015 --  i will stand in the rain until i am clean
Tue Jun 30 20:26:02 PDT 2015 --  i miss umass. i miss hanging out with people at 2am and getting drunk on weeknights whenever life felt like shit
Tue Jun 30 11:16:08 PDT 2015 --  I am okay with small animals riding my back when they want to, but I am upset that there are no large animals for me to ride on when I want.
Tue Jun 30 07:28:59 PDT 2015 --  i wanna call out sick but i feel like my actual uncontrollable coughing isn't enough
Tue Jun 30 07:23:51 PDT 2015 --  when you have work at 9:45 and wake up at 10:22
Mon Jun 29 12:01:14 PDT 2015 --  As I get older, I’ve become more and more intolerant of intolerance.
Mon Jun 29 01:10:38 PDT 2015 --  so as long as this feeble heart is still beating you will find me rushing through every room switching on all the lights
Sat Jun 27 19:35:02 PDT 2015 --  Anthem and I are the first people from different Categories to ever fall in love.
Sat Jun 27 17:55:17 PDT 2015 --  i swear the more math i learn the less basic spelling and grammar i retain
Fri Jun 26 21:33:40 PDT 2015 --  when you tipsy and your parents start chatting with you
Fri Jun 26 21:23:22 PDT 2015 --  god i love alcohol
Wed Jun 24 20:04:09 PDT 2015 --  I want all my conversations to be so interesting that I can tell people are eavesdropping.
Fri Jun 26 21:05:54 PDT 2015 --  same https://twitter.com/A_single_bear/status/614230506100666368 …
Fri Jun 26 07:34:30 PDT 2015 --  Woo-hoo! Love wins!!! #lovewins
Fri Jun 26 10:08:54 PDT 2015 --  "They're against the revolution! Change scares people." Anthem says. "That's dumb. I'm 16 and I can tell right from wrong," I answer.
Fri Jun 26 10:21:52 PDT 2015 --  BEST FUCKING DAY EVER GOOD FUXKING MORNING https://instagram.com/p/4ZosyIu1eE/ 
Wed Jun 24 08:52:55 PDT 2015 --  if this eyeliner is smudge proof, how come i look like a panda
Tue Jun 23 06:24:07 PDT 2015 --  I bloody love email interviews I do. https://instagram.com/p/4RfHkREEZD/ 
Sun Jun 21 10:02:46 PDT 2015 --  The day with most sunlight: Happy Summer Solstice to Earth residents north of the equator. Now thru Dec 21 days get shorter.
Mon Jun 22 12:50:34 PDT 2015 --  My fuzziness is an important aspect of who I am and how I see myself as an individual creature of the forest.
Mon Jun 22 08:23:23 PDT 2015 --  "Your blood is special," she said, looking at me stoically. "Does that mean my parents are special too?" "What? Who cares. No. What?"
Sun Jun 21 21:42:27 PDT 2015 --  Pretty cool how regardless of how nice a building otherwise is, its stairwell is always just a creepy concrete murder shaft
Sun Jun 21 19:03:35 PDT 2015 --  I finish my daily Task, but I can't get Anthem's words out my head.
Sun Jun 21 15:58:37 PDT 2015 --  MUNCHKIN KITTEN MEOWS https://vine.co/v/eilqWAqMZZ6 
Sun Jun 21 14:13:02 PDT 2015 --  What better way to celebrate Father's Day than to Instagram an adorable baby picture of yourself where your dad's arm is partially visible?
Sat Jun 20 19:33:58 PDT 2015 --  ah i remember why for awhile i was telling myself to not drink anymore
Sat Jun 20 19:17:58 PDT 2015 --  i have to stay away from this barefoot moscato it tastes so good i just drink it for the taste and now shit im drunk fuck
Fri Jun 19 19:58:10 PDT 2015 --  i love it when my friend is later than i am like for all you know i was on time
Thu Jun 18 22:31:11 PDT 2015 --  i wish i wasn't https://twitter.com/Allison620/status/611711761826197505 …
Thu Jun 18 12:52:24 PDT 2015 --  If you're good at BS'ing others, then all it means is that you rarely hang around people who are smarter than you.
Thu Jun 18 10:38:39 PDT 2015 --  there is no better feeling pic.twitter.com/pYMbMj7PGG
Wed Jun 17 10:26:18 PDT 2015 --  Heading out for an evening without a jacket always makes me feel like I'm doing something morally questionable.
Tue Jun 16 19:29:08 PDT 2015 --  My favorite line in "The Martian" trailer, uttered by Matt Damon, is “I’m going to have to science the shit out of this.”
Tue Jun 16 10:40:11 PDT 2015 --  Bill floods Texas. Alaska is on fire. Just a little global warming & climate change. Nothing to worry about… pic.twitter.com/l2qAaiytE6
Tue Jun 16 13:44:52 PDT 2015 --  the world is not your personal fucking trashcan be a responsible fucking adult, don't just leave your shit on the floor for ppl to trip over
Tue Jun 16 00:58:23 PDT 2015 --  The Next Storm is here! Me and cmpunk slug it out. Positive Songs For Negative People is out August… https://instagram.com/p/3-4R1DkEVa/ 
Mon Jun 15 21:23:37 PDT 2015 --  when i'm grown up and have a home all to myself i'm gonna keep a cabinet empty so i'll always have a place to hide when the world gets scary
Mon Jun 15 03:30:05 PDT 2015 --  Since climate change and the global economy now affect us all, we have to develop a sense of the oneness of humanity.
Sun Jun 14 16:51:07 PDT 2015 --  Until I spent time in the Training Facility, I had no idea that I was actually the best nunchuck fighter in the Colony.
Sun Jun 14 16:44:08 PDT 2015 --  and a big shoutout to everyone who's ever lied about their completely irrelevant sexual history to give blood https://twitter.com/SenWarren/status/610212004876390402 …
Sun Jun 14 05:53:17 PDT 2015 --  gotta love that clopen shift
Sat Jun 13 20:56:02 PDT 2015 --  how i met your mother hittin way too hard tonight
Thu Jun 11 20:25:49 PDT 2015 --  https://instagram.com/p/30F6AUO1QF/ 
Thu Jun 11 10:45:24 PDT 2015 --  Israel and Palestine would make $173 billion if they stopped fighting today http://mojo.ly/1IAS151  pic.twitter.com/PreAdgsdSv
Thu Jun 11 12:07:04 PDT 2015 --  I wish I had a body pocket for storing water, interesting rocks I find, and/or small friends. That would make life much easier. I am a bear.
Thu Jun 11 21:33:42 PDT 2015 --  my mom gave me a curfew and then went to bed before i got back...totally could've stayed out till four
Wed Jun 10 20:08:50 PDT 2015 --  me: i thought you were making mashed potatoes mom: no i said smashed potatoes pic.twitter.com/oENGdGHV5c
Wed Jun 10 01:09:12 PDT 2015 --  why would you ever want a umass lisence plate
Mon Jun 08 20:20:39 PDT 2015 --  Ermias kisses me, hard. It seems this is what our relationship is based on. Well, this, and his cutesy nickname for me ("Val")
Sun Jun 07 21:47:19 PDT 2015 --  I make sure to mention the names of my classmates, Amortensia and Kaldus, several times. Creative, interesting names, aren't they?
Sun Jun 07 20:30:45 PDT 2015 --  no mom, i haven't memorized every detail of all my friends' internships
Sun Jun 07 20:26:18 PDT 2015 --  "i don't know what sudbury is. boring?" -dad telling it like it is
