Fri Aug 28 20:11:34 PDT 2015 --  pic.twitter.com/Z7xV81ruON
Sat Aug 22 13:06:55 PDT 2015 --  Well it seems like to me when President Obama term is up what is a man going to do is it going to be down to Hillary oh s*** then we get off
Sat Aug 22 12:47:48 PDT 2015 --  I'm sorry the boys should not have been clowning me this morning menopause medabots Hillary
Sat Aug 22 12:47:03 PDT 2015 --  Ties I just want to know if Hillary wins what y'all going to do cuz . Menopause menopause is a bitch yes I'm laughing
Sat Aug 22 12:32:29 PDT 2015 --  Where did I graduate from the 7th grade mama Compton I had to give the bus driver those little yellow ticket
Sat Aug 22 12:28:38 PDT 2015 --  The movie out of Compton damn good movie f*** Compton it don't even touch the real truth about Compton haha Yama Compton bitch too
Sat Aug 22 12:21:57 PDT 2015 --  The world repeats itself constantly Satan constantly looking for victims that know no better cheap place on kids always has
Sat Aug 22 12:19:25 PDT 2015 --  Worl have you stopped and watch the world repeat itself damn I was wearing bell bottoms platforms when I was a teenager
Sat Aug 22 12:03:03 PDT 2015 --  And if Santa Barbara County would go on and tell the truth I'm a beast I will run up on you and your kid and your gang members and f***
Sat Aug 22 12:00:00 PDT 2015 --  Why should a kid have to take that on his shoulder f*** the streets I'm here kids for life
Sat Aug 22 11:58:36 PDT 2015 --  Si kids it's not just being loyal to your game you have to be lawyer to the street that's what the game story is you keep your mouth shut
Sat Aug 22 11:48:30 PDT 2015 --  All the ghetto is looking for truth honesty so what I'm from the ghetto I'm a human being and I'm trying to get up out this s***
Sat Aug 22 11:47:34 PDT 2015 --  I came from Welf illegal but I hung in the ghetto done wrong those are the sweetest people in the world help me help them that true people
Sat Aug 22 11:43:33 PDT 2015 --  Jesus believe it or not there are people in the streets that I tired generation tired they want to be good Jesus is here
Sat Aug 22 11:42:27 PDT 2015 --  This world belongs to Jesus fattening stupor the underground that people don't know that exist we're coming out with a strong hand with
Sat Aug 22 11:41:33 PDT 2015 --  Chomp is running for the rich society the rich is always tried to run the world they always have stopped not to realize this world
Sat Aug 22 11:34:45 PDT 2015 --  Menopause menopause menopause menopause yeah I'm clownin funny s*** man you better stop Hillary cuz she's going to get you guys
Sat Aug 22 11:30:23 PDT 2015 --  Talk about revenge from a woman standard oh s*** I gotta go laugh some more
Sat Aug 22 11:29:24 PDT 2015 --  Menopause you miss better shut that s*** down specially you marry me and talk you miss know what I'm talking about huh hell yeah
Sat Aug 22 11:28:09 PDT 2015 --  Yeah men the little boys here at my house should not have been crowned in me they forgot that they have to grow up celery if she went
Sat Aug 22 11:16:25 PDT 2015 --  Snoop Dogg is a gangster but look at what he's doing taking the kids off the street with every sports he can thanks nope dog from the street
Sat Aug 22 11:15:37 PDT 2015 --  Really make a difference in these kids life so many of these kids CPS don't understand because they won't talk they can't talk CPS
Sat Aug 22 11:14:16 PDT 2015 --  Tyler Perry you open up some truth about CPS that s*** is really true and you know that too many kids are running from it help me
Sat Aug 22 10:58:53 PDT 2015 --  Truant you're asking to be killed your own race will kill you before you become president think about it
Sat Aug 22 10:55:20 PDT 2015 --  She's just in the place what the Bible talks about
Sat Aug 22 10:54:43 PDT 2015 --  You men are a done deal but Hillary is just doing with the end of the Bible says do a lot of us womens believe in her hell no she's
Sat Aug 22 10:52:51 PDT 2015 --  Mens I've been trying hard not to say this one but if Hillary ever became president and she's going through menopause you mother f******
Sat Aug 22 10:35:53 PDT 2015 --  So you should not get mad when you see some scandalous moves
Sat Aug 22 10:34:34 PDT 2015 --  Remember boys and mens a woman came from your rib
Sat Aug 22 10:33:58 PDT 2015 --  NiCd laughing hard they have no ideal k still have the police on the way to take you to juvenile hall where you supposed to be at anyway
Sat Aug 22 10:24:32 PDT 2015 --  Am I going to pick hell yes cuz he wont stop talking how funny that s*** looked
Sat Aug 22 10:23:36 PDT 2015 --  I fee ran from me I tried to tackle him and was left on the curb but he loves me it came and got my black ass up now he's in my house
Sat Aug 22 10:21:47 PDT 2015 --  Ok Twitter here's the real truth the reason why I'm not frying chicken and pork chops is because yesterday I had to chase one of the kid
Sat Aug 22 10:02:18 PDT 2015 --  Bound to the streets because of our parents you don't snitch even if it hurts but I'm here kids let's go eat
Sat Aug 22 10:00:56 PDT 2015 --  It is wrong kids for a parent to ask you to do wrong it is wrong for a parent to make you keep a secret but we keep those secrets
Sat Aug 22 09:56:05 PDT 2015 --  Without Terrence and Jenny they related to the kids Tara and Terrence drunk all the homeless kids and the runners to me
Sat Aug 22 09:55:05 PDT 2015 --  And I don't have Jenny and we're close to Christmas and I mean we fault just to give kids presence that never got presents ever my team
Sat Aug 22 09:53:48 PDT 2015 --  Every since the year that I had to go and find Tara Marie I started on the ground that involve Christmas I don't have Terrence
Sat Aug 22 09:39:58 PDT 2015 --  I know one thing Jesus I'm going to stop frying chicken pork chops cornbread Bing rice they too thick it's hard to bring them down
Sat Aug 22 09:36:54 PDT 2015 --  And when God pulled you out you got to work 10 times harder I got so many bruises from these bad kids but hey I Love You Jesus
Sat Aug 22 09:35:02 PDT 2015 --  And when a child mine has been under accrue human bean such as done unless God turns it around thank you Jesus
Sat Aug 22 09:32:23 PDT 2015 --  There are kids I'll hear running with bad secrets their kids their brain has not developed yet the street needs help to
Sat Aug 22 09:30:57 PDT 2015 --  Bad secrets will affect you for the rest of your life unless you fix it with good
Sat Aug 22 09:26:48 PDT 2015 --  Patrick Kirby your big sister runnin s*** cuz your daddy talk me
Sat Aug 22 09:26:10 PDT 2015 --  Thank You Maurice Kirby for destroying my brothers live all my brothers but Alfred in prison serious time I'm coming to see you
Sat Aug 22 09:24:11 PDT 2015 --  . I know it was the time of Tara's death year and a half ago Jojo Dipy 20 something my baby brother Patrick strike that out no reason
Sat Aug 22 09:22:51 PDT 2015 --  Auntie Barbara Kenny told me that Jojo got out of jail who I was a long stretch and I was bothered year and a half ago No yeah that's about
Sat Aug 22 09:20:22 PDT 2015 --  Maxine Gloria Quentin sherry Gwen are you guys still alive I know the kids are today was my age and younger yeah if Anna Marie
Sat Aug 22 09:17:22 PDT 2015 --  You not using kids no more I could say that taster
Sat Aug 22 09:15:34 PDT 2015 --  Maurice Kirby and it was passed down to me that's the kind of kids that you're fooling with CPS
Sat Aug 22 09:14:45 PDT 2015 --  That's why state you don't always know what you're talking about drug kids they're bound to it off that takes them to their grave
Sat Aug 22 09:12:34 PDT 2015 --  Camping to the show saw all the Christmas lights a damn good but I was a miserable child that was looked at the trouble
Sat Aug 22 09:11:23 PDT 2015 --  I got beat every day my younger brothers looked at me the troubled child of the family always making things difficult yes we went fishing
Sat Aug 22 09:08:19 PDT 2015 --  For the first time I told my sister Opal why wouldn't come home after school when I was in elementary my sister started crying
Sat Aug 22 09:03:16 PDT 2015 --  Snoop Dogg Chad didn't make it he got sent to North Carolina when he got out of juvenile hall we miss you Chad we dancin n****
Sat Aug 22 09:00:20 PDT 2015 --  A real gangster woman except streets for what it is but we going to change some of that because of the kids
Sat Aug 22 08:58:50 PDT 2015 --  Maurice Kirby and he was no joke he was evil he preyed on women that's how I learned women can be stupid
Sat Aug 22 08:57:35 PDT 2015 --  I just got off the phone with my sister Opal and she made the statement that Santa Barbara County is in trouble because I was raised by
Fri Aug 21 20:58:10 PDT 2015 --  Let's get rich together that's a tight song let's make it rain canes time for Snoop Dogg roof
Fri Aug 21 19:18:44 PDT 2015 --  Ok the good kids we get ready to Nene already been to grocery store it's time to cook and eat and dance write kids
Fri Aug 21 09:31:27 PDT 2015 --  Today is Friday not good for the kids not good for me sitting at the spot where the b****** are didn't already ran got to go
Wed Aug 19 09:55:15 PDT 2015 --  Remember the boy died in Tamara's hand from Hancock
Wed Aug 19 09:54:26 PDT 2015 --  . Don't forget camera went to Hancock and I did too
Wed Aug 19 09:53:44 PDT 2015 --  Hancock you came strong against Terrence then when you found out the truth you do those two boys to the curb imma get you Hancock
Wed Aug 19 09:52:00 PDT 2015 --  Hancock has a brand new building Kent Terrace have some of that money to be buried see you in court
Wed Aug 19 09:49:49 PDT 2015 --  Who's going to die this semester Hancock clean your school is full of crystal meth even some of the teachers do it
Wed Aug 19 09:47:31 PDT 2015 --  See I know the football coach and the basketball coach death full of s*** and you know it brother Terry
Wed Aug 19 09:45:54 PDT 2015 --  Hancock are you letting killers into some s tur all basketball football players should be tested for marijuana crystal meth
Wed Aug 19 06:55:52 PDT 2015 --  . You can start by giving me my money back new people here in Santa Maria running your store on drugs crystal meth
Wed Aug 19 06:52:57 PDT 2015 --  $250 I still have to bury my son
Wed Aug 19 06:52:31 PDT 2015 --  So I told all my friends stay out of Best Buy that's why Best Buy don't make any money here in Santa Maria and I want my money back
Wed Aug 19 06:51:11 PDT 2015 --  I bought the phone at Best Buy the phone was already broken they lied and said I broke it but that's an Maria for you
Wed Aug 19 05:05:14 PDT 2015 --  I don't know how to sign in terrence is not here to show me how
Mon Aug 17 15:42:13 PDT 2015 --  @GasStationVin two funny guys es @BelairsFinest
Mon Aug 17 14:28:39 PDT 2015 --  Cps have the wrong kids there so many hungry kids here because I see them where you at cvs picking your nose picking up a lot of detail
Mon Aug 17 14:28:39 PDT 2015 --  You f***** with the wrong person probation I
Mon Aug 17 14:28:39 PDT 2015 --  And c_p_s I'm coming you nothing but liars to 50 liars and you know when I'm talking about see you we court
Mon Aug 17 14:02:35 PDT 2015 --  I saw you kelly in court today its own I will see you in court 2 tara probation took my daughter and try to hide it
Mon Aug 17 14:02:35 PDT 2015 --  The boys parents not in court not their friends nobody something's wrong with that handcock you let dogs and santa maria to kill my son
Mon Aug 17 14:02:34 PDT 2015 --  Handcock I'm taking you to court to for your life 2 you hurt me brother tears
Mon Aug 17 14:02:31 PDT 2015 --  He won't terra kelly I did not probation I was beaten I was right but I filed Tara Marie me
Mon Aug 17 14:02:31 PDT 2015 --  Probation you will feel my pain for the rest of your lives see you in court bitches
Mon Aug 17 12:00:38 PDT 2015 --  . Terrence Richardson will not be buried Santa Maria is a f****** lie we going to fix it son
Mon Aug 17 11:52:36 PDT 2015 --  Go back to court on the 21st I tried hard to be good f*** Santa Barbara
Mon Aug 17 08:56:35 PDT 2015 --  In court a bunch of b*******
Mon Aug 17 00:16:31 PDT 2015 --  , I really AM scared I need . Terrence he was the only person really love me I'm so broke
Mon Aug 17 00:09:15 PDT 2015 --  I I need you Terrance I'm crying inside skater tomorrow everything is going bad side but Mom could it be strong to she has to do I need you
Mon Aug 17 00:02:21 PDT 2015 --  If NB was a man would he have been called a bitch in court which he had been tried to thrown in a mental hospital I need you
Sun Aug 16 22:45:22 PDT 2015 --  If Anna be was a man which he be called a bitch in court would he be thrown in the mental Hospital
Sun Aug 16 18:33:58 PDT 2015 --  I have to fight hard for Terrance and Tara and me let's go state and I bet you I'll win I know i win cuz you guys are low on file
Sun Aug 16 18:31:45 PDT 2015 --  Tomorrow I go to court when I get nervous I spend money I don't know how I feel right now I feel hurt so I know I have to go in and fight
Sat Aug 15 14:59:04 PDT 2015 --  . I accused Nikki's boyfriend of texting camera you f****** bitch Tacoma daughter again bi
Sat Aug 15 13:54:18 PDT 2015 --  I never disrespected my mom I just rolled with it you damage me Mom you didn't even like me why I did everything you asked me to do
Sat Aug 15 13:52:32 PDT 2015 --  I am a grown woman two grandkids and I'm still keeping family secrets but I'm telling it all what my mother did to me and her husband
Sat Aug 15 11:38:09 PDT 2015 --  And mrs. Ford you are ugly bitch how dare you mistreat my mama nasty looking bitch send numbers have been f****** up
Sat Aug 15 11:07:18 PDT 2015 --  CPS takes the wrong kid the kids that they should be helping I help them I see them i buy their clothes suck UCPS
Sat Aug 15 11:06:27 PDT 2015 --  See when you tell the truth in Santa Maria didn't want to hear that they won't lies instead that's what they believe twisted hall
Sat Aug 15 11:05:21 PDT 2015 --  I'm telling you I know so many people on section 8 for years you got everybody living with them is that fair to other people with section 8
Sat Aug 15 11:03:05 PDT 2015 --  There are so many dishonest people in this world where I live at so many have people have section 8 and they shouldn't have it
Sat Aug 15 10:54:31 PDT 2015 --  and Ford the crack cocaine was found in your room and your wife's room what's up with that
Sat Aug 15 10:49:57 PDT 2015 --  . And you rich people here in Santa Maria and Santa Barbara they taking your money then using that money what you put that money out there
Sat Aug 15 10:48:27 PDT 2015 --  SeaWorld in Santa Maria only certain people can sell drugs and don't get in trouble and not breaking that s*** up
Sat Aug 15 10:46:39 PDT 2015 --  I'm begging you Santeria revival tabernacle Institute Lord God help them to see the truth
Sat Aug 15 10:45:14 PDT 2015 --  And there's a whole lot of more women's here that's going with me the to tell the truth about yo ass
Sat Aug 15 10:42:30 PDT 2015 --  And sister for cusses like a sailor you're wrong send a real you know that man is not know real pastor he's a gigolo touch my daughters ass
Sat Aug 15 10:40:18 PDT 2015 --  I will see you in court Santa Maria I want the whole world to know the kind of s*** that Santa Maria
Sat Aug 15 10:38:10 PDT 2015 --  That bible says leave my sheets the right way I been here for I been here for 29 years and everything they came out your church is in jail
Sat Aug 15 10:38:10 PDT 2015 --  . And if you ever touch my daughters ask again I will f*** you up
Sat Aug 15 10:38:10 PDT 2015 --  You're wrong santa maria you know forced church was not a real church you know ford h shit catching women's asses
Sat Aug 15 10:38:10 PDT 2015 --  Your grandkids is selling crack what you preach it everybody know that got don't get too did he say don't mess with my sheep
Sat Aug 15 10:28:10 PDT 2015 --  For what did my mom leave your church cuz you a nasty m*********** and everybody in Santeria feel the same way
Sat Aug 15 10:26:58 PDT 2015 --  And if you don't like it boys come with my ass and you will get f***** up your grandma man shit too you ya
Sat Aug 15 10:26:58 PDT 2015 --  Pastor rick keys is a 2 man of god not read in fort he is a liar why you hittin sauce in l you know your grand boys our child molester
Sat Aug 15 10:16:18 PDT 2015 --  Send maria santa maria how did you give brethren ford piece of paper his grandkids. And a rated to church bullshit my pastor
Sat Aug 15 10:16:18 PDT 2015 --  Ford beep touching peoples asses how dare you say maria
Sat Aug 15 10:16:06 PDT 2015 --  This talk about . This talk about your grandkids ford why did my mama leave your church not a real past
Sat Aug 15 00:40:13 PDT 2015 --  N.w.a before they broke up
Fri Aug 14 18:23:41 PDT 2015 --  And long poke to see the girls I love you girls
Thu Aug 13 16:44:54 PDT 2015 --  pic.twitter.com/T1VNGtF3FG
Thu Aug 13 16:20:59 PDT 2015 --  pic.twitter.com/8pgvJv2pGR
Thu Aug 13 15:05:44 PDT 2015 --  Here at Pioneer picking up kids these are the ones that won't come home
Thu Aug 13 09:56:30 PDT 2015 --  Ashnelle you did not come to the house yesterday so that tells me that you were stealing in albertsons come to the house now
Thu Aug 13 09:52:18 PDT 2015 --  Ok here in Santa Maria Snoop Dogg is still running number one Chris Brown's coming second
Thu Aug 13 09:50:01 PDT 2015 --  I wish they would do a better job on clothes is getting hard modesty is still in style things happen because how you dress sometime
Thu Aug 13 09:47:23 PDT 2015 --  They make sure that they miss the school bus they get so mad at me but they love me too
Thu Aug 13 09:46:24 PDT 2015 --  Hi good morning I have to walk around my complex to make sure the junior high kids I'm not hiding in here cute huh
Wed Aug 12 17:33:12 PDT 2015 --  My baby cuz omaria 1st say of scoo isn't she beautiful.. pic.twitter.com/o7V8Js4wci
Wed Aug 12 11:14:52 PDT 2015 --  But good example have to be set for good kids and people you don't want kids to pick up bad habits from bad kids
Wed Aug 12 11:13:41 PDT 2015 --  We had a lot of problems in our private complex but it got better after we got rid of some kids that hurts cuz I do love kids
Wed Aug 12 11:11:37 PDT 2015 --  And this time J if I catch you walking around 2 & 3 in the morning I'm calling the police
Wed Aug 12 11:10:14 PDT 2015 --  And I love you very much but your mama is crazy when you're hungry I know Tamara still giving you food but don't let me catch at the window
Wed Aug 12 11:08:26 PDT 2015 --  Summer was great I only had the police called on me once Jade you still not coming in my house ever I know you are a trouble child
Wed Aug 12 11:05:58 PDT 2015 --  So I know the mind games adult play on kids and the kids that I know I will not let their own moms abused them mentally and physically
Wed Aug 12 11:01:34 PDT 2015 --  But he was my dad and I love them and I hated them I hated him more then I love them I was so glad when my mother finally said no more
Wed Aug 12 11:00:19 PDT 2015 --  My daddy was found downtown Los Angeles stab to death we say it was a woman that did it my dad Treated women very bad he was a dog
Wed Aug 12 10:55:43 PDT 2015 --  that he could No longer beat us because he through a bat at mark I think he was 8 or 9 thats what I grew up with
Wed Aug 12 10:53:10 PDT 2015 --  My brother Kenny Kirby recently told me that their last name really is Robertson I remember when my mother told Kirby he could no longer
Wed Aug 12 10:48:52 PDT 2015 --  He introduced me to a horrible life and a good life his life was present and my brother life in present but God is good to me thank you
Wed Aug 12 10:41:52 PDT 2015 --  I grew up under Maurice Kirby the biggest thug in Los Angeles I did not grow up in watts but my relatives did I grew up the good side all 9
Wed Aug 12 10:19:32 PDT 2015 --  I gave my kids the best they walked around looking $1,000,000 like me write Santa Maria 2 or dead what happened follow me
Wed Aug 12 10:16:02 PDT 2015 --  See Anna was the crying mother that marched her kids to juvenile Hall n probation asking for help with A strong han a single mother
Wed Aug 12 10:06:36 PDT 2015 --  You lie to me I will put you on blast I don't care who you are and my friends and will dogs note that they can't even get mad
Wed Aug 12 10:04:57 PDT 2015 --  Again I'm sorry Twitter but this is my real life
Wed Aug 12 10:00:14 PDT 2015 --  You're in trouble you don't come to me and ask me to help you come to the house
Wed Aug 12 09:59:27 PDT 2015 --  Hi good morning Mary and Jessica jumped on that job yesterday at Santa Maria in Chanel if I find out that you were stealing in Albertson
Tue Aug 11 10:11:49 PDT 2015 --  They are so excited I am too first day of school yea a
Tue Aug 11 10:11:49 PDT 2015 --  Hi good morning . You under cover detective make me laugh where are you bill today is the first day of school for some of the kids
Mon Aug 10 18:47:07 PDT 2015 --  On the road listening to e40_: problems the y sound great
Mon Aug 10 12:51:20 PDT 2015 --  My cuz just got thru signeing my baby girl up! Yay!
Sun Aug 09 15:56:59 PDT 2015 --  We know, karma is something else Tyrone got his Beamer stolen he's being paid back God don't need your help Chanel stop it
Sun Aug 09 15:55:12 PDT 2015 --  SNL quittin told me he drop you off at work at seminary and quittin also told me you been acting a fool magic Rand Paul Ford with Tyrone
Sun Aug 09 15:41:38 PDT 2015 --  She has 4 kids and no man I'm the one that helps her out all I ask be good to your kids and don't lie to me
Sun Aug 09 15:40:33 PDT 2015 --  Twitter I would like to apologize for yesterday with one of my friends kami she has two kids by my nephew she lied to me yesterday
Sun Aug 09 14:27:09 PDT 2015 --  This is my bby Jenny died after Terence 1 pic.twitter.com/AxqfCfrtLh
Sat Aug 08 16:03:41 PDT 2015 --  Twitter the dick the Tammy got was her best friend man damn ha
Sat Aug 08 15:55:12 PDT 2015 --  There are women's in this world dick is there everything f*** the kids where is the dick kami
Sat Aug 08 15:51:11 PDT 2015 --  Now I can tell you the truth you ain't s*** never will be dick is more important than your kid
Sat Aug 08 15:49:07 PDT 2015 --  I can't go to jail for saying the truth call the Popo maybe he will f*** you too
Sat Aug 08 15:48:34 PDT 2015 --  S*** at all I huh cuz I'll tell the truth mess whip me now I'll tell all your business
Sat Aug 08 15:38:29 PDT 2015 --  Who do you live with kami your brother huh take care of your kids stop doing them other men
Sat Aug 08 15:34:28 PDT 2015 --  Oh I forgot to tell you this of the women here in Santa Maria can't how about that bitch you
Sat Aug 08 15:30:43 PDT 2015 --  You have spent 9 months trying to get galley he f***** you I'm selling all this s*** huh f*** with me now bitch
Sat Aug 08 15:29:34 PDT 2015 --  Yes I'm talking about your ass you ain't s***. Always looking for man don't know man
Sat Aug 08 15:27:01 PDT 2015 --  Kami is the type of woman don't you ever bring your man she will take yo man white camry
Sat Aug 08 15:20:51 PDT 2015 --  You lied to me and you know how I feel about lies come on over
Sat Aug 08 15:19:16 PDT 2015 --  Kami is a bitch that my nephew got involved with you don't f*** with Tamara I will lose my mind
Sat Aug 08 15:17:38 PDT 2015 --  You on twitter now kami I will f*** you up and you know that don't play with me bitch
Sat Aug 08 15:17:38 PDT 2015 --  I hate dealing with women's day too messy damn
Sat Aug 08 11:37:37 PDT 2015 --  CPS you f***** my daughters life and mind up you know what you did some of you guys no me I don't play and I don't lie like you
Sat Aug 08 11:26:46 PDT 2015 --  Yes CPS you let camera do what she did I have the poster you f***** up saving the best for last and I have the proof
Sat Aug 08 11:24:23 PDT 2015 --  You mistreated me for no reason now would you try to do and secret Twitter I'm puttin everything and it's all true
Sat Aug 08 11:23:22 PDT 2015 --  And I am going to sing like a snitch about the thalamus I'm Santa Barbara County
Sat Aug 08 11:22:38 PDT 2015 --  And Santa Maria didn't give a damn that I had to watch my back and my kids back I know alot honest in Santa Barbara County
Sat Aug 08 11:21:42 PDT 2015 --  Yes C my kids father what's a snitch I had to teach my son how to fight that rap went on me and we've had to fight our way through
Sat Aug 08 09:23:31 PDT 2015 --  . Ok we're going to talk about why Santa Maria Police Department wanted me n the mental hospital that's some f***** up s*** huh
Sat Aug 08 08:52:39 PDT 2015 --  A Chanel I'm proud of you stay focused baby I'm here for you stay focus
Sat Aug 08 08:50:19 PDT 2015 --  Alright we got Chris Brown starting it off this morning are you still a social worker sheila betty did you believe me its own
Fri Aug 07 20:01:44 PDT 2015 --  Happy I got my new hunter douglas blinds pic.twitter.com/A3BliVJMmD
Tue Aug 04 18:54:35 PDT 2015 --  Beck Santa Maria
Tue Aug 04 17:54:18 PDT 2015 --  Brand new shoes from lompoc pic.twitter.com/6GZJsbfbY3
Tue Aug 04 15:23:15 PDT 2015 --  Dorsey everything thomas say it to you incompetence get f***** up bitch
Tue Aug 04 15:22:07 PDT 2015 --  Tamara don't want your money $2,000 I don't need your money and f*** you bitch kicking your ass kicked you cu
Tue Aug 04 15:21:08 PDT 2015 --  Dorothy Tamara Richardson that's my daughter you lying bitch I'm going to see your ass in court to you f***** up bitch
Tue Aug 04 15:14:57 PDT 2015 --  Ok probation let me see you get out this s*** see you in court motherfuckers
Tue Aug 04 15:13:38 PDT 2015 --  Oh my god I will make sure that CPN do not tell that lies to oh my god Jesus help us
Tue Aug 04 14:46:50 PDT 2015 --  You want to be a counselor Holly you are a lying bitch
Tue Aug 04 14:44:57 PDT 2015 --  Ok your next CPS and you know what I'm talking about. You're nothing but a liar CPS
Tue Aug 04 14:34:33 PDT 2015 --  @ I alright back in long poke
Tue Aug 04 11:24:44 PDT 2015 --  . Yes we having church up in the Holy Ghost
Mon Aug 03 14:35:22 PDT 2015 --  Hi in Lompoc again
Mon Aug 03 12:54:16 PDT 2015 --  Hi at Jenny's house taking pictures I love you Jenny and I miss you
Sun Aug 02 16:46:56 PDT 2015 --  . .. Okay we're leaving longpoke
Sun Aug 02 13:42:24 PDT 2015 --  pic.twitter.com/YhGVScgFre
Sat Aug 01 17:02:39 PDT 2015 --  These are my back up men's that go with me to feed the streets now its time to party cause of success people are really hungry
Sat Aug 01 10:12:12 PDT 2015 --  Hi good morning . Biscuits and gravy YUM bring your own containers
Wed Jul 29 18:41:53 PDT 2015 --  Have you ever by brandy.
Wed Jul 29 18:22:25 PDT 2015 --  We're having a party cause mom a Anna is learning how to use her phne.
