Wed Aug 26 12:07:58 PDT 2015 --  Foto: cherryseltzer: http://tmblr.co/ZS0UVq1suiOwQ 
Sun Jul 26 23:51:01 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZfL_4 
Sun Jul 26 23:49:44 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZf4ed 
Sun Jul 26 23:49:31 PDT 2015 --  Set de fotos: robinwdavey: Here’s a few from my second sticker set for Google Messenger. See some of the... http://tmblr.co/ZS0UVq1qZf1df 
Sun Jul 26 23:44:14 PDT 2015 --  Set de fotos: Most modeling is kind of acting like a ho but making it fashion. http://tmblr.co/ZS0UVq1qZdxyR 
Sun Jul 26 23:40:51 PDT 2015 --  Set de fotos: http://tmblr.co/ZS0UVq1qZdDUI 
Sun Jul 26 23:40:42 PDT 2015 --  Foto: hahahaha wtf http://tmblr.co/ZS0UVq1qZdBfQ 
Sun Jul 26 23:39:57 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZd0eB 
Sun Jul 26 23:39:45 PDT 2015 --  Foto: t-r-i-d-e-n-t: ❅   http://tmblr.co/ZS0UVq1qZcztY 
Sun Jul 26 23:39:31 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZcwyH 
Sun Jul 26 23:35:45 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZc7Og 
Sun Jul 26 23:35:13 PDT 2015 --  Set de fotos: http://tmblr.co/ZS0UVq1qZc0Qz 
Sun Jul 26 23:28:48 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZadVU 
Sun Jul 26 23:15:19 PDT 2015 --  Set de fotos: Disney meme: [8/10] movies → Alice in Wonderland (1951)  If I had a world of my own,... http://tmblr.co/ZS0UVq1qZXYub 
Sun Jul 26 23:13:30 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZX8_n 
Sun Jul 26 23:12:21 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZWtpU 
Sun Jul 26 23:10:36 PDT 2015 --  "commit yourself to good, and good shall commit itself to you." - Julie Martinez (via writinqueen) http://tmblr.co/ZS0UVq1qZWSU6 
Sun Jul 26 23:09:51 PDT 2015 --  Audio: #foxes#beatyqueen#beautiful http://tmblr.co/ZS0UVq1qZWHeH 
Sun Jul 26 23:07:42 PDT 2015 --  Set de fotos: and i lost faith, nothing left here to say  http://tmblr.co/ZS0UVq1qZVoqF 
Sun Jul 26 23:05:35 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZVJYh 
Sun Jul 26 23:04:43 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZV5sH 
Sun Jul 26 23:04:24 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZV1Fb 
Sun Jul 26 23:04:06 PDT 2015 --  Foto: boys-and-suicide: “Happiness” http://tmblr.co/ZS0UVq1qZUy-Z 
Sun Jul 26 23:03:49 PDT 2015 --  Set de fotos: pacifyingher: hey i made icons from Melanie’s music video pity party, please like if you use... http://tmblr.co/ZS0UVq1qZUuWh 
Sun Jul 26 23:03:35 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZUq_g 
Sun Jul 26 09:03:00 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qVvSjj 
Sun Jul 26 08:57:54 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qVu5yR 
Sun Jul 26 08:40:41 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qVpyq9 
Sun Jul 26 08:40:02 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qVpoNe 
Sun Jul 26 08:39:50 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qVplUj 
Sun Jul 26 08:39:35 PDT 2015 --  Photo: sniffing: who hurt you siri http://tmblr.co/ZS0UVq1qVphkZ 
Sun Jul 26 08:38:38 PDT 2015 --  Photo: Twilight Princess: Lake Hylia - A Lone Twili Portal~ http://tmblr.co/ZS0UVq1qVpTWy 
Sun Jul 26 08:36:05 PDT 2015 --  Photo: never-tall-enough: Idk why but watching the rain is really calming http://tmblr.co/ZS0UVq1qVosKR 
Sun Jul 26 08:34:29 PDT 2015 --  Photo: wetants: wild ride http://tmblr.co/ZS0UVq1qVoUEo 
Sat Jul 25 23:12:03 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qUIjjU 
Sat Jul 25 20:56:45 PDT 2015 --  perks-of-being-chinese: when you need to hold your charger a certain way just for it to work http://tmblr.co/ZS0UVq1qTm_8M 
Sat Jul 25 20:53:47 PDT 2015 --  Photo: the-personal-quotes: More quotes and gifs here! http://tmblr.co/ZS0UVq1qTmCuo 
Sat Jul 25 20:53:01 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1qTm095 
Wed Jul 22 19:16:14 PDT 2015 --  Lo malo de mi ventana, es que tiene vista a todos esos lugares en dónde no estás.
Thu Jul 16 10:28:28 PDT 2015 --  Si nunca has escuchado “Pista01” de Intérprete Desconocido, no sabes nada de buena música.
Thu Jul 16 18:34:10 PDT 2015 --  Esos hombres que caminan con su novia abrazada y la muy pobre no tienes nalgas ni chichis, como si alguien les quisiera robar su chingadera
Fri Jul 17 08:16:06 PDT 2015 --  🏻 #WorldEmojiDay
