Sun Jul 05 13:12:06 PDT 2015 --  Η παραίτηση του Α. Σαμαρά από την ηγεσία της ΝΔ είναι γεγονός.
Mon Feb 09 07:53:00 PST 2015 --  ΠΟΙΟ ΕΙΝΑΙ ΑΥΤΟ ΤΟ ΑΝΕΓΚΕΦΑΛΟ ΑΣΤΕΡΙ??RT Καταγγελία για τις χειμερινές διακοπές πρώην υπουργού http://www.news4people.gr/index.php/ellada/perifereia/item/1029 …
Fri Feb 06 19:54:01 PST 2015 --  Rank in Europe, avg hours worked 1 Greece 2 Hungary 3 Poland 4 Estonia 5 Turkey 6 Czech Rep 7 Italy 8 Slovakia 14 UK http://www.bbc.co.uk/news/magazine-17155304 …
Sat Feb 07 11:35:17 PST 2015 --  Για να θυμούνται οι παλιοί και να μαθαίνουν οι νέοι... pic.twitter.com/mQ625hqZao
Sun Dec 28 07:53:49 PST 2014 --  Απο τα 12 Super Puma που έχουμε, επιχειρούν για την διάσωση των επιβατών μόνο τα 2! #NormanAtlantic pic.twitter.com/tG9x0nNIGR
Sun Dec 28 08:07:12 PST 2014 --  Για ρωτήστε τον κ. Τσοχατζόπουλο και τους υπόλοιπους υπουργούς οποιαδήποτε κόμματος γιατί δεν έχουμε αεροπλανοφόρο με ελικοδρόμιο
Tue Dec 23 08:50:28 PST 2014 --  Εντυπωσιακότατη βελτίωση χρόνου απονομής δικαιοσύνης..... pic.twitter.com/P50U5iiJcO
Fri Jul 04 13:36:50 PDT 2014 --  "little kiss by Mark Bridger" http://feedly.com/e/6TaCzWoq 
Tue Jun 24 13:18:26 PDT 2014 --  Δεν εξηγείται αλλιώς... μας ματιάσανε και ένας ένας από τους παίχτες μας έχουν θέματα
Tue Jun 24 13:12:47 PDT 2014 --  Μα πόσο αγύμναστοι είναι οι παίκτες της Εθνικής μας;
Sat Jun 21 03:05:17 PDT 2014 --  Ποιος θα εξηγήσει στους ηλίθιους συλλέκτες απορριμάτων του Δ. Πειραιά ότι οι μπλε κάδοι περιέχουν ανακυκλώσιμα υλικά και όχι σκουπίδια;
Thu Jun 19 16:58:20 PDT 2014 --  Το πρώτο ημίχρονο το πάλεψα, αλλά στο δεύτερο ο Μορφέας μου έριξε 2-0 μέχρι το 80' όταν ισοφάρισα και ο αγώνας ύπνου-ξύπνιου έληξε ισόπαλο.
Sat May 24 09:23:37 PDT 2014 --  Τυχεροί οι Λημνιώτες στην ατυχία τους. Αν ο σεισμός καθυστερούσε δύο μέρες και τα μεγάλα κόμματα έχαναν, 'θεία δίκη' θα ελεγαν κάποιοι.
Tue May 20 14:30:18 PDT 2014 --  Το 2012 ο Σαμάρας υποσχέθηκε προεκλογικά 150.000 θέσεις εργασίας. Τελικά χάθηκαν 207.000. Το 2014 υπόσχεται 500.000. Μαθηματικά ξέρεις.
Tue May 13 11:08:46 PDT 2014 --  Ακούγοντας εδώ και καιρό τις δηλώσεις Πάγκαλου με κάνει να αισθάνομαι χειρότερα από τις επιδρασεις τροφικής δηλητηρίασης...να κάνω εμετό!
Sat May 10 15:36:40 PDT 2014 --  το Νο. 1 τραγούδι της φετινής eurovision μάλλον θα γίνει το πρώτο αργό summer hit... στη Μύκονο!
Tue Apr 29 12:09:53 PDT 2014 --  Όχι από ΠΑΣΟΚ στην αναθεώρηση του Συντάγματος της ΝΔ; Μα, συγκυβέρνηση δεν έχουν με ΝΔ; Άλλη μία γελοία παράσταση εν όψει εκλογών
Tue Apr 29 11:34:12 PDT 2014 --  Ναι στην αναθεώρηση του Συντάγματος, αλλά όχι απαλλαγή των πολιτικών ή οικονομικών εγκλημάτων του παρελθόντος.
Tue Apr 29 11:16:20 PDT 2014 --  Εύχομαι τα σπασμένα στην ιστορία του παράνομου λούνα παρκ να μην τα πληρώσουν μόνο οι δύο αλλοδαποί υπάλληλοι. Ικανούς τους έχω κάποιους
Fri Apr 11 08:14:30 PDT 2014 --  Ναι, χωράνε και αστυνομικοί και άλλων κρατών στην Αθήνα. Στείλτε, τό' χουμε
Mon Mar 24 12:11:01 PDT 2014 --  What is the proof for the boeing crash in Indian ocean? none picture of found objects shown officially. Conspiracy theory still holds?
Tue Dec 17 08:55:34 PST 2013 --  fedora (20) heisenbug release birth - day
Sat Dec 07 15:07:17 PST 2013 --  Γιατί στις ψηφοφορίες της Βουλής δεν υπάρχει ηλεκτρονικός μετρητής κ κάνουν σούμα με το χέρι;για να υπάρχει η δυνατότητα ανθρώπινου λαθους;
Tue Nov 05 11:40:25 PST 2013 --  Στο Σκάι 30' CSI ανάλυση. Μήπως η αστυνομία δεν τα καταφέρνει να βρει άκρη και ζήτησε τη συνδρομή των δημοσιογράφων;
Mon Oct 28 15:19:37 PDT 2013 --  Νομικά τερατουργήματα γίνεται άραγε να καταργηθούν με νέα κοινοβουλευτικά ψηφίσματα; πώς χαρίζονται δις σε κάποιους που σήμερα απαιτούν; ΟΧΙ
Mon Oct 28 15:10:51 PDT 2013 --  μόλις διάβασα τα άρθρα του τελευταίου περιοδικού HotDoc για τα σκάνδαλα των ναυπηγείων και θυμήθηκα την κόπρο του Αυγεία, 200 κιλών σήμερα
Mon Oct 21 11:33:14 PDT 2013 --  Ξαφνικά ο δήμαρχος Αθηναίων ανακαλύπτει το μπάχαλο της δημόσιας διοίκησης. Φυσικά τώρα που η υφήλιος κοιτάει τα χάλια μας παίρνουμε μέτρα
Sat Oct 05 10:55:15 PDT 2013 --  Από πότε ένας φυλακισμένος μπορεί να αποφασίζει ποιο συγκάτοικο θα έχει, με ποιον θα προαυλίζεται, τι φαγητό θα τρώει; μασάζ; υπηρέτρια;
Fri Oct 04 15:05:10 PDT 2013 --  ... Next stop, the Greek politics!
Fri Oct 04 15:04:32 PDT 2013 --  You just entered another dimension, a dimension not only of sight and sound but of mind. A journey into a wondrous land of imagination...
Fri Oct 04 09:37:59 PDT 2013 --  Σκάι: σε λίγο τα νέα για το πως πέρασαν το πρώτο βράδυ στο κελί Μιχαλολιάκος και Λαγός. ΕΙΛΙΚΡΙΝΑ ποιον ενδιαφέρει αυτό; Ήμαρτον πια!
Thu Oct 03 11:31:06 PDT 2013 --  Είναι πραγματικά εκπληκτικό πόσα χρόνια πέρασαν για να καταλάβουμε τι κάνει νιάου νιάου στα κεραμίδια.
Thu Oct 03 11:03:30 PDT 2013 --  Δεν ακούγεται κάπως ως σχήμα οξύμωρο Μιχαλολιάκος και Λαγός στη γυναικεία πτέρυγα των φυλακών Κορυδαλλού;
Wed Oct 02 12:14:02 PDT 2013 --  Αν ο κ. Κασιδιάρης συμπεριφέρεται μ' αυτόν τον τρόπο βγαίνοντας από το δικαστήριο με περιοριστικούς όρους, τι θα κάνει αν τελικά αθωωθεί;
Wed Oct 02 12:07:48 PDT 2013 --  Αν ο κ. Κασιδιάρης συμπεριφέρονται έτσι βγαίνοντας από το δικαστήριο απλά με περιοριστικούς όρους, τι θα κάνει αν τυχόν αθωωθεί;
Wed Oct 02 11:01:06 PDT 2013 --  Το πως συμπεριφέρεται η ΧΑ στις κάμερες δε δικαιολογεί αυτά που δεν κάνει η κυβέρνηση. Τα media να μην υποτιμούν την νοημοσύνη μας
Mon Sep 30 10:52:03 PDT 2013 --  Γιατί κάποιοι δημοσιογράφοι συμπεριφέρονται λες καιέχουν ότι έχουν προσληφθεί από την Κύπ ή το FBI;
Sun Aug 18 11:12:49 PDT 2013 --  Νέα στον Skai: 'Παραίτηση' του Στέλιου Σταυρίδη. Η όλη ιστορία φαίνεται καθαρή περίπτωση απόλυσης. Δεν έχουν μάθει τη διαφορά ακόμα κάποιοι;
Sun Apr 14 05:53:26 PDT 2013 --  Καταπληκτική έκθεση παραδοσιακών προϊόντων στην Τεχνόπολη (Γκάζι) @5euro είσοδο.
Fri Feb 22 02:48:30 PST 2013 --  Οι πρωτοφανείς εικόνες καταστροφής από τη σημερινή βροχόπτωση θυμίζουν εκείνες από το τσουνάμι της Ιαπωνίας. Μα πόσο χάλια είμαστε;
Wed Jan 16 00:20:29 PST 2013 --  Σήμερα το πρωί προτιμήστε τη βάρκα ή το μετρό για να κινηθείτε έξω παρά ο,τιδήποτε άλλο.
Tue Jan 15 15:12:58 PST 2013 --  Κάποιοι πληρώνονται υπερβολικά ως ηθοποιοί. Και αυτό με μέτριες επιδόσεις το κάνουν!
Tue Jan 15 13:44:38 PST 2013 --  Πιστεύω η Λαγκάρντ το πήρε το μάθημά της. Την επόμενη φορά το ανεβάζουμε σε cloud, ναι;
Tue Jan 15 15:02:02 PST 2013 --  Ο κος Διώτης με τις επεξηγήσεις του για το stick μάλλον νομίζει ότι όλοι έχουμε το ίδιο πνευματικό επίπεδο: ήτοι του απωλιθωμένου κούτσουρου
