Sat Aug 29 08:58:48 PDT 2015 --  Time for Brendan to go. #LFC
Mon Jul 27 22:07:22 PDT 2015 --  The subtleties of this are brilliant, tacky, over the top and everything I love about Liverpool FC. Two weeks. http://youtu.be/r3ZvpboXIUg 
Sat Jul 25 12:36:48 PDT 2015 --  Jurgen...that line up. You're making it hard to defend you. #USMNT
Thu Jul 23 22:35:05 PDT 2015 --  If you're so into the true damn meaning of the 2nd amendment, trade your guns in for single shot powder loaded rifles. Context right?
Thu Jul 23 21:05:05 PDT 2015 --  How many people have to die? How much suffering do innocent families have to go through? Do you think our "forefathers" had this in mind?
Wed Jul 22 15:10:24 PDT 2015 --  Any place in DT Raleigh to get air in Bike Tires?
Wed Jul 22 09:47:13 PDT 2015 --  Whether you're coming to watch the game or not....any donations would be rad. They are going to local kids for what it's worth.
Wed Jul 22 09:46:33 PDT 2015 --  My group @OCSRaleigh are partnering w/ some friends tonight @londonbridgepub to host a school supplies drive during the #USMNT Gold Cup game
Tue Jul 21 15:46:17 PDT 2015 --  It seems @NewYorkRedBulls fans are currently more interested in fight behind the goal than the PKs going on in front of them @opencup
Mon Jul 20 20:09:48 PDT 2015 --  Last night I Instagram'd a video of Goat struggling up the stairs. Today I fell and busted my ass. Tonight, I hobbled up those same stairs.
Mon Jul 20 20:00:34 PDT 2015 --  I swear to god, don't do it, Altanta. Leave that crap in the shed. Your club tifo has no place at a #USMNT game @ATLUTD
Sun Jul 19 19:58:19 PDT 2015 --  I'd be interested to see how many of these Confederate Flag protestors coming to the capital building are actually Wake county residents. #0
Fri Jul 17 21:03:30 PDT 2015 --  Got me so stoked to see Stevie G so happy after that goal.
Fri Jul 17 20:49:37 PDT 2015 --  Stevie G scoring in his first MLS game...of course.
Thu Jul 16 18:58:37 PDT 2015 --  Finding the "Whine About It" video series by BuzzFeed has been the redeeming part of my week.
Thu Jul 16 10:07:26 PDT 2015 --  My group of hooligan wannabes are cooking a pig in Saturday before the @RailHawksFC . Come hang. pic.twitter.com/kE9XsuBLnJ
Wed Jul 15 22:49:14 PDT 2015 --  Is it not obvious to everyone else that the creepy/dark/amazing bar singer in every epi of this season of True Detective is the killer?
Wed Jul 15 21:25:14 PDT 2015 --  'I wish there was a way to know you're in the good ole days, before you've actually left them. Someone should write a song about that.'
Tue Jul 14 09:05:54 PDT 2015 --  Good riddance. https://twitter.com/lfc/status/620986688630837248 …
Tue Jul 14 06:49:42 PDT 2015 --  Why ya'll getting so excited like Pluto a planet or sumthing? Took 9 long yurs and all ya'll got was a close up picture of some ice.
Mon Jul 13 19:33:12 PDT 2015 --  So, @CONCACAF has hired @naslofficial refs I see. #ShitQuality
Mon Jul 13 19:05:19 PDT 2015 --  Taking in the #USMNT game tonight with @AO_Richmond
Sun Jul 12 22:08:59 PDT 2015 --  Late night Kung fu movies.
Sun Jul 12 19:35:53 PDT 2015 --  People still smoke inside in VA huh?
Sun Jul 12 16:20:22 PDT 2015 --  Discovering this Fat Jewish has a program on Beats 1 is making this trip to Richmond worth it.
Sun Jul 12 13:04:35 PDT 2015 --  I have any friends that still live in Richmond, VA? I'm gonna be here all week.
Sat Jul 11 21:35:47 PDT 2015 --  Once Gyasi gets back, LA are going to dominate the league. Stevie G's brain runs at a different speed than 99% of MLS.
Fri Jul 10 07:23:13 PDT 2015 --  Hendo officially is named Liverpool Captain and then placed on the cover of FIFA 16?! He wins #BestWeekEver
Wed Jul 08 18:30:22 PDT 2015 --  My life right now. Trying to survive. https://twitter.com/ocsraleigh/status/618955108043329538 …
Tue Jul 07 09:57:59 PDT 2015 --  If you don't already, give my project @OCSRaleigh a follow. Our next gathering is tomorrow, come hang. pic.twitter.com/umZzYuZjVd
Sun Jul 05 18:52:37 PDT 2015 --  USMNT over Guatemala, @RailHawksFC over Minnesota, and the #USWNT win the World Cup! #BestWeekend https://twitter.com/ussoccer_wnt/status/617872585070657536 …
Sun Jul 05 18:00:40 PDT 2015 --  Shoutout to @swiley15 and @RyanJabroni repping @AORaleigh on @WRALSportsFan ! pic.twitter.com/MNEmeW9tar
Sun Jul 05 16:23:05 PDT 2015 --  I don't know...like 70' or so minutes from now? #USWNT pic.twitter.com/jkSN2xzP3y
Sun Jul 05 16:15:37 PDT 2015 --  Holy shit...it's only 15 minutes in and we're gonna win the World Cup. I am speechless. #USWNT
Sun Jul 05 11:41:44 PDT 2015 --  Beats 1 plays straight fire. Got me all kinds of hyped to see the #USWNT take home the World Cup tonight.
Sat Jul 04 19:09:05 PDT 2015 --  This sums up my day completely. @RailHawksFC #RAILGATE pic.twitter.com/WlyunMYcIS
Sat Jul 04 07:35:04 PDT 2015 --  Throwing a little party today before the @RailHawksFC game. Come hang. pic.twitter.com/3nSlZ7iFZS
Fri Jul 03 20:04:01 PDT 2015 --  Alright Lebron! https://twitter.com/espnfc/status/617160914089803777 …
Fri Jul 03 17:51:21 PDT 2015 --  I walk in the bar and everyone's like "ARGHH WONDOLOSKI ". Now everyone be like "WONDOLOSKI 🏻"
Fri Jul 03 17:28:29 PDT 2015 --  I walk in the bar and everyone's like "ARGHH TIMMY CHANDLER ". Now everyone be like "TIMMY CHANDLER 🏻"
Wed Jul 01 20:04:10 PDT 2015 --  Anyone who could spare a few hours tomorrow to help me move some furniture would be both greatly appreciated and rewarded. Moving sucks.
Tue Jun 30 18:06:51 PDT 2015 --  So proud of the #USWNT , amazing journey so far: one more game. #3Stars
Mon Jun 29 18:34:01 PDT 2015 --  . @llcoolj is the one man who can save @NYCFC from disaster http://fus.in/1SZ7s9d  pic.twitter.com/nZxN8wLiNB
Mon Jun 29 10:26:32 PDT 2015 --  I would be really stoked if this happened and #LFC were out for Benteke....not the player we need. https://twitter.com/viktorfagerlfc/status/615569320744218624 …
Mon Jun 29 09:16:27 PDT 2015 --  Anyone around on Thursday that could donate 2 or 3 hours to help me move a few pieces of furniture across town? I'll buy you dinner/drinks.
Sun Jun 28 16:48:38 PDT 2015 --  I want you to make the days move easy.
Sun Jun 28 10:15:04 PDT 2015 --  North Carolina's new Anthem: Limp Bizkit's 'Shark Attack'
Thu Jun 25 15:41:50 PDT 2015 --  $623m in monthly revenue and this is the graphic...dope. https://twitter.com/espnfc/status/614199669019668480 …
Tue Jun 23 12:44:59 PDT 2015 --  That Gold Cup roster tho? Interesting...and evening saying that, I can't decide what tone it's in.
Mon Jun 22 15:54:21 PDT 2015 --  Just watched #TrueDetective , not sure why there's all hate. It seems like it has a lot of potential to be a really good season.
Sun Jun 21 20:09:10 PDT 2015 --  Is this a movie? "Leave the yacht, we don't know whose it is"
Sun Jun 21 19:04:22 PDT 2015 --  and somehow I've ended up on a yacht... So...there's that.
Sun Jun 21 14:57:46 PDT 2015 --  Decided to drive to the beach last night. Happy with my decision. Good friends.
Sat Jun 20 08:55:10 PDT 2015 --  Saturday morning...and there's no bacon. I don't know how to cope with this.
Fri Jun 19 16:02:32 PDT 2015 --  You don't get to choose those symbols' historic significance or what they mean to others. It's not helping you be more southern. Give it up.
Thu Jun 18 13:57:26 PDT 2015 --  Thoughts for my brothers to the South. I truly hope we realize that this will never end if we don't take a hard look at gun laws. #Charleston
Wed Jun 17 11:29:37 PDT 2015 --  Tomorrow night! Come hang as we plan out the Fall Season! #UnitingNC @RailHawksFC pic.twitter.com/bNDZchb0ts
Tue Jun 16 08:10:40 PDT 2015 --  Wow Raleigh, literally every bit of this is negative. We just want bikes and free weekend parking...let Raleigh live. http://www.newsobserver.com/news/local/counties/wake-county/article24502081.html …
Mon Jun 15 20:36:20 PDT 2015 --  I literally remember everything about June 19th 2006 when the @NHLCanes won the Stanley Cup. Congrats Blackhawks. Enjoy it.
Sun Jun 14 19:17:06 PDT 2015 --  Screw it. Let the White Walkers kill em all. #GoT
Sun Jun 14 19:08:38 PDT 2015 --  but...but...but...noooooooooooo #GoT
Sun Jun 14 16:02:16 PDT 2015 --  Outta My Head.
Sun Jun 14 12:59:53 PDT 2015 --  Interested in hanging with OCS at a game, #RAILGATE , or viewing party? Hit us up, it's going to be a crazy Fall. pic.twitter.com/ZwrUoPK43Z
Sat Jun 13 18:26:21 PDT 2015 --  Loud Places
Fri Jun 12 17:46:26 PDT 2015 --  'Raleigh isn't a soccer city' Shut yo mouth fool. #USWNT @londonbridgepub pic.twitter.com/vcA1UAcU4p
