Thu Aug 27 20:32:42 PDT 2015 --  The Ryzza Mae na po #ALDUBGettingCLOSER
Wed Aug 26 22:34:36 PDT 2015 --  Lola: Seryoso ka ba kay Maine? ah... kay Yaya Dub. :D Alden: Opo #HappyALDUBWeeksary
Wed Aug 26 22:27:26 PDT 2015 --  Lola Nidora: kinakabahan ako kay yaya kasi, totoo na ang kilig #HappyALDUBWeeksary
Tue Aug 25 00:33:54 PDT 2015 --  #AlDub is coming to the MMFF SEE MORE: http://goo.gl/sjGdQn  via @Spotdotph #ALDUBLOVEONTOP pic.twitter.com/2jBwkaGmBj
Sun Aug 23 22:47:18 PDT 2015 --  Alden: Candy ka ba? Candy's be love I'm feeling right now? Yaya: Corny mo! Alden: Okay lang basta ikaw *hearts* #ALDUBTULOYANGFOREVER
Sun Aug 23 22:41:58 PDT 2015 --  "Seryoso na miss kita- Maine" - @mainedcm "Pwede pa KISS?-Alden" @aldenrichards02 "SIGE" -MM #ALDUBTULOYANGFOREVER pic.twitter.com/vGqeIhRhyQ
Sun Aug 23 22:35:37 PDT 2015 --  *kiss" @aldenrichards02 @mainedcm pic.twitter.com/l8pEcRrUOb
Sun Aug 23 01:21:11 PDT 2015 --  You know what? I wouldn't mind seeing #AlDub every day of the week! #SundayPinaSaya na lang ang kulang! Hmmm... @aldenrichards02 @mainedcm
Sat Aug 22 01:16:42 PDT 2015 --  This </3 pero buti na lang di natuloy ang kasal @aldenrichards02 (IG UPDATE *ctto) #ALDUBAgainstALLODDS pic.twitter.com/p7TnoinfXg
Fri Aug 21 23:42:04 PDT 2015 --  Abangan ang sususnod na kabanata, Hindi natuloy ang kasal ng YAKIE! Yes! #ALDUBAgainstALLODDS pic.twitter.com/nk9bMrPMfA
Fri Aug 21 23:40:53 PDT 2015 --  Alden: "Papatunayan ko kay Lola na ako ang karapat-dapat" #ALDUBAgainstALLODDS pic.twitter.com/NymRgrdqjI
Fri Aug 21 23:28:50 PDT 2015 --  FREEZE! Ngiting tagumpay si Yaya Dub! @aldenrichards02 @mainedcm MAY FOREVER! #ALDUBAgainstALLODDS
Fri Aug 21 21:44:33 PDT 2015 --  Happy Birthday Tito Sen!! @EatBulaga From ALDUB|MAIDEN Nation!!ALDUBYou Sir! #ALDUBAgainstALLODDS pic.twitter.com/Dnp7Xwq7ZS
Thu Aug 20 21:21:35 PDT 2015 --  Lesson Of The Bae (SKB) Selos Ka Bae @aldenrichards02 The smile and dimples tho, Haha #ALDUBKeepTheFaith pic.twitter.com/Wl7MaKvanh
Sun Aug 16 15:23:03 PDT 2015 --  When troubled and uncertain, seek the Lord to lessen the burden. Good morning.
Thu Aug 13 03:47:11 PDT 2015 --  AlDub on 24 Oras Expect niyo na yan mga HanyBaes, Haha #HappyALDUBDay
Wed Aug 12 21:10:53 PDT 2015 --  A question for #AlDubNation! What exactly about #AlDub got you hooked? What made you fall in love with them? Curious talaga ako. @EatBulaga
Wed Aug 12 23:15:24 PDT 2015 --  NGITING PAG-IBIG TAWAG JAN! YIIIIIEEEEE #HappyALDUBDay https://twitter.com/AlDub_LoveTeam/status/631710406684209152 …
Wed Aug 12 23:06:35 PDT 2015 --  SOMEDAY MAGKAKATOTOO DN TOH ! RT GUYS ! hAHAHA #HappyALDUBDay pic.twitter.com/rT79nQMRkk
Wed Aug 12 23:09:24 PDT 2015 --  maalden kanya yaya dub aldub you Alden super Kilig ayyytsss #HappyALDUBDay #KalyeSerye pic.twitter.com/8Hhu9T2Wm7
Wed Aug 12 23:06:07 PDT 2015 --  Wag na magtampo yaya!<3 Mahal ka pa rin niya! #HappyALDUBDay https://twitter.com/EatBulaga/status/631703723727650816 …
Wed Aug 12 23:06:28 PDT 2015 --  AKALA KO MAY KADATE TLGA SI BAE EH!! #HappyALDUBDay https://twitter.com/EatBulaga/status/631702832123543552 …
Wed Aug 12 23:04:36 PDT 2015 --  WIIIEEEEE!! ANG SAYA NG PUSO KO GRABE!! #HappyALDUBDay https://twitter.com/EatBulaga/status/631706282433495040 …
Wed Aug 12 22:58:08 PDT 2015 --  #KiligPaMore #HappyALDUBDay #AlDub pic.twitter.com/JufBaabNiM
Wed Aug 12 23:01:58 PDT 2015 --  ANG DAMING KISSES grabe! hahaha bumawi s sakit ng ating mga puso kahapon! @aldenrichards02 @mainedcm @allanklownz @EatBulaga #HappyALDUBDay
Wed Aug 12 23:01:51 PDT 2015 --  Sobra Nakakakilig si @mainedcm at @aldenrichards02 Bitin ako sa kalye serye #HappyALDUBDay #KalyeSerye pic.twitter.com/uqkIL1J9Zh
Wed Aug 12 23:00:36 PDT 2015 --  Haaaaayyyyy pwede na huminga guys, nakabawi na tau! may date na, mickey & minnie na, may kisses pa! hart hart! #HappyALDUBDay
Wed Aug 12 22:32:31 PDT 2015 --  Offf Muna Nood Lang Ng Kalye Serye #HappyALDUBDay
Wed Aug 12 22:30:04 PDT 2015 --  Bayanihan na guys! Keept watching! #HappyALDUBDay
Wed Aug 12 22:28:44 PDT 2015 --  Ayan EB na! Kalyeserye na, Stop muna sa mga gawain haha, #HappyALDUBDay
Wed Aug 12 22:29:30 PDT 2015 --  Pasanan <3 pic.twitter.com/yLPAPKDYXL
Wed Aug 12 22:28:02 PDT 2015 --  Eat Bulaga na! Juan For All All For Juan na! #HappyALDUBDay
Wed Aug 12 22:11:22 PDT 2015 --  She is one of the "Head turners" in the batch. Yun oh. #HappyALDUBDay pic.twitter.com/b6twqSLLel
Wed Aug 12 19:20:12 PDT 2015 --  Awwww monthsary ng aldub today! #HappyALDUBDay
Wed Aug 12 21:35:14 PDT 2015 --  Go guys Beastmode na mamaya #HappyALDUBDay
Wed Aug 12 21:38:22 PDT 2015 --  Retweet kung manonood ka ng kalyeserye mamaya... #HappyALDUBDay #HappyALDUBDay
Wed Aug 12 22:24:37 PDT 2015 --  AHHAH epekto ng aldub fever ! #HappyALDUBDay https://twitter.com/YayaDubs/status/631697568624279552 …
Wed Aug 12 22:23:37 PDT 2015 --  OMG 29k Followers na ! THANKYOU GUYS KONTING PUSH PA PRA HAPPY 30k na ! Keep in touch aldub nation ! #HappyALDUBDay
Wed Aug 12 22:22:59 PDT 2015 --  Kahit talo ka mahal ka namen @mainedcm ! #HappyALDUBDay
Wed Aug 12 22:21:47 PDT 2015 --  more more nmn sa commercial ! kaynesss ! #HappyALDUBDay
Wed Aug 12 22:17:56 PDT 2015 --  Little Miss Indonesia Rina Dina Mihardja #BulagaPaMore #DabarkadsPaMore #EB36 https://instagram.com/p/6T8AkrC27p/ 
Wed Aug 12 22:16:26 PDT 2015 --  TRENDING UPDATE: #HappyALDUBDay @mainedcm @aldenrichards02 @EatBulaga @tinapperez @allanklownz @AngPoetNyo @gmanews pic.twitter.com/I5V0FpHg7J
Wed Aug 12 22:16:06 PDT 2015 --  Ayan na! Next na! Juan For All All For Juan na! #HappyALDUBDay
Wed Aug 12 22:14:14 PDT 2015 --  @MaineAlden16 Lucky in love but unlucky in something else. #HappyALDUBDay
Wed Aug 12 21:36:43 PDT 2015 --  ANG SINAUNNG LALAKI, MARUNONG MAGHINTAY SA TAMANG PANAHON, MASIPAG, MATIYAGA AT DI NAGMAMADALI #HappyALDUBDay pic.twitter.com/Kq5pXehja9
Wed Aug 12 22:09:11 PDT 2015 --  AY BKT NANALO SI HBD GIRL AMPOTA PANO YUNG PERFORMANCE NI YAYA SA SABADO ? #HappyALDUBDay
Wed Aug 12 22:08:48 PDT 2015 --  Yan Tayo https://twitter.com/Boy_Hugots/status/631693502095753216 …
Wed Aug 12 22:07:27 PDT 2015 --  Lahat ng bagay dapat pinaghihirapan, lahat ng bagay dapat pinagsusumikapan at lahat ng bagay may tamang panahon
Wed Aug 12 22:04:59 PDT 2015 --  That Okey Yaya Dub Para Samen Ikaw Ang Panalo #HappyALDUBDay
Wed Aug 12 21:59:14 PDT 2015 --  Ano bayan Talo si Yaya Dub #AlDubMaybeThisTime #HappyALDUBDay
Wed Aug 12 21:51:53 PDT 2015 --  Si Yaya dub na Mananalo #AlDubMaybeThisTime
Wed Aug 12 21:49:19 PDT 2015 --  Excited Lang sa Kalye Serye #AlDubMaybeThisTime
