Sat Aug 29 02:14:49 PDT 2015 --  The power of UNITY! #ALDUBMaiDenHeaven pic.twitter.com/2OE4nf3oOs
Fri Aug 28 22:26:11 PDT 2015 --  Ang pinakamaganda sa mgkakapatid! Haha si Lola TiDora! #ALDUBMaiDenHeaven pic.twitter.com/Y04W2e41sx
Fri Aug 28 22:24:02 PDT 2015 --  Asan ang ina ni Yaya?-Tidora #ALDUBMaiDenHeaven
Fri Aug 28 22:24:11 PDT 2015 --  NASAAN ANG INA NI YAYA? -TIDORA #ALDUBMaiDenHeaven
Fri Aug 28 22:24:12 PDT 2015 --  ZOOMBAE: Mga bodyguards ni Tinidora. hahaha #ALDUBMaiDenHeaven
Fri Aug 28 22:24:38 PDT 2015 --  BWAHAHAHAHA!!! Go #AlDubNation! #AlDubMAIDENheaven https://instagram.com/p/69JgfmCVC7/ 
Fri Aug 28 22:17:51 PDT 2015 --  Nagpapanic na raw si Lola NiDora ayon kay Lola TiDora #ALDUBMaiDenHeaven
Fri Aug 28 22:18:09 PDT 2015 --  Tinidora entrance with QUANDO QUANDO QUANDO #ALDUBMaiDenHeaven
Fri Aug 28 22:18:18 PDT 2015 --  Entering Lola TiNidora #ALDUBMaiDenHeaven
Fri Aug 28 22:18:24 PDT 2015 --  Ang wild ni TINIDORA. #ALDUBMaiDenHeaven
Fri Aug 28 22:20:46 PDT 2015 --  BERNARDOS VS. QUANDOS #ALDUBMaiDenHeaven
Fri Aug 28 22:16:24 PDT 2015 --  Tidora with Bernardo Bernardo Bernardo ! Sn kaya sila yayadub ? #ALDUBMaiDenHeaven
Fri Aug 28 22:16:36 PDT 2015 --  Si Lola TiDora ang mas naalagaan ng husto sa kanilang magkakapatid HAHAHA #ALDUBMaiDenHeaven
Fri Aug 28 22:16:39 PDT 2015 --  Hahahahaahahaha!!!! Nadulas na si LOLA TIDORA!!!! #ALDUBMaiDenHeaven
Fri Aug 28 22:16:50 PDT 2015 --  Oh diba! Bawal banggitin ang Barangay! #ALDUBMaiDenHeaven
Fri Aug 28 22:16:56 PDT 2015 --  Power of forever ! Maiden pa more ! #ALDUBMaiDenHeaven
Fri Aug 28 22:17:01 PDT 2015 --  Sta.Cruz Manila?! #ALDUBMaiDenHeaven
Fri Aug 28 22:17:08 PDT 2015 --  Asan kaya tlga sila ? #ALDUBMaiDenHeaven
Fri Aug 28 22:17:27 PDT 2015 --  Hahaha Ganda talaga ni Tidora!! #ALDUBMaiDenHeaven
Fri Aug 28 22:01:04 PDT 2015 --  RT SA MGA ALDUBARKADS NA NAG AABANG!YAHOOOOO!!! #ALDUBMaiDenHeaven
Fri Aug 28 22:04:25 PDT 2015 --  TWEET PA MORE MGA ALDUBARKADS. #ALDUBMaiDenHeaven @aldenrichards02 @mainedcm @EatBulaga @AngPoetNyo @allanklownz pic.twitter.com/4ALAwgMIpT
Fri Aug 28 22:05:24 PDT 2015 --  Inspired eh. #ALDUBMaiDenHeaven
Fri Aug 28 22:05:25 PDT 2015 --  1.35M na tau mga Hany and Bae's abutin ntin hanggang 2M haha! Power tweet lng guys!! #ALDUBMaiDenHeaven pic.twitter.com/42sG4ogn1e
Fri Aug 28 22:05:53 PDT 2015 --  #joeletics #ALDUBMaiDenHeaven https://twitter.com/freacyrdrgz_/status/637491084046782464 …
Fri Aug 28 22:08:23 PDT 2015 --  Pati ata mga audience sa broadway kinakabahan! ang tahimik eh #ALDUBMaiDenHeaven
Fri Aug 28 22:09:12 PDT 2015 --  Dont mind the bashers! Goodvibes tayo. #ALDUBMaiDenHeaven
Fri Aug 28 22:09:30 PDT 2015 --  Dont forget to use OUR OFFICIAL HASHTAG FOR TODAY! #ALDUBMaiDenHeaven GO FOR TWO MILLION TWEETS! WOOT-WOOOOOOOT! pic.twitter.com/whWILiNYVn
Fri Aug 28 22:09:35 PDT 2015 --  TOP SPOT NW and AT NUMBER 5 WW #ALDUBMaiDenHeaven @aldenrichards02 @mainedcm @EatBulaga @AngPoetNyo @allanklownz pic.twitter.com/AIu1mfvcYc
Fri Aug 28 22:09:54 PDT 2015 --  Relax Aldubnation! Tweet na lang tayo! #ALDUBMaiDenHeaven
Fri Aug 28 22:10:08 PDT 2015 --  Juan for all na #ALDUBMaiDenHeaven
Fri Aug 28 22:10:30 PDT 2015 --  JUAN FOR ALL, ALL FOR JUAN NA!!!!!!! #ALDUBMaiDenHeaven
Fri Aug 28 21:03:59 PDT 2015 --  Bae Alden's OOTD. Kagwapo talaga! #ALDUBMaiDenHeaven https://instagram.com/p/69ARofL6IA/ 
Fri Aug 28 20:56:48 PDT 2015 --  Di pa nga pumapatak ang alas dose one million na agad??? EH DI WOW #ALDUBMaiDenHeaven
Fri Aug 28 21:05:09 PDT 2015 --  @aldubmaiden @lettemercado @aldenrichards02 @mainedcm @EatBulaga #ALDUBMaiDenHeaven
Fri Aug 28 21:05:26 PDT 2015 --  Ang gwapo ang hot!! Grabe talaga! #ALDUBMaiDenHeaven pic.twitter.com/spfYEvOU3B
Fri Aug 28 21:05:51 PDT 2015 --  ITwiklay-twiklay mo yan Bae @aldenrichards02 Handsome as always, #ALDUBMaiDenHeaven pic.twitter.com/KtbbdAOmt3
Fri Aug 28 21:07:33 PDT 2015 --  Sinong di makahinga sa performance ni Bae @aldenrichards02 ? Haha Kami din eh, STAND BY RED CROSS #ALDUBMaiDenHeaven
Fri Aug 28 21:06:02 PDT 2015 --  RT if you're fan of MAINE MENDOZA. FAV. if you're fan of ALDEN RICHARDS. #ALDUBMaiDenHeaven
Fri Aug 28 21:08:28 PDT 2015 --  Kung si Bae ba naman ang sasayaw sa harap ko ai jusme hihimatayin ata ako. #ALDUBMaiDenHeaven pic.twitter.com/wseyblxvUj
Fri Aug 28 21:10:11 PDT 2015 --  TOP SPOT PA RIN PO #ALDUBMaiDenHeaven @aldenrichards02 @mainedcm @EatBulaga @allanklownz @AngPoetNyo pic.twitter.com/vlpoaDiAiW
Fri Aug 28 21:14:35 PDT 2015 --  @allanklownz pls po sana mag kita na sila qouta na ang eyebags namin hahha #ALDUBMaiDenHeaven
Fri Aug 28 21:20:00 PDT 2015 --  Nawawala sa sarili si Bae @aldenrichards02 Hahahahaha! #ALDUBMaiDenHeaven
Fri Aug 28 21:20:11 PDT 2015 --  Beast mode talaga? 1 million tweets agad agad! #ALDUBMaiDenHeaven
Fri Aug 28 21:14:37 PDT 2015 --  @AkoSiLolaNidora LOLA SAN GALING YUN? HAHAHA MORE !! @aldenrichards02 @mainedcm @allanklownz @AngPoetNyo @EatBulaga #ALDUBMaiDenHeaven
Fri Aug 28 21:14:39 PDT 2015 --  @ALDUBNationOFC huwaw nmn umaatake n nmn ... boss @AngPoetNyo mami @allanklownz - help! #ALDUBMaiDenHeaven
Fri Aug 28 21:15:08 PDT 2015 --  #ALDUBMaiDenHeaven dahil sa Aldub, nahilig ako magtweet. ^^ @EatBulaga @aldenrichards02 @mainedcm @allanklownz
Fri Aug 28 21:15:08 PDT 2015 --  GUYS, DO NOT EXPECT ANYTHING FROM TODAY'S EPISODE, MAGING HAPPY LANG TAYO SA KUNG ANO MANG MNGYAYARI NGAYON. @allanklownz #ALDUBMaiDenHeaven
Fri Aug 28 21:21:16 PDT 2015 --  @mainedcm READY DRUM DRUM DRUM SING... #ALDUBMaiDenHeaven CTTO pic.twitter.com/Ltz6Squ8wO
Fri Aug 28 21:21:19 PDT 2015 --  That's My Bae na po, Watch na guys, #ALDUBMaiDenHeaven
Fri Aug 28 21:21:32 PDT 2015 --  Top spot! #ALDUBMaiDenHeaven pic.twitter.com/Q4IviQGkOw
Fri Aug 28 21:22:13 PDT 2015 --  Off n off daw c bae!! Dahil b kay @mainedcm ..hahaha #ALDUBMaiDenHeaven pic.twitter.com/qIOhj7wXXH
Fri Aug 28 20:36:01 PDT 2015 --  Exciting ang mga mangyayari sa @EatBulaga #ALDUBMaiDenHeaven
Fri Aug 28 20:36:09 PDT 2015 --  That's My Bae Grand Finals #ALDUBMaiDenHeaven
Fri Aug 28 20:36:15 PDT 2015 --  WE'RE NOT YET DONE GUYS! WE'RE JUST STARTING!! LET'S GO ALDUB NATIONS! #ALDUBMaiDenHeaven
Fri Aug 28 20:36:48 PDT 2015 --  One million tweets #ALDUBMaiDenHeaven pic.twitter.com/mKU7AXfj9N
Fri Aug 28 20:36:56 PDT 2015 --  Daming tao sa Broadway! #ALDUBMaiDenHeaven
Fri Aug 28 20:39:21 PDT 2015 --  HAPPY ONE MILLION TWEETS #ALDUBMaiDenHeaven pic.twitter.com/cK4zuB9Wqs
Fri Aug 28 20:37:38 PDT 2015 --  TOP SPOT with ONE MILLION Tweets!!! whooohhhh! Start pa lang ng EB yan ah!!! #ALDUBMaiDenHeaven
Fri Aug 28 20:37:45 PDT 2015 --  POwer tweet #ALDUBMaiDenHeaven
Fri Aug 28 20:37:02 PDT 2015 --  Happy one million tweets AlDubarkads. We did it. #ALDUBMaiDenHeaven
Fri Aug 28 20:38:52 PDT 2015 --  Eat Bulaga na. That's my Bae! goodluck mga bae! #ALDUBMaiDenHeaven @EatBulaga worth na panuorin
Fri Aug 28 20:41:18 PDT 2015 --  Bayanihan na Hindi pinakita yung name ng Barangay! #ALDUBMaiDenHeaven
Fri Aug 28 20:41:28 PDT 2015 --  Nasa BROADWAY si @michaelbitoygma hmmm #ALDUBMaiDenHeaven
Fri Aug 28 20:40:37 PDT 2015 --  RETWEET FOR ALDUB FAVORITE IF YOU LOVE MAINE AND ALDEN. #ALDUBMaiDenHeaven
Fri Aug 28 20:40:02 PDT 2015 --  1.04 Million na #ALDUBMaiDenHeaven pic.twitter.com/We31BsjzNB
Fri Aug 28 20:40:55 PDT 2015 --  Eto na ang araw araw na kasalo natin sa tanghalian. :) Mga Aldubarkads EAT BULAGA NA! @EatBulaga @allanklownz #ALDUBMaiDenHeaven ♡♡♡
Fri Aug 28 20:43:00 PDT 2015 --  Hahahaha! Napansin mo yun? Hahahaha! Hayaan mo siya, busy ako ngayun magtweet. Haha. #ALDUBMaiDenHeaven https://twitter.com/TidoraExplorer/status/637469780975353857 …
Fri Aug 28 20:43:05 PDT 2015 --  "Hindi ako Embalsamador, Hindi ako Seputorero, pero patay na patay ako sa iyo." @michaelbitoygma #ALDUBMaiDenHeaven
Fri Aug 28 20:43:53 PDT 2015 --  AMAZING! WE HAVE REACHED ONE MILLION TWEETS! CONGRATS! @aldenrichards02 @mainedcm @EatBulaga #ALDUBMaiDenHeaven pic.twitter.com/m5YIEa0cbj
Fri Aug 28 20:44:18 PDT 2015 --  Infinity and Beyond #ALDUBMaiDenHeaven pic.twitter.com/MthIvxR3t3
Fri Aug 28 20:44:02 PDT 2015 --  THIS IS THE DAY THAT THE LORD HAS MADE WE WILL REJOICE AND BE GLAD ON IT! SPREAD THE LOVE ALDUB! @mainedcm #ALDUBMaiDenHeaven
Fri Aug 28 20:05:09 PDT 2015 --  I KNOW WE CAN DO THIS!!KAYA NATIN 'TO! #ALDUBMaiDenHeaven
Fri Aug 28 20:04:37 PDT 2015 --  NO EMOJIS NO NUMBERS NO MULTIPLE HT NO WRONG HT NO POLL LINKS NO TO SPAMMING YES TO ALDUB|MAIDEN #ALDUBMaiDenHeaven
Fri Aug 28 20:04:31 PDT 2015 --  HOW MANY RTs FOR OUR " FUTURE COUPLE " ? @aldenrichards02 @mainedcm MR & MRS FAULKERSON #ALDUBMaiDenHeaven pic.twitter.com/6D57uGXn8Q"
Fri Aug 28 20:06:19 PDT 2015 --  MaALDEN KITA :) #ALDUBMaiDenHeaven pic.twitter.com/uzCvgGwdf0
Fri Aug 28 20:05:05 PDT 2015 --  Three k tweets away from nine hundred k tweets!! :) #ALDUBMaiDenHeaven -Ij
Fri Aug 28 20:05:00 PDT 2015 --  Eighty Eight K nalang, One Million na POWER TWEET pa guys. #ALDUBMaiDenHeaven
Fri Aug 28 20:08:39 PDT 2015 --  Broadway's Crowd #ALDUBMaiDenHeaven pic.twitter.com/hynYMgvXex
Fri Aug 28 20:11:49 PDT 2015 --  926k tweets as of 11:11AM #ALDUBMaiDenHeaven
Fri Aug 28 20:12:26 PDT 2015 --  Maya maya Irecord niyo na ha #ALDUBMaiDenHeaven pic.twitter.com/69LDGE9Stb
Fri Aug 28 20:14:46 PDT 2015 --  Ayan lola nabili niya na lahat! Ready to deliver na! Haha @aldenrichards02 #ALDUBMaiDenHeaven pic.twitter.com/SC5eovksCq
Fri Aug 28 20:15:43 PDT 2015 --  THIRD SPOT #ALDUBMaiDenHeaven TWEET PA MORE MGA MAIDENALDUBARKADS @aldenrichards02 @mainedcm @EatBulaga @AngPoetNyo pic.twitter.com/HLKKhIZDwJ
Fri Aug 28 20:16:57 PDT 2015 --  942k na #ALDUBMaiDenHeaven lapit ng 1M... Aga aaah... pic.twitter.com/q4BLe4mG9K
Fri Aug 28 20:18:32 PDT 2015 --  Ilang minutes na lang po @EatBulaga na. Tutok lang mga Aldubarkads. -aibs #ALDUBMaiDenHeaven
Fri Aug 28 20:10:32 PDT 2015 --  ILANG RT PARA KAY ULTIMATE BAE? daliiiii para 1m before EB :) @officialaldub16 @AkoSiLolaNidora #ALDUBMaiDenHeaven pic.twitter.com/yvvcCWDCvl
Fri Aug 28 20:16:34 PDT 2015 --  Practice. Kelan kaya magpeperform! Weeeeeeee #ALDUBMaiDenHeaven @officialaldub16 @Maiden76658676 @MaineAlden16 pic.twitter.com/n6fB4EjvJo
Fri Aug 28 20:17:46 PDT 2015 --  When you stop chasing the wrong things you give the right things a chance to catch you #ALDUBMaiDenHeaven
Fri Aug 28 20:17:45 PDT 2015 --  942K TWEETS NA! WORLDWIDE TRENDS NARIN POWER TWEET NA! #ALDUBMaiDenHeaven RT & SPREAD pic.twitter.com/LgExtBJlqx
Fri Aug 28 20:17:32 PDT 2015 --  Fifty eight thousand more and we will reach one million. #ALDUBMaiDenHeaven
Fri Aug 28 20:20:02 PDT 2015 --  KAYA NATIN 'TO GUYS!ALDUBYOU!! #ALDUBMaiDenHeaven
Fri Aug 28 20:20:11 PDT 2015 --  KONTING PUSH PA!HAHAHAHA! #ALDUBMaiDenHeaven
Fri Aug 28 19:37:47 PDT 2015 --  Ang sarap naman niyan bae! Haha sige lang bili pa more! @mainedcm @aldenrichards02 #ALDUBMaiDenHeaven © pic.twitter.com/Gt21Ys0wqR
Fri Aug 28 18:01:25 PDT 2015 --  Cutiee patootie sweetie pie <3 #ALDUBMaiDenHeaven pic.twitter.com/4o9eq8g8jm
Fri Aug 28 18:08:11 PDT 2015 --  SPARTANS DAYS KO #ALDUBMaiDenHeaven pic.twitter.com/7Oy28XC99a
Fri Aug 28 18:07:13 PDT 2015 --  If you hold back your feelings because you are afraid of getting hurt, you end up hurting anyway. #ALDUBMaiDenHeaven
Fri Aug 28 18:03:31 PDT 2015 --  "Kunin mo na ang lahat sa akin,wag lang ang aking mahal @aldenrichards02 "Birit pa more! @mainedcm #ALDUBMaiDenHeaven pic.twitter.com/VoCkC88De3
Fri Aug 28 18:13:22 PDT 2015 --  THREE HUNDRED K PLUS TWEETS NALANG!!PUSH PA MORE!!! #ALDUBMaiDenHeaven
Fri Aug 28 18:09:03 PDT 2015 --  Here’s one of my all time favourite quotes “You laugh because I’m different, I laugh because you’re all the same” #ALDUBMaiDenHeaven
Fri Aug 28 18:10:09 PDT 2015 --  It is better to have lost a lover, then be in love with a loser. #ALDUBMaiDenHeaven
Fri Aug 28 18:15:37 PDT 2015 --  Yaya Dub #ALDUBMaiDenHeaven pic.twitter.com/0m7rluewP4
Fri Aug 28 18:15:50 PDT 2015 --  "Bakit di nalang totohanin ang lahat, @aldenrichards02 " Birit Pa More. @mainedcm ABANGAN! (CTTO) #ALDUBMaiDenHeaven pic.twitter.com/wzy48FWCbA
Fri Aug 28 18:14:24 PDT 2015 --  TRENDING UPDATE Two hours before @eatbulaga #ALDUBMaiDenHeaven pic.twitter.com/klq72qpFMx
Fri Aug 28 18:14:31 PDT 2015 --  almost seven hundred thousand tweets na guys malapit na one milyon pusshhhh!! #ALDUBMaiDenHeaven
Fri Aug 28 18:17:46 PDT 2015 --  ANG IMPORTANTE MAPAKILIG TO THE BONES NANAMAN TAYO NG DALAWANG ITO!OW EM GEE @mainedcm at @aldenrichards02 #ALDUBMaiDenHeaven
Fri Aug 28 18:17:56 PDT 2015 --  Her Smile #ALDUBMaiDenHeaven pic.twitter.com/kW7OyfMJ5P
Fri Aug 28 18:16:24 PDT 2015 --  POWER TREND TO ONE MILLION ALDUB NATIONS #ALDUBMaiDenHeaven
Fri Aug 28 18:16:40 PDT 2015 --  And girl you leave me breathless. #ALDUBMaiDenHeaven
Fri Aug 28 18:14:42 PDT 2015 --  Now Playing: Somewhere Only We Know By @mainedcm pampaganda ng umaga :) #ALDUBMaiDenHeaven
Fri Aug 28 18:14:59 PDT 2015 --  Parang nangyari na to last Saturday ah! 664K tweets as of 9:13AM! #ALDUBMaiDenHeaven pic.twitter.com/SwcfmDvIy4
Fri Aug 28 18:19:34 PDT 2015 --  (Ctto) Drums pa more menggay! Hahahaha go go go! #ALDUBMaiDenHeaven @mainedcm pic.twitter.com/j2DApFg1r8
Fri Aug 28 18:19:13 PDT 2015 --  WHERE IT ALL STARTED . . REMEMBER HOW YOU FELT WHEN YOUR CRUSH FINALLY NOTICED YOU? =) #ALDUBMaiDenHeaven https://vine.co/v/eIZDIEm0LbX "
Fri Aug 28 18:02:13 PDT 2015 --  Keep on tweeting guys! #ALDUBMaiDenHeaven pic.twitter.com/EOax0fCKCw
Fri Aug 28 17:58:01 PDT 2015 --  Thank you AlDubarkads! Admin Chilli Sweet is signing off in few minutes... Up next admin MNO. Keep on tweeting! #ALDUBMaiDenHeaven
Fri Aug 28 10:30:31 PDT 2015 --  One two seven k Load after three min One four six k Load after three min One five eight k, beastmodepamore! #ALDUBMaiDenHeaven
Fri Aug 28 17:58:38 PDT 2015 --  PSYCHOLOGISTS BELIEVE THAT THE MORE 2 PEOPLE ARE IN LOVE THE MORE THEY SHOW GENUINE SMILES IN EACH OTHERS COMPANY. @mainedcm @aldenrichards02
Fri Aug 28 18:10:09 PDT 2015 --  Maya maya kami magpost ng mga kilig videos. Haha #ALDUBMaiDenHeaven
Fri Aug 28 18:05:22 PDT 2015 --  400k tweets nalang ang kulang para 1M na!! <3 #ALDUBMaiDenHeaven
Fri Aug 28 17:14:15 PDT 2015 --  POWER TWEET TO ONE MILLION BAGO MAG EB, ALDUB NATIONS #ALDUBMaiDenHeaven
Fri Aug 28 17:37:53 PDT 2015 --  Isang Maine Mendoza na naman ba ang makikita natin mamaya? Ako gusto ko, kayo? -AD #ALDUBMaiDenHeaven
Fri Aug 28 17:39:54 PDT 2015 --  Ang tunay na maganda,nd takot mag wacky. How many RT for this TB pics of yaya dub? #ALDUBMaiDenHeaven ctto pic.twitter.com/P1w5FN2nUS"
Fri Aug 28 17:42:36 PDT 2015 --  : One of the most important traits of a successful person in any area of life, is that they are very open-minded. #ALDUBMaiDenHeaven"
Fri Aug 28 17:42:35 PDT 2015 --  Beastmood Activated ! #ALDUBMaiDenHeaven
Fri Aug 28 17:43:47 PDT 2015 --  AMEN #ALDUBMaiDenHeaven pic.twitter.com/hayXmjVgi9
Fri Aug 28 17:42:25 PDT 2015 --  Advisory: all ALDUB Nation are advised to eat their breakfasts before nine AM. Twitter party starts at nine. Thank you! #ALDUBMaiDenHeaven"
Fri Aug 28 17:52:45 PDT 2015 --  Goodmorning guys! Buhay na katawang lupa ko para magtweet! Spread the love! Let's to this! #ALDUBMaiDenHeaven - Nix pic.twitter.com/aqMlONWMde
Fri Aug 28 17:53:24 PDT 2015 --  MAGSAMA SAMA LAHAT NG ALDUB NATIONS!YAHOOOOOO!! #ALDUBMaiDenHeaven
Fri Aug 28 17:51:42 PDT 2015 --  Keep Tweeting guys! #ALDUBMaiDenHeaven
Fri Aug 28 17:55:08 PDT 2015 --  Crossing my fingers din. Haaaay. #ALDUBMaiDenHeaven https://twitter.com/pinkaldub/status/637427303446740992 …
Fri Aug 28 17:59:57 PDT 2015 --  AY OH..WALANG NAGPAPARAMDAM SAKANILANG DALAWA!NAEEXCITE NA TULOY AKO!HAHAHAHA! #ALDUBMaiDenHeaven
