Wed Aug 26 18:25:13 PDT 2015 --  How to become a Victoria's Secret Angel http://twitter.com/TweetLikeAGirI/status/410607343160684544/photo/1pic.twitter.com/rWHjJ62bHt 
Thu Feb 05 11:40:02 PST 2015 --  " @no_rookie: Jus finished reading the 10 commandments. And not even one says we should give these girls money."
Thu Feb 05 11:51:16 PST 2015 --  To be relevant in Twitter u gottah follow all the wrong tweeps
Wed Jan 14 10:14:26 PST 2015 --  LMAO" @derroh_: SMH "@_ZAWADII: Crazyy women.LMAOOOOOO" @Joe_krak: These females I follow tho...LMAO pic.twitter.com/QnsT8FV2Sd""
Mon Jan 26 20:32:18 PST 2015 --  hahaha RT @Kips_Manu: LMFAO @kenyan_dude: Lol! "@1HezzyMocha: HAHAHAHAHA pic.twitter.com/NoRlK2pVvV"""
Tue Feb 03 10:06:03 PST 2015 --  LMAOO RT @C_NyaKundiH: Ukienda interview waone Cert imeandikwa " Nairobi aviation " pic.twitter.com/rFnLF9yltq
Tue Feb 03 23:35:22 PST 2015 --  LMAOO RT @dEDzombo: lol " @Sallyfab: ��������� pic.twitter.com/GEBjNH6KPO"
Thu Feb 05 11:38:16 PST 2015 --  N I follow none than them... Does that make me one
Thu Feb 05 11:37:06 PST 2015 --  A hypocrite is worse than a killer.....
Mon Feb 02 09:12:43 PST 2015 --  Former president of Botswana F. Mogae:"When a president stay too long they loose their vision,betray their mission and destroy their legacy"
Fri Jan 30 12:46:23 PST 2015 --  Mugabe as AU Chairman is a TRIUMPH to Africanness. VIVA MUGABE! Sorry for Africans who "...lamba lamba matako ya wazungu" (Jomo Kenyatta)
Fri Jan 30 08:16:18 PST 2015 --  Lmao " @Nuwaha17: LOOOOOOOOL pic.twitter.com/bM0v5TAkVD"
Fri Jan 16 00:44:33 PST 2015 --  Lmfao who did this pic.twitter.com/ij5RWMAuzB
Wed Jan 14 09:49:41 PST 2015 --  Condoms don't guarantee safe sex anymore. A guy was wearing Gold Circle Condom when he got shot by the woman's husband. @ComedyCentralKE
Fri Jan 09 11:48:47 PST 2015 --  That moment when the elders in the family start blaming each other...u've got to love family dramma.
Fri Jan 09 11:30:02 PST 2015 --  "Every lady ain't no hoe and every bitch ain't no queen." - J. Cole
Wed Dec 17 22:06:42 PST 2014 --  Nvr hold ur FART in ur Ass. They travel up ur spine, into ur brain n dats where u get shitty ideas from So blast to glory. @ComedyCentralKE
Fri Oct 31 08:40:03 PDT 2014 --  If you have a side bitch without getting caught.. Your gf is cheating too
Mon Oct 20 00:52:13 PDT 2014 --  Scholars and leaders pay tribute to Prof Ali #Mazrui http://ow.ly/D0PVk  pic.twitter.com/LJsIGezQBr
Sun Oct 19 12:13:03 PDT 2014 --  pic.twitter.com/IYux5AvLPJ
Sun Oct 19 22:13:40 PDT 2014 --  S/O to all the beautiful East African girls.
Sat Oct 18 08:56:23 PDT 2014 --  That nigga that only on the team because his dad is the head coach pic.twitter.com/ObDTt5OX0C
Fri Aug 15 12:30:05 PDT 2014 --  Humans are the only creatures on earth that will cut down trees, make paper and then write "SAVE TREES" on them.
Wed Oct 15 07:54:57 PDT 2014 --  Using a 4g cellphone in a shitty network sucks AF. #struggle
Wed Oct 15 01:10:51 PDT 2014 --  Gambling drives millions to criminally brutalize their community in order to scrape up funds for the casino Gods.
Wed Oct 15 01:13:17 PDT 2014 --  Religious institutions are frauds that want you to believe in the fraud known as 'mbegu'
Wed Oct 15 01:15:26 PDT 2014 --  Voting for capitalist parties will not change the world. It in fact reinforces the power of the capitalist class.
Wed Oct 15 01:10:24 PDT 2014 --  Sex without condoms is really magical. A baby appears and the daddy disappears! Bam! @comedycentralke
Sat Oct 11 20:30:06 PDT 2014 --  OH MY GAWD pic.twitter.com/KkR8yUFub8
Sat Oct 11 20:30:10 PDT 2014 --  You are what you #eat #Life #health #fitness #tips pic.twitter.com/e2TEzsK231
Sat Oct 11 07:30:15 PDT 2014 --  Coincidence ?? pic.twitter.com/fCXntIRsuX
Sat Oct 11 07:30:19 PDT 2014 --  Straight from the #Archives @musyokask: #Timeyetu kwenda shags pic.twitter.com/xfvYVF5YGK
Sat Oct 11 06:45:30 PDT 2014 --  Some of these relationships are built on alcohol, sefies,social media and turning up... NOMB though..
Sat Oct 11 06:49:08 PDT 2014 --  This bedroom! . pic.twitter.com/1ZtO6ZJ4uE
Thu Oct 09 22:20:07 PDT 2014 --  pic.twitter.com/T4V1ut1nDO
Thu Oct 09 08:46:57 PDT 2014 --  Unadhani finally umeangukia job, unaomba suti ya interview kufika unapata kumbe ni watu wa GNLD
Thu Oct 09 08:53:02 PDT 2014 --  Fear is what stops you... courage is what keeps you going. -Unknown
Wed Oct 08 05:13:18 PDT 2014 --  WOW! “ @jacksonjaxo: This is the rarest photo I have ever seen via @LeftistPolitics pic.twitter.com/AjBVKDF9zS”
Thu Oct 09 09:03:43 PDT 2014 --  retweets si pesa RT @adrUnited: Why is my bank account empty?
Thu Oct 09 09:04:34 PDT 2014 --  Hahahaha #dead# rt. @itsAdaora
Wed Sep 24 00:30:03 PDT 2014 --  don’t start an argument with a girl because they all have 45030194 GB memories and will bring up something you did at 14:27PM on 23/04/2008
Thu Oct 02 16:49:15 PDT 2014 --  White Woman Suing Sperm Bank For Giving Her A Black Man's Sperm: http://youtu.be/7qA5pVtoeOQ?a  via @YouTube
Thu Oct 02 15:12:35 PDT 2014 --  The fishiest pic.twitter.com/T8XBFvBURr
Mon Sep 29 02:24:20 PDT 2014 --  At the end of the day it's all about making yourself happy
Sun Sep 28 16:57:39 PDT 2014 --  “ @Montana_Manning: Don't let it. Don't pic.twitter.com/ntehE3NB0q”
Sun Sep 28 17:35:05 PDT 2014 --  best selfie of all time pic.twitter.com/IVmvHAYLFn
Sun Sep 28 18:00:11 PDT 2014 --  when you open a bag of chips and its all air pic.twitter.com/8GshI6aWVo
Sun Sep 28 14:09:11 PDT 2014 --  @you_sou_fou you can..But instead of creating more sitting space, you will actually reduce the space. unless you are using diff measurements
Sun Sep 28 08:36:39 PDT 2014 --  Remodeled to what?.." @you_sou_fou: @Milly_ems pic.twitter.com/GBkxwxyWdZ"
Sun Sep 28 06:33:03 PDT 2014 --  the scariest thing about thinking about someone so much is that you’ll never know whether they think about you at all
Sat Sep 27 13:57:06 PDT 2014 --  i struggle between wanting to stay up late and wanting extra hours of sleep
Sat Sep 27 14:20:28 PDT 2014 --  RT for this beautiful house with a great view . pic.twitter.com/zUeJ9kWeQE
Fri Sep 26 02:56:18 PDT 2014 --  she can't divorce that tattoo tho pic.twitter.com/4Hm8ZzJQJt
Mon Sep 22 16:54:46 PDT 2014 --  20 years ago today, the first episode of Friends aired pic.twitter.com/1eTPwv2UGH
Tue Sep 09 21:52:10 PDT 2014 --  L☹L " @SameOldNigguh: Lol RT @thandiwear: Lmfao" @SelfMadeChizBoy: lmfao " @souldeity: Lmao..Dear iPhone 6 Users!! pic.twitter.com/OjR3QFBQBJ"""
Thu Sep 18 21:43:10 PDT 2014 --  Omg lmfao " @SameOldNigguh: Lmao RT @HOT_DOG_700: LMFAO" @RoyalNele_XO: Hayi mahn " @vyraskalilitha: Yhooo yhoooooo pic.twitter.com/ytMv3JVDL2""""
Mon Sep 22 13:16:02 PDT 2014 --  “ @Mike_marshall17: " @Lito_b_ : oomf is only 20 but looking like a mother of 5... thats NOMB though" pic.twitter.com/Q1lGfhUg4W”lol
Sat Sep 27 07:03:07 PDT 2014 --  What? I can't see any attachments " @you_sou_fou: Can this be remodeled @Milly_ems"
Sat Sep 27 11:51:18 PDT 2014 --  “ @you_sou_fou: Dont I dont follow football can we discuss pets rt. @Lito_b_”sure thing :)
Sat Sep 27 11:53:37 PDT 2014 --  ok i have nothing ya'll are interested in... wonder wat ur interested in though
Sat Sep 27 12:04:44 PDT 2014 --  Ok my wats the a pet? Rt @Lito_b_
Sat Sep 27 10:52:02 PDT 2014 --  Say money bring bitches, bitches bring lies.
Sat Sep 27 05:00:38 PDT 2014 --  69 problems but 69 aint one
Thu Sep 25 18:40:03 PDT 2014 --  When you're happy you enjoy the music.. But, when you're sad, you understand the lyrics.
Sat Sep 27 09:02:01 PDT 2014 --  Woooord.. rt. @ItsMutai
Sat Sep 27 07:13:47 PDT 2014 --  Oops lemmie resend rt @Milly_ems
Sat Sep 27 06:42:17 PDT 2014 --  Hehehehe that cracked me up. rt @REACTlVE
Sat Sep 27 06:39:22 PDT 2014 --  Yo wqut up rt. @Owena_Colton
Sat Sep 27 06:37:28 PDT 2014 --  Can this be remodeled @Milly_ems
Sat Sep 27 05:34:10 PDT 2014 --  Just saw this motto on a church van '''Do Business till I come''
Sat Sep 27 06:32:09 PDT 2014 --  I second that rt. @Owena_Colton
Sat Sep 27 06:30:11 PDT 2014 --  So remind me that those tweeps who subtweet *legit* are twitter lawyers aaaait
Sat Sep 27 06:28:00 PDT 2014 --  Coooool..rt @YAHLANSKEY
Sat Sep 27 06:08:57 PDT 2014 --  when someone tries so hard to rattle your inner peace, rest assure you've already rattled theirs.
Fri Sep 26 14:55:04 PDT 2014 --  cc@milly_ems
Thu Sep 25 12:24:45 PDT 2014 --  niggah shawarma, really?????????? *slapping ma knees* @Sir_Rollins_
Thu Sep 25 10:54:13 PDT 2014 --  no one is worth what they think they are worth
Wed Sep 24 01:50:21 PDT 2014 --  In life,you can not hate everyone and also u can't have everything one day u will need what u don't have from someone you don't like .
Wed Sep 24 13:30:35 PDT 2014 --  If you cheat on a girl that's willing to do anything for you, you actually cheated yourself out of true loyalty.
Thu Sep 25 09:38:53 PDT 2014 --  “ @Baefeeling “ @Hidden_Stories There are only 2 countries in the entire world that do not sell Coca Cola. North Korea and Cuba.””okay.. rt
Fri Jan 31 02:43:00 PST 2014 --  Girls on payday and other days pic.twitter.com/9R4qPEkqaY
Thu Sep 25 08:34:37 PDT 2014 --  #LearnTheDifference #LearnTheDifference #LearnTheDifference #LearnTheDifference #LearnTheDifference #LearnTheDifference
Mon Sep 01 11:24:04 PDT 2014 --  Whoever said technology will replace paper, has definitely never tried to wipe their ass with an Android device ~ Will Smith
Thu Sep 25 08:34:35 PDT 2014 --  Woooord.. rt @NGfollowBack Every girl has a little hoe in their system, Just depends if she brings it out for her man or for the community
Thu Sep 25 08:34:35 PDT 2014 --  Niggah..“ @dozmaniac “ @NGfollowBack This is what happens When You Press The SpaceBar Too Much (ˆ⌣ˆ ) pic.twitter.com/bcNU1JVFzE””
Tue Jan 21 03:57:50 PST 2014 --  When I text someone and they don't text me back, I automatically assume that they fainted from the excitement. #F4F
Wed Sep 24 23:59:22 PDT 2014 --  Qatar women's team forced to forfeit second basketball game over hijab ban http://www.qatarliving.com/news/posts/qatar-forfeit-second-asiad-game-over-hijab-ban … pic.twitter.com/g3ZD1wtq6s
Thu Sep 25 08:34:23 PDT 2014 --  Hahahahahaha rt. @itsAdaora
Thu Sep 25 08:34:23 PDT 2014 --  Lmao “ @REACTlVE “ @damnlifepics You hold the house i catch the thiev with a backflip pic.twitter.com/r4JSqyG0Qd””
Wed Sep 24 13:19:35 PDT 2014 --  seriously you tube y'all make available 4k resolution on settings and i don't even own a 50000 dollar 4k television
Wed Sep 24 12:39:47 PDT 2014 --  i get eyegasms from this. rt @Milly_ems @furniturepix
Tue Sep 23 17:43:02 PDT 2014 --  He who is not courageous enough to take risks will accomplish NOTHING in life. -Muhammad Ali
Tue Sep 23 16:39:15 PDT 2014 --  eddie said gangstas dont yap... nigga rt. @tupacsaidthat
Fri Sep 05 13:06:10 PDT 2014 --  And u happen to be on board dis flight pic.twitter.com/DLOyRuB7oe
Mon Sep 08 02:45:23 PDT 2014 --  How girls jump into conclusion. pic.twitter.com/TXuWIncIRP
Tue Sep 23 16:33:16 PDT 2014 --  taking to bed that feeling after working out and sleep embraces you.... heeeeaven
Tue Sep 23 16:31:50 PDT 2014 --  Have you heard ‘candler road’ by Childish Gambino on #SoundCloud? https://soundcloud.com/childish-gambino/candler-road?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …
Thu Aug 28 21:00:04 PDT 2014 --  Life is better with the top down. #Infiniti #Q60 pic.twitter.com/Hu36hVs5z7
Sun Aug 24 11:34:41 PDT 2014 --  A man who does not love you will not change his mind because of sex
Fri Aug 22 04:49:31 PDT 2014 --  King Los - Control Remix ( Kendrick Response ): http://youtu.be/_84AyQIhv_s?list=RDTKZWj7j5cAk … via @YouTube
Fri Aug 22 03:02:02 PDT 2014 --  your follow is soo expensive you must be in the forbes list... niggah
Fri Aug 22 03:00:14 PDT 2014 --  Kid Ink - Bad Ass (Explicit) ft. Meek Mill, Wale: http://youtu.be/bBrTlUlI7cA?list=PL3742BC448DD99219 … via @YouTube
Fri Aug 22 02:59:39 PDT 2014 --  if you're lied to, you must be honest
Fri Aug 22 02:58:37 PDT 2014 --  two liars will never get along .....
Fri Aug 22 02:58:03 PDT 2014 --  are men allowed to exclamate yaaaaay........
Wed Aug 20 19:15:27 PDT 2014 --  guys be like "baby u still mad?" pic.twitter.com/QS8B7IIsjY
Thu Aug 21 05:02:08 PDT 2014 --  say wat. Rt" @RamzZy_: I don't like Js but those are dope."
Wed Aug 20 12:04:41 PDT 2014 --  This is a place where you can be what you want. Its surprising some of you choose to be assholes.
Wed Aug 20 16:24:34 PDT 2014 --  cargasm http://www.modifiedcars.com/537153/video-3-reasons-you-want-to-own-a-modified-truck …
Wed Aug 20 07:00:19 PDT 2014 --  If u cant shower with her then u dont deserve her
Tue Aug 19 12:07:32 PDT 2014 --  I gave up on English when I realized that you can die in a Living room.
Tue Aug 19 21:50:15 PDT 2014 --  this is what defines social media http://youtu.be/El2ED0ZQf0o  via @YouTube
Tue Aug 19 20:54:36 PDT 2014 --  2 moms CATFISH their teen daughters via facebook: http://youtu.be/JcO2ogIGm_s  via @YouTube
Tue Aug 19 20:21:27 PDT 2014 --  a new brand o funny http://youtu.be/EzNhaLUT520  via @YouTube
Mon Aug 18 13:03:57 PDT 2014 --  Here Are Some Crazy Facts About Google To Win You Over To Th http://www.viralnova.com/google-facts/#.U_JcJMeGbFQ.twitter …
Sat Feb 08 03:42:48 PST 2014 --  No matter how strong you are emotionally, there is always someone who can make you weak.
Sat Aug 16 11:28:29 PDT 2014 --  You can tell what quality of women a guy is used to dealing with when he talks like all chicks are dumb,broke,gold diggers,etc.
Tue Jul 29 05:08:05 PDT 2014 --  do you ever think about how bitchy and annoying you really are and wonder how anyone ever tolerates you
Mon Jul 28 21:42:46 PDT 2014 --  Election and Erection are spelled almost exactly the same. They both mean the same thing too. A dick rising to power. @ComedyCentralKE
Sun Jul 27 17:04:53 PDT 2014 --  Ladies, if he shows up to your house wearing this outfit, he's expecting pussy. {Lots of it} http://twitter.com/exelmuzik/status/493546022497681412/photo/1pic.twitter.com/gxmPIY3XIy 
Sun Jul 27 19:16:37 PDT 2014 --  pic.twitter.com/tZQFF7Ew70
Sun Jul 27 02:17:25 PDT 2014 --  The word "twerk" has been added to the Oxford English Dictionary. pic.twitter.com/SznU7HhCwq
Mon Jun 30 09:55:10 PDT 2014 --  pic.twitter.com/7gQJhnQFNz
Tue Jul 22 03:27:05 PDT 2014 --  So interesting how it's always the strong-faced ones who are quick to point out someone else's looks. In general.
Fri Jul 18 20:08:14 PDT 2014 --  Anyone would cry in the presence of a ring like that. pic.twitter.com/bclu2kcUkJ
Sun Apr 27 11:18:52 PDT 2014 --  My Life in a picture. pic.twitter.com/ZpNHCDDtZK
Sat May 03 15:10:32 PDT 2014 --  The truth pic.twitter.com/eLf3WEFFJD
Fri May 09 15:33:25 PDT 2014 --  Beautiful interior design. pic.twitter.com/pLcAeHtNph
Tue Apr 22 12:08:05 PDT 2014 --  The most accurate photo I've seen pic.twitter.com/64S0ggwdp3
Thu May 15 16:15:44 PDT 2014 --  why you cant just retweet doe? lol @kevinreidm pic.twitter.com/82O4vF0qC6
Thu Jan 02 11:34:20 PST 2014 --  Don't play with a women's heart, she only has one. Play with her boobs, she has two!
