Fri Aug 28 21:31:28 PDT 2015 --  #Virgo knows clearly what they want and dont want.
Sat Aug 15 13:32:43 PDT 2015 --  في اللحظات الســـعيدة .... أثن على الله وأحمده , وفي الأوقات العصيبــة .... أحسن الظن بـ الله وفي اللحظات الصامتة .... اذكر الله
Sat Aug 15 07:32:10 PDT 2015 --  Never blame anyone in your life. Good people bring you happiness, bad people bring you experience.
Sat Aug 15 07:29:56 PDT 2015 --  اللهم لا تجعلني شقيا ولا محروما
Sat Aug 15 07:23:34 PDT 2015 --  لن يحرمك الله خيراً قدمته ،، وهماً فرّجته ،، وعيناً كادت أن تبكي فأسعدتها*،،
Sat Aug 15 07:17:16 PDT 2015 --  Find reasons to #smile every day. Focus on the positive not the negative.
Thu Aug 13 14:36:32 PDT 2015 --  اللهم اجعل كل ما فقدته خيرًا .. وكل ما أحزنني خيرًا .. وكل ما أبعدته عني خيرًا
Wed Aug 12 18:44:07 PDT 2015 --  يـا رب لا يأتي الفجر على أي بيت من بيوت المُسلمين الإ وقد ملأته فرحًا وسعادة، ويسرت أمرهم، وجعلت لهم من كل ضيق مخرجًا يا رب العالمين
Sun Aug 09 12:05:30 PDT 2015 --  كرر وانشر تُؤجر وتُشكر: "سُبْحانَ اللَّه وَبِحمْدِهِ, سُبْحَانَ اللَّه الْعَظِيم" حبيبتان إلى الرحمن,خفيفتان على اللسان,ثقيلتان في الميزان.
Thu Aug 06 18:06:33 PDT 2015 --  ﴿ قال ربًّ اغفر لي وهب لي ملكا لا ينبغي لأحد من بعدي ﴾ سأل مولاه أن يغفر الذنب أولا؛ لأن الذنوب سبب في الحرمان من الأرزاق !
Thu Aug 06 15:05:07 PDT 2015 --  «كن مع الله في كل لحظة، واجعل نيتك صادقة، في إعمار الكون، وتوكل على الله، حتى يبارك لك في كل ما تقدمه من قول او عمل!»
Thu Aug 06 12:07:08 PDT 2015 --  "ومن يقتل مؤمناً متعمداً فجزاؤه جهنم خالداً فيها وغضب الله عليه ولعنه وأعد له عذاباً عظيماً" #تفجير_طواري_عسير
Tue Aug 04 13:28:57 PDT 2015 --  سعودي مع زوجته يحضران حفل أم كلثوم: pic.twitter.com/eWOzkyIVyS
Tue Aug 04 10:45:19 PDT 2015 --  عُد إلى الله تعٌاد لك كل الأشياء الجمّيلة ..
Tue Aug 04 19:03:14 PDT 2015 --  سئل أحد السلف : ألا يضيق صدرك من تجاهل معروفك من قبل من تحسن إليهم ؟ قال: ما أنتظرته ليحزنني! يكفيني " إن الله يحب المحسنين"
Sat Aug 01 06:45:09 PDT 2015 --  #أقوال_مأثورة لو خيروا العرب بين دولتين علمانية ودينية ، لصوّتوا للدولة الدينية وذهبوا للعيش في الدولة العلمانية - علي الوردي
Mon Jul 27 21:00:38 PDT 2015 --  اللهم اجعلني لك شكارا لك ذكارا لك مطواعا إليك مخبتا لك أواها منيبا رب اقبل توبتي واغسل حوبتي وثبت حجتي وسدد لساني واسلل سخيمة قلبي #دعاء
Thu Jul 23 21:34:13 PDT 2015 --  رَبِّ هَبْ لِي حُكْمًا وَأَلْحِقْنِي بِالصَّالِحِينَ* وَاجْعَلْ لِي لِسَان صِدْق فِي الآخِرِين * وَاجْعَلْنِي مِن وَرَثَةِ جَنَّةِ النَّعِيم
Thu Jul 09 17:57:07 PDT 2015 --  جبر الله قلباً اشتاق فدعا *
Thu Jul 23 18:00:55 PDT 2015 --  لن تخرج من ظلمتك إلا إذا كنت تثق يقينًا أن الله وحده فقط هو الذي يخرجك منها
Thu Jul 23 18:00:03 PDT 2015 --  ربي أغفر لي ذنبي و أرزقني ما أريد وتوفني وأنت راضٍ عني او والدي والمسلمين يا رب
Wed Jul 22 20:21:04 PDT 2015 --  ربنا إنزع حُب المعاصي من قلوبنا ، وإجعل حُبك هو ما يشغل فكرنا وقلوبنا ...
Sun Jul 19 18:59:33 PDT 2015 --  {ربي أَنِّي مَسَّنِيَ الضُّرُّ وَأَنتَ أَرْحَمُ الرَّاحِمِينَ }
Sun Jul 19 19:55:12 PDT 2015 --  اللهم فرج هم المهمومين ونفس كرب المكروبين واقض الدين عن المدينين واشف مرضانا ومرضى المسلمين .آمين
Fri Jul 17 19:33:21 PDT 2015 --  من أعظم النعم التي أنعم الله بها علينا #نعمة_الأمن، تلك النعمة التي تفتقدها بعض الدول حولنا…ويغفل عن شكرها كثير من الناس. #السعودية #الأمن
Thu Jul 16 19:30:09 PDT 2015 --  الله اكبر الله اكبر الله اكبر لا اله الا الله الله اكبر الله اكبر الله اكبر ولله الحمد الله كل عام وانتم بخير
Wed Jul 15 16:06:58 PDT 2015 --  Tonight's duʿāʾ: اللهم اجبر كسرنا على فراق رمضان Allāh, ease our distress over the departure of Ramaḍān.
Thu Jul 16 09:21:31 PDT 2015 --  اللهم ثبتنا على طاعتك بعد رمضان اللهم ثبتنا على الصيام والقيام بعد رمضان اللهم ثبتنا على قراءة القرآن وقول الحق بعد رمضان
Wed Jul 15 22:07:43 PDT 2015 --  #السديس صوت لم يغب عن ختم القرآن منذ 32 عاماً في الحرم المزيد في الرابط التالي http://ara.tv/mncv2  pic.twitter.com/AfdOH4Kbmj
Mon Jul 13 20:05:01 PDT 2015 --  #Mecca_Live is many American's first time experiencing Islam first hand instead of hearing Islamophobic lies told by the media & government.
Mon Jul 13 19:29:59 PDT 2015 --  أيام قليلة ونودع شهر #رمضان: اللهم اختمه لنا برضوانك،والعتق من نيرانك،واجعلنا فيه من المقبولين،وأعده علينا أعواما عديدة ونحن في صحة وعافية
Mon Jul 13 13:26:02 PDT 2015 --  2 million people from different countries, races and ethnicities, sharing everything together. What they have in common? Islam. #mecca_live
Mon Jul 13 12:13:58 PDT 2015 --  أحببت مكة حب من في قلبه روض تعهده الحيا ورعاه أو لم تكن فيها ولادة أحمد نبعا فكم من ظاميء أرواه د. العشماوي #mecca_live #MeccaLive
Sun Jul 12 22:07:31 PDT 2015 --  اللهم إنك عفو تحب العفو فاعف عنا، اللهم إنك عفو تحب العفو فاعف عنا، اللهم إنك عفو تحب العفو فاعف عنا. #اللهم_بلغنا_ليلة_القدر #ليلة_القدر
Sun Jul 12 21:34:29 PDT 2015 --  في قانون الراحه يجوز السحب عالجميع
Mon Jul 06 19:41:14 PDT 2015 --  قال رجل لرسول ﷺ: كيف أقول حين أسأل ربي؟ فقال ﷺ: قل: اللهم اغفر لي، وارحمني، وعافني، وارزقني. فإن هؤﻻء تجمع لك دنياك وآخرتك. رواه مسلم
Tue Jul 07 21:27:43 PDT 2015 --  {مَا وَدَّعَكَ رَبُكَ وَمَا قَلَى} انقطاع الخير عنك لبعض الوقت، »» هو تهيئة لفيضان خير جديد،، فمن لزم الحمد: تتابعت عليه الخيرات،،
Thu Jul 09 19:06:19 PDT 2015 --  اللهم في كل دقيقه تمر على كل مسلم ميت و هو في قبره أسألك أن تفتح له باب تهب منه نسائم الجنة لايسد أبداً ،رب أمطر على قبورهم من سحائب رحمتك.
Thu Jul 09 19:07:07 PDT 2015 --  نصيحة لي ولكم: ذنوب البشر بينهم وبين ربهم وقد يغفرها الله لهم في سجدة أو دعوة فاترك لسانك عنهم ليبعدك الله من الإبتلاء بمافيهم صباح الخير
Sun Jul 05 19:30:43 PDT 2015 --  مستلف من أبوي فلوس وأروح لعيالي أقول: وش رأيكم أرد لجدكم الفلوس وأقصر في الصرف عليكم؟ ولا ما نردها ونطلب من جدكم يسامحنا في المبلغ؟ #اليونان
Wed Jul 08 19:06:30 PDT 2015 --  كان أكثر دعاء النبي ﷺ في العشر الآواخر من رمضان : " اللهـم إنك عفوٌ تُحِب العفو فأعفُ عني "
Tue Jul 07 14:55:55 PDT 2015 --  This is how Israelis treat kids! The media doesn't show this, but we'll spread it all over social media. #TelAvivLife pic.twitter.com/OuszpmNaHn
Tue Jul 07 08:11:29 PDT 2015 --  It really hurts when you see Israelis having fun on the beach, while palestinian kids are killed on it! #TelAvivLive pic.twitter.com/wgavhiXXnQ
Tue Jul 07 09:02:48 PDT 2015 --  #TelAviv is so pathetic and those snapping how can you call someone else's home yours!! pic.twitter.com/FhdF6EfDxF
Tue Jul 07 07:03:03 PDT 2015 --  الإستيلاء الثقافي: عندما تقوم الفئة القوية بسرقة تراث الفئة الضعيفة وتسجّله ضمن تراثها الخاص وتتصرّف به على أنه من ثقافتها. #تل_ابيب_لايف
Mon Jul 06 21:45:39 PDT 2015 --  بالدّعوات أحفّك، أطلب من الله رعايتك، ثمّ أذهب لأستريح!
Sun Jun 28 22:39:17 PDT 2015 --  " اَللَّهُمَّ أَنَّي أَسَالَكِ الهُدَى وَأُلْتُقِىَ والعفاف وَأَلْغِنِى .." #دعاء #يارب
