Sat Aug 15 05:01:43 PDT 2015 --  Today in #AirForce #History pic.twitter.com/hthgSSpdfJ
Mon Nov 03 18:55:49 PST 2014 --  “ @WomensHumor: I'm not interested in the PG-version of life.”
Mon Nov 03 14:17:24 PST 2014 --  Hahahahaha!! “ @TheEllenShow: Hey, #AlexFromTarget, it's #EllenFromEllen”
Mon Nov 03 13:37:15 PST 2014 --  “ @EarlDibblesJr: Retweet if you drive a truck.”
Tue Oct 21 21:55:27 PDT 2014 --  Legend. “ @usairforce: #Fact: Lt. Col. Nicole Malachowski was the 1st female @AFThunderbirds pilot. http://bit.ly/1wb1uWE  #AirForce #Video”
Tue Oct 21 21:52:45 PDT 2014 --  “ @BrandonJennings: The way y'all feel bout Michael Jordan is the same way I feel about Kobe so chill. I just respect greatness”
Mon Oct 20 21:18:53 PDT 2014 --  “ @Marilyn_AQuote: I hate acting like I don't care when it's really tearing me up inside.”
Mon Oct 20 21:18:19 PDT 2014 --  “ @Marilyn_AQuote: I'm not ignoring you, I'm waiting to see if you'll make the effort for once.”
Sat Oct 18 21:39:15 PDT 2014 --  Doing those long postings with @JustinDeFratus allllllll night
Tue Oct 14 06:50:21 PDT 2014 --  “ @UberFacts: While parachuting, an American aviator downed a Japanese fighter plane by shooting the pilot in the head with his sidearm.”
Mon Oct 13 19:29:15 PDT 2014 --  “ @CloydRivers: Happy Birthday Navy. Kickin' ass, takin' names, & droppin' warheads on foreheads since 1775. Merica. pic.twitter.com/oE9oz5xGcs”
Mon Oct 13 09:34:04 PDT 2014 --  “ @EarlDibblesJr: A beautiful woman is a beautiful woman...but a beautiful woman with a brain is a lethal combo.”
Fri Oct 10 17:47:12 PDT 2014 --  Ain't that the damn truth. “ @Marilyn_AQuote: Sometimes caring too much can leave you hurt.”
Thu Oct 09 04:20:24 PDT 2014 --  Holy smokes! When you get woken up by thunder so loud, it shakes the dang house....
Sun Oct 05 16:53:43 PDT 2014 --  I tell you what.... Kids under the age of 16 these days really tend to piss me off. Quit acting stupid
Wed Oct 01 16:07:11 PDT 2014 --  Tulsa/Broken Arrow bound! Wheels up!
Wed Oct 01 15:15:23 PDT 2014 --  Made it to dallas. One hour until my flight to Tulsa!
Tue Sep 30 21:50:01 PDT 2014 --  It's amazing how slutty girls are getting younger and younger. Have some respect for yourself. You are still a child.
Mon Sep 29 22:38:42 PDT 2014 --  I seriously hate when people use/say the word "bae." Super annoying.
Mon Sep 29 19:14:22 PDT 2014 --  I asked every Laker their favorite teammate of all time. Kobe's response implied the ? didn't even need to be: "Fish. That's easy."
Thu Sep 25 09:44:47 PDT 2014 --  “ @CloydRivers: Merica. http://twitter.com/CloydRivers/status/514794086478667776/photo/1pic.twitter.com/ln7wgeHRto ”
Mon Sep 22 13:05:55 PDT 2014 --  After a week in the hospital, thought I would treat myself to Disneyland & take my cousin along with @Worshipgrierxx pic.twitter.com/aIkTYHuwHP
Mon Sep 22 07:17:12 PDT 2014 --  Disneyland today!!!!! :)
Sun Sep 21 16:24:46 PDT 2014 --  “Marilyn Monroe and Queen Elizabeth (both 30 at the time) meet at a movie premier in London, October 1956 pic.twitter.com/RnKaVLKeu8”
Fri Sep 19 14:22:19 PDT 2014 --  For all the idiots out there that overuse this word “ @UberFacts: "Bae" is a Danish word for poop.”
Thu Sep 18 15:16:22 PDT 2014 --  “We salute the men & women of the U.S. Air Force for their service & sacrifice. Happy 67th birthday! #ProudToServe pic.twitter.com/a50VI6jrdZ”
Thu Sep 18 14:26:21 PDT 2014 --  Just take my appendix out already
Thu Sep 18 01:48:22 PDT 2014 --  Being in the hospital for 3 days is not the business.....
Mon Sep 15 06:43:05 PDT 2014 --  7 days until Disneyland. 16 days until my trip to the Mid West! :)
Fri Sep 12 11:43:54 PDT 2014 --  “ @EarlDibblesJr: Fellas, your son will grow up 2 be like you and your daughter will grow up 2 marry a man like you. Make that a good thing.”
Mon Sep 08 13:08:24 PDT 2014 --  “ @EarlDibblesJr: 6 out of 10 people struggle with math. Retweet if you like beer.”
Thu Sep 04 20:39:13 PDT 2014 --  “ @EarlDibblesJr: I'd rather be someone's shot of whiskey than everyone's cup of tea.”
Wed Sep 03 23:37:26 PDT 2014 --  “ @TBVines: Kobe is too real ' https://vine.co/v/htIK3mnuHuv ”
Wed Sep 03 15:53:01 PDT 2014 --  “ @EarlDibblesJr: Retweet for our troops pic.twitter.com/97NHtZrq3M”
Wed Sep 03 11:23:48 PDT 2014 --  I definitely think it needs to rain....
Tue Sep 02 18:08:03 PDT 2014 --  “ @UberFacts: Justin Timberlake’s “Rock Your Body” was written by Pharrell for Michael Jackson’s final album, Invincible.”
Sun Aug 31 13:17:54 PDT 2014 --  “ @HistoryInPics: James Dean and Elizabeth Taylor on the set of "Giant," 1956 pic.twitter.com/duwjM3R8DH”
Sun Aug 31 13:15:13 PDT 2014 --  “ @HistoryInPics: Marilyn Monroe, 1961 (By Douglas Kirkland) pic.twitter.com/UvoNOe1SOI”
Sun Aug 31 09:01:15 PDT 2014 --  “ @UberFacts: Studies show that people who spend a lot of time on the internet are more likely to be depressed, lonely and mentally unstable.
Fri Aug 29 15:16:29 PDT 2014 --  “ @kobebryant: Happy Birthday to the greatest. pic.twitter.com/i6f0sAijvP”
Tue Aug 26 19:54:04 PDT 2014 --  “ @kateyybabyyy: if you're gonna make me fight for you attention and constantly make me feel unwanted, just leave me the fuck alone .”
Mon Aug 25 20:41:43 PDT 2014 --  “ @WhatTheFFacts: Over 200 dead bodies are intentionally left on Mount Everest as landmarks to help new climbers find their way to the top.”
Sun Aug 24 00:32:55 PDT 2014 --  Damn right. “ @EarlDibblesJr: Forget YOLO. Like George Strait said, "I ain't here for a long time, I'm here for a good time."”
Sat Aug 23 08:57:12 PDT 2014 --  “ @Lakers: Another year better, happy birthday @kobebryant!! Looking forward to #36 overall and #19 together! pic.twitter.com/ntawANtVgw”
Thu Aug 21 16:49:22 PDT 2014 --  “ @EarlDibblesJr: Retweet if you drive a truck.”
Wed Aug 20 19:47:22 PDT 2014 --  People need to stop feeling sorry for themselves. Straighten your life out.
Mon Aug 11 22:12:37 PDT 2014 --  Taking my cousin @cookiesandcash to see @Nashgrier tomorrow. I think I'm about to make her life complete
Sun Aug 03 19:25:46 PDT 2014 --  When life knocks you down, calmly get back up, smile, and say "You hit like a bitch."
Mon Jun 16 15:04:40 PDT 2014 --  Clint Dempsey!
Sat May 31 20:15:32 PDT 2014 --  Amen to that! “ @EarlDibblesJr: Forget YOLO. Like George Strait said, "I ain't here for a long time, I'm here for a good time."”
Wed May 28 12:35:59 PDT 2014 --  For Disneyland being the happiest place on earth, you sure do run into a lot of rude and unhappy people
Wed May 28 11:09:22 PDT 2014 --  When holding hands, if a girls hand is in front of the guys, he's the bitch and she wears the pants in the relationship. She totally leads
Thu May 15 22:24:55 PDT 2014 --  I will forever be a Lakers fan but OKC OKC OKC!!! Later clippers
Tue May 13 00:00:33 PDT 2014 --  “ @EarlDibblesJr: If she prefers beer over wine, and a bonfire over a candlelight dinner, she's a keeper.”
Mon May 12 23:59:52 PDT 2014 --  Absolutely! “ @EarlDibblesJr: Military appreciation month should be every month. pic.twitter.com/1r04bpVE9I”
Wed Apr 23 16:16:53 PDT 2014 --  “Sometimes the nicest people you meet are covered in tattoos & sometimes the most judgmental people you meet go to church on Sundays.”
Tue Apr 15 19:26:37 PDT 2014 --  Damn right! “ @EarlDibblesJr: Country music. Because. That's why. YeeYee!”
Sun Apr 13 09:31:08 PDT 2014 --  “ @rwglass1: Why is applesauce so damn good??”
Thu Apr 10 18:00:29 PDT 2014 --  Absolutely. “ @geoffreykeith: Nothing worth having comes without some kind of fight”
Thu Apr 10 00:41:26 PDT 2014 --  “ @EarlDibblesJr: Let mistakes guide you, not define you.”
Mon Apr 07 21:15:02 PDT 2014 --  “ @EarlDibblesJr: No matter how good/bad you got it, wake up & be thankful for your life. Someone, somewhere is fightin' for you to have it.”
Mon Apr 07 21:00:54 PDT 2014 --  “ @EarlDibblesJr: Appreciate what you have before it turns into what you had.” Amen to that....
Mon Mar 31 22:10:37 PDT 2014 --  Life changing things about to happen
Fri Jan 24 10:58:43 PST 2014 --  “ @EarlDibblesJr: It's not Summer yet. Thanks Obama.”
Tue Dec 24 11:33:05 PST 2013 --  “ @EarlDibblesJr: This world could use more "Merry Christmas" and less "Happy Holidays."”
Mon Dec 23 12:13:27 PST 2013 --  It is damn cold here in Missouri... “ @EarlDibblesJr: It's so damn cold outside that I just saw a deer fart a snowflake.”
Sun Dec 22 19:06:00 PST 2013 --  Enjoy your time with family & friends this Christmas break. Our troops are 6,000 miles away from theirs, so that you can be with yours.
Sun Oct 06 17:36:20 PDT 2013 --  Watching #LongIslandMedium makes me wish I could get in contact with my grandpas and make sure they are okay. I miss them terribly
Sun Aug 25 19:31:40 PDT 2013 --  “ @kilei_phipps4: Alright well everyone can forget about performing at the VMAs. No one else is needed. #Nsync #JT #VMAs”
Sat Aug 24 21:54:18 PDT 2013 --  “ @NSYNC: Mic check, mic check one.. two... is this thing on?!”
Fri Jul 05 21:27:51 PDT 2013 --  “ @angg_robles: Byeeeee Dwight soft howard”
Tue May 21 23:27:27 PDT 2013 --  Deployment sucks.
Wed Apr 24 17:50:14 PDT 2013 --  Obsessed with duck dynasty. Can't wait for the new show tonight. #aloharobertsons #duckdynasty
Fri Feb 22 20:33:01 PST 2013 --  Watching jackass 3.5. So weird to think that I am related to @realjknoxville. Distant cousin or something!
Sun Feb 03 23:33:41 PST 2013 --  Have an audition for an Adidas commercial in the morning. Send the good vibes my way!
Tue Jan 08 16:38:47 PST 2013 --  “ @eliasbarnes: That little debate you have with yourself on whether a picture is twitter or Instagram worthy.”
Tue Jan 08 16:37:53 PST 2013 --  This whole #cutforbieber horse shit needs to stop. Seriously? If the kid wants to smoke weed, let him. No need to self harm yourself... Shit
Mon Jan 07 20:07:33 PST 2013 --  Might have fractured my ribs again... Going to the doctor tomorrow. Praying I didn't...
Thu Jan 03 10:50:58 PST 2013 --  I could really go for a Corrales burrito right now....
Sat Dec 22 20:05:39 PST 2012 --  Think I might adopt another kitty...
Mon Dec 17 22:26:04 PST 2012 --  Sitting in the jacuzzi with the rain sprinkling down.... Amazing feeling
Fri Dec 14 18:02:59 PST 2012 --  What happened in Connecticut today makes me sick. Those poor children and their families. So sad :( #PrayForSandyHook
Thu Dec 13 09:20:59 PST 2012 --  Finals are done. Finally. 1 semester left until graduation!
Sun Dec 09 18:58:42 PST 2012 --  Finals are the death of me....
Fri Dec 07 19:09:10 PST 2012 --  C'mon lakers!
Fri Dec 07 18:15:52 PST 2012 --  #GAcrazytown love ghost adventures. That door opening gave me chills!
Fri Dec 07 13:44:08 PST 2012 --  Clean car. New tires. New wrangler jeans. Good day so far! :)
Fri Dec 07 11:49:29 PST 2012 --  “ @eliasbarnes: #rememberpearlharbor”
Thu Dec 06 22:04:57 PST 2012 --  How long does it take two grown men to put up a tv wall mount? @JustinDeFratus pic.twitter.com/IHd9B22q
Thu Dec 06 20:05:13 PST 2012 --  Decided to give twitter another go...
