Fri Aug 28 06:59:39 PDT 2015 --  I hate when your listening to music but can't sing cause people are around you #Disney
Sat Aug 15 22:30:30 PDT 2015 --  ★★★ Patriots Who Dare... Join our fight to save America! ➠ Click Here http://www.bb4sp.com/  #BB4SP pic.twitter.com/bHmkSEI1Fj
Sat Aug 15 23:48:27 PDT 2015 --  good night guys going to bed see ya tomorow byeee :)
Sat Aug 15 23:47:18 PDT 2015 --  i love it when your older and get to lay down the rules for you little brother #feelingpowerful haha
Sat Aug 15 23:42:11 PDT 2015 --  so i make this facebook page for outdoor pictures 5 weeks later im still the only one who likes it... why do i try #givinguponlife
Sat Aug 15 23:39:49 PDT 2015 --  this is a beautiful picture i took of a park lol pic.twitter.com/clPCOZhz0B
Sat Aug 15 23:36:13 PDT 2015 --  why do people have to give out judgemental names for people like fat ugly ect i think every ones beautiful stop hate start love
Sat Aug 15 23:33:47 PDT 2015 --  of course my face looks fat right here haha
Sat Aug 15 23:27:13 PDT 2015 --  my step brother keeps sneaking into my room its funny
Sat Aug 15 23:26:05 PDT 2015 --  im ganna start doing reviews about things for my youtube channel so if you wanna hear about something let me know and ill test it out for u
Sat Aug 15 23:23:05 PDT 2015 --  staying up all night with step brother who wont go to sleep is not the best thing todo
Sat Aug 15 21:36:43 PDT 2015 --  i just want to say thank you guys so much for all the new followers love you all i set up an auto message so please tell me if it works :)
Sat Aug 15 21:35:38 PDT 2015 --  guys im unfollowing 100 people a day who dont follow back so if you dont want to lose a follower follow me good night guys
Sat Aug 15 21:34:35 PDT 2015 --  i got stalked at the fair from like 5 little girls followed me around for a while haha it was adorible
Sat Aug 15 21:30:22 PDT 2015 --  From rain to a shower turns me into this thank god for showers #shower #lol pic.twitter.com/3KfZhZTrI2
Sat Aug 15 21:29:09 PDT 2015 --  This is what rain does to me at the fair had a good time until it rains #rain #fml pic.twitter.com/QLChv7bj5i
Sat Aug 15 17:48:57 PDT 2015 --  So I just road my bike 4 miles just to eat food. That proves I will do anything for food haha #fatass
Sat Aug 15 16:50:56 PDT 2015 --  unfollowing 100 people a day who dont follow back follow to keep me following you
Sat Aug 15 16:14:03 PDT 2015 --  unfollowing lots of people that dont folow me back follow me if you want me to continue following you have a good day :)
Sat Aug 15 16:12:33 PDT 2015 --  http://Unfollowers.com  told me 91% of people i follow don't followback, whats your followers #nonfollowback score?
Sat Aug 15 15:18:08 PDT 2015 --  to the fair i go hehe see you guys later thanks for following me guys love yall so much :) #feelingblessed #fair
Sat Aug 15 13:13:48 PDT 2015 --  i want to reach 500 followers please help me reach my goal and thank you for all the new followers love you all
Sat Aug 15 13:05:33 PDT 2015 --  Watching untold stories of the ER best show ever
Sat Aug 15 00:00:07 PDT 2015 --  good night guys thank you guys so much for all the new followers your all amazing :)
Fri Aug 14 23:47:33 PDT 2015 --  Summer Summe Summ Sum Su S Sc Sch Scho Schoo School
Fri Aug 14 17:00:24 PDT 2015 --  Jamming out to Disney radio
Fri Aug 14 15:59:22 PDT 2015 --  Love smoothies this is my 4th one lol pic.twitter.com/vXx911EwpY
Fri Aug 14 14:11:07 PDT 2015 --  making dogs fight is so wrong and bull fights those people shold be the ones to burn in hell #stopanaimalfights
Fri Aug 14 14:05:06 PDT 2015 --  so school starts in 4 days and i need school suplies and clothes so not ready lol
Fri Aug 14 14:01:08 PDT 2015 --  i hate telling girls im gay because it makes them sad because they love me its happend like 10 times so far. so im sorry but thats who i am
Fri Aug 14 13:59:13 PDT 2015 --  thank you guys for the new followers #feelingblessed love you all :)
Fri Aug 14 12:04:06 PDT 2015 --  I fall asleep for 3 hours wake up looking like and my mouth hurts today sucks #why pic.twitter.com/tFUDMTUxBf
Fri Aug 14 11:57:52 PDT 2015 --  Well I can feel my mouth again and more pain I don't know if I'm happy or mad mixed feeling
Fri Aug 14 08:39:58 PDT 2015 --  i cant talk right because i had to get shots in my mouth and cortana on my computer wont respond to me now i have to type everything :( lol
Fri Aug 14 08:33:58 PDT 2015 --  my mouth hurts like a BITCH!!!!! im going back to bed :(
Fri Aug 14 08:23:25 PDT 2015 --  Thanks for the followers you guys make my day better #loveyall
Fri Aug 14 08:19:25 PDT 2015 --  Today is sucking so bad and to top that off my mouth is num #fml
Thu Aug 13 21:12:29 PDT 2015 --  goodnight guys see yall in the morning hehe :)
Thu Aug 13 20:46:45 PDT 2015 --  thank you guys so much for the followers i love you all :) means a lot
Thu Aug 13 20:23:50 PDT 2015 --  Not every one looks 5 24/7 don't judge pic.twitter.com/KSS0flRAfL
Thu Aug 13 19:34:49 PDT 2015 --  It's shower time #gay #gayboy pic.twitter.com/899ZUj83vJ
Thu Aug 13 19:30:12 PDT 2015 --  I've been on twitter all day my phones really hot
Thu Aug 13 19:24:59 PDT 2015 --  I'm going to follow until I can't follow no more #followback
Thu Aug 13 19:21:10 PDT 2015 --  You guys are amazing for everything #feelingblessed
Thu Aug 13 18:57:14 PDT 2015 --  Twitter is now by far my fav app #fav app
Thu Aug 13 18:33:58 PDT 2015 --  Thank you guys again for the followers thank you guys
Thu Aug 13 17:38:54 PDT 2015 --  Thank you guys for the followers you guys are amazing
Thu Aug 13 17:10:19 PDT 2015 --  People need to stop homophobia it's so stupid
Thu Aug 13 16:10:18 PDT 2015 --  If I can get up to 250 followers by the end of today my life would be made haha
Thu Aug 13 15:23:15 PDT 2015 --  That moment when you feel sexy pic.twitter.com/uXvEw4YsiE
Thu Aug 13 14:46:49 PDT 2015 --  Let there be storms today
Thu Aug 13 14:40:07 PDT 2015 --  so this kid follows me on instagram and he tells every one hes the father of our god hes crazy in my opinion
Thu Aug 13 14:36:52 PDT 2015 --  MY AUNT IS COMING DOWN yay!! i love her
Thu Aug 13 14:24:45 PDT 2015 --  Thank you guys so much for following me means a lot
Thu Aug 13 14:23:00 PDT 2015 --  What does a man have to do to get a big cock in his mouth
Thu Aug 13 14:08:52 PDT 2015 --  Have any of you guys wondered what your future husband is doing right now think about it hard and wonder pic.twitter.com/yyxmFExTDF
Thu Aug 13 14:05:40 PDT 2015 --  When I'm 18 I'm going to go to a nude beach and then I hear bath houses are fun experiences so I'm ganna go to one to just to see haha
Thu Aug 13 13:40:38 PDT 2015 --  Thanks for the new followers btw
Thu Aug 13 13:40:10 PDT 2015 --  My day just got 1000 times better I'm now 100% happy
Thu Aug 13 12:54:22 PDT 2015 --  dang it!! i was just at 130 followers then some dick unfollowed me thanks :-(
Thu Aug 13 12:29:50 PDT 2015 --  The time you wake up and have to tweet about everything that's how I feel right now
Thu Aug 13 10:38:55 PDT 2015 --  I wake up with 123 followers #feelingblessed love you all
Thu Aug 13 10:34:35 PDT 2015 --  Wake up and still feel tired
Thu Aug 13 01:41:30 PDT 2015 --  well this white gurl got to go to sleep haha thanks for all the new followers love yall all good night :)
Wed Aug 12 22:47:26 PDT 2015 --  the sky is falling hehe its a beautiful night to watch the shooting stars
Wed Aug 12 22:44:13 PDT 2015 --  today I feel like my twitter account has turned into a porn sight so many penises loving it :)
Wed Aug 12 22:41:40 PDT 2015 --  twitter keeps saying not responding :( worst sight ever #whitegilrstatus
Wed Aug 12 22:33:30 PDT 2015 --  I want a boyfriend
Wed Aug 12 22:17:16 PDT 2015 --  people say god hates fags (wbc) but honestly I don't want to be in a place full of homophobia people don't get me wrong I love everyone #god
Wed Aug 12 22:14:08 PDT 2015 --  I cant express how I feel right now but I'm feeling blessed to see my followers just keep adding thank you all again :)
Wed Aug 12 22:09:45 PDT 2015 --  things I'm very thankful for are my youtube subscribers my twitter followers and Instagram followers I may not have a 1000 but I love yall
Wed Aug 12 22:04:58 PDT 2015 --  thanks for the follows guys means a lot
Wed Aug 12 22:01:58 PDT 2015 --  if I made a porno who would watch it lmao
Wed Aug 12 21:55:34 PDT 2015 --  thanks for the unfollow dick lmao
Wed Aug 12 21:52:21 PDT 2015 --  every time I leave twitter for one minute I get like 50 new tweets don't get me wrong I love an app that's busy
Wed Aug 12 21:48:12 PDT 2015 --  so I think I'm going to stay up to watch the sky who else
Wed Aug 12 19:21:47 PDT 2015 --  Ugh to much pizza time to run it all off
Wed Aug 12 17:29:00 PDT 2015 --  After a full day of working out my dad brings pizza great....
Wed Aug 12 16:15:06 PDT 2015 --  When your little and have sleep overs this is what happends you sleep in a pool next to a tent and a bed lol tos days pic.twitter.com/uwcf5m2ItB
Wed Aug 12 12:23:01 PDT 2015 --  That moment when you have good lighting to take a selfie with a random Mexican in the back pic.twitter.com/JhNLKv3Na0
Wed Aug 12 12:12:52 PDT 2015 --  Every time I get on twitter and I see @WBCSaysRepent post It just makes me wanna kill them THEY PISS ME OFF!!!
Fri Aug 07 13:46:19 PDT 2015 --  Omg standing in line sucks
Thu Aug 06 16:33:17 PDT 2015 --  My life is over I cracked my phone #baday #crackedmyphone #fml #sad
Fri Jul 31 07:23:12 PDT 2015 --  my boyfriend broke up with me https://www.youtube.com/watch?v=Nclb2fGJ1tw … subscribe to thanks
Thu Jul 30 20:48:40 PDT 2015 --  hey guys check out my youtube channel https://www.youtube.com/channel/UCZD8lGmLFgr1kLCVmt4eq_w … thanks and subscribe
Thu Jul 30 20:23:41 PDT 2015 --  check out my youtube channel at https://www.youtube.com/channel/UCZD8lGmLFgr1kLCVmt4eq_w … don't forget to subscribe thank you
Thu Jul 30 19:50:00 PDT 2015 --  check out my new video R.I.P. JAZZ @ https://www.youtube.com/watch?v=zcYAyFoQ6Tk … thank you :)
Sun Jul 26 19:27:22 PDT 2015 --  I don't need people to read my tweets I just want to be a typical white gay man to tweet all day haha
Sun Jul 26 19:15:34 PDT 2015 --  when you take your dog on walks make sure it wont poor rain on you :(
Sun Jul 26 19:08:32 PDT 2015 --  would you rather be gay straight or bi?
Tue Jul 21 10:12:23 PDT 2015 --  Alamogordo weather is beautiful pic.twitter.com/478oNMWZ5z
Mon Jul 20 14:48:33 PDT 2015 --  im also at @wbchatepage this account is suspended at the moment you may also email me at wbchatpage@gmail.com give ideas of what to post :)
Mon Jul 20 14:46:34 PDT 2015 --  people who dislike wbc people can now go on facebook and like my page at wbc hate page thank your for your support - @wbchatepage
Thu Jul 16 23:22:21 PDT 2015 --  God put lgbt people to show others that we are strong people because we stand up for are rights and freedom that's why I think we'er here
Sun Mar 08 15:06:57 PDT 2015 --  oh my god im in love with emil hes Sweden I think im ganna marry him hes amazing and so sexy hehe
Sun Jan 18 16:22:29 PST 2015 --  i met this guy hes the best thing that's happen to me I love you so much baby
Wed Dec 31 14:44:09 PST 2014 --  i was in love now im depressed the man of my dreams is moving and Im spending my day crying #gay #depressed #wasinlove
Tue Dec 30 19:34:48 PST 2014 --  gay love is fun but hard at the same time there are to boys in my life what should I do
Fri Dec 26 21:04:57 PST 2014 --  I would do anything to model :)
Fri Dec 26 13:51:10 PST 2014 --  why do I have twitter if I don't talk to any one haha
Fri Dec 26 11:12:54 PST 2014 --  models are sexy haha
Fri Dec 26 10:33:12 PST 2014 --  times I wish I could be a model
Thu Dec 25 22:50:05 PST 2014 --  starting to make a music video its ganna be cool
Thu Dec 25 17:37:29 PST 2014 --  gay is the new fashion lol
Mon Dec 01 20:25:41 PST 2014 --  Go watch my new lgbt speech video on YouTube
Mon Dec 01 15:17:06 PST 2014 --  Free to do what i want just untill tomorrow morning
Sun Nov 30 11:33:59 PST 2014 --  Get 5 new YouTube Subscribers FREE every day at http://SubscriberTrain.com  ( @SubscriberTrain)
Sun Nov 30 10:54:12 PST 2014 --  Enjoying my last day before school again
Wed Nov 26 15:53:59 PST 2014 --  Ask me questions for my lgbt you tube chanel and subscribe to it austin golden all questions will be answered
Wed Nov 26 15:25:07 PST 2014 --  Hey guys im starting a lgbt youtube chanel and i need u guys to subscribe at austin golden ask me questions on twitter
Sun Nov 23 10:45:38 PST 2014 --  Ask me questions send them on twitter
Sat Nov 22 19:27:25 PST 2014 --  subscribe to my youtube account to Austin golden thanks
Sat Nov 22 19:26:07 PST 2014 --  hey guys i need you guys to ask me questions for my lonely youtube channel and i will answer anything and everyone question will be answer
Fri Nov 21 15:58:49 PST 2014 --  subscribe to my youtube channel lol austin golden
Thu Nov 20 17:59:22 PST 2014 --  hey guys ask me questions for my youtube channel and subscribe youtube account name is austin golden
Thu Nov 20 17:22:22 PST 2014 --  hey im new and im on youtube you should subscribe haha check out my new video the video name is austin thanks
