Sat Aug 29 04:57:46 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Sat Aug 29 00:20:46 PDT 2015 --  Маструбаци #гэнээ https://twitter.com/uyanga_jpn/status/637524494978936832 …
Fri Aug 28 23:34:16 PDT 2015 --  Бэр гуйхад хэлэх үг: Босоо шээдэг нь манайд бна Суугаа шээдэг нь танайд бна Энэ 2-г нийлүүлвээс өмдөндөө шээдэг нь гарнаа #гэнээ
Fri Aug 28 23:26:54 PDT 2015 --  Айлын хүүхдүүд хайрлаж дурлаж байхад харин би хоол эргүүлдэг байлаа . #гэнээ pic.twitter.com/eBQHFdVzEd
Fri Aug 28 23:20:45 PDT 2015 --  "Надад итгэ, чи бүжиглэж чадна" архины сурталчилгаа #гэнээ хаха
Fri Aug 28 23:19:13 PDT 2015 --  -"Боолын гэрээ" гэж юуны тухай кино вэ? -Мэдкү 8%-н лизингийн тухай биз... #гэнээ
Fri Aug 28 23:14:58 PDT 2015 --  Монгол орны ичдэг амьтадыг нэрлэнэ үү - тарвага, байвгай... -ичдэггүй амьтадыг нэрлэнэ үү - улсын их хурлын 76 гишүүн #гэнээ
Fri Aug 28 22:59:19 PDT 2015 --  #Iphone-ны шагналтай уралдаан тэмцээн байна уу? Юу ч хийхээс буцахгүй шүү! #УтасЭвдрээд #гэнээ
Fri Aug 28 22:57:35 PDT 2015 --  Эдийн засаг хүнд байгааг бодолцоод хүрэл медаль аваад байгаа юм биш үү манай жудочид #гэнээ
Fri Aug 28 22:57:03 PDT 2015 --  Гар утас улам л нимгэн, ухаалаг болоод байх юм. Харин хүмүүс эсрэгээрээ болоод байх юм. #гэнээ
Fri Aug 28 22:56:32 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Fri Aug 28 22:16:27 PDT 2015 --  Өнөө үед хамгийн хэцүү нь хүний мөн чанарыг ялгаж салгах #гэнээ
Fri Aug 28 22:11:18 PDT 2015 --  Баагий Жимсээд уурсан ширээ шаан босч ирэв -Энэ гэрийн эзэн хэн юм бэ энчдо? -Би, тэгээд юу гэж? -Зүгээр тодруулж асуусан юм оо #гэнээ
Fri Aug 28 21:38:34 PDT 2015 --  Хамгийн богино гунигт хайрын түүх... Залуу: Би чамд нэг зүйлийг хэлэх гэсийн Охин: За юуийн андаа? #гэнээ
Fri Aug 28 21:36:40 PDT 2015 --  Эрчүүдийг солиоруулдаг 2 л юм байна: - эмэгтэй хүнтэй хамт байх - эмэгтэй хүнгүй байх #гэнээ
Fri Aug 28 21:35:29 PDT 2015 --  Хүнийг нь биш, үйлдлийг нь шүүмжил #гэнээ
Fri Aug 28 21:02:41 PDT 2015 --  Сайн явах санааных Сингэл явах царайных #гэнээ
Fri Aug 28 21:01:14 PDT 2015 --  Мөнгө дагасан хайр гэж байдаггүй, тэр бол eрдөө завхайрал #гэнээ
Fri Aug 28 20:49:48 PDT 2015 --  Хүн хүмүүжлээ хүмүүжлээ гэхэд дэд сайд болтлоо хүмүүжнэ гэж юу байхөв #гэнээ
Fri Aug 28 20:17:53 PDT 2015 --  Вовка ш..нал гэсэн бол ш.аана гдг шиг бид нарыг торгоно л гсн бол торгохоор болж #замын хөдөлгөөний дүрэм #гэнээ
Fri Aug 28 20:17:49 PDT 2015 --  Эрчvvдэд зевлегее: Эмэгтэй хvнтэй хийх маргаанд ялах 2 л арга бий: 1.Тvрvvлж уйлах 2.Yхсэн болж жvжиглэх #гэнээ
Fri Aug 28 19:57:02 PDT 2015 --  Тайван амьдарна гэж байхгүй шүү #гэнээ ккк ФБ.с pic.twitter.com/C09FXBdDMq
Fri Aug 28 19:45:27 PDT 2015 --  Дэлхий дээр гурван төрлийн хүмүүс байдаг. Болгодог хүн, болохыг нь харж суудаг хүн, юу болоод өнгөрөв өө гээд ангайж хоцордог хүн #гэнээ
Fri Aug 28 19:30:46 PDT 2015 --  Сонгууль дахь манай намын уриа "бүх хүнийг баяжуулна" -Ядуучуудйг нь бас баяжуулах уу? -Тэд үхэж дуусах биз... #гэнээ
Fri Aug 28 19:30:06 PDT 2015 --  -Эмчээ, надад дадлагын оюутан мэс засал хийнэ гэж сонслоо? -Тиймээ -Тэгээд буруу зерvv огтлочуул яана? -Яахавдээ, муу дvн л авышт #гэнээ
Fri Aug 28 19:01:46 PDT 2015 --  Цагийн сайханд 500 төгрөгтэй дэлгүүр ороод 1 кг төмс, талх консерв, сүү аваад л гардаг блаа. Одоо тэгсэн яасан дэлгүүрүүд нуль камер. #гэнээ
Fri Aug 28 19:00:32 PDT 2015 --  Сурвалжлагч:Машин хаана барьж сурсан бэ? гэсэн чинь: -Машинд. #гэнээ
Fri Aug 28 18:31:50 PDT 2015 --  гэдэс чанажына.Өвгөөн хошногоо гаргачихуу...Хүүхдүүдээсээ ичихгүй байнуу #гэнээ
Fri Aug 28 18:15:40 PDT 2015 --  Эмгэн евген 2 баяр хеертэйгээр тэврэлдэн vнсэлдэнэ. Хvмvvc: -Алтан хуримаа хийж байгаамуу? -Yгvй ээ, байрныхаа лизингийг телж дууссан #гэнээ
Fri Aug 28 17:41:45 PDT 2015 --  Өршөөлийн хуулиар өршөөгдөх төрийн албан тушаалтанууд 124 тэрбум төг-н хохирол учруулсан. #гэнээ Энэ мөнгөөр хэдэн цэцэрлэг барих бсан бол?
Fri Aug 28 15:41:18 PDT 2015 --  Манай украин ах нар намын жагсаалтын гишүүний суудлаа 3-10 саяар зарсан #гэнээ http://fb.me/1WvTD3jpI 
Fri Aug 28 09:34:23 PDT 2015 --  Эмэгтэй хүнд ТАЙВШИР гэж битгий хэл Тэд бүр их уурлах болно #гэнээ pic.twitter.com/Zaetp3ZS1g
Fri Aug 28 08:55:13 PDT 2015 --  Газрын тосны үнэ 43$ болсон байна. #гэнээ Бензин үнэ бууж магадгүй дүүргэхгүй 20-25-д хийгээд л явж байхаас. #итгэл_найдвар
Fri Aug 28 08:14:31 PDT 2015 --  2 пиво уучаад, шээт хөхөө гаргасан цамцаа өмсөөгүй байна, замд цагдаа гайгүй байгаа #гэнээ #Найз
Fri Aug 28 08:13:34 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Fri Aug 28 07:31:00 PDT 2015 --  Дарга ажилчдын анкетнаас дурын 5ыг сугалж аваад: -Эднийг хал! -Яагаад? -Азгvй хvмvvст би дургvй #гэнээ
Fri Aug 28 07:29:15 PDT 2015 --  70 бол угсарчихна биз #гэнээ https://twitter.com/satso999/status/599529647240413184 …
Fri Aug 28 06:59:41 PDT 2015 --  Бvсгvйгээс залуу: -Юу уухуу? -Вино -Улаан, цагаан? -Улаан -Франц, Итали, Испани? -Франц -Бордо, Мерло? -Ёоо ядаргаатаймбэ архи ууя #гэнээ
Fri Aug 28 06:59:08 PDT 2015 --  Зочид буудлын ресепшн "Монголын үрс маш олон болтугай" гээд бэлгэвчүүдийг цоолоод сууж байдаг #гэнээ
Fri Aug 28 06:57:17 PDT 2015 --  Хүүхнүүд том мээмтэй байх тусмаа тэнэг байдаг гэж эрчүүд боддог. Yнэндээ бүсгүй том мээмтэй байх тусам эр хүн тэнэгтэж эхэлдэг юм шүү #гэнээ
Fri Aug 28 06:19:22 PDT 2015 --  Сонгууль дахь манай намын уриа "бүх хүнийг баяжуулна" -Ядуучуудйг нь бас баяжуулах уу? -Тэд үхэж дуусах биз... #гэнээ
Fri Aug 28 06:17:31 PDT 2015 --  Ер-ч тэргүүн хатагтайн энгэрийг одонгоор хатгаж зүүдэлдэг... #гэнээ
Fri Aug 28 05:25:03 PDT 2015 --  гэдэс чанажына.Өвгөөн хошногоо гаргачихуу...Хүүхдүүдээсээ ичихгүй байнуу #гэнээ
Fri Aug 28 05:09:25 PDT 2015 --  #гэнээ https://twitter.com/batsukh0330/status/637187256382394369 …
Fri Aug 28 04:43:54 PDT 2015 --  Атаархуу хүн өөрөө ч мэдэлгүй атаархцан байдаг #гэнээ
Fri Aug 28 04:42:43 PDT 2015 --  Одоо ч шүдэнз өвөртөлж явуул муу хэлэх байлгүй асаагуур авч явж чадахгүй яндан баагий гээд #гэнээ кк
Fri Aug 28 04:41:01 PDT 2015 --  Сайхан хүнд галзууртлаа дурлаад үз. Дурлаж үзээгүй хүнийг амьд явсан гэж хэлээд ч яах вэ дээ #гэнээ
Fri Aug 28 04:03:17 PDT 2015 --  Цэгцтэй бодол цэгцтэй амьдралыг бий болгодог #гэнээ
Fri Aug 28 04:00:30 PDT 2015 --  - Чи уудаг уу? - Хэрвээ энэ асуулт бол “үгүй”, харин урилга бол “тийм” #гэнээ
Fri Aug 28 03:41:21 PDT 2015 --  Мөнгөгүй байхад эхнэрийн чанар танигдана Жирэмсэн байхад нөхрийн чанар танигдана #гэнээ
Fri Aug 28 03:39:23 PDT 2015 --  Жаалхүү ээжийнхээ ажил руу байн байн залгана.Ээжтэй нь яриулахгүй болохоор бүдүүн дуугаар"Байнуу би аав байна. Ээжтэй ярий..." #гэнээ
Fri Aug 28 03:32:32 PDT 2015 --  Сардаа ганц ирдэг сарын тэмдэг шиг найзуудаас хол байя #Гэнээ
Fri Aug 28 03:01:12 PDT 2015 --  Би балкон дээр тамхи татчаад окуркаа хэзээ ч доош хаядаггүй. Гай болж доод айлд гал гарвал мөрдөн байцаалт явагдаад ээж мэдчинэ #гэнээ
Fri Aug 28 02:58:19 PDT 2015 --  Хүн хамгийн хайртай хүндээ хамгийн амархан гомддог #гэнээ
Fri Aug 28 02:56:02 PDT 2015 --  Гурван охинтой айлын утас дуугарав. -Миний тооройхоон чи мөн үү? -Бишээ гахайн фермийн эзэн байна... #гэнээ
Fri Aug 28 02:40:50 PDT 2015 --  Түгжирч явжагаад ирсэн чинь Хүүхэд сургуулььд орох болцон байшдээ Буцаа гараа явжийн хэзээ ирхийн бүү мэд #Гэнээ #Брабру
Fri Aug 28 02:36:03 PDT 2015 --  Их сургуулийн багш: За сургуулиа төгсчихлөө, хаана ажиллах гэж байна Оюутан: Би авилга авдаг эсвэл урамшуулал авдаг газар ажилд орно #гэнээ
Fri Aug 28 02:24:18 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Fri Aug 28 02:01:05 PDT 2015 --  Эцэг эх нь ХӨДӨЛМӨРЛӨЖ байхад, үр хүүхдүүд нь ЗУГААЦСААР байвал, ач зээ нь ГУЙЛГА ГУЙХЫН цондон... #гэнээ ~Япон ардын зүйр үг~
Fri Aug 28 01:50:23 PDT 2015 --  Оюутнуудад зориулсан тогоо #гэнээ pic.twitter.com/QLttEoAsSL
Fri Aug 28 01:30:39 PDT 2015 --  Бурханаар биш тюмпэнгээр бөөлждөг Нямка #гэнээ https://twitter.com/Baabarniitlelch/status/634561536858521601 …
Fri Aug 28 01:20:51 PDT 2015 --  -Байнуу, цэцэрлэгээс ярьж байна. Баяр хvргэе, танай хvvхдийн оочер болцон! -Юу? Хэзээний оочер вэ?Манай хvv цэрэгт явцышт #гэнээ @TDuuren
Fri Aug 28 00:45:05 PDT 2015 --  Эр хүний эцсийн зогсоол эхнэр, хүүхэд нь л байдаг. Тиймээс төлбөртэй болон түр зогсоол хайгаад дэмий #гэнээ
Fri Aug 28 00:43:14 PDT 2015 --  Мэргэжилээрээ 30 жил ажилсан ,25 хүртэлх насны хүмүүсийг ажилд авна #гэнээ
Fri Aug 28 00:12:48 PDT 2015 --  Цалин эзэндээ шивнэнэ: -Хөгшөөн гарч сайхан шоудвья -Эзэн хариулна -Жоохон юм байж чимээгүй бай #гэнээ
Fri Aug 28 00:11:24 PDT 2015 --  Кивигийн гурав #гэнээ pic.twitter.com/mvoBWbDTGk
Fri Aug 28 00:09:27 PDT 2015 --  Close enough #гэнээ pic.twitter.com/69Wlv6lUju
Thu Aug 27 23:48:43 PDT 2015 --  Би дээрээ 3 ахтай: 1.Жанчив 2.Зодов 3.Нүдэв гэдэг... #гэнээ
Thu Aug 27 23:44:33 PDT 2015 --  #гэнээ гэсэн адилхан жиргээ эээвривэээр
Thu Aug 27 23:18:47 PDT 2015 --  -Өөрийгөө ер-ч гээд солиороод бдг өвчтөн яаж байна. -Арай гайгүй болсоон. Одоо өөрийгөө ерөнхий сайд гэдэг болсон... #гэнээ
Thu Aug 27 23:17:38 PDT 2015 --  Эмэгтэй хунийг хайрла!!! Бууныхаа гохыг эмэгтэй хунлуу чиглуулэн дарахдаа зеелен дарж бай #гэнээ
Thu Aug 27 23:17:32 PDT 2015 --  Найз охиндоо лизингээр айфон авч өгсөн тэгээд салаад найз охин нь өөр хүнтэй нийлээд жирмээ болцон тэхдээ утасныхан лизинг дуусаагүй #гэнээ
Thu Aug 27 22:31:36 PDT 2015 --  Хамгийн их бичигддэг гурван үг юу вэ? I love you Хэхэ үгүй ээ... made in china #гэнээ
Thu Aug 27 22:30:04 PDT 2015 --  Эр хүний эцсийн зогсоол эхнэр, хүүхэд нь л байдаг. Тиймээс төлбөртэй болон түр зогсоол хайгаад дэмий #гэнээ
Thu Aug 27 22:17:55 PDT 2015 --  #гэнээ pic.twitter.com/V96rp2Cop5
Thu Aug 27 22:06:56 PDT 2015 --  Дээр үед эхнэрээ булааж хулгайлж авдаг бсан харин энэ зэвүүн нийгэмд худалдаж авдаг болчоод байна #гэнээ
Thu Aug 27 22:05:28 PDT 2015 --  Олон жил шийгуа зарсан эр хvvхдээ дух руу нь ганц няслаад л шалгалтанд бэлэн эсэхийг нь мэддэг #гэнээ
Thu Aug 27 21:34:28 PDT 2015 --  Маамуу нааш ир Манайд хоёулаа тоглоё Аав ээж 2 ийн авчирсан тоглоом бий гэж цэцэрлэгт орж чадаагvй хvvхдийн дуу юм байна #гэнээ
Thu Aug 27 21:30:05 PDT 2015 --  Цэцэрлэгт сугалаагаар орж чадаагүй хүүхэддээ , амьдралын чинь анхны алхам азгүйтлээр эхэллээ гэхүү #гэнээ
Thu Aug 27 21:11:16 PDT 2015 --  Увсынхан харж л байгаарай, Түвшинбаяр медаль зулгаахад Булганыхан дуугай л байна #гэнээ
Thu Aug 27 20:58:43 PDT 2015 --  Тогны хязгаарлалттай Халуун усны хязгаарлалттай Автомашины хязгаарлалттай #НайрсагУлаанбаатар #гэнээ"
Thu Aug 27 20:48:06 PDT 2015 --  #гэнээ . . . https://twitter.com/Fact/status/637109003055566848 …
Thu Aug 27 20:42:31 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Thu Aug 27 20:38:31 PDT 2015 --  Араас муулдаг хүмүүст үргэлж урд чинь байдгыг мэдрүүлдэгт баярлалаа #гэнээ
Thu Aug 27 20:31:31 PDT 2015 --  Бурхан зураг төөргийг минь болооцооны л зурцан байгаасай . #гэнээ
Thu Aug 27 19:51:42 PDT 2015 --  Цэцэрлэгт сугалаагаар орж чадаагүй хүүхэддээ амьдралын чинь анхны алхам азгүйтлээр эхэллээ гэхүү #гэнээ
Thu Aug 27 19:47:39 PDT 2015 --  Цэцэрлэгт сугалаагаар орж чадаагүй хүүхэддээ , амьдралын чинь анхны алхам азгүйтлээр эхэллээ гэхүү #гэнээ
Thu Aug 27 19:45:48 PDT 2015 --  -За енеедер ууна биз дээ? -Ямар 1 тэмдэглэлт едер юмуу? -2015оны 8сарын 28. Энэ едер амьдралд чинь ганц л удаа тохионо шvv дээ! #гэнээ
Thu Aug 27 19:35:46 PDT 2015 --  #гэнээ хахахаха pic.twitter.com/gx6LSn31qa
Thu Aug 27 19:26:27 PDT 2015 --  Өндөр Шараваа ах намхан хүмүсийн синдромны талаар нийтлэл шэйрлсэн Гэхдээ би сайн ойлгоогүйэээ #Гэнээ #Брабру
Thu Aug 27 18:46:38 PDT 2015 --  #гэнээ pic.twitter.com/l1DMcsJQB2
Thu Aug 27 18:32:09 PDT 2015 --  #Гэнээ Уушгины багтаамж сайжруулах уламжлалт дасгал http://www.ikon.mn/n/jio  via @ikonnews
Thu Aug 27 18:30:05 PDT 2015 --  Нам дагасан залуус яагаад сахалгүй болчихдог юм бол? Бөгс долоохоор загатнаад байна гэж дарга нар нь уурладаг юм #гэнээ
Thu Aug 27 18:15:47 PDT 2015 --  #гэнээ Зүүдээ манаарай бас сайтар санаарай... (:-) https://twitter.com/Fact365/status/637070720971862016 …
Thu Aug 27 18:15:17 PDT 2015 --  Эцэг эх нь царайлаг бол охин төрөх магадлал их байдаг #гэнээ Би яацын бээ энчодоо хахаха
Thu Aug 27 18:03:28 PDT 2015 --  Автобусанд залуухан сайхан хүүхэн суужийна. Яриа өдөх санаатай очтол "өвөө та энд суу" гээд босдым даа #гэнээ
Thu Aug 27 18:01:27 PDT 2015 --  Цандэлэг Бурмааг нухасаар л байна #гэнээ
Thu Aug 27 17:57:06 PDT 2015 --  Хүмүүс сайхан машин, сайхан царай зүсгүй болхоороо л сайхан сэтгэл ярих юм ааа ....би ч ялгаагүй дээ #гэнээ
Thu Aug 27 16:38:41 PDT 2015 --  Дуртай газраа оч, Дуртай зvйлээ ид , Амьдрал гэдэг бол Аз жаргалтай мөчүүдийн хэлхээс болохоос амьд явах гэсэн тэмцэл биш юм #гэнээ
Thu Aug 27 16:23:01 PDT 2015 --  Бөгс долоогчдын анги элсэлтээ авах дөхөж байна #гэнээ
Thu Aug 27 09:41:38 PDT 2015 --  За даа, ер нь энэ хоол хvнсийг ялгаж салгаж хэрэглэж байя даа: архи пиво хольж уудгаа больё #гэнээ
Thu Aug 27 08:45:20 PDT 2015 --  Ирэх 9 сарын нэгнээс эхлээд ганц ганцаараа архиддаг болхоно дээ #гэнээ ккк за 1ээс өмнө нзудтайга сайн уулзаад авъя pic.twitter.com/Cr51RUg1u2
Thu Aug 27 08:27:44 PDT 2015 --  Хэрэглэгч бол хаан #гэнээ pic.twitter.com/s4WsDe3Ezi
Thu Aug 27 08:20:46 PDT 2015 --  Боолуудад хүндлэл зохьдоггүй, угаас тэд даах ч үгүй. #гэнээ
Thu Aug 27 07:42:06 PDT 2015 --  Зөвхөн өөрийнхөө өнцгөөс харж ярьснаар хэзээ ч амжилтанд хүрэхгүй #гэнээ
Thu Aug 27 07:42:53 PDT 2015 --  хааяа улс төрөөс ангид тархиа амрааж тоглолт үз Сoldplay
Thu Aug 27 07:19:12 PDT 2015 --  IQ түвшин 15 оноогоор нэмэгдэх тутам эмэгтэй хүний ээж болох хүсэл 25 хувиар буурдаг байна. #гэнээ
Thu Aug 27 07:04:31 PDT 2015 --  Нэг нөхөр эр хонь зарна гэнэ -Хэдэд өгөх үү? -250000-аа -Жороо юм уу #гэнээ хаха
Thu Aug 27 07:04:14 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Thu Aug 27 06:50:05 PDT 2015 --  #Гэнээ #Хэнээ https://twitter.com/jaalaa_g/status/636893442186973187 …
Thu Aug 27 06:49:39 PDT 2015 --  Хурцуудад зориулсан ундаа онгойлгогч #гэнээ pic.twitter.com/iZ6Tk9KiJv
Thu Aug 27 06:30:45 PDT 2015 --  #гэнээ @Soromz https://twitter.com/_birjanka/status/636893206475509760 …
Thu Aug 27 06:16:05 PDT 2015 --  Өгсөн юмаа буцаагаад авъя гэхээр хүмүүс уурлаад байхын,өгсөнөө хаясанд тооц гэсэн. #Гэнээ
Thu Aug 27 05:58:51 PDT 2015 --  #гэнээ @bboljmor77 https://twitter.com/ntc_o/status/636885485793644544 …
Thu Aug 27 05:48:50 PDT 2015 --  #гэнээ pic.twitter.com/negIrayM8n
Thu Aug 27 05:45:12 PDT 2015 --  Цэцэрлэгээ эхэлж олчихоод дараа нь хүнтэй сууж хүүхэд гаргамаар юм байна #гэнээ
Thu Aug 27 05:45:02 PDT 2015 --  Байрны зээлээ #ӨРШӨӨЛИЙН хуулинд хамруулчих юм сан #гэнээ
Thu Aug 27 05:08:35 PDT 2015 --  Шумууланд 72 удаа хазуулцан хүмүүс бна.. эндхийн рэкорд нь 81 байдаг #гэнээ #гитдууд
Thu Aug 27 04:52:12 PDT 2015 --  Магнайтай л суудаг байж дэд сайд болчихно гэж яаж мэдэхэв #гэнээ кака
Thu Aug 27 04:35:23 PDT 2015 --  Дайнд гархаасаа емне 1удаа залбир Далайд гархаасаа емне 2удаа залбир Гэрлэхээсээ емне 3удаа залбир #гэнээ
Thu Aug 27 04:15:04 PDT 2015 --  ирэх сарын сүүлчээс эхлээд цэвэр агаарыг сугалаагаар олгоно #гэнээ
Thu Aug 27 04:12:42 PDT 2015 --  Эмгэн евген 2 баяр хеертэйгээр тэврэлдэн vнсэлдэнэ. Хvмvvc: -Алтан хуримаа хийж байгаамуу? -Yгvй ээ, байрныхаа лизингийг телж дууссан #гэнээ
Thu Aug 27 03:45:04 PDT 2015 --  -8 #гэнээ үхцэн нь дээр юм бн
Thu Aug 27 03:30:38 PDT 2015 --  Мэргэжлээрээ 30-с доошгүй жил ажилласан 25 хүртэлх насны хүнийг ажилд авна Ажилд авах зар #гэнээ
Thu Aug 27 03:15:16 PDT 2015 --  Cар/384 мянган километр/ манайхаас саахалтын зайтай #гэнээ http://news.gogo.mn/r/168701 
Thu Aug 27 02:59:07 PDT 2015 --  #гэнээ @Bilguunovich https://twitter.com/uyanga_ts/status/636839724997455873 …
Thu Aug 27 02:55:26 PDT 2015 --  Надад ердөө 2хон л сул тал байдаг.Нэг нь мартамхай,нөгөө нь …юу ч билээ дээ.Мартчихаж. #гэнээ
Thu Aug 27 02:49:46 PDT 2015 --  -Ээжээ би андуураад байдаг болчлоо. -Хуцаад бай би аав чинь байна #гэнээ
Thu Aug 27 02:19:57 PDT 2015 --  Исак Ньютон гэж физикийн ямар эрдэмтэн байсан бэ? За мэдэхгүй ээ, хими мимийнх л байх #гэнээ хаха
Thu Aug 27 01:45:05 PDT 2015 --  Хүний хамарнаас шингэн нус гоождог байтал Халуунаас болоод Хатсан нус гоожжышт #гэнээ :-P
Thu Aug 27 01:31:37 PDT 2015 --  Хуримын ёслол дэндүү европжиж, монголын уламжлалт хурим, ёс дэг мартагдах дөхөөд байна #гэнээ үнэн2
Thu Aug 27 01:26:59 PDT 2015 --  Тоолмоор санагдаад тоолдог бол яах уу:-) @nona25648963: АТМ-ээс мөнгө аваад гараараа тоолж буй хүмүүсийг хөдөөний оюутанууд #гэнээ ....”
Thu Aug 27 01:26:54 PDT 2015 --  Цэцэрлэгт танилтай залуу эхнэр хайжийнэ #гэнээ
Thu Aug 27 01:15:27 PDT 2015 --  -8 #гэнээ үхцэн нь дээр юм бн
Thu Aug 27 01:10:18 PDT 2015 --  Contributed Tweets for @asound_temuulen are delivered by @RoundTeam https://roundteam.co 
Thu Aug 27 01:03:56 PDT 2015 --  Байрны зээлээ #ӨРШӨӨЛИЙН хуулинд хамруулчих юм сан #гэнээ
Thu Aug 27 00:30:04 PDT 2015 --  -За Батаа чи сургуульд орсын байна.Хоёр хоёрын хэд вэ? -4 -Сайн байна, чамайг 4 чихрээр шагнанаа. -Түй, мэдсэн бол 16 гэчихгүй юу #гэнээ
Thu Aug 27 00:03:47 PDT 2015 --  Монголд нэг бол дуурь, урлагийн арга хэмжээнд очдог үгүй бол баар саванд орж тасартлаа уудаг гэсэн хоёр төрлийн хүмүүс л байдаг #гэнээ
Wed Aug 26 23:52:05 PDT 2015 --  Орчин үеийн ажил горилогчид тавих шаардлага: -Бид 22-26 насны 30 жилийн туршлагатай хүн хайж байна #гэнээ
Wed Aug 26 23:45:23 PDT 2015 --  Хүн сайн гэж хандсан, итгэсэн хүндээ эерэг сөрөг нь хамаагүй зүйлийг итгээд ярьчдаг #гэнээ
Wed Aug 26 23:32:32 PDT 2015 --  Эхнэр: би жирэмсэн болчиж Нөхөр: хэнээс #гэнээ
Wed Aug 26 23:13:39 PDT 2015 --  Бэлчээр дээр хонь хариулж буй өвөөгөөс: -Өвөө энэ танай мал уу? -Үгүй ээ, мал нь хотод байгаа, энэ сургалтын төлбөр нь гэсэн #гэнээ
Wed Aug 26 22:38:18 PDT 2015 --  Ю картгүй, микроодхоос #гэнээ pic.twitter.com/c0S3pmwZzv
Wed Aug 26 22:15:05 PDT 2015 --  Би тэгвэл чам дээр лайк дарж байхгүй... #гэнээ Одоо үеийн бага ангийн охидуудын муудалцааны гэрч болов.
Wed Aug 26 22:12:35 PDT 2015 --  эрэгтэй хүний цаад сэтгэл нь гаднах төрхтэй нь харьцуулашгүй зөөлөн, уян, гэнэхэн гэмээр ч байдаг #гэнээ
