Sat Aug 29 01:14:28 PDT 2015 --  
Fri Aug 28 08:54:18 PDT 2015 --  K, I'm tired of my short hair now. Grow hair, grow!!
Sun Aug 09 14:12:56 PDT 2015 --  I don't usually freak out, but when I do... AHHHHHHHH!
Sun Aug 09 10:16:20 PDT 2015 --  I think a proposal dream was God's humorous way of scaring the crap outta me and getting me outta bed... talk about nightmares..
Sat Aug 08 17:48:35 PDT 2015 --  Please. Please. Please tell me that #AmericanCrime S2 will show what happens to Hector!!
Sat Aug 08 13:24:37 PDT 2015 --  When I see people wearing shit they shouldn't be . Someone don't love you enough to tell you, you don't look ok. At all. #sorrynotsorry
Sat Aug 08 10:57:32 PDT 2015 --  If yall thought my hair was short before, just wait til you see my hair now.. peeps gonna be mad
Fri Aug 07 10:50:36 PDT 2015 --  Ha! @RondaRousey wouldn't need 36 mins... https://twitter.com/TheBuzzerOnFOX/status/629696933695598593 …
Fri Aug 07 09:35:19 PDT 2015 --  I discovered the most amazing pair of shades EVER yesterday! Maui Jim!! Anyone want to buy me a pair lolololololol
Fri Aug 07 08:59:25 PDT 2015 --  I've really surprised myself in how well I work under pressure. BUT I am looking forward to next Thursday & being done with classes!
Fri Aug 07 08:29:50 PDT 2015 --  Lord give me strength..
Thu Aug 06 06:21:06 PDT 2015 --  Japan marks 70 years since Hiroshima with call for nuke-free world http://huff.to/1MRZIEt  pic.twitter.com/yx5H4tR4mp
Thu Aug 06 06:30:08 PDT 2015 --  current mood pic.twitter.com/CceCk98KaA
Wed Aug 05 21:31:00 PDT 2015 --  If it wasn't for my father & brother, I would not be where I am today. That's it. That's the truth. Has been. Will always be.
Wed Aug 05 20:09:08 PDT 2015 --  Love how my cat gets mad at me because I am "interrupting" her roach hunting by walking by lmaooo... oh ok.. ha!
Wed Aug 05 20:01:53 PDT 2015 --  Life is so short & precious! If I don't say it enough, know I love you! @isalazar06 @book_worm101 @alondra0930 @DRE0484
Wed Aug 05 08:38:39 PDT 2015 --  When did it become ok for people to stop using staples!? #petpeeve #staplethatshit!
Tue Aug 04 14:59:03 PDT 2015 --  Well darn! If Kermit and Miss Piggy can't make it work, then I may as well get used to the idea of being single!
Tue Aug 04 09:26:45 PDT 2015 --  Old-fashioned love needs to make another round..How Sex Isn’t The Only Form Of Infidelity In Relationships These Days http://elitedaily.com/dating/sex-isnt-form-infidelity-relationships-days/1099141/ …
Mon Aug 03 11:12:34 PDT 2015 --  It's really hard to stay positive and in a good mood when you're fed up...
Fri Jul 31 22:25:07 PDT 2015 --  But then again idk, maybe I haven't really loved someone to get to that point. I hope I'm never one of THOSE couples. Please slap me if I do
Fri Jul 31 22:22:46 PDT 2015 --  I also hate those nicknames they give each other and they think it's cute... no, just no. Stop it please. My soul is slowly dying.
Fri Jul 31 22:21:23 PDT 2015 --  I really hate couples who are all like omg you've been gone for 5 mins, I miss you DO much, come back to me.
Fri Jul 31 22:20:47 PDT 2015 --  Idk if I really just flat out hate it or I secretly want it, but...
Fri Jul 31 19:16:09 PDT 2015 --  I met the nicest lady today! She def put a smile on my face and lightened my mood. #itsthelittethings
Wed Jul 29 16:34:24 PDT 2015 --  I'm just sitting here chillin like I don't have a paper and a project due. Lol
Sun Jul 26 19:00:41 PDT 2015 --  Mexico wins it! El Tri takes home 7th Gold Cup title, 3rd in last 4 tournaments with 3-1 victory over Jamaica. pic.twitter.com/BmIrdMNVg8
Sun Jul 26 12:02:55 PDT 2015 --  I realized today that dating is such a pain and SO MUCH work! I'm too lazy for all that! lmaoo!!
Fri Jul 24 06:15:25 PDT 2015 --  Nigeria marks one year without a recorded case of polio http://bbc.in/1CUgIHV 
Thu Jul 23 15:05:22 PDT 2015 --  #UnansweredQuestions Did Roger ever really go home? pic.twitter.com/nBo2IdHNVB
Thu Jul 23 15:05:33 PDT 2015 --  Donald Trump = Mas Puto!!!
Wed Jul 22 12:44:13 PDT 2015 --  #pandora http://pdora.co/1h4RH0U 
Wed Jul 22 12:27:11 PDT 2015 --  Dylann Roof Update: - 33 count federal indictment - Hate crime charges filed - Roof faces life in prison, death http://www.buzzfeed.com/mikehayes/dylann-roof-charged-with-federal-hate-crime-in-charleston-ch?bftwnews&utm_term=4ldqpgc#4ldqpgc …
Wed Jul 22 07:16:04 PDT 2015 --  http://bible.com/42/luk.6.27.cpdv … But I say to you who are listening: Love your enemies. Do good to those who hate you.
Tue Jul 21 20:21:24 PDT 2015 --  I was alllllll ready for bed when I just so happened to remember @TyrantFX was on tonight, now I'm so hyped I can't sleep!
Tue Jul 21 19:51:44 PDT 2015 --  Bassam turned into a badass @TyrantFX #TyrantFX
Mon Jul 20 18:37:56 PDT 2015 --  This Guy Honored His Girlfriend's Late Father ... http://www.buzzfeed.com/abagg/this-guy-honored-his-girlfriends-late-father-in-the-best-way … #thefeelsarereal
Mon Jul 20 17:54:44 PDT 2015 --  Running in the summer means having legs with 3 distinctively different shades #notacloudinsight #itsfnhotoutside!
Sat Jul 18 13:31:46 PDT 2015 --  Edward Norton tho
Fri Jul 17 22:24:12 PDT 2015 --  I have the best-est friends ever!!
Fri Jul 17 17:32:26 PDT 2015 --  Anyone want to 1. Come do my homework and 2. Drive me to Saratoga, TX at 5am tomorrow? Yes? No? No. Ok #exhausted
Fri Jul 17 17:01:40 PDT 2015 --  Police looking at connection between two slayings in 24 hours on the same South Dallas street http://d-news.co/PLNHL  pic.twitter.com/fzz1YXs9lI
Thu Jul 16 19:28:09 PDT 2015 --  My mom just walked in my room & basically told me my makeup looks like shituh yeeaaa its the end of the day #catchmeinthemorningtho #meanie
Thu Jul 16 10:13:40 PDT 2015 --  That awkward moment when you realize you didn't respond to a txt 4 WEEKS AGO... my bad!
Thu Jul 16 09:35:11 PDT 2015 --  People keep asking me if my man got mad bc I cut my hair. 1st: what man!? 2nd: it's my hair sooo ... I'll go bald if I want to lmao
Wed Jul 15 08:07:05 PDT 2015 --  It's 10:06 AM and I still don't like you, please get outta my office... #byefelicia
Tue Jul 14 17:29:02 PDT 2015 --  Idk how or if I'll ever be able to live with a man.
Sun Jul 12 15:32:35 PDT 2015 --  #aboutlastnight #maidofhonor #reyreygotmarriedyall #nailsdid #hairdid … https://instagram.com/p/5DY_WpJUHQ/ 
Sun Jul 12 09:03:57 PDT 2015 --  I feel like crap! And hungry oh so hungry.. Food. Now.
Sun Jul 12 06:32:08 PDT 2015 --  Hole in jail cell of escaped drug lord Joaquin Guzman led to tunnel nearly 1 mile long, Mexican official says. http://cnn.it/1IThdD1 
Sun Jul 12 08:53:13 PDT 2015 --  Lmaoooo. No, que no guey.. https://twitter.com/Jowynalex/status/620233771883831296 …
Sun Jul 12 08:25:04 PDT 2015 --  http://bible.com/42/mat.5.44.cpdv … But I say to you: Love your enemies. Do good to those who hate you. And pray for those who persecute and slander you.
Sat Jul 11 21:21:13 PDT 2015 --  It's goodto know that. That I'm ok now. It makes me happy.
Sat Jul 11 21:17:32 PDT 2015 --  How heartbroken & hurt I became, and how I was able to get over it when I never thought I would...
Sat Jul 11 21:15:51 PDT 2015 --  Talking to an old coworker today about relationships & heartbreak made me realize how so dearly I was in love a few years ago...
Thu Jul 09 10:09:11 PDT 2015 --  Only I would get a HUGE pimple on my cheek of all places, a few days before my friends wedding. Grreeeaaattttt -___-
Thu Jul 09 09:18:23 PDT 2015 --  #preach pic.twitter.com/wPD6UWKOfU
Wed Jul 08 10:13:03 PDT 2015 --  Today is YOUR day! #Quotes #DrSeuss pic.twitter.com/rgjK7xaxl3
Tue Jul 07 15:07:39 PDT 2015 --  I know you don't even love the same, do you, do you? http://pdora.co/17Wcot1 
Mon Jul 06 14:51:30 PDT 2015 --  Meet an Immigrant https://youtu.be/fboITcWaHy8 
Mon Jul 06 00:07:33 PDT 2015 --  https://twitter.com/girlideas/status/617937208868081664 …
Sun Jul 05 23:54:57 PDT 2015 --  Casual reminder that Jackie and Kelso are now married in real life--GOALS: http://eonli.ne/1G2juoU  pic.twitter.com/04ns6pGv1R
Sun Jul 05 23:32:26 PDT 2015 --  I want to run around the house banging pans together & screaming, "I didn't get no sleep cause of yall, yall not gonna sleep cause of me!"
Sun Jul 05 21:36:35 PDT 2015 --  No sleep
Sun Jul 05 10:10:09 PDT 2015 --  And none for Gretchen Weiner
Fri Jul 03 16:01:33 PDT 2015 --  100 days is still too long https://twitter.com/RickAndThangs/status/617005851296014336 …
Fri Jul 03 08:30:21 PDT 2015 --  Aziz Ansari: Everything you think you know about love is wrong http://ti.me/1FVcZ7k  pic.twitter.com/5Y5b9Yr6GV
Thu Jul 02 04:52:22 PDT 2015 --  Absolutely not! Not acceptable. Ever! https://twitter.com/GMA/status/616574665063014400 …
Wed Jul 01 19:51:57 PDT 2015 --  #rantover
Wed Jul 01 19:51:42 PDT 2015 --  I learned a loonnngggg time ago, the hard way, to keep your relationship private. Good or bad. You're only making yourself look foolish..
Wed Jul 01 19:50:22 PDT 2015 --  For the world to see and talk major crap about each other and then turn around and get back with the person...
Wed Jul 01 19:49:37 PDT 2015 --  I'm all for couples making it work especially if there are children involved. But please don't put ALL of your dirty laundry out there....
Wed Jul 01 14:01:29 PDT 2015 --  Now THESE are the kinda sexts I need in my life! #goals #letsbeweirdtogether https://twitter.com/BuzzFeed/status/616348248622657536 …
Wed Jul 01 13:45:07 PDT 2015 --  Mexican artist creates Donald Trump pinata, which he says is flying off the shelves: http://abcn.ws/1RS7SLX  pic.twitter.com/od3uuDEf8H
Wed Jul 01 13:46:03 PDT 2015 --  I love it when SFA transcripts come across my desk! It makes me happy and excited to meet fellow Lumberjacks
Wed Jul 01 13:13:59 PDT 2015 --  Siri been hurt before.. pic.twitter.com/36tCRdjQ33
Wed Jul 01 09:24:23 PDT 2015 --  Funny story today:I watched my kitten try to commit suicide while I was doing my makeup this morning #sillykitty #pleasedontdie #iloveyou
Wed Jul 01 09:20:16 PDT 2015 --  On any given day I will leave my house with at least 3 cups! Water, smoothie, protein...
Tue Jun 30 13:52:43 PDT 2015 --  Haha! I got Kevin! Which Minion Should Be Your BFF? http://www.buzzfeed.com/kristinharris/minion-bff …
Tue Jun 30 12:00:15 PDT 2015 --  You dun messed up Ay-Ay-Ron!
Sat Jun 27 21:36:21 PDT 2015 --  ... pic.twitter.com/gevrJBY1Eg
Sat Jun 27 18:49:01 PDT 2015 --  Why do people always assume I want to race them? No dude, I don't. Nice car though...
Fri Jun 26 10:09:09 PDT 2015 --  This eating around the clock thing is so hard. No mas food.
Thu Jun 25 20:29:16 PDT 2015 --  Sooo I buy my cat all these nice toys so she can stop tearing up my shit right! & what does she do? She plays with a melting ice cube...
Tue Jun 23 14:16:34 PDT 2015 --  And I know I can survive I'll walk through fire to save my life And I want it, I want my life so bad I'm doing everything I can...
Mon Jun 22 22:15:43 PDT 2015 --  McFarland USA is such an inspiring movie!! I loved everything about it.
Mon Jun 22 14:31:27 PDT 2015 --  Norma's Cafe rolls back prices to $1.79 for 59th anniversary tomorrow, starting at 10:30 a.m. http://d-news.co/OEkax  pic.twitter.com/zuNLBWMGNs
Sun Jun 21 20:59:32 PDT 2015 --  Yes! 33 Nightmares Bridesmaids Must Face http://www.buzzfeed.com/crystalro/nightmares-bridesmaids-must-face …
Fri Jun 19 10:21:18 PDT 2015 --  This world we live in, truly saddens me.
Wed Jun 17 15:48:03 PDT 2015 --  Red flags. Red flags everywhere. You don't marry someone thinking all your problems will then be magically solved. Nope. Nope. Nope.
Wed Jun 17 06:08:00 PDT 2015 --  So, what should we say about these things? If God is for us, who is against us? http://bible.com/42/rom.8.31.cpdv …
Wed Jun 17 03:12:23 PDT 2015 --  Tropical Depression Bill is moving north near Waco right now. Heavier showers are now begining to move into DFW. pic.twitter.com/lQsAp2Exoj
Tue Jun 16 19:29:57 PDT 2015 --  Donald Trump, oh I'm laughing alright. I'm laughing at you sir! Idiota! #ProudMexicanAmerican #VivaMexico! #TaLoco pic.twitter.com/OhrBT248Yz
Tue Jun 16 09:02:35 PDT 2015 --  I just got super emotional looking at pictures of Yellowstone National Park. I'm really thinking about just packing my bags & leaving..
Tue Jun 16 03:03:20 PDT 2015 --  Who's crying? Not me. Nope. Watch These Guys Find Out They're Going... http://www.buzzfeed.com/candacelowry/watch-these-guys-find-out-theyre-going-to-be-dads-and-weep-f …
Sun Jun 14 23:34:52 PDT 2015 --  This kids name is Tres... soooo three, you named your kid three..
Sun Jun 14 23:27:11 PDT 2015 --  https://youtu.be/06koEdJiwZg 
Sun Jun 14 23:23:21 PDT 2015 --  #SleeplessinDallas
Fri Jun 12 21:28:57 PDT 2015 --  I fall in love with my Cami a little more everyday pic.twitter.com/UujGtsLOYA
Fri Jun 12 18:31:34 PDT 2015 --  Took a nap after work, slept for 4 hours!! I know I was tired! Now I'll probably be up all night :/
Thu Jun 11 08:45:36 PDT 2015 --  I almost cried on my way to work this morning because my ipod shuffled to my oldie jams & it made me realize how much I miss Durango.
Wed Jun 10 22:37:35 PDT 2015 --  can't wait to see the new marvel film. starlord defending the galaxy from dinosaur. amaze. (no but srsly Chris Pratt tmrw 🏼)
Wed Jun 10 22:30:14 PDT 2015 --  For anyone having a bad day pic.twitter.com/bgKovFx6o5
Wed Jun 10 21:52:43 PDT 2015 --  Why dear lord, do people ask me stupid ass questions!!! beyond frustrated and done. Just done.
Wed Jun 10 20:11:23 PDT 2015 --  I love EVERYTHING about this. SO MUCH. #TheMatrimony #OneDay https://youtu.be/XNwwZ56xz8A 
Tue Jun 09 17:42:00 PDT 2015 --  Never thought I'd say this, but I love my kitten. So much! This is coming from a person who swore & she'd never have a cat...
Tue Jun 09 15:28:47 PDT 2015 --  You did not break me, I'm still fighting for peace...
Tue Jun 09 08:54:13 PDT 2015 --  Ya know what I hate. Having to pee but also being extremely thirsty at the same time. Why can't it be one or the other, not both lol
Mon Jun 08 19:13:31 PDT 2015 --  OH MA GAHD! I just found out my mom makes out kitty watch KERA all day lmfaooo
Mon Jun 08 12:23:31 PDT 2015 --  When this is all over I'm going to make it my life's mission to be laying out on a beach, soaking in the sun and drinking margaritas.
Mon Jun 08 12:22:13 PDT 2015 --  I also like to stress about all the stress I have
Mon Jun 08 12:20:22 PDT 2015 --  I'm the type of person that if you piss me off, I'm going to REALLY give you a reason to piss you off too. Something I need to work on...
Mon Jun 08 08:02:34 PDT 2015 --  Ive been watching the same vine since last night lol! I miss New York. A LOT. take me back @isalazar06
Sun Jun 07 20:45:42 PDT 2015 --  pic.twitter.com/mYYB1hApu4
Sun Jun 07 09:00:30 PDT 2015 --  When you can't hang like you used to #iwokeuplikeshit
Sat Jun 06 07:13:25 PDT 2015 --  I like that I can relate to all the cat memes now
Sat Jun 06 07:05:40 PDT 2015 --  RT for The Simpsons pic.twitter.com/Xe4B6uVNKf
Fri Jun 05 13:50:01 PDT 2015 --  Only a few more days until Season 3! Get your binge on. http://netflix.com/OITNB  https://amp.twimg.com/v/12cff413-b54b-4d21-898d-2e185928c11f …
Thu Jun 04 08:40:52 PDT 2015 --  Don't give me up, don't give me up.
Thu Jun 04 05:20:47 PDT 2015 --  7lbs down many more to come! Oh yeaaa!
Wed Jun 03 21:31:10 PDT 2015 --  If this is what having a baby is like, I'm not sure I'm ready for that lol.
Wed Jun 03 08:59:59 PDT 2015 --  Words cannot express how much this man means to me and how much I love him! This past year has been a… https://instagram.com/p/3eRDxHpUJW/ 
Mon Jun 01 08:28:08 PDT 2015 --  29 Times "Breaking Bad" Broke Your Heart http://www.buzzfeed.com/robinedds/i-am-the-one-who-cries … #iamtheonewhocries
Thu May 28 23:26:05 PDT 2015 --  #IAMUP and this thunder and lightning isn't helping! Are you up and over it!? #WFAAWeather @roncorning @WFAAalexa
Tue May 26 17:04:49 PDT 2015 --  20 Historic Photos Shown In Extraordinary Color http://www.buzzfeed.com/gabrielsanchez/historic-photos-in-extraordinary-color …
Tue May 26 12:34:18 PDT 2015 --  BABY GOATS IN TINY SWEATERS! http://bzfd.it/1cgRVAK  pic.twitter.com/iOrZPEKu8V
Tue May 26 07:55:56 PDT 2015 --  mood. pic.twitter.com/SmFDNcWd10
Mon May 25 08:21:34 PDT 2015 --  pic.twitter.com/q8L37sGXXc
Mon May 25 08:19:10 PDT 2015 --  I have HUGE respect for our military. Thank you for all of your sacrifices. God bless you always.
Mon May 25 08:14:22 PDT 2015 --  Today on #MemorialDay, we honor those who sacrificed their lives for our freedom. Our country stands tall on your shoulders. #NeverForget
Sun May 24 22:45:04 PDT 2015 --  North Texas weather: Forrest Gump nailed it http://on.wfaa.com/1IUsmE5 
Sun May 24 10:18:39 PDT 2015 --  Breakfast in bed and My Wife and Kids #HappySunday
Sat May 23 18:05:54 PDT 2015 --  How is it that as a single woman, people always come to me for relationship advice? Lmao. I obvs dont know what I'm doing. Dont listen to me
Fri May 22 23:00:36 PDT 2015 --  Yes, a thousand times yes! pic.twitter.com/5ZL3JwJskK
Fri May 22 18:18:20 PDT 2015 --  It's been that kind of day where everything thing makes me cry.
Thu May 21 15:03:11 PDT 2015 --  Working now to find out where the test pool was located. https://twitter.com/RyanWoodDFW/status/601508469343186944 …
Tue May 19 20:02:08 PDT 2015 --  No. Porfavor. NO! https://twitter.com/johngreen/status/600854718538186752 …
Tue May 19 07:56:24 PDT 2015 --  Was just interrupted during my speech 4 a student 2 tell me she likes my eyebrows. Eyebrows on fleek!..I immediately regret using that word
Tue May 19 07:49:08 PDT 2015 --  Shots fired!! https://twitter.com/espn/status/600672507667075073 …
Tue May 19 07:26:42 PDT 2015 --  My bodys not perfect and thats OK For Everyone Who's Ever F... http://www.buzzfeed.com/jordanshalhoub/professional-athletes-talk-about-body-image-mybodyis?utm_term=.xpJzMKV3e …
Mon May 18 04:31:07 PDT 2015 --  #MondayMotivation pic.twitter.com/xouMOZjAvC
Sun May 17 20:41:54 PDT 2015 --  What a day! Thank you Lord for everything!
Sat May 16 22:20:47 PDT 2015 --  Storms approaching DFW. Expect heavy rain, lightning, high winds now thru 2AM as storms roll through heart of DFW: pic.twitter.com/kxxsmdyTgJ
Sat May 16 14:34:40 PDT 2015 --  When you feel like you're not getting anywhere, no matter how hard you're trying I'm not one to give up easily, but damn..
Sat May 16 13:56:36 PDT 2015 --  Even though she drives me absolutely insane sometimes, and I REALLY want to strangle her lol, I still… https://instagram.com/p/2wcsfHpUEG/ 
Mon May 04 18:55:54 PDT 2015 --  TEACHING A PUPPY HOW TO CATCH https://vine.co/v/hYdLVKDpAFu 
Fri May 15 20:56:28 PDT 2015 --  I already love my World Literature professor!!! And classes don't start til July! Lol.
Fri May 15 13:00:29 PDT 2015 --  Currently pic.twitter.com/xxvO1YjFXj
Wed May 13 23:54:48 PDT 2015 --  I just got the, omg you look so much thinner!....BUT you've always been a pretty girl "compliment", if you can even call it that.
Wed May 13 15:23:04 PDT 2015 --  This guy didn’t know how long his puppy had to live so he filmed her every day http://bzfd.it/1AX3zr3  pic.twitter.com/v9sjiAbDWb
Wed May 13 07:27:13 PDT 2015 --  Rest in Peace Dan. You were a kind person and an amazing friend.
Mon May 11 13:52:50 PDT 2015 --  There's just gotta be something better!!
Mon May 11 08:05:32 PDT 2015 --  #MondayMotivation pic.twitter.com/kpDHrcYApF
Sun May 10 19:10:01 PDT 2015 --  I am soooooo in love with Canelo ! I will find you and I will marry you. Lol
Sat May 09 20:34:13 PDT 2015 --  Viva Mexico!!
Sat May 09 20:32:23 PDT 2015 --  Daaaaammmmmmmm that KO though!! @Canelo
Fri May 08 13:50:28 PDT 2015 --  It's sad that my friends feel the need to kidnap me to get us to hang out pic.twitter.com/GqndmxW9xN
Fri May 08 09:35:08 PDT 2015 --  67 Children’s Books That Prove Reading Can Change Your Life: http://www.buzzfeed.com/sarahgalo/never-underestimate-the-power-of-a-childrens-book#.ot3nb7GBbg … #ChildrensBookWeek @BuzzFeedBooks pic.twitter.com/Hi2HzdR6QR
Fri May 08 06:18:44 PDT 2015 --  It's Friday and it's payday!! Double yay!!
Thu May 07 21:37:54 PDT 2015 --  This rain tho. It's perfect cuddle weather! If only my cuddle buddy didn't live so far away
Thu May 07 13:04:26 PDT 2015 --  I just watched all the Mexico City Snapchats... now I wanna go to Mexico Lindo y Querido! #takemehome!!
Wed May 06 13:18:05 PDT 2015 --  And my entire being turns into this giant mush of love & I seriously can't handle myself. So that's happening right now. At work. I can't.
Wed May 06 13:16:43 PDT 2015 --  Yall when I like something/someone I REALLY like them... I go into this phase where my voice squeals, and I get all excited... cont.->
Wed May 06 11:29:06 PDT 2015 --  #CoolestPopeEver!! Pope Francis Spins Basketballs With The Harlem Globetrotters http://www.buzzfeed.com/ellievhall/pope-francis-spins-basketballs-with-the-harlem-globetrotters?utm_term=.nvLZJWpDv …
Wed May 06 05:00:11 PDT 2015 --  10 Things Being An Introvert Is Not An Excuse For http://tcat.tc/1GOe2ae  pic.twitter.com/c5pZCefDMc
Wed May 06 05:03:04 PDT 2015 --  You have finals coming up? I bet you're using your time wisely.
Tue May 05 19:17:39 PDT 2015 --  Just go with it is easily my favorite Adam Sandler movie
Tue May 05 12:39:34 PDT 2015 --  No, #itsnotmexicanindependenceday. It’s #CincoDeMayo. Here’s why we celebrate: http://cnn.it/1EOB2ro  @tleopoldcnn pic.twitter.com/0hTDUdyIIX
Tue May 05 09:53:54 PDT 2015 --  My job provided Taco Bell 4 lunch b/c Cinco de Mayo. I work down the street from Harry Hines aka little Mexico, u couldnt find real tacos!?
Mon May 04 07:31:14 PDT 2015 --  What happens when you take 2 days off of work? You come back to a shit ton of emails and a nice big pile of work. Happy Monday!!
Sun May 03 22:03:24 PDT 2015 --  This man drives me CRAZY! and yet the only thing I wanna do right now is hug him lol. Jerk. #imisshim
Sun May 03 11:34:58 PDT 2015 --  All i want to do is get in my car and drive away
Sat May 02 21:55:52 PDT 2015 --  No worries Pacquiao you won me
Sat May 02 21:53:26 PDT 2015 --  #Pacman
Sat May 02 21:52:35 PDT 2015 --  Man FUCK Mayweather!!
Sat May 02 11:28:58 PDT 2015 --  The way I feel right now, you'd think I just had the craziest night ever
Fri May 01 12:01:07 PDT 2015 --  I don't always get on Vine but when I do... LOL.
Fri May 01 11:50:33 PDT 2015 --  How far you wanna go? https://twitter.com/rachelleishman/status/594175407534034944 …
Fri May 01 08:47:09 PDT 2015 --  Gracias por las tantas risas que nos regalaste https://twitter.com/thelatintimes/status/594161635079680000 …
Thu Apr 30 04:46:38 PDT 2015 --  https://twitter.com/HuffingtonPost/status/593736583586684928 …
Wed Apr 29 20:21:25 PDT 2015 --  I think, I THINK, Iron Man is my favorite Avenger. I think. It's a toughfy..
Wed Apr 29 19:45:08 PDT 2015 --  "If your coworkers see you reading, just wave and say hi like you have nothing to be ashamed of BECAUSE YOU DON'T." http://oak.ctx.ly/r/2wfol 
Wed Apr 29 18:55:59 PDT 2015 --  1910s is my favorite! Watch 100 Years Of Mexican Beauty In Just Over... http://www.buzzfeed.com/alivelez/watch-100-years-of-mexican-beauty-in-just-over-one-minute …
Wed Apr 29 13:07:18 PDT 2015 --  I want a corgi!!! Please, pretty please!!!
Tue Apr 28 18:06:37 PDT 2015 --  I knew this day would come. I've been waiting for it. It came so soon. The day has finally come in which I regret cutting my hair.
Tue Apr 28 10:04:33 PDT 2015 --  When you have a feeling you just can't explain or shake off but it hurts, it literally hurts.
Tue Apr 28 03:45:43 PDT 2015 --  Today is my Thursday!!! looking forward to my 4 day weekend!! Well sorta..
