Sat Aug 29 07:30:02 PDT 2015 --  fuck cults
Thu Aug 13 07:34:14 PDT 2015 --  Tim Tebow desecrates a bible pic.twitter.com/gDgSydDX9y
Wed Aug 12 18:34:43 PDT 2015 --  What if seinfeld still on TV? Tell me in 3 emojis or less
Wed Aug 12 12:21:41 PDT 2015 --  Today's worst weather http://ift.tt/1f8kPVb  pic.twitter.com/Pa63ixv4Nd
Wed Aug 12 12:21:26 PDT 2015 --  I love what they've done to Mt. Rushmore, fam. Absolutely breathtaking. pic.twitter.com/P7Na1VbKIo
Wed Aug 12 12:40:34 PDT 2015 --  pic.twitter.com/NLlcWXAdfY
Wed Aug 12 10:37:22 PDT 2015 --  I can’t stop laughing. The BEST RT @jeffisrael25: This is no doubt the worst sketch of Tom Brady ever created pic.twitter.com/frzunA7Viu
Wed Aug 12 06:16:47 PDT 2015 --  Oatmeal, while delicious, is the saddest breakfast food of them all.
Tue Aug 11 18:18:43 PDT 2015 --  . @realDonaldTrump if you realy want to make america great again, you can start by getting seinfeld back on TV with brand new modarn epsodes!
Tue Aug 11 11:00:14 PDT 2015 --  Watching Vince Wilfork drop dimes and cash out from three is good for the soul https://vine.co/v/edOWaZ59gnz 
Tue Aug 11 11:18:18 PDT 2015 --  @bustedcoverage pic.twitter.com/DuonGdW66J
Tue Aug 11 10:43:09 PDT 2015 --  Belichik inviting Enemkpali to Pats camp would be his finest trolling moment since he had Brady punt on 3rd down.
Tue Aug 11 10:26:18 PDT 2015 --  It me
Tue Aug 11 08:49:49 PDT 2015 --  Can confirm '16 #ND S target Thomas Jones Jr. has committed to Vanderbilt to play baseball.
Mon Aug 10 22:50:35 PDT 2015 --  When you stupid as fuck... pic.twitter.com/6QbNmZDISQ
Sat Aug 08 21:22:45 PDT 2015 --  seinfeld plese rt
Sat Aug 08 13:59:28 PDT 2015 --  burgin. 1 rt = 1 respect pic.twitter.com/J85KVDOYFE
Sat Aug 01 13:10:47 PDT 2015 --  this guy and his hats! come on! pic.twitter.com/lz469W2kvI
Sat Nov 22 20:18:54 PST 2014 --  I still haven't forgotten the time Donald Trump RT'ed my gif of a cat shaking its balls: https://twitter.com/GloverTroy/status/486035208349941760 … pic.twitter.com/twzYa1ov9D
Wed Aug 05 17:02:19 PDT 2015 --  I'll say this for Vladimir Putin: the man knows his way around a photo op. pic.twitter.com/kTUMDvlfYe
Wed Aug 05 16:51:33 PDT 2015 --  we didnt deserve seinfeld it was too good for us
Wed Aug 05 12:34:32 PDT 2015 --  Titans' rookie QB Marcus Mariota now has gone through five practices and, at this point, has yet to throw an interception.
Wed Aug 05 10:59:14 PDT 2015 --  #ArchThatBackChallenge pic.twitter.com/R99r4CiTmm
Tue Aug 04 20:06:15 PDT 2015 --  I hate Penn State's new logo pic.twitter.com/rAHakuGaEi
Tue Aug 04 19:11:37 PDT 2015 --  I've been hiding a bunch of coal up my ass ever since Obamao got elected just in case he tries to take it @eGen_Foundation
Mon Aug 03 18:39:31 PDT 2015 --  pic.twitter.com/1VNGqk0ZSj
