Fri Aug 07 21:11:25 PDT 2015 --  http://youtu.be/1HRRftA0twU  #BTSwithThatsHeart From the U.S. and I will be the first in my family on my way to getting a College Degree :)
Sat May 02 20:40:49 PDT 2015 --  #TeamPacman #battle
Fri May 14 21:04:35 PDT 2010 --  @Ameeehhhh starbucks has happy hour?
Fri May 14 21:03:58 PDT 2010 --  In esco stupid work only made me work 1 fuckin hour wtf dude
Wed May 12 15:10:22 PDT 2010 --  Playin heavy rain on my ps3
Sun May 09 21:30:12 PDT 2010 --  In mira mesa freezin my ass off for the past 10 hrs -.-
Sat May 08 01:12:47 PDT 2010 --  Ate at albertacos in san marcos
Fri May 07 21:50:39 PDT 2010 --  Drinkin up in esco
Fri May 07 21:05:00 PDT 2010 --  Headin to esco
Wed May 05 19:13:44 PDT 2010 --  So I was workin in the drive through right n this old white lady n her husband straight told me she was rollin n u can tell she was lmao
Mon May 03 14:31:52 PDT 2010 --  @ZeLargeboat lol that's funny
Sun May 02 23:41:48 PDT 2010 --  Just finished fishing whole shit load of fish
Sun May 02 17:42:42 PDT 2010 --  Going fishing cause we bored
Sat May 01 21:45:48 PDT 2010 --  Man if mayweather fought mosley a long time ago he would've been dominated lol
Sat May 01 21:36:55 PDT 2010 --  Man fight is borin they both are bein gay lmao
Sat May 01 20:58:33 PDT 2010 --  Damn y they tryna hug each other lmao
Sat May 01 20:57:23 PDT 2010 --  Watchin the fight
Sat May 01 16:48:08 PDT 2010 --  oo mayweather vs mosley tonight (: def. wanna watch that fight.
Wed Apr 28 13:09:41 PDT 2010 --  @Ameeehhhh tiesto is the shit(:
Wed Apr 28 13:09:15 PDT 2010 --  Watching some boring video in class
Sat Apr 24 18:48:23 PDT 2010 --  beer pong.. early as fuck lmao
Fri Apr 23 19:26:34 PDT 2010 --  Headin back to temecula
Fri Apr 23 18:39:35 PDT 2010 --  At rallys orderin fully loaded fries
Fri Apr 23 18:09:36 PDT 2010 --  Drivin to esco
Thu Apr 22 13:54:22 PDT 2010 --  Waiting for English class to start then drive to temec to work
Thu Apr 22 13:53:33 PDT 2010 --  Just finished a school workshop
Wed Apr 21 10:57:40 PDT 2010 --  Short session of hail.. damn I don't like this on n off weather
Mon Apr 19 13:01:56 PDT 2010 --  Test was def. Easier than I thought I think I got a B tho lol
Mon Apr 19 11:53:41 PDT 2010 --  My fckin brain is gonna explode .. 30 min till exam.. Prepared for failure...
Mon Apr 19 11:52:14 PDT 2010 --  @Ameeehhhh oo when u buyin your tickets
Sat Apr 17 22:15:47 PDT 2010 --  Shared message via Twidroid @uhohdominos: Im a flirt dot com -- shared via Twidroid http://twidroid.com
Sat Apr 17 22:10:48 PDT 2010 --  In esco I wanna sleep now lmao
Sat Apr 17 22:05:36 PDT 2010 --  Drunk as fuck
Sat Apr 17 14:01:58 PDT 2010 --  @xoxobhristine lol that's funny
Sat Apr 17 14:00:09 PDT 2010 --  Busy as shit today fck
Sat Apr 17 11:05:18 PDT 2010 --  At work get off at 4
Fri Apr 16 16:51:31 PDT 2010 --  Finally bought a ps3 found 1 off craigslist for 270 http://twitgoo.com/ohdtf
Thu Apr 15 15:02:33 PDT 2010 --  Still waiting.
Thu Apr 15 12:47:14 PDT 2010 --  In esco waiting for these stupid ppl wantin to sell their ps3 they won't let it go for $10 less than what they asked
Wed Apr 14 21:12:37 PDT 2010 --  Just lost 25 at the casino ):
Tue Apr 13 13:57:24 PDT 2010 --  While drivin here it was weird one area was all dark as shit then all of a sudden bam! Sun lol
Tue Apr 13 13:55:53 PDT 2010 --  Just got to class waiting actually got here early 4 once
Tue Apr 13 12:12:16 PDT 2010 --  Fck I'm laggin on studying for exam-.-
