Sun Jul 26 08:51:50 PDT 2015 --  pic.twitter.com/KkmfvewfsO
Fri Nov 09 04:34:30 PST 2012 --  我们的兔哥在做引体向上中… pic.twitter.com/wPx8kQ6d
Sun Nov 04 17:44:26 PST 2012 --  pic.twitter.com/BwdlcXaw
Fri Oct 26 07:48:19 PDT 2012 --  现在终于知道谁是真正的爱我了。看着样子不会走太远。我希望…等我回去。她还要我…唉…后悔死了。
Fri Oct 05 09:09:46 PDT 2012 --  哎。。。值得吗？
Sat Aug 18 01:31:55 PDT 2012 --  我在 咸阳 西安咸阳国际机场 http://k.ai/poi/8937517?bid=506927.219 …
Fri Aug 17 19:48:52 PDT 2012 --  我在 深圳 深圳宝安国际机场 : 回宝鸡… http://k.ai/poi/19054083?bid=506927.217 …
Wed Aug 15 02:24:38 PDT 2012 --  我在 香港國際機場Honk kong international airport http://k.ai/poi/19047362?bid=506927.215 …
Sat Aug 11 23:36:53 PDT 2012 --  pic.twitter.com/FM8BOO9m
Thu Aug 09 09:59:46 PDT 2012 --  还没死，就别把自己当废物。还活着，就好好地过！活给那些看低你的人看。 pic.twitter.com/OHJJUxpS
Sat Jul 14 08:31:03 PDT 2012 --  我要找的女朋友，要有这样的效果：当我们走在街上时，每一个和我相遇的路人都会在背后说，我靠！这女的是怎么看上这货的…
Sat Jul 07 20:06:00 PDT 2012 --  我在 深圳 弘法寺 http://k.ai/poi/13618288?bid=506927.211 …
Sat Jul 07 09:10:54 PDT 2012 --  还有不到半年就是世界末日了，该道歉的道歉，该和好的和好，该包容的包容，该拥抱的拥抱，该相爱的相爱，不要再捅刀子了，没时间了。
Fri Jul 06 21:06:44 PDT 2012 --  乔丹语录：我无法达到别人对我的期待。他们实在是太言过其实了。可是我对自己也有期待，我希望能成为一个领袖，一个真正的篮球球员，只要达到这一点，我的愿望就算实现了。
Thu Jul 05 08:50:30 PDT 2012 --  别像个孬种似的愁眉苦脸，甭管你被打倒了多少次，拍拍身上的尘土，再笑着站起来吧，再笑着投入战斗。——艾弗森
Wed Jul 04 06:50:21 PDT 2012 --  上辈子投胎时，手贱，点到了地狱模式，到了中国，升级难，怪太猛，钱难赚，装备贵，药还经常不会补血反而扣血，还有外挂，没钱还组不到队。尼玛这破游戏太高端了，还找不到BUG、贼多的RMB玩家 还有级别限制，满级了就强制删号 玩家那么多，服务器也不爆。
Tue Jul 03 07:23:00 PDT 2012 --  耐心点，时间能让一切都明了。
Mon Jul 02 08:28:18 PDT 2012 --  test 请无视…
Mon Jun 04 17:45:13 PDT 2012 --  新浪真TM垃圾…发个话不停的被屏蔽…这里应该是安全的吧？
Sat May 26 09:13:16 PDT 2012 --  朋友问：近来忙啥呢？我答：没啥，就是投资体育项目，或搞搞慈善事业。朋友：哇，成功人士啊。我笑而不语，转身离开后，偷偷从兜里掏出一张大乐透一张双色球，靠，又没中！ pic.twitter.com/mL5aBHsD
Wed May 23 20:07:25 PDT 2012 --  新换的壁纸。。嘿嘿，效果挺好。。 pic.twitter.com/UG9FMWt4
Wed May 23 20:06:47 PDT 2012 --  瘦了。。哈哈哈 pic.twitter.com/30TGD4gt
Sat Feb 25 19:41:59 PST 2012 --  我在 咸阳市 西安咸阳国际机场 : 降落啦…到西安了…今天天气灰蒙蒙的… http://k.ai/poi/8937517?bid=506927.200 …
Sat Feb 25 15:41:32 PST 2012 --  我获得了开开K.ai〖打飞的〗勋章。要把机场当家啦T_T，空中飞人就是我啦。
Sat Feb 25 15:41:30 PST 2012 --  我在 深圳市 深圳宝安国际机场 : 大清早人好多。还要坐摆渡车，郁闷… http://k.ai/poi/19054083?bid=506927.197 …
Sat Feb 25 06:35:37 PST 2012 --  我在 深圳市 金地上塘道花园 : 明天回西安，希望不要太冷，听说今天下雪了…我表示很有压力…T_T。 http://k.ai/poi/15529498?bid=506927.195 …
Fri Feb 03 01:41:39 PST 2012 --  上个推特还要翻墙...天朝啊,什么时间能开放!!!
Fri Feb 03 01:41:14 PST 2012 --  哎..无聊啊...
Sun Jun 26 19:36:36 PDT 2011 --  嗨,大家好!
