Sat Aug 29 00:08:18 PDT 2015 --  get excited about the little things. pic.twitter.com/weLDPhtKA5
Wed Jul 29 08:43:43 PDT 2015 --  The Chichijima Incident. pic.twitter.com/ODJxZSHmN3
Thu Aug 20 03:05:02 PDT 2015 --  "Do you lock yourself in your room with the radio on turned up so loud, that no one hears you screaming." -Simple Plan
Fri Jul 24 11:37:03 PDT 2015 --  Charles Bonnet Syndrome pic.twitter.com/wS5GwUlQC1
Sun Jul 19 02:00:35 PDT 2015 --  Portugal pic.twitter.com/1ZUQQjWivq
Sun Aug 23 01:24:23 PDT 2015 --  Najib kata, Melayu akan terbangsat kalau Umno tak ada. Baiklah. Umno tak ada di Sarawak, siapa yang terbangsat? Melayu atau Umno?
Sun Aug 23 03:39:05 PDT 2015 --  Bukit Kutu: Conquered! 'Twas a great weekend spent with the HACC family! #HACC @ Bukit Kutu https://instagram.com/p/6uQuWyTXCO/ 
Sat Aug 22 21:00:25 PDT 2015 --  Psychology says: The more loyal you are, the more disappointment you encounter and experience.
Sat Aug 22 21:02:02 PDT 2015 --  me: *in a coma* mom: it's because you're always on that damn phone
Sat Aug 22 21:01:53 PDT 2015 --  Grammar nazis love having sex as well pic.twitter.com/wYkPQrLxtc
Sat Aug 22 21:03:13 PDT 2015 --  Indeks pencemaran udara di Kuching - Sri Aman berada dalam kategori TIDAK SIHAT! Sila kurangkan aktiviti di luar pic.twitter.com/Xo9A8YXlxU
Sat Aug 22 18:23:18 PDT 2015 --  Wuuu start dari esok till malaya merdeka day McCafe murahhh. Semoga cafe2 overpriced yg lain mencontohi McCafe. pic.twitter.com/mVbjSgbBuP
Sat Aug 22 21:04:39 PDT 2015 --  OH SHIT WTF OKAY OFF TO MCD https://twitter.com/twt_kuching/status/635260993602371584 …
Sat Aug 22 21:04:01 PDT 2015 --  Bored or busy, what more when free, you will always be prioritised.
Sat Aug 22 05:24:03 PDT 2015 --  A birthday present that I will never forget pic.twitter.com/yHgrbIywaA
Sat Aug 22 20:38:08 PDT 2015 --  Bukit Kutu: Conquered! pic.twitter.com/c39mwprRNv
Sat Aug 22 19:04:53 PDT 2015 --  Gilalah peminat aku sorg ni @msyibrie pic.twitter.com/U9yazoNZaY
Wed Aug 12 01:13:00 PDT 2015 --  u think ur cool but ur just room temperature
Sun Aug 09 09:14:52 PDT 2015 --  Creative reading spot pic.twitter.com/8SD2KGS4Tj
Fri Aug 21 21:24:05 PDT 2015 --  Jim Carrey posted this on his twitter. He's Wolverine! http://9gag.com/gag/aepQVrq?ref=tp … pic.twitter.com/IQe0nmpmdJ
Sat Aug 22 08:31:26 PDT 2015 --  Waaa he looks so old already https://twitter.com/9GAG/status/634944103713800193 …
Fri Aug 21 21:15:23 PDT 2015 --  Only if you understand the true pain, will you be able to know peace pic.twitter.com/HMU4gfFZHH
Fri Aug 21 01:25:03 PDT 2015 --  Lepas baca . Rasa bodoh ada rasa nak sepak pun ada . Gahahahahahahahahahahahaha pic.twitter.com/uEwekmyujJ
Wed Aug 19 04:42:20 PDT 2015 --  Johnny Depp is not the only one who has multiple personalities disorder in hollywood. I present to you, Mr Jared Leto pic.twitter.com/uWuR0E3OSL
Fri Aug 21 19:51:37 PDT 2015 --  Tips hilangkan ngantuk masa kelas: 1. Makan gula berangin 2. Minum air masak 3. Minta kawan picitkan bahu 4. Basuh muka 5. Bau minyak angin
Fri Aug 21 22:42:32 PDT 2015 --  Kau jangan nak mengada ngada keluar tahun ni eh, aku baru pakai 5s setelah menabung selama 2 tahun pic.twitter.com/eZ66J4Y0AM
Tue Jul 21 22:38:05 PDT 2015 --  beauty with brain. pic.twitter.com/zHckKek3Kk
Fri Aug 21 21:12:13 PDT 2015 --  Up at Bukit Kutu! pic.twitter.com/41ip6Qsle0
Fri Aug 21 18:44:29 PDT 2015 --  yes pic.twitter.com/byb6B6wTJL
Fri Aug 21 18:45:03 PDT 2015 --  Some legends are told, some turn to dust or to gold. But you will remember me, remember me for centuries #np
Fri Aug 21 17:37:34 PDT 2015 --  bila aku dah besar bok hi-5 nak dtg Malaysia
Fri Aug 21 10:30:12 PDT 2015 --  A wise man once told me this http://9gag.com/gag/a7b16Oz?ref=tp … pic.twitter.com/5eQ9z7MOOM
Mon Aug 17 23:20:51 PDT 2015 --  pic.twitter.com/kXZxp49jMX
Tue Aug 18 10:39:08 PDT 2015 --  pic.twitter.com/bWXsDOHsB3
Tue Aug 18 13:39:00 PDT 2015 --  pic.twitter.com/HgkzhIYkVC
Wed Aug 19 13:26:49 PDT 2015 --  pic.twitter.com/ybYAQXWCkP
Wed Aug 19 22:00:00 PDT 2015 --  pic.twitter.com/rBrEWRg39b
Fri Aug 21 06:03:26 PDT 2015 --  https://youtu.be/zUpIzK7ncog  maaaaaaaa guuudddneezzzzzzz
Fri Aug 21 00:14:53 PDT 2015 --  Kemon ctes erhhmagerd
Wed Aug 19 08:50:07 PDT 2015 --  "I miss you more every day but some things are better left unsaid." - Ariana Grande.
Wed Aug 19 07:50:03 PDT 2015 --  "I want a perfect body. I want a perfect soul. I want you to notice when I'm not around." - Radiohead.
Wed Aug 19 06:49:05 PDT 2015 --  "Settle down with me. Cover me up. Cuddle me in. Lie down with me and hold me in your arms." - Ed Sheeran.
Wed Aug 19 05:49:03 PDT 2015 --  "Lately I've been, I've been losing sleep, dreaming about the things that we could be." - One Republic.
Thu Aug 20 05:45:22 PDT 2015 --  From queen of Johor pic.twitter.com/LGIlJxQIZa
Thu Aug 20 08:57:33 PDT 2015 --  People don't change, it's their mask that falls off. You see a person's true colours when you are no longer beneficial to their life.
Tue Aug 18 03:52:16 PDT 2015 --  Nak ws taknak Nak ws taknak Nak ws taknak Nak ws taknak Nak ws taknak Hm pic.twitter.com/BAkkyBYR6h
Sat Aug 08 07:34:46 PDT 2015 --  BROTHERS WHO PLAY FOR DIFFERENT COUNTRIES List: http://bit.ly/1T5e2hZ  pic.twitter.com/QcXYDiBydV
Thu Aug 20 15:50:02 PDT 2015 --  Isn't it ? pic.twitter.com/nHBMZgFGWr
Thu Aug 20 14:27:11 PDT 2015 --  Well...would you look at that. #BleedBlue #TI5 pic.twitter.com/U7kSITDTaq
Thu Aug 20 14:49:01 PDT 2015 --  I love that moment pic.twitter.com/gC5PShqhcx
Thu Aug 20 06:01:32 PDT 2015 --  Now that Chelsea have signed Pedro from Barcelona, Mourinho's spending on players is over €1,000,000,000. More than any manager in history.
Thu Aug 20 05:31:19 PDT 2015 --  #Pisces over thinks every detail.
Wed Aug 19 19:01:04 PDT 2015 --  Awas terutama kpd yg suka tido kt sofa & guna bantal tinggi bila nak tido C.c @twt_kesihatan pic.twitter.com/DPkew0BON3
Thu Aug 20 03:33:02 PDT 2015 --  Harussani says toppling zalim govt is haram. The Koran is full of tales of the oppressed standing up to tyranny. Which one shld I follow?
Thu Aug 20 04:08:25 PDT 2015 --  There's this thing called personal chat. Just telling you, in case you don't know the existence of it.
Thu Aug 20 02:42:17 PDT 2015 --  Κіwі usernаmе? — whut http://ask.fm/a/cd4mdp0b 
Thu Aug 20 02:30:22 PDT 2015 --  Hello David Alaba, we like your mum. pic.twitter.com/mEWTwUVHhi
Wed Aug 19 23:42:16 PDT 2015 --  #TipsdietStudent untuk yang nak tambah berat: Protein n carbs banyak. Makan lah apa aje asalkan kurang minyak. Berminyak sangat tak elok
Thu Aug 20 02:40:33 PDT 2015 --  Are you the kind of person who wants to be the big fish in a l... — can i just be a regular fish in a regular pond? http://ask.fm/a/cd4mde3d 
Thu Aug 20 02:40:02 PDT 2015 --  What was the last restaurant you went to? — R Aida Tom Yam hahahahahahahahah http://ask.fm/a/cd4md61b 
Thu Aug 20 02:39:47 PDT 2015 --  What is the most unappetizing meal? — a empty plate. http://ask.fm/a/cd4md1mh 
Thu Aug 20 02:39:11 PDT 2015 --  If you could have any wild animal as a pet what would it be? — a dragon...wait is this accepted hahahah http://ask.fm/a/cd4mc836 
Thu Aug 20 00:03:23 PDT 2015 --  Inilah relationship goals yang sampai ke jannah. Semoga mendapat haji mabrur mak cik pic.twitter.com/w5JuqgT0IF
Mon Aug 17 17:14:25 PDT 2015 --  Instead of saying "Bye" say "Fee Amanillah" which means "Be with the Safety of Allah". Share this. Make this a habit
Thu Aug 20 02:20:00 PDT 2015 --  pic.twitter.com/NbNgEMXjT5
Tue Aug 18 04:11:28 PDT 2015 --  @desiderata_ negativity is a scream due 2 frustrated circumstances or an unfortunate series of life incidents. It needs empathy not hatred.
Wed Aug 19 22:09:00 PDT 2015 --  Shah Rukh the twitter savage. #MahLyfMahRulz pic.twitter.com/YWkiNzJPbd
Wed Aug 19 21:32:01 PDT 2015 --  When I was a kid and I wanted to be older, this sh*t was not what I expected.
Thu Aug 20 00:12:15 PDT 2015 --  Mcd. Malasku
Wed Aug 19 20:42:05 PDT 2015 --  Physics test at 12+.
Tue Aug 18 12:31:45 PDT 2015 --  No one can truly understand what goes on in a #Pisces mind, its too complex for even them to understand.
Tue Aug 18 17:31:29 PDT 2015 --  #Pisces love to love and be loved over anything, but they hide it well.
Tue Aug 18 18:31:28 PDT 2015 --  If a #Pisces has ever cared for you, chances are they still do.
Tue Aug 18 19:31:42 PDT 2015 --  A #Pisces just wants to make you happy.
Tue Aug 18 20:31:28 PDT 2015 --  #Pisces can read your thoughts and they've been observing your energy, mood and body language since you walked through the door.
Wed Aug 19 05:31:19 PDT 2015 --  #Pisces are very secretive, you can trust them with your innermost secrets.
Wed Aug 19 06:31:34 PDT 2015 --  #Pisces over-analyze absolutely everything.
Wed Aug 19 20:41:04 PDT 2015 --  ... https://twitter.com/BestofPisces/status/633994717290721280 …
Wed Aug 19 20:40:53 PDT 2015 --  This. https://twitter.com/BestofPisces/status/634009816172744704 …
Wed Aug 19 09:31:34 PDT 2015 --  #Pisces look sweet and shy but they have a very wild side and are up to anything.
Wed Aug 19 10:31:23 PDT 2015 --  #Pisces are strong fighters, even though they seem weak and dependable, they are inner superheroes.
Wed Aug 19 11:31:45 PDT 2015 --  #Pisces have the ability to love you more than you can ever imagine.
Wed Aug 19 12:31:39 PDT 2015 --  #Pisces hardly hates, unless you've hurt him/her really badly.
Wed Aug 19 13:31:29 PDT 2015 --  #Pisces unknowingly observe many things that others do not notice because their minds are constantly wondering- they are dreamers.
Wed Aug 19 14:31:15 PDT 2015 --  A #Pisces can go from caring deeply to being very detached easily; fish are skittish.
Wed Aug 19 15:32:11 PDT 2015 --  No matter how much wrong you do to a #Pisces somehow they still find the good in you.
Wed Aug 19 16:31:12 PDT 2015 --  Don't piss a #Pisces off, you will regret it.
Wed Aug 19 18:31:23 PDT 2015 --  #Pisces are emotional and have the strongest 6th sense and can sense good and bad.
Wed Aug 19 20:30:58 PDT 2015 --  30 seconds to mars set a guinness world records for the longest band on tour. 309 shows over 2 years. 60 countries, 6 continents
Wed Aug 19 20:31:20 PDT 2015 --  #Pisces cant stop thinking about you when they like you.
Wed Aug 19 15:30:16 PDT 2015 --  Did You Know?! pic.twitter.com/QBIsvfKH9h
Wed Aug 19 15:30:21 PDT 2015 --  pic.twitter.com/owkv9djFeW
Wed Aug 19 10:45:10 PDT 2015 --  Lol i hate when I cant find words that rhymes
Fri Aug 14 13:00:55 PDT 2015 --  "You're a mess... But you're my mess, and I love you" pic.twitter.com/6aODEbQbka
Sat Aug 15 14:00:37 PDT 2015 --  "Promise me no matter what happens, we will always be best friends" pic.twitter.com/kA0SkH47r4
Wed Aug 19 14:18:04 PDT 2015 --  You can never move forward if you're letting things that don't deserve your attention continue to bring you down.
Wed Aug 19 14:17:05 PDT 2015 --  story of my life pic.twitter.com/LL0DZxS18i
Tue Aug 18 13:01:03 PDT 2015 --  My friends think I might have a problem http://9gag.com/gag/a2q7X5Y?ref=tp … pic.twitter.com/vxcArYs1al
Tue Aug 18 14:30:07 PDT 2015 --  Selfish! http://9gag.com/gag/a5K175o?ref=tp … pic.twitter.com/j1lYPDXFLA
Tue Aug 18 16:00:09 PDT 2015 --  i hope you fall in love with someone who makes you question why you ever thought you would be better off alone
Wed Aug 19 03:00:13 PDT 2015 --  I'm afraid I've caught poetry. http://9gag.com/gag/a7b1y6A?ref=tp … pic.twitter.com/5esjsoMwPW
Wed Aug 19 05:00:47 PDT 2015 --  every damn month #Straightoutta pic.twitter.com/lyPhDlrDIB
Mon Aug 17 07:15:37 PDT 2015 --  Aku pernah rasa takde duit nak bayar yuran. So geng, please RT & kita tolong member kita ni. Semoga Allah permudahkan pic.twitter.com/ur9Of8XdpR
Wed Aug 19 04:35:18 PDT 2015 --  BRUH pic.twitter.com/UTusbVYtnR
Wed Aug 19 04:36:19 PDT 2015 --  Right person. Wrong time. I hate that.
Wed Aug 19 04:35:40 PDT 2015 --  Bodo eh teringat masa josipa ka prefects' games abg nya klaka ngn aku and dak lain alu ngatik wtf sik kenal pun HAHAHAHAH
Wed Aug 19 03:12:25 PDT 2015 --  Wow skidooo
Wed Aug 19 03:06:51 PDT 2015 --  Uhuks. https://twitter.com/sharonbebling/status/633942834177945600 …
Wed Aug 19 02:35:04 PDT 2015 --  Extra Joss Anggur + Susu satu! https://twitter.com/farezalnoor/status/633934480521072640 …
Wed Aug 19 02:33:07 PDT 2015 --  I lost my mind because of a single binomial expansion question. How am I suppose to be a leader or better human being? Astaghfirullah
Wed Aug 19 02:24:23 PDT 2015 --  #ambal ftw! Nothing is better than balit rumah jumpa ambal di dapur #teamambal pic.twitter.com/megFqYUSdO
Mon Aug 03 18:21:50 PDT 2015 --  This will never get old pic.twitter.com/WRmxJ2OlMB
Wed Aug 19 02:21:55 PDT 2015 --  Laluan pejalan kaki beralaskan kaca setinggi 4960m di Gunung Tianmen, China. Ada bran? pic.twitter.com/L6oXJribOg
Wed Aug 19 02:16:10 PDT 2015 --  I am big girl now. All grown up. I hate.
Wed Aug 19 02:09:15 PDT 2015 --  Yes! For fitness freak, Subway is undeniably good. For others, sidak lom diat menu Quiznos kali. https://twitter.com/twt_kuching/status/633927859740917760 …
Wed Aug 19 02:02:56 PDT 2015 --  Dr Mahathir apologises for choice of successors: Tun Dr Mahathir Mohamad, the country’s longest serving prime ... http://bit.ly/1J2Z6Je 
Wed Aug 19 01:52:20 PDT 2015 --  give it a read, worth your time pic.twitter.com/emmxIIxc58
Wed Aug 19 00:07:36 PDT 2015 --  Coba Kuching ada fun fair pleeaase!!
Wed Aug 19 00:06:48 PDT 2015 --  I'd give a lot to be 17 again.
Sun May 10 19:41:01 PDT 2015 --  90's Jennifer Aniston pic.twitter.com/O7W96KKW6X
Tue May 12 12:29:28 PDT 2015 --  A goodbye kiss in 1950 between a soldier and his love. pic.twitter.com/4Uj15zYfMm
Sun May 17 05:19:00 PDT 2015 --  I'm blown away by this photo pic.twitter.com/L4JozVEjOX
Wed Aug 19 00:01:59 PDT 2015 --  To be wanted by you, is a dream come true
Tue Aug 18 19:05:22 PDT 2015 --  When in uni, network, build a good reputation. Your friends will one day work for your competitors/partners/gov agencies.
Wed Aug 19 00:01:58 PDT 2015 --  Don’t go! It’s a mighty long fall. When you thought life was tough.
Tue Aug 18 23:59:35 PDT 2015 --  @NadiatulSalihen @SyamiraLikeWhoa betol ya just enjoy dirik and explore sbnyk mungkin di negara org
Tue Aug 18 09:58:37 PDT 2015 --  Tengah lelepak ramai ramai, tiba tiba sorang bersuara "Wey, anti kirim salam" "Auntie mana?" "Anti sosial" Dan semua meletakkan telefon.
Fri Jul 03 20:43:36 PDT 2015 --  The Young: Emma Watson, Jennifer Lawrence, Shailene Woodley, and Lily Collins pic.twitter.com/ShHoFaQAQH
Fri Jun 26 09:40:50 PDT 2015 --  Marcheline Bertrand (Angelina Jolie's mother) pic.twitter.com/59gHREep35
