Tue Aug 25 09:23:41 PDT 2015 --  Hj é dia de @masterchefbr #Ansioso #GOGOGOChefs
Tue Oct 14 17:43:38 PDT 2014 --  Tia, hoje é um dia muito importante pra senhora, só vim aqui dizer que eu amo muito muito muito muito… http://instagram.com/p/uJ0kDOCkCI/ 
Fri Oct 10 05:10:51 PDT 2014 --  #HaHa #SóBesteira #PrimaLinda #Saudade http://instagram.com/p/t-LPA1ikNu/ 
Mon Oct 06 07:37:01 PDT 2014 --  "This feeling's all I'll ever need" #GoodVibes http://instagram.com/p/t0IyJxikNO/ 
Tue Sep 30 10:50:40 PDT 2014 --  Música boa não tem preço. #EllenOléria http://instagram.com/p/tlCLNqikJ3/ 
Mon Sep 29 09:43:25 PDT 2014 --  #Domingo #Churrasco #Diversão #Mano #Edgar #GoodVibes http://instagram.com/p/tiVrsTikMr/ 
Sun Sep 28 20:51:48 PDT 2014 --  Lembranças, lembranças e mais lembranças :).. #DiaFelizes #Gih #Ademar #PessoasQueEuNuncaVouEsquecer… http://instagram.com/p/tg9YOzCkMO/ 
Sun Sep 28 20:32:38 PDT 2014 --  #PerfectDay #ChurrascoComOsAmigos #haha #DomingoPerfeito #SelfiedaGalera .. Gostei muito de passar… http://instagram.com/p/tg7L2YikIz/ 
Sun Sep 28 20:03:51 PDT 2014 --  Domingo mas que maravilhoso com essa galera !!! #DiaPerfeito http://instagram.com/p/tg34-gikEK/ 
Fri Sep 26 06:01:35 PDT 2014 --  #Escola #Gessiane #Danne #Intervalo Haha #SóBestera http://instagram.com/p/taN6bMikAd/ 
Thu Sep 25 07:17:30 PDT 2014 --  É isso ae!! @ São João de Pirabas - PA http://instagram.com/p/tXxzgBCkCi/ 
Tue Sep 23 04:03:36 PDT 2014 --  E fim. #LivroPerfeito #JogosVorazes #AEsperança #TheHungerGames http://instagram.com/p/tSSBjtikCX/ 
Fri Sep 19 10:07:27 PDT 2014 --  Quando você olha o The Voice nos EUA e vê o do Brasil um abismo de diferença. la a coisa é tratada muito mais profissionalmente.
Fri Sep 19 08:52:38 PDT 2014 --  Hum.. Ela me pediu uma declaração e eu não tenho como negar. Rs' (Apesar de estar atrasada)..… http://instagram.com/p/tIf7BgCkKX/ 
Sun Aug 31 09:05:14 PDT 2014 --  #DiaPerfeito com a minha prima linda >< #ComoTreinarSeuDragão2 http://instagram.com/p/sXmQptikO_/ 
Sat Aug 30 06:31:51 PDT 2014 --  O jeito é ser feliz né.. Lembrar dos momentos não com tristeza porque eles não vão se repetir mais,… http://instagram.com/p/sUv6YEikFU/ 
Wed Aug 27 04:31:35 PDT 2014 --  Não tenho sonho de grandeza, mas trago comigo todos os desejos do mundo para alimentar uma gota de… http://instagram.com/p/sMzw89CkNR/ 
Sat Aug 23 14:04:11 PDT 2014 --  Na #CatedralDaSé Oficialização do novo seminário #RedempitorisMaterEmBelém *-* http://instagram.com/p/sDiHSrikIH/ 
Tue Aug 19 14:37:09 PDT 2014 --  #Relembrando #AsMelhoresFériasDeTodas #FamiliaLima & #Agregados @ São João de Pirabas - PA http://instagram.com/p/r5StNOCkAt/ 
Wed Aug 06 12:24:12 PDT 2014 --  Hummm.... :) Começando a assistir novo anime.. Nada melhor que novas historias, novos personagens,… http://instagram.com/p/rXlKDwCkLL/ 
Sun Aug 03 10:35:24 PDT 2014 --  "To com sintoma de saudade to pensando em vocês" Férias maravilhosas e realmente inesquecíveis !… http://instagram.com/p/rPqUlrCkDF/ 
Fri Aug 01 16:51:59 PDT 2014 --  Falar com #VelhasAmizades sempre é bom.. :D ... E algumas #NovasAmizades u.u kkkkkkkk :P http://instagram.com/p/rLL1BzCkF1/ 
Thu Jul 31 10:08:56 PDT 2014 --  Nos somos loucos ... Mas como diz um certa música “só os loucos sabem”, então tá tudo bem' !! *-* http://instagram.com/p/rH46JWCkNF/ 
Thu Jul 31 08:16:41 PDT 2014 --  Cara que CD perfeito *-* #RosaDeSaron #CartasAoRemetente ♪♪♪ http://instagram.com/p/rHsD7zikHq/ 
Tue Jul 29 07:08:59 PDT 2014 --  Férias realmente #inesquecíveis! Foi muito bom passar esse tempo com vcs !!! #Familia&Agregados http://instagram.com/p/rCauahikNI/ 
Thu Jul 17 21:43:06 PDT 2014 --  Adorando ter vc ao meu lado #Prima linda @ São João de Pirabas - PA http://instagram.com/p/qlFOI8ikCP/ 
Tue Jul 08 13:40:02 PDT 2014 --  #TipoIsso :'( http://instagram.com/p/qNCyLIikNW/ 
Tue Jul 08 13:27:07 PDT 2014 --  EU TO COM MEDO DE ABRIR A GELADEIRA E TER UM GOL DA ALEMANHA LÁ DENTRO
Tue Jul 08 13:01:58 PDT 2014 --  :'). *-* #ForçaNeymar #VaiBrasil q essa #Copa é nossaaaaaaa.. Uuhhuuu http://instagram.com/p/qM-bWpCkEU/ 
Tue Jul 08 12:57:06 PDT 2014 --  JÚLIO CÉSAR E DAVID LUIZ HOMENAGEIAM NEYMAR NO MOMENTO DO HINO!!!! CENA LINDA <3 pic.twitter.com/jQBQlna2ln
Wed Jul 02 13:35:31 PDT 2014 --  Momentos indispensáveis que jamais serão esquecidos.. #TeAmo #Prima #AmorIncondicional haha *-* http://instagram.com/p/p9lfw4ikAb/ 
Wed Jul 02 13:30:13 PDT 2014 --  Ter família hoje em dia é uma benção, muito mais que isso, é quando ela se faz diamante ao manter… http://instagram.com/p/p9k47pCkPZ/ 
Mon Jun 30 05:44:52 PDT 2014 --  A amizade são momentos inesquecíveis que juntos pintamos na tela da vida e o tempo emoldura com a… http://instagram.com/p/p3mC8eikMT/ 
Mon Jun 30 05:35:41 PDT 2014 --  #MomentosMagicos #AmorIncondicional #Familia #TiaLinda *-* http://instagram.com/p/p3k_tJCkLC/ 
Sun Jun 29 06:52:11 PDT 2014 --  #TrocariaCopaPor uma Copa Mundial de Quadribol.
Sun Jun 29 17:56:23 PDT 2014 --  Por mais complicada e sem saída que esteja sua vida, não se esqueça que Deus sempre deixa uma fresta… http://instagram.com/p/p2U904ikE1/ 
Sun Jun 29 05:06:58 PDT 2014 --  #TrocariaCopaPor Mas tempo de JMJ aqui no Brasil *-*
Sat Jun 28 09:06:29 PDT 2014 --  "Dos filhos deste solo, eis mãe gentil pátria amada Brasiiiillllll" :D uuuhhuuu #VaiBrasil #SomosUmSó http://instagram.com/p/pyzh06ikPh/ 
Fri Jun 27 13:28:37 PDT 2014 --  Amizade não pedimos, apenas conquistamos com nossas ações num certo ponto de uma esquina do tempo.… http://instagram.com/p/pwsu41ikCL/ 
Fri Jun 20 14:41:07 PDT 2014 --  O mal do ser humano é ser racional, ele vê a maldade do outro e se transforma. #BoaNoite http://instagram.com/p/pezdxgCkEz/ 
Thu Jun 12 06:49:15 PDT 2014 --   #Brasiiiiiiiill :D #VaiQueEssaÉNossa http://instagram.com/p/pJXGsGCkKl/ 
Mon Jun 09 16:47:19 PDT 2014 --  Hoje um dia muito especial, o aniversário da minha mãezinha. Bom, meus parabéns a senhora por essa… http://instagram.com/p/pCtKeYikJG/ 
Mon Jun 09 06:28:17 PDT 2014 --  #SaudadeDessesMomentos :( #MomentosMagicos ellem14 logo logo estou aí :D http://instagram.com/p/pBmUcXCkFt/ 
Fri Jun 06 14:15:01 PDT 2014 --  Para se ter alegria não é necessário muita coisa, apenas uma família unida. #haha #IloveEsseMuleque… http://instagram.com/p/o6tWUECkPX/ 
Tue Jun 03 13:49:18 PDT 2014 --  If you rely on your dreams, no one else needs to believe, because who will make them reality is your… http://instagram.com/p/oy8BafCkNY/ 
Sun Jun 01 14:06:31 PDT 2014 --  Na voz do silêncio encontro a liberdade de que preciso para ser feliz... http://instagram.com/p/ot0ZtEikGQ/ 
Sun Jun 01 14:00:47 PDT 2014 --  Conversa mais interessante que essa impossível!!! #haha #whatsapp #Grupos #SóBesteira http://instagram.com/p/otzvuDikFL/ 
Fri May 30 13:57:25 PDT 2014 --  #Partiu #show #do #AnjosDeResgate :D u.u *-* http://instagram.com/p/oopxQ3CkJn/ 
Wed May 28 11:19:10 PDT 2014 --  Se você sabe aonde pretende chegar, nada poderá deter teus passos. http://instagram.com/p/ojOEmPikLj/ 
Tue May 27 09:05:49 PDT 2014 --  Só os V!D4 Lok4 hahahahah #SQN http://instagram.com/p/ogaA_8ikCu/ 
Tue May 27 06:28:04 PDT 2014 --  #SemAula #SelfiedaGalera :D http://instagram.com/p/ogH9g8CkKD/ 
Mon May 26 14:25:31 PDT 2014 --  Curtindo uma vista maravilhosa . #ObrigadoSenhor :) http://instagram.com/p/oeZzo5CkFr/ 
Sat May 17 20:41:41 PDT 2014 --  Hahahahaha. #Status #whatsapp #sódoidera kkkkk :P :P :P http://instagram.com/p/oH5s87ikEk/ 
Mon May 05 13:40:33 PDT 2014 --  Agradeço a Deus por tudo o que tenho, mesmo que esse tudo seja quase nada para os outros, para mim é… http://instagram.com/p/noP95likO6/ 
Sat Apr 26 12:32:16 PDT 2014 --  A confiança cresce sobre a base da esperança e aos poucos se transforma num castelo onde você será rei… http://instagram.com/p/nQ8_39CkO3/ 
Tue Apr 22 07:44:21 PDT 2014 --  Primeiro dia de #aula mais que #especial :D http://instagram.com/p/nGI3p4ikCM/ 
Mon Apr 14 06:04:51 PDT 2014 --  1° Dia de aula. :D http://instagram.com/p/mxXH-nikIg/ 
Thu Apr 10 14:04:31 PDT 2014 --  #Lembrando. Convivência mais que abençoada. :) http://instagram.com/p/mn61epikEI/ 
Mon Mar 31 15:14:18 PDT 2014 --  Dizem que a família é uma prisão, o inferno da sociedade e das crianças, não vejo dessa forma, porque… http://instagram.com/p/mOS38ZikKE/ 
Sun Mar 30 17:25:38 PDT 2014 --  Quando temos amizade por alguém, percebemos que a vida é vivida com mais sabor, porque ela tem um… http://instagram.com/p/mL9G9-ikER/ 
Thu Mar 20 04:02:31 PDT 2014 --  #KeepCalmAndDoubleTap ;) http://instagram.com/p/lwxQEHCkJ_/ 
Wed Mar 19 06:33:23 PDT 2014 --  Podemos perder os amigos, a roupa do corpo, ficarmos sem uma casa para morar, mas quem tem família… http://instagram.com/p/luduNzikFb/ 
Fri Mar 14 05:01:52 PDT 2014 --  Coisinha linda que eu amoo! #Yasmin. http://instagram.com/p/lhbRg2ikFz/ 
Wed Mar 12 18:23:39 PDT 2014 --  #BoaNoite.. :) http://instagram.com/p/ldtcOeCkOx/ 
Sat Mar 08 14:40:31 PST 2014 --  Vamos estar sempre próximos, porque a verdadeira amizade que nos une também nos aproxima mesmo que… http://instagram.com/p/lTHl24CkEL/ 
Sat Mar 08 08:41:54 PST 2014 --  Sem nada pra fazer.. Dá nisso. Uahauahauah http://instagram.com/p/lSejT2CkEV/ 
Thu Mar 06 11:48:54 PST 2014 --  Amo amo amo amo amo amooooooooo!!!!!! #Familia :D http://instagram.com/p/lNqXBzCkFb/ 
Wed Mar 05 15:01:10 PST 2014 --  Nem acredito que foi eu que bati essa foto *----* http://instagram.com/p/lLbkZNCkPG/ 
Wed Feb 26 10:10:03 PST 2014 --  ... http://instagram.com/p/k44sH_ikED/ 
Wed Feb 26 05:28:35 PST 2014 --  Bom dia! A manhã te espera de braços abertos, vá ao encontro dela e faça do seu dia as melhores… http://instagram.com/p/k4YenXikMN/ 
Mon Feb 24 17:18:26 PST 2014 --  #HaHa finalmente consegui :3 http://instagram.com/p/k0gH6wCkMK/ 
Mon Feb 24 17:17:19 PST 2014 --  #TaSerto uahauahauaha http://instagram.com/p/k0f_wPikL7/ 
Sun Feb 23 17:45:06 PST 2014 --  #Cinema com eles mais que perfeito :3 #Frankstain :3 http://instagram.com/p/kx-YYBCkGa/ 
Thu Feb 20 11:16:46 PST 2014 --  #BoaTarde #SonecaBoa http://instagram.com/p/kpjjlVCkGc/ 
Tue Feb 18 07:50:35 PST 2014 --  "Sou só eu mesmo.. Nos meus momentos de loucura!" http://instagram.com/p/kkCXrmCkKc/ 
Sun Feb 16 16:33:53 PST 2014 --  A amizade não vê cor, raça ou religião, simplesmente não analisa nada, até os defeitos são contados… http://instagram.com/p/kf0qopCkEJ/ 
Sat Feb 08 16:10:07 PST 2014 --  "O importante é ser você! Mesmo que seja bizarro" -Pitty http://instagram.com/p/kLLlluikOq/ 
Tue Feb 04 10:26:48 PST 2014 --  #BoaTarde :) http://instagram.com/p/kARHmQikJU/ 
Thu Jan 30 02:08:45 PST 2014 --  Saudade desses momentos' :') *-* #Amo #Vcs #Primas #Lindas #Do #Meu #Coração <3 http://instagram.com/p/jygJXoikEl/ 
Mon Jan 13 04:48:34 PST 2014 --  Enjoyed my eyes in this picture! *-* http://instagram.com/p/jHA6_OikHR/ 
Fri Jan 10 03:43:16 PST 2014 --  Essa aqui é pra fazer #ciume pra @3besos poxanena_ & pra #Maryy :) http://instagram.com/p/i_LELlikN3/ 
Thu Jan 09 11:06:26 PST 2014 --  "Dog days are over" http://instagram.com/p/i9Y_GuikPI/ 
Wed Jan 08 01:26:04 PST 2014 --  Devemos cultivar nossas amizades como se elas fossem as mais belas flores, porque os amigos merecem… http://instagram.com/p/i5xxhHikD6/ 
Mon Jan 06 03:36:01 PST 2014 --  Não faça de seus sentimentos uma prisão, viva-os intensamente, porque amanhã talvez seja tarde para… http://instagram.com/p/i03DiOCkGm/ 
Sun Jan 05 10:16:19 PST 2014 --  #Me & #Jack u.u :) http://instagram.com/p/izAEklCkJh/ 
Fri Jan 03 06:52:55 PST 2014 --  Essa foto tava bonita d+ pra mim não postar.. Uahauahauah #Stella #SuaLinda :) http://instagram.com/p/itfNE4CkDB/ 
Thu Jan 02 11:34:42 PST 2014 --  #BoaTarde :) http://instagram.com/p/irap-KikKc/ 
Wed Dec 11 05:15:38 PST 2013 --  Love you cousin! Forever! http://instagram.com/p/hyFwAxikLD/ 
Tue Aug 27 12:10:20 PDT 2013 --  :\ :) :| http://instagram.com/p/dhyHDXCkH4/ 
Tue Aug 27 12:07:46 PDT 2013 --  Saudades de vcs! :) http://instagram.com/p/dhx0ixikHi/ 
Tue Aug 27 12:05:36 PDT 2013 --  So os #mano u.u *0* http://instagram.com/p/dhxkHPCkHI/ 
Tue Aug 27 12:04:53 PDT 2013 --  :D http://instagram.com/p/dhxfYdCkG-/ 
Tue Aug 27 12:04:39 PDT 2013 --  Essa galera eh 10! #Mal #posso #esperar #para #ReverOsAmigos :D http://instagram.com/p/dhxdh7ikG4/ 
Tue Aug 27 12:04:29 PDT 2013 --  Boa Tarde!!!!! http://instagram.com/p/dhxcaeikG0/ 
Thu Aug 22 02:23:25 PDT 2013 --  #Jogando #Cs 1.8 http://instagram.com/p/dT28dmikEa/ 
Thu Aug 22 02:14:53 PDT 2013 --  "A vida eh curta e eu ñ quero mas desperdiçar!" :> http://instagram.com/p/dT1zAqikDi/ 
Thu Aug 22 02:11:13 PDT 2013 --  [...] http://instagram.com/p/dT1kxrikDd/ 
Thu Aug 22 02:08:51 PDT 2013 --  "Acho que eu vou saltar! Eu ñ quero ficar aqui tentando derreter o gelo, deixo a gravidade me segurar"… http://instagram.com/p/dT1LxZCkDN/ 
Thu Aug 22 02:05:36 PDT 2013 --  Amigos. <3 :D http://instagram.com/p/dT07INikDD/ 
Thu Aug 22 02:04:31 PDT 2013 --  Jogando #Pou u.u http://instagram.com/p/dT0ufvikC4/ 
Sat Aug 17 12:19:05 PDT 2013 --  ... http://instagram.com/p/dIDJrEikOb/ 
Sat Aug 17 12:15:30 PDT 2013 --  LoL :P :D :) :* http://instagram.com/p/dICwVOikNY/ 
Sat Aug 17 12:15:20 PDT 2013 --  Momento lesura com minha tia ellem14 *0* >< http://instagram.com/p/dICiadikM3/ 
Thu Aug 15 07:35:59 PDT 2013 --  "Nem tudo que acaba tem final!" :) #Escutando #NxZero #IssoÑeNormal *0* http://instagram.com/p/dCWJDpikEJ/ 
Thu Aug 15 06:58:23 PDT 2013 --  "Porq a vida sem #Deus ñ eh uma #vida de #verdade" :) http://instagram.com/p/dCU368CkCL/ 
Thu Aug 15 06:53:01 PDT 2013 --  Bom Dia a todos! #ja #aproveitando #a #familia #aqui u.u http://instagram.com/p/dCUI3OikBN/ 
Wed Aug 14 07:44:48 PDT 2013 --  "Ñ deixe nada pra dps, ñ deixo tempo passar! Ñ deixe nada pra semana q vem, porq semana q vem pode nem chegar!" ~ #Pitty :D
Wed Aug 14 07:23:26 PDT 2013 --  Bom Dia! Ja aguardando a chegada da minha querida tia ellem14 http://instagram.com/p/c_yz40ikDE/ 
Tue Aug 13 09:55:43 PDT 2013 --  "É Deus que te faz entender toda poesia. Que torna mais valiosa a vida, E prova que ainda dá pra ser feliz!"... http://fb.me/1Gsl8INgA 
Tue Aug 13 07:11:39 PDT 2013 --  De volta a #school aqui.. u.u Inferno eh vc?! :D @ Escola Frasisco Da Silva Nunes http://instagram.com/p/c9Mr_XikGR/ 
Tue Aug 13 06:58:19 PDT 2013 --  http://fb.me/I9cruEfD 
Tue Aug 13 06:57:44 PDT 2013 --  Neh! Stella Emanoele e Raissa Lorena http://fb.me/1Wr4TxIq1 
Tue Aug 13 03:36:36 PDT 2013 --  Ai a pessoa vem e curti uma publicação antiga minha.. Oh god.. estão cherando meu face! :0
Sun Aug 11 10:25:59 PDT 2013 --  http://fb.me/3eD5pBdqg 
Sun Aug 11 07:00:56 PDT 2013 --  Ja em Salinas aproveitando muito! #Partiu #ReverOsAmigos @ Salinópolis http://instagram.com/p/c4B6FpikIP/ 
Sat Aug 10 11:38:15 PDT 2013 --  Olha oq eu achei Raissa . . Esse lapis eh teu.. kklkkkkkkkk. o/ http://fb.me/Yi1uB9MJ 
Sat Aug 10 06:01:46 PDT 2013 --  http://fb.me/1fHtRfckP 
Sat Aug 10 05:58:35 PDT 2013 --  Finalmente voltando pra minha casinha *0* Hora de voltar pra rotina! Segunda: volta as aulas... :D
Sat Aug 10 04:49:41 PDT 2013 --  http://fb.me/2hLMsygoY 
Fri Aug 09 16:43:49 PDT 2013 --  Familia >< :D #Ilove #vcs! http://instagram.com/p/cz7BhzikNi/ 
Fri Aug 09 16:41:12 PDT 2013 --  Te love pra sempre PRIMA! *0* :) http://instagram.com/p/cz6vG-ikM7/ 
Fri Aug 09 10:12:28 PDT 2013 --  #Partiu #cinema #CirculoDeFogo *0* #Sozinho pos certas pessoas ñ quizeram ir comigu* :(
Fri Aug 09 09:30:38 PDT 2013 --  jogando Xbox
Fri Aug 09 09:29:08 PDT 2013 --  Loukinha... #Curtiu todas os minhas fotos no instagram.... o/ — se sentindo amado
Fri Aug 09 08:43:53 PDT 2013 --  Cara ela me ama d+ curtiu #TODAS as minhas fotos! #Xonei <3 *0* http://instagram.com/p/czEHJmikL3/ 
Fri Aug 09 04:06:32 PDT 2013 --  Genial! http://fb.me/20Azyq0VI 
Fri Aug 09 04:01:33 PDT 2013 --  kkkkkkkkkkkkkkkkkkkk.. Tipo isso! http://fb.me/2c6VQcIsH 
Fri Aug 09 03:56:40 PDT 2013 --  Gielly Lima *0* http://fb.me/2nPUQ1Ir6 
Thu Aug 08 15:10:30 PDT 2013 --  Ateh ano passado eles ficavam... Esse Ano eu ñ sei.. :/ http://fb.me/1HnMXiAzh 
Thu Aug 08 15:01:08 PDT 2013 --  Kkkkkk... eh muito assim http://fb.me/1kTXJsHgW 
Thu Aug 08 12:43:18 PDT 2013 --  Escutando aqui! *0* http://fb.me/X5XI4xHq 
Thu Aug 08 04:45:19 PDT 2013 --  http://fb.me/GLvk6QPu 
Thu Aug 08 03:13:51 PDT 2013 --  http://fb.me/ZPdgoNof 
Wed Aug 07 19:06:18 PDT 2013 --  Gente saindo aqui.. 2bjs pra vcs.. Amanha cedo ten #Manutenção :)
Wed Aug 07 03:15:30 PDT 2013 --  http://fb.me/2BUkwpvXn 
Wed Aug 07 03:13:28 PDT 2013 --  Bom Dia! #oDia Promete hj! *0* http://instagram.com/p/ctUv7hCkI3/ 
Wed Aug 07 02:21:29 PDT 2013 --  http://fb.me/2OdhE94lv 
Mon Aug 05 12:27:16 PDT 2013 --  Eh interessante como uma noticia pode mudar seu humor totalmente! :) #Feliz #Feliz #Feliz
Mon Aug 05 12:22:25 PDT 2013 --  Prima acabei de saber! Felizão aqui... *0000* nem acredito q vc vem pra cá.. <3
Mon Aug 05 12:11:03 PDT 2013 --  Ja te falei q te amo hj? Ñ. Poseh.. te amo muitãooooo! <3 *0*
Sun Aug 04 09:47:00 PDT 2013 --  "O sangue sobe vc corre atraz de quem te ferio.. ok! E dps q tudo acabar?! Oq vem dps?! :) " -Rosa de Saron
Sun Aug 04 09:42:54 PDT 2013 --  #Fome u.u http://fb.me/2HHiTlMvZ 
Sun Aug 04 09:38:27 PDT 2013 --  Eu: O.o
Sun Aug 04 09:27:32 PDT 2013 --  :'( http://fb.me/CCQgIzVm 
Sun Aug 04 09:21:03 PDT 2013 --  #Doente :(
Sat Aug 03 13:47:32 PDT 2013 --  Pc ecologico! *-* http://fb.me/JDC4P1k2 
Sat Aug 03 13:44:56 PDT 2013 --  Se a pessoa vai colocar: "SQÑ" , "BRINKS" , "ZUANDO" ... Porq posta entao??? :/
Sat Aug 03 09:40:58 PDT 2013 --  Ja me planejando para a polonia! #Eh #FOCO #FORÇA e #FÉ! Felicidades jovens somos escolhidos porq Deus para viver isso! :)
Sat Aug 03 03:50:15 PDT 2013 --  Até a minha TIMELINE do Line ta mas animada do que o face.. rs #BomDia! :)
Sat Aug 03 03:34:40 PDT 2013 --  Bom dia! E um maravilhoso sabado! :) http://instagram.com/p/cjEAyhCkMu/ 
Fri Aug 02 13:34:25 PDT 2013 --  Foram nossos pais por alguns dias... *-* <3 http://fb.me/1l12vLDZN 
Thu Aug 01 11:06:27 PDT 2013 --  Bons tempos! Tempos de cagada, tempos de parada,! Momentos q ficam neh!? Kkkkkkkkkkkk
Thu Aug 01 06:08:41 PDT 2013 --  E dps reclama q eu ñ falei tbm! Affs :P http://fb.me/2iz4PRxO6 
Thu Aug 01 06:07:29 PDT 2013 --  http://fb.me/1Aopzjgth 
Thu Aug 01 05:54:32 PDT 2013 --  Haha... essa eh pro povo de salinas q eu conheçi nessa maravilhosa JMJ.!!! :) http://fb.me/1VshZKi72 
Thu Aug 01 03:42:01 PDT 2013 --  Ahhhhhh! Finalmente em casa! #JMJ foi maravilhosa! Agora eh #Partiu #Polonia #Cracovia #2016
Wed Jul 31 15:31:37 PDT 2013 --  Foi maravilhoso ! Pena q acabou! :'( #JMJ #Rio #2013 http://instagram.com/p/ccnl1qikF-/ 
Tue Jul 30 13:31:27 PDT 2013 --  Eh vero! ;) http://fb.me/1GgE3hYmd 
Tue Jul 30 13:31:05 PDT 2013 --  :/ http://fb.me/2x4nYcy7z 
Mon Jul 29 05:11:24 PDT 2013 --  Jesus disse: "Venham meus amigos, Venham MISSIONARIOS!" / E ELES VIERAAAAAAAMMMM! #JMJ… http://instagram.com/p/cWWEQ0ikCP/ 
Sat Jul 27 16:23:22 PDT 2013 --  Finalmente em copacabana... ahhh senhor obrigado sei que sem vc eu ñ consiguiria...
Sat Jul 27 05:40:22 PDT 2013 --  Hahah.. primeira vez q eu encontro Açai escrito com "ss" .. .. Rio vai deixar muitas lembranças.. *-*
Wed Jul 24 16:39:32 PDT 2013 --  ... http://instagram.com/p/cKt4-qCkL0/ 
Wed Jul 24 16:37:48 PDT 2013 --  #loks #do #meu #Pou *0000* http://instagram.com/p/cKtrtSikLi/ 
Mon Jul 22 14:50:04 PDT 2013 --  http://fb.me/1UiFhjJLQ 
Mon Jul 22 14:45:41 PDT 2013 --  #:'( #triste #luto #pirabas #PirabasChorando #BoscoEternamente! :'(
Fri Jul 19 15:14:34 PDT 2013 --  Tem gente q acha tão facil traçar a personalidade de uma pessoa e as vezes ñ sabe nem qual eh q sua! :/ #BoaNoite
Mon Jul 15 05:20:32 PDT 2013 --  http://fb.me/2phJBKHbr 
Mon Jul 15 05:12:55 PDT 2013 --  http://fb.me/2uTeVzflK 
Sun Jul 14 10:47:36 PDT 2013 --  Me sinto soh! Mas sei q ñ estou pôs levo vc no pensamento meu medo se vai? recupero a fé, e sinto q algum dia ainda vou te ver! #CedoOuTarde
Sun Jul 14 10:34:29 PDT 2013 --  Tem vezes q eu deixo minhas musicas no aleatorio e o meu celular toca exatamente oq eu quero ouvir! \0/ <3 #Music
Sun Jul 14 10:32:51 PDT 2013 --  "Alguem te perguntou como eh q foi seu dia? Uma palavra legal uma noticia boa? Isso faz falta no dia-a-dia! Agente... http://fb.me/Pc4txEXt 
