Sat Aug 22 22:17:42 PDT 2015 --  Inked for my first time tomorrow morning with mi chulooo
Tue Jul 14 14:37:51 PDT 2015 --  Greedy ass bitch fuck out my life
Mon Jul 13 00:47:06 PDT 2015 --  My son gave me some sticky green stuff to mix into the brownie batter...glad to know he's eating his green veggies!
Mon Jul 13 03:47:07 PDT 2015 --  My son's friend said he wanted to get "stoned"... What a horrible way to die. Why would he say that?!
Mon Jul 13 14:32:53 PDT 2015 --  "It's the cops, Quick everybody act white!"
Mon Jul 13 12:39:17 PDT 2015 --  Future advice for my boy haha https://twitter.com/dshack8/status/615957537800777728 …
Tue Sep 23 21:50:09 PDT 2014 --  Your girlfriend is gonna consider killing you a few times a week. That's how you know it's real love.
Fri Jul 10 14:50:55 PDT 2015 --  We aren't perfect pic.twitter.com/a3gRM2yKvx
Fri Jul 10 12:25:28 PDT 2015 --  Not to mention how she be lurking on my man thru social media, sit there and watch him love me hoe, I'll go 0-100 real quick
Fri Jul 10 12:22:38 PDT 2015 --  And she wouldn't keep her eyes off him, while she was with her own bf already
Fri Jul 10 12:22:03 PDT 2015 --  Ugh should of went with my bf to autozone yesterday, he ran into his ex
Fri Jul 10 12:21:20 PDT 2015 --  Describes him to the fullest https://twitter.com/RELATlONSHlP/status/603139088732934144 …
Sat Dec 20 21:32:00 PST 2014 --  kinda emotional, kinda emotionless
Thu Jul 09 14:15:57 PDT 2015 --  Dilated to 2 & been cramping all day
Wed Jul 08 18:51:12 PDT 2015 --  🏻🏿🏽 pic.twitter.com/VRjnMi7TOa
Thu Jun 25 06:37:53 PDT 2015 --  s/o to the girls who are more than just their looks pic.twitter.com/osTGkp5CIZ
Thu Jul 09 12:34:52 PDT 2015 --  In Japan, married working women are called oniyome, or “devil wives.”☊
Thu Jul 09 07:45:50 PDT 2015 --  im so fucking sensitive and i don’t give a single shit at the same time so fuck you man but don’t leave me☊
Wed Jul 08 01:30:02 PDT 2015 --  IF YOU'RE THE KIND OF GUY WHO'LL KISS HIS GIRL ON TOP OF HER HEAD WHEN YOU HUG HER YOU ARE DOING EVERYTHING RIGHT MY FRIEND KEEP DOING YOU
Wed Jul 08 18:15:02 PDT 2015 --  exactly 🏼 http://twitter.com/ACommonFemaIe/status/618243520931823616/photo/1pic.twitter.com/U2NStqIDSy 
Thu Apr 02 14:44:04 PDT 2015 --  im actually the meanest person when im stressed. i would literally yell shut up to anything that is making noise
Wed Jul 08 21:36:16 PDT 2015 --  Or speak my mind, and come off as a bitch for it #fuckit #yaque
Wed Jul 08 21:35:17 PDT 2015 --  I stay quiet, and deal with it while hurt on the inside
Wed Jul 08 21:34:00 PDT 2015 --  More like these past 9 months https://twitter.com/ICVeo/status/618993247956914176 …
Wed Jun 24 08:55:15 PDT 2015 --  one day you'll wake up at 11:30 AM on a Sunday with the love of your life and you'll make some coffee and pancakes and it'll all be alright.
Wed Jul 08 21:16:10 PDT 2015 --  I didn’t change, I grew up… There’s a difference.☊
Wed Jul 08 20:20:03 PDT 2015 --  friends: Started out with many, now it's like I don't have any
Wed Jul 08 20:19:11 PDT 2015 --  Literally only ppl I can count on or can vent to is my boyfriend, mom and comadre. Mostly just my bf though
Wed Jul 08 20:17:14 PDT 2015 --  Not that my son needs anyone else but momz and pops in his life anyways but still never saw such shadiness till pregnancy came along
Wed Jul 08 20:15:43 PDT 2015 --  Such truth when ppl say have kids, then you'll know who's really there for you
Wed Jul 08 19:25:45 PDT 2015 --  Last two weeks, feels like last days of my life, LOL.
Wed Jul 08 19:24:39 PDT 2015 --  Miguel Angel Gutierrez-Aguilar, come home already chamako
Wed Jul 08 19:22:43 PDT 2015 --  Our wedding gonna be A1 , no doubt
Wed Jul 08 19:21:40 PDT 2015 --  When we talk about us getting married, feels so natural like yes this is it.
Mon Jun 29 18:59:47 PDT 2015 --  http://twitter.com/radiastrology/status/614951603565498369/photo/1pic.twitter.com/pWonAydIvB 
Wed Jul 08 18:01:24 PDT 2015 --  People get mad when you treat them how they treat you.☊
Wed Jul 08 18:08:30 PDT 2015 --  Nigga, I never argue, I just explain why I?m right.
Wed Jul 08 09:38:29 PDT 2015 --  Girls who think they better than girls without kids, but still stuck doing the same lame shit, no moving up but turning up
Wed Jul 08 09:36:48 PDT 2015 --  Girls who think they own shit no don't stank, can't cover it up with perfume forever girrrl
Wed Jul 08 09:35:29 PDT 2015 --  Then get a boyfriend and you never see them again, home girl where you at doee?
Wed Jul 08 09:34:06 PDT 2015 --  Girls who always around when they ain't got a boyfriend, talking about home girls for life
Wed Jul 08 09:33:13 PDT 2015 --  Girls who change themselves based on how their boyfriend is, fit in to his scene rather than just staying themselves
Wed Jul 08 09:32:03 PDT 2015 --  Them girls who can't go too long without a boyfriend, giving out their heart like nada then wonder why it never lasts
Wed Jul 08 07:50:50 PDT 2015 --  So tired but appointment to see if I am more dilated today
Wed Jul 08 03:00:45 PDT 2015 --  And I still remember the first day I met you.☊
Tue Jul 07 20:56:16 PDT 2015 --  Get yourself a girl who came from nothing, we just want love & respect not someone to be our bitch & ATM
Tue Jul 07 20:17:14 PDT 2015 --  Great , now more reason for ppl to think I look like a chola or a bitch #nimodo #yaque
Tue Jul 07 20:15:44 PDT 2015 --  Asian lady thinned out the brows too much.
Tue Jul 07 20:14:45 PDT 2015 --  Toes did, nails did, chola eyebrows did. Wait, say what?
Tue Jul 07 08:27:59 PDT 2015 --  @FlakitaUhTrip aww good luck girl! I miss you
Tue Jul 07 08:29:55 PDT 2015 --  Can't wait to see what's in store for the future of us 3 , only building up #family
Tue Jul 07 08:23:26 PDT 2015 --  Mi corazon por vida will be making his arrival in about 2 weeks #July23 #preggo
Tue Jul 07 07:43:38 PDT 2015 --  " @GirlsOfAqua: You'll most likely always come back to an #Aquarius. Because they have good karma around them ALL the time." Explains alot
Mon Jul 06 15:00:08 PDT 2015 --  #Aquarius thought: "I've had to let a lot of things go for my own safety and well being. Doesn't mean I don't miss it."
Wed May 06 12:44:31 PDT 2015 --  lol seriously. like if the girl knew about you or was your homegirl then yeah beat her ass, but beat… https://instagram.com/p/2Wkf0XOtPr/ 
Mon Feb 09 13:13:02 PST 2015 --  I always try to protect my friends and keep them away from pendejos
Mon Feb 09 13:46:51 PST 2015 --  My babe be lookin A1 , I don't like paisas but when he do it , my lawwwd <3 pic.twitter.com/uA0aCNvTLO
Mon Feb 09 13:38:27 PST 2015 --  Wanting to eat everything but nothing sounds good the true struggle of pregnancy ._.
Mon Feb 09 13:36:14 PST 2015 --  Tomorrow is my 4 month appt for bby then I should be finding out what I'm having ;D
Mon Feb 09 13:35:07 PST 2015 --  Been a fatty since I tweeted , no work till Wednesday I'm happy
