Wed Aug 19 07:20:40 PDT 2015 --  Just because I'm smiling, doesn't mean I don't want to hit you in the face.
Sat Aug 01 08:33:08 PDT 2015 --  Now watch me Whip /||\_ _/¯ ¯\_ watch me Nae Nae ....\ ......|| \_ _/¯ ¯\_ Now watch me Whip, Whip /||\_ _/¯ ¯\_
Fri Jul 31 23:30:49 PDT 2015 --  Women are more attracted to someone with the ability to make them laugh. Laughter strengthens relationships.
Sat Aug 01 00:41:31 PDT 2015 --  Giving up.
Sat Aug 01 02:08:28 PDT 2015 --  still the greatest line Cody has ever said pic.twitter.com/oyqXZLIDir
Sat Aug 01 03:00:12 PDT 2015 --  Neurologists claim that every time you resist acting on your anger, you're actually rewiring your brain to be calmer and more loving.
Sat Aug 01 03:16:14 PDT 2015 --  Shit (Vine by UltraRarePepe) https://vine.co/v/eKq2mnQ03OI 
Sat Aug 01 03:22:50 PDT 2015 --  do you ever think about shit you did in the past and just go why the fuck did nobody punch me in the face
Fri Jul 31 13:45:14 PDT 2015 --  I like you better when your eyes are red.
Sat Aug 01 03:30:53 PDT 2015 --  People who are angry with each other for the silly little things, are usually the ones who care about each other the most
Sat Aug 01 04:57:50 PDT 2015 --  me: *types out a tweet* me: ok but who cares me: *hits discard*
Sat Aug 01 05:02:24 PDT 2015 --  When you're trying to be quiet in the kitchen at 2 am but you drop a spoon pic.twitter.com/1PdIirzZ69
Sat Aug 01 05:05:13 PDT 2015 --  When you and your goat see a homie at the party.. http://vine.co/v/OEm65j3O55V 
Mon Jul 27 18:48:26 PDT 2015 --  When someone gets on your nerves pic.twitter.com/wlXXCy5J4H
Sun Jul 26 06:45:15 PDT 2015 --  The "ignoring each other" game can turn into "never hearing from me again" game reaaalllll fast
Sun Jul 26 18:30:00 PDT 2015 --  can u lose weight by running away from ur feelings
Sun Jul 26 19:01:05 PDT 2015 --  When you're telling the truth but they refuse to believe you pic.twitter.com/lkptoEnLJw
Sun Jul 26 19:09:49 PDT 2015 --  #GrowingUpHispanic when it takes an hour to leave a family gathering because everyone's goodbye turns into a conversation
Sun Jul 26 19:10:21 PDT 2015 --  #GrowingUpHispanic going to Latino supermarkets w your parents & seeing this lmao you never knew what any of it was pic.twitter.com/4OQeUvFbcz
Sun Jul 26 19:03:49 PDT 2015 --  Campeónes! #ElTri pic.twitter.com/iDvtghlZ5K
Sun Jul 26 19:11:08 PDT 2015 --  Donald Trump: "I’m going to win the Hispanic vote" pic.twitter.com/QCnaQ2xHhD
Sun Jul 26 19:11:18 PDT 2015 --  #TweetSomethingHispanicParentsSay "Siempre es lo mismo contigo, siempre me tienes que salir con algunas de tus mamadas"
Sun Jul 26 19:24:09 PDT 2015 --  Jennifer Lopez at her 46th birthday party last night… pic.twitter.com/V1MwZ7sQsj
Sun Jul 26 19:25:04 PDT 2015 --  Donald Trump wants Mexicans out cause we keep winning trophies on American soil
Sun Jul 26 19:09:35 PDT 2015 --  MEXICO GOLD CUP CHAMPIONS PUTOSSS pic.twitter.com/0xTtXZ496K
Sun Jul 26 16:55:47 PDT 2015 --  The sad truth pic.twitter.com/EbjkG8r8xh
Sat Jul 25 23:14:25 PDT 2015 --  Wtf https://twitter.com/vuhsace/status/625166239879577600 …
Fri Jul 24 12:35:01 PDT 2015 --  Here's a visual representation of the word "sorry" pic.twitter.com/2UaGWj7noM
Fri Jul 24 09:28:25 PDT 2015 --  "I took a photo of a lizard on my windscreen and it looks like Godzilla is crushing my town!" pic.twitter.com/wiP3LSCZgv
Fri Jul 24 09:30:23 PDT 2015 --  To prepare for the 2008 Beijing Olympics, Usain Bold ate 47,000 calories of Chicken McNuggets in 10 days—he won three gold medals.
Fri Jul 24 09:30:42 PDT 2015 --  Hate it when that happens pic.twitter.com/1d3ReTq46K
Fri Jul 24 09:31:49 PDT 2015 --  Shy people tend to have great observational skills, making it easier to recognize the core of a problem.
Fri Jul 24 09:00:51 PDT 2015 --  Chips have a "vanishing caloric density." They melt in your mouth, tricking your brain into thinking the chips have no calories.
Fri Jul 24 06:14:08 PDT 2015 --  Oh Deadpool. pic.twitter.com/uCdxMz9G7Q
Fri Jul 24 06:30:29 PDT 2015 --  The U.S. state of New Jersey has more scientists and engineers per square mile than anywhere in the world.
Fri Jul 24 06:33:39 PDT 2015 --  You can meet someone tomorrow who has better intentions for you than someone you’ve known for years, time means nothing; character does.
Fri Jul 24 09:03:24 PDT 2015 --  He'll yeah https://twitter.com/FunnyQuotees/status/624576084571484160 …
Fri Jul 24 07:10:24 PDT 2015 --  Steve Irwin — pic.twitter.com/uCDQU8u68E
Fri Jul 24 07:30:36 PDT 2015 --  Several studies show that avoiding unhappiness is more important to us than finding happiness.
Fri Jul 24 07:31:36 PDT 2015 --  The generation that invented the internet, the smartphone, and the iPad all played outside as children.
Fri Jul 24 07:51:48 PDT 2015 --  me looking at thing: yooooo me looking at price: nooooo
Fri Jul 24 08:15:00 PDT 2015 --  can i sell my feelings on ebay
Fri Jul 24 08:30:14 PDT 2015 --  DNA has a 521-year half-life, which means that genetic material can't be recovered from dinosaurs and "Jurassic Park" is impossible.
Sun Feb 08 06:01:43 PST 2015 --  A person usually makes a lot of hand gestures when telling a true story. When telling a lie a persons hands will stay noticeably still.
Sat Jul 18 14:41:22 PDT 2015 --  Humans are the only creatures.. pic.twitter.com/vA1DTqvyd0
Sun Jul 19 16:57:21 PDT 2015 --  knowledge is the bridge to a better place pic.twitter.com/l64ME0DqHE
Thu Jul 23 20:53:11 PDT 2015 --  Only Spanish people will understand this http://vine.co/v/OXADtaWuYVj 
Thu Jul 23 21:14:27 PDT 2015 --  Mexicans be like pic.twitter.com/kXeiCmjNpT
Fri Jul 24 08:43:18 PDT 2015 --  pic.twitter.com/XMZyarTpDu
Wed Jul 22 21:08:40 PDT 2015 --  Mexico got lucky
Wed Jul 22 19:27:29 PDT 2015 --  Nunca espero nada de la Selección Mexicana y aún así terminan decepcionándome.
Wed Jul 22 19:27:31 PDT 2015 --  Mexico is going to loose
Fri Jul 17 14:23:46 PDT 2015 --  #GrowingUpWithChillParents "I'd rather you tell me than you do it behind my back"
Fri Jul 17 15:41:36 PDT 2015 --  Los problemas son como los pendejos, si les haces mucho caso se agrandan.
Mon Jul 20 22:16:33 PDT 2015 --  #IfWeDate my family is your family they'll treat you probably better than me tbh
Mon Jul 20 18:31:02 PDT 2015 --  Always tell someone how you feel, because opportunities are lost in the blink of an eye, but regret can last a lifetime.
Mon Jul 20 18:41:04 PDT 2015 --  why i still get on twitter pic.twitter.com/IiPstfiZCg
Mon Jul 20 19:20:57 PDT 2015 --  Mad asf @ myself
Mon Jul 20 19:24:39 PDT 2015 --  when someone can make you the happiest but also the maddest person in the world and you still put up with it that's how you know it's real
Mon Jul 20 19:31:00 PDT 2015 --  Psychology fact: The best feeling comes when you realize that you're perfectly happy without the people you thought you needed most.
Mon Jul 20 20:00:08 PDT 2015 --  Donald Trump says Mexicans are lazy af, when have you seen a Mexican asking for money on the side of the road..
Wed Jun 10 20:33:18 PDT 2015 --  This was in the very last episode of Drake and Josh pic.twitter.com/HwoPYV5OHB
Wed Feb 18 14:30:07 PST 2015 --  What we think and what really happens. pic.twitter.com/Uaxid2Djpo
Thu Feb 12 10:25:29 PST 2015 --  Happiness is a conscious choice. pic.twitter.com/lAdCdn3Aq2
Thu Feb 12 08:30:11 PST 2015 --  Nothing is forever pic.twitter.com/DtjzBuZrOT
Sun Jul 05 14:24:02 PDT 2015 --  pic.twitter.com/ChFhbcmfaB
Sun Jul 19 09:02:14 PDT 2015 --  When u try to take a 20 minute nap and wake up 8 hours later Confused asf pic.twitter.com/CZRpHELLIq
Sun Jul 19 05:40:31 PDT 2015 --  Exactly pic.twitter.com/hLXl0B4mxp
Sun Jul 19 06:31:22 PDT 2015 --  Be thankful for the bad things in life. They open your eyes to see the good things you weren't paying attention to before.
Sun Jul 19 07:18:03 PDT 2015 --  Your eyes water when you yawn because you miss your bed and it makes you sad
Sun Jul 19 08:43:14 PDT 2015 --  #GrowingUpWithSiblings THE ACCURACY http://twitter.com/FreddyAmazin/status/622781499213922304/photo/1pic.twitter.com/hdyIzSqLP4 
Sat Jul 18 20:30:43 PDT 2015 --  Not everything will go as you expect in your life. This is why you need to drop expectations, and go with the flow of life.
Wed Jul 01 08:17:12 PDT 2015 --  this why they dont put niggas in scary movies http://twitter.com/PRANKVlDEOS/status/574036170251763712/video/1 …
Fri Jul 17 19:25:41 PDT 2015 --  #GrowingUpWithStrictParents when someone texts you at 11 pm asking if you can hang out http://twitter.com/FreddyAmazin/status/622072298439180289/photo/1pic.twitter.com/itAn5dmuYG 
Fri Jul 17 19:25:47 PDT 2015 --  #GrowingUpWithStrictParents seeing someone have a sleepover with their boyfriend/girlfriend http://twitter.com/FreddyAmazin/status/622067340440514560/photo/1pic.twitter.com/NLqR1lM6Z7 
Fri Jul 17 19:30:58 PDT 2015 --  Your gut feelings are usually accurate & correct. If you truly feel there's something, chances are there is
Fri Jul 17 19:25:58 PDT 2015 --  #GrowingUpWithStrictParents when you're on your phone past your bedtime and you hear that door click http://twitter.com/FreddyAmazin/status/622063142110015489/photo/1pic.twitter.com/82pgnNuHUj 
Wed Jul 15 22:30:21 PDT 2015 --  #TodaysKidsWillNeverKnow about how good cell phone batteries used to be. pic.twitter.com/e8IyLZfrMa
Wed Jul 15 19:00:29 PDT 2015 --  Hijo de puta
Wed Jul 15 19:31:10 PDT 2015 --  God has perfect timing; never early, never late. It takes a little patience and faith, but it's worth the wait.
Wed Jul 15 19:48:27 PDT 2015 --  Some people just don't know what they have until it's gone.
Wed Jul 15 15:31:52 PDT 2015 --  Being happy doesn't mean that everything is perfect. It means that you've decided to look beyond the imperfections.
Wed Jul 15 16:22:12 PDT 2015 --  how I clean my room: -starts at one corner -finds something from 6 years ago and stares at it nostalgically for 5 hours -goes to bed
Wed Jul 15 16:55:08 PDT 2015 --  my "idc" game strong af
Wed Jul 15 12:40:50 PDT 2015 --  #GrowingUpHispanic When u clean the House, do the dishes, & do everything yo mom asked but she still calls you lazy. pic.twitter.com/VsMxp4EOmP
Tue Jul 14 21:52:35 PDT 2015 --  Handjobs are like Pepsi. Never your first choice but you'll take it anyway.
Mon May 19 19:40:18 PDT 2014 --  When you love someoe so much you just want to punch them in the face .
Mon May 19 19:13:33 PDT 2014 --  During your lifetime, you'll spend months of your life looking for lost objects.
Mon May 19 19:14:27 PDT 2014 --  Pretending to be happy when you are in pain, is an example of how strong you are as a person.
Tue May 13 02:51:17 PDT 2014 --  pic.twitter.com/19Wsk6D9zC
Tue May 13 06:02:01 PDT 2014 --  a poem written by african kid.. pic.twitter.com/dGlJFrrhd0
Tue May 13 21:30:00 PDT 2014 --  Never waste your feelings on someone who doesn't value them
Thu May 15 13:11:54 PDT 2014 --  spread the word.. pic.twitter.com/wVARHCTFME
Mon May 05 17:55:54 PDT 2014 --  okay, enough with the.. https://vine.co/v/Mrdz5Oa391u 
Tue May 13 14:56:39 PDT 2014 --  Bruh when you find money in your pocket pic.twitter.com/mEyjC473wj
Sun May 11 19:02:11 PDT 2014 --  White bitches when Justin Bieber drop a new song pic.twitter.com/AiS6wdQf89
Tue May 13 14:18:06 PDT 2014 --  pic.twitter.com/LJ2LQstGMN
Tue May 13 14:26:51 PDT 2014 --  *takes out the part where i say i'm from streamwood in my bio*
Tue May 13 14:40:41 PDT 2014 --  lmao why yall so happy about streamwood being on the news tho
Tue May 13 14:38:56 PDT 2014 --  Streamwood isn't even that bad, y'all just some bitches. Wouldn't survive a second In actual "ghetto" school.
Tue May 13 12:29:47 PDT 2014 --  By a show of hands, How many white girls no longer feel comfortable in streamwood high school? pic.twitter.com/oTSqcXTQtY
Tue May 13 12:59:14 PDT 2014 --  Im still laughing at the lady that made the announcement, she was scared af yelling lmao
Tue May 13 14:07:49 PDT 2014 --  if those donuts people dont come back because of today im ganna cry
Tue May 13 12:54:34 PDT 2014 --  we live the sabre way we are safe and secure we hold ourselves accountable and we show respect we are shs .. #HEADASS
Tue May 13 11:42:16 PDT 2014 --  As soon as someone sees another person running, empiesan a correr como pendejos. I almost fell man, wtf. That ain't cool Lol
Tue May 13 11:43:24 PDT 2014 --  This is not save they almost Lupita fucking nock out lupita @calderalupita13
Tue May 13 11:47:11 PDT 2014 --  Can't imagine what's going to happen at the streamwood fest
Tue May 13 11:40:47 PDT 2014 --  This school is RIDICULOUS
Tue May 13 11:40:11 PDT 2014 --  Shout out to these two crazy bitches that just fought
Tue May 13 11:49:12 PDT 2014 --  Gotta love Streamwood
Tue May 13 11:55:06 PDT 2014 --  Streamwood high be on some other shit man
Tue May 13 11:54:30 PDT 2014 --  Finally famous ft. Streamwood high Buy the album" we made it "
Tue May 13 11:52:13 PDT 2014 --  Finally famous @StreamwoodProbz
Tue May 13 11:47:22 PDT 2014 --  Streamwood dope af for this lol
Tue May 13 11:48:45 PDT 2014 --  @soccer_kid699 @calderalupita13 when we get tackled and we don't know wtf is happening
Tue May 13 10:51:57 PDT 2014 --  Breaking: Streamwood HS students held in classroom after altercation: http://abc7.ws/1mmUFOT  pic.twitter.com/ZXqdX6tkRE
Sat May 10 07:29:52 PDT 2014 --  But first, let me... https://vine.co/v/M6axe0i6XBb 
Tue May 06 11:05:06 PDT 2014 --  Psychology says; People tend to value memories more than actual people. Sometimes you miss the memories, not the actual person.
Thu May 08 08:47:01 PDT 2014 --  A million dollars' worth of $100 bills only weighs 22 pounds.
Thu May 01 22:14:01 PDT 2014 --  That awkward moment when you're expecting a text, and constantly feel your phone vibrate even though it isn't.
Thu May 01 22:33:37 PDT 2014 --  if zimmerman ain't have a gun on him this woulda happened https://vine.co/v/MrAiVdL3BZX 
Thu May 01 20:49:53 PDT 2014 --  Stress less nights , feeling al right.
Thu May 01 16:34:54 PDT 2014 --  The new snapchat update pic.twitter.com/vu1a87u3ma
Thu May 01 20:45:22 PDT 2014 --  "Man to man: if you have a great girl that makes you happy, don't let her go. Not every girl has that ability. #truth" - Ohio State
Thu May 01 06:40:55 PDT 2014 --  Sitting in class like pic.twitter.com/wgCZhnn98y
Mon Apr 28 08:33:47 PDT 2014 --  Too many funerals, not enough graduations, too many baby showers, not enough weddings.
Mon Apr 28 08:30:22 PDT 2014 --  "Once watched a dude get rejected at a party.. Then watched his bro reject the same chick for him #TrueBro #BrosBeforeHoes" -Canada
Sun Apr 27 16:39:28 PDT 2014 --  When you got the munchies and the food is on point https://vine.co/v/MvgrbP9bF2L 
Sun Apr 27 05:30:11 PDT 2014 --  how I catch you slippin pic.twitter.com/31N2nZPsBP
Sun Apr 27 07:30:12 PDT 2014 --  me and my friends playing football pic.twitter.com/qJjDEzBZSJ
Mon Apr 28 08:09:13 PDT 2014 --  Sitting at home: Oh. It's raining. Cool. Sitting at school: HOLY CRAP IT'S RAINING!! LOOK!
Sun Apr 27 09:49:22 PDT 2014 --  Why these pigeons look like they bout to drop the most fire album of 2014 pic.twitter.com/fnSuFowqxe
Thu Apr 24 15:00:13 PDT 2014 --  RT if your grandma had these mats at her house pic.twitter.com/LOq4b6OYwC
Fri Apr 25 13:34:14 PDT 2014 --  When your ex tries to hit you up pic.twitter.com/0eUlOal1JN
Sun Apr 27 14:08:07 PDT 2014 --  Happy birthday gee! Have a good one @DaviddTorres_
Sun Apr 27 12:56:10 PDT 2014 --  yes pic.twitter.com/RqxHKUJ5Rm
Sun Apr 27 14:02:49 PDT 2014 --  Mary Jayne
Sun Apr 27 14:00:11 PDT 2014 --  Me trying to save my grades pic.twitter.com/nsuJHUzlUU
Sun Apr 27 13:57:21 PDT 2014 --  This is how to respond to racism! Well done Alves!! https://vine.co/v/MvgqYJzeTVj 
Sun Apr 27 13:59:23 PDT 2014 --  They said love was a drug, either it gives you the most amazing experience of your life or simply fuck you upp
Sun Apr 27 13:57:42 PDT 2014 --  Have self value first
Sun Apr 27 13:56:22 PDT 2014 --  Fuck the world ima just be me
Sun Apr 27 13:55:30 PDT 2014 --  Messi 10 @TeamMessi
Sun Apr 27 13:53:47 PDT 2014 --  Soccer is pretty much everything I have left.. Nothing else makes me more happy then soccer
Sun Apr 27 13:50:21 PDT 2014 --  When a hoe asks me to send her nudes after she sent me some pic.twitter.com/gc1Sb3WJDM
Sun Apr 27 13:48:54 PDT 2014 --  Score another one for weed. pic.twitter.com/9AY94wRJ5D
Sun Apr 27 13:50:12 PDT 2014 --  Can wait for the world cup
Sun Apr 27 13:47:49 PDT 2014 --  Its kinda fucked up how everything can change so much like woaah where Tf have I been
Sun Apr 27 13:40:32 PDT 2014 --  When you finally see that nigga that's been hiding from you http://twitter.com/CHlLDHOODRUINER/status/460505350177710080/photo/1pic.twitter.com/a331avqEqG 
Sun Apr 27 13:45:06 PDT 2014 --  Motherfuck the world ? @Hi_ImPremo your music be on point bro
Sat Apr 26 18:26:20 PDT 2014 --  How I look when my mom is using my phone pic.twitter.com/F6Yv9QNkHt
Mon Apr 21 09:06:50 PDT 2014 --  "why do you always show half your face in selfies"  pic.twitter.com/mZG8i2q3gA
Wed Apr 16 16:35:46 PDT 2014 --  me during finals pic.twitter.com/kVP6B4u0Dw
Sat Apr 26 10:41:06 PDT 2014 --  I need a blunt
Thu Apr 24 07:41:03 PDT 2014 --  What if you're the only actual living person in the universe, and everyone else is just programmed to act like they're human?
Sat Apr 26 08:12:23 PDT 2014 --  I’m that friend that has to walk behind the others when the sidewalk doesn’t fit a group of three
Sat Apr 26 08:15:21 PDT 2014 --  Can't find someone to help you in an electronic store? Stand by a big TV and look at the price tag. Someone will be right over.
Wed Apr 23 15:30:16 PDT 2014 --  "My girl wouldn't touch my dick so I broke up with her the day before valentines day and fucked her best friend....best Vday ever" NJ
Wed Apr 23 15:30:19 PDT 2014 --  Lazy people accomplish more. Their laziness enables them to find the easiest and quickest ways to get things done.
Wed Apr 23 13:39:10 PDT 2014 --  Sitting in class like pic.twitter.com/puwwQF6zPN
Tue Apr 22 07:36:43 PDT 2014 --  Me at this point in the semester pic.twitter.com/YrxZuCf0zT
Tue Apr 22 07:57:10 PDT 2014 --  My life in a nutshell pic.twitter.com/UQP9if3GAu
Tue Apr 22 08:00:13 PDT 2014 --  After Disney's "Princess and the Frog" movie came out, over 50 children were hospitalized with salmonella from kissing frogs.
Tue Apr 22 08:00:21 PDT 2014 --  I know right ? pic.twitter.com/bJW1uSsmXH
Tue Apr 22 08:17:16 PDT 2014 --  George Washington grew marijuana in his garden.
Tue Apr 22 08:20:47 PDT 2014 --  pic.twitter.com/IZrv3p9alz
Wed Mar 12 18:21:14 PDT 2014 --  You don't like my tweets? ⌒ 　 |= | |= | /⌒|~ |⌒i-、 /|　|　|　 | | (　(　(　( ｜ Unfollow Me ＼　　　 /
Tue Apr 22 08:38:10 PDT 2014 --  A doobie a day keeps the doctor away.
Fri Apr 18 19:38:26 PDT 2014 --  4/20 on Easter Sunday. pic.twitter.com/q76q0p9Fez
Tue Apr 22 08:47:15 PDT 2014 --  The president of Uruguay is the poorest president in the world because he donates 90% of his salary to charity.
Tue Mar 11 16:56:14 PDT 2014 --  when someone calls me ugly and im just like pic.twitter.com/FOMmpwljtH
Thu Apr 03 19:53:26 PDT 2014 --  being the fat friend like pic.twitter.com/czDvVMFhPi
Sat Apr 12 20:12:10 PDT 2014 --  when someone screenshots my ugly snapchats pic.twitter.com/uu93pGBxhJ
Thu Apr 17 09:42:33 PDT 2014 --  me in public pic.twitter.com/WvsaXMipXr
Fri Apr 18 12:11:11 PDT 2014 --  Friday got me like https://vine.co/v/MiAMY06TDUY 
Fri Apr 18 09:23:02 PDT 2014 --  His songs be on point @Logic301
Fri Apr 18 09:22:08 PDT 2014 --  Logic @Logic301
Fri Apr 18 09:20:58 PDT 2014 --  Birthday in 2 days hmm interesting
Fri Apr 18 09:19:40 PDT 2014 --  High, I'm hi
Fri Apr 18 09:17:33 PDT 2014 --  Me la pelan
Fri Apr 18 09:00:18 PDT 2014 --  "Caught my mom cheating on my dad so I turned that bitch in. My dad dumped her and beat the fuck out of that guy #winning" Long Island
Fri Apr 18 09:05:03 PDT 2014 --  Twins often create their own language, known as "cryptophasia," that only they can understand.
Fri Apr 18 09:09:55 PDT 2014 --  If you mess up a voicemail to someone, press "#" to erase and re-record.
Wed Apr 16 05:04:39 PDT 2014 --  Bitch be grateful pic.twitter.com/sOVNueNqgp
Fri Apr 18 04:30:07 PDT 2014 --  Guys are more likely to fall in love based upon appearance. Women are more drawn to a guy's behavior
Fri Apr 18 04:49:33 PDT 2014 --  This is unbelievable! pic.twitter.com/Hvg5lwCBII
Fri Apr 18 05:00:12 PDT 2014 --  The most overworked country in the world is the US.
Tue Mar 04 12:57:10 PST 2014 --  If I received a dollar for every time someone pronounced my name wrong pic.twitter.com/sM6UMtuXZz
Thu Apr 17 17:55:05 PDT 2014 --  2 years and 4 months old Tan-Roberts has an IQ of 156, which is just 4 points lower than Albert Einstein's!
Thu Apr 17 17:35:03 PDT 2014 --  "My basketball team went to Vegas one year and the whole team ended up fucking a stripper #TeamBonding #WhatHappensInVegas"-SFHS
Thu Apr 17 17:40:09 PDT 2014 --  Treat your girl right, or sit back and watch someone else do it for you.
Tue Apr 08 20:32:57 PDT 2014 --  Meanwhile at Microsoft... pic.twitter.com/2IFuFMl4iN
Thu Apr 17 17:45:45 PDT 2014 --  My life is like a romantic comedy except there’s no romance and It’s just me laughing at my own jokes
Mon Apr 14 17:58:17 PDT 2014 --  Opening a snapchat video in public is wayyyyyyyyy toooooooooooooo risky.
Mon Apr 14 18:31:03 PDT 2014 --  when bae starts using my slang pic.twitter.com/RBogZOtGf7
