Sat Mar 21 11:13:08 PDT 2015 --  En mi currículum debería poner "abre mazapanes sin romperlos".
Tue Aug 11 12:37:30 PDT 2015 --  "En lunes no para no gitanear." https://instagram.com/p/6QUzN0GzIv/ 
Tue Aug 11 08:59:15 PDT 2015 --  Hay más gatitos en mi Instagram que en el resto del mundo... :3
Mon Aug 10 21:11:43 PDT 2015 --  Gente que confunde su "último primer día de clases" con su "primer último día de clases" no merece graduarse. #OjaláReprueben
Sat Aug 08 15:11:08 PDT 2015 --  Papás, escondan a sus hijas que va a estar @KalimbaMX en #CaminaMasaryk
Sat Aug 08 00:16:52 PDT 2015 --  Compas. https://instagram.com/p/6HRp7sGzAy/ 
Thu Aug 06 09:21:19 PDT 2015 --  #PiroposDeDiabeticos con @isyacapa pic.twitter.com/Aa4lCfRpNa
Sun Aug 02 09:10:30 PDT 2015 --  Mi sobrino me pidió que viéramos un capítulo de Elmo y nos quedamos a la mitad. Me quedé picado...
Fri Jul 31 22:50:39 PDT 2015 --  "Me eché más banderas que Juan Escutia." #QuotesFromLaPeda
Fri Jul 31 11:19:21 PDT 2015 --  #FF a nuestros querido colaboradores: @olalloyo @AaronPalaciosC @NinaPapalote @esamiMars @_rEnakuaja @feralanis92 #RompiendoElSilencio
Thu Jul 30 09:27:00 PDT 2015 --  La adrenalina de los 3 minutos antes de hacer el horario. #TecTenPiedad
Tue Jul 28 15:11:32 PDT 2015 --  Plot twist: la FMF nombra a Christian Martinoli como nuevo DT de la selección. #DeMiSeAcuerdan #Ferstradamus
Tue Jul 28 12:32:27 PDT 2015 --  @martinolimx ahora tu deber es provocar a varios funcionarios públicos para ver si también se nos hace el milagrito. #graciasmil
Tue Jul 28 06:54:15 PDT 2015 --  Puede que @MiguelHerreraDT agreda a @martinolimx cada que lo vea, pero nunca mas lo hará como DT de la selección.
Mon Jul 27 18:01:15 PDT 2015 --  ¿Quién iba a decir que @gabrielsotoMEX cantaba? No neta... ¿Quién chingados dijo que cantaba?
Mon Jul 27 16:30:43 PDT 2015 --  Parkman Sunglasses Giveaway https://wn.nr/zq874 
Mon Jul 27 12:34:40 PDT 2015 --  ¿Y tu que sabes de corazones rotos si nunca se te ha roto la tortilla de tu taco?
Mon Jul 27 09:56:06 PDT 2015 --  Caixinha FTW! https://twitter.com/eltunelmx/status/625708577462693888 …
Mon Jul 27 09:49:29 PDT 2015 --  "Vamos a callar bocas... Aunque sea a puñetazos en el cuello." - @MiguelHerreraDT , sobre @martinolimx
Mon Jul 27 09:34:06 PDT 2015 --  En esta Copa Oro hubo más box que fútbol por parte de @miseleccionmx
Mon Jul 27 09:25:08 PDT 2015 --  "Vamos a salir de esta crisis futbolística aunque sea a putazos..." -Miguel Herrera #NoMePeguesPiojo
Mon Jul 27 09:23:45 PDT 2015 --  No hay peores patadas de ahogado que las de @MiguelHerreraDT golpeando a @martinolimx por ser honesto y objetivo. #NoMePeguesPiojo
Sat Jul 25 18:58:36 PDT 2015 --  Mi mamá viendo "Sabadazo" es una de las razones por las que creo que soy adoptado...
Wed Jul 22 20:01:51 PDT 2015 --  Es imposible escribir CONCACAF sin CACA.
Wed Jul 22 18:37:51 PDT 2015 --  Que "Copa Oro" tan "monedas de chocolate"...
Wed Jul 22 18:31:46 PDT 2015 --  Penales que no son. Expulsiones que no son. Triunfos que no deberían ser.
Sun Jul 19 20:01:36 PDT 2015 --  Andrés Guardado manda a México a semifinales, y Oribe Peralta manda al abanderado a la morgue... #CopaOro2015
Sun Jul 19 19:25:22 PDT 2015 --  Prefiero perder a ganar así.
Sun Jul 19 19:22:15 PDT 2015 --  Échale la culpa al arbitraje esta pinche vez @MiguelHerreraDT.
Sun Jul 19 19:21:13 PDT 2015 --  Oribe Peralta, el Robben de Costa Rica.
Sun Jul 19 18:40:34 PDT 2015 --  "Qué rica ensalada" —Carlos Vela. pic.twitter.com/4thx5DdFuc
Sun Jul 19 10:00:14 PDT 2015 --  http://www.enchufedepaseo.com  ***HOY*** No se pierdan el estreno de #EnchufeDePaseo #Mexico pic.twitter.com/a18GYFETsd
Sat Jul 18 19:14:58 PDT 2015 --  Tanto 'Selfie-Stick' para evitar estirar los brazos...
Fri Jul 17 15:28:14 PDT 2015 --  Che @ChumelTorres espantas con tus tuits de despedida del pulso...
Thu Jul 16 23:44:01 PDT 2015 --  Feliz cumpleaños @sammycigarroa :3
Thu Jul 16 18:32:44 PDT 2015 --  https://www.youtube.com/watch?v=CpqiKFXhUQo … Lo macabro se apodera de todos nosotros.. Faltan 3 días! #mexico #enchufedepaseo @werevertumorro
Wed Jul 15 17:52:43 PDT 2015 --  Lo único bueno que ha hecho @ManceraMiguelMX es el decreto para que @Uber_DF se quede. #UberSePinchesQueda
Sun Jul 12 15:05:35 PDT 2015 --  Curioso como @SEGOB_mx reporta que a las 20:52 de "hoy" escapó el Chapo, cuando no ha pasado esa hora... pic.twitter.com/b18owR0mcS
Sun Jul 12 14:42:47 PDT 2015 --  No me sorprendería que el túnel por el que salió el Chapo lo haya construido grupo Higa.
Sat Jul 11 22:59:50 PDT 2015 --  Órganos. @ Finca El Rosario https://instagram.com/p/5BnYKQGzBs/ 
Tue Jul 07 22:28:55 PDT 2015 --  Las páginas oficiales del gobierno son más fraudulentas que el mismo gobierno…
Tue Jul 07 17:24:18 PDT 2015 --  No sabía que @eldeforma ya tenía su columna en El Reforma... pic.twitter.com/c9Fix8SBOu
Mon Jul 06 15:38:07 PDT 2015 --  Not sure if Tecamachalco or Tecamatlaloc...
Sat Jul 04 21:45:24 PDT 2015 --  No hay nada mas Banda que tener playera de Iron Maiden. pic.twitter.com/6GeAMoktv2
Sat Jul 04 20:55:27 PDT 2015 --  Apple Music me conoce... Demasiado... pic.twitter.com/6cPUlunjzb
Sat Jul 04 15:47:49 PDT 2015 --  Llora, pinche Messi. ¡Grande Chile!
Fri Jul 03 14:03:08 PDT 2015 --  "¡Híjole joven! Su verificación salió rechazada porque hace frío." #LasMamadasDelEstado #PorEsoMordorNoProgresa
Mon Jun 29 12:15:17 PDT 2015 --  4,295 piezas después... London Tower Bridge. #Lego https://instagram.com/p/4hkE24GzHO/ 
Sat Jun 27 19:25:30 PDT 2015 --  Acabo de publicar una foto https://instagram.com/p/4dLuG0mzO0/ 
Thu Jun 25 16:21:40 PDT 2015 --  The shower in my hotel is like @katyperry ... It's hot, then it's cold. #badumtss
Thu Jun 25 16:18:23 PDT 2015 --  South Bank, London @karinaramage @ South Bank London https://instagram.com/p/4Xst3bGzJs/ 
Thu Jun 25 14:12:50 PDT 2015 --  Me ha gustado un vídeo de @YouTube (http://youtu.be/v2Yo_c74Lbc?a  - Axel - Muñiz - "Si Te Enamoras" (Video con Letra)).
Thu Jun 25 13:53:48 PDT 2015 --  15. https://instagram.com/p/4XcK5pGzJO/ 
Tue Jun 23 11:21:24 PDT 2015 --  "¡Mamá! ¡Nuestra primera dama me está viendo feo!" pic.twitter.com/bfasfrOZya
Tue Jun 23 11:14:43 PDT 2015 --  The Cavern. @ The Cavern Club https://instagram.com/p/4SAX6PGzJR/ 
Mon Jun 22 05:13:27 PDT 2015 --  Mucha suerte a agrupacion que hoy graban aquí. ¡Cumbia, Cariño y Amor! https://instagram.com/p/4OyPKCmzLQ/ 
Sat Jun 20 11:57:24 PDT 2015 --  Alguna guitarra de alguien... https://instagram.com/p/4KW4BFmzPs/ 
Fri Jun 19 16:25:57 PDT 2015 --  Se me hace que #elverdeleechólasal a @miseleccionmx
Fri Jun 19 12:33:13 PDT 2015 --  "Quien se mete con México se mete con Venezuela." Dijo Maduro 3 días después de meterse con Calderón... Venezuela se mete con Venezuela.
Fri Jun 19 08:24:10 PDT 2015 --  Oxford. @ Oxford, England UK https://instagram.com/p/4HZrTsmzFK/ 
Thu Jun 18 09:43:42 PDT 2015 --  London Eye. @ The Official London Eye https://instagram.com/p/4E9-7dGzCP/ 
Wed Jun 17 15:37:25 PDT 2015 --  Prime meridian. @ Prime Meridian: Royal Observatory Greenwich England https://instagram.com/p/4DBqxtmzEm/ 
Wed Jun 17 03:36:07 PDT 2015 --  Cutty Sark @ Greenwich https://instagram.com/p/4BvH6pGzEo/ 
Tue Jun 16 09:48:12 PDT 2015 --  His Master's Voice https://instagram.com/p/3_06KTmzBZ/ 
Tue Jun 16 09:38:32 PDT 2015 --  "Donald Trump va por la Casa Blanca..." ¿Qué es esto? ¿México?
Tue Jun 16 07:31:28 PDT 2015 --  Hermoso estar en Covent Garden escuchando de fondo a @lafourcade
Sun Jun 14 04:49:30 PDT 2015 --  Mexican fan at London... Any way of getting tickets for @foofighters at Wembley Stadium on any of the dates!? @TicketmasterUK
Sat Jun 13 12:22:28 PDT 2015 --  Hemos llegado a un nivel de desconfianza en el que compramos palos para evitar que alguien más nos tome una foto. Fracasamos como sociedad.
Sat Jun 13 12:16:14 PDT 2015 --  Hello London. https://instagram.com/p/34XdxyGzLR/ 
Thu Jun 11 22:42:27 PDT 2015 --  SPOILER: el saxofonista de Privé hace puro playback...
Thu Jun 11 00:19:18 PDT 2015 --  Cuando escuché Psycho de Muse pensé que Drones iba a ser buen disco. Pocas veces he estado tan equivocado…
Thu Jun 11 00:16:52 PDT 2015 --  Dice mi iTunes que “No hay error… No hay error… No hay error.” #MCDinero pic.twitter.com/wdaiRf73Tb
Wed Jun 10 20:00:13 PDT 2015 --  I'm at Fogonazo Polanco - @elfogonazo in Distrito Federal https://www.swarmapp.com/c/eSSYsrooX09 
Wed Jun 10 12:34:25 PDT 2015 --  I'm at Racó Legaria https://www.swarmapp.com/c/k9RmIm3VffV 
Mon Jun 08 10:52:35 PDT 2015 --  Gracias @MixupTeam por no tener el nuevo disco de Muse...
Sun Jun 07 22:54:01 PDT 2015 --  No aprenden... pic.twitter.com/QaD2QpchjD
Sat Jun 06 21:48:55 PDT 2015 --  Si votas pedo no es tu pedo.
Sat Jun 06 14:13:17 PDT 2015 --  Un placer trabajar esta semana con este enorme proyecto llamado @enchufetv ¡Gracias por todo! https://instagram.com/p/3mjS8ZmzDe/ 
Fri Jun 05 19:19:09 PDT 2015 --  It's a wrap!
Wed Jun 03 19:22:48 PDT 2015 --  Día 3. https://instagram.com/p/3fYVSsmzIb/ 
Tue Jun 02 21:25:23 PDT 2015 --  Pena de muerte al wey que haya dicho "seguro a los niños les gustará más la información nutricional que los juegos en las cajas de cereal."
Sun May 31 22:00:56 PDT 2015 --  Gracias @PUMAmexico @MarioOlvera17 por el detallazo! Se ve divino el escudo de @ClubSantos con pic.twitter.com/tdUAH0avmd
Sun May 31 21:18:57 PDT 2015 --  Precious no tiene idea de cuánto sufrí en esta final. #SantosCampeon
Sun May 31 21:09:08 PDT 2015 --  En el medio tiempo sonó el despertador... No el silbato. #SantosCampeon
Sun May 31 21:08:11 PDT 2015 --  5ANTOS
Sun May 31 20:30:56 PDT 2015 --  #OrgullosamenteLagunero #Yo5íCreo pic.twitter.com/jlkydY2NrR
Sun May 31 20:31:30 PDT 2015 --  Gracias @Club_Queretaro por probarme que se puede jugar con corazón y buen futbol, pero sobre todo, ¡gracias @clubsantos por el 5o triunfo!
Fri May 29 05:25:01 PDT 2015 --  Ya quiero que sea la vuelta del 5antos vs. 0uerétaro.
Fri May 29 00:32:57 PDT 2015 --  Si Santos no va al juego de vuelta pierde por default. Perder por default es 3-0, y aún así la copa es nuestra...
Fri May 29 00:29:03 PDT 2015 --  Les dije "3-0 zapatero" y no quisieron... Ahora se aguantan. #Yo5iCre0
Fri May 29 00:19:53 PDT 2015 --  Nada como viajar para ver una final, y sólo ganar por 5 goles. #Yo5iCre0 @clubsantos https://instagram.com/p/3Qdj4sGzNv/ 
Thu May 28 09:44:55 PDT 2015 --  A ver triunfar a mis guerreros #Yo5iCreo (@ Aeropuerto Internacional de la Ciudad de México (MEX) - @aicm3) https://www.swarmapp.com/c/80EzYiFKRfp 
Thu May 28 09:16:59 PDT 2015 --  Que bonito es ver a alguien con la playera del Santos e identificarse con una sonrisa. #Yo5iCreo
Wed May 27 12:48:02 PDT 2015 --  Yo dije que venía Young The Giant #Ferstradamus
Wed May 27 12:44:38 PDT 2015 --  Uno de los días más felices de mi vida fue cuando @esamiMars me dijo que venía @youngthegiant al @CoronaCapital
Mon May 25 12:13:05 PDT 2015 --  ¿No hay taxis en el DF porque todos están marchando en contra de Uber? No hay pedo… ¡Uber gratis para todos!
Mon May 25 10:32:38 PDT 2015 --  Soy de los que siempre creyó en Caixinha, el avión Calderón y Djaniny.
Sun May 24 23:16:54 PDT 2015 --  "Vamos al Santos-Pachuca en el Hidalgo." - Todos los de Pachuca antes de que cantara el gallo.
Sun May 24 20:54:05 PDT 2015 --  Torreón, nos vemos el jueves :')
Sun May 24 18:51:57 PDT 2015 --  ¡FINAL!
Sun May 24 18:30:40 PDT 2015 --  Aplauso a Alejandro Irarragorri, en el peor momento de la gestión de Pedro Caixinha, lo respaldo y respaldo el proyecto. Gran dirigente.
Sun May 24 18:29:59 PDT 2015 --  ¡Avionazo en el Omnilife! ¡Saquen la birria Chivas!
Sun May 24 18:29:03 PDT 2015 --  No por nada siempre creía en el avión.
Sun May 24 17:10:10 PDT 2015 --  Que curioso que siempre que Santos está en semifinales ponen a Chacón de árbitro.
Sun May 24 12:35:20 PDT 2015 --  "Ojos de gatito de Shrek." #ChuchoTheCat @catsofinstagram https://instagram.com/p/3E5wLvmzMG/ 
Sun May 24 09:38:41 PDT 2015 --  Crecer es dejar de emocionarte porque en las papas venga más de un tazo.
Sat May 23 13:39:18 PDT 2015 --  -Pastel de tres leches con cajeta... ¿Qué más quieres? ¿Diabetes? -Ya tengo. Gracias. #ChistesDeDiabeticos #Autobullying
Thu May 21 20:59:24 PDT 2015 --  #FreyOfTheDay https://instagram.com/p/2-FDcGmzKx/ 
Thu May 21 14:53:56 PDT 2015 --  Todo el DF poniendo fotos del arco iris al rededor del sol y ni siquiera saben que madres es.
Thu May 21 09:32:37 PDT 2015 --  Splash en cámara lenta https://instagram.com/p/282dZyGzN2/ 
Wed May 20 11:04:08 PDT 2015 --  I'm at @SixFlagsMexico in Tlalpan, DF https://www.swarmapp.com/c/ljf59yuTWFo  pic.twitter.com/TPV2TFgZ4o
Tue May 19 16:45:05 PDT 2015 --  Gracias, Hitler, por la Nutella.
Tue May 19 11:02:10 PDT 2015 --  Video de la semana: ‘El Pastor’, de Guacamaya Sound System. Escribe @AsfaltosTweets. http://bit.ly/1cNd2LG 
Mon May 18 09:48:47 PDT 2015 --  Kim Kardashian no pudo romper el internet. Hagamos que El Pastor lo logre: https://m.youtube.com/watch?v=R_-RmWF4UYE&feature=youtu.be … #EstrenoMundialElPastor
Sat May 16 23:31:32 PDT 2015 --  Sabadomingo de Foleys... #UniqueOrn https://instagram.com/p/2xefWcmzM6/ 
Sat May 16 08:54:25 PDT 2015 --  El lunes se estrena el video musical de "El Pastor", por Guacamaya Sound System. ¡Espérenlo! https://instagram.com/p/2v6HBTGzHd/ 
Fri May 15 19:11:31 PDT 2015 --  Grabar foleys puede ser divertido... @ Cadena Records https://instagram.com/p/2ub8HGGzJq/ 
Thu May 14 09:52:14 PDT 2015 --  "Sólo @iRadiaTec me lleva a ver a Jarabe de Palo en el @Tmetropolitanmx. ¡Síganlos! http://bit.ly/1IAbsuj  #BoletizaiRadiaTec"
Wed May 13 22:08:39 PDT 2015 --  A disfrutar las últimas 6 horas de sueño en la semana... #MuerTec
Sun May 10 11:04:02 PDT 2015 --  Jungle en el Ceremonia. Y en nuestros corazones... https://instagram.com/p/2gsLOKGzO3/ 
Sun May 10 11:03:43 PDT 2015 --  Jungle en el Ceremonia. Y en nuestros corazones... https://instagram.com/p/2gsI-hGzOw/ 
Wed May 06 21:23:40 PDT 2015 --  Me gustó un video de @YouTube http://youtu.be/HuYOHqfC2WE?a  Electrolisis/Galvanoplastia
Tue May 05 12:18:59 PDT 2015 --  ¡Sale una foto de @feralanis92 en la revista Sound:Check Mayo 2015! #PinkNoise #Soundcheck https://instagram.com/p/2T8xuJGzJ2/ 
Sat May 02 22:29:46 PDT 2015 --  No entiendo por qué estoy viendo Sabadazo en Domingo...
Sat May 02 22:16:57 PDT 2015 --  WHO DID THIS pic.twitter.com/KTS0zGJTMf
Sat May 02 22:09:31 PDT 2015 --  Mayweather: el EPN del box.
Sat May 02 22:09:44 PDT 2015 --  El @traviesoarce5 me da más pena que @cuauhtemocb1O diciendo que voten por el PRD...
Sat May 02 22:04:34 PDT 2015 --  La próxima pelea de @FloydMayweather será contra @usainbolt pic.twitter.com/WcwQ5nWqTb
Sat May 02 21:54:12 PDT 2015 --  "Abrazameeeeee, abrazameeeee" -Mayweather cantando Camila.
Sat May 02 21:52:57 PDT 2015 --  No mames @TD_Deportes ¿por qué repiten el round? #CuantosMasEPN
Sat May 02 21:41:12 PDT 2015 --  Mayweather en el ring. pic.twitter.com/p4UH1Kx3Ia
Sat May 02 21:35:39 PDT 2015 --  "" -Mayweather diciendo que no. #MayweatherPacquiao
Sat May 02 16:10:42 PDT 2015 --  Me gustó un video de @YouTube http://youtu.be/SAKLCvEXRyc?a  ANODIZING PROCESS
Sat May 02 13:59:32 PDT 2015 --  Sábado turístico sin filtros. @ Alcazar del Castillo de Chapultepec https://instagram.com/p/2MZ5sJmzKc/ 
Mon Apr 27 07:41:04 PDT 2015 --  Siempre hay alguien que se estaciona peor que tú... #CloseEnough @tec_santa_fe https://instagram.com/p/1-2naZGzM9/ 
Sun Apr 26 22:16:50 PDT 2015 --  RT si puedes comer una Rockaleta sin morderla… Lo sabía. Nadie puede… #SoyPocosFologüers
Sat Apr 25 23:00:20 PDT 2015 --  Hace una semana no vengo. (@ Que Lata in Naucalpan de Juárez, Me) https://www.swarmapp.com/c/6SIpxAlUOCb 
Sat Apr 25 13:02:28 PDT 2015 --  No olvidemos el ya clásico "estás fuera de mi área de reparto" de @dominosmx #SusMamadas
Sat Apr 25 11:19:00 PDT 2015 --  Me fui de @Telcel porque era una mierda, y ahora resulta que @IUSACELL es peor... ¿Qué tal está @MovistarMX, alguna telefonía seria en Mex?
Sat Apr 25 10:02:16 PDT 2015 --  Cuando muera, quiero ser una bombilla de Mario Kart para explotarle a quien más odie...
Sat Apr 25 09:43:27 PDT 2015 --  "Yo diabético y tú Bombón." #ChistesDeDiabeticos pic.twitter.com/pT2YSIdPwi
Fri Apr 24 09:43:06 PDT 2015 --  No, @Yony_ER ... Soy diabético. No diabólico... #ChistesDeDiabeticos
Thu Apr 23 22:09:14 PDT 2015 --  El otro día me dijeron que soy muy dulce... Luego me acordé que soy diabético y se me quitó la emoción. #ChistesDeDiabeticos
Thu Apr 23 18:56:19 PDT 2015 --  Gracias @iRadiaTec por llevarme a ver a Vicentico! pic.twitter.com/ejHCN5eTL7
Thu Apr 23 16:53:35 PDT 2015 --  De la mierda el servicio de @IUSACELL ... No avisan de cambios, ni cuando se van a agotar tus MB... Me regreso a @Telcel
Wed Apr 22 18:20:46 PDT 2015 --  I'm at @El_Plaza_ Condesa in Cuauhtémoc, DF https://www.swarmapp.com/c/ave8gocBjLN 
Wed Apr 22 16:50:28 PDT 2015 --  I'm at @MercadoRomaMx in Cuauhtémoc, Ciudad de México, DF, Distrito Federal https://www.swarmapp.com/c/2cL7r5f0ypb 
Sun Apr 19 20:24:08 PDT 2015 --  El tercer y último día de rodaje de "El Pastor" #WaitForIt #UrielSeEquivocoDeTaqueria https://instagram.com/p/1rnlRHmzFv/ 
Sun Apr 19 20:21:46 PDT 2015 --  Un poco del rodaje de "El Pastor", en el segundo día... https://instagram.com/p/1rnT8gmzFW/ 
Sun Apr 19 11:44:59 PDT 2015 --  Todo sea por el arte. (@ Que Lata in Naucalpan de Juárez, Me) https://www.swarmapp.com/c/2mMEk2oYK7e 
Sun Apr 19 09:32:24 PDT 2015 --  ¿Para qué necesito adrenalina si tengo insulina? #Autobullying
Sat Apr 18 22:02:13 PDT 2015 --  "Stalin Rasputin Anastasia." -Yo hablando en Ruso.
Sat Apr 18 20:53:01 PDT 2015 --  "No hay manera heterosexual de reaccionar ante una cucaracha voladora." @Daniyel97
Sat Apr 18 10:09:55 PDT 2015 --  #Repost @parkmanusa with repostapp.⁰・・・⁰ #PARKMANSUNGLASSES https://instagram.com/p/1n8fwHmzLA/ 
Fri Apr 17 23:46:38 PDT 2015 --  El Pastor. https://instagram.com/p/1m1KuiGzNF/ 
Fri Apr 17 23:44:24 PDT 2015 --  Un resumen del día. Rodaje "El Pastor". https://instagram.com/p/1m06TTGzMy/ 
Fri Apr 17 14:57:07 PDT 2015 --  ¡Felicidades a @killpau, @BaresFabuloso y @feralanis92! Son los ganadores de un pase doble para Vicentico este 23 de abril en @AuditorioMx.
Fri Apr 17 14:52:49 PDT 2015 --  Sólo @iRadiaTec me regala boletos para ver a Vicentico en el @AuditorioMx . Síganlos! http://bit.ly/1CRGzJg  #BoletizaiRadiaTec
Wed Apr 15 23:44:44 PDT 2015 --  The Tale of the Princess Kaguya. Joya de Isao Takahata y un must de Studio Ghibli.
Wed Apr 15 10:25:57 PDT 2015 --  Me encantan los miércoles de Hairy Sub... https://twitter.com/ivanbola/status/588386324643610624 …
Tue Apr 14 06:24:16 PDT 2015 --  Me bajé del coche y el estacionamiento olía a tacos de barbacoa. ¿Es una señal divina?
Mon Apr 13 21:09:44 PDT 2015 --  Mi frasco de 200 tic tacs de naranja duró más que el amor entre Carolina y @ChumelTorres
Mon Apr 13 19:17:16 PDT 2015 --  Oye, @JLozanoA si te llamaras Jabier (con b), ¿es problema de tu ortografía, la de tus papás o la del juez? Ridículo tú contra @herculezg
Mon Apr 13 19:05:09 PDT 2015 --  El fútbol mexicano es más surrealista que Dalí.
Mon Apr 13 10:33:14 PDT 2015 --  -¿Alguien tiene azúcar? -Yo… En la sangre. #Diabetes
Sun Apr 12 10:03:24 PDT 2015 --  Rodando desde temprano... https://instagram.com/p/1Ye-shGzDK/ 
Sat Apr 11 00:43:41 PDT 2015 --  So sad/angry that some fucker stole my @ParkmanUSA Sunglasses within the first week with them.
Fri Apr 10 19:55:24 PDT 2015 --  Celebrando a la señorita Martinoli (at @GrooveDf in Cuauhtémoc, DF) https://www.swarmapp.com/c/jvAQgQIthtn 
Fri Apr 10 13:38:27 PDT 2015 --  I'm at Platón 152 in Miguel Hidalgo, México D.F. https://www.swarmapp.com/c/hWwSieUTsL9 
Tue Apr 07 17:43:20 PDT 2015 --  “¡Viejo! ¡La artesanía está hablando otra vez! ¡Está poseída!” @ChumelTorres
Mon Apr 06 22:40:47 PDT 2015 --  Lol pic.twitter.com/JOeld8WocS
Mon Apr 06 20:54:53 PDT 2015 --  Giroscopio. https://instagram.com/p/1KMxBJmzMX/ 
Mon Apr 06 08:54:04 PDT 2015 --  ¿Neta en una semana hicieron lo mismo que los jesuitas en más de 10 años? #ParenDeMamar
Sat Apr 04 23:50:17 PDT 2015 --  ¡Descárgate un oso! http://tunnelbear.com  ¡Navega como si estuvieras en otro país! @thetunnelbear (Free GB?)
Sat Apr 04 22:19:04 PDT 2015 --  Lo importante no es llegar a casa, sino llegar a la taquería más cercana. (@ Que Lata in Naucalpan de Juárez, Me) https://www.swarmapp.com/c/eIy6eHZ6VsA 
Sat Apr 04 21:03:48 PDT 2015 --  The perks of being above clouds. #NoFilter #Sky #ATR https://instagram.com/p/1FEMtDGzHX/ 
Sat Apr 04 15:56:07 PDT 2015 --  ¿Soy el único ser humano en la tierra que odia los "selfie-sticks"?
Wed Apr 01 22:38:55 PDT 2015 --  Takis de guacamole para la depresión...
Wed Apr 01 22:21:22 PDT 2015 --  "Sufro en silencio como tanta gente..." -José José cuando su walkman dejó de funcionar.
Wed Apr 01 22:12:21 PDT 2015 --  Un minuto de silencio por éste fiel amigo que acaba de morir después de gloriosos años. Te voy a extrañar eternamente pic.twitter.com/pmFHmAmjds
Wed Apr 01 19:17:35 PDT 2015 --  Allegiant Air llegando sin filtros. https://instagram.com/p/09JqGMmzHR/ 
Wed Apr 01 11:35:34 PDT 2015 --  No entiendo a las mamás que llevan a sus hijos en carreolas para que luego los niños lleven las carreolas con las compras de las mamás...
Tue Mar 31 22:11:30 PDT 2015 --  Creo que mi diabetes también se fue de vacaciones.
Tue Mar 31 19:19:09 PDT 2015 --  Prefiero no celebrar el día del taco a comer Taco Bell.
Tue Mar 31 11:53:12 PDT 2015 --  No te deseo mal, pero ojalá te entre shampoo con mentol en los ojos.
Tue Mar 31 09:56:13 PDT 2015 --  They see me rollin', maybe I should stop eating...
Tue Mar 31 09:38:42 PDT 2015 --  A veces soy más texano que Selena. https://instagram.com/p/05inQ1mzCn/ 
Wed Mar 25 09:00:01 PDT 2015 --  RT si este es tu dúo perfecto. pic.twitter.com/iuCvWwk2iL
Mon Mar 30 00:30:27 PDT 2015 --  Maldigo el momento en que un editor de @eldeforma tomó las riendas del país para hacer sus noticias realidad.
Sat Mar 28 22:21:04 PDT 2015 --  After two years wanting these, I finally got them! Thanks for the extra goodies!! @parkmanusa… https://instagram.com/p/0zLefFmzBp/ 
