Wed Aug 26 08:47:27 PDT 2015 --  I ate a poptart too enthusiastically and I bunt my mouth #wild
Wed May 20 08:56:37 PDT 2015 --  Thanks Timehop. pic.twitter.com/ukY3A9B4R0
Tue May 19 21:27:22 PDT 2015 --  Thanks for letting us use your rest stop Mississippi. It's been real. Bye. pic.twitter.com/gEQ2v58ckE
Mon May 18 13:08:19 PDT 2015 --  Just saw a real life shark at the beach. SOS.
Thu May 14 09:20:34 PDT 2015 --  Hey seniors, don't cry because it's over, cry because you still have no job and a crippling amount of student debt.
Tue May 12 21:28:32 PDT 2015 --  you're not supposed to wake a sleepwalker cause they might be going to denny's and you shouldn't interrupt their journey
Mon May 11 12:13:20 PDT 2015 --  The lady sitting beside me in the airport is hardcore judging while she watches pick rice off my shirt and eat it
Sun May 10 17:32:56 PDT 2015 --  Daisy knows I'm leaving and she's protesting by peeing on my carpet
Sun May 10 11:58:26 PDT 2015 --  AND SEE YOU TOMORROW @erinjen24 & @sarahmorere
Sun May 10 11:58:01 PDT 2015 --  SEE YOU TOMORROW AMERICA
Sat May 09 10:43:45 PDT 2015 --  Wow. Your car is very loud. I am so impressed. What a fantastic innovation in car technology. Truly amazing. I am green with envy.
Fri May 08 03:41:37 PDT 2015 --  AHHHHHHHHHHHHHH pic.twitter.com/57TffoX4g2
Wed May 06 11:22:56 PDT 2015 --  "I wonder what cats see out through their tiny cat eyes?" - moms boyfriend
Wed May 06 10:35:48 PDT 2015 --  I spend more money on shampoo for my dog than I could ever dream of spending on shampoo for myself.
Sat May 02 19:09:25 PDT 2015 --  So it turns out that we had a carbon monoxide leak in our house and for some reason I'm the only one that is panicking
Thu Apr 30 07:25:41 PDT 2015 --  Literally the only thing I'm good at is messing up everything I've ever attempted ever.
Thu Apr 30 02:50:05 PDT 2015 --  Just handed in my last EVER college assignment
Mon Apr 27 08:31:47 PDT 2015 --  The staff lounge in UCD serves alcohol #partyhard
Mon Apr 27 08:20:07 PDT 2015 --  Do you remember that Evanescence song about dying on the inside? Because I am connecting with that song on a deep level right now
Mon Apr 27 06:58:53 PDT 2015 --  Yo, @ucddublin this is not an appropriate time for your wifi to decide to stop working
Sun Apr 26 11:22:03 PDT 2015 --  "How's the revision going?" pic.twitter.com/SnpyTkbQ0g
Fri Apr 24 08:23:05 PDT 2015 --  In years time when your LGBT son/daughter can't get married, will you have the guts to tell them, 'I didn't think you deserved it' #VoteYes
Sat Apr 25 03:31:05 PDT 2015 --  I don't know what's happening but my moms boyfriend just screamed "OH SHIT" and ran upstairs with a bucket of water
Wed Apr 22 02:29:45 PDT 2015 --  My grandad walked into my house wearing a bathrobe that is identical to the one I am currently wearing. #LikeGrandfatherLikeGrandaughter
Tue Apr 21 07:50:48 PDT 2015 --  One essay turned in, only 5 to go
Tue Apr 21 03:43:10 PDT 2015 --  If someone could please come hit me with their car you would be doing me a huge favor #essayhell
Mon Apr 20 16:48:12 PDT 2015 --  There are 2 Eddie Rockets takeout containers in my fridge right now and THEY HAVE BROCOLLI IN THEM #SatanRising #ThanksMom
Mon Apr 20 09:59:23 PDT 2015 --  300 words into a 3000 words essay that's due tomorrow and im just about ready to chop my own hands off
Mon Apr 13 06:47:33 PDT 2015 --  You're gonna do great this week. pic.twitter.com/9kPG04SThI
Sat Apr 18 12:32:41 PDT 2015 --  Just got my new passport and the picture is so bleached out that apparently now I don't have a mouth or nose #thanks
Thu Apr 16 04:37:07 PDT 2015 --  It's times like these I wish Daisy had a tiny little Hawaiian shirt
Wed Apr 15 14:00:05 PDT 2015 --  A guy in the pool bullied me out of my lane but then someone else accidentally kicked him in the face so that was nice
Tue Apr 14 11:24:06 PDT 2015 --  What even is flan and why is it so delicious?
Sun Apr 12 02:32:19 PDT 2015 --  ONLY ONE MONTH TILL IM IN NEW ORLEANS WITH @erinjen24 !!
Fri Apr 10 01:59:10 PDT 2015 --  Watching videos of soldiers reuniting with their dogs gives me life
Thu Apr 09 05:08:53 PDT 2015 --  Half of the coffee machines in the SU shop are broken. SOS. Man down. Apocalypse now. Stay strong everyone.
Thu Apr 09 04:40:54 PDT 2015 --  I really hope my lecturer isnt Catholic because I am doing some really great church bashing in this essay #dontfailme
Tue Apr 07 09:58:47 PDT 2015 --  My moms boyfriend, who is not left handed, just bought a specifically left handed hedge trimmer.
Mon Apr 06 14:02:01 PDT 2015 --  Meghan Trainor needs to stop immediately.
Mon Apr 06 10:45:08 PDT 2015 --  My mom's boyfriend bought a supermarket brand perfume called "Suddenly Woman". For himself.
Sun Apr 05 13:58:57 PDT 2015 --  My granny tried to bless my mom with holy water and she ran away screaming. #blessed
Sun Apr 05 10:51:57 PDT 2015 --  My mom won't let my sister into the family Whatsapp group
Sun Apr 05 02:53:50 PDT 2015 --  Thank you Jesus for dying a horrible death so we can all eat a lot of chocolate.
Sat Apr 04 13:02:26 PDT 2015 --  That embarassibg moment when you post a picture on your own instagram instead of your dogs.
Thu Apr 02 13:00:23 PDT 2015 --  All of the elderly people from my gym were at mass so I had the entire pool to myself and it was great
Thu Apr 02 09:19:22 PDT 2015 --  Hi my name is Tara and I am addicted to Subway
Wed Apr 01 13:46:41 PDT 2015 --  My mom's boyfriend is explaining to my mom why Zayn left One Direction.
Tue Mar 31 10:29:08 PDT 2015 --  "This book is stupid and superficial. Girls would probably like it though." -moms boyfriend
Tue Mar 31 10:23:04 PDT 2015 --  My moms boyfriend, who eats an entire Toblerone every day, is very upset that the €2 shop has stopped selling them.
Tue Mar 31 02:57:06 PDT 2015 --  I AM STRESSED
Mon Mar 30 03:11:49 PDT 2015 --  Daisy is doing a really good job upholding the dog vs. mailman stereotype
Sat Mar 28 17:53:45 PDT 2015 --  A guy just thew a drink over me at a bar and I got him kicked out. Happy Birthday to me.
Sat Mar 28 17:52:54 PDT 2015 --  Tara is queen just got an asshole kicked out for being a dick, BOW DOWN BITCHES
Sat Mar 28 11:12:39 PDT 2015 --  My own sister rejected my birthday party invite.
Fri Mar 27 05:35:45 PDT 2015 --  MY CAR IS DEAD UGH WHY I DONT DESERVE THIS
Fri Mar 27 02:32:39 PDT 2015 --  Free McMuffins in McDonalds. GO FORTH GOOD PEOPLE
Wed Mar 25 15:13:14 PDT 2015 --  Sad to think people are shitting on about Jeremy clarkson and Zayn Malik when there was a huge plane crash that killed like 150 people.
Wed Mar 25 11:20:49 PDT 2015 --  One Direction fans acting like someone has died loooool
Wed Mar 25 10:55:39 PDT 2015 --  "Did you hear our cat food delivery man had a baby?! He's so excited!" - My mom keeping up on current events
Tue Mar 24 04:35:05 PDT 2015 --  Don't you dare email me telling me to "treat myself" because I absolutely will treat myself and spend all my money on whatever youre selling
Tue Mar 24 04:30:23 PDT 2015 --  I have enough loyalty points for a free Subway and I'm so happy I'm almost in tears
Mon Mar 23 16:51:20 PDT 2015 --  DOGS ARE SO IMPORTANT
Mon Mar 23 13:20:24 PDT 2015 --  I don't know what kind of game they're playing but my gym keeps switching the men and women's changing rooms
Thu Mar 19 06:08:15 PDT 2015 --  You haven't truly known known horror till you've drank coffee right after brushing your teeth
Wed Mar 18 18:10:52 PDT 2015 --  Imposing your religion on others is okay never, keep your leaflets away from me please.
Thu Mar 05 11:35:48 PST 2015 --  My mom's boyfriend keeps stealing my socks
Tue Mar 17 17:20:49 PDT 2015 --  First time not setting an alarm in forever. I feel like a princess.
Tue Mar 17 08:05:36 PDT 2015 --  Nothing says St Patrick's Day quite like intimidating groups of drunk 14 year olds.
Tue Mar 17 04:36:35 PDT 2015 --  I lost €10 and I'm literally crying
Mon Mar 16 08:36:35 PDT 2015 --  Nothing motivates me to clean my room quite like essay procrastination.
Sun Mar 15 06:12:53 PDT 2015 --  Daisy didn't even wish me happy mothers day. Rude.
Sat Mar 14 14:42:46 PDT 2015 --  When is the Snackeez compatible cookbook coming out?
Mon Mar 09 16:06:41 PDT 2015 --  Late night cereal binges are my one true love
Sun Mar 08 13:39:30 PDT 2015 --  Alright Maroon 5, that's enough.
Sun Mar 08 06:47:10 PDT 2015 --  LAST DAY IN WORK LAST DAY IN WORK LAST DAY IN WORK
Sat Mar 07 19:57:16 PST 2015 --  When I was little I thought being an adult was fun and cool. Boy was I wrong.
Fri Mar 06 18:01:23 PST 2015 --  pic.twitter.com/LHzwAfJBUH
Wed Mar 04 04:09:45 PST 2015 --  NO I DONT WANT TO VOTE, I DONT WANT YOUR LEAFLET, LEAVE ME ALONE
Tue Mar 03 17:57:29 PST 2015 --  It is actually remarkable how much space my dog manages to take up on the bed
Mon Mar 02 15:28:25 PST 2015 --  Email from my lecturer: "I'm pretty sure no one is going to come to tomorrow's lecture, but if you are coming, at least be on time."
Mon Mar 02 09:42:32 PST 2015 --  How can I do my essay when the new season of @RuPaulsDragRace is premiering today?!
Mon Mar 02 08:40:29 PST 2015 --  It literally disgusts me when people call their mother/father in-law "mom"/"dad"
Mon Mar 02 07:33:50 PST 2015 --  "We put all of the essay deadlines on the same day because we love watching you guys die on the inside." - UCD English Department
Sun Mar 01 07:38:35 PST 2015 --  Today in work a woman ran straight into me and then got angry at me for existing.
Sat Feb 28 13:53:21 PST 2015 --  If one more person says 'me thinks' I think I will just run into the sea & stand there for 37 hours cuz it's less painful than hearing that
Sat Feb 28 06:30:36 PST 2015 --  Made the catastrophic mistake of coming to the pool during family hour.
Wed Feb 25 02:27:44 PST 2015 --  Every time I go into Quinn I look like a hobo gremlin and all the fancy business students know im not one of them.
Tue Feb 24 16:05:39 PST 2015 --  My mom went to Belfast for 2 days and now she's a changed woman
Tue Feb 24 09:06:18 PST 2015 --  I have an assignment that can only be 1 page long but has to be 600 words in size 12 font which is literally impossible.
Mon Feb 23 16:44:55 PST 2015 --  I like shopping in The Gap because it makes me feel like a well adjusted adult
Sun Feb 22 18:15:33 PST 2015 --  Do not send me Candy Crush invites. We are adults, there is no need.
Sun Feb 22 10:43:01 PST 2015 --  I don't care what you say, shamrock shakes are an abomination.
Sat Feb 21 11:10:01 PST 2015 --  it's cool when you dream about eating food then wake up and get to do it for real
Fri Feb 20 17:18:26 PST 2015 --  Someone on insta is trying to send my dog nudes. pic.twitter.com/y6XtMPO1IJ
Fri Feb 20 15:37:08 PST 2015 --  Hello are there any @girlscouts out there that ship internationally? Please get in touch. #desperate
Thu Feb 19 02:53:23 PST 2015 --  Why is there no one in college today? Why is there no one in my class? Did i miss a memo??
Thu Feb 19 02:36:46 PST 2015 --  There's a lot of parking spaces in UCD right now. I'm confused, what is going on?
Thu Feb 19 02:33:56 PST 2015 --  Shoutout to the woman who tried to kill me this morning.
Thu Feb 19 02:33:26 PST 2015 --  I hit the horn so hard this morning my hand still hurts.
Wed Feb 18 16:00:30 PST 2015 --  Seriously. My dog is my soulmate.
Wed Feb 18 15:38:04 PST 2015 --  Just when I think of have my life together I realise I have 730 unread emails
Tue Feb 17 20:27:09 PST 2015 --  How to have a successful lent: don't do lent
Tue Feb 17 03:28:37 PST 2015 --  UCD is selling pancakes for Pancake Tuesday and for some reason they've hired a security guard for it.
Tue Feb 17 02:21:41 PST 2015 --  I think I'm slowly forgetting how to write.
Tue Feb 17 01:47:23 PST 2015 --  Happy pancake day. I hope the pancake god makes all of your pancake wishes come true.
Mon Feb 16 17:38:56 PST 2015 --  Just got an email from Amazon telling me to "treat myself" to a €400 sewing machine #iwish
Mon Feb 16 16:44:11 PST 2015 --  New Years resolution: more selfies
Mon Feb 16 03:10:37 PST 2015 --  As soon as I poured Cinnamon's food into her bowl she started purring. That girl has her priorities straight.
Fri Feb 13 17:51:12 PST 2015 --  The absolute dream. pic.twitter.com/J7hVPd5HFP
Thu Feb 12 15:35:07 PST 2015 --  Can we all please be as mad as I am about that tweet from @GardaTraffic ?
Thu Feb 12 14:21:13 PST 2015 --  Quiz Male or female driver ? How ? give reasons for your answer- location M50 just after m50/m1 roundabout pic.twitter.com/U7zAlrmPYw
Thu Feb 12 01:56:38 PST 2015 --  Hi my name is Tara and I just slept through 19 alarms
Wed Feb 11 12:27:23 PST 2015 --  My mom's boyfriend, who is not a photographer, is telling my mom, who is a photographer, how to take photos.
Wed Feb 11 08:13:46 PST 2015 --  SOS what do I get my dog for Valentine's Day?
Wed Feb 11 06:13:19 PST 2015 --  Today I saw a squirrel so overall it's been a good day
Sat Feb 07 17:37:45 PST 2015 --  Sinaoife is putting chapstick on her nose.
Sat Feb 07 11:59:11 PST 2015 --  The kid I'm babysitting just said to me "No wonder your parents aren't proud of you."
Sat Feb 07 04:14:15 PST 2015 --  I am a 21 year old adult and I'm trying to make my mom call in sick to my work for me.
Fri Feb 06 09:07:58 PST 2015 --  "You're allowed to hit children now. The pope said it." -moms boyfriend
Fri Feb 06 07:38:48 PST 2015 --  My dog is sad, therefore I am sad. We are one.
Fri Feb 06 05:59:43 PST 2015 --  Dogs in blankets. VERY IMPORTANT. pic.twitter.com/ZaRkW7twTA
Thu Feb 05 12:08:48 PST 2015 --  My dog has to have emergency toe surgery.
Wed Feb 04 16:23:23 PST 2015 --  My lecturer sent me an email telling me there was no class today even though I was there and so was he
Wed Feb 04 14:48:59 PST 2015 --  Who needs to pay for hair cuts when your watch just rips it out for free
Wed Feb 04 04:55:36 PST 2015 --  College desks are too tiny and too impractical
Fri Jan 30 08:06:53 PST 2015 --  BREAKING: Mitt Romney says he will not run for president in 2016, crushing the hopes and dreams of tens of people.
Tue Feb 03 14:02:41 PST 2015 --  You know you're having a productive day when you fall asleep at 7pm with your coat still on.
Sun Feb 01 12:34:52 PST 2015 --  Sports!
Sat Jan 31 17:16:00 PST 2015 --  Reminder not to yell at anyone ever about anything in the whole world ever no matter what
Sat Jan 31 17:15:35 PST 2015 --  If I had a dollar for every time a customer made me cry in work id have enough money to quit #fireme
Fri Jan 30 18:51:01 PST 2015 --  If I leave my electric blanket on all night will I burst into flames? Because that is a risk I am willing to take at this point.
Thu Jan 29 11:20:12 PST 2015 --  Ideas for Valentine's Day: McNugget Bouquet pic.twitter.com/cm4GlSlQUR
Thu Jan 29 06:52:02 PST 2015 --  Counting down the seconds till i get to hand in my resignation
Wed Jan 28 03:25:12 PST 2015 --  Not a single good thing has happened this week
Mon Jan 19 17:27:46 PST 2015 --  I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
Tue Jan 27 15:50:37 PST 2015 --  That sad, tired, employee behind the cash register is an actual human being?! And deserves to be treated with common decency?! What!!! NO!!!
Tue Jan 27 15:47:09 PST 2015 --  Also if you're talking on the phone while at the checkout in a store you suck
Tue Jan 27 15:44:27 PST 2015 --  Not so friendly reminder that throwing crumpled up cash at me as a form of payment is okay never
Tue Jan 27 14:24:10 PST 2015 --  Nothing boosts employee morale quite like being yelled at by a manager for doing something another manager told you to do. #fireme
Mon Jan 26 11:14:26 PST 2015 --  "Honey isn't real honey. It's all made in China which means it isn't real" -moms boyfriend
Sat Jan 24 05:00:46 PST 2015 --  It's 1pm and I'm the only one in the house that has woken up
Thu Jan 22 02:52:00 PST 2015 --  My moms boyfriend fried a slice of christmas cake in butter and then ate it.
Wed Jan 21 04:27:20 PST 2015 --  Buying myself sushi to celebrate getting an A in my thesis. #partyforone
Tue Jan 20 15:57:23 PST 2015 --  Life is short. Smile while you still have teeth! pic.twitter.com/miMEwxKsD8
Tue Jan 20 16:38:11 PST 2015 --  Today a man in work bought 26 toothbrush holders and I cannot fathom what on earth he is going to do with all of them.
Tue Jan 20 05:37:53 PST 2015 --  This coffee tastes like hot, old water
Tue Jan 20 05:21:46 PST 2015 --  How many cups of coffee can one person drink in one day? Let's find out!
Tue Jan 20 04:54:45 PST 2015 --  There is dog hair on everything that I love
Tue Jan 20 03:51:18 PST 2015 --  I have a class in a secret classroom on the undocumented 5th floor of our 4 floor library that is only accessible by elevator
Mon Jan 19 17:42:47 PST 2015 --  Someone remind me of what it feels like to not be cold. I can't remember.
Mon Jan 19 12:16:00 PST 2015 --  "If we block the chimney, the fire will heat the room faster." -Moms boyfriend. Excuse me while I die from carbon monoxide poisoning.
Mon Jan 19 08:30:43 PST 2015 --  @tazz_a Correction: "DON'T JOIN A FRATERNITY AND CONTRACT MENINGITIS!"
Mon Jan 19 07:56:03 PST 2015 --  Sister: "I'm going to San Francisco for the summer." Mom: "DONT JOIN A FRATERNITY!"
Sun Jan 18 17:04:01 PST 2015 --  Whenever my dog is acting super attached to me I automatically assume it's because I'm about to die #dogsknoweverything
Sun Jan 18 16:46:44 PST 2015 --  I live my life in a state of constant fear that there might be raisins in what I am eating
Sun Jan 18 08:24:12 PST 2015 --  Work: "Hey we switched you to a different department 2 weeks ago and never told you. Haha good luck."
Sat Jan 17 15:18:40 PST 2015 --  "You know you can ask a computer to do anything"– Mom's boyfriend
Sat Jan 17 13:49:34 PST 2015 --  (While looking at red flower) "The color red doesn't exist in nature." - Mom's boyfriend
Fri Jan 16 15:45:04 PST 2015 --  Me: I can't work during the week. Work: ok, we've rostered you in to work every single weekday ever. #fireme
Thu Jan 15 07:27:11 PST 2015 --  About to take the ultimate risk by booking a flight before the UCD exams finish
Wed Jan 14 17:00:42 PST 2015 --  if you haven't read the fb fight between two 14 year old girls arguing over a nugget read it now it's life changing pic.twitter.com/4yGCDMwkYJ
Wed Jan 14 10:11:39 PST 2015 --  I can see my breath inside my room.
Wed Jan 14 07:40:43 PST 2015 --  3 dogs. 1 train. 1 traumatic experience.
Wed Jan 14 07:39:09 PST 2015 --  Daisy is about to go on her very first train ride. Will keep you all updated.
Mon Jan 12 10:47:48 PST 2015 --  Follow up: "All horses were born on the 1st of January all over the world. Fact."
Mon Jan 12 10:47:01 PST 2015 --  The car was completely silent and then my moms boyfriend says out of nowhere "When was the horse's birthday?"
Mon Jan 12 09:03:42 PST 2015 --  My car died and we still have no water in our house. IS THIS THE END?!
Mon Jan 12 04:21:55 PST 2015 --  Would it be inappropriate to go the gym only to shower?
Mon Jan 12 04:21:33 PST 2015 --  Day 2 of having no water in our house. #apocalypse2015
Sun Jan 11 16:55:34 PST 2015 --  I got new sheets and they are just so cute that I want to invite everyone I know to my house so they can look at my super cute new sheets
Sat Jan 10 06:26:44 PST 2015 --  I hope your new curtains bring you nothing but sorrow you horrible she devil
Sat Jan 10 06:25:34 PST 2015 --  There's a woman who always comes into work who's basically the worst human in the entire world and EVERY TIME I'm on she comes to my till
Thu Jan 08 08:31:12 PST 2015 --  My Mom: (looks at weeds growing out of ground) I wonder if you could eat them. They would be really good for you.
Wed Jan 07 15:37:22 PST 2015 --  Friendly reminder not to make people feel terrible about themselves
Fri Jan 02 17:54:58 PST 2015 --  "Check out this video of Taylor Swift." - Mom's Boyfriend
Fri Jan 02 14:32:05 PST 2015 --  The only building in all of Kilmac village that has power is the church. #suspicious #apocalypse2015
Fri Jan 02 14:28:28 PST 2015 --  Nothing I love more than eating a cold chicken sandwich in complete darkness #apocalypse2015
Fri Jan 02 14:04:08 PST 2015 --  The power has been gone in our house for 12 hours we have officially entered the dark ages #apocalypse2015
Thu Jan 01 16:24:47 PST 2015 --  Adulthood requires too much paperwork
Thu Jan 01 14:14:05 PST 2015 --  New Years resolution: pic.twitter.com/yi7tEo3JaA
Sun Dec 28 05:56:49 PST 2014 --  Christmas was always my favorite holiday | Part 2 pic.twitter.com/li61tXP52x
Sun Dec 28 05:55:25 PST 2014 --  Christmas was always my favorite holiday | Part 1 pic.twitter.com/bVIrtdj2G4
Mon Dec 29 12:42:42 PST 2014 --  Elf is the best film ever
Sun Dec 28 11:20:15 PST 2014 --  My car died. Super. Excellent. Great. Huzzah. Hallelujah. Fab.
Sat Dec 27 15:07:54 PST 2014 --  Today the entire family stood around and watched while the cat peed in the bathtub. Happy Holidays everyone.
Fri Dec 26 21:04:31 PST 2014 --  Maybe taking a nap at 6pm wasn't my brightest idea
Fri Dec 26 09:59:35 PST 2014 --  My mom is refusing to play monopoly because she doesn't think her boyfriend will understand how to play it. She's probably right.
Thu Dec 25 16:24:50 PST 2014 --  Merry Christmas! #HBDJesus
Tue Dec 23 18:41:45 PST 2014 --  Last graveyard shift (hopefully) ever. #praisejesus
Tue Dec 23 18:41:00 PST 2014 --  The break room is full of sleeping people this is a very surreal experience
Tue Dec 23 18:20:35 PST 2014 --  Today in work a man got angry because the christmas bags were cheaper than the price on the sticker
Tue Dec 23 09:17:23 PST 2014 --  I just slept till 5pm. Whoops.
Mon Dec 22 23:40:36 PST 2014 --  First of all, why are so many people up, dressed, and shopping at 6am?
Mon Dec 22 18:24:15 PST 2014 --  Adventures of the graveyard shift
Mon Dec 22 18:24:05 PST 2014 --  A woman just walked into work wearing a winter coat, men's boxers, and flip flops
Mon Dec 22 18:23:30 PST 2014 --  WHY ARE YOU GROCERY SHOPPING AT 2AM?!??
Sun Dec 21 18:22:47 PST 2014 --  Unsurprisingly, there are a total of zero customers in the store at 2am #hatemylife
Sun Dec 21 18:05:24 PST 2014 --  Shoutout to @MegDooge for being fab and visiting me during my graveyard shift
Sun Dec 21 13:22:55 PST 2014 --  Can't wait to start an 8 hour shift at 11pm
Sat Dec 20 18:15:51 PST 2014 --  Happy winter solstice y'all
Sat Dec 20 11:23:11 PST 2014 --  I accidentally stabbed myself in the arm with my pen and I think I might have accidentally given myself a prison tattoo
Sat Dec 20 05:35:31 PST 2014 --  This job is just 8 hours of me wanting to stab my pen in my eye
Sat Dec 20 05:29:39 PST 2014 --  I know I wear a name tag, but please, dear god, do not address me by name.
Fri Dec 19 06:32:59 PST 2014 --  PSA: I know I have an accent. I know. You don't need to tell me. Stop pointing it out. Just stop. Stop.
Fri Dec 19 05:02:52 PST 2014 --  I feel really good about this exam which obviously means I'm going to do terribly
Fri Dec 19 04:31:13 PST 2014 --  The more study I do, the more I realise that I don't know anything.
Thu Dec 18 16:26:52 PST 2014 --  Tonight I had cereal mixed with chocolate chips for dinner #adulthood
Tue Dec 16 21:31:32 PST 2014 --  It's 5:30am and I'm watching candle reviews on youtube #adulthood
Tue Dec 16 15:30:49 PST 2014 --  "Hey, I know its midnight, but can you wash the food processor? I need to make hummus right now." - my mom
Mon Dec 08 15:10:30 PST 2014 --  If you don't like dogs, I don't like you.
Mon Dec 08 13:30:30 PST 2014 --  Just walked in to find my dog trying to look as innocent as she could while a clump of risotto clung to her chin fur
Sun Dec 07 15:54:39 PST 2014 --  My dog just walked up to my face and without hesitation licked the lipbalm off my lips #help
Sun Dec 07 08:49:41 PST 2014 --  My mom got pulled pork for dinner, glory hallelujah, maybe the world isn't terrible after all
Sun Dec 07 08:30:03 PST 2014 --  Never forget. http://timehop.com/c/t:277077986438696960:829808844:7738336:47392 … pic.twitter.com/mQnmwWAJOb
Fri Dec 05 19:26:59 PST 2014 --  Legally im not allowed to bitch about my new employers on social media, but in 3 weeks when my contract is up I will release my full wrath
Fri Dec 05 19:26:14 PST 2014 --  Ok but how inappropriate is it to quit in your second day of a new job? Cause that's where I'm at right now.
