Mon Aug 17 04:23:51 PDT 2015 --  First day at school today for Chloe #allgrownup pic.twitter.com/osVfCTmYY1
Wed Sep 18 10:49:29 PDT 2013 --  What if when we die, the light at the end of the tunnel, that we are supposed to see, is mearly us being pushed out another vagina? Lol xx
Wed Sep 18 08:29:55 PDT 2013 --  Happy birthday to my gorgeouse fiance @cajroberts18 . Love u loads. And happy birthday from your wee monsters chloe and daniel xxx xxx
Tue Aug 06 06:10:40 PDT 2013 --  "@Aries_Dreams: Never betray an #Aries trust, they'll forgive but they'll never forget."
Fri Aug 02 14:28:58 PDT 2013 --  Why do i do this to myself? Watchin jeepers creepers 2 and brickin it lol.
Tue Jul 23 23:30:07 PDT 2013 --  I hate how spiders just sit there on your wall, acting like they pay rent.
Wed Jul 24 00:17:02 PDT 2013 --  Studies show that men and women experience the same amount of emotion but women tend to be more honest about them.
Tue Jul 23 01:46:54 PDT 2013 --  Nothing love. Wat u up to? Xx
Tue Jul 23 01:27:34 PDT 2013 --  Canny beat a good thunder storm.
Sat Jan 12 13:30:46 PST 2013 --  Did you hear about the cross-eyed teacher? He couldn't control his pupils.
Sun Jun 30 17:10:09 PDT 2013 --  Saying "Beer can" with a British accent sounds like "Bacon" with a Jamaican accent.
Sun Jun 16 12:32:22 PDT 2013 --  When bubbles go wrong @Iwanrunner pic.twitter.com/ZCJjWOAVcm
Sat May 25 07:59:06 PDT 2013 --  Loving the sun. Just wish my wee man was well enough to enjoy it too :(
Tue May 21 08:25:18 PDT 2013 --  #cooldude pic.twitter.com/mPee3bghSZ
Fri May 10 13:44:52 PDT 2013 --  pic.twitter.com/mmUGE4mqli
Sat Apr 20 12:55:19 PDT 2013 --  Rodney: You have to walk past the pub to get to this flat. Trigger: Yeah? But Del said he'd give me a lift!
Sun Apr 14 01:52:01 PDT 2013 --  " @autocorrects: The divorce rate among my socks is astonishing."
Sat Apr 13 07:03:16 PDT 2013 --  FULL TIME: Hibernian 4 Falkirk 3, what a comeback, what a result. Hibs are in the Final!
Sat Apr 13 06:57:41 PDT 2013 --  Yaaassssssssss! GGTTH!
Fri Apr 05 02:38:09 PDT 2013 --  Just about took my pinky nail off! Bloody agony
Thu Apr 04 18:17:12 PDT 2013 --  Giving birth is the second most painful thing a human can experience - The first is being burned alive.
Tue Apr 02 12:27:43 PDT 2013 --  pic.twitter.com/yNF4AJ0lsV
Fri Mar 29 05:56:39 PDT 2013 --  Just catchin up with last nights #thereunion and am buzzin watchin it. Love five! #suchageek
Wed Mar 27 23:05:41 PDT 2013 --  pic.twitter.com/RVaxCHG0Sz
Wed Mar 27 12:19:05 PDT 2013 --  There's no stoping me now dad #boyracer pic.twitter.com/AfknNojHEA
Wed Mar 27 03:32:18 PDT 2013 --  Well thats chloe got her fingers jammed in the livingroom door. Safe to say dont think she will be doing that again #braveweegirl xx
Wed Mar 27 01:30:46 PDT 2013 --  Piss off snow!
Tue Mar 26 05:47:07 PDT 2013 --  The U.S. Army actually uses Xbox 360 controllers to fly UAV spy planes.
Sat Mar 23 15:37:59 PDT 2013 --  If anyone gets a message from me on twitter delete it. Its a virus. Xx
Mon Mar 18 15:38:00 PDT 2013 --  pic.twitter.com/Xh5s3GmTD9
Sat Mar 09 09:12:54 PST 2013 --  Have you ever?.... #NightclubFAILS pic.twitter.com/9SCWN1JJjE
Sat Mar 09 16:01:37 PST 2013 --  Treat your girl every day the same as you used to do when you were in the process of getting her.
Mon Mar 04 02:34:24 PST 2013 --  Cant wait to get back to work today x
Sat Mar 02 13:57:15 PST 2013 --  @cajroberts18 in the John Virgo Suite! #snookeringyoutonight pic.twitter.com/dY8ktZLq0u
Thu Feb 14 12:47:05 PST 2013 --  The plot for the movie “The Human Centipede” was conceived when the director was thinking of ways to punish child molesters.
Thu Feb 14 01:26:26 PST 2013 --  Well thats my wee girl not feeling too well. Been sick all morning. Not dampened her spirit though. Still a happy wee soul xxx
Tue Feb 12 05:48:49 PST 2013 --  My poor wee boy is teething. Not stopped crying all day. Hope he settles soon x
Sat Feb 02 16:35:14 PST 2013 --  You can keep your scalp and hair strong and cleaner if you add vodka to your shampoo and apply it during a bath.
Wed Jan 30 02:29:38 PST 2013 --  pic.twitter.com/bqvwjeWE
Sat Jan 26 15:11:22 PST 2013 --  Oh, who's done that tae ye Chris? It wisny me cause am no in! #StillGameQuote
Tue Jan 15 03:34:56 PST 2013 --  Actually love this snow!
Thu Jan 03 16:12:03 PST 2013 --  @rferguson88 @cajroberts18 pic.twitter.com/jfnPKX8N
Thu Dec 13 09:25:47 PST 2012 --  Hey ppl just to say that i am doing spray tans. Let me know if intrested x
Sun Nov 18 12:53:27 PST 2012 --  RT if you agree pic.twitter.com/gjAQGFM3
Tue Oct 02 04:31:58 PDT 2012 --  Huge happy 1st birthday to Ella! Cant believe u r 1 already :-) xxx
Tue Oct 02 04:11:16 PDT 2012 --  Massive happy 2nd birthday to my gorgeous little girl Chloe! Love u lots from mummy xxx
