Thu Aug 13 07:41:36 PDT 2015 --  ولا تؤجل فعل الصالحات إلى غدٍ ، لعل غداً يأتي وأنت فقيد ..!!
Fri Feb 07 04:10:05 PST 2014 --  ربي أسألك في هذه الجمعة أن تسعد قلب من تصله كلماتي ... إمنحه يا الله حُبّك ، وحبّ من يحبّك ، وحبّ كلّ عمل يقربه إلى حبّك ...
Thu Feb 06 14:42:05 PST 2014 --  الي يحب مجنون..يقول الصدق مجنون..والي ضحك بين الحزن مجنون..والي مغامر مجنون..؟ بربكم وشهي مزايا العقل!؟ #جنون
Fri Jan 17 23:52:44 PST 2014 --  . حتى في هذي بطيئ اهم شي الصوت http://www.keek.com/!PjCDdab 
Fri Jan 17 23:51:57 PST 2014 --  للبنات فقط لا احد يجيب العيد http://www.keek.com/!AjCDdab 
Thu Jan 16 04:34:10 PST 2014 --  تاكل الكرتون http://www.keek.com/!5GrDdab 
Thu Jan 16 04:31:09 PST 2014 --  تاكل البرسيم http://www.keek.com/!5FrDdab 
Wed Jan 08 09:51:35 PST 2014 --  ابي مثله http://www.keek.com/!18MBdab 
Mon Jan 06 03:37:15 PST 2014 --  تقليد اعمى هههههههههههه http://www.keek.com/!x2vBdab 
Mon Dec 30 15:47:14 PST 2013 --  هههههههههه ليه كذا http://www.keek.com/!KlO9dab 
Sat Dec 28 17:21:33 PST 2013 --  المشيه البطريقيه ( يالبى ياناس ) http://www.keek.com/!Dcy9dab 
Thu Dec 26 16:14:11 PST 2013 --  الميزانيه http://www.keek.com/!iPV8dab 
Sun Dec 15 23:27:17 PST 2013 --  اها فهمت غلط http://www.keek.com/!rDG6dab 
Sun Dec 15 23:26:44 PST 2013 --  ضحك http://www.keek.com/!iDG6dab 
Mon Dec 09 10:03:53 PST 2013 --  كم مره سويتها http://www.keek.com/!5Zz5dab 
Sun Dec 08 20:11:44 PST 2013 --  نننننننن ووووووو ال ال ال http://www.keek.com/!xAu5dab 
Sun Dec 08 20:11:03 PST 2013 --  طلع بوجهي تراب كبير تابعوا ابو شنب http://www.keek.com/!aAu5dab 
Sat Dec 07 17:41:21 PST 2013 --  http://www.keek.com/!O3e5dab 
Sat Dec 07 08:23:35 PST 2013 --  ههههههههههههههههههه http://www.keek.com/!9UW4dab 
Fri Dec 06 06:23:23 PST 2013 --  مبروك بدل السكن جاي http://www.keek.com/!SDH4dab 
Wed Dec 04 13:46:57 PST 2013 --  يا محاسن الصدف ههههههههههه http://www.keek.com/!Iiy4dab 
Wed Dec 04 06:51:01 PST 2013 --  اهداء الى وزارة الاسكان !، http://www.keek.com/!lnu4dab 
Wed Dec 04 06:49:49 PST 2013 --  انتي ما دخلك يالبيه http://www.keek.com/!Hmu4dab 
Wed Dec 04 03:34:42 PST 2013 --  من الوقاحة ان تسٱل مثل هذه الاسئلة pic.twitter.com/34oAGOaNgS
Wed Dec 04 03:30:53 PST 2013 --  لسنا مجبرين على تبرير المواقف لمن يُسيء الظن بنا، من يعرفنا جيدًا يفهمنا جيدًا، فالعين تُكذب نفسها إن أحبت ، والأذن تصدق الغير إن كرهت !
Mon Dec 02 12:14:31 PST 2013 --  تصدقون ما توقعت كذا نهايتها http://www.keek.com/!jea4dab 
Sat Nov 30 00:22:41 PST 2013 --  يستهبل الفلبيني ( الشايب يسلك) http://www.keek.com/!zj13dab 
Sat Nov 30 00:16:45 PST 2013 --  دباب من نوع آخر http://www.keek.com/!mh13dab 
Fri Nov 29 23:31:16 PST 2013 --  خواتي اجمل شي بحياتي صح الله لسان الشاعر http://www.keek.com/!vQ03dab 
Fri Nov 29 23:22:45 PST 2013 --  خواتي اجمل شي بحياتي http://www.keek.com/!LM03dab 
Fri Nov 29 01:45:30 PST 2013 --  ما شاء الله تبارك الله اصغر خطيب #2 http://www.keek.com/!vln3dab 
Fri Nov 29 01:44:16 PST 2013 --  ما شاء الله تبارك الله اصغر خطيب #1 http://www.keek.com/!Skn3dab 
Fri Nov 29 01:18:35 PST 2013 --  مظاهرات الاثيوبين الان وتكسير سيارات المسافرين الطريق السريع مكه -جده لاحول ولاقوة الا بالله http://www.keek.com/!ddn3dab 
Wed Nov 27 19:30:10 PST 2013 --  وش ذا الجسم اهم شي الضحكه http://www.keek.com/!26W2dab 
Tue Nov 26 13:12:40 PST 2013 --  موتري عيا يجيبه ياخساره يخساره http://www.keek.com/!H9D2dab 
Tue Nov 26 13:10:28 PST 2013 --  خلاش اشتاد http://www.keek.com/!E7D2dab 
Tue Nov 26 12:41:33 PST 2013 --  احبك هدى http://www.keek.com/!WiD2dab 
Tue Nov 26 12:41:03 PST 2013 --  ع بالي طارق http://www.keek.com/!1iD2dab 
Mon Nov 25 08:02:32 PST 2013 --  هو كذاب وانتي خاينه http://www.keek.com/!gqx2dab 
Sat Nov 23 14:29:11 PST 2013 --  شوفوا كيف يعبي بنزين ما ألومه صراحه http://www.keek.com/!qFZ1dab 
Sat Nov 23 14:27:51 PST 2013 --  سكس ١٨+ http://www.keek.com/!fEZ1dab 
Sat Nov 23 14:27:19 PST 2013 --  كفو كفو http://www.keek.com/!ADZ1dab 
Fri Nov 22 19:06:38 PST 2013 --  هههههه احبك ياهدى http://www.keek.com/!BwN1dab 
Fri Nov 22 03:53:12 PST 2013 --  ناقتي ي ناقتي الله يخليها لأهلها ،،، http://www.keek.com/!sRD1dab 
Tue Nov 19 14:49:04 PST 2013 --  ههههههههههههههههه احلام سعيده http://www.keek.com/!HAj1dab 
Tue Nov 19 10:47:24 PST 2013 --  شوفو نهايةة السماآجه http://www.keek.com/!T7g1dab 
Sun Nov 17 15:43:12 PST 2013 --  اذا ​صدمت سيارة شايب ونزلت تبي تفهمه انه هو الغلطان http://www.keek.com/!jnK0dab 
Wed Nov 06 06:59:23 PST 2013 --  اخو نووووووره http://www.keek.com/!ZUWxdab 
Wed Nov 06 06:41:25 PST 2013 --  وهذا سلام الشباب بختصاار شديد http://www.keek.com/!cLWxdab 
Wed Nov 06 06:41:09 PST 2013 --  ههههههههههههههههه سلام البنااااات http://www.keek.com/!PKWxdab 
Sat Oct 26 05:55:40 PDT 2013 --  سبحانك اللهم وبحمدك اشهد ان لاإله إلا الله أستغفره وأتوب إليه http://Gharedly.com 
Fri Oct 25 20:47:51 PDT 2013 --  ويبقى الإنتظـار .. طقساً مرهقاً من طقوس حيآتنآ اليوميه ..لـِ تلك الأحلآم التي لآنبوح بهآ لأحد .."
Tue Apr 23 16:46:16 PDT 2013 --  " @mahdialdeqbasi: قــال أحـدهـم لأخـر!!pic.twitter.com/NhpDd0aaq8"
Fri Oct 25 20:33:01 PDT 2013 --  ﺍلأﺏ ؛ ﻫﻮ ﺣﺐ كـل فتاة و ﺍﻟﺬﻱ ﻻ ﻳﺨﻴﺐُ عندها ﺍﺑﺪﺍً !"
Fri Oct 25 20:32:18 PDT 2013 --  ربي اجعل هذا الصباح صباح خير لا يخيب لنا فيه امر ، و لا يضيق لنا فيه صدر ..
Fri Oct 25 20:33:38 PDT 2013 --  ~               فقط استغفروا           فإن اللہ ، غفورٌ رحيم استغفرك ربي واتوب إليك .
Thu Oct 24 18:22:48 PDT 2013 --  بعض الأصدقاء .. نخجل أن نلقبهم بـ أصدقائنا/ فقط ! إنهم شيء أكبر من ذلكـ إنهم "إخــوة" وأعمق .
Fri Oct 25 20:38:33 PDT 2013 --  بَعضُهُم حِينَ تَرآهُم لأوَل مَرهّ تَشعُر أنَ مَقاعِدَهُم مَحجُوزَه ؛ مُنذُ زَمنْ طَويل فِي قَلبَك ❁
Fri Oct 25 20:38:19 PDT 2013 --  #صباح_الخير
Thu Oct 03 13:47:02 PDT 2013 --  نهايةة اللقافه ههههههههههههههه http://www.keek.com/!iBlpdab 
Wed Sep 25 12:11:39 PDT 2013 --  شد عضلي ههههههههههههه pic.twitter.com/uAJ79MYQHU
Mon Sep 16 21:11:51 PDT 2013 --  صادم لكزس ٢٠١٠ ورد قصيده فيها ماما لطيفه http://www.keek.com/!rgjkdab 
Fri Sep 13 21:02:02 PDT 2013 --  من يسعى بصدق خلف هدفه تسانده كل الظروف للوصول إليه . . #تصميمي_NY6665566 . . pic.twitter.com/AKvMtKkhIx
Fri Sep 13 17:47:22 PDT 2013 --  قليل الادب http://www.keek.com/!w7Uidab 
Tue Sep 03 05:43:01 PDT 2013 --  معنى الفن http://www.keek.com/!jxYedab 
Tue Sep 03 05:41:57 PDT 2013 --  وش فيه هذا http://www.keek.com/!mwYedab 
Tue Sep 03 04:52:03 PDT 2013 --  رقم الاربعه http://www.keek.com/!u8Xedab 
Tue Sep 03 04:49:16 PDT 2013 --  السبت اجازه !؟ http://www.keek.com/!v5Xedab 
Tue Sep 03 04:48:38 PDT 2013 --  تكفى يا ابو متعب http://www.keek.com/!L4Xedab 
Tue Sep 03 04:47:54 PDT 2013 --  I just posted a #keek http://www.keek.com/!j4Xedab 
Mon Sep 02 09:39:57 PDT 2013 --  I love the new design! http://www.justunfollow.com 's latest iOS version is now live! #iosapp #iPhone http://bit.ly/U06UyN 
Sat Aug 31 20:12:48 PDT 2013 --  I just got a Keek - get one and follow me! http://keek.com/getapp 
Wed Aug 14 06:33:03 PDT 2013 --  I love the new design! http://www.justunfollow.com 's latest iOS version is now live! #iosapp #iPhone http://bit.ly/U06UyN 
Wed Jul 10 01:42:41 PDT 2013 --  ويوم يعض الظالم على يديه يقول يا ليتني اتخذت مع الرسول سبيلا [الفرقان:27] http://quran.ksu.edu.sa/index.php#aya=25_27 …
Sun Jun 23 18:42:36 PDT 2013 --  الأم اذا نادت وحدة تبي تكرفها كل الخوات يفزعون وينادون معاها يخافون تهون وتطلب وحدة منهم #حقيقه لا يمكن انكارها
Sun Jun 23 18:41:56 PDT 2013 --  لو توزن الدنياا جواهر وياقوت .... منهو نزل من العين صعب ارتفاعه رتوووويت الله لايهينك
Tue Jun 18 18:00:11 PDT 2013 --  متابعيني ،،، أسأل الله سبحانه وتعالى في عليائه أن يشرح صدوركم وأن ينور دروبكم ويبرد همومكم ويبدل خوفكم أمنا و حزنكم سرورا #آمين
Thu Jun 13 23:38:48 PDT 2013 --  قولوا امييييييين اللهم اجعلها آخر جمعه فى حياته pic.twitter.com/X5S6ezviHO”
Thu Jun 13 23:38:11 PDT 2013 --  ‏​مع صباح يوم الجمعه : اللهم لا تدع لنا ذنباً الا غفرته ولا هماً إلا فرجته ولا ديناً إلا قضيته ولا مريضاً إلا شفيته ..
Thu Jun 13 21:43:50 PDT 2013 --  سنة الحياة في الإختلاف ؛ لذا لا تبحث عمن يشبهك بل إبحث عمن يختلف عنك إختلافا يروق لك وتستمتع بالتعرف عليه كل يوم
Fri May 31 02:23:37 PDT 2013 --  ​جعلها الله جمعة خير لنا و لكم، مكفرة للخطايا .. فاتحة للأرزاق .. مملوءة بالأجر .. مصحوبة بالعافيه ومختومة بالمغفره { آمين } #الجمعه
Wed May 29 04:04:24 PDT 2013 --  بعض الأصدقاء مجرد اسم والبعض اﻻخر حياة !
Tue May 28 12:49:50 PDT 2013 --  مراعاة مشاعر الآخرين فن لا يجيده إلا المتشبعين بــ: الأدب ! "
Sun May 19 06:23:15 PDT 2013 --  اللهم اجعل هذا المساء حاملاًآ لنا من الخير فوق مَا نرجوا ، وُ أشرح صدورنا و أشف مَرضانا ، وأجعلہ مساء خيرَ لأمورنا گلها .! ب ا ك
Thu May 09 17:04:44 PDT 2013 --  " صلوا و الناس نيام ،، تدخلوا الجنه بسلام"
Wed May 08 15:36:55 PDT 2013 --  @Prince_Cc من أيام الطفولة pic.twitter.com/owesUQxij3
Fri May 03 04:03:29 PDT 2013 --  اللهم اني اسألك في يوم #الجمعه رحمة من عندك تهدى بها قلوبنا و تزكى بها أعمالنا و تلهمنا بها رشدنا و تصلح بها أحوالنا و تذهب بها همومنا #آمين
Thu May 02 17:35:03 PDT 2013 --  ﻓﻲ ﻋﻠﻢ ﻟﻐﺔ ﺍﻟﺠﺴﺪ ﻭﺍﻟﺘﻮﺍﺻﻞ ، ﺍﺫﺍ ﻭﺿﻌﺖ ﺍﻟﻤﺮﺃﻩ ﺭﺟﻞ ﻓﻮﻕ ﺭﺟﻞ ﺍﺛﻨﺎﺀ ﺣﺪﻳﺜﻚ ، ﻓﺈﻧﻬﺎ ﻏﻴﺮ ﻣﻬﺘﻤﻪ ﻟﻚ ﻭﻟﻤﺎ ﺗﻘﻮﻟﻪ !
Thu May 02 17:41:13 PDT 2013 --  تتحدث النساء ما يقارب 7000 كلمة في اليوم، بينما يتحدث الرجال ما يقارب 2000 كلمة في اليوم فقط ..!
Thu May 02 23:14:58 PDT 2013 --  : ‏من سنن يوم الجمعه ١- الاغتسال ٢- الطيب ٣- التبكير ٤- كثرة الصلاة على النبي صلى الله عليه وسلم ٥- قراءة سورة الكهف ٦- الدعاء"
Thu May 02 23:13:36 PDT 2013 --  اشكالنا بعد قليل وقبل صلاة #الجمعه :) ما شاء الله pic.twitter.com/0GaxFX5wK9
Thu May 02 23:04:28 PDT 2013 --  ‏​يسعد صباآح اللي لياا قلت وينک ~ غمض عيونهہ ثم اششر ههنياا ، يقول شفنيء ؛ بين قلبک ۈعينک وﺎقول احبک يَ جميل ﺎلمحياا
Mon Apr 29 17:18:43 PDT 2013 --  الاِحتواء ليسَ انْ تٌكثر البقاء الاِحتواء انْ تجيّد الحضٌور لو مَرة ♡.
Mon Apr 29 10:06:03 PDT 2013 --  للجادين فقط #للبيع pic.twitter.com/0931LrSEa1
Sun Apr 28 18:16:15 PDT 2013 --  لن ٺجد قصہ حزينہ ۈ مبكيہ كَ قصہ روح خرجٺ من جسد ۈ هي لا ٺعرف #الصلاة #رتويت_للتذكير #صلاة_الفجر
Sat Apr 27 11:30:59 PDT 2013 --  سعودي سألوه وش رايك في جو السعوديه هاليومين. قال : أولاً : أحب أشكر خادم الحرمين ... ^شعب نصاااااب تربية القناة الأولى هههههههه. #LOL
Fri Apr 26 15:25:41 PDT 2013 --  بين.. الأصابع ..سوالف حيل -|| مجنونه pic.twitter.com/owqPqQNgy1
Wed Apr 24 09:43:58 PDT 2013 --  شحاذة تطلب من حضرمي صدقه : الله يخليك ودي بشي يفرح عيالي ؟ رد الحضرمي : غيبيهم عن المدرسة بكره …!!!
Wed Apr 24 07:48:29 PDT 2013 --  ھگذا هي الحيآة لآ البدآيآت التي نتوقعها ولآ النهآيآت التي نريدها ‏​!!
Wed Apr 24 09:08:06 PDT 2013 --  نبخل ونقتر ونخاف على الدرهم وننسى حقوق المسكين والفقير واليتيم ثم تأتينا حالة الكرم فنكدس الملابس القديمة في الأكياس لنتخلص منها بحجة التبرع
Mon Apr 22 10:38:44 PDT 2013 --  قمة الألم والقهر لما أحد يخرب لك شي أو يكسره وإنت تقعد تجامله وتقول عادي عادي فدوة لك وأنت من داخلك في طفل صغير يبكي يقول مااااماااااا
Wed Apr 24 09:02:36 PDT 2013 --  וجججمل'ء . قصھہ'ه ، هي'ء عشق ، וلسجؤد ، لـ . . رب וلؤجؤد . .♡
Wed Apr 24 09:01:55 PDT 2013 --  ليست الرجوله بالتعدد والمباهاه بعدد الزوجات ، الرجوله في القدرة على التمسّك بدينك واخلاقك والحرص على عائلتك وعلى إسعادهم ..
Wed Apr 24 06:13:45 PDT 2013 --  “ من يخطئ بحقك ليس أقوى منك بل هو مدينٌ لك بأثمن ما لديه: حسناته وأنت أقوى منه إن شئت عفوت عنه يوم الحساب أو اخذت صلاته و صيامه و صدقته
Mon Apr 22 23:04:07 PDT 2013 --  أكرهہ تلك العلاقات المبنيهہ علىَ : إذا حادثتني سَ احادثک ، مثل مَ ابتعدت سَ أبتعد ، إذا أهتممت سَ أهتم ، اين الحُب أو الصداقهہ في ذلك ..♡̷"
Mon Apr 22 22:08:46 PDT 2013 --  قمة الحماقة ; أن تحب مرةً ومرتين وربما ثلاثًا ..!!
Mon Apr 22 23:03:14 PDT 2013 --  آلحياه مثل ركوب آلدراجہ .. لكي تحافظ على توازنك يجب أن تستمر في آلتحرك"
Sat Apr 20 17:13:33 PDT 2013 --  قل للمصآيب والعنآ والغرآبيل ترى شربنآ مُرّهآ وإرتوينآ وقل للضلوع العوج تبقى مقآفيل بـ نموت ولـ غير الولي مآ شگينآ #بوح_متفرده
Sat Apr 20 17:20:00 PDT 2013 --  جديد ابن الذيب pic.twitter.com/S7wEXSe3lB
Sat Apr 20 17:10:06 PDT 2013 --  , ؛ مالاَ اُطيقه هوَ تمثِيل الحُب وَ الصداقة . !! , ؛
Sat Apr 20 17:03:14 PDT 2013 --  البنات إذا يبون يطلعون : ( ها بتطلعون طلعة طلعة ولا بس كذا الترجمة : نلبس زنوبة ولا كعب ھَھٍھَھٍھَھٍـٌـّھٍھَھٍھَھٍٱإيّےٌ"
Sat Apr 20 17:10:25 PDT 2013 --  لم تعد علاقتنا … گ السابق ولكنِ … مازلت اقلق عليه … ومازلت أتألم لضيقته … ومازلت ادعو له لأنني احبه … سـ اظل افعِل هذا دوماً …
Sat Apr 20 17:10:33 PDT 2013 --  حانَ الصباح وحان الآن مسح ذاگرة الامس وانتظار الآجمل ، رضيتُ يَا إلهي بگل شيء ، فاگتبني بعزتگ من الصاابرين ♡
Sat Apr 20 17:04:57 PDT 2013 --  في الإنتِظار يَختلِفْ الجُلوس , لِ يُصّبح الرأس كُرّسِيًا يَسّتريح عليّة الغِياب ♡' pic.twitter.com/8S9H7aIjIk
Sat Apr 20 17:02:38 PDT 2013 --  @mdrd111 ما عاش مخلوق يعرفك وينساك بس الزمن زادت علينا حموله يا صاحبي جعل المخاليق تفداك يفداك كل الكون عرضه وطوله
Sat Apr 20 17:01:15 PDT 2013 --  كانت تحبّه .. وتنسى الناس لا جاته وتقول : ذا شاعري , جعلني فدا لـ حرفه واليوم ( تزعل ) اذا أحدٍ ردد أبياته وإذا سألوها لـمن تقول ما أعرفه
Wed Apr 17 09:52:15 PDT 2013 --  : يمه تعالي طلعي الأولاد ما نبيهم يلعبون معانا يـمـر الـوقـت و الـذكـرى نـدامـه ‹›"
Mon Apr 15 14:26:26 PDT 2013 --  يجيبك الله مثل ماجاب غيرك .. كم واحدٍ قبلك جفاني وجاني !" *
Fri Apr 12 00:28:42 PDT 2013 --  متى تكون احاسيسك حاضره والتركيز والانتباه معاك 100% لما تدخل حمام ما فيه قفل تكون على اتم الاستعداد للتصدي لأي هجمه مرتده #هههههههههههههه
Thu Apr 11 23:56:28 PDT 2013 --  #ههههههههههههههههههههههههههههههههههه انا يجي من بنقال #غرد_بصوره pic.twitter.com/9DC0j9yUEP
Thu Apr 11 23:44:43 PDT 2013 --  #هههههههههههههههههه #غرد_بصوره # pic.twitter.com/oHMR3npsVe
Thu Apr 11 01:56:31 PDT 2013 --  ثلاث ادعية لا تنساها في سجودك {اللهم إني اسالك حسن الخاتمة ، اللهم ارزقني توبة نصوحاً قبل الموت ، اللهم يا مقلب القلوب ثبت قلبي على دينك }
Wed Apr 10 11:32:36 PDT 2013 --  هدف اول اهلاوي اول يالبيه ي بصاص #الاهلي_سباهان #الملكي
Tue Apr 09 15:33:17 PDT 2013 --  قال رجل لإبراهيم بن أدهم رحمه الله : إني لا أقدر على قيام الليل فصف لي دواء؟!! فقال : لا تعصه بالنهار وهو يقيمك بين يديه في الليل #سبحانه
Tue Apr 09 12:54:02 PDT 2013 --  من خسر بر الوالدين خسر حياته كلها اللهم ارزقنا بر الوالدين ، pic.twitter.com/idBso7Ab3n
Mon Apr 08 09:09:36 PDT 2013 --  لا تجعل سعيك لزيادة رأس مالك النقدي … ينسيك أن هناك رأس مال أهم عليك أن تسعى إليه … إنه رأس مالك الإيماني مع الله … والاجتماعي مع الناس !
Mon Apr 08 14:52:19 PDT 2013 --  #الوتر http://t.co/GACPQ2DqRz فضل صلاة الوتر
Sun Apr 07 11:44:24 PDT 2013 --  معقوله تاصل النفسيه لكذا #هههههههههههههههههه #فن_رن pic.twitter.com/hGLae4Vvga
Sun Apr 07 06:52:09 PDT 2013 --  ما كل من تعرفه ترتاح لأطباعه الناس فالقلب من قيمة مواقفها تقابل انسان وعيونك على الساعة وانسان لا قابلك ودك .. توقفها
Sun Apr 07 06:50:57 PDT 2013 --  ميزة الشخص الذكي أنه يستطيع التظاهر بالغباء، أما العكس فصعب جدا
Mon Mar 04 05:12:03 PST 2013 --  زمن الحرية و الامل لا زمن الصمت والخوف .
Sun Apr 07 04:32:27 PDT 2013 --  Awesome! http://justunfollow.com  now has an iPhone app #iosapp
Fri Apr 05 14:43:56 PDT 2013 --  ماذا تفعل لو اشتقت لسماع صوت من تحب بعد انتهاء علاقتكماآ !؟ س أقرأ فقط !
Fri Apr 05 03:30:26 PDT 2013 --  #غرد_بصورة pic.twitter.com/szuFhiUt03
Fri Apr 05 02:47:22 PDT 2013 --  أوصى الرسولﷺ : ( ان من افضل ايامكم يوم الجمعه فاكثروا علي من الصلاة فيه فان صلاتكم معروضة علي ) #صلوا_على_الحبيب_محمد ﷺ #الجمعه
Thu Apr 04 16:48:03 PDT 2013 --  ​​​بعض الشباب قبل ما يتزوج ‹› والله ما أرحمها والله لأعطيها شغل ليل نهار و النهاية "مركز الدكتور سمير عباس لمشاكل الضعف الجنسي ! #تباً_لك
Thu Apr 04 14:51:57 PDT 2013 --  أحلا تغـاريد الهـوى تـالي الليـل والا السياسـة خلـهـا للسيـاسـي مدام أحبـك حيـل وتحبنـي حيـل خـل الغـزل مابيننـا دبلـوماسـي
Thu Apr 04 05:32:07 PDT 2013 --  Awesome! http://justunfollow.com  now has an iPhone app #iosapp
Wed Apr 03 21:16:34 PDT 2013 --  #غرد_بصورة #رتويت pic.twitter.com/CkaQJCr4fD
Wed Apr 03 21:12:58 PDT 2013 --  ليه الصداقة تخذلك ( بعض ) الأحيان تحسها من وسط عينك .... تهاوت ْ خاويت ناس اعدهم مثل الأخوان واليوم ... كن قلوبنا ما تخاوت #ريتويت_للكل
Tue Apr 02 21:43:30 PDT 2013 --  با النسبه لي : اسمها الغاليه ... #امي #غرد_بصورة pic.twitter.com/dkjOgXa4bz
Tue Apr 02 21:39:50 PDT 2013 --  يا حياةة الشقى #ضحك #غرد_بصورة #هههههههههههههههههههه pic.twitter.com/7ZnSckXiFs
Tue Apr 02 20:57:40 PDT 2013 --  #الوليد_بن_طلال طيب ليه ما عندك جيب في ثوبك على الاقل تحط فيه اثباتاتك وبطايق الصرافه وخردة دراهم (نصصه)ولا مايحتاج pic.twitter.com/HkbXE3mUrT
Tue Apr 02 19:37:15 PDT 2013 --  صباحكم رَاحه تُعانق قُلوبكم وَ تشرح صدوركم صباحكم دَعوات نبدأهَا بِ يَ رب نحتاجُك فكن لناا عونَاا♡♡ #صباح_الخير
Tue Apr 02 19:25:22 PDT 2013 --  #صباح_السعادة #صباح_الابتسامة #صباح_الخير
Tue Apr 02 19:22:33 PDT 2013 --  أستغفر الله الذي لا إله إلا هو الحي القيـوم وأتوب إليـه
Tue Apr 02 17:43:22 PDT 2013 --  نحنُ لاننسْىَ وَلكِن نغمضُ أعيُنِنا لنعِيش ❁❁
Mon Apr 01 09:21:33 PDT 2013 --  البنت : اختاري ايهم افضل لك #رتويتpic.twitter.com/BHC8vbWIyR” )
Tue Apr 02 17:34:30 PDT 2013 --  تمعن في النظر ): pic.twitter.com/ySU2cSRQ5o
Tue Apr 02 17:20:35 PDT 2013 --  #مطاريس_تحبها المقادير : ٢ بطاطس تسالي بالكتشب ٣ مثلثات جبنة البقره وشطه الطريقه : كسر البطاطس واهرسه بالجبنه وحط عليها الشطه . #اليمه
Tue Apr 02 17:13:24 PDT 2013 --  #مطاريس_تحبها ساندويش جبن بالشطه
