Fri Aug 28 20:48:09 PDT 2015 --  if you hate on me at least be original
Tue Aug 18 12:32:41 PDT 2015 --  So our fucking tire just blew out. shit titties.
Mon Aug 17 21:38:00 PDT 2015 --  rt if you're NOT excited for school
Mon Aug 17 17:57:46 PDT 2015 --  Hardest thing I have to do every day is get out of bed
Mon Aug 17 13:49:13 PDT 2015 --  Who wants to eat chocolate chex mix and sit in a van for 10 hours with me? Cuz i sure as hell dont and im out of chex mix fml gtgtg
Sun Aug 16 13:15:36 PDT 2015 --  Trying to tell you friend they aren't good at singing #turnupvolume #LetsJustListen https://vine.co/v/epnDELq1MxA 
Sun Aug 16 11:23:08 PDT 2015 --  This guy was playing guitar for tips, but was just playing one out-of-tune chord over and over So we gave him an orange juice.
Sun Aug 16 11:03:18 PDT 2015 --  So apparently there's a ghost somewhere in our venue . Fuck yes Ima hit the Quan with it
Fri Aug 14 22:28:34 PDT 2015 --  I love you guys you're a gift from God it's such a blessing. I just think one day ill wake up and itll all be a dream pic.twitter.com/N7IbPWVACI
Sat Aug 15 19:06:42 PDT 2015 --  I want to watch Netflix and eat popcorn for the rest of summer. Anyone want to join me?
Sat Aug 15 19:34:57 PDT 2015 --  Man i feel so blessed.. like fr it's unreal how much you care about me and love me.. truly grateful for each and every one of you thanks
Fri Aug 14 15:27:37 PDT 2015 --  I think I would make a good Hannah Montana
Fri Aug 14 12:51:07 PDT 2015 --  If everyone was completely equal everyone would get bored af.🏽
Thu Aug 13 19:12:45 PDT 2015 --  I have major trust issues
Thu Aug 13 17:20:34 PDT 2015 --  Hi there I like your face
Thu Aug 13 14:50:10 PDT 2015 --  Being a van for 8 hours without wifi makes me wanna bungie jump into a blender
Thu Aug 13 12:56:20 PDT 2015 --  hmmm i may have possibly got a lip ring
Thu Aug 13 07:46:18 PDT 2015 --  So I'm letting diego dye my hair rn.....
Wed Aug 12 20:18:41 PDT 2015 --  miss you Grayson, Ethan & Aaron see you soon
Wed Aug 12 19:13:18 PDT 2015 --  Rocking them @murderized booty shorts @Devyn_Bess @igabrielmathis @omgg_alan pic.twitter.com/XB4hNyoQUu
Wed Aug 12 18:58:33 PDT 2015 --  Ily @aramfloodmusic pic.twitter.com/oyyNxraDqm
Tue Aug 11 12:48:32 PDT 2015 --  At 5:50 @murderized ur gonna host
Sun Aug 09 19:54:57 PDT 2015 --  I you everytime i you my i you make me happy and i just wanna say stay 🏻 and keep 🏻 because your worth everything
Sun Aug 09 18:38:31 PDT 2015 --  I would never tweet that tf lmao. Stupid auto tweet. But I got bored and made a music.ly or wtf it's called. Name is Gabriel.laceup🏼
Sun Aug 09 18:06:30 PDT 2015 --  God damnit ......I slept all day again...
Sun Aug 09 18:13:53 PDT 2015 --  Love you all so much & love each other
Sun Aug 09 17:27:54 PDT 2015 --  So there is this hacker going around and if i get hacked just stay with me ok?
Sat Aug 08 18:53:11 PDT 2015 --  FAV/RT for a follow and ill slide in some dm's also
Sun Aug 09 16:57:06 PDT 2015 --  You got a ice cold stare but you're hot like the tropics If I approach you I'm afraid I'll melt
Fri Aug 07 18:58:04 PDT 2015 --  I'm that type of guy to bring you flowers I'm the type of guy that loves you for you and not your body I'm the type of guy that gives a fuck
Fri Aug 07 20:49:01 PDT 2015 --  Drag me down is catchy af damn
Fri Aug 07 20:54:59 PDT 2015 --  Missing Vidcon @ITristonTyler gives the best hugs pic.twitter.com/tKYbQY18wK
Fri Aug 07 20:06:45 PDT 2015 --  I never fucking have storage on my phone wtf fuck you AT&T give me storage damnit🏼
Wed Aug 05 18:37:08 PDT 2015 --  ICHIIIIIIIBANNNNNNNN
Fri Aug 07 12:30:55 PDT 2015 --  Holy torpedo batman fried pickles are good af
Fri Aug 07 11:40:16 PDT 2015 --  . @steph_landor congratz kidd, you've worked so hard and have deserved it for a really long time, i love you dude
Fri Aug 07 11:38:04 PDT 2015 --  I'm officially a younow partner
Thu Aug 06 19:45:15 PDT 2015 --  @HStrock I miss you text me sometime
Thu Aug 06 21:07:28 PDT 2015 --  I try to take tongue out selfies all the time and this is the only one that has came out good pic.twitter.com/bbB0cWGukL
Thu Aug 06 18:49:23 PDT 2015 --  I don't care how old I get, hide and seek will ALWAYS be fun 🏻
Thu Aug 06 16:22:28 PDT 2015 --  My mom said "Call Haley" said it like 5 times then she said "she's high" OML
Thu Aug 06 16:15:28 PDT 2015 --  i honestly have the best supporters. thank you so much for sticking with me through everything. love you guys.
Wed Aug 05 20:39:16 PDT 2015 --  So I been hanging up drawings from you guys and reading letters all night. Reading these honestly make me so happy. I love you guys sfm!
Thu Aug 06 10:51:47 PDT 2015 --  Ooooooooo lava lamps🏼
Thu Aug 06 10:46:03 PDT 2015 --  LIVE MarquaviousBarnes on #YouNow - https://www.younow.com/MarquaviousBarnes/61750037/6714264/eX5RRaqMZR/b … pic.twitter.com/du3cyR2Ik6
Thu Aug 06 06:46:09 PDT 2015 --  Basically pic.twitter.com/A9gIg7yQAO
Wed Aug 05 18:45:58 PDT 2015 --  I am currently dressed up as Miranda sings haters back off 🏼🏼
Wed Aug 05 12:50:34 PDT 2015 --  I hate when it's my whole family against me...
Wed Aug 05 19:18:19 PDT 2015 --  But in those times always keep your head up and show the world how strong you can be :) because you're strong and you're worth it all
Wed Aug 05 19:17:35 PDT 2015 --  Life is all about speed bumps and dead ends.. sometimes in life you get hit and you fall.. sometimes u hit a dead end with no where to go
Wed Aug 05 17:51:44 PDT 2015 --  If there's one thing I want people to realize in life, it's that there's never a good reason to seriously insult someone's appearance. Ever.
Wed Aug 05 13:59:55 PDT 2015 --  I'm gonna shave the batman signal into my head
Wed Aug 05 10:34:30 PDT 2015 --  I dont wanna say goodbye
Tue Aug 04 22:12:52 PDT 2015 --  So umm I just woke up . Oops.... But hey look I guess my cat was pregnant after allgratata pic.twitter.com/AM0fQ5bCz4
Tue Aug 04 22:18:12 PDT 2015 --  Fuck. I really gotta fix my sleeping schedule . I did not know it was only 6 more days till I flew to San Fran. Wtf
Tue Aug 04 23:16:34 PDT 2015 --  Trying to pee while the bus is moving is next to impossible
Tue Aug 04 19:36:45 PDT 2015 --  I love you with all my heart thank you for everything you do.. you make me who i am without you i'm nothing so thank you.. you're beautiful
Tue Aug 04 15:30:31 PDT 2015 --  Accurate pic.twitter.com/S2jPSd591v
Tue Aug 04 14:42:05 PDT 2015 --  #danwatchdiego please notice me @danisnotonfire @diegosaurs_
Tue Aug 04 14:34:33 PDT 2015 --  Retweet if Senpai doesn't notice you
Tue Aug 04 14:33:35 PDT 2015 --  #danwatchdiego @diegosaurs_ @danisnotonfire he's ur biggest fan
Tue Aug 04 14:30:14 PDT 2015 --  #danwatchdiego @danisnotonfire @diegosaurs_ ILY
Tue Aug 04 14:25:37 PDT 2015 --  #danwatchdiego @danisnotonfire @diegosaurs_
Tue Aug 04 14:17:49 PDT 2015 --  #danwatchdiego @danisnotonfire Senpai pls
Tue Aug 04 10:09:52 PDT 2015 --  LIVE JamesNeese on #YouNow - https://www.younow.com/JamesNeese/61404231/6714264/eX5RRaqd3K/b … pic.twitter.com/kKxHYLzUHO
Mon Aug 03 21:18:57 PDT 2015 --  LIVE @BaileyHereLOL on #YouNow - https://www.younow.com/BaileyHereLOL/61343142/6714264/eX5RRapR1H/b … pic.twitter.com/4ZGS5WBV9n
Mon Aug 03 20:02:26 PDT 2015 --  Hey you yeah you fuck what others think or say about you, You're beautiful in every way you're strong, You're worth it, You're cared for ily
Mon Aug 03 19:41:04 PDT 2015 --  I feel like a prayinmantis or how ever the fuck you spell it . Could kick major ass in karate 🏼
Mon Aug 03 15:08:05 PDT 2015 --  Welp, I was going to do a following spree on younow but it's down at the moment So retweet this for a follow pic.twitter.com/aIo23bPGoH
Mon Aug 03 18:19:11 PDT 2015 --  Rt/Fav for a follow
Mon Aug 03 18:27:00 PDT 2015 --  Closet and my Grandpa went to the bathroom and there closet doors have like spaces in them and I saw him Im scarred 4 life @ITristonTyler
Mon Aug 03 18:10:51 PDT 2015 --  4 life he doesn't know
Mon Aug 03 18:10:42 PDT 2015 --  Closet and my Grandpa went to the bathroom and there closet doors have like spaces in them and I saw him I closed my eyes Now I'm scarred
Mon Aug 03 18:09:29 PDT 2015 --  When I was like 5 I was playing hide and seek at my grandma and grandpas house with my cousin and sister I was hiding in the @ITristonTyler
Sat Jun 20 19:36:45 PDT 2015 --  Fav and rt for a follow
Sun Jun 21 18:00:12 PDT 2015 --  Ill see you guys tom on younow i just need to relax for once so wore out
Mon Jun 22 21:06:57 PDT 2015 --  Goal is one day to have this with every single one of you and wont stop or give up till i do. pic.twitter.com/B1XxIFbFjX
Wed May 20 16:48:41 PDT 2015 --  If you don't rt this, we aren't friends pic.twitter.com/NuGHCbRUXR
Tue Apr 28 20:53:22 PDT 2015 --  Holy shit. Why have I never thought of that! https://twitter.com/carelessjacks/status/593261357149069313 …
Wed Apr 22 14:30:46 PDT 2015 --  Fun day shooting with @popstarmagazine pic.twitter.com/AJOLirA6mQ
Wed Apr 22 11:50:24 PDT 2015 --  #AskNacks what is your favorite part about your fans
Wed Apr 15 06:00:07 PDT 2015 --  Over $22K raised in honor of #Carolines13thBday. TY for showing her family <3 w/your tweets, RTs & donations pic.twitter.com/q9nyTm0znM
Tue Apr 07 17:01:19 PDT 2015 --  What's up guys! Retweet this tweet for a follow from our personal accounts! @jackgilinsky and @JackJackJohnson #FollowMeJackAndJack
Sun Apr 05 13:41:53 PDT 2015 --  Merry Easter pic.twitter.com/YH4GzyTO3t
Mon Mar 30 15:17:31 PDT 2015 --  Hahahaha I'm getting my first foot massage and this shit tickles waaaaay to much holy shittttt
Sun Mar 29 05:28:04 PDT 2015 --  Well damn. Goodnight people
Fri Feb 06 21:30:07 PST 2015 --  Yep pic.twitter.com/okx4bzeU84
Sat Mar 21 15:53:34 PDT 2015 --  I don't know why we let the Janos pepper spray us but damn I know I wasn't about to pussy out in front of 8 thousand people
Thu Jul 31 19:50:43 PDT 2014 --  When you see your ex in public... https://vine.co/v/METWz5BEnHA 
Sun Feb 01 16:11:25 PST 2015 --  Love these kids @haleystrock pic.twitter.com/2DiKRxywDE
Tue Feb 03 16:41:23 PST 2015 --  Well got back from the mall watched American sniper got bows went to the arcade so good day ! @HStrock
Wed Jan 21 12:58:00 PST 2015 --  does anyone actually clean pipes with pipe cleaners
Wed Jan 21 13:11:21 PST 2015 --  So many people out there just lookin down on people because of social media. Crazy what it can do to people. Scary is the better word
Wed Jan 21 13:17:12 PST 2015 --  If certain people always try to bring you down, just remember that they are already below you when they are trying to do that #staycoo
Thu Jan 01 10:38:13 PST 2015 --  White girl anthem... (w/ @curtislepore , @LoganPaul ) #remake @julietuhh #literallyicant https://vine.co/v/Ow9wOag1i9q 
Mon Nov 24 15:47:24 PST 2014 --  You guys make me so happy
Wed Feb 12 20:01:21 PST 2014 --  Forever wondering what lorde is saying over & over in the beginning of team "The coldhouse inn" "The cole slaws in" "The Cole sprouse twins"
