Wed Aug 26 16:44:17 PDT 2015 --  Happy #Nationaldogday, Lucy the good dog. pic.twitter.com/q5bBqndNml
Mon Aug 03 13:47:30 PDT 2015 --  Truly an honor. #GoGate @colgateuniv https://twitter.com/time/status/628303842422169600 …
Mon Aug 03 07:58:51 PDT 2015 --  "From life on the farm to the NFL...My gosh...I am the luckiest man on the face of the earth" http://mmqb.si.com/mmqb/2015/08/02/nfl-training-camp-bruce-dehaven-cancer-carolina-panthers … https://twitter.com/si_peterking/status/628193853527457792 …
Sat Aug 01 21:39:01 PDT 2015 --  YES! #sb50 #GoHawks @Bwagz54 @DangeRussWilson @Seahawks pic.twitter.com/xQzerz7qd3
Fri Jul 31 07:40:41 PDT 2015 --  Christmas in July! We love you, @DangeRussWilson! Cc @HallStarAmanda @shelby_10_22 #GoHawks #RussellWilson #Seahawks pic.twitter.com/za9SRkGi3u
Wed Jul 29 17:59:34 PDT 2015 --  Killing an innocent animal for sport is truly one of the most despicable things a human could do. Shame on you, #WalterPalmer. #CecilTheLion
Mon Jul 27 09:28:24 PDT 2015 --  Join me and writers around the world in the @nycmidnight Flash Fiction Challenge 2015! #writing #flashfiction http://bit.ly/1JB0FiO 
Wed Jul 08 14:40:58 PDT 2015 --  Wait, why am I paying for commercials on @HuluPlus? Can't I just watch the @MindyProjectFOX in peace? @mindykaling, helpppp!
Fri Jun 26 08:22:16 PDT 2015 --  "There's so much more work to be done... But today we can say... that we made our union a little more perfect." @BarackObama #LoveWins
Fri Jun 26 08:18:46 PDT 2015 --  "When all Americans are treated as equal, we are all more free." @BarackObama #LoveWins
Fri Jun 26 08:16:32 PDT 2015 --  "Sometimes there are days like this, when slow, steady effort is rewarded w justice that arrives like a thunderbolt." @BarackObama #LoveWins
Fri Jun 26 08:11:18 PDT 2015 --  Show your support for the @NOH8Campaign by adding a #NOH8 badge to your profile photo! http://twb.ly/en0nKR  #LGBT Please Retweet!
Fri Jun 26 08:10:02 PDT 2015 --  finally, FINALLY, a reason to be so very proud of this country. love wins. #LoveWins #pride
Fri Jun 26 07:06:50 PDT 2015 --  Love is love. #equality #NOH8 #pride https://twitter.com/huffingtonpost/status/614434132752474112 …
Thu Jun 18 23:47:16 PDT 2015 --  Jon Stewart, yes. YES. It's not about black, white, republican or democrat. It's just about humanity. @TheDailyShow http://gawker.com/somber-jon-stewart-delivers-scathing-monologue-about-ch-1712464655?utm_campaign=socialflow_gawker_facebook&utm_source=gawker_facebook&utm_medium=socialflow …
Thu Jun 18 23:29:04 PDT 2015 --  Uber driver said he always carries singles for homeless people. Then he actually did give someone $1. What a gem! Give him a raise, @Uber!
Mon Jun 15 05:19:49 PDT 2015 --  . @thatrobguy's been talking about #MicroMoments since before it was a thing. #hipster https://twitter.com/thinkwithgoogle/status/605759039155245057 …
Sat Jun 13 19:21:10 PDT 2015 --  Need to know how she outran that t-rex in 4" heels. I bought everything that happened up until that point. #JurassicWorld
Wed Jun 10 21:22:35 PDT 2015 --  Absolutely loved #CuriousIncident. Wow. Great way to spend @SI_PeterKing's birthday! Thanks, @CuriousBroadway! pic.twitter.com/aKAzHgwsJa
Tue Jun 02 18:16:21 PDT 2015 --  Sitting on the couch watching effing Stitchers because my head is still exploding from the #PLL summer premier. #PrettyLittleLiars @ABCFpll
Tue Jun 02 18:01:46 PDT 2015 --  I just cannot. #PLL #PrettyLittleLiars @ABCFpll
Tue Jun 02 17:57:17 PDT 2015 --  Get out of there, kweens! #PLL #PrettyLittleLiars #SummerOfAnswers
Tue Jun 02 17:23:45 PDT 2015 --  Glad to see Officer Barry has been promoted. #PrettyLittleLiars #PLL #SummerOfAnswers
Tue Jun 02 17:07:34 PDT 2015 --  WHY IS #PLL ALREADY SO SCARY #PLLIsBack #SummerOfAnswers
Tue Jun 02 12:41:35 PDT 2015 --  Thanks for my special treat, @1800PetMeds! It's delicious! Love, Lucy Bear pic.twitter.com/EFNxBhBtXN
Sun May 31 20:39:33 PDT 2015 --  Another Kardashian West bebe?! I truly wish my enthusiasm was sarcastic but OMG I CAN'T WAIT!!! @KimKardashian @kanyewest
Sun May 31 07:51:26 PDT 2015 --  Mashup of @taylorswift13 and @flo_tweet? Internet, you get me. #shakeitout #ShakeItOff http://youtu.be/ng4vjZl6B0Y 
Sun May 31 07:31:29 PDT 2015 --  Can't wait!! @mindykaling, you are an inspiration! https://twitter.com/thr/status/605016837479383040 …
Mon May 25 08:15:22 PDT 2015 --  20 Productive Habits of Successful (and Very Wealthy) People >> http://levo.im/1RQA1G5  via @MoneyCrashers pic.twitter.com/FNcS1LtImR
Sun May 24 21:44:12 PDT 2015 --  Is @Uber ever not on surge pricing in San Francisco?
Sat May 23 10:07:18 PDT 2015 --  Twenty-six years later, Mary Beth (left) will stand beside Laura (right) at wedding of @LK. Great day in California. pic.twitter.com/ufXz41LtgG
Fri May 22 21:06:30 PDT 2015 --  The night before! #zylking @SI_PeterKing @LK pic.twitter.com/Navvk37Nnz
Thu May 21 19:59:55 PDT 2015 --  Me and Petey ️ @SI_PeterKing pic.twitter.com/LuK0BSAjYo
Tue May 19 16:28:34 PDT 2015 --  Is there a better human being than @DangeRussWilson? pic.twitter.com/Z2yvOkl8OX
Sun May 17 18:57:33 PDT 2015 --  . @edsheeran, you are one hot ginger. #BBMAs
Sun May 17 17:59:13 PDT 2015 --  Did I just see #MariskaHargitay in the #BadBloodMusicVideo?! How'd she get into T Swizzle's crew?! @taylorswift13 #BBMAs #BadBlood
Thu May 14 16:34:24 PDT 2015 --  Thanks for keeping me entertained today, @twitter, bt the @penguins/ @Discovery burn + #NeverSettleForVerizon debacle pic.twitter.com/yJySKNNITq
Mon Apr 27 20:33:29 PDT 2015 --  I'm a diehard @Seahawks fan, but that @JJWatt though. https://twitter.com/snfonnbc/status/592868277459746816 …
Fri Apr 24 22:39:02 PDT 2015 --  Nothing else is important right now other than this. #philcollins #puppy https://twitter.com/mattufford/status/591831489656000512 …
Fri Apr 24 22:18:05 PDT 2015 --  Bruce Jenner’s family reacts to his candid interview: "with courage and bravery, let's change the world." http://eonli.ne/1aZSG0C 
Fri Apr 24 21:52:37 PDT 2015 --  Bruce Jenner, you are a good, brave person. Being able to love and respect yourself is the ultimate goal for everyone. #BruceJennerABC
Mon Apr 20 17:30:31 PDT 2015 --  Spicy tuna roll wasn't a great meal option for watching #GameofThrones for the first time.
Mon Apr 20 09:37:11 PDT 2015 --  We're proud to be named a Leader in the @Forrester Social Relationship Platform Wave Report. http://pco.lt/1Ho7pPK 
Sun Apr 19 19:28:36 PDT 2015 --  . @ericchurch... #swoon. @kennychesney's bro tank... Not so much.
Sun Apr 19 19:03:33 PDT 2015 --  On the other hand, what in the world is Christina Aguilera doing there? #ACMawards50
Sun Apr 19 18:59:14 PDT 2015 --  How cute were @taylorswift13 and her mom at the #ACMawards50? How could anyone say Swizz doesn't belong there? #HatersGonnaHate
Thu Apr 16 10:20:21 PDT 2015 --  Ina Garten made the #TIME100 list this year. Her blurb? Written by @taylorswift13. T Swizz + Ina = match made in my own version of heaven.
Sun Apr 12 20:26:18 PDT 2015 --  Pillows are nature's packing peanut. #StoryOfMyLife #BroadCity @broadcity
