Fri Aug 14 06:19:22 PDT 2015 --  నేనింతా ఒక పిడికెడు మట్టే కావచ్చు కాని కలమెత్తితే ఒక దేశపు జండా కున్నంత పొగరుంది."- శేషంద్ర
Sun Oct 07 05:52:44 PDT 2012 --  The word "checkmate" comes from Arabic "shah mat" meaing "the king is dead"
Sun Oct 07 05:52:38 PDT 2012 --  There’s a roller coaster designed to kill its passengers.
Sun Oct 07 05:51:43 PDT 2012 --  75% of the people see things in their dreams and then later in life see the exact same thing and freak out for a couple seconds.
Sun Oct 07 05:51:24 PDT 2012 --  Women tend to eat more when no men are around.
Sun Oct 07 05:51:15 PDT 2012 --  Researchers estimate that 91% of sea creatures remain undiscovered.
Sun Oct 07 05:51:06 PDT 2012 --  The average person would have to walk for 2 hours nonstop to burn off the calories in one can of Coca Cola.
Sun Oct 07 05:50:15 PDT 2012 --  In space, astronauts cannot cry, because there is no gravity, so the tears cannot flow.
Sun Oct 07 05:50:04 PDT 2012 --  90% people type the things they just heard when texting, and then erase it.
Sun Oct 07 05:49:53 PDT 2012 --  October is the National Squirrel Month.
Sun Oct 07 05:49:44 PDT 2012 --  Ignorant people believe they're brilliant, intelligent people underestimate themselves. Maybe because they know how much they don't know.
Sun Oct 07 05:49:35 PDT 2012 --  Valentine's Day is also National Condom Day.
Sun Oct 07 05:49:05 PDT 2012 --  You cant 'Poke' Mark Zuckerberg on Facebook.
Sun Oct 07 05:48:56 PDT 2012 --  You can't hear phone conversations in noisy rooms. The brain can't distinguish background noise from the voice on the phone.
Sun Oct 07 05:48:34 PDT 2012 --  Flying from London to New York by Concord, due to the time zones crossed, you can arrive 2 hours before you leave.
Sun Oct 07 05:48:12 PDT 2012 --  Blue color has a calming effect, releases calming hormones in the brain.
Sun Oct 07 05:47:59 PDT 2012 --  "Fucking" is one of those fucking words you can fucking put anyfuckingwhere in a sentence and it still makes fucking sense
Sun Oct 07 05:47:44 PDT 2012 --  People who laugh at your boring jokes are much more likely to like you and want to have sex with you.
Sun Oct 07 05:47:16 PDT 2012 --  If a jellyfish stings a person, application of Coca-Cola can be a suitable treatment.
Sun Oct 07 05:45:43 PDT 2012 --  51% of Americans have admitted to going to bed, but actually using their smartphones instead of sleeping.
Sun Oct 07 05:44:42 PDT 2012 --  With 100 million paid downloads, Tetris is the best-selling mobile game of all time.
Sun Oct 07 05:44:25 PDT 2012 --  The wedding ring goes on the left ring finger. Because it is the only finger with a vein that connects to the heart.
Sun Oct 07 05:43:33 PDT 2012 --  Bikinis and tampons were both invented by men.
Sun Oct 07 05:42:51 PDT 2012 --  On average, at least one suicide takes place every two weeks in the Golden Gate Bridge, making it the most popular place to commit suicide.
Sun Oct 07 05:42:27 PDT 2012 --  XBox, Wii, Playstation and all other game consoles are banned in China since 2000 but they are all made in china.
Sat Oct 06 07:50:17 PDT 2012 --  People who laugh a lot are much healthier than those who don't.
Sat Oct 06 07:49:59 PDT 2012 --  Only 2% of Earth's population are natural redheads.
Sat Oct 06 07:49:52 PDT 2012 --  If Barbie were real, she would be too skinny to bear children, and to disproportionate to walk upright.
Sat Oct 06 07:49:40 PDT 2012 --  92% of pop songs are about sex.
Sat Oct 06 07:49:33 PDT 2012 --  The ancient Greeks believed that red heads would turn into vampires after they died.
Sat Oct 06 07:49:28 PDT 2012 --  For a brief period of time in 2011, Apple had more money than the U.S. government.
Sat Oct 06 07:48:50 PDT 2012 --  The chills you sometimes feel when listening to music is called "musical frisson."
Sat Oct 06 07:48:44 PDT 2012 --  Cat owners are actually 30% less likely to have a heart attack.
Sat Oct 06 07:48:31 PDT 2012 --  In 1994, a woman named Lucy Moro was found guilty of manslaughter after kicking her husband in the balls and accidentally killing him.
Sat Oct 06 07:48:09 PDT 2012 --  Falling coconuts kill 150 people every year.
Sat Oct 06 07:47:51 PDT 2012 --  The little boy who did the voice of Bambi grew to become the youngest drill instructor ever in the Marines.
Sat Oct 06 07:47:32 PDT 2012 --  India has more citizens with IQ's over 120 than the total population of the U.S.
Sat Oct 06 07:47:06 PDT 2012 --  Bananas can help prevent and cure hangovers.
Sat Oct 06 07:46:59 PDT 2012 --  In the original version of Sleeping Beauty, she was raped by the king and gave birth to 2 children... All before she woke up.
Sat Oct 06 07:40:04 PDT 2012 --  In a survey of middle school American children, 92% were able to name 20 celebrities but failed to name 10 countries.
Fri Oct 05 09:53:23 PDT 2012 --  The richest man in China, Zong Qinghou has $21.8 billion. He always eats the same meals as his workers and he lives on only $20 a day!
Fri Oct 05 09:53:07 PDT 2012 --  90% of the people restart the whole song, if they just miss their favorite part of the song.
Fri Oct 05 09:52:50 PDT 2012 --  After Tweeting " Good night Twitter " there's an 80% chance that instead of going to sleep, you'll remain on Twitter.
Fri Oct 05 09:52:36 PDT 2012 --  You only use 35% of your brain when you are thinking hard.
Fri Oct 05 08:56:40 PDT 2012 --  Women can actually experience pregnancy symptoms just by thinking about it. This can cause morning sickness and increased belly size.
Fri Oct 05 08:56:14 PDT 2012 --  For almost 13 years from 1998 to 2010, Steve Jobs has been seen only wearing a black turtle neck, blue jeans and joggers.
Fri Oct 05 08:55:52 PDT 2012 --  Nearly every early Mac produced by Apple had Steve Jobs’ signature engraved inside.
Fri Oct 05 08:55:28 PDT 2012 --  The Nazi leader, Hitler, from 1942 until his death in 1945, was addicted to crystal meth.
Fri Oct 05 08:55:16 PDT 2012 --  Honestly, I’ve never seen anyone fall because of a banana.
Fri Oct 05 08:55:10 PDT 2012 --  The key to life is to not give a fuck
Fri Oct 05 08:52:32 PDT 2012 --  工 D◯nt ﾚo√乇 ㄚ◯∪ h◯乇s
Thu Oct 04 10:15:18 PDT 2012 --  According to IMDB, Snoop Dogg has an IQ of 147, which is considered to be "highly gifted-genius" level.
Thu Oct 04 10:14:05 PDT 2012 --  36 million years ago, penguins were about 5 feet tall.
Thu Oct 04 10:13:50 PDT 2012 --  Chocolate contains a small amount of a marijuana-like chemical called anandamide - This directly affects the brain’s pleasure center.
Thu Oct 04 10:11:56 PDT 2012 --  The longer the finger, the faster its nail will grow. Your middle fingernail grows the fastest.
Thu Oct 04 10:11:44 PDT 2012 --  What if April Fools is really on April 2nd.. and we are all being April fooled?
Thu Oct 04 10:11:27 PDT 2012 --  Ice Cream is Chinese food.
Thu Oct 04 10:11:22 PDT 2012 --  Tweety Bird is male.
Thu Oct 04 10:11:12 PDT 2012 --  People who respond to text messages instantly are more likely to be easily annoyed when someone takes too long to respond.
Thu Oct 04 10:08:28 PDT 2012 --  The world's shortest horror story was of only two sentences. "The last man on Earth sat alone in a room. There was a knock on the door."
Thu Oct 04 10:06:24 PDT 2012 --  Did you know that Tomato Ketchup is a good conditioner for your hair?
Thu Oct 04 10:06:18 PDT 2012 --  Paris Hilton and Lady Gaga went to the same high school, however, they never talked because Gaga says she wasn't a part of her popular gang.
Thu Oct 04 10:05:54 PDT 2012 --  I respect blind people. Why? Because they judge others by their personality, not by their looks.
Thu Oct 04 10:05:20 PDT 2012 --  What if humans could actually breathe in space? And the government says we can't so we don't try to escape?
Thu Oct 04 10:05:05 PDT 2012 --  According to studies, eating too much food may cause brain aging, and eating less turns on a molecule that helps the brain stay young!
Thu Oct 04 10:04:48 PDT 2012 --  According to data analyzed from Facebook, the most popular time for breakups are 2 weeks before Christmas!
Thu Oct 04 10:01:59 PDT 2012 --  There have been an elephant who died from having a broken heart, her name was Aisha.
Thu Oct 04 10:01:41 PDT 2012 --  Some parents don't realize that by being overprotective they are actually screwing their kids over once they get into the real world.
Thu Oct 04 10:01:22 PDT 2012 --  Mosquitoes will not only bite you. After sucking your blood, they will pee on you.
Thu Oct 04 10:01:09 PDT 2012 --  Fnuny tnihg abuot tihs tewet is taht eevn tohugh all the wrods are msesed up you cna sitll raed it!
Thu Oct 04 09:58:01 PDT 2012 --  After finish crying, it will increase your mood, due to the fact you just released all the bottled up emotions inside.
Thu Oct 04 09:57:22 PDT 2012 --  Each year, there are over 10,000 american people injuring themselves because of trying sexual positions!
Thu Oct 04 09:35:57 PDT 2012 --  President Obama: “When I got on stage, I met this very spirited fellow who claimed to be Mitt Romney. It couldn't have been Mitt Romney.”
Tue Oct 02 11:54:33 PDT 2012 --  Your personality affects the way you smell.
Tue Oct 02 11:49:35 PDT 2012 --  The famous Golden Gun from the James Bond movie "The Man with the Golden Gun" was stolen in 2004 and is still missing.
Tue Oct 02 11:49:26 PDT 2012 --  Many people have been known to believe the conspiracy theory that Michael Jackson and his sister Latoya Jackson are the same persons!
Tue Oct 02 11:49:02 PDT 2012 --  The first item ever sold on Internet was a pepperoni pizza from Pizza Hut.
Tue Oct 02 11:48:42 PDT 2012 --  A recent research concluded that the average age of heavy drinkers is higher than that of nondrinkers.
Tue Oct 02 11:48:23 PDT 2012 --  My day starts backwards... I wake up tired and I go to bed wide awake.
Tue Oct 02 11:46:58 PDT 2012 --  If Gandhiji was the father of the nation than was his father the Grandfather of the nation?
Mon Oct 01 09:59:19 PDT 2012 --  A story told in three photos: pic.twitter.com/6nttFK1z
Mon Oct 01 09:59:09 PDT 2012 --  Female Facebook users are more likely to suffer from depression and are also known to be unhappy with their lives.
Mon Oct 01 09:58:53 PDT 2012 --  In 1814, there was a beer flood in London when a tank containing 300,000 gallons ruptured in which 7 people drowned.
Mon Oct 01 09:57:21 PDT 2012 --  You can improve your alertness for up to 10 hours by taking a nap for 60 minutes!
Mon Oct 01 09:52:20 PDT 2012 --  Every person in the world will shake hands with six people annually who’ve recently masturbated and haven’t cleaned up.
Mon Oct 01 09:48:25 PDT 2012 --  Lasith Malinga gets three in his very first over, England 18-3
Mon Oct 01 09:28:52 PDT 2012 --  I dedicate this "Sir M Vishweshwaraiah Memorial Award" conferred on me to all the brilliant youngsters who dream of taking this country fwd
Mon Oct 01 09:47:18 PDT 2012 --  There is an erotic dance popular in Jamaica called ?daggering? - It was banned from TV after causing too many broken penises.
Mon Oct 01 09:46:12 PDT 2012 --  Your Twitter picture by default is an egg because we are all babies of the Twitter Bird.
Mon Oct 01 09:45:44 PDT 2012 --  A Swedish couple named their kid "Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116." The name is pronounced "Albin."
Mon Oct 01 09:43:26 PDT 2012 --  Akon's full name is Aliaune Damala Bouga Time Puru Nacka Lu Lu Lu Badara Akon Thiam.
Mon Oct 01 09:39:36 PDT 2012 --  In 1985, there was a condom delivery service at Harvard University - Their slogan was "We'll come before you do."
Mon Oct 01 09:38:24 PDT 2012 --  The "Pinky Promise" originally indicated that the person who breaks the promise must cut off their pinky finger.
Mon Oct 01 09:36:49 PDT 2012 --  Every seven years, you lose about half of your friends and replace them with new people.
Mon Oct 01 09:35:41 PDT 2012 --  High heels were originally made for men.
Mon Oct 01 09:35:31 PDT 2012 --  "Happy Pizza" is a pizza sold in Cambodia topped with marijuana.
Mon Oct 01 09:35:15 PDT 2012 --  The least successful Harry Potter movie earned about $90 million more than the most successful Twilight movie.
Mon Oct 01 09:34:23 PDT 2012 --  Someone who suffers from Misophonia will often be made angry by very small things - Such as a person who eats or breathes too loudly.
Mon Oct 01 09:34:02 PDT 2012 --  The U.S. Army actually uses Xbox 360 controllers to fly UAV spy planes.
Mon Oct 01 09:31:38 PDT 2012 --  Blowjobs are illegal in Malaysia and punishable with imprisonment of 20 years maximum.
Mon Oct 01 09:31:11 PDT 2012 --  You can extend the length of a free trial by pushing back the date on your computer.
Mon Oct 01 09:29:27 PDT 2012 --  3 top lies from guys? I'm sorry, I love you, I won't hurt you. 3 top lies from girls? I'm fine, I'm not mad at you, I don't love you.
Mon Oct 01 09:26:43 PDT 2012 --  If cockroaches can survive atomic bombs and chemical warfare, what the fuck is in a can of Raid?
Mon Oct 01 09:25:58 PDT 2012 --  I curse way too fucking much, I need to stop that shit.
Sat Sep 29 10:10:52 PDT 2012 --  The human brain is around 80% water.
Sat Sep 29 10:09:28 PDT 2012 --  I think too much and then make myself sad or mad.
Sat Sep 29 10:09:21 PDT 2012 --  Saying "I'm almost there" when you actually haven't even left the house.
Sat Sep 29 10:08:59 PDT 2012 --  It would only take 4 lbs of gold to make a wire that would stretch from New York to Los Angeles
Sat Sep 29 10:08:26 PDT 2012 --  Our teeth are not actually made out of bone but are instead compose of 4 elements: enamel, dentin, cementum and pulp
Sat Sep 29 10:08:06 PDT 2012 --  In 1939, a five year old girl successfully gave birth to a 6 pound baby boy
Sat Sep 29 10:05:22 PDT 2012 --  There is a "Hug Me" Coca-Cola machine in Singapore which gives you a can of coke each time you hug it.
Sat Sep 29 10:03:46 PDT 2012 --  Lack of sleep can cause you to gain weight.
Sat Sep 29 10:02:43 PDT 2012 --  Studies suggest chewing the same flavor of gum while studying and taking a test can help improve your score.
Sat Sep 29 10:00:37 PDT 2012 --  Brushing your teeth actually help prevent heart attacks -- Removing bacteria that can cause clots in the bloodstream.
Sat Sep 29 10:00:25 PDT 2012 --  Chocolate, sex and laughter are all very important factors to maintain a healthy brain.
Sat Sep 29 09:59:46 PDT 2012 --  Study shows that people are more likely to wear denim jeans when they are depressed.
Sat Sep 29 09:57:11 PDT 2012 --  "Gleek" is a slang term for squirting water out through your teeth, or saliva from under your tongue.
Sat Sep 29 09:56:32 PDT 2012 --  Lying is a tough task for the brain. So when a person thinks too long over a question, chances are he’s lying.
Sat Sep 29 09:56:22 PDT 2012 --  Some reports state it would take 800 marijuana joints to kill a person -- The cause of death would actually be carbon monoxide poisoning.
Sat Sep 29 09:55:44 PDT 2012 --  The average person has about 3,000 songs in their iTunes library.
Sat Sep 29 09:54:31 PDT 2012 --  Watermelon can help relieve stress and anxiety, as well as keep you energized and boost your metabolism.
Sat Sep 29 09:54:18 PDT 2012 --  Psychologists say that when a man meets a woman, the first thing that comes to his mind is whether he'll have sex with her or not.
Sat Sep 29 09:53:51 PDT 2012 --  While headaches are slightly more common in younger boys, adult women suffer from headaches about 4 times more often than adult men.
Sat Sep 29 09:53:09 PDT 2012 --  The fear of being without a cell phone, nomophobia, is becoming a most common phobia now a days.
Sat Sep 29 09:52:53 PDT 2012 --  September 29 is National Coffee Day.
Sat Sep 29 09:52:37 PDT 2012 --  The sound of running water often increases the need to pee simply because that's the sound we're used to hearing while we urinate.
Sat Sep 29 09:51:47 PDT 2012 --  "Woman on top" position helps women build confidence in bed.
Sat Sep 29 09:51:04 PDT 2012 --  We all have that one friend That makes everything so damn sexual.
Sat Sep 29 09:21:48 PDT 2012 --  You would have to consume 1,500 pounds of marijuana in 15 minutes to overdose
Sat Sep 29 09:46:45 PDT 2012 --  The best feeling in the world is knowing you actually mean something to someone.
Sat Sep 29 09:46:18 PDT 2012 --  If the volume of the TV is set to an odd number, as much as 99% of the all people feel uneasy.
Sat Sep 29 06:40:11 PDT 2012 --  According to Greek mythology, Zeus once impregnated a woman after seducing her in the form of a golden shower.
Sat Sep 29 06:38:49 PDT 2012 --  A Japanese artist got his genitals removed, cooked them and 5 people ordered the dish for $250 each.
Sat Sep 29 06:38:19 PDT 2012 --  During the attack on the WTC, a person survived even though the wing of the plane just landed 20 ft away from him.
Sat Sep 29 06:37:28 PDT 2012 --  The actual age of the character of Aragon in the Lord Of The Ring movies is 87 years.
Sat Sep 29 06:37:04 PDT 2012 --  If a line is drawn using chalk around ants they will never cross it.
Sat Sep 29 06:36:40 PDT 2012 --  During WWI Hitler lost one of his testicles in a battle.
Sat Sep 29 06:36:32 PDT 2012 --  An island country named Niue, had picture of Pokemon's Pikachu on their currency in 2001.
Sat Sep 29 06:35:15 PDT 2012 --  King Richard I of England was unable to speak English language and spent only 6 months from his total reign of 10 years in England.
Sat Sep 29 06:35:00 PDT 2012 --  The African tribe of Wodaabe has a mating season in which everyone including married couples are allowed to have sex with anyone they want.
Sat Sep 29 06:34:35 PDT 2012 --  Once Andre the Giant, in a hotel bar drank 127 beers and wasn't moved until he woke up after he passed out in the lobby because of his size.
Sat Sep 29 06:32:11 PDT 2012 --  Around a 100 billionaires, worldwide have signed 'the giving pledge' in which they promise to give away half of their wealth to the needy.
Sat Sep 29 06:31:32 PDT 2012 --  3 People stole the secret recipe of Coke and contacted Pepsi to sell it, Pepsi immediately informed the FBI and Coke about it.
Sat Sep 29 06:30:33 PDT 2012 --  The Nazi doctors invented a drug which made the soldiers march around 55 miles without a break after which they died.
Sat Sep 29 06:29:38 PDT 2012 --  A doctor intentionally overdosed himself on cocaine just to write down the last minute experience of the drug before death.
Sat Sep 29 06:29:13 PDT 2012 --  In 1956, IBM introduced the first computer with a hard disk (4.4MB) at the price of $35,000 per year.
Sat Sep 29 06:28:59 PDT 2012 --  "Freedom of the City of London" was awarded to J.K. Rowling in 2012 giving her the right to bring cattle and sheep herds on London Bridge.
Sat Sep 29 06:27:49 PDT 2012 --  As lemon juice is used to make invisible ink, a man tried to rob a bank thinking he was invisible by putting lemon juice on his face.
Sat Sep 29 06:27:33 PDT 2012 --  Aghori, a sect of hinduism which performs a chain of cannibalistic acts, consumes the urine, feces and remains of the dead.
Sat Sep 29 06:26:51 PDT 2012 --  In China a man spent 50 years of his life to carve 6000 steps in a mountain just so that his wife could walk easily.
Sat Sep 29 06:26:30 PDT 2012 --  There is a Japanese Ryukyuan god of the Toilet who resides in a bathroom and goes back to home on every New Year.
Sat Sep 29 06:26:19 PDT 2012 --  Brain surgery is performed on people while they are wide awake as the human brain has no pain receptors resulting in them feeling no pain.
Sat Sep 29 06:25:32 PDT 2012 --  “One and only” was the name of a tortoise who lived through 3 centuries, born in 1750 and died in 2006, when it reached 250 years of age.
Sat Sep 29 06:25:20 PDT 2012 --  United States spent $2 million on an experimental weapons during the WWII to destroy Japan using bats, named Bat Bombs.
Sat Sep 29 06:24:46 PDT 2012 --  The Beatles have taken the Apple Inc to court many times for copyright infringements and won almost $50 million so far in total.
Sat Sep 29 06:24:27 PDT 2012 --  Queen Elizabeth II loves to play games so much that a game company gifted her a gold plated Nintendo Wii.
Sat Sep 29 06:24:11 PDT 2012 --  China, during the 2008 Olympics used airplanes, rocket launchers and anti aircrafts guns to stop rain by shooting chemicals into the clouds.
Sat Sep 29 06:23:37 PDT 2012 --  The area code for NASA and the surrounding areas is 321 because it sounds like the countdown before rocket's liftoff.
Sat Sep 29 06:23:13 PDT 2012 --  The highest score made in a Soccer game was 149-0, one of the team started scoring own goals to protest against the referee's decision.
Sat Sep 29 06:22:36 PDT 2012 --  A country named Ladonia has national anthem which is just a sound produced by throwing stone in the water.
Sat Sep 29 06:19:33 PDT 2012 --  According to the story of creation in Greek mythology, women are sent to earth as a punishment for disobedience.
Sat Sep 29 06:18:37 PDT 2012 --  Hollywood stars actually sniff powdered vitamin B when you see them sniffing cocaine in the movies.
Sat Sep 29 06:17:28 PDT 2012 --  The civil war insurgents in Nigeria, in 1967 took a 48 hours break just to a watch Pele play in a football match.
Sat Sep 29 06:17:01 PDT 2012 --  Now electronics giant Samsung, started its business by selling noodles in 1938.
