Tue Aug 18 18:14:43 PDT 2015 --  Por si me stalkeas: me gustas más que Star Wars y Supernatural juntos.
Fri Aug 14 07:38:59 PDT 2015 --  Encuentra a alguien que te haga sentir vivo
Thu Aug 13 18:20:15 PDT 2015 --  El éxito en la vida no se mide por lo que has logrado, sino por los obstáculos que has superado.
Thu Aug 13 09:36:08 PDT 2015 --  A veces el problema es que soy demasiado positivo.
Thu Aug 13 09:45:30 PDT 2015 --  No sé qué está más pendejo; Las mujeres diciendo que quieren un novio como Chuck Bass, o los hombres intentando verse como Chuck Bass.
Thu Aug 13 18:02:34 PDT 2015 --  Si te hace feliz, entonces está bien.
Thu Aug 13 18:09:28 PDT 2015 --  Este es el mejor vine de la historia https://vine.co/v/e6AZIpK5EzX 
Thu Aug 13 15:50:30 PDT 2015 --  Oops .... Snap: ElJuanpaZurita pic.twitter.com/gI6Ht7GbHa
Thu Aug 13 08:48:50 PDT 2015 --  Tengan, agradézcanme luego. 🏻️ pic.twitter.com/uma9SzFR8T
Thu Aug 13 08:30:15 PDT 2015 --  Buenos días p*nches patos
Thu Aug 13 08:28:02 PDT 2015 --  —Oye, ¿sabes cuál es la calle más silenciosa? —No. —La calle C. JAJAJAJAJAJA ¿Entiendes? Cállese JÁJAJAJAJAJA. No tengo amigos:(
Thu Aug 13 08:46:49 PDT 2015 --  Nadie es perfecto, me falló un poco la ortografía. La intención la es la que cuenta.
Thu Aug 13 08:44:14 PDT 2015 --  Vuennozz diazz prezziozza
Wed Aug 12 22:21:02 PDT 2015 --  Descansen pequeños :)
Wed Aug 12 18:22:06 PDT 2015 --  Cuando una mujer te dice: "No, ya nada", PREPARATE PARA DARLE LA BIENVENIDA A LOS JINETES DEL APOCALIPSIS, EL FINAL SE ACERCA.
Wed Aug 12 19:02:46 PDT 2015 --  Espero que estés haciendo la regla de los 3 dias y por eso no me has hablado. #LaIlógicaLogicaDelAmor
Wed Aug 12 19:21:27 PDT 2015 --  El corazón es un mito. #LaIlógicaLogicaDelAmor
Wed Aug 12 19:30:40 PDT 2015 --  ¿A dónde va el amor cuando se acaba? #LaIlógicaLogicaDelAmor
Wed Aug 12 19:35:23 PDT 2015 --  No me demuestra nada y parece que ya no le importara, pero se afecta por todo lo que hago. #LaIlógicaLogicaDelAmor
