Fri Aug 28 16:34:36 PDT 2015 --  there's a lot of butt touching in the chicken business.
Sat Aug 08 16:43:53 PDT 2015 --  i've had two milkshakes this week but one was spiked and the other was .27 cents so i had to
Fri Aug 07 06:03:45 PDT 2015 --  "There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self." Earnest Hemingway
Thu Aug 06 19:20:30 PDT 2015 --  "if you can't have a cake pop every once and a while... i can't trust you." @megstrns
Thu Aug 06 06:00:05 PDT 2015 --  The only way to fight against the influence of the world is to remember your citizenship in heaven.
Thu Aug 06 05:39:12 PDT 2015 --  interesting read https://twitter.com/donaldmiller/status/629268212392267776 …
Wed Aug 05 11:54:42 PDT 2015 --  "april you forgot to cover your tattoo-- i don't want people thinking we started serving coors light." #alwaysoppressed
Wed Aug 05 05:11:40 PDT 2015 --  do i enjoy sweating before six am? no but you wouldn't have chicken without it.
Tue Aug 04 19:09:15 PDT 2015 --  "i love @ChickfilA . i don't know if that's something i've communicated before." leslie knope quote adapted to fit my life.
Tue Aug 04 15:06:27 PDT 2015 --  should we talk about my eleven hrs at chick today or no maybe not
Mon Aug 03 17:18:32 PDT 2015 --  thank you jesus for coffee in the morning, wine in the evening, and cookies for always. also your word which is sweeter than all these.
Mon Aug 03 13:25:18 PDT 2015 --  "If I could turn back time, I'd be there for every minute; I'd give up the life I chose, Just to have you in it..." @aboveandbeyond
Mon Aug 03 08:21:07 PDT 2015 --  Come by this afternoon from 3-5pm for a FREE medium iced coffee. North Monroe location only. One per person, per day. pic.twitter.com/PlJR3cCNLk
Mon Aug 03 08:18:03 PDT 2015 --  Come by this afternoon 3-5pm for a FREE medium iced coffee! West Tennessee Street only! One per person, per day. pic.twitter.com/8akiuXUB0P
Sun Aug 02 18:39:22 PDT 2015 --  nervous that no show will ever be as good as parks and rec.
Sat Aug 01 15:54:50 PDT 2015 --  "i am 100% sure i've never met enrique iglesias." @fieryllek #TEAMDON #DEEMTREAM
Sat Aug 01 12:35:17 PDT 2015 --  i've never looked at the word squeegee and it's weird.
Sat Aug 01 12:34:50 PDT 2015 --  "are you gonna get a squeegee or are you gonna play the violin." quote of the day.
Sat Aug 01 03:50:54 PDT 2015 --  need someone to invent a car where things can't fall between your seats thank u
Fri Jul 31 15:36:10 PDT 2015 --  "you are the face of chick-fil-a." highest praise from @karethomps
Thu Jul 30 19:26:26 PDT 2015 --  #help pic.twitter.com/etcXrEZJ9K
Thu Jul 30 12:30:28 PDT 2015 --  *says my pleasure out of uniform* my chick-fil-a is showing
Thu Jul 30 12:28:24 PDT 2015 --  yall our new greek yogurt parfait is my jam. why did i wait four whole days to try it. (cuz waffle fries-- but still.)
Thu Jul 30 06:28:55 PDT 2015 --  "honestly april get out of my drive through." working with caring team members since 2013.
Wed Jul 29 11:28:29 PDT 2015 --  melted cheese is so important to me.
Wed Jul 29 05:24:32 PDT 2015 --  no i'm not crying in my car on my biscuit break what would make you say that
Tue Jul 28 17:36:08 PDT 2015 --  mayo clinic seems to think i have 4-8 hours a day to ice my shins. false.
Tue Jul 28 03:19:01 PDT 2015 --  jesus and cold brew is what i'm counting on to get me through this week (and most weeks)
Mon Jul 27 13:24:12 PDT 2015 --  Have you tried our brand new and delicious Greek yogurt parfait? Stop in and try one today! #chickenontennessee pic.twitter.com/hiiDJTf9TQ
Mon Jul 27 12:43:43 PDT 2015 --  does anyone wanna clean my ceiling fan for me? i pay very well.
Sun Jul 26 19:07:01 PDT 2015 --  hyphenated struggles. pic.twitter.com/kxvZd97M1h
Sun Jul 26 17:58:41 PDT 2015 --  "just don't put anything crazy on it like sushi or something that doesn't belong on pizza." @megstrns #yum pic.twitter.com/AJyxSP3mue
Sun Jul 26 15:41:33 PDT 2015 --  so, did I sleep all day because I have a headache or do I have a headache from sleeping all day?? #daysoffgotmelike #howdoIrestwithoutdying
Sun Jul 26 09:53:40 PDT 2015 --  Ann: That looks like something you would find on the wall of a serial killer. Leslie: In a way, that's a compliment. It shows dedication.
Sun Jul 26 03:35:49 PDT 2015 --  trapped in a body that doesn't let me sleep in past 630 am. #help
Sat Jul 25 19:01:23 PDT 2015 --  i'm april blart, mall cop.
Sat Jul 25 18:48:05 PDT 2015 --  like what power a critter has that it can instill such fear, anxiety, and terror in a 22.5 year old woman in her oWN HOME.
Sat Jul 25 18:47:21 PDT 2015 --  each time i go into the kitchen i announce that i am not afraid of the cockroaches. which is of course a lie.
Mon Sep 30 08:52:06 PDT 2013 --  "Anything that keeps me from my Bible is my enemy, however harmless it may appear to be." AW Tozer #tozer
Mon Oct 21 14:46:30 PDT 2013 --  That is a solid recommendation, Facebook. @AprilMillsGG #same pic.twitter.com/wEgOnDYKZV
Sat Jul 25 06:44:51 PDT 2015 --  basically @cecewillisyall tells me what music to listen to and i do and i'm happy. those are the kinds of friends you want.
Fri Jul 24 12:01:40 PDT 2015 --  "time is money. money is power. power is pizza. pizza is knowledge. let's go." april ludgate.
Fri Jul 24 11:41:14 PDT 2015 --  daily @ChickfilA appreciation tweet https://twitter.com/chickfilanews/status/624647591695745025 …
Thu Jul 23 08:58:25 PDT 2015 --  i did it but we'll see how long this lasts pic.twitter.com/vGib4hCEYc
Thu Jul 23 07:45:03 PDT 2015 --  i just climbed the tallest light house in north america and this is how i feel pic.twitter.com/ljgYlMsYIZ
Thu Jul 23 07:20:22 PDT 2015 --  i have verbally committed to buying a selfie stick don't even try to stop me this will be a fantastic investment.
Thu Jul 23 04:30:45 PDT 2015 --  teared up over this. look at these two who are probably doing the same thing in heaven rn. @ChickfilA pic.twitter.com/hcoDc30etw
Thu Jul 23 04:15:24 PDT 2015 --  maybe i should get snapchat back and be that cool person who just snaps every so often
Wed Jul 22 19:42:27 PDT 2015 --  pic.twitter.com/PjNyqUYxZz
Wed Jul 22 15:23:36 PDT 2015 --  "i need some wine. i need to get my priorities straight. it's 6:20 what have i been doing." yall my fam can put down some serious booze.
Wed Jul 22 12:40:36 PDT 2015 --  "my pleasure-- see you in hell." leslie knope.
Tue Jul 21 16:46:14 PDT 2015 --  pic.twitter.com/oJ5RV7omtx
Tue Jul 21 10:35:35 PDT 2015 --  my attitude toward: my unequal play, people throwing kittens off bridges, main characters leaving tv shows, and pepsi pic.twitter.com/77561lxdcv
Tue Jul 21 10:19:13 PDT 2015 --  they made me get on yelp for work and now i'm all about it.
Tue Jul 21 05:39:42 PDT 2015 --  this was obviously a shameless plug. follow @CFA_NMS & @CFA_WTS on insta and twitter ur welcom.
Tue Jul 21 05:38:51 PDT 2015 --  why doesn't insta make it as easy to run multiple accounts like twitter does.
Tue Jul 21 05:21:03 PDT 2015 --  wow look at that beauty shot. you know you want one. #ido #chickenonmonroe @ChickfilA https://twitter.com/cfa_nms/status/623465638871367680 …
Mon Jul 20 17:08:44 PDT 2015 --  i am classy come at me
Mon Jul 20 16:31:06 PDT 2015 --  at least 50% of my friendships are long distance and they all hurt. oh but i couldn't be more thankful for the beautiful humans in my life.
Mon Jul 20 13:53:03 PDT 2015 --  there is one week a year where i live the high life. this is that week. #treatyoself
Mon Jul 20 10:33:42 PDT 2015 --  IM BUSY ON THE 13TH OF MAY NO BODY TRY TO HANG OUT WITH ME. #KinSchepp2016 #Schepperstitious
Sun Jul 19 19:09:58 PDT 2015 --  there will be struggles and hardships and days you don't and you question everything but really i want to enjoy this fleeting earthly life.
Sun Jul 19 19:08:42 PDT 2015 --  i just really think you should love what you do and where you live and who you are.
Sun Jul 19 15:56:48 PDT 2015 --  "we're contributing to the economy." pic.twitter.com/pMoODvhqTU
Sun Jul 19 07:55:13 PDT 2015 --  just encouraging one another and pointing each other toward truth. #heresyalert @cecewillisyall pic.twitter.com/CUiytZH90p
Sun Jul 19 03:55:07 PDT 2015 --  "Confession of pride signals the beginning of the end for pride. It indicates the war is already being waged." https://twitter.com/desiringgod/status/622590935055011846 …
Fri Jul 17 06:03:04 PDT 2015 --  “Spiritual friendship is eagerly helping one another know, serve, love, and resemble God in deeper and deeper ways.” Timothy Keller
Thu Jul 16 14:42:04 PDT 2015 --  cast your burden on the lord, and he will sustain you; he will never permit the righteous to be moved. // psalm 55:22
Thu Jul 16 14:40:42 PDT 2015 --  i'm going on a run so i don't have to think about chick. never thought id see the day.
Tue Jul 14 18:04:41 PDT 2015 --  my one comfort both in life and death is that i am not my own.
Tue Jul 14 17:19:15 PDT 2015 --  Had a great day giving away free food! #CowAppreciationDay #chickenonmonroe https://twitter.com/cfa_nms/status/621103684890398720 …
Mon Jul 13 17:53:33 PDT 2015 --  hey tally peeps follow @CFA_NMS & @CFA_TennSt for free chicken and more treats. #pls #ChickFilA
Mon Jul 13 16:49:26 PDT 2015 --  tomorrow is basically christmas in the american sense of the word leTS DO THIS. #CowAppreciationDay
Mon Jul 13 13:56:43 PDT 2015 --  cow handling rn and the cow just gave an ambulance a thumbs up. lol.
Sat Jul 11 18:18:13 PDT 2015 --  I would have regretted not getting lettuce on my burrito bowl but I also do regret getting it. #ihatelettuce
Sat Jul 11 16:30:26 PDT 2015 --  ducks and cows both brought me so much joy today.
Sat Jul 11 09:58:44 PDT 2015 --  i'm in a room full of cows pic.twitter.com/VZflaGUmJ2
Sat Jul 11 08:34:01 PDT 2015 --  i can't tell you the amount of nose rings ive lost because of chick-fil-a
Fri Jul 10 08:25:23 PDT 2015 --  See you tomorrow at noon at Governor's Square Mall! pic.twitter.com/G9Q5BPlkl4
Thu Jul 09 20:28:19 PDT 2015 --  i skateboarded tonight and ive never felt cooler thanks @megstrns
Thu Jul 09 12:56:54 PDT 2015 --  oh ignore all my previous tweets there's a blog about friendship. https://twitter.com/desiringgod/status/619228025490698248 …
Thu Jul 09 12:51:26 PDT 2015 --  a lot happens in an 8 hour shift and i want to talk about it. like when the iced coffee urn exploded on me before 8 am.
Thu Jul 09 12:50:45 PDT 2015 --  my bff is livin in india where it's 100+ plus everyday but yall i worked outside for 2 hours today and was a literal pile of sweat.
Thu Jul 09 12:47:47 PDT 2015 --  i honestly think i may be the only CFA employee out of idk 2000 stores that is off the wall excited for #CowAppreciationDay
Thu Jul 09 12:47:03 PDT 2015 --  this is me sticking my head out the drive thru window. hi. pic.twitter.com/Oav45rsFfw
Tue Jul 07 18:07:02 PDT 2015 --  "you're a weird feminist." @griverace
Tue Jul 07 10:56:19 PDT 2015 --  Anyway, do you. Be bold and don't expect recognition. Don't stand up to people to look like a badass. Do it because you care about yourself
Tue Jul 07 10:51:56 PDT 2015 --  i wish i could afford fruit https://twitter.com/madisoncude/status/618477458707189760 …
Tue Jul 07 10:41:46 PDT 2015 --  attn friends i know what i want for my 23rd birthday. it's to play true american with my friends. get started. you have six months.
Tue Jul 07 07:30:59 PDT 2015 --  oh the joys of community college where literally no one who works for the school knows anything about the school.
Tue Jul 07 06:50:07 PDT 2015 --  me. it's me. https://twitter.com/becca_stump/status/618405212340928513 …
Mon Jul 06 13:41:24 PDT 2015 --  the climb just came on the radio and immediately i started crying. it's an overwhelming song.
Mon Jul 06 13:33:10 PDT 2015 --  i made it through the day. thanks in part to my new wall-mart crocs.
Sun Jul 05 17:56:21 PDT 2015 --  i have to do prep at work in the morning i am honestly asking for your prayers.
Sun Jul 05 17:48:14 PDT 2015 --  i am over emotional about all the wrong things (food)
Sun Jul 05 17:47:55 PDT 2015 --  "childhood: the friendship money shot." #newgirl
Sun Jul 05 12:15:09 PDT 2015 --  i'm gonna start apologizing with doughnuts so look forward to the next time i wrong you.
Fri Jul 03 16:16:41 PDT 2015 --  Today I did something stupid. I questioned myself. And I'll never do that again.
Thu Jul 02 14:39:53 PDT 2015 --  also not talking to yourself in public is a learned skill-- one i have not yet mastered.
Thu Jul 02 14:38:22 PDT 2015 --  what i really need as a woman and a human or maybe just because i'm april is an hour long debrief session for every shift I work.
Thu Jul 02 06:03:06 PDT 2015 --  "Wherever you are, be all there." Jim Elliot
Tue Jun 30 20:21:14 PDT 2015 --  my roommate is @AnnaKendrick47 yall and i can't get over it and i only get to live with her for one more month what was I doing months 1-11
Tue Jun 30 20:18:25 PDT 2015 --  i can't sleep cause i love friendship too much
Tue Jun 30 14:49:26 PDT 2015 --  can't decide if packing or unpacking is worse especially when ur just gonna be homeless in a month
Tue Jun 30 12:12:00 PDT 2015 --  Literally over 60% of my friends have gone to Europe this summer meanwhile I'm here trying to save up for chipotle
Mon Jun 29 17:01:34 PDT 2015 --  "i haven't had chick-fil-a in a month besides last night and this morning." - me the day after my return from wy.
Mon Jun 29 16:57:32 PDT 2015 --  i don't know why but i am so excited to get back to work. see ya on wednesday, tally. 🏼
Mon Jun 29 12:40:23 PDT 2015 --  as of rn im gonna finish college with a two year degree five years later and have the career i want HOLLAAA
Mon Jun 29 06:40:41 PDT 2015 --  Love Frosted Lemonade? Get 1 FREE, 3-5pm Mon thru Fri! No purch nec, 1 pp/pv, N Monroe & W Tenn St locations only pic.twitter.com/qzHkttuUaG
Sat Jun 27 23:10:31 PDT 2015 --  "this explains so much." @cecewillisyall while watching inside out
Sat Jun 27 11:59:49 PDT 2015 --  "yeah ive repressed a lot from fsc." me "good." @cecewillisyall
Sat Jun 27 05:56:34 PDT 2015 --  mountain time has me like
Fri Jun 26 08:16:54 PDT 2015 --  People are throwing around the phrase #LoveWins after the SCOTUS ruling but let me tell you, Love WON 2000+ years ago on a cross #Gotem
Fri Jun 26 19:51:18 PDT 2015 --  he said 'it's for free' and i said 'sure'
Fri Jun 26 15:08:05 PDT 2015 --  for those of you who don't read fb i need ur numbers pls so text me kbye
Fri Jun 26 08:27:33 PDT 2015 --  May we be clear as Christians that the god of our culture, sexuality, cannot save. It won't bring happiness. Jesus does.
Fri Jun 26 08:51:01 PDT 2015 --  "April, you were voted least likely to cry." Classic.
Fri Jun 26 07:10:29 PDT 2015 --  Of this, be sure: No declaration by a government can change a definition from God. (Gen. 2:24) #marriage
Fri Jun 26 06:03:05 PDT 2015 --  "We must be willing to let go of the life we have planned, so as to have the life that is waiting for us." E. M. Forster
Thu Jun 25 22:46:40 PDT 2015 --  "I've always heard every ending is also a new beginning, we just don't know it at the time, I'd like to believe that's true." CM.
Thu Jun 25 20:16:52 PDT 2015 --  Kimmy Schmidt's "you can do anything for ten seconds" is my repeated motto for walking up the staff hill.
Wed Jun 24 10:09:34 PDT 2015 --  expecting an email that determines ur future is the worst
Tue Jun 23 17:44:18 PDT 2015 --  "april-sterling you are speaking my language." response to confession of sin. classic. #fromdarknesstolight
Tue Jun 23 17:14:38 PDT 2015 --  don't assume that love for Christ is self-perpetuating. it isn't. it MUST be nurtured by The Word again and again and again and again and
Mon Jun 22 22:17:05 PDT 2015 --  "i'm addicted to you don't you know that you're..." the time towa couldn't find the words for catchphrase #gg
Mon Jun 22 16:35:40 PDT 2015 --  this is v good https://twitter.com/madisoncude/status/613103573602140160 …
Mon Jun 22 09:08:26 PDT 2015 --  RT by 11:59 PM ET for a chance to win a signed @alexmorgan13 soccer ball #BandTogether http://bit.ly/btRTrules  pic.twitter.com/cpk4CnGWFF
Mon Jun 22 11:47:49 PDT 2015 --  on another note pizzatattoos is a real insta pic.twitter.com/5FQk4EziCm
Sun Jun 21 21:00:59 PDT 2015 --  fluorescent lights make me almost as angry as wind
Sun Jun 21 12:37:57 PDT 2015 --  only four full days left in wyoming. somebody save me from florida weather.
Sun Jun 21 12:34:46 PDT 2015 --  One day I'll be able to practice self control in Target (no I won't)
Sun Jun 21 11:40:25 PDT 2015 --  i'm maybe starting to like movies but don't quote me on it idk yet #tbd
Sat Jun 20 21:01:38 PDT 2015 --  yall i LOVE idaho. games and drive ins and laugher and grandest teet in the background and spuds pic.twitter.com/bgwiBnjxG6
Fri Jun 19 08:03:21 PDT 2015 --  "April is a good name for a cow. And a person." @karlajeggle
Thu Jun 18 09:17:30 PDT 2015 --  hiking in death canyon today sos
Wed Jun 17 19:43:11 PDT 2015 --  "May the God of endurance and encouragement grant you to live in such harmony with one another, in accord with Christ Jesus." Romans 15:5
Tue Jun 16 22:05:57 PDT 2015 --  i thought i didn't like india but europe is not treating friendship very well ever. give me my best friend back pls.
Tue Jun 16 07:38:50 PDT 2015 --  i miss u boo, i wanna c u boo and the s all over the 2nite said the s all over the 2nite https://twitter.com/chickfila/status/610816608957632512 …
Mon Jun 15 22:19:36 PDT 2015 --  i miss CFA but i'm blessed by the food here literally peanut butter icing pic.twitter.com/l0FlBsRL6Q
Mon Jun 15 14:34:16 PDT 2015 --  30 great quotes from Elisabeth Elliot on @Logos This godly woman's life will keep making an impact for generations! http://ow.ly/Omk4y 
Mon Jun 15 14:09:29 PDT 2015 --  also found little sebastian #rip pic.twitter.com/Rcbe5zb8Qu
Mon Jun 15 14:08:35 PDT 2015 --  "You just sounded like Leslie Knope when she gets excited." High praises in JH
Sun Dec 21 06:15:06 PST 2014 --  7 Stages of Grief: 1. Denial 2. Anger 3. Bargaining 4. Depression 5. Acceptance 6. Acceptance Speech 7. Afterparty
Sun Jun 14 23:16:33 PDT 2015 --  update on my celebrity crush: it's now chris pratt. @SteveCarell you'll always be in my heart. now pls let me see jurassic world.
Sun Jun 14 23:09:54 PDT 2015 --  yall the lord answers prayers and vulnerability breeds vulnerability. quote me on it.
Sun Jun 14 20:16:18 PDT 2015 --  naw naw kitties i'm good i could buy another but i probably should not ive got 2 kitties at home and if i buy one they might leave me alone
Sat Jun 13 21:33:27 PDT 2015 --  i love handing out metals and sunshine and public speaking and relaxing and good service and real ice cream and sheep aka today
Sat Jun 13 19:15:24 PDT 2015 --  ate a bison (burger) and i'm AT A RODEO
Sat Jun 13 18:58:15 PDT 2015 --  "are you talking about meyers briggs? don't bring that to the rodeo." @nellaisbae #yojho
Sat Jun 13 07:08:15 PDT 2015 --  if i could do anything again it would hands down be summer 2012. #wwwteam2012
Fri Jun 12 16:01:12 PDT 2015 --  learning that I like organized fun
Fri Jun 12 15:33:43 PDT 2015 --  nothing like team sports to bring people together.
Thu Jun 11 21:52:25 PDT 2015 --  yellowstone + buffalo + old faithful + being a tourist + thai food = check
Thu Jun 11 07:01:42 PDT 2015 --  "Do you have a Yellowstone map?" "I could flutter my boots with that thing." #wyomingisWEIRD
Thu Jun 11 05:42:20 PDT 2015 --  going to yellowstone like a real american
Wed Jun 10 20:45:48 PDT 2015 --  i don't want to want anything more than Jesus.
Wed Jun 10 18:18:05 PDT 2015 --  When ur tryin to run away from temptation pic.twitter.com/Syasxqwxjs
Wed Jun 10 18:16:43 PDT 2015 --  my google alerts actually consist of car accident reports in chick-fil-a drive thrus.
Wed Jun 10 18:12:34 PDT 2015 --  feeling v #blessed cause i only got stuck in the mountain rain and not the mountain hail.
Tue Jun 09 22:11:27 PDT 2015 --  they call me AS out here in Jackson and they always think I'm the mafia. #blessed
Mon Jun 08 21:24:44 PDT 2015 --  i had to ask my best friend for words of affirmation on #NationalBestFriendDay whatever that says
Mon Jun 08 20:22:28 PDT 2015 --  This is everything important. https://twitter.com/maebirdwing/status/608099258961530880 …
Mon Jun 08 09:12:54 PDT 2015 --  Hey @fsucru step your game up pic.twitter.com/420vu1Jl77
Sun Jun 07 22:11:16 PDT 2015 --  lol look at this cat in my hammock #JHSM2015 pic.twitter.com/SLTlFpdOsS
Sat Jun 06 20:20:01 PDT 2015 --  "i really don't think they'd put a book in the bible just to mock a group of people."
Sat Jun 06 18:01:33 PDT 2015 --  heartache https://twitter.com/thelaurengraham/status/607332723716292608 …
Fri Jun 05 23:11:33 PDT 2015 --  confession and vulnerability is a risk, but they are a risk worth taking. super thankful for where the lord has me these next three weeks.
Thu Jun 04 22:07:56 PDT 2015 --  that God is not ashamed to be called my God (Hebrews 11:16) is sobering and uplifting.
Thu Jun 04 21:05:26 PDT 2015 --  everyone played kickball and i pet a kitten. pre-gaming feline friday.
Thu Jun 04 17:00:21 PDT 2015 --  I saved a life today... my own. Am I hero? I can't really say. But yes.
Thu Jun 04 14:42:07 PDT 2015 --  everything is comfort colors and everything hurts.
Thu Jun 04 13:41:14 PDT 2015 --  resisted buying a long sleeve comfort colors tee. where's my award.
Wed Jun 03 22:21:08 PDT 2015 --  "when you love someone you open yourself up to suffering... they are a burden which lifts us, burdens which allow us to fly"
Wed Jun 03 22:06:54 PDT 2015 --  the greatest thing i've ever done for myself was get vulnerable.
Wed Jun 03 17:51:17 PDT 2015 --  "Buddy if you don't stop blocking the trail I'm gonna have to put you in the backpack." #hikingwithchildren #jhsm2015
Tue Jun 02 17:18:29 PDT 2015 --  in denver for about five seconds thinking of @becca_stump
Tue Jun 02 17:17:52 PDT 2015 --  remember when emily and hotch had a counseling session on the jet and emily said she's started a romantic relationship with sergio (her cat)
Tue Jun 02 13:26:34 PDT 2015 --  i'm sorry i don't often find myself on airplanes.
Tue Jun 02 13:26:12 PDT 2015 --  remember there colonial woman on the wing churning butter
Tue Jun 02 13:20:02 PDT 2015 --  remember when booth and bones solved that murder on a plane?
Tue Jun 02 13:19:46 PDT 2015 --  remember when rachel got off the plane? #spoileralert
Tue Jun 02 10:08:11 PDT 2015 --  idk how to airport
Mon Jun 01 17:46:31 PDT 2015 --  now accepting music recommendations for six+ hours on an airplane
Mon Jun 01 15:29:12 PDT 2015 --  it would be weird if I made a john stamos google alert, right?
Mon Jun 01 08:42:37 PDT 2015 --  there is absolutely no good reason why community is not on netflix
Mon Jun 01 05:45:01 PDT 2015 --  As long as Jesus is not my greatest love, I will keep quiet about him in order to serve my greatest love, my idol. http://dsr.gd/1cobPtF 
Sat May 17 19:07:17 PDT 2014 --  if you are lucky enough to find a weirdo never let them go
