Thu Aug 27 12:47:25 PDT 2015 --  "Separation of church and state" is so funny because there literally isn't
Wed Aug 12 03:49:04 PDT 2015 --  Prepping gelatin mold peritonsillar abscesses 4 ENT sim course. The modern femme knitting circle. #ILookLikeASurgeon pic.twitter.com/JDprFYe9La
Tue Aug 11 12:16:48 PDT 2015 --  "Wow, that fits like a glove." OJ: Actually...
Sat Aug 08 14:59:12 PDT 2015 --  This is what a surgeon looks like. Despite the pre-filled operation reports, I am not "Mr". #ILookLikeASurgeon pic.twitter.com/0uXDkVNk8m
Tue Aug 11 17:11:01 PDT 2015 --  Everyone over 18 must be registered to vote automatically so that all Americans can make their voices heard.
Tue Aug 11 17:30:15 PDT 2015 --  Well, if you’re not part of the Solution, then you must be part of the Precipitate.
Tue Aug 11 17:08:37 PDT 2015 --  When u have 31 medical books in your library queue but only 20 days before you go back to college pic.twitter.com/dKgVTDSHXj
Tue Aug 11 06:16:07 PDT 2015 --  Only 22 states have mandated #SexEd programs and even fewer need to be medically accurate http://voc.tv/1NlWo2k  pic.twitter.com/lmn7ndt9DV
Thu Aug 06 19:27:07 PDT 2015 --  Boys get so pissy about girls "false advertising" w makeup but like OK when was the last time a boy said "Netflix & chill" & meant it
Mon Aug 10 21:15:16 PDT 2015 --  doctor: I'm sorry the transfusion went wrong me: so you're saying I have bad blood? doctor: OMG I love that song me and doc; ITS SO SAD
Mon Aug 10 22:14:40 PDT 2015 --  Me as an old person: pic.twitter.com/s7iJtF7SiK
Mon Aug 10 15:15:05 PDT 2015 --  New Zealand publishes shortlist of designs for new flag. Sadly, none of these made the cut http://bbc.in/1MlnsSl  pic.twitter.com/OSOtt54VRf
Mon Aug 10 15:57:16 PDT 2015 --  . @realDonaldTrump is right! We're too politically correct! You can't even do blackface in the privacy of your own public library anymore!
Mon Aug 10 15:56:44 PDT 2015 --  Now that I've made a few adjustments to my browser, I anticipate I'll be enjoying political news a lot more. pic.twitter.com/iQP8j4k9xv
Mon Aug 10 16:08:23 PDT 2015 --  Lana Del Rey as a child pic.twitter.com/M1CFuO8Kgz
Mon Aug 10 16:51:20 PDT 2015 --  Tweeting your drafts is a dangerous dangerous game
Mon Aug 10 07:15:09 PDT 2015 --  a mercorgi pic.twitter.com/gKenA6frKB
Mon Aug 10 16:55:33 PDT 2015 --  pic.twitter.com/UyT39I1FTF
Sun Aug 09 18:16:09 PDT 2015 --  Female friendships only exist so that my awesomeness can be discussed when I'm not around.
Sun Aug 09 18:25:37 PDT 2015 --  Uh ok sorry for taking an interest in our nation's legal system pic.twitter.com/oFK2ZOiQ3J
Sun Aug 09 18:04:07 PDT 2015 --  Donald trump looks like a beige turtle tbh
Thu Aug 06 15:33:34 PDT 2015 --  18% of women don’t choose surgery because of negative attitudes toward women in surgery among the surgical teams http://twitter.com/DrEdFitzgerald/status/623508785315844096 …
Sat Aug 08 21:21:37 PDT 2015 --  WHO MADE THIS!? pic.twitter.com/zOKHHpmw27
Sat Aug 08 10:53:29 PDT 2015 --  #ILookLikeASurgeon is no joke: our study= 68%female #NewDocs say surgery doesn't welcome women http://www.sciencedirect.com/science/article/pii/S0002961012003376 … pic.twitter.com/ZJzp9ranGG
Sun Aug 09 15:06:53 PDT 2015 --  People that have anime avatars and only type in lower case seem nice but I wouldn't want them at my birthday party
Sat Aug 08 12:41:43 PDT 2015 --  Wife: *shouting from the next room* Is the baby at the top of the stairs?! Me: *looks at baby* *baby falls down the stairs* Me: No.
Sun Aug 09 09:06:13 PDT 2015 --  If there's a popular girl at school (who isn't you) she's obviously evil. All attractive women with power are clearly villains.
Sun Aug 09 09:57:17 PDT 2015 --  [naming Winnie the Pooh characters] "Should the tiger's name just be Tiger?" GUY NAMED ROBBERT: I have a better idea
Sat Aug 08 18:08:10 PDT 2015 --  Meet Dr. Susan Pannullo one of 263 female neurosurgeons in the U.S. #ILookLikeASurgeon pic.twitter.com/7JrL3nx8QI
Sat Aug 08 11:56:59 PDT 2015 --  Take away his money & Donald Trump is that guy on the train that you avoid because he's yelling out random shit with his dick in his hand.
Sat Aug 08 08:39:48 PDT 2015 --  #stonewallmovie pic.twitter.com/I877lAJ6pj
Fri Aug 07 16:31:51 PDT 2015 --  “Can you turn down the radio? I have a phone call that’s going to last the entire car ride.” - The worst people alive
Fri Aug 07 11:02:19 PDT 2015 --  [ER] Nurse: we need to prep him from surgery, he'll lose the leg Me [looking at watch, 5mins before my shift ends]: just give him an aspirin
Fri Aug 07 14:10:46 PDT 2015 --  cool & fun prank: paying your workers a living wage
Thu Aug 06 19:27:56 PDT 2015 --  Y'all pro life till the baby is born. Till the baby is black. Till it's a girl. Till the baby is gay or transgender #GOPDebabte
Thu Aug 06 20:37:30 PDT 2015 --  Can't wait to see which Lannister they kill off in the next episode of #GOPDebate
Thu Aug 06 19:26:29 PDT 2015 --  I ReSPECT THE LIVES OF BABIES!!!!! (unless they are born women then fuck their rights lol)
Thu Aug 06 19:28:05 PDT 2015 --  [a tumbleweed rolls by on stage] [a closer look reveals its actually bundles of donald trumps hair]
Thu Aug 06 19:23:17 PDT 2015 --  Thank you everyone for tweeting the Republican debates, I can't even deal with it you are America's heros
Thu Aug 06 19:17:49 PDT 2015 --  American politics is reality TV
Thu Aug 06 19:18:34 PDT 2015 --  reagan is dead like move on u seem desperate...
Thu Aug 06 18:42:46 PDT 2015 --  Fun republican debate drinking game: every time a candidate says a word, take a shot. Let the liquor take your troubles away
Thu Aug 06 18:36:15 PDT 2015 --  Looks more like a turtle Trump Christie Cruz Kasich Carson Walker Paul Huckabee Rubio Bush Looks more like a muppet
Thu Aug 06 18:33:51 PDT 2015 --  TRUMP: my wall will be ten feet tall BUSH: eleven feet TRUMP: fuck RUBIO: part of my wall goes underground TRUMP: holy shit
Thu Aug 06 18:51:01 PDT 2015 --  This won't be a good debate until Donald trump takes out a check book and starts bribing the other candidates
Sat Aug 01 21:40:13 PDT 2015 --  thinking about college / how much I still have to do before move-in pic.twitter.com/gNTGu14dti
Thu Aug 06 19:04:00 PDT 2015 --  I can guarantee Jeb bush has ever met a poor person in his life
Thu Aug 06 19:07:38 PDT 2015 --  It's amazing to me that republicans don't have any idea how social security works
Thu Aug 06 18:57:00 PDT 2015 --  "Sweetie, when boys are mean to you, it just means they like you" *Hillary looks up, wipes away a single tear, and unmutes the GOP Debate*
Thu Aug 06 18:28:22 PDT 2015 --  Donald Trump's views on immigration are based solely on the first 8 minutes of SCARFACE. #GOPDebate
Thu Aug 06 19:13:53 PDT 2015 --  "i've made a lot of money and i'm very proud of it. vote for me" – trump
Thu Aug 06 16:38:55 PDT 2015 --  I don’t need femnmsisms i cannot wait for the Republican debate! i am ready to FINALLY hear what middle aged men think!! so excited
Thu Aug 06 17:00:07 PDT 2015 --  #GOPDebate Bingo. Be prepared. pic.twitter.com/VM1yupztwB
Thu Aug 06 17:18:53 PDT 2015 --  Sometimes I regret switching out of engineering but then i remember that nick is one and he can do my dirty engineering work so it's okay
Thu Aug 06 14:27:24 PDT 2015 --  Girl: "Is that a chicken?" pic.twitter.com/fzB0XXhqTi
Thu Aug 06 14:12:34 PDT 2015 --  #NotMyCandidate @BobbyJindal just said La. has "been the most pro-life state 6 years in a row"—here's what THAT means pic.twitter.com/Jt54EjPaXo
Thu Aug 06 07:57:30 PDT 2015 --  This grandma had the best response to “What are thooooseeee?” http://bzfd.it/1DtcxmE  https://vine.co/v/eX1UDDUTxwe 
Thu Aug 06 11:17:53 PDT 2015 --  Wouldn't it be crazy if there was some sort of system for us to elect someone we actually wanted to be in office?
Tue Aug 04 16:41:55 PDT 2015 --  ARE YOU READY FOR SOME MALE OPINIONS ABOUT WOMEN'S HEALTH?!?!? #GOPDebate pic.twitter.com/USw3LixQq0
Wed Aug 05 21:45:12 PDT 2015 --  Dang girl are you the old lady from Up because I haven't even been here 5 minutes and you're already gone.
Wed Aug 05 09:23:12 PDT 2015 --  John Lennon is stuck in purgatory and Yoko knows how to get him out but can only communicate to him via twitter pic.twitter.com/ofad6Kr4AV
Wed Aug 05 11:36:00 PDT 2015 --  Wonder Woman doesn't play pic.twitter.com/kHGsDJ8vpF
Tue Jul 28 12:47:44 PDT 2015 --  WOMAN: I do not want to have sex with you MAN: Women are so mysterious
Wed Aug 05 11:44:59 PDT 2015 --  Me: Hieroglyphs were the original emojis but the pharaoh ruled them too dank & banned them from Egypt. Tour Guide: *just nodding his head*
Wed Aug 05 10:14:10 PDT 2015 --  High school students: Summer is over.. College students: Are you sure I can't move in two weeks early?
Wed Aug 05 10:57:30 PDT 2015 --  . @JebBush brags about defunding PP in Florida while he was governor. Today, Florida is tied for LAST place in women’s health. Good job, Jeb!
Wed Aug 05 13:50:47 PDT 2015 --  . @JebBush: The $ you took from PP for birth control & repro health went to abstinence-only. #ThatsNotHealthcare https://twitter.com/JebBush/status/628692507761733632 …
Wed Aug 05 14:34:38 PDT 2015 --  This pie chart perfectly sums it up. Thanks, @annfriedman. #StandWithPP pic.twitter.com/6CE4ORT0VN
Wed Aug 05 14:38:15 PDT 2015 --  Typical Republican narrative: You're working 3 jobs & still can't get ahead? You must not be working hard enough, you should work some more.
Tue Aug 04 18:31:21 PDT 2015 --  Reading a wicked good book on sex. No, it is not pornography. (Bonk by Mary Roach)
Tue Aug 04 11:09:00 PDT 2015 --  Yes, Republicans are outraged now. But they used to support fetal tissue research. http://wpo.st/OaXT0  pic.twitter.com/s5iJGYis69
Tue Aug 04 14:17:25 PDT 2015 --  . @JebBush: You are absolutely, unequivocally wrong. https://twitter.com/SabrinaSiddiqui/status/628662331254378496 …
Tue Aug 04 14:31:44 PDT 2015 --  Shout out to all the forgotten tennis balls, hangin' from strings in garages and stuck to the bottom of old folks' walkers and whatnot.
Tue Aug 04 14:51:09 PDT 2015 --  We actually need a heck of a lot more than $3 per person for women's health care, @JebBush. https://twitter.com/WaPoSean/status/628661956052938753 …
Tue Aug 04 16:44:17 PDT 2015 --  I can't believe Obama turns 2,015 years old today
Tue Aug 04 16:45:53 PDT 2015 --  If you are planning on lying face down, intoxicated, unconscious, in the sun, all day, apply SPF #50 sunscreen liberally in the morning.
Sun Aug 02 17:38:13 PDT 2015 --  Robber: give me all your money Me: [struggling to pull my cash out of my velcro wallet] Robber: forget it, your life seems rough as it is
Sun Aug 02 17:25:05 PDT 2015 --  Every veteran who defends this nation must get the quality health care and benefits they have earned and receive the respect they deserve.
Sun Aug 02 16:30:30 PDT 2015 --  After my nineteen years of living i have now realized that you are supposed to take the plastic part off pic.twitter.com/heiLxJDG3H
Sun Aug 02 16:40:06 PDT 2015 --  After Koalas, Australian animals seem to come in only three varieties: those who want to eat you, inject venom in you, or hop
Sun Aug 02 16:15:27 PDT 2015 --  (Naked and Afraid, Season 3 Episode 4, Minute 0:49) her: please. we need food and water me: haha boobies
Sun Aug 02 16:22:42 PDT 2015 --  Ok meninists no one said you couldn't in the first place unlike women who are told they can't do things dumb asses pic.twitter.com/hMkq81yCTj
Sat Mar 21 14:32:46 PDT 2015 --  [soldiers from each side line up to shake hands] "good war" "good war" "good war" "good war" "good war"
Sat Aug 01 15:51:58 PDT 2015 --  I hate people who post pictures like this...we get it, your parents are cousins pic.twitter.com/Lz8YMJPJqH
Sun Aug 02 10:42:27 PDT 2015 --  When you realize you don't wanna be racist no more. pic.twitter.com/F0rLhe9ckm
Tue Jul 28 11:48:01 PDT 2015 --  Free scoops are coming! Free scoops are coming! Tell everyone, Boston - one if by land, two if by tweet! pic.twitter.com/8BgSfDlgTw
Sun Aug 02 14:13:57 PDT 2015 --  This is goals. This is a scowl worthy of viktor Krum https://twitter.com/jasongay/status/627927979977535488 …
Sun Aug 02 13:50:48 PDT 2015 --  If I'm your best friend's older brother, we should definitely sneak around and lie about our relationship rather than being honest with her.
Sat Aug 01 19:12:44 PDT 2015 --  My fantasy world population is 68% nobility, 8% scholars, 12% assassins, 2% long-lost heirs & 10% farmers. Solid economic system right there
Sat Aug 01 18:40:17 PDT 2015 --  We can spend hours outside, picnicking, listening to music, talking about our many feelings, and never once get bitten by a mosquito.
Fri Jul 31 20:12:21 PDT 2015 --  this !!!! is !!!!! important !!!!!!!!!! pic.twitter.com/m03tJJUBhX
Sat Aug 01 08:50:08 PDT 2015 --  Health care is a right, not a privilege.
Sat Aug 01 11:06:46 PDT 2015 --  I don't owe you pic.twitter.com/PnwBebpifl
Sat Aug 01 17:36:10 PDT 2015 --  So men have evolved to receive better pay, rape women and blame their outfits, and restrict birth control? Smh https://twitter.com/MeninistTweet/status/627544451821408258 …
Sat Aug 01 11:30:40 PDT 2015 --  The #GOP knows that #LaTEENos are totally #HIPspanic!
Sat Aug 01 12:42:04 PDT 2015 --  Cecil The Lion's brother, Jericho, was also illegally killed by hunters. A Zimbabwe official says "we have stopped naming our lions"
Fri Jul 31 19:40:03 PDT 2015 --  It's amazing how many prophecies involve teens. You'd think they'd pick more emotionally stable people, with more free time. Like grandmas.
Fri Jul 31 19:57:09 PDT 2015 --  when some rebel tweets a cuss word pic.twitter.com/MVrGmtaPiW
Fri Jul 31 20:04:32 PDT 2015 --  Wife: there's a blue moon tonight! Me: looks gold to me Wife: it's blue! Me: looks gold dammit! [throws beer bottle against the wall]
Wed Jul 29 19:07:49 PDT 2015 --  Kid writes on blackboard "I love dogs" Teacher: "No Timmy, remember -- in cursive" Kid scrubs board, writes "I goddam love frickin' dogs!"
Fri Jul 31 15:45:06 PDT 2015 --  I don’t need feimem what do women want???? They are so confusing!! To be ‘treated like humans’???? What can that possibly mean?? Confused
Tue Jul 28 20:05:02 PDT 2015 --  bae: come over me: i have a meeting in the morning bae: ok me: thank u for respecting my responsibilities
Thu Jul 30 11:53:34 PDT 2015 --  Facts about planned parenthood. pic.twitter.com/FzAfixkgMR
Thu Jul 30 11:23:12 PDT 2015 --  I still can't over the fact that at BU/public libraries I CAN CHECK OUT AS MANY BOOKS AS I WANT THIS IS THE AMERICAN DREAM
Thu Jul 30 11:15:17 PDT 2015 --  The happiest day of my life won't be when I take my husbands name (bc it will never happen) but when I get to put "Dr." In front of it
Thu Jul 30 10:25:48 PDT 2015 --  I find myself looking at people's blogs of what dorm life is REALLY like...then I remember I'm a sophomore and I already know????
Tue Jul 28 18:06:42 PDT 2015 --  4 out of 5 dentists agree that shooting lions is terrible for the long term health of your practice
Thu Jul 30 08:57:55 PDT 2015 --  No matter how much education I receive, I will always (mentally) pronounce "pneumonia" as puh-new-mon-eyah
Thu Jul 30 08:55:19 PDT 2015 --  Okay with female deers & drops of golden sun. But always felt that "La" deserved a better identity than "a note to follow So”
Thu Jul 30 08:35:13 PDT 2015 --  If the war of 1812 overture doesn't make you want to pick up a rifle and wave the American flag around are you even an American
Thu Jul 30 08:34:04 PDT 2015 --  My family thinks it's funny to show me /buy me minion propaganda and honestly it's a hate crime. I am not a victim but a survivor
Thu Jul 30 08:32:54 PDT 2015 --  I've always wanted to go to comic con dressed as a skyrim player. Guys I've given up on being cool as long as I'm successful who cares
Thu Jul 30 08:31:49 PDT 2015 --  Learned how to care for diabetics yesterday, so unless you pop a child out/die of weather I gotchu fam
Thu Jul 30 08:22:55 PDT 2015 --  For your most intense Twitter beef pic.twitter.com/cqxp5xME9V
Thu Jul 30 05:26:06 PDT 2015 --  Mood pic.twitter.com/IbbIfhL5cW
Thu Jul 30 07:47:36 PDT 2015 --  BERNIE SANDERS HE'S OUR MAN. IF HE CAN'T DO IT I'm moving to Denmark and enjoying all the good stuff America lacks
Thu Jul 30 07:23:46 PDT 2015 --  When I hear politicians like Jeb Bush talking about phasing out Medicare, that ain't gonna happen. We're not going back. #Medicare4All
Thu Jul 30 04:39:21 PDT 2015 --  I'm starting a task force to end minion memes once and for all
Thu Jul 30 03:49:17 PDT 2015 --  I bet this chick also "only hangs with guys because it's less drama" smh not all women give birth chill https://twitter.com/ChildhoodRuiner/status/626457403903602688 …
Wed Jul 29 20:02:05 PDT 2015 --  . @Maura_Healey says Planned Parenthood is "fully compliant" with law after conducting review requested by lawmaker http://bos.gl/8ORTiPC 
Wed Jul 29 17:02:49 PDT 2015 --  Seriously, I've never felt refreshed after a long day at the beach, only tired and warm. That plus alcohol can't be good for you
Wed Jul 29 17:02:13 PDT 2015 --  People who heavily drink at the beach: why do u not love yourself you are asking for Satan's hangover rehydrate for the love of jesus repent
Wed Jul 29 15:42:10 PDT 2015 --  A big problem with heaven is that animals with short lifespans will be over-represented. One nice 80 y/o lady + 80 summers of mosquitos.
Wed Jul 29 08:30:09 PDT 2015 --  As a woman, I'm often referred to as Nurse instead of Doctor. My response, "I'm not nice enough to be a Nurse" https://twitter.com/medicalaxioms/status/626397456226332672 …
Tue Jul 28 18:00:48 PDT 2015 --  “You’re disgusting,” Trump told a lawyer when she said she had to take a break to pump breast milk for her newborn. http://www.nytimes.com/2015/07/29/us/politics/depositions-show-donald-trump-as-quick-to-exaggerate-and-insult.html?smid=tw-share …
Wed Jul 29 09:33:26 PDT 2015 --  Relationship At Point Where Woman Has To Learn Boyfriend’s Family’s Weird Card Games http://onion.com/1SgM16F  pic.twitter.com/I7kHsVl82b
Wed Jul 29 11:51:17 PDT 2015 --  My abs are perfectly sculpted and I have the emotional intelligence of wet clay.
Wed Jul 29 10:26:04 PDT 2015 --  Bernie Sanders: GOP efforts to defund Planned Parenthood are "an attack on women's health" http://huff.to/1U6S8YF  pic.twitter.com/ot1YuytefV
Wed Jul 29 15:03:31 PDT 2015 --  I attend an exclusive, all-male boarding school. My family is incredibly wealthy. Yet, I'm sensitive, understanding, and kind. Deep, right?
Tue Jul 28 11:30:10 PDT 2015 --  Black women experience a significant wage gap across occupations. #BlackWomenEqualPay http://rhrc.us/1DM3DLA  pic.twitter.com/AcSxRi4R9c
Wed Jul 29 04:30:15 PDT 2015 --  This is literally the coolest thing ever omg https://twitter.com/BBCWorld/status/626339727352930305 …
Wed Jul 29 03:48:40 PDT 2015 --  listen I know it's gonna be hot today but pls don't go to the beach pls just don't thnx
Mon Jul 27 19:46:43 PDT 2015 --  FIRST PERSON TO TRY A PINEAPPLE: I think I’m gonna eat this weapon.
Mon Nov 03 17:24:42 PST 2014 --  Soup is for when you're too sad to chew
Tue Jul 28 15:52:48 PDT 2015 --  Everyone meets their soulmate in high school. It is law.
Tue Jul 28 15:46:55 PDT 2015 --  Okay people hard-core judge gatsby for not wanting to clean toilets to pay for college and I 100% agree with him. fight me on it
Tue Jul 28 14:56:20 PDT 2015 --  Boston Pulls Bid For 2024 Olympics http://onion.com/1IqM9d7  #WhatDoYouThink? pic.twitter.com/PBIl8Wvusk
Mon Jul 27 15:01:56 PDT 2015 --  IS THIS LIKE THE ART HO VERSION I LOVE IT https://vine.co/v/enx7ZWtWPOj 
Fri Jun 05 18:41:33 PDT 2015 --  This is so important. pic.twitter.com/3ntOxehsTJ
Tue Jul 28 02:23:41 PDT 2015 --  pic.twitter.com/2i0BP2wq88
Tue Jul 28 10:18:55 PDT 2015 --  Okay is new Hampshire even a real state how can Donald trump be leading the polls did his toupe mate with a cow and their children voted
Sun Jul 26 10:39:57 PDT 2015 --  So I found a frog and I liked him and then he attacked me pic.twitter.com/p7stk0ELFU
Tue Jul 28 05:18:47 PDT 2015 --  "We should defund Planned Parenthood" said Sarah Palin, the true expert on sex education.
Tue Jul 28 06:36:41 PDT 2015 --  Lowkey gonna pretend that I didn't eat my weight in arroz caldo, saltine crackers, and cookies yesterday.
Mon Jul 27 22:19:06 PDT 2015 --  Bae: comb over Donald Trump: you better believe it Bae: my parents aren't home Donald Trump: yeah I fired them they're homeless lol
Tue Jul 28 02:29:08 PDT 2015 --  The country where disabled people are beaten and chained http://bbc.in/1D86686  pic.twitter.com/JdaU3KoKBg
