Sat Aug 29 07:44:36 PDT 2015 --  Ministering in dance two times today... It's gonna be a long day for me, please pray for me.
Wed Jun 10 18:34:23 PDT 2015 --  I just want to meet someone worth my time and effort
Tue Jun 09 20:29:17 PDT 2015 --  I wish I didn't care. I really wish I didn't.
Tue Jun 09 21:43:32 PDT 2015 --  I need to go see that San Andreas movie asap
Tue Jun 09 17:44:56 PDT 2015 --  After they talk about you... just kill em with kindness and you'll have them confused
Mon Jun 08 20:00:52 PDT 2015 --  Don't hurt me . I'm fragile
Mon Jun 08 21:58:15 PDT 2015 --  I don't understand why guys like to call females or they girl a b*tch and what I don't understand most is females accept it. Smh!
Mon Jun 08 20:42:00 PDT 2015 --  Everything happens for a reason.
Mon Jun 08 19:55:03 PDT 2015 --  Crazy how the people you're suppose to be the closest to will treat you like they don't even know you. That girl got problems and I'm done.
Sun Jun 07 00:31:23 PDT 2015 --  Always have confidence in yourself https://instagram.com/p/3np3K6oWjP/ 
Sat Jun 06 22:04:08 PDT 2015 --  I wanna go out right now .
Sat Jun 06 16:56:48 PDT 2015 --  Man I wish I had at least one real friend
Mon Jun 01 14:12:50 PDT 2015 --  Too much idol worship & idle time in "ministry" via social media...
Sun May 31 20:55:04 PDT 2015 --  The enemy will do everything he can to keep you from where God has for you to be....
Sat May 30 18:58:08 PDT 2015 --  Will be ministering in dance two times tomorrow... keep me in your prayers y'all, thank you!
Sat May 30 17:12:56 PDT 2015 --  Yep. Church attendance will suffer but the invisible church will grow. https://twitter.com/cdp0126/status/604699506232426496 …
Fri May 29 16:39:50 PDT 2015 --  I just want someone I can depend on.
Fri May 29 16:38:41 PDT 2015 --  5/28/15 Yesterday at the Nakaoka Community Center... I am made in the images of God pic.twitter.com/0dRdVe8GYm
Thu May 28 07:50:49 PDT 2015 --  Yea I'm good now love https://twitter.com/chosendancer4jc/status/603885984049197057 …
Wed May 27 20:23:58 PDT 2015 --  All of my help comes from you my Savior Yessss Geoffrey Golden new single is off the chain.. All Of My Help!
Wed May 27 19:30:49 PDT 2015 --  She doesn't want alot.. Just someone to depend on.
Mon May 25 22:46:33 PDT 2015 --  🏽 https://twitter.com/trizzetrell/status/603074134604533760 …
Sun May 24 13:27:15 PDT 2015 --  Dance Ministry is what I do all for God's Glory It has been 7 years since I started #TheChosenOneDanceMinistry pic.twitter.com/uvhwQ9bPoP
Tue May 19 13:11:41 PDT 2015 --  Everybody showed up and showed out last night at Andre Brown's Send Off Musical. Y'all did that to all who was on program!
Tue May 12 12:38:05 PDT 2015 --  Don't ever think that everyone who leaves wants to
Mon May 11 16:51:09 PDT 2015 --  Sometimes I hate that I have a big heart..... Sometimes I wish I could be as cold as some of the rest of you....
Mon May 11 10:14:20 PDT 2015 --  If she aint never seen one of these she too young fam pic.twitter.com/le7YUO22ep
Thu May 07 22:14:31 PDT 2015 --  I want Chipotle Chips tho! That sounds bomb right about now
Wed May 06 10:06:47 PDT 2015 --  If you know a guy is in a relationship/married and you are alone constantly talking to him daily.. You are totally out of order!!! Stop it
Tue May 05 09:06:12 PDT 2015 --  All I need pic.twitter.com/1ipadK33Qd
Sun May 03 13:43:48 PDT 2015 --  I'm one of the chilliest, most laid back ppl there is so it takes a special kind of person to get me upset lol smh
Fri May 01 16:26:37 PDT 2015 --  So people wanna ignore me? K. That's cool
Fri May 01 13:13:57 PDT 2015 --  I'm done being used and taken advantage of by people. I'm always there for people no matter what and they always do me any kind of way smh..
Tue Apr 28 11:35:21 PDT 2015 --  God, you have to fix this situation before I lose it.
Tue Apr 28 01:02:08 PDT 2015 --  Hurting emotionally, words can't even describe this feeling... Goodnight, that's all I can say
