Sat Aug 29 05:00:22 PDT 2015 --  YAHOOOOO!!TUMAAS NANAMAN SA WW TRENDS!!!SO POWERFUL ALDUBNATION! #ALDUBMaiDenHeaven
Sat Aug 29 04:06:59 PDT 2015 --  #ALDUBMaiDenHeaven Tweets hit 2.63 Million, less than 400,000 tweets to go. PUSH http://www.fashionpulis.com/2015/08/tweet-scoop-aldubmaidenheaven-tweets.html?m=1 …
Sat Aug 29 04:55:33 PDT 2015 --  POOL PARTY PA MORE!!THIS IS AMAZING!! #ALDUBMaiDenHeaven
Sat Aug 29 04:45:53 PDT 2015 --  Isipin nyo sila magkaroon ng role ang TVJ kalaban nila ang CALLES ANGELS Hahahaha @EatBulaga @allanklownz @AngPoetNyo #ALDUBMaiDenHeaven
Sat Aug 29 04:45:12 PDT 2015 --  Kudos to @EatBulaga for the Bernardo's, rogelios n cuandos unique and orig! @AngPoetNyo @allanklownz @rodriguezruby #ALDUBMaiDenHeaven
Sat Aug 29 04:46:17 PDT 2015 --  KAPAG NAKA THREE MILLION NA TAYO,FOFOLLOW AKO NG 100!!BOOM!GO ALDUBNATION!! #ALDUBMaiDenHeaven
Sat Aug 29 04:38:24 PDT 2015 --  PAG NAKATATLONG MILLION TAYO IPAPAKILALA KO NA ANG MGA BOYFRIENDS KO. #ALDUBMaiDenHeaven
Sat Aug 29 04:45:39 PDT 2015 --  ALDUB IS TRULY MADE FROM HEAVEN! #ALDUBMaiDenHeaven
Sat Aug 29 04:45:05 PDT 2015 --  si @allanklownz lang yata ang hinihintay para tamang oanahin na hehehe :) #ALDUBMaiDenHeaven
Sat Aug 29 04:45:25 PDT 2015 --  MALAPIT NA TAYO GUYS!WAAAAAH!!NAEEXCITE AKO! #ALDUBMaiDenHeaven
Sat Aug 29 04:40:44 PDT 2015 --  TWO POINT SEVENTY FOUR MILLION TWEETS!!! SHEMBOT PA MORE!!! #ALDUBMaiDenHeaven
Sat Aug 29 04:45:03 PDT 2015 --  Now Playing: GOD GAVE ME YOU (FEMALE VERSION) ALDUB!!!!!! kagagawan niyo to eh :'( <3 #ALDUBMaiDenHeaven
Sat Aug 29 04:42:36 PDT 2015 --  @allanklownz Hanggang tenga Yong ngiti Ku siguro if tamang panahon na' #ALDUBMaiDenHeaven
Sat Aug 29 04:42:35 PDT 2015 --  Aiming for THREE MILLION :) da BAE-st tlga ALDUB NATION xD RT, QUOTE, FAV and SPREAD <3 #ALDUBMaiDenHeaven pic.twitter.com/COIHVSUGCh
Sat Aug 29 04:44:31 PDT 2015 --  SINONG NAG AANTAY NG EDITED EPISODE NG KALYESERYE?RETWEET NA THIS!GO ALDUB FAMILY!! #ALDUBMaiDenHeaven
Sat Aug 29 04:42:31 PDT 2015 --  Haahahah europe tour sya ganda pa ng lugar napuntahan nya hhaha enjoy madam @allanklownz #ALDUBMaiDenHeaven https://twitter.com/ellen_balilla/status/637590916795080704 …
Sat Aug 29 04:42:27 PDT 2015 --  what if ang @AngPoetNyo ang gaganap na isa pang kapatid ng mga Dora @EatBulaga @rodriguezruby #ALDUBMaiDenHeaven @allanklownz
Sat Aug 29 04:42:27 PDT 2015 --  @allanklownz miss na namin ang makulit mong tawa, side comments, and of course ang iyong cute na ilong. Come back home! #ALDUBMaiDenHeaven
Sat Aug 29 04:43:44 PDT 2015 --  TWO POINT SEVETY FIVE MILLION NA GUYS!TWO HUNDRED FIFTY THOUSAND NALANG!!GRABE NA ITO! #ALDUBMaiDenHeaven
Sat Aug 29 04:42:24 PDT 2015 --  @allanklownz cguradp yan..baka mas matindi pa ang kilig moments.. #ALDUBMaiDenHeaven
Sat Aug 29 04:42:25 PDT 2015 --  @ftheyanah0630 @AngPoetNyo @allanklownz @EatBulaga @MalouChoaFagar Go for 3 million tweets #ALDUBMaiDenHeaven
Sat Aug 29 04:42:59 PDT 2015 --  WALANG TITIGIL ALDUBNATION!PARA SA FOREVER NI MAINE AT ALDEN!! #ALDUBMaiDenHeaven
Sat Aug 29 04:42:23 PDT 2015 --  @nieljusay11 @allanklownz @EatBulaga @aldenrichards02 @mainedcm @AngPoetNyo konting konti n lng andun n tayo #ALDUBMaiDenHeaven
Sat Aug 29 04:38:46 PDT 2015 --  BIGLA KO TALAGANG NAFEEL ANG ALDUB SPIRIT!ANG POWERFUL TALAGA! #ALDUBMaiDenHeaven
Sat Aug 29 04:36:44 PDT 2015 --  GANYAN NILA AKO KA MAHAL. AYAW NILA AKONG MAPAGOD. @THEBERNARDOS #ALDUBMaiDenHeaven pic.twitter.com/ls6wqrxg41
Sat Aug 29 04:36:54 PDT 2015 --  Naamoy ko na ang langhap three million guys keep on pushing for our beloved @mainedcm @aldenrichards02 #ALDUBMaiDenHeaven
Sat Aug 29 04:37:58 PDT 2015 --  KONTING KONTI NALANG TALAGA! #ALDUBMaiDenHeaven
Sat Aug 29 04:36:45 PDT 2015 --  Good Evening! #ALDUBMaiDenHeaven
Sat Aug 29 04:37:40 PDT 2015 --  PUSH PA NATIN TO ALDUBNATION! #ALDUBMaiDenHeaven
Sat Aug 29 04:37:12 PDT 2015 --  CLOSER AND CLOSER! #ALDUBMaiDenHeaven
Sat Aug 29 04:32:57 PDT 2015 --  Hinahanap nko ng asawa ko! Loooool umuwi na daw ako! #ALDUBMaiDenHeaven https://twitter.com/ilovealdub/status/637588382109974530 …
Sat Aug 29 04:35:57 PDT 2015 --  LET'S MAKE HISTORY ALDUBNATION!!GO GO GO!!WALANG SUSUKO! #ALDUBMaiDenHeaven
Sat Aug 29 04:34:11 PDT 2015 --  @AkoSiLolaNidora @ALDUBPILIPINAS @ILoveAlDub @AldubFans break natin 3million #ALDUBMaiDenHeaven
Sat Aug 29 04:33:20 PDT 2015 --  @AkoSiLolaNidora aldub lng pala pra sa kagaya kong alang paki dati sa tweeter at fb omg! #ALDUBMaiDenHeaven
Sat Aug 29 04:33:02 PDT 2015 --  @AkoSiLolaNidora Beast mode pa more lola! #ALDUBMaiDenHeaven
Sat Aug 29 04:35:31 PDT 2015 --  Can I borrow a kiss? I promise I'll give it back. ;) #ALDUBMaiDenHeaven
Sat Aug 29 04:35:01 PDT 2015 --  KONTI NALANG!SISIW NALANG YAN!ALDUB SPIRIT PA MORE! #ALDUBMaiDenHeaven
Sat Aug 29 04:32:05 PDT 2015 --  @AkoSiLolaNidora Me and my Classmate Lola we love you so much *pabebe wave* #ALDUBMaiDenHeaven pic.twitter.com/SrXJWOQIDR
Sat Aug 29 04:34:44 PDT 2015 --  THIS IS SO CLOSE!WALANG BIBITAW ALDUBNATION!POWERFUL!! #ALDUBMaiDenHeaven
Sat Aug 29 04:34:38 PDT 2015 --  The Crowd @ Marquee Mall #ALDUBMaiDenHeaven pic.twitter.com/J2nC9IJCPx
Sat Aug 29 04:34:32 PDT 2015 --  Guys create new tweets rather than retweeting . Much better ! Thanks ! #ALDUBMaiDenHeaven
Sat Aug 29 04:32:02 PDT 2015 --  @AkoSiLolaNidora Lapit na. Go lang tayo ng go . #ALDUBMaiDenHeaven
Sat Aug 29 04:31:00 PDT 2015 --  Tweet. Quote tweet. Retweet. With our OHT. AdminJN #ALDUBMaiDenHeaven
Sat Aug 29 04:28:20 PDT 2015 --  GUYS!MAGKAISA AT KAMITIN ANG INAASAM NATING THREE MILLION TWEETS!GO ALDUB NATIONS!! #ALDUBMaiDenHeaven
Sat Aug 29 04:26:21 PDT 2015 --  Sisters. I, passionate for ALDUB, she, an admin frm KATHNIEL.Only positive wrds for each tandem. E #ALDUBMaiDenHeaven pic.twitter.com/VMKmTyMelT
Sat Aug 29 04:27:29 PDT 2015 --  Can you guess what I am wearing? It's the smile you gave me. #ALDUBMaiDenHeaven
Sat Aug 29 04:26:17 PDT 2015 --  Si Manong Ibon Talaga Ayy , Pa Epal Sinumpa mo siguro ang HTs namin pag 7pm na :( #ALDUBMaiDenHeaven
Sat Aug 29 04:25:58 PDT 2015 --  TWO POINT SEVEN NA PO!WAG NG PAPABAYAAN!CLOSE TO THREE MILLION NA PO!! #ALDUBMaiDenHeaven pic.twitter.com/8IK1UFyRYR
Sat Aug 29 04:25:05 PDT 2015 --  ABANGAN SINO NGA BA SA KANILA ANG PANG APAT NA SIS NAMIN #ALDUBMaiDenHeaven pic.twitter.com/Q5ZLI8DNbS
Sat Aug 29 03:59:51 PDT 2015 --  2.63M TWEETS NA WOW! GRABE. DAMANG DAMA KO NA YUNG 3M TWEETS WALANG NG MAKAKAPIGIL Whooooa #ALDUBMaiDenHeaven pic.twitter.com/80qF22e2rH
Sat Aug 29 04:24:08 PDT 2015 --  Worried ako sayo. You look sad. Parang kailangan mo ata ng Vitamin Me. #ALDUBMaiDenHeaven
Sat Aug 29 04:17:45 PDT 2015 --  Grabe!Ano to?ALDEN FEVER? PUNONG PUNO UNG MALL AS IN PUNO TALAGA!NANDITO DAW SI BAE CTO: @jeyklm18 #ALDUBMaiDenHeaven pic.twitter.com/y1z66faKID
Sat Aug 29 04:22:58 PDT 2015 --  IG UPDATE (ctto) Abangan! Bukas sa Sunday Pinasaya @aldenrichards02 #ALDUBMaiDenHeaven pic.twitter.com/pGe7eD8JdT
Sat Aug 29 03:24:44 PDT 2015 --  REPORT AND BLOCK THIS ACCOUNT --> @TheAlDubNation ALDUB HATER YAN POSING AS A FAN! Pls spread to everyone. #ALDUBMaiDenHeaven
Sat Aug 29 03:26:48 PDT 2015 --  GERRY MORALES ALAM NAMING IKAW NA NAMAN ADMIN NIYAN @TheAlDubNation LAPIT KA NANG BUMENGGA SAMIN. TIGILAN MO NA PANINIRA #ALDUBMaiDenHeaven
Sat Aug 29 03:19:21 PDT 2015 --  Nangangamoy 3M na..! Push lng ng push! Aldub You #ALDUBMaiDenHeaven https://twitter.com/SastreBarbara/status/637569196734312448 …
Sat Aug 29 03:19:08 PDT 2015 --  Wooooooo! 2.5M pa more! #ALDUBMaiDenHeaven https://twitter.com/SastreBarbara/status/637569196734312448 …
Sat Aug 29 03:30:29 PDT 2015 --  On the way na daw si 3M, nagpagasolina lang sa may kanto. #ALDUBMaiDenHeaven
Sat Aug 29 03:46:36 PDT 2015 --  Pakibasa thanks @DrealLaitera #ALDUBMaiDenHeaven pic.twitter.com/XrlrRkxWGk
Sat Aug 29 04:22:01 PDT 2015 --  SECOND PARIN PO WW! #ALDUBMaiDenHeaven https://twitter.com/botalonchristi2/status/637585693963784192 …
Sat Aug 29 04:21:52 PDT 2015 --  IG UPDATE (ctto) Rehearsals Sunday Pinasaya @aldenrichards02 #ALDUBMaiDenHeaven pic.twitter.com/UsMiCzKZ0K
Sat Aug 29 03:47:59 PDT 2015 --  Nagpalit lang siya ng username pero same account #ALDUBMaiDenHeaven https://twitter.com/ar_esjey/status/637577172639592448 …
Sat Aug 29 04:21:44 PDT 2015 --  You know, you're a 9 out of 10. And I am the 1 you need. #ALDUBMaiDenHeaven (may mga nakaka-tip ba? Hahaha)
Sat Aug 29 04:17:42 PDT 2015 --  FRESH TWEETS ALDUBNATION! #ALDUBMaiDenHeaven
Sat Aug 29 04:18:07 PDT 2015 --  YUNG NAGPAPATREND KASI SA ISANG HASHTAG AY ANG FRESH TWEETS.YUNG RT PARA SA COUNT LANG YUN! #ALDUBMaiDenHeaven
Sat Aug 29 04:18:21 PDT 2015 --  FRESH TWEETS PA MORE ALDUBNATION!! #ALDUBMaiDenHeaven
Sat Aug 29 04:12:28 PDT 2015 --  “ @AkoSiLolaNidora: PUSH POWER TWEET PARA MAKABALIK SA TRENDING #ALDUBMaiDenHeaven” leggo!
Sat Aug 29 04:12:48 PDT 2015 --  @AkoSiLolaNidora nasa second spot pa po tayo sa worldwide... #ALDUBMaiDenHeaven pic.twitter.com/LEOHUX4MeQ
Sat Aug 29 04:18:40 PDT 2015 --  SECOND PARIN TAYO WORLDWIDE!! #ALDUBMaiDenHeaven
Sat Aug 29 04:16:20 PDT 2015 --  @AkoSiLolaNidora pls motivate me either RT or FAV. I'm ready for beast mode! Push that button LOLA! #ALDUBMaiDenHeaven
Sat Aug 29 04:16:39 PDT 2015 --  @AkoSiLolaNidora eto na po babalik na kmi hahaha the best ka talaga lola #ALDUBMaiDenHeaven
Sat Aug 29 04:19:15 PDT 2015 --  Can I be the one to tie your shoes? Because I don't want you to fall for anyone else. #ALDUBMaiDenHeaven Banat pa more!
Sat Aug 29 03:25:00 PDT 2015 --  UPDATE: Two point FIVE Three!!!! SIGE LANG TWEET LANG MAY MGA HINDI PANG NABIBILANG SI IBON! #ALDUBMaiDenHeaven
Sat Aug 29 03:23:55 PDT 2015 --  You've got me Wrapped Up, around your finger, I'll do anything for your love now! Push! #ALDUBMaiDenHeaven
Sat Aug 29 03:23:34 PDT 2015 --  Laughtrip din tlga tong pepito manaloto e!! Hahaha #ALDUBMaiDenHeaven
Sat Aug 29 03:23:16 PDT 2015 --  CONGRATS NABEAT NA NATIN ANG TWO POINT FIVE MILLION LAST WEEK, GO FOR THREE MILLION #ALDUBMaiDenHeaven
Sat Aug 29 03:22:10 PDT 2015 --  Pati sila La Tenorio, Tom Rodriguez at Charice inaabangan din ang aldub! Haha iba na ito! #ALDUBMaiDenHeaven pic.twitter.com/9xKaCg1ePZ
Sat Aug 29 03:21:55 PDT 2015 --  Ano kayang reaction ni @mainedcm kung nag TOPLESS si bae @aldenrichards02 kanina ? Hahaha #ALDUBMaiDenHeaven
Sat Aug 29 03:08:17 PDT 2015 --  Grabe ang crowd! Jam pack! @ALDENatics @AlDubarkads @AlDubStory @ALDUBKnights @AlDub_PH #ALDUBMaiDenHeaven pic.twitter.com/kIrpFDEGxd
Sat Aug 29 03:13:44 PDT 2015 --  Beast Mode na! #ALDUBMaiDenHeaven
Sat Aug 29 03:20:53 PDT 2015 --  We're surpassing our record! Tuloy tuloy lang. You guys want three M? Push! #ALDUBMaiDenHeaven pic.twitter.com/8NqH65Jq6q
Sat Aug 29 03:20:18 PDT 2015 --  FOUR HUNDRED SEVENTY THOUSAND NA LANG BAGO MAG THREE MILLION, MAAGA PA KAYA ALAM KO KAYA NATIN TOH #ALDUBMaiDenHeaven
Sat Aug 29 03:18:43 PDT 2015 --  FOLLOW NA ANG EX KONG SI @DonFraning , PS DI NA KAMI #ALDUBMaiDenHeaven
Sat Aug 29 02:31:04 PDT 2015 --  Alden, nagawa ang bagong hamon ni Lola,pero bigo pa ring makita si Yaya Dub #ALDUBMaiDenHeaven http://gmane.ws/1KiKPvC  pic.twitter.com/mdy3SnuYaz
Sat Aug 29 02:31:02 PDT 2015 --  Pls be advised that the OFFICIAL ACCOUNT OF MAINENATICS is this @MAINEnatics_OFC. Salamuch!! ONE LOVE FOR MAINE.
Sat Aug 29 02:28:33 PDT 2015 --  BAKIT KAMI UMAABOT SA KAGANITONG KARAMING TWEETS? Una, May BAYANIHAN Pangalawa, Wala sa isip nmn magkipagkumpetensya. #ALDUBMaiDenHeaven
Sat Aug 29 00:48:40 PDT 2015 --  He that can have patience can have what he will. -Benjamin Franklin @aldenrichards02 @mainedcm #ALDUBMaiDenHeaven
Sat Aug 29 00:49:12 PDT 2015 --  Love is understanding someone, caring for him, sharing his joys and sorrows. #ALDUBMaiDenHeaven
Sat Aug 29 00:49:16 PDT 2015 --  Every episode @aldenrichards02 sets the bar higher for every suitor you'll have. Effort + timing = Tamang panahon soon. #ALDUBMaiDenHeaven
Sat Aug 29 00:49:19 PDT 2015 --  joke of the century hahaha #ALDUBMaiDenHeaven https://twitter.com/AkoSiLolaNidora/status/637516892769419264 …
Sat Aug 29 00:49:22 PDT 2015 --  ANGGGG CUUTTTEEE #ALDUBMaiDenHeaven https://twitter.com/r_faulkerson/status/637532352474972160 …
Sat Aug 29 00:49:26 PDT 2015 --  NAKU ALDEN YUNG LAING BAKIT MAS MARAMI PA SILI KESA SA GULAY #ALDUBMaiDenHeaven
Sat Aug 29 00:49:50 PDT 2015 --  Go for the gold! #ALDUBMaiDenHeaven
Sat Aug 29 00:51:05 PDT 2015 --  Ms. @aubreycarampel is looking for Kuya! Any info of his whereabouts is extremely appreciated! :) #ALDUBMaiDenHeaven pic.twitter.com/wgqlD1PPkw
Sat Aug 29 00:51:07 PDT 2015 --  Break the record to show appreciation for today's episode and for @aldenrichards02 nag-uumapaw na effort. #ALDUBMaiDenHeaven
Sat Aug 29 00:51:30 PDT 2015 --  POOL PARTY party starts 6:00PM with OFFICIAL HASHTAG #ALDUBMaiDenHeaven pic.twitter.com/cNMVe2nRpw
Sat Aug 29 00:51:34 PDT 2015 --  Hulaan nyo kung sino to?? Haha #ALDUBMaiDenHeaven pic.twitter.com/julRKyz9cm
Sat Aug 29 00:43:43 PDT 2015 --  si @AkoSiLolaNidora me surpresa daw pra ke YayaDub sa lunes?! eto tayo eh!!! wag paasang hopia!!! hahaha @allanklownz #ALDUBMaiDenHeaven
Sat Aug 29 00:48:08 PDT 2015 --  "Sa pag-ibig walang malalim na dagat, sa pag-ibig walang malayong landas." Lola NiDora #ALDUBMaiDenHeaven
Sat Aug 29 00:43:07 PDT 2015 --  Thank God talag at binuksan yung generator kina lola lina at nakapanood ng kalyeserye. @allanklownz @AngPoetNyo #ALDUBMaiDenHeaven
Sat Aug 29 00:43:04 PDT 2015 --  @allanklownz Tama. Isali ang AlDub Nation sa isang task. Mag-ipon ng maraming plastic bottles para sa silya sa schools #ALDUBMaiDenHeaven
Sat Aug 29 00:47:24 PDT 2015 --  PUSH PA NATIN TO ALDUBNATION!PARA SA TUNAY NA PAG IBIG!! #ALDUBMaiDenHeaven
Sat Aug 29 00:43:01 PDT 2015 --  Kay nga Eat Bulaga diba. SURPRISE SURPRISE HAHAHA @allanklownz @AngPoetNyo @EatBulaga #ALDUBMaiDenHeaven https://twitter.com/itsmerjane/status/637530118919876609 …
Sat Aug 29 00:33:52 PDT 2015 --  @aldubCIAteam @ALDUBPILIPINAS @AngPoetNyo @allanklownz @EatBulaga yup tama k kaya iba to iba tlga fans ng aldub/maiden #ALDUBMaiDenHeaven
Thu Aug 27 03:45:19 PDT 2015 --  Keep calm and believe in the plans of the Lord. 🏻
Sat Aug 29 00:37:07 PDT 2015 --  Kung sino po ang nakakilala kay KUYA na may TATTOO ni MAINE. Pls tweet Ms. @aubreycarampel! :) #ALDUBMaiDenHeaven https://twitter.com/aubreycarampel/status/637493500938813440 …
Sat Aug 29 00:36:57 PDT 2015 --  Iniipon ni bae ang 51M 500 para sa diary kaya kailangan kumayod. #ALDUBMaiDenHeaven
Sat Aug 29 00:36:57 PDT 2015 --  Thats my bae GrandWinner @Medrano_Kenneth #ALDUBMaiDenHeaven pic.twitter.com/yVQiLyG33T
Sat Aug 29 00:33:48 PDT 2015 --  Yun pagkikita ni @aldenrichards02 at @mainedcm parang pagtama s Lotto, Hnd mo alam kung KELAN! @EatBulaga @allanklownz #ALDUBMaiDenHeaven
Sat Aug 29 00:35:59 PDT 2015 --  Sana wag maHOPIA bukas. #ALDUBMaiDenHeaven
Sat Aug 29 00:29:58 PDT 2015 --  HI HATERS! PINAPASIKAT NIYO LALO ANG ALDUB KAYA MARAMING MARAMING SALAMAT! love you #ALDUBMaiDenHeaven
Sat Aug 29 00:23:16 PDT 2015 --  Yes please! #ALDUBMaiDenHeaven https://twitter.com/seryeanalyst/status/637525156785577984 …
Sat Aug 29 00:33:32 PDT 2015 --  Salamat @EatBulaga napasaya niyo nanaman kami @aldenrichards02 @mainedcm @allanklownz @AngPoetNyo @pochoy29 #ALDUBMaiDenHeaven
Sat Aug 29 00:35:08 PDT 2015 --  Sino pupunta dyan mamaya sa mall show ni ALDEN? #ALDUBMaiDenHeaven
Sat Aug 29 00:34:24 PDT 2015 --  Two point one M #ALDUBMaiDenHeaven pic.twitter.com/RP0ztV8YvV
Sat Aug 29 00:34:14 PDT 2015 --  RT Para sa ALDUB #ALDUBMaiDenHeaven
Sat Aug 29 00:33:49 PDT 2015 --  Sa mga taga PAMPANGA nako gora na may MALL SHOW SI papi bae @aldenrichards02 dyan mamayang 7PM! #ALDUBMaiDenHeaven
Sat Aug 29 00:16:10 PDT 2015 --  congats! @Medrano_Kenneth Thats My Bae GrandWinner ! #ALDUBMaiDenHeaven pic.twitter.com/Rir5T3dHp7
Sat Aug 29 00:30:44 PDT 2015 --  Lahat gagawin ni BAE! @AlDub_LoveTeam @AlDubNationOFCL @aldubnationph @mainedcm @aldenrichards02 #ALDUBMaiDenHeaven pic.twitter.com/wDXHgno6Lt
Fri Aug 28 22:05:00 PDT 2015 --  @AkoSiLolaNidora lalo ako ginanahan sa pagtweet..haha #ALDUBMaiDenHeaven
Sat Aug 29 00:30:56 PDT 2015 --  @raveski2015 @ALDUB_FEVER gosh ! 2.11m tweets na po ! #ALDUBMaiDenHeaven
Fri Aug 28 19:22:10 PDT 2015 --  Bye bye! - Meng Hahaha ang cute! #ALDUBMaiDenHeaven (ctto) pic.twitter.com/i4xhTC9uHz
Fri Aug 28 21:37:29 PDT 2015 --  1.25 million tweets, 7th spot worldwide. Make it to the top guys! #ALDUBMaiDenHeaven
Fri Aug 28 18:20:50 PDT 2015 --  Grand Finals na! Support natin lahat sila lalo na si bae @Medrano_Kenneth #ALDUBMaiDenHeaven @EatBulaga pic.twitter.com/LxfvpIGyjZ
Fri Aug 28 18:21:00 PDT 2015 --  AGREE! #ALDUBMaiDenHeaven https://twitter.com/AlDub_Supporter/status/637430704834375680 …
Fri Aug 28 18:21:14 PDT 2015 --  One milion po before Eat Bulaga po :-) #ALDUBMaiDenHeaven https://twitter.com/reezabells/status/637433983345623040 …
Fri Aug 28 14:46:45 PDT 2015 --  proud #ALDUBMaiDenHeaven https://twitter.com/lorelie23/status/637380522398851072 …
Fri Aug 28 14:47:29 PDT 2015 --  We can build this dream together #ALDUBMaiDenHeaven
Fri Aug 28 14:47:44 PDT 2015 --  Morning DUB #ALDUBMaiDenHeaven https://twitter.com/OFCALDUBDUBAI/status/637379977546063872 …
Fri Aug 28 14:47:44 PDT 2015 --  GOOD MORNING CEBU. GOOD NEWS FOR EVERYONE! @aldenrichards02 @EatBulaga #ALDUBMaiDenHeaven https://m.youtube.com/watch?feature=youtu.be&v=q1OphQFnPeM … pic.twitter.com/DUlvlAnjqM
Fri Aug 28 14:47:57 PDT 2015 --  Thee hundred eighty K total tweets ! Admin DG #ALDUBMaiDenHeaven
Fri Aug 28 14:48:01 PDT 2015 --  You can't rush something if you want it to last FOREVER. Sa tamang panahon #ALDUBMaidenHeaven
Fri Aug 28 14:49:02 PDT 2015 --  Goodmorning. Please spread our HT for today. Powertweet po tau guys. #ALDUBMaiDenHeaven
Fri Aug 28 14:49:22 PDT 2015 --  No pressure for the tweet goals just let it be. Okay para sa PABEBE PA MORE #ALDUBMaiDenHeaven
Fri Aug 28 14:50:52 PDT 2015 --  Update: 381K tweets as of this moment. #ALDUBMaiDenHeaven pic.twitter.com/MSLoudXMrV
Fri Aug 28 14:51:13 PDT 2015 --  The real power of a man is in the size of the smile of the woman watching him. #ALDUBMaiDenHeaven
Fri Aug 28 14:53:13 PDT 2015 --  Never give up! Great things take time! #ALDUBMaiDenHeaven
Fri Aug 28 14:54:22 PDT 2015 --  Top spot nationwide as of six am . Admin DG #ALDUBMaiDenHeaven
Fri Aug 28 14:55:13 PDT 2015 --  Good morning AlDub nation! #ALDUBMaiDenHeaven
Fri Aug 28 14:55:34 PDT 2015 --  Graveyard shift po sa work mom ko, first thing she does when she gets home is watch Aldub. Stress reliever niya daw po #ALDUBMaiDenHeaven
Fri Aug 28 14:55:55 PDT 2015 --  "Anyone can say 'I Love You' but not everyone can wait and prove it's true." -Enough said. #ALDUBMaiDenHeaven
Fri Aug 28 14:59:06 PDT 2015 --  GOODMORNING! WHOOO I LOVE THE HASH TAG! :) KEEP TWEETING, DON'T USE NUMBERS AND EMOJIs. SPREAD! #ALDUBMaiDenHeaven
Fri Aug 28 14:59:36 PDT 2015 --  'Bcoz im happy.TWEET along if u feel what HAPPINESS is to you.' #ALDUBMaiDenHeaven -c
