Thu Aug 27 20:15:14 PDT 2015 --  🏻
Fri Aug 14 21:08:32 PDT 2015 --  Essa banda Phoenix é muito boa
Fri Aug 14 20:51:46 PDT 2015 --  Eu devo tá devendo uns 20 anos pra dona morte https://twitter.com/VoceNaoSabiaQ/status/632378717541543936 …
Fri Aug 14 20:33:28 PDT 2015 --  O que é válido já que um dos integrantes dos Strokes é brasileiro
Fri Aug 14 20:32:22 PDT 2015 --  Lendo o título da música parece de banda nacional ou portuguesa
Fri Aug 14 20:31:14 PDT 2015 --  Nunca mais chego perto de ervilhas https://twitter.com/VoceNaoSabiaQ/status/632393824413741057 …
Fri Aug 14 20:30:07 PDT 2015 --  Música do The Strokes
Fri Aug 14 20:28:30 PDT 2015 --  Barely Legal
Fri Aug 14 20:11:12 PDT 2015 --  Só faltava o cachorrinho
Fri Aug 14 20:10:42 PDT 2015 --  Não sei pq,mas já vi gente terminar relacionamentos por causa desse déficit de atenção
Fri Aug 14 20:03:56 PDT 2015 --  Mais um vácuo diário
Fri Aug 14 19:55:55 PDT 2015 --  Acho que a gaby ficou puta comigo hahahahaha
Fri Aug 14 19:51:19 PDT 2015 --  Hoje foi uma lástima de dia, mas sempre estou bem
Fri Aug 14 18:16:51 PDT 2015 --  Ah, tanto faz, que o que não foi, não é.
Fri Aug 14 15:54:27 PDT 2015 --  Esse Tweet reflete o meu dia https://twitter.com/desimpedidos/status/632319850480861184 …
Fri Aug 14 14:43:06 PDT 2015 --  #AVFC 0-1 #MUFC Januzaj marks his return to the Man Utd line-up with the winner at Villa Park: http://bit.ly/AVL--MUN  pic.twitter.com/Ns0C2kGZOl
Fri Aug 14 14:23:38 PDT 2015 --  "Snap Out of It" com essa linda revendo as fotos do EX! Quem nunca, não é mesmo? #SofrênciaNoMTVHits
Fri Aug 14 13:33:23 PDT 2015 --  @Leonardo4Martin Bolões Premier League e Futebol Europeu no http://reidopalpite.com  valendo camisas oficiais participe é 100% grátis
Fri Aug 14 10:15:42 PDT 2015 --  Preciso perder essa preguiça de ler
Fri Aug 14 10:04:57 PDT 2015 --  Caralho,tenho uns amigos que vão ficar imortal então hahahaha https://twitter.com/VoceNaoSabiaQ/status/632235408936407040 …
Fri Aug 14 10:01:06 PDT 2015 --  Alguém pode me dizer como anda Oak Island o maior mistério do mundo? #Mystery #OakIsland
Fri Aug 14 09:48:13 PDT 2015 --  Stone Sour Live in North Carolina 2014 - Photo by Richard Thigpen #fbf pic.twitter.com/bQhfxqyhD9
Fri Aug 14 09:47:26 PDT 2015 --  Capcom,Naughty Dog e Eletronic Arts são as empresas que mais admiro
Fri Aug 14 09:19:17 PDT 2015 --  Full House!
Fri Aug 14 08:28:11 PDT 2015 --  Luanel Messi + Luciano Ronaldo = Vamo ganhar o ouro, a prata, o bronze e se marcar nois rouba a tocha olímpica
Fri Aug 14 06:13:28 PDT 2015 --  Saudades desse Maromba viado hahahahaha
Fri Aug 14 06:13:01 PDT 2015 --  Porra falei com Jefferson no grupo
Thu Aug 13 20:58:47 PDT 2015 --  Acho que por causa dela assistir uns 4 episódios de RBD
Thu Aug 13 20:57:56 PDT 2015 --  A @DulceMaria é muito linda!
