Sat Aug 29 10:00:04 PDT 2015 --  Ce moment triste quand tu reviens à ta vie ordinaire, après avoir vu un film génial.
Thu Aug 20 04:00:18 PDT 2015 --  C'est incroyable comme une personne peut changer ton humeur en une seconde.
Thu Aug 20 03:00:19 PDT 2015 --  90% des gens envoient par texto des messages qu'ils n'auraient jamais osé dire en vrai à la personne concernée.
Wed Aug 19 12:00:17 PDT 2015 --  C'est drôle comment un texto de cette personne peut changer votre humeur complètement.
Fri Aug 14 10:21:03 PDT 2015 --  Trop de gens regarde le problème au lieu de regarder la solution
Wed Aug 19 10:00:27 PDT 2015 --  Ma mémoire est bizarre. Je me rappelle de tous ce que je voulais oublier, et j'oublies tous ce que j'avais besoin de me rappeler.
Tue Aug 18 12:00:22 PDT 2015 --  Tu ne me manque pas, c'est la personne que je pensais que t'étais qui me manque.
Tue Aug 18 11:01:56 PDT 2015 --  No rules. No regulations. No restrictions. Our World of Games  #RealMoto Show will air this Saturday on ABC! pic.twitter.com/YmujWOgVYw
Tue Aug 18 11:00:26 PDT 2015 --  En amitié comme en amour, je préfère la qualité a la quantité.
Tue Jul 07 15:57:39 PDT 2015 --  Vos "avions de chasse" sans maquillage elles font un crash aérien
Mon Aug 17 09:00:07 PDT 2015 --  Nous avons tous un ami dont le rire est toujours plus drôle que ses blagues.
Mon Aug 17 11:00:10 PDT 2015 --  Arrêtez de parler de vos problèmes aux autres. 20% s'en foutent et 80% sont heureux que vous les ayez..
Mon Aug 17 11:00:13 PDT 2015 --  Les filles qui draguent plein de mecs, qui disent "bb", "je t'aime" et "mon coeur" à tous les mecs allez vous pendre ou étouffez vous.
Sat Jul 11 11:30:02 PDT 2015 --  On peut pas avoir la conscience tranquille dans ce monde.
Fri Jul 31 03:29:42 PDT 2015 --  C'est chiant quand t'es le seul à voir le vrai visage d'une personne et que les autres sont aveugles
Tue Jul 28 12:09:04 PDT 2015 --  Dans ma misérable vie, j'aimerai tellement faire un road-trip. pic.twitter.com/icXS3QV0vw
Thu Aug 06 13:17:08 PDT 2015 --  En vrais je suis tellement presser d'avoir ma petite vie, poser dans mon appartement, ma copine qui vie chez moi, un bon travail
Sat Aug 15 07:16:11 PDT 2015 --  Lire un SMS, y répondre mentalement, et oublier de vraiment répondre.
Sun Aug 16 03:00:21 PDT 2015 --  Je dois arrêter de penser à toi, Parce que je sais que toi tu ne penses pas à moi.
Sun Aug 16 10:56:33 PDT 2015 --  La liberté c'est de vivre la vie que l'on souhaite.
Sun Aug 16 11:00:18 PDT 2015 --  On vit dans un Monde où il y a marqué "Mangez 5 fruits et légumes par jour" en bas de la PUB pour le McDo.
Sun Aug 16 11:58:55 PDT 2015 --  Tuer quelqu'un ne veux pas seulement dire lui faire du mal physiquement. Vous pouvez aussi tuer une personne avec un simple adieu.
Sun Aug 16 12:00:27 PDT 2015 --  Je comprend pas les gens qui prennent en photo leur bouche, leur menton ou même qui se prennent a l'envers.
Sun Aug 16 12:00:20 PDT 2015 --  Lire le même message 10 fois et ne pas savoir quoi répondre...
