Tue Aug 18 13:16:25 PDT 2015 --  Finally!!!!! Oh wait, no wayyy!! Januzaj???? Wtf is Rooney still doing on????
Sat Jan 17 08:17:04 PST 2015 --  BREAKING NEWS: LvG still stupid.
Sat Jan 17 08:16:00 PST 2015 --  Falcao needs to prove himself ... with SHIT service ... SHIT formation ... SHIT play time. Well LvG ... middle finger for you.
Mon Jan 12 12:38:29 PST 2015 --  “ @BeardedGenius: Ravel Morrison to Lazio? The boy will end up with a knife in his arse before May.”
Mon Jan 12 12:02:15 PST 2015 --  You know envy when you see one. pic.twitter.com/ZVSXqOVJX7
Mon Jan 12 11:34:35 PST 2015 --  JayZ voice "numbers don't lie check d score board, TOM FORD" Ronaldo won by a huge margin. So y'all just kip quiet #BallondOr
Mon Jan 12 11:22:08 PST 2015 --  Numbers don,t lie FOH with your luckily " @galacticoHD: CR7 wins luckily. Ronaldo 37.66% Messi 15.76% Neuer 15.72%"
Thu Jan 08 12:54:48 PST 2015 --  Welcome @1victorvaldes to the Theatre Of Dreams #mufc
Wed Jan 07 12:19:56 PST 2015 --  Ronaldo makes more money from Nike annually than all of the Nike factory workers in Malaysia combined.
Wed Jan 07 12:56:43 PST 2015 --  Sometimes we don't realise how much we need God, until we get caught up real life issues.
Wed Jan 07 12:55:14 PST 2015 --  #NP Hoizer - Take Me To Church
Wed Jan 07 12:11:00 PST 2015 --  When a player from one team follows another team social media acct, He's planning to move. #TransferSpeculations
Wed Jan 07 09:45:13 PST 2015 --  My 23mb wasn't a waste. #NP @BankyW - Mercy. #VeryInspiring #dope #MercyMusicFilm
Sun Jan 04 12:36:17 PST 2015 --  Hahaha. Moyes is King. Real sociedad leads @FCBarcelona by a goal to nil #MUFC #MoyesIsKing
Sun Jan 04 12:16:19 PST 2015 --  Today's sermon was the TRUEST. God bless Pastor Kehinde. Those words were punchlines. #1stSunday2015
Sun Jan 04 11:38:00 PST 2015 --  Been watching that @AnderHerrera goal like....WTF??? How did score that? #MUFC
Sun Jan 04 09:21:50 PST 2015 --  That Pass from Rooney, Breathtaking! My Lord
Sun Jan 04 09:20:11 PST 2015 --  Goooooaaaalllll Angel Di Maria returns with a GOAL!
Sun Jan 04 08:20:19 PST 2015 --  HT| Yeovil 0-0 United: well that was what we expected... like I said, we always like to make fixtures seem more difficult than they are.
Sun Jan 04 08:25:40 PST 2015 --  Isn't it shameful we cld not get a goal in 45mins against a 2nd division team. #MUFC #mufclive
Fri Jan 02 11:07:40 PST 2015 --  Rolling pic.twitter.com/SqRXAKDAHN
Fri Jan 02 06:01:40 PST 2015 --  Main motivation for 2015 is to have a fatter one of these ..... pic.twitter.com/l1gybWNNlW
Thu Jan 01 06:21:28 PST 2015 --  Young has been in form in d last couple of months, n Van Gaal made sure he was used till he turnd rag. Nw he's injured. #mufc #mufclive
Thu Jan 01 05:46:07 PST 2015 --  u think Louis Van Gaal is @ManUtd coach? United has got millions of coaches in here, tweeting tactics and formations #mufc #mufclive
Thu Jan 01 05:36:54 PST 2015 --  “ @kennagq: We need Herrera. The passiveness of our midfield is worrisome . push Rooney up. Take mata off. Herrera in CM”
Thu Jan 01 05:41:55 PST 2015 --  Sometimes u wish every football player could control the ball like Dimitar Berbatov. #mufc #mufclive
Thu Jan 01 05:21:09 PST 2015 --  Stoke city is one fuckin stubborn team. Like WTF??? #mufc #mufclive
Thu Jan 01 04:09:45 PST 2015 --  Stoke VS @ManUtd. Let's begin 2015 with 3points. #mufc #mufclive
Wed Dec 31 15:15:57 PST 2014 --  Happy New Year #2015
Mon Dec 29 11:35:48 PST 2014 --  If I were Alan Pardew ama just respect myself nd leave. Few months ago lame fans wanted him sacked, now they r singin his name. Gloryhunters
Mon Dec 29 11:23:29 PST 2014 --  Where on this planet is Macklemore and Ryan Lewis. This guys can't just come around, steal a grammy and walk away. No, no, no. #TheHeist
Mon Dec 29 11:17:16 PST 2014 --  If any1 out here is using Benin-Ore Expressway to campaign for GEJ, y'all need 2 av ur head examined. That road is still shit. #GMB2015
Sun Dec 28 23:36:22 PST 2014 --  You also have people jumping on a social media trend like #FreeTheNipple thinking that they are taking a stand. That's not nearly the issue
Mon Dec 29 00:20:39 PST 2014 --  I had to wait for someone to tell me today was monday. I totally forgot the weekdays existed, like evryday is d weekend.
Sun Dec 28 05:27:44 PST 2014 --  Mata is the only player on this pitch. #mufc #mufclive
Sun Dec 28 04:43:06 PST 2014 --  Lol...lloris determined to give us a taste of our own medicine today.
Sun Dec 28 04:45:50 PST 2014 --  Hugo Lloris is on beast mode #mufc
Sun Dec 28 04:40:05 PST 2014 --  Van Persie!!! #mufc
Sun Dec 28 04:28:55 PST 2014 --  I just hope the referee doesn't ruin this match #mufc #mufclive
Sun Dec 28 04:27:13 PST 2014 --  This match has got my intestine tied. #mufc #mufclive
Sun Dec 28 03:42:45 PST 2014 --  Never ever allow your past alter your present cos it can harm your future.
Sun Dec 28 03:44:25 PST 2014 --  Let's go united!. 3points all d way. #mufclive #mufc
Sat Dec 27 04:03:50 PST 2014 --  Special s/o to all my praise cliq; @ednutty01 @liza_is_me taio taiwo kenny demola tolu samuel, God bless u plenty. #TwaleNightSeason2
Fri Dec 26 15:37:55 PST 2014 --  Last week, Van Gaal said @FALCAO. depends on his teammates to perform, but that was not d case today. #MUFC
Fri Dec 26 01:02:30 PST 2014 --  I got my Mayweather on. U don't wanna box with me. #BoxingDay
