Sat Aug 29 05:31:58 PDT 2015 --  Why did I go out last night knowing I had to be up at 6 to go mtn biking.
Thu Aug 13 13:37:24 PDT 2015 --  The home buying process is not easy! Every home interested in is gone before I can schedule a viewing!
Wed Aug 12 13:08:55 PDT 2015 --  "I'm gonna position you into the official WRASTLING starting position..." #WTF #SouthPark pic.twitter.com/lu1BaiCjV4
Tue Aug 11 12:08:03 PDT 2015 --  I really thought I was in good shape until I realized I'm always the last one to finish the workout at crossfit
Mon Aug 10 18:20:17 PDT 2015 --  Nothing in your life has happened by accident. It’s divinely orchestrated as a part of the plan to make you and mold you.
Mon Aug 10 14:30:11 PDT 2015 --  “CARTMAN!!!! DERRRRR!!” #SouthPark #UpTheDownSteroid pic.twitter.com/RLYydFRkIr
Sat Aug 08 11:09:04 PDT 2015 --  Have to miss work because of my stupid swollen eye. So frustrated right now.
Fri Aug 07 16:12:23 PDT 2015 --  #BREAKING - Aurora #TheaterTrial jury sentences gunman to life in prison without the possibility of parole. pic.twitter.com/rfHzAuVn2G
Fri Aug 07 12:36:54 PDT 2015 --  Just had lunch with my uncle, always a good time.
Fri Aug 07 11:30:24 PDT 2015 --  I have a stye in my left eye and it's swollen. My little brother tells me to wear an eye patch lol. I'll just wear my sunglasses.
Fri Aug 07 10:21:34 PDT 2015 --  You like to put fishsticks in your mouth? pic.twitter.com/QE3WZmMIMV
Wed Aug 05 16:23:22 PDT 2015 --  Rockies walk-off! Michael McKenry hits a 2-run HR in bottom of the 11th to lift Colorado over Mariners, 7-5. C. Gonzalez: 2-5, HR, 3 RBI
Tue Aug 04 22:14:43 PDT 2015 --  Got to meet the mayor of Denver today during a meet and greet at work! He's a cool dude!
Tue Aug 04 14:22:18 PDT 2015 --  THIS JUST IN: Floyd Mayweather announces he will face Andre Berto on September 12 at MGM Grand in Las Vegas. pic.twitter.com/ASgpTn3Kqu
Tue Aug 04 12:48:50 PDT 2015 --  Watch Cartman crap out his mouth in the classic “Red Hot Catholic Love”: http://cart.mn/Crap_Mouth  pic.twitter.com/oakylYuB00
Tue Aug 04 12:40:47 PDT 2015 --  Have an appointment with my mortgage banker and real estate agent on Thursday and it'll be time to start looking at homes. Is this real?
Mon Aug 03 12:19:28 PDT 2015 --  When everyone finishes the crossfit workout out and you're the last one to finish, everybody cheers you on lol.
Mon Aug 03 10:13:25 PDT 2015 --  “Chipotlaway makes your underwear clean, and ready for more!” #SouthPark pic.twitter.com/AOSnj8B9tN
Sun Aug 02 10:30:06 PDT 2015 --  DR. LOUT: How’s my little piggy today? CARTMAN: AY!!! Don’t call me a little piggy! pic.twitter.com/awrlwUa6lC
Fri Jul 31 21:33:16 PDT 2015 --  Well ran into a rattle snake on our way back down mtn biking lol. Ratllers are crazy!!!!
Fri Jul 31 13:47:13 PDT 2015 --  Wow, got pre qualified for a home mortgage. The mortgage broker said I can start looking for a place of my own!
Fri Jul 31 10:39:23 PDT 2015 --  I have a feeling I'm going to throw up at crossfit today! I shouldn't have ate.
Thu Jul 30 22:48:12 PDT 2015 --  I need to do some mountain biking tomorrow!
Thu Jul 30 21:10:16 PDT 2015 --  Wish my friends wanted bdubs. I'm starving!
Thu Jul 30 20:48:04 PDT 2015 --  I think I'm ready for deep sea fishing!
Thu Jul 30 20:27:35 PDT 2015 --  Finally! Caught a fish!!
Tue Jul 28 13:52:40 PDT 2015 --  10hr shift.. Finally, it's my Friday!!! I've had 1 day off in the last 11 days!
Tue Jul 28 13:38:27 PDT 2015 --  “Yes, my mommy told me that this is where I could find some Sea Men.” #SouthPark #SeaMen pic.twitter.com/9df4wFmPr4
Tue Jul 28 12:32:55 PDT 2015 --  Back to doing CrossFit! Good work out!
Tue Jul 28 00:00:44 PDT 2015 --  Cockroach in the ear! That's a first lol.
Mon Jul 27 20:34:03 PDT 2015 --  Beautiful view from Lift 4. 60 days till snowmaking! pic.twitter.com/INHLBF7ERp
Fri Jul 24 20:46:56 PDT 2015 --  #WALKOFF! #ROXWIN! pic.twitter.com/sw89sslcMr
Fri Jul 24 13:30:46 PDT 2015 --  I just listened to the white tee song and it brought me back to the good old days lol. I'm going to go put on a white tee
Tue Jul 21 11:40:02 PDT 2015 --  YEAH! I’M FAT AND I'M PISSED!! #SouthPark pic.twitter.com/sJDC6bE6ub
