Fri Aug 28 19:57:20 PDT 2015 --  pic.twitter.com/GFMg4iSsWC
Tue Aug 18 03:18:47 PDT 2015 --  Listen to C.r.e.a.m. 2015 by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/c-r-e-a-m-2015 …
Tue Aug 18 03:07:47 PDT 2015 --  Listen to Impressive freestyle by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/impressive-freestyle …
Tue Aug 18 02:58:28 PDT 2015 --  Listen to 730 Lou - This is for og's by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/730-lou-this-is-for-ogs …
Tue Aug 18 02:33:33 PDT 2015 --  We recommend checking out hAzey People http://www.reverbnation.com/q/62qmru 
Tue Aug 18 02:18:33 PDT 2015 --  Posted a new photo: http://www.reverbnation.com/q/62qm96 
Tue Aug 18 02:17:10 PDT 2015 --  Posted a new photo: http://www.reverbnation.com/q/62qm69 
Tue Aug 18 02:16:17 PDT 2015 --  Posted a new photo: http://www.reverbnation.com/q/62qm4g 
Tue Aug 18 02:02:07 PDT 2015 --  Posted a new song: "Sleepin" http://www.reverbnation.com/q/62qlhc  #music
Tue Aug 18 00:34:09 PDT 2015 --  We recommend checking out Impressive http://www.reverbnation.com/q/62qh0y 
Tue Aug 18 00:21:49 PDT 2015 --  http://Soundcloud.com/730Lou 
Mon Aug 17 19:03:13 PDT 2015 --  We're dropping @therealstylesp's video for his "Energy" Remix tomorrow at 10:00 AM (EST)! Here's a sneak peek pic.twitter.com/wnevz64QUH
Mon Aug 17 16:27:40 PDT 2015 --  Sometimes you got to shave the hair down near the frank n beans man ! The after workout hairy beans smell ain't even cool for your boo !
Mon Aug 17 16:21:42 PDT 2015 --  I would love to make many many magnificent films -and reap the benefits of the films. Just throwing it out there to the universe!how bout u?
Mon Aug 17 16:20:06 PDT 2015 --  Im From A Place Where we all wanted to be rappers And Drug Dealers... Brooklyn,East Ny!!!
Mon Aug 17 16:15:34 PDT 2015 --  iTunes http://flyt.it/StylesP  Spotify:                 http://flyt.it/StylesPsptfy  Google Play:        http://flyt.it/StylesPGplay  NEW ALBUM FAM!!
Mon Aug 17 16:10:46 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin 
Mon Aug 17 16:06:11 PDT 2015 --  Sun moon money plugs hammers bombs drugs knives speakers all those elements are in the album so it kinda worked hahahah
Mon Aug 17 15:57:33 PDT 2015 --  iTunes http://flyt.it/StylesP  Spotify:                 http://flyt.it/StylesPsptfy  Google Play:        http://flyt.it/StylesPGplay 
Mon Aug 17 15:41:14 PDT 2015 --  I'm to cocky for the opps
Mon Aug 17 15:41:01 PDT 2015 --  I'm to cocky for the cops
Mon Aug 17 15:42:07 PDT 2015 --  iTunes http://flyt.it/StylesP  Spotify:                 http://flyt.it/StylesPsptfy  Google Play:        http://flyt.it/StylesPGplay  Ok we Gucci !!!
Mon Aug 17 15:04:08 PDT 2015 --  The misuse of the tear face emojis really gets to me . Shit don't even be funny most of time when people use it ..
Sun Aug 16 19:49:51 PDT 2015 --  You in the music business always keep 12 songs in the cut .. Especially if you are an independent artist...
Sun Aug 16 19:22:48 PDT 2015 --  The black woman is the backbone of the black man and the babies are watching remember that....
Sun Aug 16 19:18:52 PDT 2015 --  Shit be hurting my soul watching some of the sisters on these reality shows . Don't let em tamper with your soul or your class sisters..
Sun Aug 16 16:21:21 PDT 2015 --  If you light up seven times play http://flyt.it/StylesP . Back to back to back and stare in the mirror for 3 minutes you will see something
Sun Aug 16 11:14:22 PDT 2015 --  Never thought I would be a big time fruit dealer ... Hahahahhaha
Tue Aug 04 09:17:55 PDT 2015 --  Just met a rapper named 2BIG SMH HES BIGGIE AND PAC AT THE SAME DAMN TIME...WE NEED A COMMITTEE WE NEED RULES I QUIT
Sat Aug 15 21:40:22 PDT 2015 --  #StraightOutta pic.twitter.com/OgS9DmcTlj
Sat Aug 15 21:10:46 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin  i remember whendjsusedtocheckfor arecordnowtheywant acheckforarecord
Sat Aug 15 16:49:38 PDT 2015 --  Just seen my ole neighbor/homie he walked by doubled back N said I would offer but I smell your stash he is as white doctor .. Haha
Sat Aug 15 17:43:27 PDT 2015 --  https://youtu.be/vEOe3KVa1vU 
Sat Aug 15 17:20:30 PDT 2015 --  Listen to Illegal Life by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/illegal-life … @noreaga
Sat Aug 15 17:20:00 PDT 2015 --  Listen to Illegal Life by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/illegal-life …
Sat Aug 15 17:13:18 PDT 2015 --  Listen to The 4Th Day by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/the-4th-day …
Sat Aug 15 13:18:22 PDT 2015 --  White people get ashy too but they call it chafe..
Sat Aug 15 12:56:59 PDT 2015 --  I said fuk October and dropped yesterday !!!! GO GET MY SHIT MY NIGGA.. #neighborhoodgoon voice http://flyt.it/StylesP 
Sat Aug 15 12:58:22 PDT 2015 --  Sometimes u gotta say fuk lotion and go out ashy when it's too hot
Fri Aug 14 21:55:15 PDT 2015 --  https://youtu.be/PmuVXe7GdP8 
Fri Aug 14 21:19:52 PDT 2015 --  https://youtu.be/rMlEh0LYV6A 
Fri Aug 14 21:19:24 PDT 2015 --  https://youtu.be/3zBeoWItkA4 
Fri Aug 14 17:30:47 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin  @DJ_Mellow_D
Fri Aug 14 17:12:59 PDT 2015 --  Listen to P dolla - Extremely Wealthy by SnapBack Lou Dolla #np on #SoundCloud http://soundcloud.com/louisvolmar/p-dolla-extremely-wealthy …
Fri Aug 14 17:10:51 PDT 2015 --  Listen to 730 Lou - Hey GIrl come around a g (between the sheets) by SnapBack Lou Dolla #np on #SoundCloud http://soundcloud.com/louisvolmar/730-lou-hey-girl-come-around-a …
Fri Aug 14 16:36:01 PDT 2015 --  Shout out to all the wise guys !!!
Fri Aug 14 15:43:07 PDT 2015 --  Cop @therealstylesp New Album on iTunes Now #WalkLikeUs https://instagram.com/p/6YX3zCmlb3/ 
Fri Aug 14 15:19:00 PDT 2015 --  NEW ALBUM OUT NOW ON ITUNES .. I know it's sudden but fuk lets go with the flow.. http://flyt.it/StylesP 
Fri Aug 14 14:35:50 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin 
Fri Aug 14 12:52:22 PDT 2015 --  If you can't buy it I totally understand i just ask you spread the word!! A wise guy and a wise guy drops tonight!!!!
Fri Aug 14 13:41:46 PDT 2015 --  The power of independence is important to me . Since the project was leaked why wait to oct .... I'm dropping it tonight!!
Fri Aug 14 12:39:20 PDT 2015 --  About to light up and make a decision ...
Fri Aug 14 12:43:22 PDT 2015 --  WHOEVER SUPPORTS ME I AM HUMBLY ASKING FOR YOUR SUPPORT IF POSSIBLE I AM GOING TO MAKE -A WISE GUY AND A WISE GUY AVAILABLE On iTunes 2night
Fri Aug 14 09:57:43 PDT 2015 --  Don't tell me nothing bout the movie I don't wanna know #compton taking my son to go check it tonight… https://instagram.com/p/6Xw5ioxPir/ 
Thu Aug 13 21:25:38 PDT 2015 --  Frantz Francois Nigga!!
Thu Aug 13 21:22:20 PDT 2015 --  https://youtu.be/TEh0ulBAk6M 
Thu Aug 13 21:20:46 PDT 2015 --  Terror Squad Niggaz Stop Sleepin!! r.i.p. Big Pun
Thu Aug 13 21:19:49 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin 
Thu Aug 13 21:17:12 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/sleepin 
Thu Aug 13 18:52:16 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin  r.i.p. to Sean P
Thu Aug 13 17:23:46 PDT 2015 --  Play your lane until you can switch it..
Thu Aug 13 08:56:18 PDT 2015 --  http://Soundcloud.com/730Lou  https://instagram.com/p/6VD6QmIs6e/ 
Thu Aug 13 08:49:44 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin  @therealstylesp
Thu Aug 13 08:46:44 PDT 2015 --  Just posted a video https://instagram.com/p/6VD6QmIs6e/ 
Thu Aug 13 08:12:37 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin 
Thu Aug 13 08:05:50 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/sleepin 
Wed Aug 12 20:54:45 PDT 2015 --  http://www.driveplayer.com/#fileIds=0B72XJBcP5KcmXzRtMHlFMDUzeFVDbUdmdl9KMWNVc3N0anhj&userId=102500371379675240988 … 730Lou - Sleepin
Wed Aug 12 14:43:13 PDT 2015 --  Imagine getting put in a arm bar in front of your lady club night!!! You gotta come back and air it or pack up and leave or go religious .
Wed Aug 12 14:35:08 PDT 2015 --  Imagine doing some Gracie shit and using your sweatshirt like a gi and putting a security sized dude to sleep . Has to feel epic..
Wed Aug 12 13:16:24 PDT 2015 --  I was so mad I had to switch my energy thank you for putting up with my tweets but life is too short to let someone else control your energy
Wed Aug 12 12:28:20 PDT 2015 --  When I go I don't know if I will be rich or poor but one thing I am sure about is I will leave with all my respect ,integrity and honor!!
Wed Aug 12 10:41:07 PDT 2015 --  I blame my generation for the younger generation's loss of the code..
Sun Aug 09 17:42:41 PDT 2015 --  gotta work on being the best me I can possibly be..
Sat Aug 08 18:57:06 PDT 2015 --  Something told me to watch power on line !! Yall some inconsiderate tell what happened on the tl mofos!!! Wouldn't trust yall in court! Haha
Sat Aug 08 16:36:36 PDT 2015 --  Listen to The Wave by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/the-wave 
Sat Aug 08 16:23:59 PDT 2015 --  Rest in Peace Sean Price...
Sat Aug 08 10:50:11 PDT 2015 --  Listen to Trials And Tribulations Of The Ghost by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/trials-and-tribulations-of-the …
Sat Aug 08 10:48:40 PDT 2015 --  Listen to Ridin ( Blattt) by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/ridin-blattt …
Sat Aug 08 09:14:57 PDT 2015 --  Damn that just hurt !! Rip Sean P......
Sat Aug 08 08:53:19 PDT 2015 --  Rest in peace Sean price!!!
Fri Aug 07 19:59:39 PDT 2015 --  He will forever be legendary In my book!! He got me cracking up ..http://youtu.be/-vnkp2o-9zU 
Thu Aug 06 19:24:37 PDT 2015 --  (Rappers) including myself always talk about money but don't be stupid and listen to us you need credit young fellas that's what's popping!!
Thu Aug 06 19:18:16 PDT 2015 --  I know most rappers tell you buy your whip but if you ain't gonna keep it lease it .. Fuck what the rappers said !!! Trust me on this 1!!
Thu Aug 06 10:50:55 PDT 2015 --  Peace and blessings ...
Wed Aug 05 22:35:18 PDT 2015 --  Listen to The 4Th Day by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/the-4th-day …
Wed Aug 05 13:18:35 PDT 2015 --  Listen more than you talk and you see more..
Wed Aug 05 13:11:43 PDT 2015 --  Told y'all months ago on my timeline they can't wait for you to slip and make you a meme...
Wed Aug 05 13:12:34 PDT 2015 --  I don't trust people who trust people too fast..
Wed Aug 05 05:28:45 PDT 2015 --  Today's lesson: it's always easier to avoid the bullshit if u kept your crazy ass from around the bullshit!!!!
Tue Aug 04 20:16:01 PDT 2015 --  Soap in your vag kills all of the good bacteria. Giving u a thrown off pH balance & discolored, cottage cheese, smelly discharge. Infection.
Tue Aug 04 18:34:37 PDT 2015 --  Bbqing for no reason!!!
Mon Aug 03 11:31:58 PDT 2015 --  Slime hang hang good lp God SALUTE QUEENS!!! https://twitter.com/noreaga/status/628271884312936448 …
Mon Aug 03 11:01:31 PDT 2015 --  Listen to The Wave by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/the-wave 
Mon Aug 03 10:40:55 PDT 2015 --  Listen to Illegal Life by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/illegal-life … @noreaga my nigga Slime
Mon Aug 03 10:39:10 PDT 2015 --  Listen to Illegal Life by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/illegal-life …
Mon Aug 03 09:11:24 PDT 2015 --  Listen to The Plug [ 730 Lou ] by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/the-plug-730-lou …
Mon Aug 03 09:04:37 PDT 2015 --  Listen to Racial Profilin by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/racial-profilin …
Sun Aug 02 14:04:25 PDT 2015 --  pic.twitter.com/cRqABDkrgp
Sun Aug 02 11:29:20 PDT 2015 --  I just saw @noreaga interview with @oldmanebro on @HOT97 and when he said GET RID OF THE PLAYLIST... that would be SO DOPE!!!!
Sun Aug 02 04:37:06 PDT 2015 --  Listen to 100 by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/100-1  @thegame
Sun Aug 02 00:16:42 PDT 2015 --  Listen to I KANT FEEL MY FACE by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/i-kant-feel-my-face …
Sun Aug 02 00:13:26 PDT 2015 --  Listen to I KANT FEEL MY FACE G MIX by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/i-kant-feel-my-face-g-mix … @theweeknd
Sun Aug 02 00:13:08 PDT 2015 --  Listen to I KANT FEEL MY FACE G MIX by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/i-kant-feel-my-face-g-mix …
Sat Aug 01 18:40:26 PDT 2015 --  Listen to Sleepin is the cousin of death by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/sleepin-is-the-cousin-of-death … @therealstylesp
Sat Aug 01 15:20:13 PDT 2015 --  Looking forward to Power and ufc and sleep later On some ole head shit...
Sat Aug 01 18:35:33 PDT 2015 --  Gonna need a sparkling water n some pickle juice
Sat Aug 01 15:45:52 PDT 2015 --  Must be a new follower
Sat Aug 01 12:43:29 PDT 2015 --  Listen to I KANT FEEL MY FACE G MIX by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/i-kant-feel-my-face-g-mix …
Sat Aug 01 12:23:29 PDT 2015 --  Listen to 100 by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/100-1 
Fri Jul 31 21:32:39 PDT 2015 --  D-BLOCK ....
Fri Jul 31 17:47:57 PDT 2015 --  Listen to Share The World ( U N Us ) by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/share-the-world-u-n-us … @ODGTHEMOVEMENT_
Fri Jul 31 17:38:47 PDT 2015 --  Listen to Hate Me Now by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/hate-me-now …
Fri Jul 31 17:26:38 PDT 2015 --  Listen to RUFF DRAFT by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/ruff-draft …
Fri Jul 31 05:21:02 PDT 2015 --  No comment mannnnnnn.,,,,,,, we're the Kermit emojis at when u need em!!!
Thu Jul 30 21:08:19 PDT 2015 --  I never argue with young dudes that don't respect history they will understand the importance of it when it is their time 2..
Thu Jul 30 20:53:15 PDT 2015 --  This era has a lot of lyricist I can't deny that just seems like they overpowered by the industry shit which u have 2 blame on us the people
Thu Jul 30 20:41:20 PDT 2015 --  I wish the youth got to see what the golden era was about...
Thu Jul 30 20:27:06 PDT 2015 --  Listen to The Elecricity Went Out by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/the-elecricity-went-out …
Thu Jul 30 14:55:03 PDT 2015 --  Listen to Hate Me Now by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/hate-me-now … @Nas
Thu Jul 30 14:54:50 PDT 2015 --  Listen to Hate Me Now by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/hate-me-now …
Thu Jul 30 14:46:16 PDT 2015 --  Listen to Sleepin is the cousin of death by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin-is-the-cousin-of-death … @adewoleade @Nas
Thu Jul 30 14:45:24 PDT 2015 --  Listen to Sleepin is the cousin of death by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin-is-the-cousin-of-death …
Thu Jul 30 14:32:33 PDT 2015 --  Listen to They so WACK by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/they-so-wack … @ChinxMusic @FrencHMonTanA
Thu Jul 30 14:27:46 PDT 2015 --  Listen to Bullets Whistle by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/bullets-whistle … @TonyYayo
Thu Jul 30 14:19:20 PDT 2015 --  Listen to Share The World ( U N Us ) by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/share-the-world-u-n-us …
Thu Jul 30 12:27:21 PDT 2015 --  Me 2 5 2 https://twitter.com/noreaga/status/626783318600605696 …
Thu Jul 30 00:08:08 PDT 2015 --  Listen to P Dolla Keep Ya Head Up by 730 Lou bka P dolla #np on #SoundCloud http://soundcloud.com/730-lou-bka-p-dolla/p-dolla-keep-ya-head-up …
Thu Jul 30 00:05:52 PDT 2015 --  Listen to Pdolla - Young OG by 730 Lou bka P dolla #np on #SoundCloud http://soundcloud.com/730-lou-bka-p-dolla/pdolla-young-og …
Thu Jul 30 00:01:42 PDT 2015 --  Listen to Pdolla - Dead Wrong Freestyle by 730 Lou bka P dolla #np on #SoundCloud http://soundcloud.com/730-lou-bka-p-dolla/pdolla-dead-wrong-freestyle …
Wed Jul 29 20:52:04 PDT 2015 --  Listen to They so WACK by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/they-so-wack …
Wed Jul 29 13:39:39 PDT 2015 --  Listen to Bullets Whistle by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/bullets-whistle …
Wed Jul 29 13:30:23 PDT 2015 --  Listen to They so WACK by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/they-so-wack …
Tue Jul 28 13:24:35 PDT 2015 --  White People Get Krazy Wit The Word Nigga
Tue Jul 28 09:24:12 PDT 2015 --  On my way to Sony red never been there b4 I hope @PenaltyEnt got a food budget we living ruff out here
Sun Jul 26 16:09:46 PDT 2015 --  Listen to Sleepin On You Dawg by 730Lou #np on #SoundCloud http://soundcloud.com/730lou/sleepin-on-you-dawg …
Sun Jul 26 13:22:31 PDT 2015 --  I keep asking myself wtf happened to hip hop?? The answer is the mighty dollar and technology ..
Fri Jul 24 13:59:45 PDT 2015 --  Listen to Answer by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/answer 
Fri Jul 24 08:52:32 PDT 2015 --  @FlyYungPoppy Did you know Capone-n-Noreaga new album #LESSONS is out on #iTunes today?-->http://smarturl.it/CNNLESSONS  Support real #hiphop
Thu Jul 23 15:32:21 PDT 2015 --  People is mad racist in da south..
Sun Jul 12 18:36:57 PDT 2015 --  Everybody Wanna Be Fly, I Just Wanna Be Known #iAMYUNGLOS
