Fri Aug 28 18:53:48 PDT 2015 --  The future Bae better have the same musical taste as me.
Sun Aug 09 22:13:03 PDT 2015 --  Going hiking tomorrow. Have to remember to pack some drinks and snacks! ;) #adventurers #hiking #c&d2k15
Sun Aug 09 22:11:13 PDT 2015 --  I wish I could go hiking every day. ♡♡♡ #nature #vscocam #hiking #adventurers https://instagram.com/p/6AfvMmKj5J/ 
Sun Aug 09 22:09:13 PDT 2015 --  Can't or won't? If you truly set your mind to it, you can achieve amazing things. ☆☆☆
Sun Aug 09 22:06:39 PDT 2015 --  Sometimes I wonder where I'll be in 1 year or 2 years or a decade.
Sun Aug 09 22:05:10 PDT 2015 --  You are the only one that can change your life. ♡♡♡
Sun Aug 09 21:40:58 PDT 2015 --  Can't tell you how glad I am that I don't work at Einsteins anymore.
Sun Aug 09 17:50:52 PDT 2015 --  Hopium- Right Now is where it's at. @highonhopium
Sun Aug 09 10:48:00 PDT 2015 --  How I feel on Sunday's pic.twitter.com/2ODjypQIh5
Sun Aug 09 11:21:08 PDT 2015 --  I firmly believe the drinking age should be raised to 25. There's medical and ethical reasons it is at 21. Besides, it looks trashy.
Sun Aug 09 10:53:08 PDT 2015 --  If you haven't heard of The Chainsmokers, you are wrong and you should be ashamed of yourself.
Sat Aug 08 23:09:48 PDT 2015 --  Super excited to start taking some classes! =) Who knows what it'll turn into, but graphic design is definitely catching my eye. =)
Sat Aug 08 23:09:17 PDT 2015 --  Ummm so I really feel like my twitter doesn't get the attention it needs from other people. Like, come on people. I'm cool! =/
Sat Aug 08 23:08:33 PDT 2015 --  Be the wonderful individual you are. =)
Sat Aug 08 21:33:49 PDT 2015 --  Set high expectations for yourself and you will achieve your goals. ♡♡♡
Sat Aug 08 20:19:24 PDT 2015 --  Your music is too mainstream.
Sat Aug 08 18:02:48 PDT 2015 --  I'm going to follow my dreams to become a realtor. And then I'm going to get my own reality TV show. Rich and famous? Check. Yasssssss! ;)
Sat Aug 08 11:03:55 PDT 2015 --  I wish someone would go hiking with me.
Wed Aug 05 15:57:30 PDT 2015 --  If u wanna vote me for @TeenChoiceFOX #ChoiceWebStarMale You can go here or RT this! <3 http://vote.teenchoice.com/  pic.twitter.com/s4D6TquhFL
Wed Aug 05 12:05:29 PDT 2015 --  If you've never watched a youtube vlog with subtitles on, you haven't truly lived.
Wed Aug 05 11:59:16 PDT 2015 --  149 more days until my life changes drastically for the better. Sometimes we just need to press the reset button on our life.
Wed Aug 05 09:13:14 PDT 2015 --  I can't wait for fall clothes, corn mazes, pumpkin patches and most importantly, PUMPKIN SPICE LATTES.
Tue Aug 04 11:29:45 PDT 2015 --  my only goal in life right now is to be happy, genuinely, intensely and consistently happy, regardless of what that looks like to others.
Tue Aug 04 18:10:18 PDT 2015 --  Hiking is good for your mind, body, and soul.
Mon Aug 03 12:25:40 PDT 2015 --  New Video - WARNING: This Video May Offend You: http://bit.ly/1K17qa5 
Mon Aug 03 06:24:35 PDT 2015 --  the large bags under my eyes do not fit in the overhead compartment but they do fit my aesthetic
Sun Aug 02 22:35:11 PDT 2015 --  #CCV3 #commonculture #vol3 @ConnorFranta Give it a listen. It's beautiful.
Sun Aug 02 16:05:43 PDT 2015 --  "the ratchets are out of their den" – nick laws says as we walk out of the apartment into the real world
Sun Aug 02 17:04:48 PDT 2015 --  My wild night consists of watching cows walk. Better calm down! ;)
Sun Aug 02 13:15:24 PDT 2015 --  I'M GIVING AWAY THREE LOVESACS! Just RETWEET this tweet to win! @Lovesac (worth ~$1600 each) pic.twitter.com/3qHNLzu4J2
Sat Aug 01 13:25:07 PDT 2015 --  This flight attendant is speaking in French! Ma'am how am I gonna know how to put this seatbelt on unless you tell me in English?!
Sat Aug 01 11:37:29 PDT 2015 --  Taking pictures for a car show today. It's hot but worth it! #payday #photography #cars #carshow
Fri Jul 31 23:20:56 PDT 2015 --  Tomorrow is going to be a good day.
Fri Jul 31 22:20:29 PDT 2015 --  You say I have expensive taste, I say I have high expectations.
Thu Jul 30 21:37:38 PDT 2015 --  Def feeling @IaMmECrew . :)
Thu Jul 30 21:26:46 PDT 2015 --  Americas Best Dance Crew: Road To The VMAs. Check it out. #ABDC
Thu Jul 30 17:51:59 PDT 2015 --  Can we just take a second?
Thu Jul 30 17:50:30 PDT 2015 --  If I could just eat at qdoba all day every day id be ok. ♡
Mon Jul 27 23:00:23 PDT 2015 --  Closet goals pic.twitter.com/HRXdhkcRSP
Wed Jul 29 21:25:09 PDT 2015 --  I know im not the only one that shops online for things and just leaves them in the cart for payday. ;)
Wed Jul 29 16:16:43 PDT 2015 --  This is my morning news. pic.twitter.com/uMFHSVQiyE
Wed Jul 29 16:14:33 PDT 2015 --  If you have good eyebrows I'll notice. Trust me. ♡
