Sun Jun 28 19:05:43 PDT 2015 --  Aawww! Nicole and Boris are slow dancing. this is why people make babies to this. #BETAwards
Tue Apr 01 19:47:56 PDT 2014 --  Reminder: Homeless children didn't choose this life. They were born into it. http://wapo.st/1ibUxgB 
Sun Mar 30 18:26:25 PDT 2014 --  @PamGrier : It would take 2.3 seconds to retweet this face of a missing child. pic.twitter.com/rFnATLlIva
Sat Mar 29 06:10:37 PDT 2014 --  Poor baby..... (@ Safelite AutoGlass) http://4sq.com/1mAhNe6 
Sun Mar 23 08:09:17 PDT 2014 --  Talk about a spring break! Save an extra 25% on select items today only. Use online code MYFRNDS or get coupon: http://jcp.is/1im9EG6 
Sat Mar 22 17:42:27 PDT 2014 --  Amanda Bynes looked absolutely amazing at FIDM's debut runway show http://bit.ly/1lcceC1  pic.twitter.com/P3NqyrbwhW
Sun Mar 02 19:06:13 PST 2014 --  If only Bradley's arm was longer. Best photo ever. #oscars pic.twitter.com/C9U5NOtGap
Sun Mar 02 18:46:37 PST 2014 --  Hey, people criticizing the way Kim Novak looked - you realize you're the damn reason she's done so much work to herself, right...?
Sun Mar 02 19:08:06 PST 2014 --  Agreed RT @TheEllenShow If only Bradley's arm was longer. Best photo ever. #oscars pic.twitter.com/p79rh6eWBZ
Sun Mar 02 09:22:26 PST 2014 --  New on #travelnoire! A poignant piece on the people of Soweto & a review of an amazing up-and-coming restaurant i... pic.twitter.com/8vXVFHs7r5
Sun Mar 02 05:44:56 PST 2014 --  Cost of one year at Harvard: $56k. Cost of one year at NYC jail: $168k. #TaleOfTwoNations
Sat Mar 01 06:12:13 PST 2014 --  Putin's invasion to punish Ukraine for rejecting Yanukovych rather clarifies for whom Yanukovych was really working all this time, no?
Sat Feb 22 19:20:58 PST 2014 --  So thrilling to hand ANOTHER NAACP Image Award to my extraordinary friend @kerrywashington !!! And @ScandalABC shows up for 2nd win TOO!
Tue Feb 18 05:29:39 PST 2014 --  How we made our miracle. My daughter's birth story. http://on.msnbc.com/1m55gfY  #BabyNerd
Sun Feb 16 18:44:12 PST 2014 --  #Retweet #UALR #6thFan and keep voting non-stop at http://6thfan.ncaa.com  Only a couple more hours! DONT LET ANYONE PASS US! #TROJANSTRONG
Sun Feb 16 17:03:57 PST 2014 --  #UALR #6thFan ... Can I get a retweet? Lots of them, please.
Sun Feb 16 17:05:32 PST 2014 --  SHE HAS A NAME: Adrian Broadway shot and killed over egging prank in Arkansas http://bit.ly/1oEkV85 
Fri Feb 14 18:15:48 PST 2014 --  I had a great time--and a great team--at #SprintCeleb game. Thx for all the support. Keep cheering for education! pic.twitter.com/ky1qpxGXUk
Sat Feb 15 19:01:14 PST 2014 --  26 hours left to vote! Retweet this AND vote online! http://6thfan.ncaa.com  #UALR #6thFan
Sat Feb 15 16:42:52 PST 2014 --  A massive march MUST be planned for the state Capitol in Tallahassee, FL. Americans must stand up to get rid of Stand Your Ground!
Sat Feb 15 17:00:16 PST 2014 --  Very sad and not suprised at this verdict. Mid term election coming up. . Please show up to the polls people...
Sat Feb 15 17:00:47 PST 2014 --  And the next time you bitch & moan about a jury duty summons, remember #JordanDavis #TrayvonMartin #MarissaAlexander and so many others!
Sat Feb 15 05:00:05 PST 2014 --  Beloveds, if we celebrate, support and nurture ourselves, we will not need anyone else to do it for us.
Sat Feb 15 05:25:54 PST 2014 --  Michael Baisden Quote Of The Day! pic.twitter.com/Tr9xxWq4jV
Sat Feb 15 05:31:11 PST 2014 --  Early risers: We need your help! Go to http://6thfan.ncaa.com  and vote for us over and over and over again! Or RETWEET this! #6thFan #UALR
Thu Feb 13 04:06:01 PST 2014 --  A severe outbreak of sun and warmer weather is on schedule. 60s and lower 70s possible next week! #ARWX
Tue Feb 11 14:21:17 PST 2014 --  What was most galling to me is that Dunn never placed any value on the lives of those boys. #JordanDavis
Sun Feb 09 09:12:21 PST 2014 --  I'd love to see a @Target capsule collection that is fit for the curvy and tall. I know it's too much to ask for but a girl can wish.
Sat Feb 08 07:23:21 PST 2014 --  USA! An American won the first gold medal of the 2014 Olympics http://nyp.st/1bcCubX 
Sat Feb 08 03:49:19 PST 2014 --  My teammate got stuck in the bathroom. Barefoot, naked and alone he called his inner strength. @JohnnyQuinnUSA pic.twitter.com/xvlKtYpaaT
Mon Feb 03 19:21:33 PST 2014 --  Everything has higher approval ratings than Congress, including tooth decay, telemarketers, rancid milk, & prison food. Give America a raise
Sun Feb 02 19:00:19 PST 2014 --  #Esurancesave30
Mon Jan 06 15:48:21 PST 2014 --  “ @J3Aguero: @goldiehawn Pls help us spread the word about missing autistic nonverbal child from NY #FindAvonte pic.twitter.com/IYIU0KzzVj”
Sun Jan 05 09:08:21 PST 2014 --  Why do coaches get fired & hold news conferences at the team facility? Man, meet me down the street or at IHOP so I could be honest! LOL
Tue Dec 24 19:47:55 PST 2013 --  An Ohio man took fifty local homeless people out to a four-star dinner. http://gaw.kr/XlbqguF 
Sun Dec 22 17:47:59 PST 2013 --  WOW! An incredible shot of downtown Little Rock Friday night in the rain! Thanks to http://on.fb.me/1jykg82  #ARWX pic.twitter.com/xj9MmPHrQN
