Fri Aug 28 07:00:03 PDT 2015 --  There's a party tonight...lions,tigers,and Bears! #animalhouse
Mon Apr 27 22:16:18 PDT 2015 --  Chi town always gets me
Sun Apr 26 07:13:05 PDT 2015 --  Took care of himself and his sister last last night #whatrbigbrothersfor #goldenlove pic.twitter.com/ZVAcXhVn71
Sat Apr 25 21:10:39 PDT 2015 --  Best patio in htown #freecrawfishanddrinks https://instagram.com/p/17JrQcNxKB/ 
Fri Apr 24 21:24:02 PDT 2015 --  Loving random nights! Random new people, new drinks, new bars #txandny #bffgoals
Wed Apr 22 17:00:36 PDT 2015 --  
Mon Apr 20 16:17:45 PDT 2015 --  Sweets from a sweet @wjcs2316 thank you pic.twitter.com/TLdYS0eCP8
Mon Apr 20 08:06:33 PDT 2015 --  
Sun Apr 19 07:00:16 PDT 2015 --  The 10 Best Dog Parks in Houston - http://bit.ly/1IOrSiH  pic.twitter.com/iqqfQalpiD
Fri Apr 17 05:22:56 PDT 2015 --  #fridayfeeling pic.twitter.com/go8O6FE7zy
Thu Apr 16 20:25:17 PDT 2015 --  Perfect sleep weather #thethunderrolls #raindropsonrooftops
Wed Apr 15 17:58:20 PDT 2015 --  Every human being is a contradiction; some hide it better than others
Tue Apr 07 21:23:45 PDT 2015 --  Miss Zara sounds like Daenerys Targaryen's baby dragons...thank god she can't spit fire or she would be a real biatch. #bengals #freekitty
Fri Apr 03 19:47:07 PDT 2015 --  Mexico!!!!! https://instagram.com/p/1CWoFBtxFK/ 
Wed Apr 01 20:02:28 PDT 2015 --  Houstonian Nights #bigandbright #texastrue https://instagram.com/p/09OyxfNxEB/ 
Wed Apr 01 13:29:21 PDT 2015 --  April is Stress Awareness Month. Life will always have stress in it, so learning how to manage it is a must-have skill. @meQuilibrium
Tue Mar 31 17:26:18 PDT 2015 --  What's for dinner on the eve before putting on a bikini for 4 days...queso! #goestomyassets #texmexformexico
Mon Mar 30 19:05:51 PDT 2015 --  “ @CNN: . @BarackObama reached goal visiting every state. http://cnn.it/1EsWFjj  http://twitter.com/CNN/ " #getoutoftown #goaway #dontcomeback
Sun Mar 29 21:16:15 PDT 2015 --  “ @KHOU: #Dallas pastors trade places to bridge racial gap http://on.khou.com/1bHYRYb  #Texas #PalmSunday pic.twitter.com/Ev3dL2eXeL” #helovesusall
Wed Mar 25 16:46:39 PDT 2015 --  Valentin Imperial Maya ~ Riviera Maya http://fb.me/7pytMPPXh 
Wed Jul 16 11:29:00 PDT 2014 --  I had a Mr. Pibb. Mr. Pibb is a replica of Dr. Pepper... but it's the bullshit replica, cause the dude didn't even get his degree.
Fri Mar 27 14:46:15 PDT 2015 --  Amanda Knox is a free woman. Italian court overturns conviction in Kercher murder trial. http://cnn.it/1HTW5fH  pic.twitter.com/W5eS6Bm5Sx
Fri Mar 27 06:42:36 PDT 2015 --  #SUPERPALOOZA is 43 days away - but who's counting. Don't miss out on 100+ #wines, #craft #beer, #liquor and #food. http://ow.ly/KSA6v 
Fri Mar 27 04:35:45 PDT 2015 --  “ @TMZ: #GameOfThrones writers want to return the @AlwaysSunny favor! http://tmz.me/5MDkHfk ” yes!!
Thu Mar 26 19:20:31 PDT 2015 --  “ @BrilliantPosts: Hidden Beach in Puerto Vallarta, Mexico pic.twitter.com/dZvzDvNw9i” @wjcs2316 1 week
Wed Mar 25 17:30:44 PDT 2015 --  Sunday Streets Houston is back and better than before! 3/29 Westhimer (Taft to Woodhead) 12-4pm
Mon Mar 23 04:52:36 PDT 2015 --  Happy #NationalPuppyDay from @WranglerTODAY! Remember when he was this little just a few weeks ago? pic.twitter.com/mJLVfBjYiK
Sun Mar 22 16:29:53 PDT 2015 --  Pad Thai,Taco Bell,taco C,steak,tuna,pad Thai#sbdiet#werasian @wjcs2316
Tue Mar 17 21:01:25 PDT 2015 --  This Dancer Crushed An “Uptown Funk” Routine On A Moving Treadmill http://www.buzzfeed.com/juliekliegman/this-guy-killed-a-dance-to-uptown-funk-on-a-moving-treadmill …
Tue Mar 17 18:34:38 PDT 2015 --  I'll carry bear, he's wearing green. #goldenlove #stpattys https://instagram.com/p/0Wc0c_NxAW/ 
Mon Mar 16 17:30:10 PDT 2015 --  Houston's 10 Best Irish Bars http://bit.ly/1A2qMWV  pic.twitter.com/OidN1K8bAM
Sat Mar 14 08:25:26 PDT 2015 --  Pilot of the Year- some genius purposely flew a flight plan that would show up on radar as a dick. pic.twitter.com/JUsayUuIbV
Fri Mar 13 22:20:52 PDT 2015 --  Boot scoot n boogie https://instagram.com/p/0Mjh1WtxJY/ 
Fri Mar 13 20:39:20 PDT 2015 --  Kelli, Lindsay, Broooooke #countrystars #thedillo https://instagram.com/p/0MX6K6NxKo/ 
Wed Mar 11 09:40:19 PDT 2015 --  A gigantic alligator took over a Florida golf course #NOPE http://ble.ac/1BwZz2y  pic.twitter.com/v0cJI4C1g2
Tue Mar 10 16:09:11 PDT 2015 --  “ @CuteEmergency: If Dogs Did Human Jobs, What Would they do? http://trendpics.today/1Dyt8Tg  . http://twitter.com/CuteEmergency/status/575431092288798722/photo/1pic.twitter.com/fjNwooeb25 ” jackman is the best#goldenlove
Tue Mar 10 08:01:18 PDT 2015 --  Derek Zoolander and Hansel make a surprise appearance at Paris Fashion Week! http://cnn.it/1MoDENZ  pic.twitter.com/RGFixj6pFx
Mon Mar 09 20:20:59 PDT 2015 --  “ @abc13houston: Overpraising children can turn them into narcissistic jerks,http://abc13.com/550971/  pic.twitter.com/Rglhw1sd2C” absurd article
Mon Mar 09 20:04:04 PDT 2015 --  “ @BleacherReport: Report: Houston Texans officially release WR Andre Johnson http://ble.ac/1x95CpX  pic.twitter.com/18uqxttFPn” #teameighty
Mon Mar 09 20:01:43 PDT 2015 --  “ @BleacherReport: QB Brian Hoyer will reportedly sign with the Houston Texans http://ble.ac/1x6UERO  pic.twitter.com/Tn7JfBYxfD” Ohioans TX
Wed Feb 25 13:57:26 PST 2015 --  Grandma's a thug pic.twitter.com/tUNYArznr1
Thu Feb 12 04:30:18 PST 2015 --  They really do pic.twitter.com/pCMcPEx4sN
Sat Feb 28 10:40:07 PST 2015 --  baseball puppy pic.twitter.com/jSy1KAMhkd
Sun Mar 01 08:00:14 PST 2015 --  petronw's photo http://instagram.com/p/zqtWjIJkHS/ 
Sun Mar 01 07:59:54 PST 2015 --  #bettyjavierhtx https://instagram.com/p/zqyyystxLP/ 
Sat Feb 28 18:41:20 PST 2015 --  #bettyjavierhtx https://instagram.com/p/zqy5YwtxLa/ 
Tue Feb 17 20:54:15 PST 2015 --  “ @BuzzFeed: 9 Ways To Lose 10 Pounds In Less Than A Week — Or Faster http://bzfd.it/1AOFl5B ” @wjcs2316 last resorts. No skin no sunburn
Tue Feb 17 20:18:24 PST 2015 --  Sand, sun and fun here I come!!
Mon Feb 16 04:41:09 PST 2015 --  . @NASA has released some of the most mesmerizing views of the sun to date. Full time-lapse → http://cnn.it/1Mq5ITZ  https://amp.twimg.com/v/cd19b10c-33a1-402d-9119-fb062af8ce94 …
Fri Feb 13 16:11:45 PST 2015 --  When will teleporting be possible?
Thu Feb 12 20:30:10 PST 2015 --  Pig is 'top dog' in canine agility class. http://on.khou.com/1B42e65 
Thu Feb 12 16:08:30 PST 2015 --  This woman's dog walked 20 blocks to visit her in the hospital http://on.khou.com/1A1Q4rt  #pets pic.twitter.com/Yz3wu4LEjk
Thu Feb 12 15:44:43 PST 2015 --  I wish there was an emoji for an exploding head...
Thu Feb 12 06:11:51 PST 2015 --  Sooooo ready for the weekend....
Tue Feb 10 19:32:55 PST 2015 --  Sometimes bad days turn out to be the best days #glasshalffull
Mon Feb 09 20:19:27 PST 2015 --  “ @HoustonPress:The Flesh Peddler's Ball http://bit.ly/1AcncOZ  pic.twitter.com/Ek3Cwh7UUh”. Addison Xmas party name idea!! #staffin&pimpin
Fri Feb 06 17:29:07 PST 2015 --  When the Chinese food is under cooked pic.twitter.com/azmLrfKR6F
Mon Feb 02 19:52:41 PST 2015 --  Rapper Bun B teams up with Rice University to offer free online course about hip hop and religion: http://abc13.com/502007/ 
Mon Feb 02 19:00:55 PST 2015 --  betches's photo http://instagram.com/p/ynTQ1gGDQd/@nalley_cassie … this is awesome!
Tue Dec 30 19:34:48 PST 2014 --  Hold my beer while I dunk this basketball pic.twitter.com/GQBPL5Tax1
Sat Jan 31 10:51:51 PST 2015 --  Don't worry patio with a drink...you won't be lonely for long.
Sat Jan 31 01:25:10 PST 2015 --  I need all of them pic.twitter.com/dBx88K0gnT
Sun Jan 25 18:34:07 PST 2015 --  Just having some fun #ProBowl pic.twitter.com/h8YUOZZsRY
Tue Jan 20 06:56:21 PST 2015 --  Now this is an awesome @HoustonChron fog photo from downtown Houston. pic.twitter.com/z5Dk4a81he
Sat Jan 17 05:55:57 PST 2015 --  DOG PARK OPENS TODAY: Buffalo Bayou dog park opens this weekend http://abc13.co/1yoU4ED  #abc13 pic.twitter.com/bqWBnnYnS3
Wed Jan 14 20:19:15 PST 2015 --  #couchpotatoes#neveralone http://instagram.com/p/x3GXu1NxLs/ 
Wed Jan 14 20:05:56 PST 2015 --  InTouch Weekly Photoshopped Bruce Jenner As A Woman On Their Cover...Bahah!!! http://www.buzzfeed.com/rachelzarrell/intouch-magazine-photoshopped-bruce-jenner-as-a-woman …
Sun Jan 11 10:31:49 PST 2015 --  Never get in this Thug's way. #ThugLife https://vine.co/v/OD7vA9AI5FX 
Fri Jan 09 18:45:16 PST 2015 --  Dwight Howard is a thug https://vine.co/v/OwMvExE1I7F 
Sun Jan 11 10:00:04 PST 2015 --  Permanent Marker Prank... #KeepRubbingit https://vine.co/v/ODaPVxUVgvp . Bahaha
Thu Jan 08 16:23:55 PST 2015 --  “ @CuteEmergency: HE LOOKS SO SATISFIED pic.twitter.com/VLIthgRHoD” @nalley_cassie honey needs a pony
Wed Jan 07 20:37:44 PST 2015 --  “ @CuteEmergency: When you're mad but bae asks you if you want food pic.twitter.com/cw48cWkvNu”hahaha
Sat Jan 03 10:46:20 PST 2015 --  I love people in the morning in Vegas. Always a beautiful thing. The struggle.
Mon Jan 05 19:30:06 PST 2015 --  LOL! Watch Elders React to Kim Kardashian's nude Paper magazine cover: http://usm.ag/1BsOmk8 
Mon Jan 05 19:38:41 PST 2015 --  Photo of 'underweight' Urban Outfitters model banned http://ow.ly/GQJxM 
Mon Dec 22 17:15:04 PST 2014 --  Best friends forever pic.twitter.com/6fbjRjggTp
Wed Nov 26 19:07:02 PST 2014 --  When someone tells me I eat too much: pic.twitter.com/IOkkLP20V9
Sun Nov 02 16:30:53 PST 2014 --  Watch: The Grumpy Cat movie trailer has arrived! http://bit.ly/1zqFU56  via Getty Images pic.twitter.com/ahAenLZuCf
Sun Oct 26 10:00:25 PDT 2014 --  These Cannabis Bills Could Change Toking in Texas for Good - http://bit.ly/12cWM1s 
Fri Jul 25 19:36:46 PDT 2014 --  DA candidate plans to cut penalty in Harris County for marijuana offenders: District attorne... http://bit.ly/1tLITj3  #Houston #HouNews
Fri Jul 18 18:11:04 PDT 2014 --  Don't be sad! Look at these baby sloths eating vegetables http://bzfd.it/1qOsKaL  pic.twitter.com/pGkr2eCKKb
Tue Jul 15 20:00:20 PDT 2014 --  27 Things All Perpetually Single People Know To Be True http://bzfd.it/1oFfAdA  pic.twitter.com/Xp1x4TttkA
