Sun Aug 23 06:44:07 PDT 2015 --  George W. Bush and Dick Cheney and Army committed Treason/Espionage/Sabotage by deploying me to Iraq War. https://www.ebenefits.va.gov/sep/ecms-proxy/document/ebenefits-liferay/dynamic-content/sep/assets/downloads/Chapter_13_Agent_Orange_Claims_Development.pdf …
Fri Aug 14 00:53:51 PDT 2015 --  I call the VA after getting the letter in the mail (the only address I ever gave the VA) to make a complaint. #AmericanUltra
Fri Aug 14 00:51:02 PDT 2015 --  The VA sent me a letter stating the lie they told the cop in regards to a call that I never said anything in that letter. #AmericanUltra
Fri Aug 14 00:49:14 PDT 2015 --  The VA falsely accused me of being suicidal.Also a year later the VA falsified documents to coverup their no evidence of call #AmericanUltra
Fri Aug 14 00:46:16 PDT 2015 --  The VA must be caught in the act and use a thoroughly good spy detector with camera detector-but not wifi cause the VA hacks. #AmericanUltra
Fri Aug 14 00:42:44 PDT 2015 --  Honestly the only way to fully investigate the VA for murdering Veterans and making it look like suicide epidemic - #AmericanUltra
Fri Aug 14 00:39:28 PDT 2015 --  Each second these VA criminals are illegally listening to my thoughts they are trying to murder me.24/7 VA are covering it up #AmericanUltra
Fri Aug 14 00:32:22 PDT 2015 --  No wonder the VA is so ignorant and killing veterans is the VA only logic. By that statement the VA are murdering Veterans. #TheNextBigThing
Fri Aug 14 00:29:45 PDT 2015 --  The VA rep said " If you say that you're not suicidal, then the VA says you are suicidal". That is crazy. #TheNextBigThing
Fri Aug 14 00:27:26 PDT 2015 --  I called the VA after the cop left and I told them I'm Not suicidal, so why did they tell the cop that lie. #TheNextBigThing
Fri Aug 14 00:23:46 PDT 2015 --  I never gave any type of indication for VA to even assume such a lie.VA lied to a cop,falsely accused me of being suicidal. #TheNextBigThing
Fri Aug 14 00:19:31 PDT 2015 --  I was just doing the right thing by notifying the authorities years ago, VA are literally making Veterans kill themselves. #TheNextBigThing
Fri Aug 14 00:14:18 PDT 2015 --  #TheNextBigThing There are people right this moment are quiet who are hired by VA to stalk me and listen to my thoughts while I'm tweeting.
Thu Aug 13 21:59:01 PDT 2015 --  VA hired criminals to illegally listen to our thoughts and try to drive us to kill ourselves,this is what the VA are doing. #TheNextBigThing
Thu Aug 13 21:56:24 PDT 2015 --  Yeah the only reason VA knows about 22 a day Vet suicides rate is because the VA are directly making Vets kill themselves #TheNextBigThing
Thu Aug 13 21:54:02 PDT 2015 --  Why was VA so eager to find my location,my call was to notify the VA about whoever is stalking me are at fault of suicides #TheNextBigThing
Thu Aug 13 21:51:32 PDT 2015 --  The VA was slick and committed a crime by illegally contacting someone not on my emergency contact to find my location. #TheNextBigThing
Thu Aug 13 21:49:19 PDT 2015 --  VA knew I never said anything that would even suggest harming anyone,but they wanted to find my location ,they stalked me #TheNextBigThing
Thu Aug 13 21:46:42 PDT 2015 --  This is what VA did; VA rep illegally transferred me to a hotline without telling me.VA was setting up a plot to kill me. #TheNextBigThing
Thu Aug 13 21:42:27 PDT 2015 --  The VA tried to murder a post 9/11 veteran by cop, and tried to make it look like a suicide.I never said anything suicidal. #TheNextBigThing
Thu Aug 13 21:36:00 PDT 2015 --  The VA in Daytona Beach told a cop that I was suicidal. I clearly told the VA rep "I'm Not suicidal". The VA lied to a cop. #TheNextBigThing
Thu Aug 13 21:32:01 PDT 2015 --  I actually told VA reps this on the phone which they most likely erased, covered up. Instead they tried to kill me by cop. #TheNextBigThing
Thu Aug 13 21:29:49 PDT 2015 --  I always replied "No"I will never kill myself and I will never give VA the satisfaction of doing what they want me to do. #TheNextBigThing
Thu Aug 13 21:27:29 PDT 2015 --  Many times the VA reps and VA spies have said "Why don't you just stop living" the VA have said to "just kill yourself" #TheNextBigThing
Thu Aug 13 21:24:56 PDT 2015 --  Now there are people who were hired by VA to illegally spy and stalk me, they try to devalue my life, but they always fail #TheNextBigThing
Thu Aug 13 21:22:26 PDT 2015 --  How does a "Commander In Chief"AWOL Bush cut orders to send a soldier with Spina Bifida deploy with a"GO"and not know it? #TheNextBigThing
Thu Aug 13 21:18:17 PDT 2015 --  I wonder why didn't the DOD doctor realize these agent orange diseases is so obviously effecting my body rapidly. #Pentagon #TheNextBigThing
Thu Aug 13 21:14:07 PDT 2015 --  This all happened around age 30,the year I finished fully growing bones. This must be signifiers of agent orange diseases #TheNextBigThing
Thu Aug 13 21:11:06 PDT 2015 --  It felt really heavy water on my brain this lasted a few days which is also very strange.My head hurt to move,stiff fingers #TheNextBigThing
Thu Aug 13 21:08:09 PDT 2015 --  This type of pain was weird and I've never experienced anything like it before, also It felt like I had water on my brain #TheNextBigThing
Thu Aug 13 21:05:26 PDT 2015 --  A little before I turned 30 years old I had something like a mild strange heart pain, it last a while,but it subsided later #TheNextBigThing
Thu Aug 13 21:02:41 PDT 2015 --  I'm experiencing some pain in my side rib area now, its something weird happening to me daily since I turned 30 years old. #TheNextBigThing
Thu Aug 13 20:58:42 PDT 2015 --  AWOL Bush and Draft Dodger Cheney also had ample time to not send me to Iraq War and tell the truth, yet they lied. "GO". #TheNextBigThing
Thu Aug 13 20:55:34 PDT 2015 --  I was in the Delayed Entry Program due to my MOS 96B. The DOD and Army had ample time to tell me the truth, yet they lied. #TheNextBigThing
Thu Aug 13 20:52:47 PDT 2015 --  Yet the DOD doctor signed on my physical exam "Fit For Duty", she never said anything about agent orange birth defect. #TheNextBigThing
Thu Aug 13 20:50:55 PDT 2015 --  DOD doctor saw and knew I had clear physical conditions during the exam, health questionnaire(agent orange) #VietnamVeteran #TheNextBigThing
Thu Aug 13 20:45:42 PDT 2015 --  I joined the Army thinking that the US Armed Forces was an honorable career, I was disappointed. #IfIKnewThenWhatIKnowNow #TheNextBigThing
Thu Aug 13 20:41:40 PDT 2015 --  It's so deplorable and disgusting how our government DOD and VA/Army conspired to murder a potential post 9/11 soldier #TheNextBigThing
Thu Aug 13 20:38:40 PDT 2015 --  This is how I know the DOD and VA and Army premeditated to attempt to murder me, they was going to use the war to do it. #TheNextBigThing
Thu Aug 13 20:36:07 PDT 2015 --  DOD doctor noticed something strange about my feet (to signify she was trained to notice agent orange diseases) #FitForDuty #TheNextBigThing
Thu Aug 13 20:33:34 PDT 2015 --  The VA saw this during my doctor appointments years ago, they never mentioned agent orange to me at all. #PCOS #SpinaBifida #TheNextBigThing
Thu Aug 13 20:31:01 PDT 2015 --  Also my skin opening inside out as shown in twitter photo, those are not cuts its my skin bleeding and opening inside out. #TheNextBigThing
Thu Aug 13 20:28:28 PDT 2015 --  I constantly experience various agent orange related symptoms daily, some twitching, tremors, pain, stiffness, headaches #TheNextBigThing
Thu Aug 13 20:26:16 PDT 2015 --  The wiretapping phones must of started by AWOL Bush and Draft Dodger Cheney. They illegally declared the war in Iraq. #TheNextBigThing
Thu Aug 13 20:20:42 PDT 2015 --  The people who are illegally spying on me by trying to alter my behavior are the most ignorant people ever. #CIA #NSA #TheNextBigThing
Thu Aug 13 20:17:52 PDT 2015 --  All the while the Department of Veterans Affairs hired people to illegally listen to my thoughts, exploit my disabilities #TheNextBigThing
Thu Aug 13 20:15:21 PDT 2015 --  My right foot is partially numb for no apparent reason, just one of the many agent orange diseases I experience daily. #TheNextBigThing
Wed Aug 12 22:37:45 PDT 2015 --  Since I'm a genius, I know the CIA and Military, Bush and Cheney must be glad they committed treason in order to change my MOS. #ShoutOutDay
Wed Aug 12 22:35:31 PDT 2015 --  If I was a 96B I would've had the VA, DOD MEPS (JAX) doctor,some Army Officials arrested and charged for attempted murder. #ShoutOutDay
Wed Aug 12 22:31:03 PDT 2015 --  The CIA must be filled with criminals,if I was a 96B I would've had the CIA, Bush, Cheney arrested and charged for war crimes #ShoutOutDay
Wed Aug 12 22:17:31 PDT 2015 --  CIA realized I'm too intelligent to be 96B.CIA knew I would find out the truth of why they illegally changed my MOS#AgentOrange #ShoutOutDay
Wed Aug 12 22:11:16 PDT 2015 --  How could someone be AWOL during their military service and yet become a president "Commander In Chief"? #supremecourt #CIA #ShoutOutDay
Wed Aug 12 22:07:41 PDT 2015 --  AWOL Bush ran scared from threats from the insurgents, Bush never landed to visit troops in Iraq (2005) , Bush is a punk. #ShoutOutDay
Wed Aug 12 21:59:13 PDT 2015 --  It's just like the dumbest AWOL president(Bush)to deploy one who is permanently disabled to fight his battles (illegal wars). #ShoutOutDay
Wed Aug 12 21:55:06 PDT 2015 --  It's all adding up finally, how when I graduated from college the only job opening was the US Army #DODputFitForDutySpinaBifida #ShoutOutDay
Wed Aug 12 21:51:34 PDT 2015 --  I know for sure AWOL George W. Bush and Draft Dodger Dick Cheney knew I had most of these diseases prior to me joining the Army #ShoutOutDay
Wed Aug 12 21:49:26 PDT 2015 --  See these photos are a list of over 100 agent orange diseases I most likely have and never knew it. #NSA #ShoutOutDay pic.twitter.com/daF4swTlLC
Wed Aug 12 20:32:23 PDT 2015 --  AWOL George W. Bush,Draft Dodger Dick Cheney sent me to Iraq,they knew I had all or most these diseases. #ShoutOutDay pic.twitter.com/kC9RmEEIm1
Wed Aug 12 20:25:09 PDT 2015 --  So this must be the real reason why VA are trying to stalk and murder me. #ArrestVA #ArrestDOD #ArrestBush https://en.m.wikipedia.org/wiki/Wolff-Parkinson-White_syndrome …
Wed Aug 12 00:15:52 PDT 2015 --  LOL. This is how I win by having a spotless clean record. I Never had a mugshot. I never got a traffic ticket. #PTSD #MyMemoirWouldBeCalled
Wed Aug 12 00:05:05 PDT 2015 --  And there is nothing anyone not even AWOL George W. Bush and Draft Dodger Dick Cheney can do about it. LOL!!!! #MyMemoirWouldBeCalled
Wed Aug 12 00:02:55 PDT 2015 --  It's awesome to know that No One could ever get me into trouble.I never been arrested. I never had a criminal record. #MyMemoirWouldBeCalled
Tue Aug 11 23:56:13 PDT 2015 --  How does a soldier with an agent orange birth defect Spina Bifida have a "Go" on deployment status? Bush is a punk. #MyMemoirWouldBeCalled
Tue Aug 11 23:53:37 PDT 2015 --  When I deployed to Iraq I went through an extensive physical exam yet the Army put "Go" on my deployment status. #MyMemoirWouldBeCalled
Tue Aug 11 23:50:24 PDT 2015 --  E-7 threatened to send me back to Iraq even after I was diagnosed with Spina Bifida if I didn't hurry to exit Army. #MyMemoirWouldBeCalled
Tue Aug 11 23:46:38 PDT 2015 --  It was like mentioning PTSD was a contagion , its like the Army was intentionally avoiding to tell us about PTSD. #MyMemoirWouldBeCalled
Tue Aug 11 23:44:38 PDT 2015 --  George W. Bush and Dick Cheney and the Army never said anything about PTSD the entire time I was in the Army. #MyMemoirWouldBeCalled
Tue Aug 11 23:41:53 PDT 2015 --  Cowards George W. Bush and Dick Cheney didn't even pay me for one of the pay periods while I was in Iraq #OIF3Veteran #MyMemoirWouldBeCalled
Tue Aug 11 23:25:50 PDT 2015 --  I found out AWOL George W. Bush was being investigated (DFAS) during the time frame when I didn't get paid in Iraq. #MyMemoirWouldBeCalled
Tue Aug 11 22:32:39 PDT 2015 --  "George W. Bush completely embarrassed the US by getting scared of regular threats from insurgents, Bush is a punk." #MyMemoirWouldBeCalled
Tue Aug 11 22:26:42 PDT 2015 --  There was actually no reason for the troop surge in 2007,I know cause I was there in 2005.Bush begged to stay in Iraq #MyMemoirWouldBeCalled
Tue Aug 11 22:22:18 PDT 2015 --  AWOL George W. Bush and draft dodger Dick Cheney lied to the public,the Iraq war was supposed to end 2006 time frame #MyMemoirWouldBeCalled
Tue Aug 11 22:18:29 PDT 2015 --  Honestly the way George W. Bush and Dick Cheney cut the orders to deploy it was shady and something was illegal. #MyMemoirWouldBeCalled
Tue Aug 11 22:16:32 PDT 2015 --  George W. Bush and Dick Cheney cut orders to deploy to Iraq individually in my case so they really tried to kill me. #MyMemoirWouldBeCalled
Tue Aug 11 22:14:04 PDT 2015 --  It makes me wonder how much did Jeb Bush know about my Spina Bifida since his brother was trying to murder me. #MyMemoirWouldBeCalled
Tue Aug 11 22:11:58 PDT 2015 --  The DOD doctor at in-processing in JAX must be ignorant cause she put "Fit For Duty"on my physical exam. #SpinaBifida #MyMemoirWouldBeCalled
Tue Aug 11 22:09:13 PDT 2015 --  How ignorant could the DOD doctor be to see a clear indicator to write "Not Fit For Duty" on my Army Application? #MyMemoirWouldBeCalled
Tue Aug 11 22:06:22 PDT 2015 --  Jeb Bush was the FL governor at the exact time I joined the Army (MEPS JAX) 96B intelligence analyst, Birth defect? #MyMemoirWouldBeCalled
Tue Aug 11 22:03:05 PDT 2015 --  George W. Bush and Dick Cheney are such AWOL draft dodging cowards who sent a soldier with Spina Bifida to Iraq War. #MyMemoirWouldBeCalled
Tue Aug 11 22:00:00 PDT 2015 --  George W. Bush and Dick Cheney cut orders to send me to Iraq War with a 3 week notice,they knew I had Spina Bifida. #MyMemoirWouldBeCalled
Tue Aug 11 21:57:49 PDT 2015 --  Army basic training doctor put "return to regular duty"on my profile while I was on crutches. Army tried to kill me. #MyMemoirWouldBeCalled
Tue Aug 11 21:54:55 PDT 2015 --  Army basic training doctor urged me to re-injure my severely sprained ankle while I was on crutches. #PillsDontWork #MyMemoirWouldBeCalled
Tue Aug 11 21:50:08 PDT 2015 --  The Department of Veterans Affairs plotted to kill me throughout my life since before I was born. #VAFraudWasteAbuse #MyMemoirWouldBeCalled
Tue Aug 11 21:47:49 PDT 2015 --  The Department Of Veterans Affairs Stalked me since I was born,yet they never told me I had agent orange birth defect #MyMemoirWouldBeCalled
Tue Aug 11 21:45:42 PDT 2015 --  The DOD doctor who examined me for my in-processing physical saw I had Spina Bifida,asked me what was that in my back #MyMemoirWouldBeCalled
Tue Aug 11 21:40:33 PDT 2015 --  "The day when the VA and DOD and George W. Bush and Dick Cheney all get arrested and charged for murdering veterans." #MyMemoirWouldBeCalled
Tue Aug 11 21:34:58 PDT 2015 --  George W. Bush and Dick Cheney prepare for trial,you will be prosecuted in due process of the law. #NSA #DOD http://www.nbcnews.com/id/6237364/ns/health-health_care/t/fda-approves-computer-chip-humans/ …
Tue Aug 11 21:18:02 PDT 2015 --  FBI needs to arrest the VA clinic doctors and staff at Daytona Beach FL for murdering veterans. https://en.m.wikipedia.org/wiki/Microchip_implant_(human) …
Tue Aug 11 21:12:44 PDT 2015 --  I never gave VA any right to spy on me for any reason.I will not stop getting VA on trial (death penalty) https://en.m.wikipedia.org/wiki/Microchip_implant_(human) …
Tue Aug 11 20:52:13 PDT 2015 --  I'm being stalked and spied upon by the Department of Veterans Affairs. #CivilRights #VASecretWaitingList https://en.m.wikipedia.org/wiki/Automatic_Identification_and_Data_Capture …
Tue Aug 11 20:43:16 PDT 2015 --  Whoever at VA clinic in Daytona Beach injected a listening device(RFID)into my veins"I'll see you in Court." http://www.examiner.com/article/secret-human-rfid-implanting-how-and-why-video …
Tue Aug 11 13:46:15 PDT 2015 --  I would pay a stipend of $2,000 a month/4 year scholarship to each college student who has never been arrested #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:40:06 PDT 2015 --  I would fire VA workers quickly like same day,use their salaries to pay for homeless/poverty programs directly #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:37:38 PDT 2015 --  I would end poverty and homelessness, by using the remaining year salaries of VA workers to fund the program. #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:33:33 PDT 2015 --  All wether they are required to pay taxes or not, property taxes are required except for Disabled Veterans #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:27:41 PDT 2015 --  All individuals and families who make under $100,000 net income will Not be required to pay taxes. #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:24:04 PDT 2015 --  This would be a flat rate tax code in regards to the 20% for families, 30% for individuals will be constant. #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:21:09 PDT 2015 --  Families Tax Code would be 20% total income for families who make $300,000 or more, with tax credit incentives #WhyIWouldMakeAGreatPresident
Tue Aug 11 13:14:53 PDT 2015 --  I would change Tax code to only tax incomes of individuals $100,000 or more at 30% ,with tax credit incentives #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:56:37 PDT 2015 --  Not just the regular imports and exports, but more unique goods and services - lets show out America. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:54:18 PDT 2015 --  I would have a more relaxed trade agreement plan that would involve more imports, exports with other countries #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:50:31 PDT 2015 --  I would have a capital punishment law that would involve deputy volunteers to handle death row VA workers. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:47:10 PDT 2015 --  Those VA workers who conspired to murder Veterans-their death row won't cost the tax-payers anything. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:44:12 PDT 2015 --  I would make sure all Veterans and survivors get a real raise in pay/benefits 30% cost of living each year. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:41:42 PDT 2015 --  There wouldn't be any VA employees to pay out of the funding, because all the money allocated paid to Veterans #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:38:43 PDT 2015 --  I would use the billions of dollars used to fund the VA and put the money towards paying benefits to Veterans. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:34:19 PDT 2015 --  I would put incompetent VA workers on death row for murdering Veterans.It's easy to truthfully process claims. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:31:32 PDT 2015 --  This country owes us Veterans for all we did to defend this country without hesitation. Quick claims process. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:29:14 PDT 2015 --  I would make sure there is an effective pathway to approve claims. There wouldn't be any denials. #Veterans #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:27:10 PDT 2015 --  I would abolish Department of Veterans Affairs entirely and replace VA with effective system to approve claims #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:24:23 PDT 2015 --  I would fire,put most of the Department of Veterans Affairs workers in prison,order VA to pay all Veterans. #WhyIWouldMakeAGreatPresident
Tue Aug 11 12:07:03 PDT 2015 --  The river in Colorado symbolizes agent orange water contamination just like how I got Spina Bifida. #EPA http://agentorangerecord.com/information/what_is_dioxin/sites/ …
Tue Aug 11 12:04:05 PDT 2015 --  The EPA claim its a mistake,but does the Denver VA Office approves that statement or denies it like my claim http://agentorangerecord.com/information/what_is_dioxin/sites/ …
Tue Aug 11 12:01:48 PDT 2015 --  I wonder if the Denver VA Regional Office are going to get the hint and approve my Spina Bifida appeal? #EPA http://agentorangerecord.com/information/what_is_dioxin/sites/ …
Sun Aug 09 17:53:38 PDT 2015 --  #TheTruthShallSetYouFree Of course VA would oppose new law,because they are going around murdering veterans. http://www.propublica.org/podcast/item/why-were-investigating-the-impact-of-agent-orange/ …
Sun Aug 09 17:42:07 PDT 2015 --  I guess I will diagnose myself since the VA/DOD keeps trying to murder me instead of diagnosing me correctly http://agentorangelegacy.blogspot.com/2009/10/s1940-agent-orange-childrens-study.html?m=1 …
Sun Aug 09 17:35:48 PDT 2015 --  The VA/DOD never checked or examined me for agent orange diseases but its like I have about 25% on the list. http://beforeitsnews.com/health/2012/08/children-of-vietnam-veterans-agent-orange-dioxin-reported-illness-list-covvha-database-update-2444506.html …
Sun Aug 09 17:22:11 PDT 2015 --  The VA, DOD, Army never told me I had these agent orange related diseases therefore they tried to murder me. http://www.m.webmd.com/a-to-z-guides/irritable-bowel-syndrome-ibs-symptoms …
Sun Aug 09 17:19:56 PDT 2015 --  I got up and it was weird, because my right arm was in pain,but I didn't fall I just slid #VAtriedToMurderMe http://www.m.webmd.com/a-to-z-guides/irritable-bowel-syndrome-ibs-symptoms …
Sun Aug 09 17:12:53 PDT 2015 --  Department Of Veterans Affairs just tried to murder me again tonight I slid on the wet floor,my arm hurts http://www.mayoclinic.org/diseases-conditions/irritable-bowel-syndrome/basics/symptoms/CON-20024578 …
Sat Aug 08 19:04:15 PDT 2015 --  #BushWentAWOL This is why we had pay issues during Iraq War.Bush and Cheney owe me money. #Invalidpresident https://en.m.wikipedia.org/wiki/George_W._Bush_military_service_controversy …
Sat Aug 08 17:59:47 PDT 2015 --  How could George W. Bush be qualified to become a president since he went AWOL in the national guard? #GOPDebate http://m.truthdig.com/dig/item/the_last_letter_20130318 …
Sat Aug 08 17:53:15 PDT 2015 --  #GOPDebate #InternationalCatDay Photos are proof of Agent Orange Birth Defect. #MyClaimIllegallyDeniedByVA pic.twitter.com/DzRQQeNqQ6
Sat Aug 08 17:33:23 PDT 2015 --  #ReadThis #Veterans #GOPDebate #NSA #DepartmentOfDefense #CIA #ArrestBushAndCheney #Military #Torture http://m.truthdig.com/dig/item/the_last_letter_20130318 …
Fri Aug 07 23:41:31 PDT 2015 --  #GOPDebate My spy detector alarmed when I posted those tweets about Bush and Cheney and VA are terrorists. LOL! #NSA pic.twitter.com/ZaPLPuMzsP
Fri Aug 07 23:24:49 PDT 2015 --  If anyone is upset about my tweet stating VA,Bush and Cheney are terrorists,"TRY ME". I'm ready to Win a court case against them. #GOPDebate
Fri Aug 07 23:17:13 PDT 2015 --  George W. Bush and Dick Cheney are Terrorists. The Department of Veterans Affairs are Domestic Terrorists. #GOPDebate #SpinaBifida
Fri Aug 07 21:47:42 PDT 2015 --  #nowplaying George W. Bush Is A Terrorist. on @Rhapsody #TrueStatement VA/DOD and Army Committed Treason. http://www.rhapsody.com/playlist/mp.199695971 …
Fri Aug 07 21:42:38 PDT 2015 --  #nowplaying Dick Cheney Is A Terrorist. on @Rhapsody #TrueStatement They sent me with Spina Bifida to Iraq http://www.rhapsody.com/playlist/mp.199694917 …
Thu Aug 06 16:58:59 PDT 2015 --  #nowplaying I Never Committed A Crime.I Will Prosecute The VA and I Will Get The VA/DOD Arrested.on@Rhapsody http://www.rhapsody.com/playlist/mp.199595979 …
Thu Aug 06 13:10:11 PDT 2015 --  The Department of Veterans Affairs robbed me of my benefits I deserved at birth. Now the VA are still trying to murder me. #GOPDebate #MEPS
Thu Aug 06 13:02:08 PDT 2015 --  #nowplaying I Never Failed To Report. The VA Tried To Murder Me That's Why I Didn't go to doctor appointment. on @Rhapsody
Thu Aug 06 13:01:39 PDT 2015 --  #nowplaying DOD, VA, Army, committed treason and genocide. on @Rhapsody The VA/DOD/Army lied to me(JAX MEPS) http://www.rhapsody.com/playlist/mp.194688492 …
Thu Aug 06 12:57:46 PDT 2015 --  #nowplaying I Never Failed To Report. The VA Tried To Murder Me That's Why I Didn't go to doctor appointment. I Never "Failure To Report"
Thu Aug 06 12:31:35 PDT 2015 --  #nowplaying The VA Stole My Benefits At Birth. on @Rhapsody http://www.rhapsody.com/playlist/mp.199571078 …
Thu Aug 06 12:04:31 PDT 2015 --  #nowplaying The Department Of Veterans Affairs Robbed Me At Birth. on @Rhapsody (The VA stole my benefits.) http://www.rhapsody.com/playlist/mp.194741283 …
Wed Aug 05 21:15:38 PDT 2015 --  Each second the VA and other people rape my mind/thoughts it causes chest pain, severe headaches (VA laughs) http://wiseyesllc.hubpages.com/hub/SAAD-Stress-Anxiety-Adversity-Depression …
Wed Aug 05 21:03:09 PDT 2015 --  The Department Of Veterans Affairs are murderers.They must be prosecuted in a court of law. #CBSNews #Local6 http://m.naturalnews.com/news/050596_Veterans_Affairs_hospital_treatment_health_care.html …
Wed Aug 05 20:22:26 PDT 2015 --  The first question on an Army Application should be "Did the VA try to kill you before birth?" #AgentOrange #DebateQuestionsWeWantToHear
Wed Aug 05 20:16:10 PDT 2015 --  Why DOD sign off on an Army Applicant "Fit For Duty",the Soldier later is diagnosed with Spina Bifida? #Jeb #DebateQuestionsWeWantToHear
Sat Aug 01 11:27:32 PDT 2015 --  #nowplaying The VA are Murderers. on @Rhapsody http://www.rhapsody.com/playlist/mp.194827498 …
Sat Aug 01 11:24:40 PDT 2015 --  #nowplaying George W. Bush and Dick Cheney are domestic Terrorists. on @Rhapsody http://www.rhapsody.com/playlist/mp.195135076 …
Sat Aug 01 11:22:08 PDT 2015 --  #nowplaying DOD, VA, Army, committed treason and genocide. on @Rhapsody http://www.rhapsody.com/playlist/mp.194688492 …
Sat Aug 01 11:20:25 PDT 2015 --  #nowplaying DOD doctor saw and knew at time of my MEPS physical exam that I had Spina Bifida, never told me. on @Rhapsody
Fri Jul 31 12:18:02 PDT 2015 --  #nowplaying New Dance Mix on @Rhapsody http://www.rhapsody.com/playlist/mp.198988282 …
Thu Jul 30 05:34:53 PDT 2015 --  Jeb Bush is a wimp-Don't Vote for him seriously during his term in FL, DOD never told me that I had Spina Bifida #VietnamVet #CecilTheLion
Thu Jul 30 05:28:29 PDT 2015 --  #JebBushIsAWimp During Jeb as governor of FL the DOD in JAX FL MEPS saw and knew I had Spina Bifida DOD put"fit for duty" #MissionImpossible
Sat Jul 25 20:39:42 PDT 2015 --  The VA saw and knew since I was 8 or 9 years old I had severe acne at an unusual early age. #DeniedBenefits http://www.publichealth.va.gov/exposures/agentorange/conditions/chloracne.asp …
Sat Jul 25 20:37:03 PDT 2015 --  Why when I sent in my claim for agent orange diseases (skin, facial hair) the VA illegally denied my claim? http://www.publichealth.va.gov/exposures/agentorange/conditions/chloracne.asp …
Sat Jul 25 20:33:59 PDT 2015 --  I wonder why when I was going to VA doctor appointments years ago they never told me anything about this? http://www.bing.com/search?q=acne+at+age+8+is+caused+by+agent+orange+&go=Submit&qs=n&form=QBRE&pc=APPL&pq=acne+at+age+8+is+caused+by+agent+orange+&sc=1-14&sp=-1&sk= …
Sat Jul 25 20:21:45 PDT 2015 --  This is why the VA is trying to plot to murder me, because the doctors saw my skin conditions, facial hair. http://www.bing.com/search?q=agent+orange+found+in+hair+follicles+with+vinegar+and+well+water&a=results&MID=2500 …
Sat Jul 25 20:07:48 PDT 2015 --  #UFCChicago https://www.youtube.com/playlist?list=PL0Nw-3AQhc2DPmYSAOCxwc1bqUO78BiRw … pic.twitter.com/ouMevMO6Hk
