Fri Aug 28 17:26:43 PDT 2015 --  Just posted a photo https://instagram.com/p/68naZtDCZ1/ 
Sun Jul 19 09:28:16 PDT 2015 --  Zayn: slays NB Harry: death threats Louis: becomes a dad Liam: gets engaged Niall: #SophiamIsEngaged pic.twitter.com/MdP6J4fyMq
Fri Aug 21 19:36:30 PDT 2015 --  "It's been years now but Liam still don't know the right direction" IM LAUGHING SO HARD #DragMeDownMusicVideoIsOut pic.twitter.com/B2SmdxMJ1H
Fri Aug 21 17:10:32 PDT 2015 --  a refresh not replay
Fri Aug 21 14:58:48 PDT 2015 --  AT 8 PM WE WILL HAVE A WATCH PARTYlook up your own time zones GET READY TO SLAY #DragMeDownMusicVideoIsOut pic.twitter.com/G5smWBOKLf
Fri Aug 21 16:55:32 PDT 2015 --  WHY CANT Drag Me Down MUSIC VIDEO BE AVAILABLE ON ITUNES YET
Fri Aug 21 14:19:28 PDT 2015 --  JUST A FEW MORE HOURS! Come on guys we can do it!! We are very behind but we can do it #DragMeDownMusicVideoIsOut pic.twitter.com/5EIEXfdP34
Fri Aug 21 13:11:38 PDT 2015 --  That's it Derby! Get into em ....
Fri Aug 21 03:45:52 PDT 2015 --  NIALLS PART IN #DragMeDownMusicVideо pic.twitter.com/Io6Ar2dgg1
Thu Aug 20 23:16:16 PDT 2015 --  #DragMeDownMusicVideo is FINALLY out!! Get watching on @Vevo. http://vevo.ly/VtsVaB 
Fri Aug 21 09:53:10 PDT 2015 --  It was so cool to shoot at @NASA_Johnson , so glad we did coz it turned out sick http://vevo.ly/VtsVaB 
Thu Aug 20 23:31:00 PDT 2015 --  http://vevo.ly/VtsVaB 
Thu Aug 20 22:43:04 PDT 2015 --  We shot our new video at @NASA! http://vevo.ly/VtsVaB 
Wed Aug 19 04:29:53 PDT 2015 --  I NEED THIS FOR TOMORROW #OTRAToronto pic.twitter.com/PCWClKrive
Thu Aug 20 17:59:27 PDT 2015 --  THIS FANDOM IS SO FAST I'M LAUGHING pic.twitter.com/3fParwWY1S
Thu Aug 20 15:33:56 PDT 2015 --  READ THIS & RETWEET TO SPREAD. #DragMeDownMusicVideo #MTVHottest One Direction pic.twitter.com/Wlr3fYuw2v
Tue Aug 18 13:32:34 PDT 2015 --  ziam kiss pic.twitter.com/evV9X00zAF
Thu Aug 20 16:07:18 PDT 2015 --  RT IF YOU'RE NOT GOING TO SLEEP THIS NIGHT BC OF DRAG ME DOWN MUSIC VIDEO #DragMeDownMusicVideo #MTVHottest One Direction
Thu Aug 20 16:32:52 PDT 2015 --  RETWEET IF YOU THINK WE ARE GOING TO BREAK THE VEVO RECORD. #DragMeDownMusicVideo #MTVHottest One Direction pic.twitter.com/yBfhwYwqIi
Thu Aug 20 16:14:28 PDT 2015 --  Looking forward to the meet and greet :) I see you
Thu Aug 20 15:34:19 PDT 2015 --  Just posted a photo https://instagram.com/p/6n0MLwjCVD/ 
Thu Aug 20 15:13:09 PDT 2015 --  My very funny friend @jackwhitehall has a new movie out tomorrow in cinemas, it's Gona be hilarious #BadEducationMovie
Thu Aug 20 13:05:02 PDT 2015 --  Great craic on the national in Toronto today with @McIlroyRory , great golf course , crap weather but us Irish didn't care
Wed Aug 19 13:35:51 PDT 2015 --  @NiallOfficial defensive haha
Thu Aug 20 09:54:13 PDT 2015 --  IM CRYING THIS IS AMAZING pic.twitter.com/WkynQDOSzk
Thu Aug 20 10:00:49 PDT 2015 --  One Direction described in a gif pic.twitter.com/c4xJjti4YC
Thu Aug 20 10:11:14 PDT 2015 --  AT THE START YOU CAN SEE ONLY LIAM & LOUIS RIGHT? FROM WHERE DID NIALL CAME OUT? #MTVHottest One Direction https://vine.co/v/eDhJzQg0P0Y 
Wed Jan 05 20:43:49 PST 2011 --  Msn any1 zayn@live.co.uk
Thu Aug 20 10:35:43 PDT 2015 --  Niall choking during through the dark I can't stop laughing https://vine.co/v/evmwx1MjFXA 
Thu Aug 20 09:33:11 PDT 2015 --  IF HARRY TICKLING LIAM WITH HIS CURLS DOESNT MAKE U RT IDK WHAT WILL TOO CUTE TO IGNORE #MTVHottest One Direction pic.twitter.com/OXqmzEEs6J
Wed Aug 19 19:01:51 PDT 2015 --  Thank you for such a warm welcome in Columbus last night. Hope you had a good time. Thanks for having us. H
Sun Aug 16 14:18:06 PDT 2015 --  harry https://vine.co/v/entIZEF3m5J 
Wed Aug 19 14:50:45 PDT 2015 --  I have zero motivation to even think about school
Wed Aug 19 11:59:19 PDT 2015 --  @mutualfond @AndySamuels it's not even Halloween and that's pretty scary
Wed Aug 19 07:20:11 PDT 2015 --  BUT REMEMBER WHEN ZAYN STARTED SINGING THE LYRICS FOR WMYB BEFORE IT CAME OUT AND THE BOYS KINDA JUST #4YearsOfWMYB pic.twitter.com/iOVPxC0zjl
Wed Aug 19 09:30:04 PDT 2015 --  So c'mon u got it wrong To prove Im right I wrote Dont forget where u belong #4YearsOfWMYB #MTVHottest One Direction pic.twitter.com/QssE84fAua
Wed Aug 19 06:52:36 PDT 2015 --  "BEST HUMAN BEING ON EARTH" #WeLoveYouLiam pic.twitter.com/QVj4yhIp59
Wed Aug 19 07:29:53 PDT 2015 --  THIS IS SO FUNNY & TRUE. I'M SORRY NIALL & LOUIS. #WeLoveYouLiam #MTVHottest One Direction pic.twitter.com/6jsnIlfaZ1
Wed Aug 19 07:31:47 PDT 2015 --  "Liam doesn't love his fans" I dare you to say it again #WeLoveYouLiam pic.twitter.com/Ww3Ey3LNGk
Wed Aug 19 07:37:40 PDT 2015 --  He got a big heart, all he care is to make others happy. He deserve more respect and appreciation. #WeLoveYouLiam pic.twitter.com/CEVXlssOlz
Wed Aug 19 08:04:08 PDT 2015 --  Remember when Zayn left Liam was the one who first came on twitter and tried the best to make us smile #WeLoveYouLiam pic.twitter.com/2IXn7YMUvI
Wed Aug 19 08:17:29 PDT 2015 --  LIAM PAYNE IS ALWAYS THERE FOR US AND WE WILL ALWAYS BE HERE FOR HIM. #WeLoveYouLiam #MTVHottest One Direction pic.twitter.com/q24n77O2l4
Wed Aug 19 08:31:22 PDT 2015 --  Harry's note change in 18 pic.twitter.com/hp6tq0Ne9E
Wed Aug 19 08:38:20 PDT 2015 --  Retweet if you think Liam Payne is the sweetest boy ever. #WeLoveYouLiam #MTVHottest One Direction pic.twitter.com/mRZDTbsLz0
Wed Aug 19 08:53:55 PDT 2015 --  LIAM IS THE KINDEST, SWEETEST AND THE MOST AMAZING PERSON IN THE WORLD HE DOESN'T DESERVE THE HATE #WeLoveYouLiam pic.twitter.com/XyjlUXQfro
Wed Aug 19 09:04:04 PDT 2015 --  Look at this cutie! https://vine.co/v/ep3njDz3phV 
Tue Aug 18 22:30:57 PDT 2015 --  I'm just here to make people smile I kinda consider it my job role
Tue Aug 18 22:13:27 PDT 2015 --  I'm sorry to those I offended really I am but there's no need for some of the things I'm being called
Tue Aug 18 22:06:49 PDT 2015 --  And all some people want to concentrate on was a throw away statement about a song that I love
Tue Aug 18 22:06:04 PDT 2015 --  So annoying trying your hardest to make people happy in a show and you think about all the notes u tried to hit higher or a little sweeter
Tue Aug 18 22:01:47 PDT 2015 --  I am in no way shape or form homophobic that's a ridicules thing to say and I'm not here to offend people so take it as you will
Tue Aug 18 22:07:03 PDT 2015 --  Crap end to a good day
Wed Aug 19 08:49:51 PDT 2015 --  AS IM REVERSING THE CAR I TURN ON THE RADIO AND ALL I CAN HEAR IS HARRYS LONG NOTE IN DRAG ME DOWN I ENDED UP HITTING THE CURB
Tue Aug 18 10:29:55 PDT 2015 --  Niall looks so small coz ernie els is about 6 ft 5 https://twitter.com/candiedhes/status/633652061838573568 …
Tue Aug 18 16:20:12 PDT 2015 --  WHERE HAS THIS BEEN ALL MY LIFE pic.twitter.com/m7cz0yiHSk
Tue Aug 18 16:21:13 PDT 2015 --  HOLY CRUD I AM UP TO 100 FOLOWERS THANK YOU ALL SO SO SO MUCH
Tue Aug 18 15:12:54 PDT 2015 --  SOMEONE BROUGHT THIS SIGN FOR THE CONCERT TONIGHT #OTRAColumbus pic.twitter.com/VI3W65FSTN
Tue Aug 18 12:49:38 PDT 2015 --  Shout it from the rooftops !!
Tue Aug 18 12:57:02 PDT 2015 --  Retweet if you want to gain just follow everyone who retweets this and follow back who ever follows you
Tue Aug 18 09:46:33 PDT 2015 --  This is so hot oh my god pic.twitter.com/lAjnJSb4Wi
Tue Aug 18 10:04:30 PDT 2015 --  Yes Niall, we all know Zayn is so beautiful and mesmerizing pic.twitter.com/rmFyTsRTrd
Tue Aug 18 10:27:18 PDT 2015 --  Not a problem , dash is the coolest little kid.. https://twitter.com/ellielaneday/status/633647041533640706 …
Tue Aug 18 06:17:48 PDT 2015 --  Columbus Ohio are you ready for tonight ? It's Gona be sick , we're all refreshed and ready to go , it's Gona be a good one
Mon Aug 17 15:35:04 PDT 2015 --  All rested up ! Ready for the show tomorrow :)
Tue Aug 18 08:28:28 PDT 2015 --  can’t believe we get to headline Apple Music festival ! Gonna be great !
Tue Aug 18 04:17:18 PDT 2015 --  Such a sick night pic.twitter.com/3n3FuvAijm
Mon Aug 17 13:53:18 PDT 2015 --  #ZAYNHASNOCHILL #ZAYNSLAY
Mon Aug 17 12:47:12 PDT 2015 --  Oh and I write my own shit too dickhead
Mon Aug 17 00:42:20 PDT 2015 --  pic.twitter.com/npP2GPx4Mi
Sun Aug 16 20:21:42 PDT 2015 --  Meth and red man tonight pic.twitter.com/77SVBlL5pX
Mon Aug 17 02:30:29 PDT 2015 --  pic.twitter.com/siHr9ewJ0W
Mon Aug 17 04:04:40 PDT 2015 --  Just woke up and had a text to say that we won 8 awards @TeenChoiceFOX , wowwwww! You guys are incredible yet again, thank you so much
Mon Nov 24 08:28:01 PST 2014 --  try not to cry https://vine.co/v/OJXXWQAZO75 
Sun Aug 16 14:50:39 PDT 2015 --  Retweet if Niall Horan is your sunshine!! 1 RT= 1 VOTE #TeenChoiceAwards #MTVHottest One Direction pic.twitter.com/kY62vrzctQ
Sun Aug 16 09:09:03 PDT 2015 --  HARRY SAYING "ANUS" IN ITALIAN ON ACCIDENT IS STILL SO FUNNY https://vine.co/v/Og0eFehT30h 
Sun Aug 16 09:20:37 PDT 2015 --  Retweet for Harry twerking! WE HAVE TO WIN FOR THEM IT'S TOMORROW! 1 RT= 1 VOTE #MTVHottest One Direction pic.twitter.com/4FKHgqrrbq
Sun Aug 16 08:52:37 PDT 2015 --  "slays tom from the wanted" "slays naughty boy" "slays little mix" everyone be like: #ZAYNHASNOCHILL pic.twitter.com/nlzyizupm8
Sun Aug 16 06:25:27 PDT 2015 --  Retweet if you have less then 30k and want to be mentioned in my gain tweet, you'll gain 50+
Sun Aug 16 07:05:34 PDT 2015 --  accurate representation of harry being angry pic.twitter.com/03DZwU8HMK
Sun Aug 16 07:15:02 PDT 2015 --  One part of the 1D fandom when they saw Zayn tweet vs the other part of the fandom. #ZAYNHASNOCHILL #DragMeDownDay pic.twitter.com/izauNeL5nB
Sun Aug 16 07:31:14 PDT 2015 --  ZAYN AND HIS DOG APPRECIATION TWEET #ZAYNHASNOCHILL #DragMeDownDay pic.twitter.com/xCxPuvheEi
Sun Aug 16 07:55:19 PDT 2015 --  Rt for 30 free follows Bc its #DragMeDownDay
Sun Aug 16 07:42:29 PDT 2015 --  RT for one direction -drag me down Fav for little mix -black magic #DragMeDownDay #ZAYNHASNOCHILL pic.twitter.com/HmXTZ0jQNe
Sun Aug 16 08:49:59 PDT 2015 --  IVE BEEN PLAYING DRAG ME DOWN ALL DAY my brother said: stop playing that song its annoying and my dad sent him to his room and no alowance🏻
Sun Aug 16 05:35:12 PDT 2015 --  Parents: stop listening to Drag Me Down Friends : stop the Drag Me Down song it's annoying Me: #DragMeDownDay pic.twitter.com/Wz531MaJ9A
Sat Aug 15 17:44:40 PDT 2015 --  @OT4WWUpdates RT THUS pic.twitter.com/KOhhxD7jbR
Sat Aug 15 18:00:51 PDT 2015 --  Since it's #DragMeDownDay, make sure to have it on repeat! https://open.spotify.com/user/1dvotespree/playlist/4MuYA8XvH1NCQB3yvn2YxW … #MTVHottest One Direction
Sat Aug 15 16:02:56 PDT 2015 --  RT #MPN One Direction pic.twitter.com/7DftK0l0I5
Fri Aug 14 21:54:50 PDT 2015 --  that lip bite he does .... pic.twitter.com/yOcNHgcTwS
Sat Aug 15 14:57:51 PDT 2015 --  Gonna be following and DMing all day
Sat Aug 15 15:23:51 PDT 2015 --  pic.twitter.com/cF8srQsGXD
Sat Aug 15 14:00:01 PDT 2015 --  We ain't got no roof pic.twitter.com/btTXTAWUXx
Sat Aug 15 09:59:57 PDT 2015 --  retweet for 850 free follows i'll give them all at once make sure you have my notifs on pic.twitter.com/VbWwlkKQH6
Fri Aug 14 17:01:00 PDT 2015 --  IM NOT SAYING HE READ THIS BUT I THINK HE DID pic.twitter.com/strkIiFrdK
Fri Aug 14 17:14:20 PDT 2015 --  Harry + cameras pic.twitter.com/EBHoFu0mkp
Fri Aug 14 15:26:50 PDT 2015 --  Could be a Christmas best seller! https://twitter.com/whereyagoinmark/status/632314675934457856 …
Fri Aug 14 15:46:17 PDT 2015 --  Retweet if you love Harry Styles. #teenagedirtbagonthesetlist #MTVHottest One Direction
Fri Aug 14 16:03:48 PDT 2015 --  RETWEET IF YOU WANT TEENAGE DIRTBAG ON THE SETLIST #teenagedirtbagonthesetlist #MTVHottest One Direction pic.twitter.com/Q6PjzbqmJs
Fri Aug 14 14:52:31 PDT 2015 --  Goodnight, here's shirtless happy zayn. I loe you @zaynmalik if you see this follow me #MTVHottest One Direction pic.twitter.com/KeRFhgiy64
Thu Aug 13 13:49:54 PDT 2015 --  Niall when he's asked why he doesn't have any tattoos https://vine.co/v/eKxMplbiXlv 
Fri Aug 14 13:26:28 PDT 2015 --  follow everyone i retweeted to be retweeted next
Fri Aug 14 08:15:17 PDT 2015 --  THEY SPENT 7 HOURS TO MAKE US HAPPY SO TAKE A MINUTE TO VOTE ONE RT COUNTS AS A VOTE #MTVHottest One Direction pic.twitter.com/sw6VEWRtQQ
Fri Aug 14 08:01:25 PDT 2015 --  what a dork #MTVHottest One Direction https://vine.co/v/M9QI3DETuEj 
Fri Aug 14 09:37:31 PDT 2015 --  that booty tho pic.twitter.com/eha7mSL4cy
Thu Aug 13 19:41:22 PDT 2015 --  pic.twitter.com/BUKf2XFfA3
Thu Aug 13 14:32:30 PDT 2015 --  . @5SOS is really hot on the #Trending140 right now: http://blbrd.cm/MeKh26  pic.twitter.com/CWSGS6zpQR
Thu Aug 13 14:13:16 PDT 2015 --  Come on donny !!
Thu Aug 13 14:31:40 PDT 2015 --  Well done lads !! All good penalties !! @drfc_official
Thu Aug 13 18:06:44 PDT 2015 --  Didn't realise the hate for minions was this real fuck these aliens got it bad
Wed Aug 12 22:16:10 PDT 2015 --  RT for Zayn Malik King Of R&B FAV For Iphone Makers pic.twitter.com/dL0zJulkFv
Thu Aug 13 10:41:09 PDT 2015 --  Niall's video message to courtneypriede ! pic.twitter.com/3dcQrJ2Fnp via @_1DSlovakia
Thu Aug 13 12:34:56 PDT 2015 --  -They wish death on us -Call Zayn terrorist -Say were racist & they want friendship #WeLove1dAndKpop #MTVHottest 1D pic.twitter.com/FzjqnDJ5l6
Thu Aug 13 10:51:32 PDT 2015 --  IN THE STUDIO: @SkySports are all set up at the Keepmoat ahead of kick off #DRFC pic.twitter.com/KwPHYJTocf
Thu Aug 13 11:43:14 PDT 2015 --  Donny rovers on sky sports !!! Come on lads!!
Thu Aug 13 11:01:50 PDT 2015 --  So I learnt today that apparently my tweets can bring back chicken fries... Whatever will I ask for next? ;)
Thu Aug 13 10:54:25 PDT 2015 --  Remember when Niall brought balloons on his birthday with the colors of Ireland! So cute! #MTVHottest One Direction pic.twitter.com/Xkv6NHnCwe
Wed Aug 12 23:24:20 PDT 2015 --  I'm going to drop this right here #DirectionersFuneral pic.twitter.com/d4yT84RE0H
Wed Aug 12 20:21:30 PDT 2015 --  What is kpop ?
Thu Aug 13 07:07:17 PDT 2015 --  Retweet for 60 free follows. #MTVHottest One Direction
Wed Aug 12 19:12:24 PDT 2015 --  LET'S SEE WHO WINS NOW RT FOR ONE DIRECTION FAV FOR KPOP #DirectionersFuneral #MTVHottest One Direction pic.twitter.com/N5albvpwjz
Thu Aug 13 07:32:34 PDT 2015 --  Lux is the only girl that would turn down a kiss from Harry Styles #MTVHottest One Direction pic.twitter.com/p9iOKP1eE8
Thu Aug 13 08:45:41 PDT 2015 --  Retweet if Niall Horan is your sunshine. 1 RT= 1 VOTE #MTVHottest One Direction pic.twitter.com/U2x8KLXcfp
Thu Aug 13 08:55:23 PDT 2015 --  RT THIS IF YOU ARE PROUD TO CALL ONE DIRECTION YOUR IDOLS #MTVHottest One Direction pic.twitter.com/CK9ezLSM6J
Thu Aug 13 09:37:08 PDT 2015 --  never forget this beautiful day pic.twitter.com/TAO6ZQD0gx
Thu Aug 13 05:23:28 PDT 2015 --  These pictures are art pic.twitter.com/tF2bGjbOWc
Wed Aug 12 11:13:45 PDT 2015 --  @zaynmalik stepped out in LA last night looking fresh in Versace pic.twitter.com/7thCGP4Rhn
Thu Aug 13 03:34:38 PDT 2015 --  Hahah
Fri Aug 12 11:24:07 PDT 2011 --  #ChrisBrownFollowZaynMalik hey just gt asked to tweet this let's trend it guys :)
