Tue Feb 03 01:00:49 PST 2015 --  #TeamBreezy – watch the premiere of #Ayo NOW on @Vevo: http://vevo.ly/DjxuhA 
Sun Mar 24 20:03:21 PDT 2013 --  Rick Ross vs. His Personal Chef (Video) http://bit.ly/Ymq3ho 
Sun Mar 24 20:04:39 PDT 2013 --  Smoke one.. NEW VIDEO: @RickyRozay "Ashamed" (Dir. By @DreFilms) http://bit.ly/13E2rMj  #GFID #Mastermind
Sun Mar 24 20:05:52 PDT 2013 --  !!! “ @MTV: MUSIC VIDEO PREMIERE! Meek Mill, 'Believe It featuring Rick Ross:' http://on.mtv.com/YKWpSv ”
Sun Mar 24 08:56:51 PDT 2013 --  New video's,New single's,New Empire. #MMG
Sun Mar 24 08:53:15 PDT 2013 --  She,simply amazing
Sun Mar 24 08:46:16 PDT 2013 --  Bored
Sun Mar 24 08:30:43 PDT 2013 --  Ȋ̝̊̅ kiss her from her titty τ̅ her clitty
Sun Mar 24 08:27:23 PDT 2013 --  Ȋ̝̊̅ got a̶̲̥̅ lot of bad bitches she d only one gud, Ȋ̝̊̅ got flowers 4 notin,she smillin nd blushin
Sun Mar 24 07:24:46 PDT 2013 --  The only thing I should be concerned with working out, is my Relationship with God.. All other things wld follow in time
Sun Mar 24 06:48:13 PDT 2013 --  RT @939WKYS: Wale Drops New “Bad” Video + Announces New Album Coming This June http://bit.ly/Y0EQC3 
Sun Mar 24 06:23:55 PDT 2013 --  #MMGNews!! TODAY is the World Premiere of @MeekMill ft @RickyRozay new video "Believe It" [Dir x @DREfilms] on @mtv2 @mtv @mtvjams rt
Sun Mar 24 06:51:57 PDT 2013 --  http://www.evaalordiah.blogspot.com  "@MsFola_: @EvaAlordiah Hi Ma'am, i'm interested in the shea butter story, do u mind sharing again,
Sun Mar 24 04:21:06 PDT 2013 --  The best conversations always happen late at night
Sun Mar 24 02:36:50 PDT 2013 --  Ex
Sun Mar 24 02:36:36 PDT 2013 --  Church church church
Sun Mar 24 02:36:00 PDT 2013 --  Ȋ̝̊̅ wanna. Fuck @Tho_lu. Raw. No condoms
Sun Mar 24 02:12:27 PDT 2013 --  Thank You Jesus.
Sun Mar 24 01:35:36 PDT 2013 --  ?
Sun Mar 24 01:31:51 PDT 2013 --  Can U̶̲̅ sex ūя̲̅. mother jst τ̅ b rich like Carlos slim the world richest
Sun Mar 24 01:23:11 PDT 2013 --  Tank U̶̲̅. Lord. Fơ̴̴̴̴͡я̲̅ making m̶̲̥̅̊y enemies bow b4 me
Sun Mar 24 01:07:32 PDT 2013 --  Bcos U̶̲̅ go church 2day since last yr "@iamsamklacy: ..
Sun Mar 24 01:00:15 PDT 2013 --  Na mouth"@iamsamklacy: RT if U̶̲̅ r ask τ̅ run U̶̲̅ go run pass usain bolt @banksbolaji: If robbers ever broke into my house and ...
Sun Mar 24 00:26:30 PDT 2013 --  Time τ̅ bring out the page out of bible
Sat Mar 23 23:35:14 PDT 2013 --  Hapi Sunday
Sat Mar 23 18:01:56 PDT 2013 --  In Case You Missed It: @jtimberlake will release #The2020Experience, Volume II this November! http://ow.ly/jl2g6  #ICYMI
Sat Mar 23 16:09:06 PDT 2013 --  Vote for #Bad on @106andpark! Lets get it to #1 => http://www.bet.com/shows/106-and-park/106-park-voting.html … #BOA #TheGifted #Folarin
Sat Mar 23 17:47:10 PDT 2013 --  WE GOINGG IN TONIGHT #PRIVATE #CIROCBOY #BLACKBOTTLES #MMG
Tue Feb 28 11:58:39 PST 2012 --  Nice one bro" @dammydustin: #iWannaGiveAShoutoutTo @2faceidibia @937RhythmFm @ak_tripx @BigFridayShow @bimmybell20 @damylareyjunior
Sat Mar 23 17:16:05 PDT 2013 --  “Differences of habit and language are nothing at all if our aims are identical and our hearts are open.”
Sat Mar 23 17:11:53 PDT 2013 --  I found there was only one way to look thin: hang out with fat people.
Sat Mar 23 17:03:33 PDT 2013 --  All right everyone, line up alphabetically according to your height.lol
Sat Mar 23 17:00:16 PDT 2013 --  Go to Heaven for the climate, Hell for the company.
Sat Mar 23 16:58:03 PDT 2013 --  LOL!! " @adekunleGOLD: No Sleeping On a Bicycle"
Sat Mar 23 16:57:58 PDT 2013 --  Do not take life too seriously. You will never get out of it alive.
Sat Mar 23 16:50:55 PDT 2013 --  A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.
Sat Mar 23 16:45:37 PDT 2013 --  I believe that if life gives you lemons, u should make lemonade.. And try 2 find somebody whose life has given them vodka, and av a party.
Sat Mar 23 16:32:56 PDT 2013 --  " @Leke_Alder: 26. A man takes responsibility for the natural consequences of his actions. #Letr2Jack"
Sat Mar 23 13:50:52 PDT 2013 --  LIVE PHOTOS From Annie Macaulay & 2Face Idibia’s Dubai Wedding... http://fb.me/2U6SVp2mN 
Sat Mar 23 13:47:42 PDT 2013 --  Countdown to AY Live on Easter Sunday (8 DAYS TO GO) http://fb.me/G5diyZAp 
Sat Mar 23 12:05:07 PDT 2013 --  In other news @AYCOMEDIAN sabi play football wella. Watched him play at Fun Turf!
Sat Mar 23 13:37:02 PDT 2013 --  Fuck m̶̲̥̅̊y haters
Sat Mar 23 13:04:29 PDT 2013 --  Why We Make Séx Look Real In Our Movies —Ghanaian Actress Yvonne Okoro... http://fb.me/2KuQ1pVCt 
Sat Mar 23 12:59:36 PDT 2013 --  Super eagles suck a̶̲̥̅ lot
Sat Mar 23 12:58:23 PDT 2013 --  Girls don't play freakin games wit ε,am jst f*ckin gud at it
Sat Mar 23 12:52:43 PDT 2013 --  Booty pie so sweet
Sat Mar 23 12:47:15 PDT 2013 --  Amal (John Fashanu's Daughter) Steps On The Red Carpet With Her Nípple On Show... http://fb.me/MHIbDpaN 
Fri Mar 22 18:13:12 PDT 2013 --  Well, at least the entire team (minus Otto) comes back next year. Thanks for the memories number 22. #Hoyas
Fri Mar 22 18:03:23 PDT 2013 --  Goodbye Lagos... hello Dubai :-) #TufaceAndAnnie #Wedding by bankywellington http://bit.ly/WS8dHd 
Fri Mar 22 17:56:39 PDT 2013 --  New Post: Omawumi Warn Yourself ft Wizkid http://bit.ly/Z9Jg8O  (via ClickVibes)
Fri Mar 22 10:01:11 PDT 2013 --  I respect blind people. Why? Because they judge others by their personality, not by their looks
Fri Mar 22 17:40:56 PDT 2013 --  Sina Rambo and B.Red Gang Up To Beat Davido In Atlanta - Drop From HKN... http://fb.me/13rplYk98 
Fri Mar 22 17:48:56 PDT 2013 --  shit
Fri Mar 22 17:40:18 PDT 2013 --  ''Yvonne Nelson Is Spoiling My Market, I Don't Feel Anything For Her And I Never Will'' - John Dumel... http://fb.me/EtTd8QJX 
Fri Mar 22 17:06:25 PDT 2013 --  #Studioflow #Study #Jamesbrown #live #orchestra #classic #soul #creation #creatyourself #greats… http://instagram.com/p/XLeBGwn14N/ 
Fri Mar 22 17:05:42 PDT 2013 --  #killa http://instagram.com/p/XLeS1FBM16/ 
Fri Mar 22 17:28:13 PDT 2013 --  Salute Dj's worldwide #MMG
Thu Mar 21 23:49:21 PDT 2013 --  Two Boko Haram Members Arrested At Ijora Badia, Lagos State, Explosives Discovered Hidden In Ceiling... http://fb.me/13begSaIx 
Thu Mar 21 23:41:23 PDT 2013 --  PHOTOS: Nollywood Now Making Soft Pórn Movies... http://fb.me/CEMtCFEB 
Fri Mar 22 00:00:27 PDT 2013 --  PHOTO: Nicki Minaj's Bréasts Accidentally Pops Out Of Her Bikini... http://fb.me/2PBzTphkL 
Fri Mar 22 00:07:04 PDT 2013 --  RT @Ms_Darmeey: Hey mama roll it!make me wanna hold it!
Fri Mar 22 00:22:53 PDT 2013 --  NEW MUSIC: P-Square Ft Lagbaja – Unlimited... http://fb.me/26vLozuFc 
Fri Mar 22 00:56:48 PDT 2013 --  Baby Daddies Waiting To Follow In Tuface’s Footsteps... http://fb.me/2cjfrGHAu 
Fri Mar 22 00:55:22 PDT 2013 --  RT @IamOgusBaba: Asaba Are you ready for the biggest comedy show? #LaughGoesOn @ Grand Hotel Asaba, March 28th ... http://m.tmi.me/OQeVf 
Fri Mar 22 00:53:00 PDT 2013 --  RT @Hit_Boy: It's really not hard. Be Happy.
Tue Mar 19 23:36:54 PDT 2013 --  Kano Bombings: 90 Per Cent Of Core Northern Politicians Are Members Of B’Haram – CAN... http://fb.me/KoD5rtBv 
Mon Mar 18 17:22:03 PDT 2013 --  Too soon RT @jemelehill: Greg Oden's knees think Andrew Bynum's knees are a liability.
Sat Mar 16 16:31:15 PDT 2013 --  Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.
Sat Mar 16 16:23:20 PDT 2013 --  Find a place inside where there's joy, and the joy will burn out the pain.
Sat Mar 16 16:18:38 PDT 2013 --  Salute @meekmill putting @acehood on the dreams come true tour this going be show u don't want to miss… http://instagr.am/p/W78Blpruxj/ 
Sat Mar 16 14:56:58 PDT 2013 --  Aww thanks RT @dimma2cute @BankyW watching ur AMVCA performance again, its awesome...my hubby said ur performance was world class..
Sat Mar 16 10:43:39 PDT 2013 --  @AYCOMEDIAN LIve easter sunday March 31st @ Eko hotel & suites..perfrmn acts by @TerryGzus @Wizkidayo @timayatimaya & many more
Sat Mar 16 15:24:42 PDT 2013 --  Lagos State NSCDC Commandant Suspended Over ''My Oga At The Top'' Comment... http://fb.me/2hlf4LRVZ 
Thu Mar 14 00:49:18 PDT 2013 --  Jay Leno,Talk Show Host can't take his eyes off Halle Berry's B00bs (PHOTOS)... http://fb.me/2fbab49jA 
Thu Mar 14 00:48:59 PDT 2013 --  PHOTOS: Funke Akindele And Osoufia Getting Married... http://fb.me/FGPy6zxW 
Wed Mar 13 23:53:04 PDT 2013 --  I got a masterplan! #DC #MMG
Thu Mar 14 00:52:53 PDT 2013 --  LA on my mind
Sat Mar 09 18:47:00 PST 2013 --  i ball everyday of mylife
Sun Mar 03 23:44:04 PST 2013 --  Photo: My Husband Shot My Buttocks with a Gun, But I Still Love Him (LOOK)... http://fb.me/2t7Yciv7N 
Sun Mar 03 23:07:30 PST 2013 --  everyday in my world is like a holiday
Fri Mar 01 18:00:02 PST 2013 --  Passion is the new currency!! $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
Fri Mar 01 18:31:56 PST 2013 --  I hope he buys you flowers, I hope he holds your hand Give you all his hours when he has the chance
Fri Mar 01 17:22:16 PST 2013 --  real niggas dont flash dere self
Thu Feb 14 21:40:00 PST 2013 --  all. And now everyday of my life I ball.
Thu Feb 14 21:39:26 PST 2013 --  They said I couldn't play football I was too small. They say I couldn't play basketball I wasn't tall. They say I couldn't play baseball at
Thu Jan 03 14:31:14 PST 2013 --  hapi new yr
Sat Dec 15 13:01:20 PST 2012 --  christmas paro
Wed Aug 29 23:00:32 PDT 2012 --  she,simply amazing
Sun Jun 17 16:01:24 PDT 2012 --  fuck it don't wanna go 2 court
Sat May 26 08:58:09 PDT 2012 --  Am hot
Tue May 22 12:22:32 PDT 2012 --  Na ps3 tins
Tue May 22 11:44:06 PDT 2012 --  ii want 2 fiy high
Sun Apr 29 10:14:23 PDT 2012 --  ii want 2 fiy high
Fri Apr 13 13:30:11 PDT 2012 --  I av mob
Mon Feb 27 23:36:08 PST 2012 --  @dammydustin no worry I go help U̶̲̥̅̊? Do am
Fri Feb 17 06:35:06 PST 2012 --  tanks 2 2baba for r
Sun Feb 12 12:09:19 PST 2012 --  rip whitney houston
Sun Feb 05 08:53:20 PST 2012 --  whos dat girl
Sat Jan 28 16:55:42 PST 2012 --  slip off
Sat Jan 28 01:17:10 PST 2012 --  @Iceprincezamani zamami d swagg chairman
Sat Jan 28 01:15:40 PST 2012 --  @Iceprincezamani y m I D̶̲̥̅̊ε̲̣̣̣̥γ̲̣̣̥ tink abt is wife 4 year profile picture
Sat Jan 28 01:07:23 PST 2012 --  @BankyW sure
Fri Jan 27 14:13:28 PST 2012 --  @BankyW U̶̲̥̅̊? Get mouth die U̶̲̥̅̊? R 2much
Fri Jan 27 13:49:36 PST 2012 --  http://yfrog.com/oda8agwj 
Thu Dec 29 01:33:58 PST 2011 --  make me proud
