Mon Aug 24 17:00:01 PDT 2015 --  Swooping to the beat of his own drum in #NHL16 will be @BhawkTommyHawk. http://s.nhl.com/6017BHRFB  pic.twitter.com/2OqI6NiL1K
Sat Aug 01 10:02:53 PDT 2015 --  #DYK @RMHCmke takes care of families from all over NE WI & UP MI? #Donate today: http://bit.ly/1eHiArM  pic.twitter.com/6aWg2Hwp59
Thu Aug 13 07:56:29 PDT 2015 --  Waiting for the guest of honor to arrive. @NHLBlackhawks @keeperofthecup pic.twitter.com/wNmAt5Qe0p
Fri May 22 11:02:07 PDT 2015 --  Russians smile less than people from the US, due in large part to a popular Russian proverb: “A smile without a reason is a sign of idiocy.”
Tue May 19 23:12:17 PDT 2015 --  Corey Crawford was not human in that game. 7 wins to go. #CHIvsANA #onegoal
Tue May 19 22:50:39 PDT 2015 --  RT if you said fuck sleep and fuck the Ducks
Tue May 19 22:42:44 PDT 2015 --  Did he just say period 6? #dothething #CHIvsANA pic.twitter.com/F7U1vR0YjB
Tue May 19 22:28:13 PDT 2015 --  TRIPLE OVERTIME BECAUSE FUCK YOU AND YOUR SCHOOL AND YOUR JOB AND YOUR FAMILY AND ALL YOUR RESPONSIBILITIES THATS WHY
Tue May 19 22:29:58 PDT 2015 --  Well. It looks like I am not working tomorrow. #CHIvsANA
Tue May 19 18:54:48 PDT 2015 --  RT for Fuck Anaheim FAV for Fuck Anaheim
Tue May 19 18:38:48 PDT 2015 --  I chose to not acknowledge that goal https://twitter.com/MoenBryan/status/600837775047397376 …
Tue May 19 18:27:11 PDT 2015 --  G O A L Again
Tue May 19 18:20:11 PDT 2015 --  G O A L
Tue May 19 10:29:30 PDT 2015 --  Which sports arena is better? Retweet: Allen Fieldhouse Favorite: Bill Snyder Family Stadium pic.twitter.com/Gviz7E41gG
Tue May 19 14:38:19 PDT 2015 --  Since 2000, KU has more NBA Lottery Picks than any other school pic.twitter.com/D9vmZrXFiq
Mon May 18 09:36:04 PDT 2015 --  Who's a better coach? Retweet for Bill Self Favorite for Bill Snyder pic.twitter.com/apOWCpU5vA
Sun May 17 18:24:31 PDT 2015 --  #AuntNuthingToFuckWit https://twitter.com/UberFacts/status/600092705876750336 …
Wed Apr 29 19:47:56 PDT 2015 --  Happy Birthday, Jay Cutler. May you defy age and remain the #Bears quarterback forever.
Wed Apr 29 15:01:14 PDT 2015 --  The rest of the Big 12 after seeing that we signed Cheick Diallo yesterday: pic.twitter.com/HQcZPB5ssN
Tue Apr 28 01:17:09 PDT 2015 --  Absenteeism and decreased productivity from alcohol hangovers cost the U.S. economy $148 billion every year.
Mon Apr 27 12:34:00 PDT 2015 --  @B_Ingram13 KU you already know
Sun Apr 26 14:56:41 PDT 2015 --  Lol. Wtg Blews.
Sat Apr 25 20:00:00 PDT 2015 --  Chicago is moving on! Blackhawks overcome 2-goal deficit to beat Predators in Game 6, 4-3, and win the series, 4-2. pic.twitter.com/boKo3gV016
Sat Apr 25 20:00:05 PDT 2015 --  12
Sat Apr 25 19:58:48 PDT 2015 --  That Hawks fan behind the Predators bench is super annoying
Sat Apr 25 19:49:43 PDT 2015 --  Chelsea Fucking Dagger.
Sat Apr 25 19:24:10 PDT 2015 --  Tie game. 3rd period. Time to switch from beer to whiskey. #CHIvsNSH #BecauseItsTheCup
Sat Apr 25 18:44:08 PDT 2015 --  Richards to the box because Jones can't skate. I would be more upset had the refs not saved a goal with the quick whistle earlier. #CHIvsNSH
Sat Apr 25 18:39:01 PDT 2015 --  I think I have seen the Discover Frog protection commercial 314,345 times now.
Sat Apr 25 18:34:25 PDT 2015 --  Saved by the whistle. Woah.
Sat Apr 25 18:33:04 PDT 2015 --  Andrew Shaw. #mrstealyopuck
Sat Apr 25 12:41:55 PDT 2015 --  Huh... pic.twitter.com/dEWTooUyaG
Fri Apr 24 11:06:03 PDT 2015 --  9 Critical Fundamentals of #Foodservice Leadership #wffhq http://conta.cc/1Olg1wb 
Thu Apr 23 19:52:16 PDT 2015 --  Mike Ribeiro seems like the kind of guy who writes a check at the grocery store. Douche. #NHLPlayoffs #BecauseItsTheCup #GoHawks
Thu Apr 23 19:03:43 PDT 2015 --  Woah Brad Richards sighting.
Wed Apr 22 17:10:09 PDT 2015 --  This is your life and it is ending one minute at a time.
Wed Apr 22 16:31:36 PDT 2015 --  If she says she'll watch hockey with you wife that baby up
Wed Apr 22 00:12:16 PDT 2015 --  And the belt goes to – who else? – Biscuit! https://amp.twimg.com/v/69f1ca27-3bb7-4f0d-b503-d85a4cf272b1 …
Tue Apr 21 23:11:55 PDT 2015 --  Print and complete as necessary. #NSHvsCHI #StanleyCup pic.twitter.com/IxLXNEIgHr
Tue Apr 21 23:17:48 PDT 2015 --  Cue the Dagger! Atta boy Seabs! @NHLBlackhawks #BecauseItsTheCup
Tue Apr 21 22:09:23 PDT 2015 --  Anyone else going to be late for work tomorrow because of this #NSHvsCHI Double OT? We feel you. Reply to this tweet & we'll try to help.
Tue Apr 21 20:01:00 PDT 2015 --  Sometimes we expect more from others because we would be willing to do that much more for them.
Tue Apr 21 16:17:25 PDT 2015 --  In Wisconsin, livestock always has the right of way when crossing a street.
Tue Apr 21 13:59:20 PDT 2015 --  @wauksports @JustinHullRadio @lotfautographs According to an unnamed source I trust very much... pic.twitter.com/ttRnDhoy2l
Mon Apr 20 05:31:36 PDT 2015 --  Mornings don’t have to be dull. Make them dynAMic with a fresh cracked egg on our Egg McMuffin at @McD_NEWUP. pic.twitter.com/1OkynG7Az3
Mon Apr 13 15:05:24 PDT 2015 --  People only get jealous because they care.
Sat Apr 18 02:10:01 PDT 2015 --  You don't plan the best nights of your life, they just happen.
Tue Apr 14 10:29:39 PDT 2015 --  Great to be back for the playoffs. Thank you to all the great fans for the many well wishes over the last seven weeks!
Mon Apr 13 15:10:13 PDT 2015 --  It's official. Patrick Kane has been cleared for full participation by Head Team Physician Dr. Terry. http://onego.al/LyRfm 
Mon Apr 13 15:33:02 PDT 2015 --  " @UberFacts: People generally read 25% slower on a computer screen in comparison with a printed page, according to a study." @AtypicalDouche
Mon Apr 13 15:31:28 PDT 2015 --  " @ProFootballTalk: Current target for schedule release: April 21, 22, or 23 http://wp.me/p14QSB-9KvW " @MoenBryan @gmoen1964
Fri Apr 10 05:43:50 PDT 2015 --  Today is a great day only if I make it so. #conquertoday
Mon Apr 06 17:30:15 PDT 2015 --  RETWEET if you're rooting for Wisconsin! pic.twitter.com/4oj6xpZ7uO
Tue Mar 31 22:59:59 PDT 2015 --  SABOTAGE!
Wed Mar 25 10:23:12 PDT 2015 --  Congrats to @KansasDebate on a great showing at the National Tournament! http://bit.ly/KUDebate 
Sun Mar 22 15:51:54 PDT 2015 --  Good thing the NCAA rewards the high seeds by placing them close to home. # 301milesfromWichitaToOmaha
Thu Mar 19 12:59:30 PDT 2015 --  Ron Hunter when Georgia State gets to the Final Four pic.twitter.com/bcBhicDTcr
Thu Mar 19 11:54:44 PDT 2015 --  Iowa State: 2nd tier program. Always has been and always will be. Magic isn't real.
Thu Mar 19 11:45:43 PDT 2015 --  Jerod Haase (former KU player and assistant coach) and UAB just upset Iowa State!
Sat Mar 14 16:00:43 PDT 2015 --  Rock Chalk Jayhawk tweet pic.twitter.com/1ZuJTp3AQ8
Wed Mar 11 13:16:30 PDT 2015 --  What is the weirdest thing you have done at halftime of a game to try to turn it around? Be honest. #onlyinmarch https://www.youtube.com/watch?v=z-yqao13nz4&feature=youtu.be …
Sun Mar 08 09:56:12 PDT 2015 --  Someone at the Mike Holmgren signing at @lotfautographs yesterday had him add this inscription cc @Favre4Official pic.twitter.com/sDphkMc3AZ
Sat Mar 07 17:00:01 PST 2015 --  . @KUhonors: The #2 program in the nation in benefits to students. #BeAJayhawk pic.twitter.com/ul23wsRcAK
Sat Mar 07 15:10:55 PST 2015 --  @lotfautographs My Little Man making Coach Holmgrem laugh... Teaching him young!!! pic.twitter.com/sJDFc3cUXd
Thu Mar 05 18:24:26 PST 2015 --  First you limp to side like your leg was broken. Shaken and twitching kind of like I was smoking. #humptydance
Wed Mar 04 07:37:15 PST 2015 --  How many? https://vine.co/v/O0IMHeAr1Pd 
Wed Mar 04 07:46:30 PST 2015 --  Crazy Stat of Day: Bill Self has won more conference titles (11) than he has lost home games (9) at Kansas.
Wed Mar 04 10:25:59 PST 2015 --  Appleton Co-op on the ice at the AEC. Appleton takes on Wausau West at 7:15 p.m. #wiaahockey pic.twitter.com/TAhhFGHWLY
Tue Mar 03 21:14:03 PST 2015 --  If any K-State or Mizzou fans talk shit about KU winning #11straight just accept it. They're more mad at the fact they can't count to 11
Tue Mar 03 18:16:28 PST 2015 --  Shake em up shake em up shake em up shake em pic.twitter.com/3ohj120inx
Tue Mar 03 13:00:11 PST 2015 --  One of the nation's best college chants. http://bit.ly/1m6cVIy  #RockChalk #BeAJayhawk pic.twitter.com/CRGUV2fWWH
Tue Mar 03 13:36:11 PST 2015 --  I love Twitter. pic.twitter.com/wvyKgL0aIe
Mon Mar 02 20:08:32 PST 2015 --  The University of Kansas... Your 2014-2015 Big 12 Champions! pic.twitter.com/jDk3UlT5GB
Mon Mar 02 20:17:39 PST 2015 --  Ours go to 11. #kubball pic.twitter.com/ZPfvJwu5QP
Tue Mar 03 16:35:30 PST 2015 --  11 straight is nice. The 11th outright is gravy baby. #kubball #11straight #rcjh #seniornight #crimsonandblue
Sun Mar 01 14:00:00 PST 2015 --  #KUfacts: The KU debate team has 5 National Debate Tournament championships & 14 Final Four appearances. #KUexperience #BeAJayhawk
Fri Feb 27 15:27:41 PST 2015 --  Greatest College Town •Round of 32• RT ~ Lawrence, Kansas Fav ~ Manhattan, Kansas St. pic.twitter.com/nTu8E7xQmc
Thu Feb 26 18:45:14 PST 2015 --  Greatest College Fans | Elite Eight RT- Kansas Fav- Virginia pic.twitter.com/AGLlgDKvq2
Wed Feb 25 17:17:32 PST 2015 --  Mesmerizing, tantalizing, captivating, a devastating.
Fri Feb 20 18:40:58 PST 2015 --  Happy Appleton East Debate Day everyone! Two years ago, the city of Appleton declared Feb. 20th our day for the teams continued excellence!
Fri Feb 06 13:39:53 PST 2015 --  Kansas University pic.twitter.com/1m5Lhn0xxw
Wed Feb 04 17:16:29 PST 2015 --  " @TheFakeESPN: Girl with zero chill posts after-sex selfie on Tinder with Julian Edelman: https://cards.twitter.com/cards/18ce53vysyu/bu8o …" @Manislaus
Wed Feb 04 11:11:57 PST 2015 --  Think of each round as a chance to connect with someone new. #SparkLeaders pic.twitter.com/Gjd4EIYfm1
Wed Feb 04 16:56:20 PST 2015 --  I had to suffer through chicken pox in 3rd grade. My reward: the shingles virus is already inside of me? That seems unfair. #horseshit
Tue Feb 03 13:20:08 PST 2015 --  “Left Shark: He’s a strong independent shark that don't need no choreography.” — University of Chicago
Tue Feb 03 09:08:16 PST 2015 --  "Sea Hawks Fan or Patriots Fan I think we can all agree the Halftime Sharks were the real MVP." — Wake Forest
Mon Feb 02 18:05:26 PST 2015 --  RCJH! #kubball
Mon Feb 02 16:12:08 PST 2015 --  GAMEDAY. Tonight vs @CycloneMBB 8pm @KUhoops / #KUbball @ESPN http://kuathletics.com/radio  pic.twitter.com/x1C8rH53Yt
Mon Feb 02 07:23:58 PST 2015 --  Future #KUstudents: Orientation registration is now open! http://bit.ly/KUorientation  pic.twitter.com/qHYg9KZl1S
Mon Feb 02 09:15:54 PST 2015 --  Maren paid with LOVIN! #imlovinit #PaidWithLovin pic.twitter.com/EVrTiF9Ezn
Sun Feb 01 19:12:27 PST 2015 --  LOL RT @jaredwsmith Welp. pic.twitter.com/jqB3V1QTDF
Sun Feb 01 19:06:58 PST 2015 --  We’ve been LOVIN’ this! If you’ve RT’d us today (or RT this tweet) you could win a trip to next year’s Super Bowl! https://cards.twitter.com/cards/16ac3u/bmzq …
Sun Feb 01 18:38:34 PST 2015 --  Nothing grey about that ad, @UniversalPics. Lovin’ 50 Shades, RT for your chance to win a ride in a helicopter https://cards.twitter.com/cards/16ac3u/bmz4 …
Sun Feb 01 18:14:13 PST 2015 --  Gorgeous, like our country, @FCAcorporate. Lovin’ it. RT to try & win a new Dodge Challenger to drive across America https://cards.twitter.com/cards/16ac3u/bmyb …
Sun Feb 01 18:09:41 PST 2015 --  Lovin’ @Budweiser’s idea to not overthink things. So don’t overthink it: RT to try to win a trip for you & a friend https://cards.twitter.com/cards/16ac3u/bmy4 …
Sun Feb 01 18:07:50 PST 2015 --  We’d never take his gold. Lovin’ that, @supercellgames. RT & you could win a tablet to replay BigBuffetBoy85 https://cards.twitter.com/cards/16ac3u/bmxy …
Sun Feb 01 18:03:28 PST 2015 --  Lovin’ those funny female frenemies. RT & you could win a new smartphone & selfie stick to match https://cards.twitter.com/cards/16ac3u/bmxv …
Sun Feb 01 18:02:13 PST 2015 --  Common side effects of the Jublia ad include lovin’ clean toenails. RT and you could win designer sandals and a pedi https://cards.twitter.com/cards/16ac3u/bmxu …
Sun Feb 01 18:00:42 PST 2015 --  “Hesitate and you lose.” Lovin’ these true words from @FCAcorporate’s ad. RT now to try & win a new Dodge Challenger https://cards.twitter.com/cards/16ac3u/bmxt …
Sun Feb 01 17:57:15 PST 2015 --  Moose: 1. Missile launcher: 0. Lovin’ the offbeat excitement of that @Kia ad. RT & you could win a new Kia Sorento https://cards.twitter.com/cards/16ac3u/bmxp …
Sun Feb 01 17:56:04 PST 2015 --  Don’t apologize for making us laugh so hard, @Sprint. Lovin’ it. RT to try to win a smartphone smarter than a donkey https://cards.twitter.com/cards/16ac3u/bmxn …
Sun Feb 01 17:54:56 PST 2015 --  Lovin’ that remote control car, @Lexus. RT to try to win a playful new Lexus NX https://cards.twitter.com/cards/16ac3u/bmxm …
Sun Feb 01 17:44:23 PST 2015 --  We’re lovin’ beautiful Ecuador after that ad, @EcuadorTravel—RT & you could win a trip to Ecuador & see for yourself https://cards.twitter.com/cards/16ac3u/bmxd …
Sun Feb 01 17:37:37 PST 2015 --  We’re pushin’ for way more than 15% lovin’ for that ad, @GEICO. RT and you could win a turntable and lawn mower https://cards.twitter.com/cards/16ac3u/bmx4 …
Sun Feb 01 17:36:11 PST 2015 --  Not just liking  #likeagirl, @always, we're lovin' it. RT to try to win gym shoes, a baseball mitt & a punching bag https://cards.twitter.com/cards/16ac3u/bmwy …
Sun Feb 01 17:35:30 PST 2015 --  That ad deserves to be in the Lovin’ Hall of Fame, @SKECHERSUSA. RT to try to win Skechers and a HOF VIP experience https://cards.twitter.com/cards/16ac3u/bmwr …
Sun Feb 01 15:42:47 PST 2015 --  Lovin’ how @Toyota showed us all how great we can be. Powerful stuff. RT & you could win a new 2015 Toyota Camry https://cards.twitter.com/cards/16ac3u/bmtt …
Sun Feb 01 17:22:19 PST 2015 --  Out of this world @Pepsi halftime show: If you’re lovin’ music, RT to try & win concert tickets to an event near you https://cards.twitter.com/cards/16ac3u/bmwn …
Sun Feb 01 17:20:33 PST 2015 --  Lovin’ that pitch perfect trailer for Pitch Perfect 2, @UniversalPics. RT to try to win movie tix for a year https://cards.twitter.com/cards/16ac3u/bmwm …
Sun Feb 01 17:16:03 PST 2015 --  Lovin’ that lifetime of daddy-daughter time in @Toyota’s powerful spot. RT & you could win a new 2015 Toyota Camry https://cards.twitter.com/cards/16ac3u/bmwk …
Sun Feb 01 17:04:22 PST 2015 --  . @GoDaddy guy: hope you’re lovin’ work bc you just missed a TD. RT to try & win a year of webhosting & new laptop https://cards.twitter.com/cards/16ac3u/bmwc …
Sun Feb 01 16:59:43 PST 2015 --  Lovin’ the fiery, hot, hard body…cars in that ad, @FIATUSA. RT for your chance to win a FIAT 500 https://cards.twitter.com/cards/16ac3u/bmw1 …
Sun Feb 01 16:56:57 PST 2015 --  Seriously empowering ad, @Microsoft. Do amazing things. RT for your chance to win an Xbox One https://cards.twitter.com/cards/16ac3u/bmvy …
Sun Feb 01 16:56:23 PST 2015 --  Lovin’ the ad @Discover. Let us treat you like you’d treat…AHHH!!! RT & you could win a $1,500 Discover gift card https://cards.twitter.com/cards/16ac3u/bmw0 …
Sun Feb 01 16:53:15 PST 2015 --  We dig. This dude is anything but sleepy, @Squarespace. Lovin’ it. RT to try to win headphones and your own website https://cards.twitter.com/cards/16ac3u/bmvv …
Sun Feb 01 16:47:44 PST 2015 --  Lovin’ the you that’s you, not sorta, really, @esurance. RT & you could win $2500 to buy something worth insuring https://cards.twitter.com/cards/16ac3u/bmvp …
Sun Feb 01 16:44:35 PST 2015 --  Lovin’ the love btwn father & son in @NissanUSA’s spot. RT to try & win a Nissan Altima you could drive someday soon https://cards.twitter.com/cards/16ac3u/bmvg …
Sun Feb 01 16:42:56 PST 2015 --  Man being escorted out of University of Phoenix Stadium in handcuffs confirms Katy Perry’s breasts are properly inflated to regulation.
Sun Feb 01 16:34:57 PST 2015 --  Lovin’ that empowering @WeightWatchers ad. RT & you could win $1000 for a beautiful new wardrobe custom-fit for you https://cards.twitter.com/cards/16ac3u/bmva …
Sun Feb 01 16:31:14 PST 2015 --  . @WeatherTech As American as baseball, apple pie & Big Macs. Lovin’ it. RT to try to win these USA-made floor liners https://cards.twitter.com/cards/16ac3u/bmv5 …
Sun Feb 01 16:29:17 PST 2015 --  #MakeItHappy, @CocaCola. Lovin’ it. RT to try to win a year’s worth of Coke & internet service for a happy year https://cards.twitter.com/cards/16ac3u/bmv2 …
Sun Feb 01 16:29:34 PST 2015 --  Dead kid commercial. Really? Dafuq @Nationwide
Sun Feb 01 16:26:54 PST 2015 --  Lovin’ that @Doritos ad. RT and you could win airline tickets and a suitcase full of Doritos. Baby not included https://cards.twitter.com/cards/16ac3u/bmv1 …
Sun Feb 01 16:21:42 PST 2015 --  We can feel the lovin’ in that ad, @DoveMenCare. RT for a chance to win a vacation for you & your dad or loved one https://cards.twitter.com/cards/16ac3u/bmux …
Sun Feb 01 16:20:25 PST 2015 --  Almost 2 much lovin’ 4 the epic Fast & Furious 7 ad, @UniversalPics. RT to try to win a performance driving class https://cards.twitter.com/cards/16ac3u/bmuu …
Sun Feb 01 16:18:56 PST 2015 --  Our first lovin’ draft pick is… @AvosfromMexico. RT to try to win a trip to Mexico, plus one amazing avocado https://cards.twitter.com/cards/16ac3u/bmut …
Sun Feb 01 16:17:28 PST 2015 --  That brought us straight back to the power of the sea, lovin’ it. RT to try to win a dramatic @CarnivalCruise, on us https://cards.twitter.com/cards/16ac3u/bmuq …
Sun Feb 01 16:15:18 PST 2015 --  We see you Mindy and are lovin’ it, @Nationwide. RT to try to win $2500 to insure something visible https://cards.twitter.com/cards/16ac3u/bmup …
Sun Feb 01 16:11:18 PST 2015 --  Lovin’ Clydesdales & puppies & wolves, oh my, @Budweiser. RT to try & win a trip with your best bud, up to 500 miles https://cards.twitter.com/cards/16ac3u/bmuo …
Sun Feb 01 16:09:39 PST 2015 --  Terminator Genisys: He’s back, and we’re lovin’ it, @ParamountPics. RT to try to win movie tix for a year https://cards.twitter.com/cards/16ac3u/bmun …
Sun Feb 01 16:08:13 PST 2015 --  Lovin’ the @TMobile ad—but first, lemme tweet a selfie. RT & you could win a new smartphone & selfie stick to match https://cards.twitter.com/cards/16ac3u/bmuj …
Sun Feb 01 16:04:09 PST 2015 --  Lovin’ that glistening @Lexus so much we want to whip our hair. RT to try to win a glistening new Lexus NX https://cards.twitter.com/cards/16ac3u/bmug …
Sun Feb 01 16:02:48 PST 2015 --  Lovin’ your biceps @Skittles—Settle it the usual way. RT to try to win armloads of Skittles & a right-handed barbell https://cards.twitter.com/cards/16ac3u/bmue …
Sun Feb 01 16:00:04 PST 2015 --  Lovin’ those adorable @Minions. In other words, BeeeDooo! RT to try & win enough movie tickets to fill some overalls https://cards.twitter.com/cards/16ac3u/bmu9 …
Sun Feb 01 15:55:29 PST 2015 --  . @Snickers Snickers Snickers…Lovin’ it…and you too Jan. RT and you could win a big BUNCH of Snickers https://cards.twitter.com/cards/16ac3u/bmu7 …
Sun Feb 01 15:50:32 PST 2015 --  Well tip us over! Free tax filing from @TurboTax. RT to try & win $1000 towards a boatload of whatever you’re lovin’ https://cards.twitter.com/cards/16ac3u/bmtz …
Sun Feb 01 15:48:29 PST 2015 --  What’s an @! Hahah, lovin’ the brilliant @bmw ad. Regardless of what’s under the hood, RT and you could win a BMW i3 https://cards.twitter.com/cards/16ac3u/bmtx …
Sun Feb 01 15:46:35 PST 2015 --  Lovin’ the Tomorrowland trailer so much, @Disney, we want to see it today. RT to try to win movie tix for a year https://cards.twitter.com/cards/16ac3u/bmtv …
Sun Feb 01 15:44:55 PST 2015 --  . @gameofwar Kings, lords, ladies & scallywags, we proclaim, we’re lovin’ it. RT to try to win a tablet to conquer on https://cards.twitter.com/cards/16ac3u/bmtu …
Sat Jan 31 09:25:03 PST 2015 --  Me during winter https://vine.co/v/OtiwV5qETHX 
Sat Jan 31 02:34:30 PST 2015 --  First come. First served. I'm up early with the first birds. #2damnearly @BDOUBLEEKC
Fri Jan 30 15:21:23 PST 2015 --  " @UberFacts: 28% of women that were surveyed find that the "just out of bed look" is the sexiest hairstyle for men." Well damn. #thenewstyle
Fri Jan 30 05:57:00 PST 2015 --  RT @Ryersonb25: @mikewickett @1057FMTheFan Game Day cakes at my store pic.twitter.com/WHnjL5UaGK
Wed Jan 28 18:06:48 PST 2015 --  There are few things I love more than @KUHoops. #RCJH
Wed Jan 28 18:00:13 PST 2015 --  2,142 All Time Victories, 57 Conference Titles, 14 Final Fours, 5 National Championships #kubball
Wed Jan 28 14:39:10 PST 2015 --  It is good to know that everyone is so concerned with my business. F.Y.I. my business is being rad, and business is good. #hatersgonnahate
Wed Jan 28 05:59:10 PST 2015 --  Open the door playtime is over. Time to go to work and show the suckers in the place who run their face.
Mon Jan 26 19:47:01 PST 2015 --  A man once staged a kidnapping of himself in front of his wife just so that he could go out the whole night and party with his friends.
Mon Jan 26 19:26:25 PST 2015 --  Remember that time you got so drunk on @CrownRoyal you started tweeting @nickjonas lyrics? #Wrecked
Mon Jan 26 19:17:25 PST 2015 --  You're too sexy beautiful and everybody wants a taste that's why I still get jealous.
Mon Jan 26 15:47:01 PST 2015 --  The Jayhawks close out the Wichita State tournament as Kansas BC defeats KCKCC CN on a 2-1 in the semifinals. #KUDebate
Mon Jan 26 06:45:35 PST 2015 --  On this date in 1997: The #Packers defeated the #Patriots 35-21 in @SuperBowl XXXI. @DesmondHoward earned MVP honors. pic.twitter.com/nvFihYBH8d
Sat Jan 24 11:42:00 PST 2015 --  Tattoos are in style but floor burns are better. Let's get em! @KUHoops
Sat Jan 24 11:48:35 PST 2015 --  Cliff looks like a man ready to eat a whole cow. #kubball #rcjh
Thu Jan 22 19:37:58 PST 2015 --  #KUDebate is ready for the weekend after getting some snack bags from Dr. Bricker’s mom pic.twitter.com/GWXi1RLpnQ
Sat Jan 24 04:31:41 PST 2015 --  #rcjh #11straight #kubball pic.twitter.com/uY9Wpe3SWN
Sat Jan 24 02:28:44 PST 2015 --  I'm like Oscar the Grouch...trashy. #bboysinthecut
Thu Jan 22 13:37:17 PST 2015 --  So what happened at your college today? pic.twitter.com/C1Ro4r9SPu
