Sat Aug 22 19:22:57 PDT 2015 --  The most badass news headline ever. Merica. pic.twitter.com/Qa9lmk6Fva
Mon Aug 03 16:20:14 PDT 2015 --  I join pro-life Hoosiers in commending @SenDanCoats & @SenDonnelly for voting to end fed funding for the nation's largest abortion provider
Mon Aug 03 15:00:42 PDT 2015 --  Hope my Senators come through and #DefundPlannedParenthood @SenDanCoats @SenDonnelly #Stand4Life
Mon Aug 03 05:29:27 PDT 2015 --  2 days since launching the site & already about halfway there! Keep sharing so we can hit our goal! http://ow.ly/QpWPE  #PrayForBrandon
Sun Aug 02 19:16:05 PDT 2015 --  It's awesome to see @brandonbenesh continue to make progress. Keep fighting brother. #PrayForBrandon
Sun Aug 02 18:20:22 PDT 2015 --  For daily updates on our Brother, @brandonbenesh and his current condition please go to http://www.prayforbrandon.com 
Sat Aug 01 12:46:41 PDT 2015 --  Thank you so much for the story @DrewBogs623 • Ball State fraternity raises money for student in a coma http://wp.me/p4ySsJ-x3T 
Fri Jul 31 16:34:44 PDT 2015 --  (2/2) his family with his medical expenses. To help please go to http://www.gofundme.com/ThetaChiForBrandon … and donate. #PrayforBrandon
Fri Jul 31 16:34:39 PDT 2015 --  (1/2) We would like to announce that @BSUThetaChi is donating their portion of the proceeds from Waterdaze 2015 to help @brandonbenesh and
Fri Jul 31 15:45:05 PDT 2015 --  . @BSUThetaChi has graciously decided to set up a gofundme page to help Brandon and his family with medical expenses: http://www.gofundme.com/ThetaChiForBrandon …
Fri Jul 31 15:11:00 PDT 2015 --  http://www.gofundme.com/ThetaChiForBrandon … @brandonbenesh #PrayForBrandon pic.twitter.com/cZ08I96sOw
Fri Jul 31 11:41:21 PDT 2015 --  . @BSUThetaChi VP of health and safety was put in a medically induced coma Wednesday after going into cardiac arrest http://www.ballstatedaily.com/article/2015/07/theta-chi-member-hospitalized …
Fri Jul 31 12:54:19 PDT 2015 --  "Devote yourselves to prayer, being watchful and thankful" - Colossians 4:2 #PrayForBrandon
Fri Jul 17 02:17:06 PDT 2015 --  When everything falls apart, only one thing sustains our hope: God loves us, he loves everyone!
Thu Jul 30 15:44:02 PDT 2015 --  Brandon needs us now more than ever continue 2 keep him in ur thoughts and prayers. I cant thank you all enough #PrayForBrandon @BSUThetaChi
Thu Jul 30 16:33:29 PDT 2015 --  Keep fighting man, you've got a lot of people in your corner brother. @brandonbenesh pic.twitter.com/UA4aPIsjy1
Thu Jul 30 08:20:23 PDT 2015 --  Please keep @brandonbenesh in your thoughts. He is a fighter & I can't wait to talk to him soon. Love you buddy!!! #bb
Thu Jul 30 11:24:19 PDT 2015 --  We cant thank everyone enough for the support of @brandonbenesh today. Hes a fighter and he'll get through it @BSUThetaChi @BallStateGreeks
Thu Jul 30 10:58:01 PDT 2015 --  Thoughts and prayers are with friend, fraternity brother, and great human being @brandonbenesh #PrayForBrandon
Thu Jul 30 07:45:50 PDT 2015 --  (2/2): unexpected health issues. Please keep Brandon and his family in your thoughts and prayers during this difficult time. #PrayForBrandon
Thu Jul 30 07:44:26 PDT 2015 --  (1/2): We regret to inform everyone that our brother @brandonbenesh was placed into a medically induced coma last evening as a result of...
Wed Jul 29 11:45:55 PDT 2015 --  Cardinal O’Malley: Planned Parenthood’s Work Reflects ‘Throwaway Culture’ Decried by Pope Francis http://www.usccb.org/news/2015/15-117.cfm …
Wed Jul 29 11:10:29 PDT 2015 --  Look at all this outrage over a dead lion, but where is all the outrage over the planned parenthood dead babies.
Wed Jul 29 06:50:36 PDT 2015 --  Obama to Jon Stewart: "The economy, by every metric, is better than when I came into office." http://bit.ly/1IpH7cF  pic.twitter.com/qQ1VcTrOss
Tue Jul 28 04:25:15 PDT 2015 --  These comments are unacceptable and inappropriate in respect to the victims and to the military efforts to change. https://twitter.com/realDonaldTrump/status/331907383771148288 …
Mon Jul 27 14:26:03 PDT 2015 --  Congress should vote to end federal funding for Planned Parenthood before we leave for August recess
Sun Jul 26 18:18:35 PDT 2015 --  Son, don't try to understand women. Women understand women and they hate each other.
Sun Jul 26 17:11:08 PDT 2015 --  If Planned Parenthood is concerned about women’s health, why won’t they accept fed. funding for pregnancy centers? https://amp.twimg.com/v/034e5dd5-d48a-40d8-a2ee-47af6de0acf5 …
Thu Jul 23 18:10:08 PDT 2015 --  How can we claim to be superior to nations who commit genocide when we commit infanticide? http://buff.ly/1TUFBHF  #ProLife
Mon Jul 20 17:29:06 PDT 2015 --  Where is the media on the sale of baby body parts by Planned Parenthood? (1/3)
Mon Jul 20 16:41:57 PDT 2015 --  Lindsey Graham: Donald Trump is a ‘jackass’ http://politi.co/1IfXyhU 
Sat Jul 18 11:35:00 PDT 2015 --  RNC Statement via @seanspicer in response to Donald Trump's comments on @SenJohnMcCain : http://gop.cm/6018BDQtk 
Sat Jul 18 08:46:05 PDT 2015 --  Jim Carrey's tweet criticizing the CA vaccine law gets a False. http://bit.ly/1DkTLIE  pic.twitter.com/2ygB7ojc1V
Thu Jul 16 13:29:40 PDT 2015 --  (4/4) I am pleased we passed the Every Child Achieves Act because it would help end the one-size-fits all approach to education - Joe
Thu Jul 16 09:53:09 PDT 2015 --  Every Hoosier should be deeply troubled by allegations that Planned Parenthood affiliates are engaged in the trafficking of human remains.
Thu Jul 16 08:47:42 PDT 2015 --  'Reagan attended 8 fundraisers in 1984. Obama attended 228.' Mostly True. Via @PolitiFactNH http://www.politifact.com/new-hampshire/statements/2015/jan/20/lawrence-lessig/lawrence-lessig-compares-number-fundraisers-betwee/ …
Wed Jul 15 18:22:16 PDT 2015 --  Thank you @ESPYS for honoring Lauren. She would be proud. You can continue to support her mission by donating at http://layup4lauren.org .
Wed Jul 15 18:12:22 PDT 2015 --  My pick for the #ArthurAsheCourageAward ... I think many will agree. #LaurenHill https://twitter.com/sportscenter/status/621485497379110912 …
Tue Jul 14 18:07:11 PDT 2015 --  For a kid who grew up going to Mass every morning, the Pope’s visit is a pretty humbling experience: http://bit.ly/1CAKlxI .
Mon Jul 13 19:33:29 PDT 2015 --  OUR TODD IS AN AWESOME TODD!! 2015 Home Run Derby Champions! #HRDerby pic.twitter.com/2zyVaB0Cd1
Sun Jul 12 07:15:02 PDT 2015 --  SINGLE DIGITS. #ColtsCountdown pic.twitter.com/hTvNZOOhZX
Fri Jul 10 08:15:01 PDT 2015 --  Taking down this #ConfederateFlag moves us toward being a country that stands more united, not divided.
Fri Jul 10 09:00:45 PDT 2015 --  Fans that retweet this by 1pm ET are entered to win a @JohnnyCueto signed baseball. #VoteCueto #VoteYo pic.twitter.com/KgxH6u72aj
Thu Jul 09 13:44:31 PDT 2015 --  Congratulations to @nikkihaley for real and symbolic leadership. A proud nation salutes a proud state.
Sat Jul 04 09:44:01 PDT 2015 --  History began on July 4th, 1776 — everything before that was a mistake.
Sat Jul 04 07:12:33 PDT 2015 --  Happy 4th of July beautiful! In 1776 was all like 🏻️ .. was like .. So everybody busted out s We won & were like "BYE "
Sat Jul 04 06:23:14 PDT 2015 --  "Let the annual return of this day forever refresh our recollection of these rights, and an undiminished devotion to them" - T. Jefferson
Sat Jul 04 02:30:07 PDT 2015 --  That which gives us true freedom and true happiness is the compassionate love of Christ.
Fri Jul 03 08:56:55 PDT 2015 --  The @HISTORY channel doesn't have their usual marathon of The Revolution tomorrow? What's the point in celebrating the 4th anymore?
Wed Jul 01 17:58:04 PDT 2015 --  #TDSBreakingNews Sugary drinks more deadly than violent crime in Mexico. That's the price they pay for having a more delicious Coca-Cola.
Wed Jul 01 17:29:16 PDT 2015 --  will never understand why some people don't get jobs. being financially independent of parents is pretty awesome.
