Tue Aug 25 07:30:49 PDT 2015 --  Anything is possible in this world. Just had a scout describe the #Mets as “a runaway train.”
Tue Mar 10 17:49:14 PDT 2015 --  Darrelle Revis has agreed to terms with the Jets, per his agents. #nyj
Tue Mar 10 17:49:03 PDT 2015 --  Revis is back baby...
Tue Mar 10 17:48:45 PDT 2015 --  Darrelle Revis has agreed to terms with the Jets, per his agents. #nyj
Tue Mar 10 17:47:08 PDT 2015 --  Pending legal, @Revis24 has agreed to terms with the New York Jets #RevisIsland #nyjets
Tue Mar 10 17:48:18 PDT 2015 --  Darrelle Revis' agents announce he has agreed to terms with the Jets.
Fri Apr 26 14:00:36 PDT 2013 --  Rule of math: If it seems easy, you’re doing it wrong.
Thu Apr 25 18:18:13 PDT 2013 --  With the 9th pick in the 2013 NFL Draft, the #NYJets select: Dee Milliner, CB, out of Alabama! RT to welcome him to Jets Nation!
Sun Apr 21 12:55:32 PDT 2013 --  One small step for Darrelle Revis at One Buc Place, one giant leap for Buccaneer kind. pic.twitter.com/PGIXoz2x7B
Thu Sep 27 21:30:20 PDT 2012 --  According to U.S. laws, a beer commercial can never show a person actually drinking beer.
Thu Sep 27 15:40:04 PDT 2012 --  The average gamer is male, 34 years old, has been playing for 12 years and spends $126 a year on games.
Tue Sep 18 13:32:57 PDT 2012 --  Do not follow where the path may lead. Go instead where there is no path and leave a trail. - Harold R. McAlindon
Sat Sep 15 02:45:03 PDT 2012 --  You are only born with 2 fears -- We are naturally afraid of falling and loud noises.
Sun Sep 09 10:22:07 PDT 2012 --  JI Fans...please re-tweet and encourage your fellow Jets Fans to follow http://jetsinsider.com !! #nyj #jets
Fri Aug 10 19:10:02 PDT 2012 --  Fuck soccer. If I wanted to watch somebody struggle to score for 90 mins I’d take my friends to the bar.
Mon Aug 06 22:06:18 PDT 2012 --  That really awkward moment when it's quiet in class and your stomach decides to make that dying whale sound.
Thu Aug 02 15:47:33 PDT 2012 --  FIBA says USA, led by Bill Russell, had 72-point win over Thailand in '56 Olympics in Melbourne. Nigeria down SEVENTY-SEVEN with 3:08 to go
Thu Aug 02 14:17:32 PDT 2012 --  iPhone 5 $800? It better be bulletproof, waterproof, damage proof, dirt proof and also fireproof. Siri better twerk on demand too.
Thu Jul 26 16:36:48 PDT 2012 --  Anybody know when they are suppose to be done updating the play station network?
Thu Jul 26 11:14:58 PDT 2012 --  Can I borrow $1500? I'll pay you back tomorrow? http://instagr.am/p/NjcJFHIDCq/ 
Wed Jul 25 09:01:32 PDT 2012 --  If your friends don't make fun of you, they're not really your friends.
Wed Jul 25 08:39:44 PDT 2012 --  We all know Mussina lacked the stones to do it, but today, Seattle is supposed to pay early AND often. If benches empty, well, they empty...
Wed Jul 25 06:07:05 PDT 2012 --  Im a fan of Christian Bale after reading this article: http://www.metro.co.uk/news/906197-christian-bale-visits-victims-of-denver-shootings-in-hospital?ITO=socialm …
Tue Jul 24 13:50:31 PDT 2012 --  Blue shell behind me in Mario Kart. Finished before it hit me.
Sat Jul 21 10:21:06 PDT 2012 --  There are only four words in the English language which end in "dous": tremendous, horrendous, stupendous, and hazardous.
Fri Jul 20 23:26:01 PDT 2012 --  The extremely awkward moment when an ugly person calls themselves ugly.
Sat Jul 21 10:11:41 PDT 2012 --  Age 11: "I whip my hair back and forth!" Age 37: "I drive my kids back and forth!" Age 69: "I rock my chair back and forth!"
Fri Jul 20 10:22:29 PDT 2012 --  @_MalikW no Nike banned midnight releases after the galaxy foam madness, all stores can't release Nike/Jordan prior to 8am.
Fri Jul 13 10:04:33 PDT 2012 --  Babies start dreaming even before they're born.
Fri Jun 29 15:14:53 PDT 2012 --  You ate at Wendy's? Who the fuck is Wendy?
Fri Jun 29 08:31:30 PDT 2012 --  I'd kick you in the vagina but i'm afraid I'd lose my shoe.
