Fri Aug 21 09:16:19 PDT 2015 --  #Twitstórico de 1911: Vincenzo Peruggia roba La Gioconda pic.twitter.com/Oe0DkdtCSg
Fri Oct 19 10:16:23 PDT 2012 --  Para mis hermosas amigas =) http://fb.me/1JQ9cYJkm 
Fri Oct 19 09:07:12 PDT 2012 --  Hola niños hermosos platicando con la nena Zanaid Demi Sabic que les parece si para este sabado en el 2 ENCUENTRO... http://fb.me/2eDf6PZfp 
Wed Oct 17 20:12:29 PDT 2012 --  sigo esperando las fotos Maritza Mora Salazar Faby Fabys Soso Soso Rafael Alonso Gonzalez Rodriguez, haber para cuándo???
Wed Oct 17 19:38:09 PDT 2012 --  te extraño :( y se que tu a mi también! http://fb.me/Ydajv6RR 
Wed Oct 10 08:31:06 PDT 2012 --  jajaja cierto! o no? Maritza Mora Salazar Juan Pablo Salazar Solis Fabys Soso Soso, todo por finanzas!! y... http://fb.me/2s5XdYZdF 
Tue Oct 09 07:14:41 PDT 2012 --  rumbo a Córdoba-Veracruz =) http://fb.me/2sCbRFxwJ 
Fri Oct 05 10:33:48 PDT 2012 --  jajajaja irónicamente cierto ! http://fb.me/1OvefcWdQ 
Fri Oct 05 10:32:46 PDT 2012 --  cierto! http://fb.me/1MXv9IE5q 
Fri Oct 05 09:11:11 PDT 2012 --  NIÑOS HERMOSOS Dalia Ramirez Maritza Mora Salazar Juan Pablo Salazar Solis Shelita JoSb Faby Fabys Soso Soso... http://fb.me/1Xqsrdc5d 
Fri Oct 05 08:36:19 PDT 2012 --  :) MUY LINDO Y CIERTO... Nos convencemos a nosotros mismos de que la vida será mejor después de casarnos, después... http://fb.me/tizZDdQi 
Thu Oct 04 16:23:52 PDT 2012 --  =) http://fb.me/2sirkhHEc 
Thu Oct 04 16:23:27 PDT 2012 --  =) http://fb.me/1U2FVXcU0 
Thu Oct 04 16:21:51 PDT 2012 --  =) http://fb.me/1WwQLurF0 
